"* Required Fields","* Campos Obrigatórios"
"Excel XML","XML Excel"
"First Name","Nome"
"Forgot Email Template","Template de Email Esquecido"
"Forgot Password","Esqueci-me da Palavra-passe"
"Forgot Your Password?","Esqueceu-se da Palavra-passe?"
"Gender","Sexo"
"General Subscription","Subscrição Geral"
"Generate Human-Friendly Customer ID","Gerar ID de Cliente Fácil de Ler"
"Group","Grupo"
"Group Information","Informação do Grupo"
"Group Name","Nome do Grupo"
"Group for Invalid VAT ID","Grupo para NIF Inválido"
"Group for Valid VAT ID - Domestic","Grupo para NIF Válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo para NIF Válido - UE"
"Guest","Convidado"
"ID","Id."
"IP Address","Endereço de IP"
"Invalid login or password.","Nome de utilizador ou palavra-passe errados."
"Last Activity","Última Atividade"
"Last Date Subscribed","Última Data de Subscrição"
"Last Date Unsubscribed","Última Data de Cancelamento da Subscrição"
"Last Name","Sobrenome"
"Leave empty for default (15 minutes).","Deixar vazio para obter o valor pré-definido (15 minutos)."
"Lifetime Sales","Vendas desde sempre"
"Login","Iniciar Sessão"
"Login Options","Opções de Login"
"Manage Addresses","Gerir Moradas"
"Manage Customers","Gerir clientes"
"Month","Mês "
"My Account","A Minha conta"
"My Orders","As minhas Encomendas"
"Name","Nome"
"Name and Address Options","Nome e Opções de Morada"
"Never","Nunca"
"New Address","Nova Morada"
"New Customer","Novo cliente"
"New Customer Group","Novo grupo de cliente"
"New Customer Groups","Novos grupos de cliente"
"New Customers","Novos clientes"
"New Group","Novo Grupo"
"New Password","Nova Password"
"Newsletter Information","Informação da Newsletter"
"Newsletter Subscription","Subscrição da Newsletter"
"No Items Found","Não foram encontrados items"
"No Newsletter Found","Nenhuma Newsletter Encontrada"
"No item specified.","Não item especificado."
"Not Sent","Não Enviada"
"Online Customers","Clientes Online"
"Online Customers Options","Opções de Cliente Online"
"Online Minutes Interval","Intervalo de Minutos Online"
"Order #","Encomenda #"
"Order Total","Total da encomenda"
"Orders","Pedidos"
"Password","Palavra-passe"
"Password Options","Opções de Palavra-passe"
"Password forgotten","Palavra-passe esquecida"
"Password:","Palavra-passe:"
"Paused","Pausada"
"Pending","Pendente"
"Per Website","Por Site"
"Personal Information","Informação Pessoal"
"Please enter a number 1 or greater in this field.","Por favor insira um número igual ou superior a 1 neste campo."
"Please enter the city.","Por favor insira a cidade."
"Please enter the country.","Por favor insira o país."
"Please enter the first name.","Por favor, insira o seu primeiro nome."
"Please enter the last name.","Por favor, insira o seu último nome."
"Please enter the state/province.","Por favor insira o distrito/concelho."
"Please enter the street.","Por favor insira a rua."
"Please enter the zip/postal code.","Por favor insira o código postal."
"Please enter your email.","Por favor introduza o seu email."
"Please make sure your passwords match.","Por favor certifique-se que ambas as palavras-passe coincidem."
"Please select region, state or province","Por favor selecione a região, concelho ou distrito"
"Prefix Dropdown Options","Opções de Menu de Prefixos"
"Price","Preço"
"Product","Produto"
"Product ID","ID de produto"
"Product Name","Nome do Produto"
"Product Reviews","Avaliação do Produto"
"Qty","Qtd"
"Recent Orders","Encomendas recentes"
"Recovery Link Expiration Period (hours)","Validade do Link de Recuperação (horas)"
"Redirect Customer to Account Dashboard after Logging in","Redirecionar Cliente para Painel de Conta após Início de Sessão"
"Refunded","Reembolsada"
"Registered Customers","Clientes Registados"
"Remind Email Template","Template de Email para Lembretes"
"Remove","Eliminar"
"Require Emails Confirmation","Exigir Confirmação de Emails"
"Reset a Password","Redefinir a Palavra-passe"
"SKU","REF"
"Sales Statistics","Estatísticas de vendas"
"Save","Gravar"
"Save Address","Gravar Morada"
"Save Customer","Guardar cliente"
"Save Customer Group","Guardar grupo de cliente"
"Save and Continue Edit","Gravar e Continuar Edição"
"Send From","Enviar a partir de"
"Send confirmation link","Enviar link de confirmação"
"Sending","Enviando"
"Sent","Enviada"
"Share Customer Accounts","Partilhar Contas de Cliente"
"Shopping Cart","Carrinho de compras"
"Show Date of Birth","Mostrar Data de Nascimento"
"Show Gender","Mostrar Género"
"Show Middle Name (initial)","Mostrar Nome do Meio (Inicial)"
"Show Prefix","Mostrar Prefixo"
"Show Suffix","Mostrar Sufixo"
"Show Tax/VAT Number","Mostrar NIF"
"Sign Up for Newsletter","Subscreva a Newsletter"
"State/Province","Concelho/Distrito"
"Status","Estado"
"Store","Loja"
"Store View","Vista da Loja"
"Street Address","Morada"
"Subject","Assunto"
"Submit","Submeter"
"Subscribe to Newsletter","Aderir à Newsletter"
"Suffix Dropdown Options","Opções de Menu de Sufixo"
"Tax Calculation Based On","Cálculo de Impostos Baseado Em"
"Tax Class","Classe de Impostos"
"Text","Texto"
"The VAT ID entered (%s) is not a valid VAT ID.","O ID de IVA inserido (%s) não é um ID válido."
"The VAT ID is valid. The current Customer Group will be used.","O NIF é válido. Será usado o Grupo de Cliente atual."
"The customer does not have default billing address.","O cliente não tem uma morada de faturação pré-definida."
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo que aparece depois do nome (Jr. Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","O título que aparece antes do nome (Sr., Sra., Dr., Dra., etc.)"
"This email does not require confirmation.","Este e-mail não requer confirmação."
"Type","Tipo"
"Unknown","Desconhecido"
"Unsubscribe from Newsletter","Remover Inscrição da Newsletter"
"Update","Actualizar"
"Use as my default billing address","Usar como morada de faturação pré-definida"
"Use as my default shipping address","Usar como morada de envio pré-definida"
"VAT Number","Número de Contribuinte"
"Validate VAT Number","Validar NIF"
"Validate on Each Transaction","Validar em Cada Transação"
"Validation Error Group","Grupo de Erro de Validação"
"View","Visualizar"
"View Order","Ver Encomenda"
"Visitor","Visitante"
"Website","Site"
"Welcome Email","Email de Boas Vindas"
"Wishlist","Lista de desejos"
"Would you like to change the Customer Group for this order?","Gostaria de alterar o Grupo de Cliente para esta encomenda?"
"Wrong email.","Email errado."
"Year","Ano"
"You have no default billing address in your address book.","Não tem nenhuma morada de faturação pré-definida no seu livro de endereços."
"You have no default shipping address in your address book.","Não tem nenhuma morada de envio pré-definida no seu livro de endereços."
"You have not set a default billing address.","Ainda não definiu uma morada de faturação pré-definida."
"You have not set a default shipping address.","Ainda não definiu uma morada de envio pré-definida."
"You will be charged tax.","Irão ser cobrados impostos."
"You will not be charged tax.","Não serão cobrados impostos."
"Your Tax ID cannot be validated.","Não conseguimos validar o seu NIF."
"Your VAT ID was successfully validated.","O seu NIF foi validado com sucesso."
"ZIP","Cód. Postal"
"ZIP/Post Code","Código Postal"
"Zip/Postal Code","Código Postal"
"or","ou"
