"(Excl. Tax)","(למעט מס)"
"Default Billing","ברירת מחדל לחיוב"
"Default Shipping","ברירת מחדל למשלוח"
"Delete Condition","למחוק את התנאי"
"Details","פרטים"
"Disabled","לא פעיל"
"Discount Codes","קודים להנחות"
"Display Cart Summary","הצג סיכום עגלה"
"Display Shopping Cart Sidebar","הצג את עגלת הקניות בסרגל צידי"
"Display item quantities","הצגת כמויות פריטים"
"Display number of items in cart","הצג כמות פריטים בעגלה"
"Easy access to your order history and status","גישה קלה להיסטוריית ההזמנות והסטאטוס"
"Edit","ערוך"
"Edit Address","ערוך כתובת"
"Edit Billing Address","עריכת כתובת חיוב"
"Edit Condition","ערוך תנאי"
"Edit Items","עריכת פריטים"
"Edit Shipping Address","עריכת כתובת משלוח"
"Edit Terms and Conditions","עריכת תנאים והתניות"
"Edit Your Cart","ערוך את עגלת הקניות שלך"
"Edit item","עריכת פריט"
"Edit item parameters","עריכת אפשרויות הפריט"
"Email Address","כתובת דוא""ל"
"Enable Onepage Checkout","אפשר קופה בעמוד אחד"
"Enable Terms and Conditions","לאפשר תנאים והתניות"
"Enabled","פעיל"
"Enter a New Address","הזן כתובת חדשה"
"Enter your coupon code if you have one.","הקלד את קוד הקופון, במידה ויש לך."
"Enter your destination to get a shipping estimate.","הכנס את יעדך לקבלת הערכת המשלוח"
"Estimate Shipping and Tax","עלות משלוח ומע""מ משוערת"
"Excl. Tax","למעט מס"
"Fast and easy check out","תשלום מהיר וקל"
"Fax","פקס"
"Forgot an Item?","שכחת פריט?"
"Forgot your password?","שכחת סיסמה?"
"Get a Quote","קבל הצעת מחיר"
"Gift Message","הודעת מתנה"
"Grand Total:","סך הכל:"
"Grouped Product Image","תמונת מוצר מקובץ"
"ID","מזהה"
"Incl. Tax","כולל מס"
"Items","פריטים"
"Load customer quote error","שגיאה בטעינת הצעת המחיר של הלקוח"
"Loading next step...","טוען שלב הבא..."
"Login","כניסה"
"Maximum qty allowed for Shipping to multiple addresses is %s","כמות מקסימלית מורשית למשלוח המפוצל לכמה כתובות הינה %s"
"Move","העברה"
"Move to Wishlist","העברה למועדפים"
"My Cart","העגלה שלי"
"My Cart (%s item)","העגלה שלי (%s פריט)"
"My Cart (%s items)","העגלה שלי (%s פריטים)"
"My Cart Link","קישור לעגלה שלי"
"New Address","כתובת חדשה"
"New Condition","תנאי חדש"
"New Terms and Conditions","תנאים והתניות חדשים"
"No Payment Methods","אין שיטות תשלום"
"One Page Checkout","צ'ק אאוט דף יחיד"
"Order #","# הזמנה"
"Order Review","סקירת הזמנה"
"Order Success","ההזמנה בוצעה בהצלחה"
"Password","סיסמה"
"Payment Failed Email Reciever","יעד דוא""ל תשלום נכשל"
"Payment Failed Email Sender","התשלום נכשל של שולח הדואר האלקטרוני"
"Payment Failed Emails","דואר אלקטרוני עבור תשלום שנכשל"
"Payment Failed Template","תבנית עבור תשלום נכשל"
"Payment Information","פרטי תשלום"
"Payment Method","שיטת התשלום"
"Payment method is not defined","שיטת תשלום לא מוגדרת"
"Place Order","ביצוע הזמנה"
"Please agree to all Terms and Conditions before placing the order.","בבקשה הסכם לכלל תנאי השימוש לפני ביצוע ההזמנה."
"Please agree to all Terms and Conditions before placing the orders.","אנא אשר את תקנון השימוש לפני ביצוע ההזמנות."
"Please agree to all the terms and conditions before placing the order.","בבקשה הסכם לכלל תנאי השימוש לפני ביצוע ההזמנה."
"Please choose to register or to checkout as a guest","אנא בחר להירשם או להמשיך בתהליך רכישה כאורח."
"Please log in below:","אנא התחבר (בתחתית):"
"Please select region, state or province","נא בחר מדינה, אזור או מחוז"
"Please select shipping address for applicable items","אנא בחר כתובת למשלוח עבור פריט ישים"
"Please select shipping methods for all addresses","אנא בחר שיטות משלוח לכל הכתובות"
"Please specify payment method.","ציין את שיטת התשלום."
"Please specify shipping method.","ציין שיטת שילוח"
"Price","מחיר"
"Proceed to Checkout","המשך לתשלום"
"Product","מוצר"
"Product Name","שם מוצר"
"Products","מוצרים"
"Qty","כמות"
"Qty:","כמות:"
"Quantity","כמות"
"Quote Lifetime (days)","הצעה פגה תוקף (בימים)"
"Recently added item(s)","פריט(ים) שהוספו לאחרונה"
"Register","הירשם"
"Register and save time!","הירשם וחסוך זמן!"
"Register to Create an Account","הרשם כדי ליצור חשבון"
"Register with us for future convenience:","הרשם לשירות שלנו למען נוחיותך בעתיד:"
"Remove Item","הסר פריט"
"Remove This Item","הסרת פריט זה"
"Remove item","הסר פריט"
"Review Order","סקירת הזמנה"
"Review Order - %s","צפה בהזמנה - %s"
"SKU","מק''ט"
"Sales","מכירות"
"Save Condition","שמור תנאי"
"Save in address book","שמור בספר הכתובות"
"See price before order confirmation.","ראה מחיר לפני אישור ההזמנה."
"Select Address","בחר כתובת"
"Select Addresses","בחר כתובות"
"Select Shipping Method","בחר שיטת משלוח"
"Select State/Province...","בחר אזורמחוז..."
"Select a billing address from your address book or enter a new address.","בחר כתובת למשלוח מספר הכתובת שלך או שהכנס <a href=""#"" onclick=""billing.newAddress(true); return false;"">כתובת חדשה</a>."
"Select a shipping address from your address book or enter a new address.","בחר כתובת לחיוב מספר הכתובות שלך או הזן כתובת חדשה."
"Send Payment Failed Email Copy Method","שליחת תשלום נכשל שיטת העתקה"
"Send Payment Failed Email Copy To","שליחת תשלום נכשל העתק ל"
"Send To","שלח אל"
"Separate by "","".","נפרדים על-ידי "",""."
"Ship to Multiple Addresses","משלוח למספר כתובות"
"Ship to different address","שלח לכתובת שונה"
"Ship to this address","שלח לכתובת זו"
"Shipping Address","כתובת למשלוח"
"Shipping Information","פרטי משלוח"
"Shipping Method","שיטת משלוח"
"Shipping Methods","שיטות המשלוח"
"Shipping To","משלוח עבור"
"Shipping method has not been selected yet","שיטת המשלוח עדיין לא נבחרה"
"Shopping Cart","עגלת קניות"
"Shopping Cart Sidebar","תפריט צד של עגלת קניות"
"Shopping Cart is Empty","סל הקניות ריק"
"Show Content as","הצג תוכן כ-"
"Sorry, no quotes are available for this order at this time.","אנו מתנצלים. בשלב זה אין הצעות מחיר להזמנה זו."
"State/Province","מדינה/מחוז"
"Status","סטטוס"
"Store View","תצוגת חנות"
"Street Address","כתובת רחוב"
"Submitting order information...","מעבד פרטי הזמנה..."
"Subtotal","סכום ביניים"
"Telephone","טלפון"
"Terms and Conditions","תנאי שימוש"
"Terms and Conditions Information","מידע על תנאים והתניות"
"Terms and conditions","תקנון שימוש"
"Text","טקסט"
"Thank you for your purchase!","תודה על הרכישה!"
"The product does not exist.","המוצר אינו קיים."
"There was an error processing your order. Please contact us or try again later.","ארעה שגיאה במהלך עיבוד ההזמנה. צור עמנו קשר או נסה שנית בזמן הקרוב."
"This condition no longer exists.","מצב זה לא קיים עוד."
"Total","סה""כ"
"Total for this address","סך הכל עבור הכתובת"
"Unit Price","מחיר יחידה"
"Update","עדכן"
"Update Cart","עדכון עגלת קניות"
"Update Qty &amp; Addresses","עדכון כמות &amp; כתובות"
"Update Shopping Cart","רענון עגלת קניות"
"Update Total","עדכן סה""כ"
"Use Billing Address","השתמש בכתובת שהוזנה בחיוב"
"VAT Number","מספר המע""מ"
"View Shopping Cart","הצג את עגלת הקניות"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","הזמנתך התקבלה ובקרוב תקבל אישור עם פרטי ההזמנה למייל שהגדרת. <br/>כשהמשלוח יצא, תקבל מייל נוסף ובו קישור למעקב אודות התקדמות המשלוח."
"What's this?","מה זה?"
"You have no items in your shopping cart.","סל הקניות שלך ריק."
"You will receive an order confirmation email with details of your order and a link to track its progress.","אישור הזמנה ישלח לכתובת האימייל שצויינה ובה קישור למעקב אחר התקדמות ההזמנה."
"Your Checkout Progress","התקדמות התשלום שלך"
"Your order number is ","מספר ההזמנה שלך הוא"
"Zip/Postal Code","מיקוד"
"or","או"
