"# of Use","# שימוש"
"%1$s incl tax.","%1$s כולל מס."
"%s Item(s)","%s מוצר(ים)"
"(Copy data from: %s)","(העתק נתונים מ: %s)"
"Change status","שנה סטטוס"
"Check items to add to the cart or","בחר פריטים להוספה לעגלה או"
"Choose an Option...","בחרו אפשרות..."
"Clear All","נקה הכל"
"Clear Price","נקה מחיר"
"Click for price","לחץ לקבלת מחיר"
"Close Window","סגירת חלון"
"Collapse All","כווץ הכל"
"Comma-separated.","מופרד באמצעות פסיקים."
"Comparable","ניתן להשוואה"
"Comparable on Front-end","ניתן להשוואה באתר"
"Compare","השוואה"
"Compare Products","השוואת מוצרים"
"Conditions Combination","שילוב תנאים"
"Configurable Product","מוצר מורכב"
"Configurable Product Settings","מצר מורכב - הגדרות"
"Configure Product","הגדרת המוצר"
"Continue","המשך"
"Copy From Configurable","העתק ממורכב"
"Country/State","ארץ/מדינה"
"Create","יצירה"
"Create (Upload)","צור (העלה לשרת)"
"Create Empty","צור ריק"
"Create Permanent Redirect for URLs if URL Key Changed","צור הפנייה קבועה לכתובת אם מזהה הכתובת השתנה"
"Create Permanent Redirect for old URL","צור הפנייה קבועה עבור כתובת ישנה"
"Create Product Settings","צור הגדרות מוצר"
"Create Simple Associated Product","צור קישור פשוט למוצר שייך"
"Create new category","צור קטגוריה חדשה"
"Create new product","צור מוצר חדש"
"Cross-sells","מוצרים משלימים"
"Custom Design","עיצוב מותאם"
"Custom Options","אפשרויות מותאמות אישית"
"Customer Group","קבוצת לקוחות"
"Customers Reviews","ביקורות קונים"
"Customers Tagged Product","מוצר מסומן עם תגית על יד לקוחות"
"Data Type for Saving in Database","סוג מידע עבור שמירה במסד נתונים"
"Date & Time Custom Options","אפשרויות מותאמות אישית של תאריך וזמן"
"Date Fields Order","שדות תאריך"
"Date Subscribed","תאריך רישום"
"Datetime","תאריך ושעה"
"Decimal","עשרוני"
"Declare attribute value saving scope","הכרז על הקף שמירת ערכי תכונות"
"Default ""What's This"" Text Message","ברירת מחדל ""מה זה"" הודעת טקסט"
"Default Popup Text Message","הודעת הטקסט כברירת המחדל בפופ-אפ"
"Default Price","מחיר בררת מחדל"
"Default Price Navigation Step","שלב ברירת המחדל בתפריט המחיר"
"Default Qty","כמות ברירת מחדל"
"Default Values","ערכי בררת מחדל"
"Delete","מחק"
"Delete Attribute","מחק תכונה"
"Delete Attribute Set","מחק סט תכונות"
"Delete Category","מחק קטגוריה"
"Delete Option","מחר אפשרות"
"Delete Row","מחיקת שורה"
"Delete Search","מחיקת חיפוש"
"Delete Selected Group","מחיקת הקבוצה שנבחרה"
"Delete Tier","מחר כמותי"
"Delete category","מחק קטגוריה"
"Delete product","מחק מוצר"
"Depends on design theme","תלוי בערכת העיצוב"
"Description","תיאור"
"Design","עיצוב"
"Details","פרטים"
"Disabled","לא פעיל"
"Display Actual Price","הצג מחיר עכשווי"
"Display Page Control","הצג דף בקרה"
"Display Price Interval as One Price","הצג טווחי מחיר בתור מחיר אחד"
"Display Product Count","הצגת מונה מוצרים"
"Display Type","סוג תצוגה"
"Display in Suggested Terms","הצגה במונחים המוצעים"
"Double click on a group to rename it","לחץ לחיצה כפולה לשינוי שם קבוצה"
"Double click on above image to view full picture","לחץ לחיצה כפולה על התמונה כדי לראות מבט מלא"
"Downloadable Information","מידע להורדה"
"Duplicate","שכפל"
"Duplicate website tier price customer group and quantity.","כפילות בתמחור שכבתי, קבוצות לקוח וכמות"
"Duplicate website, country and state tax found.","כפילות באתר, נמצא מס ארץ וגם מס מדינה."
"Edit","ערוך"
"Edit Attribute Set '%s'","ערוך סט תכונות '%s'"
"Edit Product Attribute","ערוך תכונת מוצר"
"Edit Product Attribute ""%s""","ערוך תכונת מוצר ""%s"""
"Edit Search","עריכת חיפוש"
"Edit Search '%s'","ערוך חיפוש '%s'"
"Email","דואר אלקטרוני"
"Email to a Friend","דואר אלקטרוני לחבר"
"Empty","ריק"
"Enable MAP","אפשר MAP"
"Enable Qty Increments","לאפשר כמות בהפרשים קבועים"
"Enabled","פעיל"
"Error during retrieval of option value: %s","טעות מהלך שחזור ערך אפשרות :  %s"
"Exclude","הוצא"
"Expand All","הרחב הכל"
"Failed","נכשל"
"Failed to move file: %s","נכשל בהזזת קובץ: %s"
"Feature Products","מוצרים בהצגה"
"File upload failed","העלאת קובץ נכשלה"
"Filter","סינון"
"Filterable (no results)","ניתן לסינון (ללא תוצאות)"
"Filterable (with results)","ניתן לסינון (עם תוצאות)"
"First Name","שם פרטי"
"Fixed","קבוע"
"For the last time placed.","בפעם האחרונה."
"Frontend","חלק קדמי"
"Frontend Model","מודל של חלק קדמי"
"Frontend Properties","מאפייני חלק קדמי"
"Gallery","גלריה"
"General Information","מידע כללי"
"Get special price","קבל מחיר מיוחד"
"Global","גלובלי"
"Globally Editable","ניתן לעריכה גלובאלית"
"Go to Home Page","מעבר לעמוד הבית"
"Grid","גריד תצוגה"
"Grouped Product","מוצר קבוצתי"
"Groups","קבוצות"
"Home","דף הבית"
"ID","מזהה"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","אם אתה לא מציין ערך עבור אפשרות תצוגת חנות , יבוצע שימוש בערך ברירת המחדל  (מנהל) ."
"Image","תמונה"
"Image content is not valid base64 data.","תוכן תמונה אינו מידע base64 תקין."
"Image type and information need to be specified for each store view.","סוג התמונה והמידע צריכים להיות מצויינים עבור כל חנות"
"In Cart","בעגלה"
"In Stock","במלאי"
"In stock","במלאי"
"Incl. Tax","כולל מס"
"Index product prices","אינדקס מחירי מוצרים"
"Indexed category/products association","שיוך קטגוריות/מוצרים באינדקס"
"Input Type","סוג הקלט"
"Integer","מספר שלם"
"Interval Division Limit","הגבלת חלוקת המרווחים"
"Invalid Tier Prices","תמכור שכבות שגוי"
"Invalid image type.","סוג תמונה שגוי."
"Invalid store specified","צויינה חנות שגויה"
"Inventory","מלאי"
"Is Default","ברירת מחדל"
"Is Required","נדרש"
"Items %s to %s of %s total","פריטים %s עד %s מתוך %s פרטים"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","פריטים שאינך רוצה שיופיעו בקטלוג או בתוצאות חיפוש צריכים להיות ""לא פעילים"" בחנות הרצויה"
"Keep your eyes open for our special Back to School items and save A LOT!","שים לב! ההצעות המיוחדות שלנו יחסכו לכם כסף וזמן!"
"Label","תווית"
"Last Name","שם משפחה"
"Last Notification","תזכורת אחרונה"
"Layered Navigation","פילטור הניווט"
"Learn More","מידע נוסף"
"Line %d, Email: %s","שורה %d, אמייל: %s"
"Line %d, SKU: %s","שורה %d, מק""ט: %s"
"Link (Related, Up sell, Cross sell)","קישור (Related, Up sell, Cross sell)"
"Link to a Specified Category","קישור לקטגוריה שצויינה"
"Link to a Specified Product","קישור למוצר שצויין"
"List","רשימה"
"List Mode","מצב רשימה"
"List of Products that are set as New","רשימת המוצרים המוגדרים בתור חדשים"
"Manage Attribute Sets","ניהול קבוצות תכונות"
"Manage Attributes","ניהול תכונות/מאפיינים"
"Manage Catalog Categories","ניהול קטגוריות קטלוג"
"Manage Categories","ניהול קטגוריות"
"Manage Label / Options","ניהול תוויות/אפשרויות"
"Manage Product Attributes","נהל תכונות מוצר"
"Manage Product Sets","ניהול קבוצות מוצרים"
"Manage Stock","ניהול מלאי"
"Manage Titles (Size, Color, etc.)","ניהול כותרות (גודל, צבע, וכו '.)"
"Max Characters","מספר תווים מרבי"
"Maximal Depth","עומק מקסימלי"
"Maximum Image Size","גודל תמונה מרבי"
"Maximum Number of Price Intervals","המספר המרבי עבור מרווחי המחיר"
"Maximum Qty Allowed in Shopping Cart","כמות מרבית המותרת בעגלת הקניות"
"Maximum image height","גובה תמונה מקסימלית"
"Maximum image width","רוחב תמונה מקסימלית"
"Maximum number of characters:","המספר המרבי של תווים:"
"Maximum number of price intervals is 100","המספר המרבי של מרווחי המחיר הוא 100"
"Media Image","תמונת מדיה"
"Minimum Advertised Price","מינימום עבור מחיר מפורסם"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המותרת בעגלת הקניות"
"Minimum Qty for Item's Status to be Out of Stock","כמות מינימלית כדי שסטטוס פריט יהיה ""לא במלאי"""
"More Views","תצוגות נוספות"
"Move","העברה"
"Move category in tree","העבר קטגוריה בעץ"
"My Account","החשבון שלי"
"N/A","לא זמין"
"Name","שם"
"New Product","מוצר חדש"
"New Product Attribute","תכונת מוצר חדשה"
"New Products","מוצרים חדשים"
"New Products Grid Template","תבנית תצוגת גריד מוצרים חדשה"
"New Products List Template","תבנית תצוגת רשימת מוצרים חדשה"
"New Search","חיפוש חדש"
"New Set Name","שם קבוצה חדשה"
"New products","מוצרים חדשים"
"Next","הבא"
"No","לא"
"No image","אין תמונה"
"No layout updates","אין עדכוני סידור"
"No options of this product are available.","אין אפשרויות זמינות למוצר זה."
"None","ללא"
"Not Visible Individually","אינו גלוי בנפרד"
"Notify Low Stock RSS","הודעה RSS עבור מלאי מועט"
"Notify for Quantity Below","הודעה עבור כמות מתחת"
"Number of Products per Page","מספר המוצרים לכל עמוד"
"Number of Products to Display","מספר המוצרים להצגה"
"Number of Uses","מספר השימושים"
"Number of results","מספר תוצאות"
"Number of results (For the last time placed)","מספר תוצאות (מהפעם האחרונה)"
"OK","אישור"
"OR","או"
"Old Price:","מחיר ישן:"
"On Gesture","על המחווה"
"Option:","אפשרות:"
"Options","אפשרויות"
"Options Control","התאמת אפשרויות"
"Options is required","אפשרות נדרשת"
"Our customer service is available 24/7. Call us at (555) 555-0123.","שירות הלקוחות שלנו פעיל 24/7. צור קשר בטל' (555) 555-0123."
"Out of Stock","אזל מהמלאי"
"Out of stock","אזל מהמלאי"
"Page Title Separator","תו מפריד לכותרת"
"Parent Category","קטגורית אב"
"Pending","ממתינה"
"Pending Reviews RSS","סיקורים בהמתנה RSS"
"Percentage","אחוז"
"Please add rows to option.","נא להוסיף שורות לאפשרות."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","שים לב, ברגע שתלחץ על שורה, חבילת מידע תועלה מהקובץ הנבחר וכל המידע שאינו שמור ימחק."
"Please enter a new group name","אנא הכנס שם קבוצה חדשה"
"Please select one or more attributes.","בחר מאפיין אחד או יותר"
"Please select products for attributes update","בחר מוצרים לעדכון מאפיינים"
"Please specify date required option(s).","נא לספק אפשרויות תאריכים דרושות."
"Please specify the number of products, that will not be divided into subintervals.","נא ציין את מספר מוצרים, אשר אינם ניתנים לחילוק בטווחים."
"Please specify the product required option(s)","ציין את אפשרות(יות) המוצר הנדרשת(ות)"
"Please specify the quantity of product(s).","נא לציין את כמות המוצרים."
"Please specify time required option(s).","נא לסמן אפשרויות זמן דרושות."
"Please wait...","אנא המתן..."
"Position","מיקום"
"Position in Layered Navigation","מיקום בתפריט הפלטור"
"Position of attribute in layered navigation block","מיקום תכונה בבלוק ניווט layered"
"Prev","הקודם"
"Previous","הקודם"
"Price","מחיר"
"Price Navigation Step Calculation","שלב חישוב המחיר בתפריט הניווט"
"Price Type","סוג מחיר"
"Price values for options should be specified in system base currency.","אפשרויות ערכי מחיר צריכות להיות מצוינות במטבעות הבסיסיים של המערכת."
"Price:","מחיר:"
"Print This Page","הדפס עמוד זה"
"Product","מוצר"
"Product API","ממשק ניהול מוצרים"
"Product Alerts","התראות מוצר"
"Product Attribute","תכונות מוצר"
"Product Attributes","תכונות מוצר"
"Product Categories","קטגוריות מוצר"
"Product Description","תיאור המוצר"
"Product Flat Data","מידע Flat עבור מוצרים"
"Product ID","מזהה מוצר"
"Product Image Placeholders","ברירת המחדל של התמונה של המוצר"
"Product Image Watermarks","Watermarks עבור תמונת המוצר"
"Product Images","תמונות המוצר"
"Product Images API","ממשק ניהול תמונות מוצרים "
"Product In Websites","מוצר באתרים"
"Product Info Column","עמודת מידע אודות המוצר"
"Product Information","מידע מוצר"
"Product Link Block Template","תבנית בלוק קישור מוצר"
"Product Link Inline Template","תבנית בתוך השורה קישור מוצר"
"Product Listing Sort by","מיון מוצרים לפי"
"Product Name","שם מוצר"
"Product Reviews","חוות דעת מוצרים"
"Product Tags","תגיות מוצר"
"Product Tier Price API","ממשק ניהול רמות מחירי מוצרים"
"Product Type","סוג מוצר"
"Product URL Suffix","סיומת כתובת URL למוצר"
"Product attribute sets API","ממשק ניהול קבוצות מאפייני המוצר"
"Product attributes API","ממש ניהול של מאפייני המוצר"
"Product is not loaded","מוצר לא נטען"
"Product links API (related, cross sells, up sells)","ממשק ניהול קישורי מוצר(related, cross sells, up sells)"
"Product types API","ממשק ניהול סוגי מוצר"
"Product with this combination of attributes already associated to configurable.","מוצר עם צירוף אפשרויות זה מקושר כבר למוצר מוגדר"
"Products","מוצרים"
"Products Comparison List","רשימת מוצרים להשוואה"
"Products Information","מידע על מוצרים"
"Products Reviews","סקירות מוצר"
"Products Sitemap","מפת אתר של מוצרים"
"Products only","מוצרים בלבד"
"Products per Page on Grid Allowed Values","ערכים מותרים עבור מוצרים בעמוד בתצוגת גריד"
"Products per Page on Grid Default Value","מוצרים עבור כל דף בגריד ברירת המחדל"
"Products per Page on List Allowed Values","ערכים מותרים עבור מוצרים בעמוד בתצוגת רשימה"
"Products per Page on List Default Value","מוצרים עבור עמוד ברשימת ערך ברירת מחדל"
"Properties","מאפיינים"
"Qty","כמות"
"Qty Increments","כמות בהפרשים קבועים"
"Qty Uses Decimals","כמות משתמשת בנקודה עשרונית"
"Qty:","כמות:"
"Quantity","כמות"
"Quick Create","יצירה מהירה"
"Quick Overview","סקירה מהירה"
"Quick simple product creation","יצירה מהירה של מוצר פשוט"
"Redirect","נתב מחדש"
"Redirect URL","ניתוב מחדש של כתובת URL"
"Regular Price:","מחיר רגיל:"
"Related Products","מוצרים נלווים"
"Remove","הסר"
"Remove Product From Websites","הסרת מוצר מהאתרים"
"Remove This Item","הסרת פריט זה"
"Remove product assignment","הסר הקצאה של מוצר"
"Remove product image","הסר תמונת מוצר"
"Remove product link","הסר קישור מוצר"
"Reorganize EAV category structure to flat structure","לארגן מחדש את מבנה קטגוריה EAV למבנה Flat"
"Reorganize EAV product structure to flat structure","לארגן מחדש את מבנה המוצר EAV למבנה Flat"
"Reset","איפוס"
"Results","תוצאות"
"Retrieve attribute data","אחזר תכונות מידע"
"Retrieve attribute list","אחזר רשימת תכונות"
"Retrieve attribute options","אחזר אפשרויות תכונות"
"Retrieve categories tree","אחזר עץ קטגוריות"
"Retrieve category attributes","אחזר תכונות קטגוריה"
"Retrieve category data","אחזר מידע קטגורי"
"Retrieve hierarchical tree","אחזר עץ היררכיה"
"Retrieve linked products","אחזר מוצרים מקושרים"
"Retrieve list of assigned products","אחזר רשימת מוצרים מיועדים"
"Retrieve one level of categories by website/store view/parent category","אחזר רמה אחת של קטגוריות לפי קטגורית : אתר/תצוגת חנות/קטגוריה ראשית"
"Retrieve product","אחזר מוצר"
"Retrieve product attribute sets","אחזר סט תכונות מוצר"
"Retrieve product image","אחזר תמונות מוצר"
"Retrieve product image list","אחזר רשימת תמונות המוצר"
"Retrieve product image types","אחזר סוגי תמונות המוצר"
"Retrieve product link type attributes","אחזר תכונות של סוגי קישור המוצר"
"Retrieve product link types","אחזר סוגי קישורים של מוצר"
"Retrieve product tier prices","אחזר רמות מחירי מוצר"
"Retrieve product types","אחזר סוגי מוצר"
"Retrieve products data","אחזר מידע אודות המוצרים"
"Retrieve products list by filters","אחזר רשימת מוצרים לפי מסננים"
"Reviews","חוות דעת"
"Root","שורש"
"SKU","מק''ט"
"Save","שמור"
"Save Attribute","שמור תכונה"
"Save Attribute Set","שמור סט תכונות"
"Save Category","שמור קטגוריה"
"Save Search","שמירת חיפוש"
"Save and Continue Edit","שמור והמשך בעריכה"
"Scope","טווח"
"Scope must not be changed, because the attribute is used in configurable products.","המרחב חייב להיות שונה, התכונה משמשת להתאים מוצרים"
"Search","חפש"
"Search Engine Optimizations","אופטימיזציית מנוע חיפוש"
"Search Information","מידע על החיפוש"
"Search Query","שאילתת החיפוש"
"Search Weight","חיפוש משקל"
"Searchable","ניתן לחיפוש"
"See price before order confirmation.","ראה מחיר לפני אישור ההזמנה."
"Select Category...","בחר קטגוריה..."
"Select Configurable Attributes ","בחר מאפיינים הניתנים להגדרה"
"Select Product...","בחר מוצר..."
"Select type of option","בחר סוג אפשרות"
"Select type options required values rows.","בחירת סוג אפשרויות דורש ערכי שורות."
"Selected Product Types","סוגי מוצר נבחרים"
"Send Count","מונה שליחות"
"Set Ascending Direction","הגדר מיון בסדר עולה"
"Set Descending Direction","הגדר מיון בסדר יורד"
"Set Name","קבע שם"
"Set root category for this store in the <a href=""%s"">configuration</a>","הגדר קטגוריה ראשית עבור החנות ב <a href=""%s"">תצורות</a>"
"Set special price","הגדר מחיר מיוחד"
"Set/Get current store view","הגדר/קבל תצוגת חנות נוכחית"
"Settings","הגדרות"
"Shop By","סנן לפי"
"Shopping Options","אפשרויות סינון"
"Show","הצגה"
"Show Details","הראה פרטים"
"Show Tags","הראה תגיות"
"Simple Product","מוצר פשוט"
"Site Map","מפת אתר"
"Sitemap","מפת אתר"
"Skip import row, is not valid value ""%s"" for field ""%s""","דלג על שורה, ערך לא תקין ""%s"" עבור שדה ""%s"""
"Some of the selected item options are not currently available.","חלק מאפשריות הפריט שבחרת לא זמינים כרגע."
"Sort By","מיון לפי"
"Sort Order","סדר מיון"
"Source Model","מודול מקור"
"Special Price:","מחיר מבצע:"
"Starting at:","מתחיל ב:"
"Static","סטטי"
"Static block and products","בלוק סטטי ומוצרים"
"Static block only","בלוק סטטי בלבד"
"Status","סטטוס"
"Stock Availability","זמינות המלאי"
"Store","חנות"
"Store View","תצוגת חנות"
"Stretch","מתיחה"
"Subscribe to RSS Feed","הצטרף כמנוי להזנות RSS"
"Super product attributes configuration","תצורה מתקדמת של אפשרויות מוצרים "
"Synonym For","מילה נרדפת ל"
"System Properties","מאפייני מערכת"
"Tag Name","שם תג"
"Tax","מס"
"Template","תבנית"
"Text","טקסט"
"The base directory to upload file is not specified.","ספריית הבסיס כדי להעלות קובץ לא צוינה."
"There are no %s available.","אין %s זמינים."
"There are no customers for this alert","אין לקוחות לתזכורת/התרעה זו"
"There are no customers for this alert.","אין לקוחות עבור התראה זו."
"There are no products matching the selection.","לא נמצאו מוצרים העונים על הבחירה"
"This attribute cannot be edited.","אין אפשרות לערוך תכונה זו."
"This attribute is used in configurable products.","תכונה זו משמשת במוצרים מורכבים."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","תכונה זו משמשת במוצרים מורכבים. לא ניתן להסירו מסט התכונה."
"This attribute no longer exists","מאפיין זה לא קיים יותר"
"This attribute set no longer exists.","קבוצת התכונות כבר לא קיימת."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","קבוצה זאת מכילה תכונות, אשר נמצאות בשימוש בתצורת מוצרים. אנא, העבר תכונות אלה לקבוצה אחרת ונסה שנית."
"This group contains system attributes. Please move system attributes to another group and try again.","קבוצה זו מכילה תכונות המערכת. נא להעביר תכונות מערכת לקבוצה אחרת ונסה שוב."
"This is a required option","זאת אפשרות נדרשת"
"This search no longer exists.","החיפוש לא קיים."
"This setting will be applied when all prices in the specific price interval are equal.","הגדרה זו תחול כאשר כל המחירים במרווח המחירים הספציפי שווים."
"Tier Pricing","מחיר כמויות"
"Tile","אריח"
"Time Format","פורמט השעה"
"Title","כותרת"
"To see product price, add this item to your cart. You can always remove it later.","כדי לראות את מחיר המוצר, הוסף פריט זה לסל שלך. תוכל להסיר את הפריט מאוחר יותר."
"Top/Left","למעלה / שמאלה"
"Top/Right","למעלה / ימינה"
"Total Qty Base Items","סה""כ כמות פריטי בסיס"
"Total incl. Tax: %1$s","סה""כ כולל מע""מ: %1$s"
"Type","סוג"
"URL Rewrite Management","ניהול כתובת לשכתוב"
"Unassigned Attributes","תכונות שלא הושמו"
"Up-sells","קידומי מכירות"
"Update","עדכן"
"Update Attributes","עדכן תכונות"
"Update Tier Price","עדכן מחיר שכבה"
"Update attributes","עדכן תכונות"
"Update category","עדכן קטגוריה"
"Update product","עדכן מוצר"
"Update product image","עדכן תמונת מוצר"
"Update product link","עדכן לינק למוצר"
"Update product tier prices","עדכן נתוני תמחור שכבות למוצר"
"Upload new product image ","העלה תמונת מוצר חדשה"
"Use Canonical Link Meta Tag For Categories","להשתמש בקישור קטנוניקל תגיות-מטא עבור קטוגריות"
"Use Canonical Link Meta Tag For Products","להשתמש בקישור קטנוניקל תגיות-מטא עבור מוצרים"
"Use Categories Path for Product URLs","השתמש בנתיב קטגוריות עבור כתובות מוצרים"
"Use Config Settings","השתמש בהגדרות הראשיות"
"Use Default Value","השתמש בערך ברירת המחדל"
"Use Flat Catalog Category","השתמש בקטגוריית flat קטלוג"
"Use Flat Catalog Product","להשתמש flat במוצר קטלוג"
"Use In Layered Navigation","השתמש בניווט layered"
"Use In Search Results Layered Navigation","השתמש בתוצאות החיפוש של ניווט layered"
"Use JavaScript Calendar","השתמש בלוח JavaScript"
"Use To Create Configurable Product","השתמש בכדי ליצור תצורת מוצר"
"Use Tree Like Category Sitemap","השתמש במפת אתר בתצורת עץ"
"Use config","השתמש בהגדרה"
"Use default","השתמש בברירת המחדל"
"Use for Promo Rule Conditions","השתמש עבור כללי קידום ומבצעים"
"Use in Layered Navigation","שימוש בפילטור הניווט"
"Used for Sorting in Product Listing","השתמש לסידור המוצרים בחנות הקדמית"
"Used in Product Listing","בשימור ברשימת מוצרים"
"Varchar","תווי"
"View Details","הצגת פרטים"
"View as","הצג כ-"
"Virtual Product","מוצר וירטואלי"
"Visibility","נראות"
"Visible","מוצג"
"Visible on Catalog Pages on Front-end","גלוי בדפי הקטלוג באתר"
"Visible on Product View Page on Front-end","גלוי בדף צפייה במוצר באתר"
"WYSIWYG Editor","עורך WYSIWYG"
"Watermark","סימן מים"
"Watermark Default Size","סימן מים - גודל ברירת מחדל"
"Watermark Position","מיקום סימן מים"
"We Also Recommend","אנחנו ממליצים"
"Website","אתר"
"Websites","אתרים"
"What's this?","מה זה?"
"Wrong option type to get group instance."," סוג אפשרויות שגוי לקבלת קבוצת ערכאות"
"Year Range","טווח בשנה"
"Yes","כן"
"You cannot remove system attribute from this set.","אתה לא יכול להסיר אפשרויות מערכת מסט זה"
"You have no items to compare.","אין לך פריטים להשוואה."
"You may also be interested in the following product(s)","ייתכן שאתה מעוניין גם במוצר/ים הבא/ים"
"You saved the search term.","ביטוי החיפוש נשמר."
"Zoom In","הגדל"
"Zoom Out","הקטן"
"and","וגם"
