" [deleted]"," [נמחק]"
"Account Created on (%s):","חשבון נוצר ב (%s):"
"Account Created on:","החשבון נוצר ב:"
"Account Information","פרטי חשבון"
"Account Status","מצב חשבון"
"Account status","סטטוס חשבון"
"Action","פעולה"
"Actions","פעולות"
"Actions XML","פעולות XML"
"Active","פעיל"
"Add","הוספה"
"Add Exception","הוסף יוצא מן הכלל"
"Add Field Mapping","הוסף מיפוי שדה"
"Add Field with URL:","הוסף שדה עם URL:"
"Add New","הוסף חדש"
"Add New Block","הוספת בלוק חדש"
"Add New Image","הוסף תמונה חדשה"
"Add New Profile","הוסף פרופיל חדש"
"Add New Role","הוסף תפקיד חדש"
"Add New Template","להוסיף תבנית חדשה"
"Add New URL Rewrite","הוסף כתובת חדשה לשכתוב"
"Add New User","הוסף משתמש חדש"
"Add New Variable","הוסף משתנה חדש"
"Add Products","הוסף מוצרים"
"Add URL Rewrite","הוסף כתובת לשכתוב"
"Add URL Rewrite for a Category","הוסף כתובת לשכתוב עבור קטגוריה"
"Add URL Rewrite for a Product","הוסף כתובת לשכתוב עבור מוצר"
"Add after","להוסיף לאחר"
"Additional Cache Management","ניהול Cache נוספים"
"Address Type:","סוג כתובת:"
"Admin","ממשק ניהול"
"Advanced Profiles","פרופילים מורחבים"
"All","הכל"
"All Allowed Countries","כל המדינות המותרות"
"All Cache","כל הcache"
"All Files","כל הקבצים"
"All Reviews","כל חוות הדעת"
"All Store Views","כל תצוגות החנויות"
"All Tags","כל התגים"
"All Websites","כל האתרים"
"All countries","כל המדינות"
"All fields","כל השדות"
"All valid rates have been saved.","כל המחירים בתוקף נשמרו."
"Always (during development)","תמיד (במהלך פיתוח)"
"Amounts","כמויות"
"An error occurred while clearing the JavaScript/CSS cache.","אירעה שגיאה בעת ניקוי הCache של JavaScript/CSS."
"An error occurred while clearing the image cache.","אירעה שגיאה בעת ניקוי הcache של התמונה."
"An error occurred while deleting this role.","אירעה שגיאה בעת מחיקת תפקיד זה."
"An error occurred while saving account.","אירעה שגיאה בעת שמירת חשבון."
"An error occurred while saving this role.","אירעה שגיאה בעת שמירת תפקיד זה."
"Any","כל"
"Any Attribute Set","סט תכונות כלשהו"
"Any Group","קבוצה כלשהי"
"Any Status","סטטוס כלשהו"
"Any Store","חנות כלשהי"
"Any Type","סוג כלשהו"
"Any Visibility","נראות כלשהי"
"Archive file name:","הכנס שם קובץ לארכיון:"
"Are you sure that you want to delete this template?","אתה בטוח שאתה רוצה למחוק את התבנית הזאת?"
"Are you sure that you want to strip tags?","האם אתה בטוח שברצנך להסיר את התגים?"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות את זה?"
"Area","איזור"
"As low as:","נמוך עד לרמה של:"
"Assigned","הוקצה"
"Attribute Set Name:","סט תכונות - שם:"
"Attributes","תכונות"
"Authorize","אישור"
"Automatic (equalize price ranges)","אוטומטי (השוואת טווחי מחיר)"
"Automatic (equalize product counts)","אוטומטי (השוואת כמויות מוצר)"
"Average Order Amount","כמות הזמנה ממוצעת"
"Average Orders","ממוצע הזמנות"
"Back","חזור"
"Back to Login","בחזרה ל'כניסה'"
"Backup","גיבוי"
"Backup Name","שם גיבוי"
"Backup options","אפשרויות גיבוי"
"Backups","גיבויים"
"Base currency","מטבע הבסיס"
"Bcc","עותק מוסתר"
"Bestsellers","הנמכרים ביותר"
"Billing Address","כתובת חיוב"
"Billing Agreements","הוראות קבע"
"Block Information","בלוק מידע"
"Blocks","בלוקים"
"Both (without and with tax)","שניהם (עם ובלי מס)"
"Browse Files...","עיון קבצים..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","מוצר מקובץ עם תמחור דינמי לא יכול להכיל אפשרויות מותאמות אישית. האפשרויות לא ישמרו."
"By Email","באמצעות דואר אלקטרוני"
"By IP","לפי IP"
"By IP and Email","על-ידי IP ודואר אלקטרוני"
"CMS","ניהול תוכן"
"CRITICAL","קריטי"
"CSV / Tab separated","CSV / מופרד בטאבים"
"Cache Control","בקרת מטמון"
"Cache Control (beta)","ניהול זכרון מטמון (בטא)"
"Cache Management","ניהול Cache"
"Cache Type","סוג מטמון"
"Cancel","ביטול"
"Cannot add new comment.","אין אפשרות להוסיף תגובה חדשה."
"Cannot add tracking number.","אין אפשרות להוסיף מספר המעקב."
"Cannot do shipment for the order separately from invoice.","לא ניתן לשלח הזמנה בנפרד מהחשבונית."
"Cannot do shipment for the order.","לא ניתן לשלח הזמנה."
"Cannot save shipment.","אין אפשרות לשמור את המשלוח."
"Cannot send shipment information.","אין אפשרות לשלוח מידע אודות המשלוח."
"Card Verification Number","קוד אימות לכרטיס"
"Catalog","קטלוג"
"Catalog Price Rules","כללי תמחור קטלוג"
"Catalog Rewrites","קטלוג Rewrites"
"Categories","קטגוריות"
"Category","קטגוריה"
"Category:","קטגוריה:"
"Checkbox","תיבת סימון"
"Choose Store View:","בחירת תצוגת חנות:"
"Choose an attribute","בחר תכונה"
"Clear","נקה"
"Close","סגור"
"Code","קוד"
"Complete","הושלמה"
"Config form fieldset clone model required to be able to clone fields","הגדרות לטופס שדות דגם משוכפלים הנדרשים כדי שניתן יהיה לשכפל שדות"
"Configuration","הגדרות תצורה"
"Confirm New Password","אימות סיסמה חדשה"
"Confirmed email:","אישור דואר אלקטרוני:"
"Continue","המשך"
"Convert to Plain Text","המר לטקסט רגיל"
"Cookie (unsafe)","Cookie(לא מאובטח)"
"Country","ארץ"
"Country:","ארץ:"
"Coupons","קופונים"
"Create","יצירה"
"Create DB Backup","ליצור גיבוי ל-DB"
"Create New Attribute","יצירת תכונה חדשה"
"Created At","נוצר ב-"
"Credit Card Number","מספר כרטיס אשראי"
"Credit Card Number: xxxx-%s","מספר כרטיס אשראי: xxxx-%s"
"Credit Card Type","סוג כרטיס אשראי"
"Credit Card Type: %s","סוג כרטיס אשראי: %s"
"Credit Memo History","זכות - היסטוריה"
"Credit Memo Totals","זכות - סיכומים"
"Credit Memos","חשבוניות זיכוי"
"Currency","מטבע"
"Currency Information","מידע על מטבע"
"Current Configuration Scope:","טווח ההגדרות הנוכחי:"
"Current Month","החודש הנוכחי"
"Custom","מותאם"
"Custom Variables","משתנים מותאמים אישית"
"Customer","לקוח"
"Customer Group:","קבוצת לקוח:"
"Customer Groups","קבוצות לקוחות"
"Customer Name","שם לקוח"
"Customer Reviews","חוות דעת של לקוחות"
"Customer Since:","לקוח מתאריך:"
"Customer Tax Classes","לקוח - מדרגות מס"
"Customer with the same email already exists.","לקוח עם אותה כתובת דוא""ל כבר קיים"
"Customers","לקוחות"
"Customers by Orders Total","לקוחות לפי סך ההזמנות"
"DHTML Date/Time Selector"," תאריך/זמן סלקטור DHTML"
"Dashboard","לוח בקרה"
"Data Format","פורמט נתונים"
"Data transfer:","העברת נתונים:"
"Database","בסיס נתונים"
"Date","תאריך"
"Date & Time","תאריך ושעה"
"Date Added","תאריך הוספה"
"Date Updated","תאריך עדכון/תאריך עודכן"
"Date selection:","תאריך בחירה:"
"Date selector","בחירת תאריך"
"Day","יום"
"Debug","דיבאג"
"Decimal separator:","מפריד עשרוני:"
"Default (Admin) Values","ערכי ברירת מחדל (מנהל)"
"Default Billing Address","כתובת ברירת המחדל לחיוב"
"Default Config","תצורת ברירת מחדל"
"Default Template from Locale","תבנית ברירת מחדל מ Locale"
"Default Values","ערכי בררת מחדל"
"Default scope","טווח ברירת מחדל"
"Delete","מחק"
"Delete %s","מחק/מחיקה %s"
"Delete %s '%s'","מחק/מחיקה %s '%s'"
"Delete Block","מחק בלוק"
"Delete File","מחק קובץ"
"Delete Image","מחיקת תמונה"
"Delete Profile","מחק פרופיל"
"Delete Role","מחק תפקיד"
"Delete Store","מחק חנות"
"Delete Store View","מחק תצוגת חנות"
"Delete Template","למחוק תבנית"
"Delete User","מחק משתמש"
"Delete Website","מחק אתר"
"Description","תיאור"
"Design","עיצוב"
"Details","פרטים"
"Direction:","כיוון:"
"Disable","השבת"
"Disabled","לא פעיל"
"Display %s first","הצג %s ראשון"
"Display default currency","הצגת מטבע ברירת מחדל"
"Distributed under GNU LGPL. See %s for details.","מופץ תחת חוקי GNU LGPL. ראה %s לפרטים."
"Do you really want to KILL parallel process and start new indexing process?","האם לעצור תהליך מקבילי ולהתחיל תהליך אינדוקס חדש?"
"Download","הורדה"
"Downloads","הורדות"
"Drag to move","גרור כדי להזיז"
"Drop-down","פקד דרופ-דאון"
"Edit","ערוך"
"Edit Block","עריכת בלוק"
"Edit Block '%s'","ערוך בלוק '%s'"
"Edit Design Change","ערוך שינוי עיצוב"
"Edit Email Template","ערוך תבנית דואר אלקטרוני"
"Edit Order","עריכת הזמנה"
"Edit Poll","ערוך סקר"
"Edit Queue","עריכת תור"
"Edit Review","עריכת חוות דעת"
"Edit Role","ערוך תפקיד"
"Edit Store View","ערוך תצוגת חנות"
"Edit System Template","עריכת תבנית מערכת"
"Edit Template","ערוך תבנית"
"Edit URL Rewrite","עריכת כתובת לשכתוב"
"Edit User","ערוך משתמש"
"Edit User '%s'","ערוך יוזר '%s'"
"Edit Website","ערוך אתר"
"Email","דואר אלקטרוני"
"Email Address:","כתובת דואר אלקטרוני:"
"Email to a Friend","דואר אלקטרוני לחבר"
"Email:","דואר אלקטרוני:"
"Enable","אפשר"
"Enabled","פעיל"
"Enclose Values In:","סגור ערכים ב:"
"Entity Type","סוג הישות"
"Entity type:","סוג ישות:"
"Error","שגיאה"
"Excl. Tax","למעט מס"
"Excl. Tax:","לא כולל מס:"
"Exclude media folder from backup","אל תכלול את תקיית המדיה לגיבוי"
"Expiration Date","תאריך תפוגה"
"Expiration Date: %s/%s","תאריך תפוגה: %s/%s"
"Export","ייצוא"
"Export CSV","ייצא קובץ CSV"
"Export Filters","ייצא קבצים"
"Export to:","ייצוא ל-:"
"Export:","ייצא:"
"FTP Host","שרת FTP"
"FTP Host[:Port]","FTP המארח [פורט:]"
"FTP Login","התחברות ל-FTP"
"FTP Password","סיסמת FTP"
"FTP credentials","פרטי ה-FTP"
"Failed","נכשל"
"Field","שדה"
"Field Mapping","מיפוי שדות"
"File","קובץ"
"File Information","מידע על קובץ"
"File System","מערכת קבצים"
"File name:","שם קובץ:"
"File size should be more than 0 bytes","גודל הקובץ צריך להיות מעל 0 bytes"
"Finished profile execution.","סיום ביצוע פרופיל."
"First Name","שם פרטי"
"First Name:","שם פרטי:"
"Fixed","קבוע"
"Flush Catalog Images Cache","נקה Cache של קטלוג תמונות"
"Flush JavaScript/CSS Cache","נקה JavaScript/CSS Cache"
"For category","לקטגוריה"
"For latest version visit: %s","לגרסה אחרונה בקר ב: %s"
"For product","למוצר"
"Forgot your password?","שכחת סיסמה?"
"Forgot your user name or password?","שכחת שם משתמש או סיסמא?"
"From","מ-"
"General Information","מידע כללי"
"Get Image Base64","קבל Base64"
"Get help for this page","קבל עזרה לעמוד זה"
"Global Attribute","תכונה גלובלית"
"Global Record Search","חיפוש גלובלי לרשומה"
"Global Search","חיפוש כללי"
"Go Today","לך היום"
"Go to Top","ללכת לעליון"
"Grand Total","הסכום הכולל"
"Grid (default) / List","גריד (בררת מחדל) / רשימה"
"Grid Only","גריד בלבד"
"Group:","קבוצה:"
"Guest","אורח"
"HTTP (unsecure)","HTTP (לא מאובטח)"
"Home","דף הבית"
"ID","מזהה"
"ID Path","ID נתיב"
"IP Address","‏כתובת IP"
"IPN (Instant Payment Notification) Only","IPN (הודעת תשלום מיידי) בלבד"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","אם אתה לא מציין ערך עבור אפשרות תצוגת חנות , יבוצע שימוש בערך ברירת המחדל  (מנהל) ."
"Images (.gif, .jpg, .png)","תמונות (.gif,. jpg,. png)"
"Images Cache","Cache של תמונות"
"Import","ייבא"
"Import Service","שירות ייבוא"
"Import and Export Tax Rates","שיעורי מס של ייצוא וייבוא"
"Import/Export","ייבוא/ייצוא"
"Import/Export Advanced","ייבוא/ייצוא מתקדם"
"Import/Export Profile","ייבוא/ייצוא פרופיל"
"Imported <strong>%s</strong> records","יובאו <strong>%s</strong> רשומות"
"In","ב/בפנים"
"In Database:","בבסיס הנתונים:"
"In File:","בקובץ:"
"Inactive","לא פעיל"
"Incl. Tax","כולל מס"
"Incl. Tax:","כולל מס:"
"Incoming Message","הודעה חדשה"
"Insert Variable...","הוסף משתנה..."
"Interactive","אינטראקטיבי"
"Interface Locale: %s","ממשק  Locale: %s"
"Invalid Form Key. Please refresh the page.","מפתח לא חוקי. אנא רעננו את הדף."
"Invalid Import Service Specified","שירות ייבוא לא תקני"
"Invalid Secret Key. Please refresh the page.","מפתח Secret לא תקין, רענן את הדף."
"Invalid data","נתונים לא חוקיים"
"Invalid directory: %s","תיקייה לא תקינה: %s"
"Invalid file: %s","קובץ לא תקין: %s"
"Invalid input data for %s => %s rate","מידע  %s לא תקין  => %s שיעור"
"Invalidated","מבוטל"
"Inventory Stock Status","מצב מלאי"
"Invoice #%s comment added","הערות הוספו לחשבונית #%s"
"Invoice #%s created","חשבונית #%s נוצרה"
"Invoice History","היסטוריית חשבונית"
"Invoice Totals","חשבונית - סה""כ-ים"
"Invoices","חשבוניות"
"Is Closed","סגורה"
"Is Default","ברירת מחדל"
"Issue Number","מספר מקרה"
"Items","פריטים"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Last 24 Hours","יממה אחרונה"
"Last 5 Orders","5 הזמנות אחרונות"
"Last 5 Search Terms","5 חיפושים אחרונים"
"Last 7 Days","7 ימים אחרונים"
"Last Logged In (%s):","התחבר לאחרונה ב (%s):"
"Last Logged In:","אחרון שהתחבר:"
"Last Name","שם משפחה"
"Last Name:","שם משפחה:"
"Latest Message:","הודעה אחרונה:"
"Layered Navigation Indices","מדדי Layered Navigation"
"Leave empty to use tax identifier","השאר ריק בכדי להשתמש במזהה מס"
"Lifetime Sales","מבצע קבוע"
"Links","קישורים"
"List (default) / Grid","רשימה (בררת מחדל) / גריד"
"List Only","רשימה בלבד"
"Load Template","טעינת תבנית"
"Load default template","טען תבנית ברירת מחדל"
"Loading...","טוען..."
"Local Server","שרת מקומי"
"Local/Remote Server","שרת מקומי/מרוחק"
"Locale","מיקום"
"Log In","התחבר"
"Log Out","התנתק"
"Log in to Admin Panel","התחבר לממשק מנהל"
"Logged in as %s","מחובר כ %s"
"Login","כניסה"
"Low Stock","מלאי נמוך"
"MAJOR","גדול"
"MINOR","קטן"
"OpenMage Admin","מנהל מערכת מג'נטו"
"Magento Logo","לוגו מג'נטו"
"Magento root directory","ספריית הRoot של מג'נטו"
"Manage Attribute Sets","ניהול קבוצות תכונות"
"Manage Attributes","ניהול תכונות/מאפיינים"
"Manage Categories","ניהול קטגוריות"
"Manage Currency Rates","לנהל את שערי החליפין"
"Manage Customers","ניהול לקוחות"
"Manage Ratings","נהל דירוגים"
"Manage Stores","ניהול חנויות"
"Manage Tax Rules","ניהול כללי המס"
"Manage Titles (Size, Color, etc.)","ניהול כותרות (גודל, צבע, וכו '.)"
"Manual","באופן ידני"
"Maximum sender name length is 255. Please correct your settings.","אורך שם השולח המרבי הוא 255. נא תקן את ההגדרות."
"Media (.avi, .flv, .swf)","מדיה (.avi, .flv, .swf)"
"Messages Inbox","הודעות בתיבת הדואר הנכנס"
"Month","חודש"
"Most Viewed","הכי מוקלקים"
"Most Viewed Products","המוצרים הנצפים ביותר"
"Multiple Select","בחירה מרובה"
"My Account","החשבון שלי"
"N/A","לא זמין"
"NOTICE","הודעה"
"Name","שם"
"Name on Card","שם בעל הכרטיס"
"Name on the Card: %s","שם על כרטיס: %s"
"Name:","שם:"
"Never (production)","לעולם לא (ייצור)"
"New ","חדש "
"New Accounts","חשבונות חדשים"
"New Attribute","תכונה חדשה"
"New Block","בלוק חדש"
"New Category","קטגוריה חדשה"
"New Class","מחלקה חדשה"
"New Condition","תנאי חדש"
"New Custom Variable","משתנה מותאם אישית חדש"
"New Customer","לקוח חדש"
"New Customers","לקוחות חדשים"
"New Design Change","שינוי עיצוב חדש"
"New Email Template","תבנית דואר אלקטרוני החדשה"
"New Group","קבוצה חדשה"
"New Invoice","חשבונית חדשה"
"New Item Type","סוג פריט חדש"
"New Page","דף חדש"
"New Password","סיסמה חדשה"
"New Poll","סקר חדש"
"New Profile","פרופיל חדש"
"New Rating","דירוג חדש"
"New Review","חוות דעת חדשה"
"New Role","תפקיד חדש"
"New Rule","כלל חדש"
"New Search","חיפוש חדש"
"New Set","קבוצה חדשה"
"New Shipment","משלוח חדש"
"New Sitemap","מפת האתר החדשה"
"New Store View","תצוגה חדשה של החנות"
"New System Template","תבנית מערכת חדשה"
"New Tag","תגית חדשה"
"New Template","תבנית חדשה"
"New User","משתמש חדש"
"New Website","אתר חדש"
"Newsletter","ניוזלטר"
"Newsletter Queue","ניוזלטר - תור"
"Newsletter Subscribers","ניוזלטר - מנויים"
"Newsletter Templates","תבניות לניוזלטר"
"Next month (hold for menu)","חודש הבא (החזק לקבלת תפריט)"
"Next year (hold for menu)","שנה הבאה (החזק לקבלת תפריט)"
"No","לא"
"No (price without tax)","לא/ללא (מחיר ללא מס)"
"No Data","אין נתונים"
"No Data Found","לא נמצאו נתונים"
"No Templates Found","אין תבניות שנמצאו"
"No change","אין שינוי"
"No profile loaded...","לא נטען אף פרופיל...."
"No records found for this period.","לא נמצאו רשומות לתקופה זו."
"No records found.","לא נמצאו רשומות."
"No search keywords.","אין מילות מפתח לחיפוש"
"No search modules were registered","מודולי חיפוש לא נרשמו"
"None","ללא"
"Note:","הערה:"
"Notes","הערות"
"Notifications","התראות"
"Number of Orders","כמות הזמנות"
"Number of Uses","מספר השימושים"
"Number of Views","מספר צפיות"
"Number of records:","מספר רשומות"
"OK","אישור"
"Old rate:","דירוג ישן:"
"Online Customers","לקוחות מחוברים"
"Only Once (version upgrade)","רק פעם אחת (גירסת שדרוג)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","ניתן להשתמש רק באפשרויות עם טווח ""Global"" , ו ""Dropdown"" סוג קלט ו Use To Create Configurable Product ""Yes"". "
"Only mapped fields","רק שדות ממופים"
"Optional","אופציונלי"
"Options","אפשרויות"
"Options is required","אפשרות נדרשת"
"Order","הזמנה"
"Order #%s","מס' הזמנה %s"
"Order #%s (%s)","הזמנה מס' %s (%s)"
"Order ID","מספר הזמנה"
"Order Totals","סה""כ להזמנה"
"Orders","הזמנות"
"Original Magento attribute names in first row:","שמות אפשרויות ראשונות ב OpenMage המקורי:"
"Out of stock","אזל מהמלאי"
"Pages","דפים"
"Parent Product Thumbnail","התמונה הממוזערת של מוצר האב"
"Passive mode","מצב פאסיבי"
"Password","סיסמה"
"Password Confirmation","אמת סיסמה"
"Password:","סיסמה:"
"Path:","נתיב:"
"Pending Reviews","חוות דעת בהמתנה"
"Pending Tags","תגים ממתינים"
"Per Item","לכל פריט"
"Per Order","לכל הזמנה"
"Percent","אחוז"
"Performed At","בוצע ב"
"Period","תקופה"
"Permanent (301)","קבוע (301)"
"Permissions","הרשאות"
"Personal Information","פרטים אישיים"
"Phone:","טלפון:"
"Please Select","נא לבחור"
"Please confirm site switching. All data that hasn't been saved will be lost.","אנא אשר את החלפת האתרים. כל הנתונים אשר לא נשמרו יאבדו."
"Please enter 6 or more characters.","יש להקליד 6 תווים או יותר."
"Please enter a number greater than 0 in this field.","נא הזן מספר גדול מ 0 בשדה זה."
"Please enter a valid $ amount. For example $100.00.","בבקשה הכנס סכום תקין לדוגמא $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","אנא הקלד כתובת חוקית, לדוגמא: http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","אנא הקלד כתובת תקנית. http:// נדרש"
"Please enter a valid credit card number.","נא הזן מספר כרטיס אשראי תקף."
"Please enter a valid date.","הזינו בבקשה תאריך חוקי."
"Please enter a valid email address. For example johndoe@domain.com.","הקלד כתובת אימייל תקינה, לדוגמא: johndoe@domain.com."
"Please enter a valid email.","נא הזן כתובת דואר אלקטרוני חוקית."
"Please enter a valid number in this field.","נא הזן מספר חוקי בשדה זה."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","אנא הקלד מספר טלפון תקני, לדוגמא: (123) 456-7890 או 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","אנא הקלד מספר ביטוח לאומי/ת.ז. תקני, לדוגמא: 123456789"
"Please enter a valid value from list","נא הזן ערך חוקי מהרשימה"
"Please enter a valid value, ex: 10,20,30","הכנס ערך תקין, לדוגמה: 10,20,30"
"Please enter a valid zip code.","נא להזין מיקוד תקין."
"Please enter a valid zip code. For example 90602 or 90602-1234.","אנא ציין מיקוד. לדוגמא 69020"
"Please enter valid password.","יש להקליד סיסמה חוקית."
"Please make sure that all global admin search modules are installed and activated.","נא ודא כי כל המודולים בחיפוש גלובלי על ידי המנהל מותקנים ומופעלים."
"Please make sure that your changes were saved before running the profile.","ודא כי השינויים שלך נשמרו לפני הרצת הפרופיל"
"Please make sure your passwords match.","נא ודא שהסיסמאות שלך תואמות."
"Please select State/Province.","נא בחר מדינה/מחוז."
"Please select an option.","נא לבחור באפשרות."
"Please select customer(s).","אנא בחר לקוח/ות."
"Please select one of the above options.","יש לבחור אחת מהאפשרויות לעיל."
"Please select one of the options.","נא בחר אחת מאפשרויות אלה."
"Please specify the admin custom URL.","נא ציין כתובת URL מותאמת אישית בממשק הניהול."
"Please use in this field only ""a-z,0-9,_"".","אנא השתמש ב- ""a-z, 0-9, _"" בלבד."
"Please use letters only (a-z) in this field.","אנא השתמש באותיות (a-z) בלבד"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","נא להשתמש רק באותיות (a-z או A-Z), מספרים (0-9) או רווחים בשדה זה."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","אנא השתמש בספרות (0-9) ואותיות (א-ת, a-z) בלבד. המנע משימוש ברווחים ותווים אחרים."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","אנא השתמש בספרות (0-9), אותיות (א-ת, a-z), רווחים ו # בלבד בשדה זה."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","השתמש בתבנית התאריך הזה: dd/mm/yyyy. לדוגמה 17/03/2006 ה-17 במרץ 2006."
"Please wait, loading...","אנא המתן/י, טוען..."
"Please wait...","אנא המתן..."
"Poll Manager","ניהול סקרים"
"Polls","סקרים"
"Popular","פופלורי"
"Position","מיקום"
"Position of Watermark for %s","מיקום של סימן מים עבור %s"
"Prev. month (hold for menu)","חודש קודם (החזק לתפריט)"
"Prev. year (hold for menu)","שנה קודמת (החזק לתפריט)"
"Preview","תצוגה מקדימה"
"Preview Template","תצוגה מקדימה של תבנית"
"Price","מחיר"
"Price:","מחיר:"
"Processed <strong>%s%% %s/%d</strong> records","עובדו <strong>%s%% %s/%d</strong> רשומות"
"Processing","מעבד"
"Product","מוצר"
"Product Name","שם מוצר"
"Product Reviews","חוות דעת מוצרים"
"Product Tax Classes","מוצר - מדרגות/מחלקות מס"
"Product Thumbnail Itself","התמונה הממוזערת של המוצר עצמו"
"Product:","מוצר:"
"Products","מוצרים"
"Profile Action","פעולות פרופיל"
"Profile Actions XML","פעולות פרופיל XML"
"Profile Direction","כיוון פרופיל"
"Profile History","היסטוריית פרופיל"
"Profile Information","מידע פרופיל"
"Profile Name","שם פרופיל"
"Profile Wizard","אשף הפרופילים"
"Profiles","פרופילים"
"Promo","פרומו"
"Promotions","מבצעים"
"Quantity","כמות"
"Queue Refresh","רענון ברקע"
"Queued... Cancel","רענון ברקע... בטל"
"Radio Buttons","כפתורי רדיו"
"Rates","דירוגים"
"Read details","קרא פרטים"
"Rebuild","בנה מחדש"
"Rebuild Catalog Index","בנה מחדש אינדקס קטלוג"
"Rebuild Flat Catalog Category","בנה מחדש טבלת קטגוריות שטוחה"
"Rebuild Flat Catalog Product","בנה מחדש טבלת מוצרים שטוחה"
"Recent Orders","הזמנות האחרונות"
"Recursive Dir","  Dir נסוג"
"Redirect","נתב מחדש"
"Reference ID","מזהה ההפניה"
"Refresh","רענן"
"Refresh Now*","רענן עכשיו*"
"Refresh Statistics","סטטיסטיקת רענון"
"Region/State","אזור/מדינה"
"Regular Price:","מחיר רגיל:"
"Release","שחרור"
"Release Stability","שחרור יציבות"
"Release Version","שחרור גרסה"
"Reload captcha","טען CAPTCHA מחדש"
"Remote FTP","שרת FTP מרוחק"
"Remove","הסר"
"Reports","דו""חות"
"Request Path","נתיב מבוקש"
"Required","נדרש"
"Reset","איפוס"
"Reset Filter","איפוס מסנן"
"Reset Password","איפוס סיסמה"
"Reset a Password","איפוס סיסמה"
"Resize","שנה גודל"
"Resource Access","גישות משאב"
"Resources","משאבים"
"Results","תוצאות"
"Retrieve Password","אחזר סיסמה"
"Return Html Version","החזר את גרסת Html"
"Revenue","הכנסה"
"Reviews","חוות דעת"
"Reviews and Ratings","סקירות ודירוגים"
"Role ID","קוד תפקיד"
"Role Info","פרטי תפקיד"
"Role Information","מידע על התפקיד"
"Role Name","שם התפקיד"
"Role Resources","משאבי תפקיד"
"Role Users","תפקידי משתמשים"
"Roles","תפקידים"
"Roles Resources","משאבי תפקידים"
"Root Category","קטגורייה ראשית"
"Rotate CCW","סובב נגד כיוון השעון"
"Rotate CW","סובב עם כיוון השעון"
"Run","הרץ"
"Run Profile","הרץ פרופיל"
"Run Profile Inside This Window","הרץ פרופיל בתוך חלון זה"
"Running... Kill","מריץ... עצורl"
"SKU","מק''ט"
