"-- Please Select --","-- אנא בחר --"
"Incorrect credit card expiration date.","תאריך תפוגת כרטיס אשראי שגוי."
"Input type ""%value%"" not found in the input types list.","סוג הקלט ""%value%"" לא נמצא ברשימה סוגי קלט."
"Invalid base url type","סוג URL בסיס לא תקין"
"Invalid block type: %s","סוג בלוק מידע לא תקני: %s"
"Invalid block: %s","בלוק מידע לא תקני: %s"
"Invalid date","תאריך לא תקין"
"Invalid layout update handle","תפעול עדכון פריסת עיצוב לא תקני"
"Invalid messages storage ""%s"" for layout messages initialization","אחסון הודעות לא תקין ""%s"" לפריסת הודעות "
"JavaScript Settings","הגדרות JavaScript"
"Layout","פריסה"
"Leave empty for access from any location.","השאר ריק לגישה מכל מקום."
"Locale","מיקום"
"Locale Options","אפשרויות אזור"
"Log Settings","לוג - הגדרות"
"Login is Case Sensitive","הכניסה עם רגישות לאותיות קטנות/גדולות"
"Logo Image","תמונת לוגו"
"Logo Image Alt","Alt תמונת לוגו"
"Logo Image Src","לוגו - כתובת תמונה"
"Mail Sending Settings","הגדרות שליחת דואר"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","ודא כי כתובת URL בסיסית מסתיימת ב- ' /' (קו נטוי), למשל http://yourdomain/magento/"
"Match expressions in the same order as displayed in the configuration.","התאם ביטויים באותו הסדר כפי שהם מופיעים בהגדרות"
"Media Storage","אחסון מדיה"
"Merge CSS Files","מזג קבצי CSS"
"Merge JavaScript Files","מזג קבצי סקריפט"
"Miscellaneous HTML","שונות HTML"
"Name","שם"
"New Design Change","שינוי עיצוב חדש"
"New Store","חנות חדשה"
"New Store View","תצוגה חדשה של החנות"
"New Website","אתר חדש"
"No","לא"
"Offloader header","Offloader האדר"
"PHP SOAP extension is required.","סיומת PHP SOAP נדרשת."
"Package","חבילה"
"Pagination","חלוקה לעמודים"
"Pagination Frame","מסגרת לעמודים"
"Pagination Frame Skip","דלג על מסגרת לעמודים"
"Path ""%value%"" is not available and cannot be used.","נתיב ""%value%"" לא זמין ולא ניתן לשימוש."
"Path ""%value%"" is protected and cannot be used.","נתיב ""%value%"" מוגן ולא ניתן לשימוש."
"Please define flag code.","אנא הגדר קוד דגל"
"Please enter a number 0 or greater in this field.","אנא הזן את המספר 0 או גדול יותר בשדה זה."
"Please enter a number 1 or greater in this field.","אנא הזן מספר 1 או גדול יותר בשדה זה."
"Please enter a number greater than 0 in this field.","נא הזן מספר גדול מ 0 בשדה זה."
"Please enter a valid $ amount. For example $100.00.","בבקשה הכנס סכום תקין לדוגמא $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","אנא הקלד כתובת חוקית, לדוגמא: http://www.example.com or www.example.com"
"Please enter a valid credit card number.","נא הזן מספר כרטיס אשראי תקף."
"Please enter a valid credit card verification number.","נא הזן מספר אימות כרטיס אשראי תקין."
"Please enter a valid date.","הזינו בבקשה תאריך חוקי."
"Please enter a valid email address. For example johndoe@domain.com.","הקלד כתובת אימייל תקינה, לדוגמא: johndoe@domain.com."
"Please enter a valid month (1-12).","הזינו בבקשה את חודש חוקי (1-12)."
"Please enter a valid number in this field.","נא הזן מספר חוקי בשדה זה."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","אנא הקלד מספר טלפון תקני, לדוגמא: (123) 456-7890 או 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","אנא הקלד מספר ביטוח לאומי/ת.ז. תקני, לדוגמא: 123456789"
"Please enter a valid zip code.","נא להזין מיקוד תקין."
"Please enter a valid zip code. For example 90602 or 90602-1234.","אנא ציין מיקוד. לדוגמא 69020"
"Please enter issue number or start date for switch/solo card type.","נא הזן מספר או תאריך התחלה עבור סוג כרטיס החלפה/בודד."
"Please make sure your passwords match.","נא ודא שהסיסמאות שלך תואמות."
"Please select State/Province.","נא בחר מדינה/מחוז."
"Please select an option.","נא לבחור באפשרות."
"Please select one of the above options.","יש לבחור אחת מהאפשרויות לעיל."
"Please select one of the options.","נא בחר אחת מאפשרויות אלה."
"Please use letters only (a-z or A-Z) in this field.","אנא השתמש אותיות בלבד (a-z או A-Z) בתחום זה."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","אנא השתמש בספרות (0-9), אותיות (א-ת, a-z), או קו תחתון (_) , בשדה זה. תו ראשון צריך להיות אות."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","השתמש בתבנית התאריך הזה: dd/mm/yyyy. לדוגמה 17/03/2006 ה-17 במרץ 2006."
"Please wait, loading...","אנא המתן/י, טוען..."
"Polls","סקרים"
"Profiler","בונה פרופילים"
"Recovery Link Expiration Period (hours)","קישור שחזור התפוגה (שעות)"
"Request Path for Specified Store","נתיב הבקשה לחנות שצוינה"
"Requested invalid store ""%s""","נדרשה חנות לא תקינה ""%s"""
"Return-Path Email","נתיב חזרה של דואר אלקטרוני"
"Root Category","קטגורייה ראשית"
"Sales Representative","נציג מכירות"
"Save","שמור"
"Save Store","שמור חנות"
"Save Store View","שמור תצוגת חנות"
"Save Website","שמור אתר"
"Search Engines Optimization","אופטימיזציית מנועי חיפוש"
"Secure","מאובטח"
"Security","אבטחה"
"Select Date","בחר תאריך"
"Select Media Database","בחר מסד הנתונים מדיה"
"Sender Email","דואר אלקטרוני של השולח"
"Sender Name","שם השולח"
"Services","שירותים"
"Session Validation Settings","הגדרות הפעלת האימות"
"Set Return-Path","להגדיר נתיב החזרה"
"Set as Default","קבע כברירת מחדל"
"Skin (Images / CSS)","סקין (תמונות / CSS)"
"Sort Order","סדר מיון"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","זמן/תאריך נבחר ""%1$s"" לא תואמים את הפורמט ""%2$s""."
"Startup Page","דף הפעלה"
"Status","סטטוס"
"Storage Configuration for Media","הגדרת אחסון עבור מדיה"
"Store","חנות"
"Store Email Addresses","כתובת דוא""ל של חנות"
"Store Hours of Operation","שעות פעילות החנות"
"Store Information","מידע על חנות"
"Store Name","שם החנות"
"Store View","תצוגת חנות"
"Store View Information","מידע על תצוגת החנות"
"Store View Name","מבט חנות - שם"
"Store view doesn't exist","תצוגת חנות אינה קיימת"
"Store with the same code","חנות עם אותו קוד"
"System","מערכת"
"System Log File Name","שם קובץ לוג המערכת"
"Template Path Hints","רמיזות נתיב תבנית"
"Template Settings","הגדרות התבנית"
"Template Variables","משתני תבנית"
"Templates","תבניות"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","ה %s שהוזן לא תקין. אנא ודא כי הוא עוקב אחרי פורמט ""http://domain.com/"" "
"The store does not exist","החנות אינה קיימת"
"The value is not within the specified range.","הערך אינו נמצא בתוך הטווח שצוין."
"The website does not exist.","אתר אינטרנט זה אינו קיים."
"Themes","תבניות"
"This category and all its child elements","הקטגוריה וכל תתי האלמנטים שלה"
"This category and its child categories only","הקטגוריה ותתי הקטגוריה שלה בלבד"
"This category and its products only","הקטגוריה והמוצרים שלה בלבד"
"This category only","קטגוריה זו בלבד"
"This is a required field.","שדה זה הוא חובה."
"This store cannot be deleted.","לא ניתן למחוק את החנות שנבחרה."
"This store view cannot be deleted.","לא ניתן למחוק את תצוגת החנות."
"This website cannot be deleted.","אין אפשרות למחור את אתר האינטרנט הנוכחי."
"This will be included before head closing tag in page HTML.","זה ייכלל לפני סגירת תגית Head בעמוד ה-HTML."
"Timezone","אזור זמן"
"Title Prefix","תחילית - כותרת"
"Title Suffix","סופית - כותרת"
"Transactional Emails","מיילים של עסקאות"
"Translate Inline","תרגם בתוך השורה"
"Translations","תרגומים"
"Unable to delete store view. Please, try again later.","לא יכול למחוק מבט חנות. אנא נסה מאוחר יותר."
"Unable to delete store. Please, try again later.","לא יכול למחוק חנות. אנא נסה מאוחר יותר."
"Unable to delete website. Please, try again later.","לא יכול למחוק אתר. אנא נסה מאוחר יותר"
"Unsecure","לא מאובטח"
"Url Options","כתובת url של אפשרויות"
"Use Custom Admin Path","שימוש מותאם אישית נתיבי מנהל"
"Use Custom Admin URL","השתמש URL מותאמת אישית של מנהל"
"Use HTTP Only","שימוש ב-HTTP בלבד"
"None","ללא"
"Use Secure URLs in Admin","שימוש מאובטח כתובות Url במנהל"
"Use Secure URLs in Frontend","השתמש ב URL מאובטח בתצוגת חנות"
"Use Web Server Rewrites","השתמש בשכתובי שרת האינטרנט"
"VAT Number","מספר המע""מ"
"Validate HTTP_USER_AGENT","לאמת HTTP_USER_AGENT"
"Validate HTTP_VIA","לאמת HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","לאמת HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","לאמת REMOTE_ADDR"
"Validation has failed.","האימות נכשל."
"Variable Code must be unique.","קוד משתנה חייב להיות ייחודי."
"Web","רשת/אתר"
"Website","אתר"
"Website Information","מידע אתר"
"Website Name","שם אתר"
"Website with the same code","אתר עם אותו קוד"
"Weekend Days","ימי סוף שבוע"
"Welcome Text","טקסט ברוכים הבאים"
"Wrong file info format","פורמט קובץ שגוי"
"Wrong number of arguments for %s","כמות פרמטרים שגויה ל %s"
"Yes","כן"
"Frontend","חלק קדמי"
