"-- Please Select --","-- Vyberte --"
"Invalid base url type","Chybný typ výchozí url"
"Invalid block type: %s","Neplatný typ bloku: %s"
"Invalid block: %s","Neplatný blok: %s"
"Invalid date","Neplatné datum"
"Invalid layout update handle","Chybná aktualizace rozvržení"
"Invalid messages storage ""%s"" for layout messages initialization","Chybné úložiště zpráv ""%s"" pro inicializaci zpráv rozvržení"
"JavaScript Settings","Nastavení JavaScriptu"
"Layout","Rozložení"
"Leave empty for access from any location.","Nezadáním umožníte přístup komukoli."
"Locale","Národní prostředí"
"Locale Options","Místní nastavení"
"Log Settings","Nastavení logování"
"Login is Case Sensitive","Rozlišovat velikost znaků přihlašovacího jména"
"Logo Image","Obrázek loga"
"Logo Image Alt","Alternativní text loga"
"Logo Image Src","Zdroj obrázku loga"
"Mail Sending Settings","Nastavení odchozí pošty"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Ujistěte se, že základní URL končí lomítkem, např. http://www.domena.cz/obchod/"
"Match expressions in the same order as displayed in the configuration.","Výrazy jsou vyhodnocovány ve stejném pořadí jako jsou zobrazeny v konfiguraci."
"Media Storage","Úložiště médií"
"Merge CSS Files","Sloučit CSS soubory"
"Merge JavaScript Files","Sloučit JS soubory"
"Miscellaneous HTML","Další HTML"
"Name","Jméno"
"New Design Change","Nová změna vzhledu"
"New Store","Nový obchod"
"New Store View","Nové zobrazení obchodu"
"New Website","Nové webové stránky"
"No","Ne"
"Offloader header","Offloader hlavička"
"PHP SOAP extension is required.","Je vyžadováno rozšíření PHP SOAP."
"Package","Balíček"
"Pagination","Stránkování"
"Pagination Frame","Počet stránek v bloku"
"Pagination Frame Skip","Počet stránek při posunu v bloku"
"Path ""%value%"" is not available and cannot be used.","Cesta ""%value%"" je nedostupná a nelze ji použít."
"Path ""%value%"" is protected and cannot be used.","Cesta ""%value%"" je chráněná a nelze ji použít."
"Please define flag code.","Prosím definujte kód."
"Please enter a number 0 or greater in this field.","Do tohoto údaje zadejte číslo 0 nebo větší."
"Please enter a number 1 or greater in this field.","Do tohoto údaje zadejte číslo 1 nebo větší."
"Please enter a number greater than 0 in this field.","Do tohoto pole zadejte číslo větší než 0."
"Please enter a valid $ amount. For example $100.00.","Zadejte prosím platnou částku v Kč. Například 100,00 Kč."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vložte prosím platnou URL. Například http://www.example.com nebo www.example.com"
"Please enter a valid credit card number.","Zadejte platné číslo platební karty."
"Please enter a valid credit card verification number.","Zadejte prosím platné ověřovací číslo platební karty."
"Please enter a valid date.","Zadejte platné datum."
"Please enter a valid email address. For example johndoe@domain.com.","Vložte prosím platnou emailovou adresu. Například johndoe@domain.com."
"Please enter a valid month (1-12).","Zadejte platný měsíc (1-12)."
"Please enter a valid number in this field.","Zadejte platné číslo do tohoto pole."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Zadejte platné telefonní číslo (například 123 456 789)."
"Please enter a valid social security number. For example 123-45-6789.","Vložte prosím platné číslo sociálního pojištění. Například 123-45-6789."
"Please enter a valid zip code.","Zadejte platné PSČ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Zadejte prosím platné PSČ. Například 10000."
"Please enter issue number or start date for switch/solo card type.","Zadejte číslo vydání nebo počáteční datum karty typu switch/solo."
"Please make sure your passwords match.","Zkontrolujte, že se zadaná hesla shodují."
"Please select State/Province.","Zvolte kraj / region."
"Please select an option.","Vyberte možnost."
"Please select one of the above options.","Vyberte prosím jednu z uvedených možností"
"Please select one of the options.","Zvolte jednu z možností."
"Please set available and/or protected paths list(s) before validation.","Před ověřením nastavte dostupné a/nebo chráněné seznamy cest."
"Please use letters only (a-z or A-Z) in this field.","V tomto poli použijte pouze písmena (a-z nebo A-Z)."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","V tomto poli prosím použijte pouze písmena (a-z), číslice (0-9), nebo podtržítka(_), první znak by mělo být písmeno."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Použijte tento formát data: dd/mm/rrrr. Například pro 17. březen 2006 zadejte 17/03/2006."
"Please wait, loading...","Čekejte prosím, načítá se..."
"Polls","Ankety"
"Recovery Link Expiration Period (hours)","Platnost odkazu obnovy hesla (hodiny)"
"Request Path for Specified Store","Požadovaná cesta určeného obchodu"
"Requested invalid store ""%s""","Vyžadován neplatný obchod ""%s"""
"Return-Path Email","E-mail pro odpověď"
"Root Category","Hlavní kategorie"
"Sales Representative","Obchodní kontakt"
"Save","Uložit"
"Save Store","Uložit obchod"
"Save Store View","Uložit zobrazení obchodu"
"Save Website","Uložit Webové stránky"
"Search Engines Optimization","Optimalizace vyhledávání"
"Secure","Zabezpečení"
"Security","Zabezpečení"
"Select Date","Vybrat datum"
"Select Media Database","Zvolit databázi médií"
"Sender Email","E-mail odesílatele"
"Sender Name","Jméno odesílatele"
"Services","Služby"
"Session Validation Settings","Nastavení ověření relace"
"Set Return-Path","Nastavit e-mail pro odpověď"
"Set as Default","Nastavit jako výchozí"
"Skin (Images / CSS)","Vzhled (Obrázky / CSS)"
"Sort Order","Řadit podle"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specifikovaný datum/čas ""%1$s"" nesmí obsahovat ""%2$s""."
"Startup Page","Po spuštění stránky"
"Status","Stav"
"Storage Configuration for Media","Nastavení úložiště médií"
"Store","Obchod"
"Store Email Addresses","E-mailové adresy obchodu"
"Store Hours of Operation","Provozní doba obchodu"
"Store Information","Údaje obchodu"
"Store Name","Název obchodu"
"Store View","Zobrazení obchodu"
"Store View Information","Údaje zobrazení obchodu"
"Store View Name","Jméno pohledu na obchod"
"Store view doesn't exist","Zobrazení obchodu neexistuje"
"Store with the same code","Obchod se stejným kódem"
"System","Systém"
"System Log File Name","Jméno souboru pro Log vyjímek"
"Template Path Hints","Nápověda cest šablon"
"Template Settings","Nastavení šablony"
"Template Variables","Proměnné šablon"
"Templates","Šablony"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","%s které jste zadali je chybné. Prosím ujistěte se, že je v následujícím formátu ""http://iguru.eu/""."
"The store does not exist","Tento obchod neexistuje"
"The value is not within the specified range.","Hodnota je mimo určený rozsah."
"The website does not exist.","Tento web neexistuje."
"Themes","Témata"
"This category and all its child elements","Tato kategorie a všichni její následovníci"
"This category and its child categories only","Pouze tuto kategorii a její následovníky"
"This category and its products only","Pouze tuto kategorii a její produkty"
"This category only","Pouze tato kategorie"
"This is a required field.","Toto pole je povinné."
"This store cannot be deleted.","Tento obchod nelze odstranit."
"This store view cannot be deleted.","Toto zobrazení obchodu nelze odstranit."
"This website cannot be deleted.","Tento web nelze odstranit."
"This will be included before head closing tag in page HTML.","Obsah bude vložen před uzavírací tag HEAD."
"Timezone","Časové pásmo"
"Title Prefix","Nadpis předpon"
"Title Suffix","Nadpis přípon"
"Transactional Emails","Transakční e-maily"
"Translate Inline","Přímý překlad"
"Translations","Překlady"
"Unable to delete store view. Please, try again later.","Nelze smazat pohled na obchod. Prosím zkuste to později."
"Unable to delete store. Please, try again later.","Nelze smazat obchod. Prosím zkuste to později."
"Unable to delete website. Please, try again later.","Nelze smazat stránky. Prosím zkuste to později."
"Unable to proceed. Please, try again","Nelze pokračovat. Prosím zkuste to znovu"
"Unsecure","Nezabezpečeno"
"Url Options","Nastavení URL"
"Use Custom Admin Path","Použít vlastní cestu správy"
"Use Custom Admin URL","Použít vlastní URL správy"
"Use HTTP Only","Používat pouze HTTP"
"None","Nic"
"Use Secure URLs in Admin","Používat zabezpečené URL ve správě"
"Use Secure URLs in Frontend","Použít zabezpečenou adresu pro Obchod"
"Use Web Server Rewrites","Používat přepis URL serveru"
"VAT Number","DIČ"
"Validate HTTP_USER_AGENT","Kontrolovat HTTP_USER_AGENT"
"Validate HTTP_VIA","Kontrolovat HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Kontrolovat HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Kontrolovat REMOTE_ADDR"
"Validation has failed.","Ověření se nezdařilo."
"Variable Code must be unique.","Kód proměnné musí být jedinečný."
"Website","Webová stránka"
"Website Information","Informace o webové stránce"
"Website Name","Jméno webové stránky"
"Website with the same code","Web se stejným kódem"
"Weekend Days","Dny volna"
"Welcome Text","Uvítací zpráva"
"Wrong file info format","Chybný formát údajů souboru"
"Wrong number of arguments for %s","Špatný pročet parametrů pro %s"
"Yes","Ano"
"Frontend","Čelní"
