" [deleted]"," [odstraněno]"
"Country","Země"
"Country:","Země:"
"Coupons","Kupóny"
"Create","Vytvořit"
"Create DB Backup","Vytvořit zálohu databáze"
"Create New Attribute","Vytvořit nový atribut"
"Created At","Vytvořeno v"
"Credit Card Number","Číslo platební karty"
"Credit Card Number: xxxx-%s","Číslo platební karty: xxxx-%s"
"Credit Card Type","Typ platební karty"
"Credit Card Type: %s","Typ platební karty: %s"
"Credit Memo History","Historie dobropisu"
"Credit Memo Totals","Dobropis celkem"
"Credit Memos","Dobropisy"
"Currency","Měna"
"Currency Information","Informace o měně"
"Current Configuration Scope:","Současný rozsah nastavení:"
"Current Month","Aktuální měsíc"
"Custom","Vlastní"
"Custom Variables","Vlastní proměnné"
"Customer","Zákazník"
"Customer Group:","Skupina zákazníků:"
"Customer Groups","Skupiny zákazníků"
"Customer Name","Jméno zákazníka"
"Customer Reviews","Recenze zákazníka"
"Customer Shopping Carts","Košíky zákazníků"
"Customer Since:","Zákazníkem od:"
"Customer Tax Classes","Daňové třídy zákazníka"
"Customer with the same email already exists.","Zákazník s tímto emailem již existuje."
"Customers","Zákazníci"
"Customers by Number of Orders","Zákazníci podle množství objednávek"
"Customers by Orders Total","Zákazníci podle obratu"
"DHTML Date/Time Selector","DHTML výběr datum/čas"
"Dashboard","Přehled"
"Data Format","Formát dat"
"Data transfer:","Přenos dat:"
"Database","Databáze"
"Date","Datum"
"Date & Time","Datum a čas"
"Date Added","Ze dne"
"Date Updated","Datum upraveno"
"Date selection:","Smazat výběr:"
"Date selector","Výběr data"
"Day","Den"
"Debug","Ladící režim"
"Decimal separator:","Oddělovač desetin:"
"Default (Admin) Values","Výchozí (Admin) hodnota"
"Default Billing Address","Výchozí fakturační adresa"
"Default Config","Výchozí nastavení"
"Default Template from Locale","Výchozí šablona z překladu"
"Default Values","Výchozí hodnoty"
"Default scope","Výchozí rozsah"
"Delete","Smazat"
"Delete %s","Smazat %s"
"Delete %s '%s'","Smazat %s '%s'"
"Delete Block","Odstranit blok"
"Delete File","Smazat soubor"
"Delete Image","Odstranit obrázek"
"Delete Profile","Smazat profil"
"Delete Role","Odstranit roli"
"Delete Store","Odstranit obchod"
"Delete Store View","Odstranit zobrazení obchodu"
"Delete Template","Odstranit šablonu"
"Delete User","Odstranit uživatele"
"Delete Website","Smazat webové stránky"
"Description","Popis"
"Design","Vzhled"
"Details","Podrobnosti"
"Direction:","Směr:"
"Disable","Zakázat"
"Disabled","Vypnuto"
"Display %s first","Zobrazit prvních %s"
"Display default currency","Zobrazit výchozí měnu"
"Distributed under GNU LGPL. See %s for details.","Distribuováno pod GNU LGPL. Pro detaily se podívejte na %s."
"Do you really want to KILL parallel process and start new indexing process?","Opravdu chcete přerušit paralelní proces a spustit nové indexování?"
"Download","Stáhnout"
"Downloads","Soubory ke stažení"
"Drag to move","Uchopit pro přesun"
"Drop-down","Rozbalovací výběr"
"Edit","Upravit"
"Edit Block","Upravit blok"
"Edit Block '%s'","Upravit blok '%s'"
"Edit Design Change","Upravit změnu vzhledu"
"Edit Email Template","Upravit šablonu e-mailu"
"Edit Order","Upravit objednávku"
"Edit Poll","Upravit anketu"
"Edit Queue","Upravit frontu"
"Edit Review","Upravit recenzi"
"Edit Role","Upravit roli"
"Edit Store View","Upravit zobrazení obchodu"
"Edit System Template","Upravit systémovou šablonu"
"Edit Template","Upravit šablonu"
"Edit URL Rewrite","Upravit přepis URL"
"Edit User","Upravit uživatele"
"Edit User '%s'","Upravit uživatele '%s'"
"Edit Website","Upravit webové stránky"
"Email","E-mail"
"Email Address:","E-mailová adresa:"
"Email to a Friend","Odkaz e-mailem"
"Email:","E-mail:"
"Enable","Povolit"
"Enabled","Zapnuto"
"Enclose Values In:","Hodnoty uzavřeny v:"
"Entity Attributes","Atributy entity"
"Entity Type","Typ entit"
"Entity type:","Typ entity:"
"Error","Chyba"
"Excl. Tax","bez DPH"
"Excl. Tax:","Bez daně:"
"Exclude media folder from backup","Ze zálohy vyjmout složku s médii"
"Expiration Date","Datum expirace"
"Expiration Date: %s/%s","Datum expirace: %s/%s"
"Export Filters","Filtry exportu"
"Export to:","Export do:"
"FTP Host","FTP host"
"FTP Host[:Port]","FTP hostitel [: Port]"
"FTP Login","FTP uživatel"
"FTP Password","FTP heslo"
"FTP credentials","FTP údaje"
"Failed","Chyba"
"Field","Pole"
"Field Mapping","Přiřazení pole"
"File","Soubor"
"File Information","Informace o souboru"
"File System","Souborový systém"
"File name:","Jméno souboru:"
"File size should be more than 0 bytes","Velikost souboru musí být větší než 0 bytů."
"Finished profile execution.","Profil dokončen."
"First Invoice Created Date","Datum vytvoření první faktury"
"First Name","Jméno"
"First Name:","Jméno:"
"Fixed","Pevná"
"Flush Catalog Images Cache","Vyprázdnit mezipaměť obrázků"
"Flush JavaScript/CSS Cache","Vyprázdnit mezipaměť JS/CSS"
"For category","Pro kategorie"
"For latest version visit: %s","Pro poslední verzi navštivte: %s"
"For product","Pro produkt"
"Forgot your password?","Obnova hesla"
"Forgot your user name or password?","Zapomněli jste uživatelské jméno nebo heslo?"
"From","Od"
"General Information","Všeobecné informace"
"Get Image Base64","Obrázek v Base64"
"Global Attribute","Globální vlastnosti"
"Global Record Search","Globální hledání záznamu"
"Global Search","Globální vyhledávání"
"Go Today","Dnes"
"Go to Top","Přejít na začátek"
"Grand Total","Celkový součet"
"Grid (default) / List","Mřížka (výchozí) / Seznam"
"Grid Only","Pouze mřížka"
"Group:","Skupina:"
"Guest","Host"
"HTTP (unsecure)","HTTP (nezabezpečené)"
"Home","Úvod"
"ID Path","ID cesta"
"IP Address","IP adresa"
"IPN (Instant Payment Notification) Only","Pouze IPN (oznámení okamžité platby)"
"Id","ID"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Pokud nespecifikujete vlastnost pro obchod, bude použita výchozí hodnota."
"Images (.gif, .jpg, .png)","Obrázky (.gif, .jpg, .png)"
"Images Cache","Mezipaměť obrázků"
"Import Service","Importovaná služba"
"Import and Export Tax Rates","Import a Export daňových sazeb"
"Import/Export","Import / Export"
"Import/Export Advanced","Rozšířený Import/Export"
"Import/Export Profile","Import/Export Profily"
"Important: ","Důležité: "
"Imported <strong>%s</strong> records","Importováno <strong>%s</strong> záznamů"
"In","V"
"In Database:","V databázi:"
"In File:","V souboru:"
"Inactive","Neaktivní"
"Incl. Tax","s DPH"
"Incl. Tax:","S daní:"
"Incoming Message","Příchozí zpráva"
"Insert Variable...","Vložit proměnnou..."
"Interactive","Interaktivní"
"Interface Locale: %s","Rozhraní v jazyce: %s"
"Invalid Form Key. Please refresh the page.","Neplatný klíč formuláře. Obnovte stránku prosím."
"Invalid Import Service Specified","Chybně vybraná importní služba"
"Invalid Secret Key. Please refresh the page.","Chybný tajný klíč. Prosím obnovte stránku."
"Invalid data","Chybné údaje"
"Invalid directory: %s","Chybný adresář: %s"
"Invalid file: %s","Chybný soubor: %s"
"Invalid input data for %s => %s rate","Chybná vstupní data pro %s => %s sazbu"
"Invalid parent block for this block","Neplatná nadřazený blok tohoto bloku"
"Invalidated","Neplatná"
"Inventory Stock Status","Stav skladových zásob"
"Invoice #%s comment added","Komentář k faktuře %s přidán"
"Invoice #%s created","Faktura #%s vytvořena"
"Invoice History","Historie faktury"
"Invoice Totals","Celkem fakturováno"
"Invoices","Faktury"
"Is Closed","Je uzavřená"
"Is Default","Je výchozí"
"Issue Number","Číslo vydání"
"Items","Položky"
"JavaScript seems to be disabled in your browser.","Javascript ve vašem prohlížeči se zdá být vypnutý."
"JavaScript/CSS Cache","Mezipaměť JS/CSS"
"Last 24 Hours","Posledních 24 hodin"
"Last 5 Orders","Posledních 5 objednávek"
"Last 5 Search Terms","Posledních 5 vyhledávaných výrazů"
"Last 7 Days","Posledních 7 dní"
"Last Credit Memo Created Date","Datum vytvoření posledního dobropisu"
"Last Invoice Created Date","Datum vytvoření poslední faktury"
"Last Logged In (%s):","Naposledy přihlášen (%s):"
"Last Logged In:","Poslední přihlášení:"
"Last Name","Příjmení"
"Last Name:","Příjmení:"
"Latest Message:","Poslední zpráva:"
"Layered Navigation Indices","Indexy vrstvy navigace"
"Leave empty to use tax identifier","Ponechte prázdné pro použití DIČ"
"Lifetime Sales","Celkový obrat"
"Links","Odkazy"
"List (default) / Grid","Seznam (výchozí) / Mřížka"
"List Only","Pouze seznam"
"Load Template","Načíst šablonu"
"Load default template","Nahrát výchozí šablonu"
"Loading...","Nahrávám..."
"Local Server","Místní server"
"Local/Remote Server","Lokální / vzdálený server"
"Locale","Národní prostředí"
"Log In","Přihlásit se"
"Log Out","Odhlásit"
"Log in to Admin Panel","Přihlásit se do administračního panelu"
"Logged in as %s","Přihlášen jako %s"
"Login","Přihlášení"
"Low Stock","Nízká zásoba"
"MAJOR","VYSOKÁ"
"MINOR","NÍZKÁ"
"OpenMage Admin","OpenMage správce"
"Magento root directory","Kořenový adresář Magenta"
"Content","Obsah"
"Currency Rates","Měnové kurzy"
"Tax Rules","Daňová pravidla"
"Tax Zones and Rates","Sazby DPH a pásma"
"Manual","Ručně"
"Maximum sender name length is 255. Please correct your settings.","Maximální délka jména odesílatele je 255. Opravte jej prosím."
"Media (.avi, .flv, .swf)","Média (.avi, .flv, .swf)"
"Messages Inbox","Složka příchozích zpráv"
"Month","Měsíc"
"Most Viewed","Nejsledovanější"
"Most Viewed Products","Nejsledovanější"
"Multiple Select","Vícenásobný výběr"
"My Account","Můj účet"
"N/A","nedefinováno"
"NOTICE","UPOZORNĚNÍ"
"Name","Jméno"
"Name on Card","Jméno na kartě"
"Name on the Card: %s","Jméno na kartě: %s"
"Name:","Jméno:"
"Never (production)","Nikdy (ostrý provoz)"
"New ","Nový "
"New Accounts","Nové účty"
"New Attribute","Nový atribut"
"New Block","Nový blok"
"New Category","Nová kategorie"
"New Class","Nová třída"
"New Condition","Nové podmínky"
"New Custom Variable","Nová vlastní proměnná"
"New Customer","Nový zákazník"
"New Customers","Noví zákazníci"
"New Design Change","Nová změna vzhledu"
"New Email Template","Nová šablona e-mailu"
"New Group","Nová skupina"
"New Invoice","Nová faktura"
"New Item Type","Nový typ položky"
"New Memo","Nová poznámka"
"New Page","Nová stránka"
"New Password","Nové heslo"
"New Poll","Nová anketa"
"New Profile","Nový profil"
"New Rating","Nové hodnocení"
"New Review","Nová recenze"
"New Role","Nová role"
"New Rule","Nové pravidlo"
"New Search","Nové hledání"
"New Set","Nová sada"
"New Shipment","Nová zásilka"
"New Sitemap","Nová mapa stránek"
"New Store View","Nové zobrazení obchodu"
"New System Template","Nová systémová šablona"
"New Tag","Nový štítek"
"New Template","Nová šablona"
"New User","Nový uživatel"
"New Website","Nové webové stránky"
"Newsletter","Zpravodaj"
"Newsletter Queue","Fronta newsletteru"
"Newsletter Subscribers","Odběratelé newsletteru"
"Newsletter Templates","Šablony zpravodaje"
"Next month (hold for menu)","Příští měsíc (podržte pro menu)"
"Next year (hold for menu)","Příští rok (podržte pro menu)"
"No","Ne"
"No (price without tax)","Ne (cena bez DPH)"
"No Data","Žádná data"
"No Data Found","Data nenalezena"
"No Templates Found","Nebyly nalezeny žádné šablony"
"No change","Beze změny"
"No profile loaded...","Profil nenačten."
"No records found for this period.","Nenalezen záznam pro toto časové období."
"No records found.","Nebyly nalezeny žádné záznamy."
"No search keywords.","Nenalezeno klíčové slovo."
"No search modules were registered","Nejsou registrovány žádné vyhledávací moduly"
"None","Nic"
"Note:","Poznámka:"
"Notes","Poznámky"
"Notifications","Oznámení"
"Number of Orders","Počet objednávek"
"Number of Uses","Počet použití"
"Number of Views","Počet zobrazení"
"Number of records:","Počet záznamů:"
"Old rate:","Předchozí kurz:"
"Online Customers","On-line zákazníci"
"Only Once (version upgrade)","Pouze jednou (aktualizace verze)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Pouze atributy s možností ""Global"", vstupním typem ""Rozbalovací nabídka"" a použitelné pro konfigurovatelný produkt ""Ano"" jsou dostupné."
"Only mapped fields","Pouze přiřazená pole"
"Optional","Volitelné"
"Options","Možnosti"
"Options is required","Nastavení je vyžadováno"
"Order","Objednávka"
"Order #%s","Objednávka %s"
"Order #%s (%s)","Objednávka č:%s (%s)"
"Order ID","ID objednávky"
"Order Totals","Objednávka celkem"
"Orders","Objednávky"
"Original Magento attribute names in first row:","Původní jména OpenMage vlastností v prvním řádku:"
"Out of stock","Není skladem"
"Pages","Stránky"
"Parent Product Thumbnail","Malý obrázek nadřazeného produktu"
"Parent Transaction ID","ID nadřazené transakce"
"Passive mode","Pasivní mód"
"Password","Heslo"
"Password Confirmation","Potvrzení hesla"
"Password:","Heslo:"
"Path:","Cesta:"
"Pending Reviews","Nevyřízené recenze"
"Pending Tags","Čekající štítky"
"Per Item","Za položku"
"Per Order","Na objednávku"
"Percent","Procenta"
"Performed At","Provedeno v"
"Period","Období"
"Permanent (301)","Trvale (301)"
"Permissions","Oprávnění"
"Personal Information","Osobní údaje"
"Phone:","Telefon:"
"Please Select","Vyberte"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potvrďte přepnutí stránky. Všechny neuložené změny budou ztraceny."
"Please enter 6 or more characters.","Zadejte prosím 6 nebo více znaků."
"Please enter a number greater than 0 in this field.","Do tohoto pole zadejte číslo větší než 0."
"Please enter a valid $ amount. For example $100.00.","Zadejte prosím platnou částku v Kč. Například 100,00 Kč."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vložte prosím platnou URL. Například http://www.example.com nebo www.example.com"
"Please enter a valid URL. http:// is required","Vložte prosím platnou URL. http:// je povinné."
"Please enter a valid credit card number.","Zadejte platné číslo platební karty."
"Please enter a valid date.","Zadejte platné datum."
"Please enter a valid email address. For example johndoe@domain.com.","Vložte prosím platnou emailovou adresu. Například johndoe@domain.com."
"Please enter a valid email.","Zadejte platný e-mail."
"Please enter a valid number in this field.","Zadejte platné číslo do tohoto pole."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Zadejte platné telefonní číslo (například 123 456 789)."
"Please enter a valid social security number. For example 123-45-6789.","Vložte prosím platné číslo sociálního pojištění. Například 123-45-6789."
"Please enter a valid value from list","Vyberte platnou hodnotu ze seznamu"
"Please enter a valid value, ex: 10,20,30","Zadejte platnou hodnotu, např: 10,20,30"
"Please enter a valid zip code.","Zadejte platné PSČ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Zadejte prosím platné PSČ. Například 10000."
"Please enter valid password.","Vložte prosím platné heslo."
"Please make sure that all global admin search modules are installed and activated.","Ujistěte se, že všechny globální vyhledávací moduly správy jsou nainstalovány a aktivovány."
"Please make sure that your changes were saved before running the profile.","Ujistěte se, že jsou Vaše změny uloženy před spuštěním profilu."
"Please make sure your passwords match.","Zkontrolujte, že se zadaná hesla shodují."
"Please select State/Province.","Zvolte kraj / region."
"Please select an option.","Vyberte možnost."
"Please select customer(s).","Vyberte zákazníky."
"Please select one of the above options.","Vyberte prosím jednu z uvedených možností"
"Please select one of the options.","Zvolte jednu z možností."
"Please select review(s).","Zvolte recenze prosím."
"Please specify the admin custom URL.","Zadejte vlastní URL adresu správy."
"Please use in this field only ""a-z,0-9,_"".","Lze použít pouze ""a-z, 0-9, _"" "
"Please use letters only (a-z) in this field.","V tomto poli prosím použijte pouze písmena (a-z)."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","V tomto údaji používejte pouze písmena (a-z nebo A-Z), číslice (0-9) nebo mezery."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","V tomto poli prosím použijte pouze písmena (a-z), nebo číslice (0-9). Nejsou povoleny mezery ani jiné znaky."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","V tomto poli prosím použijte pouze písmena (a-z), číslice (0-9), mezery, nebo #."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Použijte tento formát data: dd/mm/rrrr. Například pro 17. březen 2006 zadejte 17/03/2006."
"Please wait, loading...","Čekejte prosím, načítá se..."
"Please wait...","Čekejte prosím..."
"Poll Manager","Správce anket"
"Polls","Ankety"
"Popular","Oblíbené"
"Position","Pozice"
"Position of Watermark for %s","Pozice vodoznaku pro %s"
"Prev. month (hold for menu)","Předchozí měsíc (podržte pro menu)"
"Prev. year (hold for menu)","Předchozí rok (podržte pro menu)"
"Preview","Náhled"
"Preview Template","Náhled šablony"
"Price","Cena"
"Price:","Cena:"
"Processed <strong>%s%% %s/%d</strong> records","Zpracováno <strong>%s%% %s/%d</strong> záznamů"
"Processing","Aktualizuji"
"Product","Produkt"
"Product Name","Název produktu"
"Product Reviews","Recenze produktu"
"Product Tax Classes","Daňové kategorie produktů"
"Product Thumbnail Itself","Malý obrázek přiřazeného produktu"
"Product:","Produkt:"
"Products","Produkty"
"Products Bestsellers Report","Přehled nejprodávanějších produktů"
"Products Most Viewed Report","Přehled nejsledovanějších produktů"
"Products Ordered","Objednané produkty"
"Products in Carts","Produkty v košících"
"Profile Action","Akce profilu"
"Profile Actions XML","Události XML"
"Profile Direction","Kontrola profilu"
"Profile History","Historie profilu"
"Profile Information","Informace o profilu"
"Profile Name","Jméno profilu"
"Profile Wizard","Průvodce profilem"
"Profiles","Profily"
"Promo","Ukázka"
"Promotions","Pravidla"
"Quantity","Množství"
"Queue Refresh","Obnovit frontu"
"Queued... Cancel","Ve frontě... Zrušit"
"Radio Buttons","Přepínače"
"Rates","Sazby"
"Read details","Číst podrobnosti"
"Rebuild","Obnovit"
"Rebuild Catalog Index","Obnovit index katalogu"
"Rebuild Flat Catalog Category","Obnovit sloučený katalog kategorií"
"Rebuild Flat Catalog Product","Obnovit sloučený katalog produktů"
"Recent Orders","Poslední objednávky"
"Recent statistics have been updated.","Poslední statistiky byly obnoveny."
"Recursive Dir","Rekurzivně adresáře"
"Redirect","Přesměrování"
"Reference ID","Referenční ID"
"Refresh","Obnovit"
"Refresh Now*","Obnovit nyní*"
"Refresh Statistics","Obnovení statistik"
"Region/State","Kraj / region"
"Regular Price:","Běžná cena:"
"Reject","Odmítnout"
"Release","Vydání"
"Release Stability","Stabilita vydání"
"Release Version","Verze vydání"
"Reload captcha","Obnovit"
"Remote FTP","Vzdálené FTP"
"Remove","Odstranit"
"Reports","Přehledy"
"Request Path","Požadovaná cesta"
"Required","Povinný"
"Reset","Obnovit"
"Reset Filter","Obnovit filtr"
"Reset Password","Nové heslo"
"Reset a Password","Obnovit heslo"
"Resize","Změnit velikost"
"Resource Access","Zdroj přístupu"
"Resources","Zdroje"
"Results","Výsledky"
"Retrieve Password","Obnovit heslo"
"Return Html Version","Vrátit HTML verzi"
"Revenue","Tržba"
"Reviews","Recenze"
"Reviews and Ratings","Recenze a hodnocení"
"Role ID","ID Role"
"Role Info","Informace o roli"
"Role Information","Informace o roli"
"Role Name","Název role"
"Role Resources","Zdroje role"
"Role Users","Uživatelé role"
"Roles","Role"
"Roles Resources","Zdroje role"
"Root Category","Hlavní kategorie"
"Rotate CCW","Rotovat doleva"
"Rotate CW","Rotovat doprava"
"Run","Spustit"
"Run Profile","Spustit profil"
"Run Profile Inside This Window","Spustit profil uvnitř tohoto okna"
"Running... Kill","Běží... Zabít"
"SKU","Kód"
"SSL Error: Invalid or self-signed certificate","SSL chyba: Špatný nebo nedůvěryhodný certifikát"
"Sales","Prodej"
"Sales Report","Přehled prodeje"
"Samples","Ukázky"
"Save","Uložit"
"Save & Generate","Uložit & Generovat"
"Save Account","Uložit účet"
"Save Block","Uložit blok"
"Save Cache Settings","Uložit nastavení mezipaměti"
"Save Config","Uložit nastavení"
"Save Currency Rates","Uložit měnové kurzy"
"Save Profile","Uložitprofil"
"Save Role","Uložit roli"
"Save Template","Uložit šablonu"
"Save User","Uložit uživatele"
"Save and Continue Edit","Použít"
"Search","Hledat"
"Search Index","Index vyhledávání"
"Search Term","Hledaný výraz"
"Search Terms","Hledané výrazy"
"Search entire store here...","Zadejte hledaný výraz..."
"Select","Vybrat"
"Select All","Vybrat vše"
"Select Category","Vybrat kategorii"
"Select Date","Vybrat datum"
"Select Range","Vyberte rozsah"
"Select date","Vybrat datum"
"Sender","Odesílatel"
"Separate Email","Samostatný e-mail"
"Shipment #%s comment added","Komentář k zásilce %s přidán"
"Shipment #%s created","Zásilka #%s vytvořena"
"Shipment Comments","Komentáře k přepravě"
"Shipment History","Historie dodání"
"Shipments","Zásilky"
