"# of Use","počet použití"
"%1$s incl tax.","%1$s s daní."
"%s Item(s)","položek: %s"
"(Copy data from: %s)","(Kopírovat data z: %s)"
"Category URL Suffix","Přípona URL kategorie"
"Category attributes API","API vlastností kategorií"
"Category move error","Chyba při přesunu kategorie"
"Center","Na střed"
"Change","Změnit"
"Change or Retrieve attribute store view","Změna nebo načtení vlastností pohledu obchodu"
"Change status","Změnit stav"
"Check items to add to the cart or","Označené budou vloženy do košíku..."
"Choose an Option...","Zvolte možnost..."
"Clear All","Odebrat vše"
"Clear Price","Smazat cenu"
"Click for price","Kliknutím zobrazíte cenu"
"Close Window","Zavřít okno"
"Collapse All","Sbalit vše"
"Comma-separated.","Hodnoty oddělené čárkou."
"Comparable","Porovnávatelný"
"Comparable on Front-end","Srovnatelný na přední straně"
"Compare","Porovnat"
"Compare Products","Porovnání produktů"
"Conditions Combination","Kombinace podmínek"
"Configurable Product","Nastavitelný produkt"
"Configurable Product Settings","Nastavení konfigurovatelných produktů"
"Configure Product","Sestavit produkt"
"Continue","Pokračovat"
"Copy From Configurable","Zkopírovat z konfigurovatelný"
"Country/State","Země / kraj"
"Create","Vytvořit"
"Create (Upload)","Vytvořit (Nahrát)"
"Create Empty","Vytvořit prázdné"
"Create Permanent Redirect for URLs if URL Key Changed","Při změně URL klíče vytvořit pro URL trvalé přesměrování"
"Create Permanent Redirect for old URL","Pro starou URL vytvořit trvalé přesměrování"
"Create Product Settings","Vytvořit nastavení produktu"
"Create Simple Associated Product","Vytvořit jednoduchý přiřazený produkt"
"Create new category","Vytvořit novou kategorii"
"Create new product","Vytvořit nový produkt"
"Cross-sells","Křížové produkty"
"Custom Design","Vlastní vzhled"
"Custom Options","Vlastní volby"
"Customer Group","Zákaznická skupina"
"Customers Reviews","Recenze zákazníků"
"Customers Tagged Product","Zákaznický popis produktu"
"Data Type for Saving in Database","Typ dat pro ukládání do databáze"
"Date & Time Custom Options","Nastavení času a datumu"
"Date Fields Order","Formát datumu"
"Date Subscribed","Předplacený od"
"Datetime","Datum a čas"
"Decimal","Desetinné číslo"
"Declare attribute value saving scope","Rozsah deklarovaných hodnot atributů uložen"
"Default ""What's This"" Text Message","Výchozí text oznámení ""Co to znamená"""
"Default Popup Text Message","Výchozí text popup oznámení"
"Default Price","Výchozí cena"
"Default Price Navigation Step","Výchozí krok intervalu ceny"
"Default Qty","Výchozí množství"
"Default Values","Výchozí hodnoty"
"Delete","Smazat"
"Delete Attribute","Odstranit atribut"
"Delete Attribute Set","Smazat množinu vlastností"
"Delete Category","Smazat kategorii"
"Delete Option","Odstranit možnost"
"Delete Row","Odstranit řádek"
"Delete Search","Smazat hledání"
"Delete Selected Group","Odstranit zvolenou skupinu"
"Delete Tier","Odstranit množstevní cenu"
"Delete category","Smazat kategorii"
"Delete product","Smazat produkt"
"Depends on design theme","Závisí na grafickém vzhledu"
"Description","Popis"
"Design","Vzhled"
"Details","Podrobnosti"
"Disabled","Vypnuto"
"Display Actual Price","Zobrazit aktuální cenu"
"Display Page Control","Nastavení zobrazení stránky"
"Display Price Interval as One Price","Zobrazit interval jako jednu cenu"
"Display Product Count","Zobrazit počet produktů"
"Display Type","Způsob zobrazení"
"Display in Suggested Terms","Zobrazit v doporučených výrazech"
"Double click on a group to rename it","Pro přejmenování skupiny použijte dvojklik"
"Double click on above image to view full picture","Dvojklikem na obrázek ho zobrazíte v plné velikosti"
"Downloadable Information","Nastavení stažení"
"Duplicate","Kopírovat"
"Duplicate website tier price customer group and quantity.","Duplikovat řadu cen zákaznických skupin a množství."
"Duplicate website, country and state tax found.","Duplicitní stránky, daně pro země a stát nenalezeny."
"Edit","Upravit"
"Edit Attribute Set '%s'","Upravit množinu vlastností '%s'"
"Edit Product Attribute","Úprava atributu produktu"
"Edit Product Attribute ""%s""","Upravit vlastnosti produktu ""%s"""
"Edit Search","Upravit hledání"
"Edit Search '%s'","Upravit hledání '%s'"
"Email","E-mail"
"Email to a Friend","Odkaz e-mailem"
"Empty","Prázdné"
"Enable MAP","Zapnout MAP"
"Enable Qty Increments","Zapnout násobky množství"
"Enabled","Zapnuto"
"Error during retrieval of option value: %s","Chyba během příjmu hodnoty volby: %s"
"Exclude","Vyloučit"
"Expand All","Rozbalit vše"
"Failed","Chyba"
"Failed to move file: %s","Chybné přesouvání souboru: %s"
"Feature Products","Hlavní produkty"
"File upload failed","Chyba při nahrávání souboru"
"Filter","Filtr"
"Filterable (no results)","Filtrovatelný (bez výsledků)"
"Filterable (with results)","Filtrovatelný (s výsledky)"
"First Name","Jméno"
"Fixed","Pevná"
"For the last time placed.","Umístěno v poslední době."
"Frontend","Čelní"
"Frontend Model","Přední model"
"Frontend Properties","Přední vlastnosti"
"Gallery","Galerie"
"General Information","Všeobecné informace"
"Get special price","Speciální cena"
"Global","Globální"
"Globally Editable","Globálně upravitelné"
"Go to Home Page","Na úvodní stránku"
"Grid","Mřížka"
"Grouped Product","Skupina produktů"
"Groups","Skupiny"
"Home","Úvod"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Pokud nespecifikujete vlastnost pro obchod, bude použita výchozí hodnota."
"Image","Obrázek"
"Image content is not valid base64 data.","Obsah obrázkunemá platná data base64."
"Image type and information need to be specified for each store view.","Typ a informace o obrázku musí být specifikovány pro každý obchod."
"In Cart","V košíku"
"In Stock","Skladem"
"In stock","Skladem"
"Incl. Tax","s DPH"
"Index product prices","Index cen produktů"
"Indexed category/products association","Indexované vazby kategorií a produktů"
"Input Type","Typ vstupu"
"Integer","Celé číslo"
"Interval Division Limit","Limit intervalu"
"Invalid Tier Prices","Chybné slevy"
"Invalid attribute %s","Chybná vlastnost %s"
"Invalid image type.","Chybný typ obrázku."
"Invalid store specified","Chybně specifikovaný obchod"
"Inventory","Inventář"
"Is Default","Je výchozí"
"Is Required","Je vyžadován"
"Items %s to %s of %s total","Položky <strong>%s</strong> až <strong>%s</strong> z celkem <strong>%s</strong>"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Položky, které nechcete zobrazovat v katalogu nebo vyhledávání musí mít status ""Vypnuto"" v požadovaném obchodě."
"Label","Štítek"
"Last Name","Příjmení"
"Last Notification","Poslední zpráva"
"Layered Navigation","Vrstvená navigace"
"Learn More","Dozvědět se více"
"Line %d, Email: %s","Řádek %d, email: %s"
"Line %d, SKU: %s","Řádek %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Odkaz (Odpovídající, Up sell, Cross sell)"
"Link to a Specified Category","Odkaz na konkrétní kategorii"
"Link to a Specified Product","Odkaz na konkrétní produkt"
"List","Seznam"
"List Mode","Způsob zobrazení"
"List of Products that are set as New","Seznam produktů nastavených jako novinka"
"Manage Attribute Sets","Správa sad atributů"
"Manage Attributes","Správa vlastností"
"Manage Catalog Categories","Správa kategorií katalogu"
"Manage Categories","Správa kategorií"
"Manage Label / Options","Správá nadpisů a voleb"
"Manage Options (values of your attribute)","Správa možností (hodnoty pro vlastnosti)"
"Manage Product Attributes","Správa atributů produktu"
"Manage Product Sets","Správa sad produktu"
"Manage Products","Spravovat produkty"
"Manage Stock","Sledovat zásoby"
"Manage Titles (Size, Color, etc.)","Názvy atributu (Velikost, Barva, apod.)"
"Max Characters","Maximálně znaků"
"Maximal Depth","Úroveň podkategorie"
"Maximum Image Size","Maximální velikost obrázku"
"Maximum Number of Price Intervals","Maximální počet intervalů ceny"
"Maximum Qty Allowed in Shopping Cart","Maximální množství v košíku"
"Maximum image height","Maximální výška obrázku"
"Maximum image width","Maximální šířka obrázku"
"Maximum number of characters:","Maximální počet znaků:"
"Maximum number of price intervals is 100","Maximální počet intervalů ceny je 100"
"Media Image","Obrázek médií"
"Minimum Advertised Price","Minimální prodejní cena"
"Minimum Qty Allowed in Shopping Cart","Minimální množství v košíku"
"Minimum Qty for Item's Status to be Out of Stock","Minimální množství pro stav Vyprodáno"
"More Views","Více pohledů"
"Move","Přesunout"
"Move category in tree","Přesunout kategorii ve stromě"
"My Account","Můj účet"
"N/A","nedefinováno"
"Name","Jméno"
"New Product","Nový produkt"
"New Product Attribute","Nový atribut produktu"
"New Products","Nové produkty"
"New Products Grid Template","Šablona mřížky nových produktů"
"New Products List Template","Šablona seznamu nových produktů"
"New Search","Nové hledání"
"New Set Name","Nový název sady"
"New products","Nové produkty"
"Next","Následující"
"No","Ne"
"No image","Bez obrázku"
"No layout updates","Žádné úpravy rozvržení"
"No options of this product are available.","U tohoto produktu nejsou k dispozici žádné možnosti."
"None","Nic"
"Not Visible Individually","Skrytý"
"Notify Low Stock RSS","RSS oznámení nízké zásoby"
"Notify for Quantity Below","Avizovat při počtu menší než"
"Number of Products per Page","Počet produktů na stránce"
"Number of Products to Display","Počet produktů k zobrazení"
"Number of Uses","Počet použití"
"Number of results","Počet výsledků"
"Number of results (For the last time placed)","Počet výsledků (umístěno v poslední době)"
"OR","NEBO"
"Old Price:","Původní cena:"
"On Gesture","Na gesto"
"Option:","Volba:"
"Options","Možnosti"
"Options Control","Nastavení možností"
"Options is required","Nastavení je vyžadováno"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Náš zákaznický servis je dostupný 24/7. Volejte na (800) DEMO-NUMBER."
"Out of Stock","Není skladem"
"Out of stock","Není skladem"
"PM","odp."
"Page Title Separator","Oddělovač v názvu stránky"
"Parent Category","Nadřazená kategorie"
"Pending","Nevyřízená"
"Pending Reviews RSS","RSS zdroj nevyřízených recenzí"
"Percentage","Procento"
"Please add rows to option.","Přidejte řádky volby."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Prosím buďte opatrní, jak jednou klepnete na řádek, budou načtena data z vybraného souboru, všechna neuložená data budou ztracena."
"Please enter a new group name","Zadejte nové jméno skupiny"
"Please select one or more attributes.","Označte jednu nebo více vlastností."
"Please select products for attributes update","Označte produkty pro upravení vlastností"
"Please specify date required option(s).","Zadejte požadované datum(y) prosím."
"Please specify the number of products, that will not be divided into subintervals.","Zadejte množství produktů, které nebude rozděleno do intervalů."
"Please specify the product required option(s)","Prosím specifikujte vyžadované možnosti produktu"
"Please specify the quantity of product(s).","Zvolte požadované množství produktu(ů)."
"Please specify time required option(s).","Zadejte požadovaný čas(y) prosím."
"Please wait...","Čekejte prosím..."
"Position","Pozice"
"Position in Layered Navigation","Pořadí ve vrstvené navigaci"
"Position of attribute in layered navigation block","Umístění atributu ve vrstvě navigačního bloku"
"Prev","Předchozí"
"Previous","Předchozí"
"Price","Cena"
"Price Navigation Step Calculation","Kalkulace cenových intervalů filtru"
"Price Type","Typ ceny"
"Price values for options should be specified in system base currency.","Nastavení hodnoty ceny může být specifikováno v systému ve výchozí měně."
"Price:","Cena:"
"Print This Page","Vytisknout tuto stránku"
"Product","Produkt"
"Product API","API Produktů"
"Product Alerts","Hlídání produktů"
"Product Attribute","Atribut produktu"
"Product Attributes","Atributy produktu"
"Product Categories","Kategorie produktu"
"Product Description","Popis produktu"
"Product Flat Data","Sloučená data produktu"
"Product ID","ID produktu"
"Product Image Placeholders","Náhradní obrázek produktů"
"Product Image Watermarks","Nastavení vodoznaku v obrázcích produktů"
"Product Images","Obrázky produktů"
"Product Images API","API obrázků produktů"
"Product In Websites","Produkt na webech"
"Product Info Column","Sloupec Product Info"
"Product Information","Informace o produktu"
"Product Link Block Template","Blokový odkaz produktu"
"Product Link Inline Template","Řádkový odkaz produktu"
"Product Listing Sort by","Zobrazené produkty řadit podle"
"Product Name","Název produktu"
"Product Reviews","Recenze produktu"
"Product Tags","Štítky produktu"
"Product Tier Price API","API slev produktu"
"Product Type","Typ produktu"
"Product URL Suffix","Přípona URL produktu"
"Product attribute sets API","API množiny vlastností produktu"
"Product attributes API","API vlastností produktu"
"Product is not loaded","Produkt není načten"
"Product links API (related, cross sells, up sells)","Odkazy API produktů (odpovídající, cross sells, up sells)"
"Product types API","API typu produktu"
"Product with this combination of attributes already associated to configurable.","Produkt s kombinací těchto vlastností už je asociován ke konfiguraci."
"Products","Produkty"
"Products Comparison List","Seznam porovnávaných"
"Products Information","Údaje produktu"
"Products Reviews","Recenze produktů"
"Products Sitemap","Mapa produktů"
"Products only","Pouze produkty"
"Products per Page on Grid Allowed Values","Povolené počty zobrazených produktů na stránku v tabulce"
"Products per Page on Grid Default Value","Výchozí počet zobrazených produktů na stránku v tabulce"
"Products per Page on List Allowed Values","Povolené počty zobrazených produktů na stránku v seznamu"
"Products per Page on List Default Value","Výchozí počet zobrazených produktů na stránku v seznamu"
"Properties","Vlastnosti"
"Qty","Množství"
"Qty Increments","Násobky množství"
"Qty Uses Decimals","Množství používá desetiny"
"Qty:","Množství:"
"Quantity","Množství"
"Quick Create","Rychlé vytvoření"
"Quick Overview","Rychlý přehled"
"Quick simple product creation","Rychlé vytvoření jednoduchého produktu"
"Redirect","Přesměrování"
"Redirect URL","Přesměrování URL"
"Regular Price:","Běžná cena:"
"Related Products","Související produkty"
"Remove","Odstranit"
"Remove Product From Websites","Odstranit produkt z webů"
"Remove This Item","Odstranit tuto položku"
"Remove product assignment","Odstranit přiřazení produktu"
"Remove product image","Odstranit obrázek produktu"
"Remove product link","Odstranit odkaz produktu"
"Reorganize EAV category structure to flat structure","Přebudovat EAV strukturu kategorie na sloučenou"
"Reorganize EAV product structure to flat structure","Přebudovat EAV strukturu produktu na sloučenou"
"Reset","Obnovit"
"Results","Výsledky"
"Retrieve attribute data","Načíst data atributů"
"Retrieve attribute list","Získat seznam vlastností"
"Retrieve attribute options","Získat možnosti vlastností"
"Retrieve categories tree","Získat strom kategorií"
"Retrieve category attributes","Získat vlastnosti kategorie"
"Retrieve category data","Získat data kategorie"
"Retrieve hierarchical tree","Získat hierarchický strom"
"Retrieve linked products","Získat odkazy produktů"
"Retrieve list of assigned products","Získat seznam přiřazených produktů"
"Retrieve one level of categories by website/store view/parent category","Získat jednu vrtstvu z kategorií ze stránek/obchodu pohled/rodičovská kategorie"
"Retrieve product","Získat produkt"
"Retrieve product attribute sets","Získat množinu vlastností produktu"
"Retrieve product image","Získat obrázek produktu"
"Retrieve product image list","Obdržet seznam obrázků produktu"
"Retrieve product image types","Získat typ obrázku produktu"
"Retrieve product link type attributes","Získat typy vlastností odkazu produktů"
"Retrieve product link types","Získat typ odkazu produktu"
"Retrieve product tier prices","Získat slevy produktu"
"Retrieve product types","Získat typy produktu"
"Retrieve products data","Získat data produktu"
"Retrieve products list by filters","Získat seznam filtrovaných produktů"
"Reviews","Recenze"
"Roll Over for preview","Otočit pro náhled"
"Root","Hlavní"
"SKU","Kód"
"Save","Uložit"
"Save Attribute","Uložit atribut"
"Save Attribute Set","Uložit množinu vlastností"
"Save Category","Uložit kategorii"
"Save Search","Uložit hledání"
"Save and Continue Edit","Použít"
"Scope","Rozsah"
"Scope must not be changed, because the attribute is used in configurable products.","Rozsah nesmí být měněn, protože vlastnost je používána v konfigurovatelných produktech."
"Search","Hledat"
"Search Engine Optimizations","Optimalizace pro vyhledávání"
"Search Information","Nastavení hledání"
"Search Query","Vyhledávací dotaz"
"Search Weight","Priorita hledání"
"Searchable","Prohledávatelný"
"See price before order confirmation.","Cenu uvidíte před odesláním objednávky."
"Select Category...","Vyberte kategorii..."
"Select Configurable Attributes ","Vybrat nastavitelné vlastnosti"
"Select Product...","Vyberte produkt..."
"Select type of option","Vyberte typ možnosti"
"Select type options required values rows.","Zvolte typy voleb požadovaných hodnot řádků."
"Selected Product Types","Vybrané typy produktů"
"Send Count","Počet oznámení"
"Set Ascending Direction","Nastavit vzestupně"
"Set Descending Direction","Nastavit sestupně"
"Set Name","Nastavit jméno"
"Set root category for this store in the <a href=""%s"">configuration</a>","Nastavte hlavní kategorii pro tento obchod v <a href=""%s"">nastavení</a>"
"Set special price","Nastavit speciální cenu"
"Set/Get current store view","Nastavit/získat pohled aktuálního obchodu"
"Settings","Nastavení"
"Shop By","Navigace"
"Shopping Options","Filtr parametrů"
"Show","Zobrazit"
"Show Details","Zobrazit podrobnosti"
"Show Tags","Ukázat štítky"
"Simple Product","Jednoduchý produkt"
"Site Map","Mapa stránek"
"Sitemap","Mapa stránek"
"Skip import row, is not valid value ""%s"" for field ""%s""","Přeskakuji import řádků, neplatná hodnota ""%s"" pro pole ""%s"""
"Some of the selected item options are not currently available.","Některé ze zvolených položek volby jsou nejsou dostupné."
"Sort By","Seřadit podle"
"Sort Order","Řadit podle"
"Source Model","Zdrojový model"
"Special Price:","Zvláštní cena:"
"Starting at:","Začít v:"
"Static","Statický"
"Static block and products","Statický blok a produkty"
"Static block only","Pouze statický blok"
"Status","Stav"
"Stock Availability","Skladová dostupnost"
"Store","Obchod"
"Store View","Zobrazení obchodu"
"Stretch","Roztáhnout"
"Subscribe to RSS Feed","Odběr RSS zdrojů"
"Super product attributes configuration","Konfigurace vlastností superproduktů"
"Synonym For","Synonyma pro"
"System Properties","Vlastnosti systému"
"Tag Name","Jméno štítku"
"Tax","DPH"
"Template","Šablona"
"The base directory to upload file is not specified.","Není zvolen výchozí adresář pro nahrávané soubory."
"The review was removed by another user or does not exist.","Recenze již byla odstraněna jiným uživatelem nebo neexistuje."
"There are no %s available.","%s není dostupný."
"There are no customers for this alert","Nejsou zákazníci pro toto varování"
"There are no customers for this alert.","Oznámení nemá nastaveno žádný zákazník."
"There are no products matching the selection.","Výběru neodpovídá žádná položka."
"This attribute cannot be edited.","Tento atribut nelze upravovat."
"This attribute is used in configurable products.","Tento atribut je použit v konfigurovatelných produktech."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Tento atribut je použit v konfigurovatelných produktech. Nelze jej ze sady atributů odstranit."
"This attribute no longer exists","Tato vlastnost již dlouho neexistuje"
"This attribute set no longer exists.","Tato sada atributů již neexistuje"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Tato skupina obsahuje vlastnosti používané v konfigurovatelném produktu. Přesuňte tyto vlastnosti do jiné skupiny a zkuste to znovu."
"This group contains system attributes. Please move system attributes to another group and try again.","Tato skupina obsahuje systémové atributy. Atributy přemístěte do jiné skupiny a zkuste to znovu."
"This is a required option","Toto je vyžadovaná vlastnost"
"This search no longer exists.","Toto hledání již neexistuje."
"This setting will be applied when all prices in the specific price interval are equal.","Toto nastavení bude použito, jsou-li všechny ceny v konkrétním intervalu stejné."
"Tier Pricing","Množstevní sleva"
"Tile","Dlaždice"
"Time Format","Formát času"
"Title","Název"
"To see product price, add this item to your cart. You can always remove it later.","Chcete-li zobrazit cenu, vložte produkt do košíku. Odebrat jej můžete vždy."
"Top/Left","Nahoře / vlevo"
"Top/Right","Nahoře / vpravo"
"Total Qty Base Items","Celkový počet položek základu"
"Total incl. Tax: %1$s","Celkem s daní: %1$s"
"Type","Typ"
"URL Rewrite Management","Správa přepisu URL"
"Unassigned Attributes","Nepřiřazené atributy"
"Up-sells","Doporučené produkty"
"Update","Aktualizovat"
"Update Attributes","Změnit atributy"
"Update Tier Price","Aktualizovat slevy produktu"
"Update assigned product","Aktualizovat přiřazené produkty"
"Update attributes","Změnit atributy"
"Update category","Aktualizovat kategorii"
"Update product","Aktualizovat produkt"
"Update product image","Aktualizovat obrázek produktu"
"Update product link","Aktualizovat odkaz produktu"
"Update product tier prices","Aktualizovat slevy produktu"
"Upload new product image ","Nahrát nový obrázek k produktu"
"Use Canonical Link Meta Tag For Categories","Používat kanonická URL kategorií"
"Use Canonical Link Meta Tag For Products","Používat kanonická URL produktů"
"Use Categories Path for Product URLs","V URL produktů použít klíč kategorie"
"Use Config Settings","Použít nastavení konfigurace"
"Use Default Value","Použít výchozí hodnotu"
"Use Flat Catalog Category","Použít sloučená data kategorie"
"Use Flat Catalog Product","Použít sloučená data produktu"
"Use In Layered Navigation","Užijte ve vrstvách navigace"
"Use In Search Results Layered Navigation","Použít ve vrstvách navigace vyhledávání"
"Use JavaScript Calendar","Použít javascript kalendář"
"Use To Create Configurable Product","Použít pro vytvoření konfigurovatelného produktu"
"Use Tree Like Category Sitemap","Použít stromovou strukturu mapy stránek kategorií"
"Use config","Použít konfiguraci"
"Use default","Použít výchozí"
"Use for Promo Rule Conditions","Použít při tvorbě pravidech"
"Use in Layered Navigation","Použít ve vrstvené navigaci"
"Used for Sorting in Product Listing","Použít k řazení produktů"
"Used in Product Listing","Použít v seznamech produktů"
"View Details","Zobrazit podrobnosti"
"View as","Zobrazení"
"Virtual Product","Virtuální produkt"
"Visibility","Viditelnost"
"Visible","Viditelný"
"Visible on Catalog Pages on Front-end","Viditelné v katalogu"
"Visible on Product View Page on Front-end","Viditelné na stránce produktů"
"WYSIWYG Editor","Editor"
"Watermark","Vodoznak"
"Watermark Default Size","Výchozí velikost vodoznaku"
"Watermark Position","Pozice vodoznaku"
"We Also Recommend","Doporučujeme"
"Website","Webová stránka"
"Websites","Weby"
"What's this?","Co to znamená?"
"Year Range","Rozsah roků"
"Yes","Ano"
"You cannot remove system attribute from this set.","Nemůžete odebrat systémovou vlastnost z této skupiny."
"You have no items to compare.","K porovnání nebyl zvolen žádný produkt."
"You may also be interested in the following product(s)","Možná Vás zaujme i následující "
"You saved the search term.","Hledaný výraz byl uložen."
"Zoom In","Přiblížit"
"Zoom Out","Oddálit"
"and","a"
"and above","a více"
"categories","Kategorie"
"each","každý"
"ex. http://domain.com","např. http://domena.cz"
"leave blank if its not an image","ponechte prázdné pokud to není obrázek"
"per page","na stránce"
"products","Produkty"
"save","ušetříte"
"select all","zvolit vše"
"unselect all","zrušit výběr"
