"* Required Fields","* Povinný údaj"
"Newsletter Received","Zpravodaj obdržen"
"Newsletter Start","Start zpravodaje"
"Newsletter Subscription","Odběr newsletteru"
"Newsletters","Newslettery"
"No Items Found","Nebyly nenalezeny žádné položky"
"No Newsletter Found","Žádný newsletter nebyl nalezen"
"No item specified.","Nebyla určena žádná položka."
"Not Sent","Nebyla odeslána"
"Not confirmed, can login","Nepotvrzeno, lze se přihlásit"
"Not confirmed, cannot login","Nepotvrzeno, nelze se přihlásit"
"Online Customers","On-line zákazníci"
"Online Customers Options","Nastavení on-line zákazníků"
"Online Minutes Interval","Online interval v minutách"
"Order #","Objednávka č."
"Order Total","Celkem za"
"Orders","Objednávky"
"Password","Heslo"
"Password Management","Nastavení hesla"
"Password Options","Nastavení hesla"
"Password forgotten","Zapomenuté heslo"
"Password:","Heslo:"
"Paused","Pozastaveno"
"Pending","Nevyřízená"
"Per Website","Na web"
"Personal Information","Osobní údaje"
"Please enter a number 1 or greater in this field.","Do tohoto údaje zadejte číslo 1 nebo větší."
"Please enter the city.","Zadejte město."
"Please enter the country.","Zvolte zemi."
"Please enter the first name.","Zadejte jméno."
"Please enter the last name.","Zadejte příjmení."
"Please enter the state/province.","Zadejte kraj / region prosím."
"Please enter the street.","Zadejte ulici."
"Please enter the zip/postal code.","Zadejte PSČ."
"Please enter your email below and we'll send you confirmation link for it.","Prosím zadejte svůj email a my Vám zašleme potvrzující odkaz."
"Please enter your email.","Zadejte svoji e-mailovou adresu."
"Please make sure your passwords match.","Zkontrolujte, že se zadaná hesla shodují."
"Please select region, state or province","Zvolte kraj / region prosím"
"Prefix Dropdown Options","Volby rozbalovacího výběru titulů"
"Price","Cena"
"Product","Produkt"
"Product ID","ID produktu"
"Product Name","Název produktu"
"Product Reviews","Recenze produktu"
"Product Tags","Štítky produktu"
"Purchase On","Koupeno"
"Purchased On","Koupeno na"
"Qty","Množství"
"Recent Orders","Poslední objednávky"
"Recovery Link Expiration Period (hours)","Platnost odkazu obnovy hesla (hodiny)"
"Redirect Customer to Account Dashboard after Logging in","Po přihlášení přesměrovat zákazníka na přehled účtu"
"Refunded","Vráceno"
"Register","Registrovat"
"Registered Customers","Registrovaní zákazníci"
"Remind Email Template","Šablona e-mailu připomenutí"
"Remove","Odstranit"
"Require Emails Confirmation","Vyžadovat potvrzení e-mailu"
"Reset a Password","Obnovit heslo"
"Retrieve address data","Načíst adresu"
"Retrieve address info","Získat informace o adrese"
"Retrieve customer addresses","Získat adresy zákazníka"
"Retrieve customer data","Načíst data zákazníka"
"Retrieve customers","Získat zákazníky"
"Retrieve your confirmation link here","Zde získáte potvrzující odkaz"
"Retrieve your password here","Zde získáte Vaše heslo"
"SKU","Kód"
"Sales Statistics","Prodejní statistiky"
"Save","Uložit"
"Save Address","Uložit adresu"
"Save Customer","Uložit zákazníka"
"Save Customer Group","Uložit skupinu zákazníků"
"Save Password","Uložit heslo"
"Save and Continue Edit","Použít"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Středník (;) oddělené hodnoty.<br/> Vložte středník na začátek pro nechání první prázdné položky.<br/>Ponechte prázdné pro otevřené textové pole."
"Send From","Odeslat z"
"Send Welcome Email after Confirmation","Odeslat uvítací mail po potvrzení"
"Send confirmation link","Zaslat potvrzující odkaz"
"Sending","Odesílám"
"Sent","Odesláno"
"Session Start Time","Začátek session"
"Set as Default Billing Address","Nastavit jako výchozí fakturační adresu"
"Set as Default Shipping Address","Nastavit jako výchozí doručovací adresu"
"Share Customer Accounts","Sdílet účty zákazníků"
"Shipped to First Name","Odesláno na jméno"
"Shipped to Last Name","Odesláno na příjmení"
"Shipped to Name","Odesláno na jméno"
"Shopping Cart","Nákupní košík"
"Shopping Cart - %d item(s)","Nákupní košík - položek: %d"
"Show Date of Birth","Zobrazit datum narození"
"Show Gender","Zobrazit pohlaví"
"Show Middle Name (initial)","Zobrazit prostřední jméno"
"Show Prefix","Zobrazit titul před"
"Show Suffix","Zobrazit titul za"
"Show Tax/VAT Number","Zobrazit DIČ"
"Sign Up for Newsletter","Přihlásit se k odběru newsletteru"
"State/Province","Kraj / region"
"Status","Stav"
"Store","Obchod"
"Store View","Zobrazení obchodu"
"Street Address","Ulice"
"Subject","Předmět"
"Submit","Odeslat"
"Subscribe to Newsletter","Přihlásit se k odběru newsletteru"
"Subscribed to Newsletter?","Odebírat zpravodaj?"
"Suffix Dropdown Options","Volby rozbalovacího výběru titulů"
"Tag Name","Jméno štítku"
"Tax Calculation Based On","Výpočet DPH na základě"
"Tax Class","Třída DPH"
"Tax/VAT number","DIČ"
"Telephone","Telefon"
"Text One Line","Jedna řádka textu"
"The VAT ID entered (%s) is not a valid VAT ID.","Zadané DIČ (%s) není platné."
"The VAT ID is valid. The current Customer Group will be used.","DIČ je platné. Bude použita současná skupina zákazníků."
"The customer does not have default billing address.","Zákazník nemá výchozí fakturační adresu."
"The suffix that goes after name (Jr., Sr., etc.)","Přípona za jménem (CSc., Ph.D., atp.)"
"The title that goes before name (Mr., Mrs., etc.)","Oslovení (pan, paní) nebo titul před jménem (Ing., MUDr., atp.)"
"There are no items in customer's wishlist at the moment","Momentálně nejsou žádné položky v zákaznických seznamech přání"
"There are no items in customer's shopping cart at the moment","Momentálně nejsou žádné položky v zákaznických košících"
"This account is not confirmed.","Tento účet nebyl potvrzen."
"This customer has no saved addresses.","Tento zákazník nemá uloženou adresu."
"This email does not require confirmation.","Tento e-mail nevyžaduje žádné potvrzení."
"To Cart","Do košíku"
"Total","Celkem"
"Type","Typ"
"Unknown","Neznámý"
"Unsubscribe from Newsletter","Odhlásit odběr newsletteru"
"Update","Aktualizovat"
"Update customer address data","Aktualizovat data zákaznické adresy"
"Update customer data","Aktualizovat data zákazníka"
"Use as my default billing address","Použít jako výchozí fakturační adresu"
"Use as my default shipping address","Použít jako výchozí doručovací adresu"
"VAT Number","DIČ"
"VAT Request Date","Datum DPH požadavku"
"VAT Request Identifier","Identifikátor DPH požadavku"
"Validate VAT Number","Ověřit DIČ (VAT ID)"
"Validate on Each Transaction","Ověřovat při každé transakci"
"Validation Error Group","Skupina při chybném ověření DIČ"
"View","Zobrazit"
"View Order","Zobrazit objednávku"
"Visitor","Návštěvník"
"Visitors Only","Pouze návštěvníci"
"Website","Webová stránka"
"Welcome Email","Uvítací e-mail"
"Wishlist","Oblíbené"
"Wishlist - %d item(s)","Seznam přání - položek: %d"
"Would you like to change the Customer Group for this order?","Chcete pro tuto objednávku změnit skupinu zákazníků?"
"Wrong confirmation key.","Chybný potvrzující klíč."
"Wrong customer account specified.","Chybně specifikován zákaznický účet."
"Wrong email.","Špatný e-mail."
"Year","Rok"
"You are currently not subscribed to any newsletter.","Nejste momentálně přihlášen k odběru žádných novinek."
"You are currently subscribed to 'General Subscription'.","Jste přihlášen k odběru hlavních novinek."
"You are currently subscribed to our newsletter.","Nyní jste přihlášen k odběru našeho zpravodaje."
"You have no additional address entries in your address book.","V adresáři nemáte žádné další záznamy."
"You have no additional entries in your address book.","V adresáři nemáte žádné další záznamy."
"You have no default billing address in your address book.","V adresáři nemáte žádnou výchozí fakturační adresu."
"You have no default shipping address in your address book.","V adresáři nemáte nastavenu výchozí doručovací adresu."
"You have not set a default billing address.","Výchozí fakturační adresa zatím nebyla nastavena."
"You have not set a default shipping address.","Výchozí dodací adresa zatím nebyla nastavena."
"You have placed no orders yet.","Zatím jste neodeslali žádnou objednávku."
"You have placed no products yet.","Nemáte vložené žádné produkty"
"You will be charged tax.","DPH bude účtováno."
"You will not be charged tax.","DPH nebude účtováno."
"Your Tax ID cannot be validated.","Vaše DIČ nelze ověřit."
"Your VAT ID was successfully validated.","Vaše DIČ bylo úspěšně ověřeno."
"Your account balance is: %s","Bilance Vašeho účtu je: <strong>%s</strong>"
"ZIP","PSČ"
"ZIP/Post Code","PSČ"
"Zip/Postal Code","PSČ"
"n/a","nedefinováno"
"or","nebo"
