"(Starting with)","(Започнувајќи со)"
"Pending Reviews","Мислења на чекање"
"Per Item","По продукт"
"Per Order","По нарачка"
"Percent","Процент"
"Period","Период"
"Permissions","Пермисии"
"Personal Information","Лични информации"
"Phone:","Телефон:"
"Please Select","Ве молиме изберете"
"Please enter 6 or more characters.","Внесете 6 или повеќе карактери."
"Please enter a number greater than 0 in this field.","Внесете број поголем од 0 во оваа поле."
"Please enter a valid $ amount. For example $100.00.","Внесете валидна $ сума. На пример $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Внесете валидно URL. На пример http://www.example.com или www.example.com"
"Please enter a valid URL. http:// is required","Внесете валидно URL. http:// е задолжително"
"Please enter a valid credit card number.","Внесете валиден број на кредитна картичка."
"Please enter a valid date.","Внесете валиден датум."
"Please enter a valid email address. For example johndoe@domain.com.","Внесете валидна адреса на епошта. На пример johndoe@domain.com."
"Please enter a valid number in this field.","Внесете валиден број во оваа поле."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Ве молиме внесете валиден телефонски број."
"Please enter a valid social security number. For example 123-45-6789.","Внесете валиден матичен број. На пример 123-45-6789."
"Please enter a valid zip code.","Ве молиме внесете валиден поштенски код."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Внесете валиден поштенски/зип код. На пример 1000 или 90602-1234."
"Please enter valid password.","Внесете валидна лозинка."
"Please make sure your passwords match.","Ве молиме проверете дали двете лозинка се совпаѓаат."
"Please select State/Province.","Изберете држава/Провинција."
"Please select an option.","Ве молиме изберете опција."
"Please select customer(s).","Ве молиме изберете купувач/и."
"Please select one of the above options.","Изберете една од опциите погоре."
"Please select one of the options.","Ве молиме изберете една од опциите."
"Please select review(s).","Ве молиме одберете мислење/а."
"Please use in this field only ""a-z,0-9,_"".","Во оваа поле користете само ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Во оваа поле користете само (a-z) ."
"Please wait...","Ве молиме почекајте..."
"Position","Позиција"
"Position of Watermark for %s","Позиција за водениот жиг за %s"
"Preview","Преглед"
"Preview Template","Преглед на урнекот"
"Price","Цена"
"Price:","Цена:"
"Processed <strong>%s%% %s/%d</strong> records","Процесирани се <strong>%s%% %s/%d</strong> записи"
"Processing","Се процесира"
"Product","Продукт"
"Product Name","Име на продуктот"
"Product Reviews","Мислења за продукти"
"Product Tax Classes","Даночни класи на производите"
"Products","Продукти"
"Profile History","Историја на профилот"
"Profile Information","Информации за профилот"
"Profile Name","Име на профилот"
"Profile Wizard","Волшебник за профили"
"Profiles","Профили"
"Promotions","Промоции"
"Quantity","Количина"
"Rates","Курсеви"
"Recent Orders","Неодамнешни нарачки"
"Refresh","Освежи"
"Region/State","Регион/State"
"Release","Издание"
"Release Stability","Стабилност на изданието"
"Release Version","Верзија на изданието"
"Reload captcha","Нов код"
"Remote FTP","Далечен FTP"
"Remove","Избриши"
"Reports","Извештаи"
"Required","Задолжително"
"Reset","Ресетирај"
"Reset Filter","Ресетирај филтер"
"Reset Password","Ресетирај лозинка"
"Reset a Password","Ресетирај лозинка"
"Resize","Промени големина"
"Resources","Ресурси"
"Results","Резултати"
"Retrieve Password","Ресетирај лозинка"
"Revenue","Приход"
"Reviews","Мислења"
"Role ID","ID на улога"
"Role Info","Информации за улога"
"Role Name","Име на улога"
"Roles","Улоги"
"Rotate CCW","Ротирај CCW"
"Rotate CW","Ротирај CW"
"Run Profile","Стартувај профил"
"Run Profile Inside This Window","Стартувај го профилот во овој прозорец"
"Sales Report","Извештај од продажба"
"Save","Зачувај"
"Save & Generate","Зачувај & генерирај"
"Save Account","Зачувај профил"
"Save Config","Зачувај поставка"
"Save Currency Rates","Зачувај ги курните листи"
"Save Profile","Зачувај го профилот"
"Save Template","Зачувај го урнекот"
"Save User","Зачувај го корисникот"
"Save and Continue Edit","Зачивај и продолжи да изменуваш"
"Search","Барај"
"Search Term","Термин за пребарување"
"Search Terms","Термини за пребарување"
"Select All","Селектирај ги сите"
"Select Category","Одбери категорија"
"Select Date","Избереи датум"
"Select Range","Избери опсег"
"Sender","Испраќач"
"Shipment Comments","Коментари за испорака"
"Shipping","Испорака"
"Shipping Address","Адреса за испорака"
"Shipping Address: ","Адреса за испорака: "
"Shipping Price","Цена на испорака"
"Shopping Cart","Кошничка"
"Show Reviews","Покажи мислења"
"Status","Статус"
"Status:","Статус:"
"Store","Продавница"
"Stores","Продавници"
"Subject","Предмет"
"Submit","Поднеси"
"Subtotal","Вкупно"
"System","Систем"
"Tags","Ознаки"
"Tax","Данок"
"This is a required field.","Ова поле е задолжително."
"Time","Време"
"To","До"
"Tools","Алатки"
"Total","Вкупно"
"Unknown","Непознато"
"Update","Ажирирај"
"Updated At","Ажурирано на"
"Upload File","Прикачи датотека"
"Use Default","Користи предодредено"
"Use Default Value","Користи предодрена вредност"
"User Name","Корисничко име"
"Warning","Предупредување"
"Website","Веб страна"
"What is this?","Што е ова?"
"Year","Година"
"Yes","Да"
"Yes (only price with tax)","Да (само цена со данок)"
"You have logged out.","Се одјавивте."
"Your password reset link has expired.","Линкот за ресетирање на лозинката помина."
"Zip/Postal Code","Поштенски код"
"[ deleted ]","[ избришено ]"
"close","затвори"
"critical","критично"
"failed","неуспешно"
"from","од"
"major","големо"
"minor","мало"
"notice","забелешка"
"successful","успешно"
"to","до"
