"* Required Fields","* Kohustuslikud väljad"
"Choose Store View:","Vali poevaade:"
"Clear","Puhasta"
"Close","Sulge"
"Code","Kood"
"Complete","Valmis"
"Configuration","Seaded"
"Confirm New Password","Kinnita uus salasõna"
"Continue","Jätka"
"Convert to Plain Text","Muuda lihttekstiks"
"Country","Riik"
"Coupons","Kupongid"
"Create","Loo"
"Create DB Backup","Loo uus DB varukoopia"
"Create New Attribute","Loo uus atribuut"
"Created At","Loodud"
"Credit Card Number","Krediitkaardi number"
"Credit Card Type","Krediitkaardi tüüp"
"Credit Memos","Kreeditarved"
"Currency","Valuuta"
"Current Configuration Scope:","Konfiguratsiooniskoop:"
"Current Month","Käesolev kuu"
"Custom","Kohandatud"
"Custom Variables","Kohandatud muutujad"
"Customer","Klient"
"Customer Group:","Kliendigrupp:"
"Customer Groups","Kliendigrupid"
"Customer Name","Kliendi nimi"
"Customer Reviews","Kliendi arvustused"
"Customer Tax Classes","Kliendi maksuklassid"
"Customers","Kliendid"
"Customers by Orders Total","Kliendid käibe järgi"
"Dashboard","Töölaud"
"Database","Andmebaas"
"Date","Kuupäev"
"Date Added","Lisamiskuupäev"
"Date selector","Kuupäeva valija"
"Day","Päev"
"Debug","Silumine"
"Default Billing Address","Vaikimisi arveldusaadress"
"Default Config","Vaikeseaded"
"Default Values","Vaikeväärtused"
"Default scope","Vaikeulatus"
"Delete","Kustuta"
"Delete Block","Kustuta plokk"
"Delete File","Kustuta fail"
"Delete Image","Kustuta pilt"
"Delete Role","Kustuta roll"
"Delete Store","Kustuta pood"
"Delete Store View","Kustuta poevaade"
"Delete User","Kustuta kasutaja"
"Description","Kirjeldus"
"Design","Kujundus"
"Details","Üksikasjad"
"Disable","Keela"
"Disabled","Keelatud"
"Display default currency","Kuva vaikimisi valuuta"
"Download","Lae alla"
"Drop-down","Rippmenüü"
"Edit","Muuda"
"Edit Block","Muuda plokki"
"Edit Design Change","Muuda kujunduse muudatust"
"Edit Order","Muuda tellimust"
"Edit Role","Muuda rolli"
"Edit Store View","Muuda poevaadet"
"Edit User","Muuda kasutajat"
"Email","E-post"
"Email to a Friend","Saada sõbrale"
"Email:","E-post:"
"Enable","Luba"
"Enabled","Lubatud"
"Entity Type","Olemi tüüp"
"Error","Viga"
"Excel XML","Exceli XML"
"Excl. Tax","Ilma maksuta"
"Exclude media folder from backup","Välista meedia kaust tagavarast"
"Expiration Date","Aegumiskuupäev"
"Export","Eksport"
"Export CSV","Ekspordi CSV"
"Export to:","Ekspordi:"
"FTP Host","FTP aadress"
"FTP Login","FTP kasutaja"
"FTP Password","FTP salasõna"
"FTP credentials","FTP andmed"
"Failed","Nurjus"
"File","Fail"
"File System","Failisüsteem"
"First Name","Eesnimi"
"Fixed","Fikseeritud"
"Flush Catalog Images Cache","Puhasta tootekataloogi piltide vahemälu"
"Flush JavaScript/CSS Cache","Puhasta JavaScripti/CSS-i vahemälu"
"Forgot your password?","Unustasid salasõna?"
"From","Kellelt"
"General Information","Üldinfo"
"Global Search","Globaalne otsing"
"Go Today","Mine täna"
"Grand Total","Kõik kokku"
"Grid (default) / List","Ruudustik (vaikimisi) / Nimekiri"
"Grid Only","Ainult ruudustik"
"Guest","Külaline"
"HTTP (unsecure)","HTTP (mitteturvaline)"
"Home","Avaleht"
"IP Address","IP aadress"
"Images (.gif, .jpg, .png)","Pildid (.gif, .jpg, .png)"
"Images Cache","Piltide vahemälu"
"Import/Export","Import/eksport"
"Inactive","Mitteaktiivne"
"Incl. Tax","Koos maksuga"
"Incoming Message","Uus sõnum"
"Invalid Form Key. Please refresh the page.","Palun laadige leht uuesti. Sobimatu vormi võti."
"Invalid data","Valed andmed"
"Invalidated","Kehtetuks tunnistatud"
"Inventory Stock Status","Laoseisu olek"
"Invoice History","Arvete ajalugu"
"Invoice Totals","Arve kogusumma"
"Invoices","Arved"
"Is Closed","On suletud"
"Is Default","On vaikeväärtus"
"Items","Toodet"
"JavaScript/CSS Cache","Javascript/CSS vahemälu"
"Last 24 Hours","Viimased 24 tundi"
"Last 7 Days","Viimased seitse päeva"
"Last Name","Perekonnanimi"
"Lifetime Sales","Kogumüük"
"List (default) / Grid","Nimekiri (vaikimisi) / Ruudustik"
"List Only","Ainult loend"
"Loading...","Laadin..."
"Locale","Keel"
"Login","Sisene"
"OpenMage Admin","OpenMage Haldus"
"Magento root directory","OpenMage juurkataloog"
"Content","Sisu"
"Tax Rules","Maksureeglid"
"Tax Zones and Rates","Maksutsoonid ja määrad"
"Manual","Käsitsi"
"Media (.avi, .flv, .swf)","Meedia (.avi, .flv, .swf)"
"Messages Inbox","Saabunud teated"
"Month","Kuu"
"Most Viewed Products","Enim vaadatud tooted"
"Multiple Select","Multivalik"
"My Account","Minu konto"
"N/A","Pole Saadaval"
"Name","Nimi"
"New ","Uus "
"New Accounts","Uued kontod"
"New Attribute","Uus atribuut"
"New Block","Uus plokk"
"New Category","Uus kategooria"
"New Condition","Uus tingimus"
"New Custom Variable","Uus kohandatud muutuja"
"New Customer","Uus klient"
"New Customers","Uus klient"
"New Email Template","Uus e-kirja põhi"
"New Group","Uus grupp"
"New Invoice","Uus arve"
"New Page","Uus leht"
"New Password","Uus salasõna"
"New Rating","Uus reiting"
"New Review","Uus arvustus"
"New Role","Uus roll"
"New Rule","Uus reegel"
"New Search","Uus otsing"
"New Set","Uus komplekt"
"New Shipment","Uus saadetis"
"New Store View","Uus poevaade"
"New Template","Uus mall"
"New User","Uus kasutaja"
"Newsletter","Uudiskiri"
"Newsletter Queue","Uudiskirja järjekord"
"Newsletter Subscribers","Uudiskirja tellijad"
"Newsletter Templates","Uudiskirja mallid"
"No","Ei"
"No Data","Andmeid pole"
"No Data Found","Andmeid ei leitud"
"No change","Muutusteta"
"No records found.","Kirjeid ei leitud."
"No search modules were registered","Ühtegi otsingumoodulit ei ole registreeritud"
"None","Puudub"
"Notifications","Teavitused"
"Number of Uses","Kasutamiskordi"
"Online Customers","Kliendid poes"
"Optional","Valikuline"
"Order","Tellimus"
"Order ID","Tellimuse ID"
"Order Totals","Tellimus kokku"
"Orders","Tellimused"
"Out of stock","Laost otsas"
"Pages","Lehed"
"Parent Product Thumbnail","Peatoote pisipilt"
"Password","Salasõna"
"Password Confirmation","Salasõna kinnitus"
"Password:","Salasõna:"
"Pending Reviews","Ootel arvustused"
"Percent","Protsent"
"Permanent (301)","Püsiv (301)"
"Permissions","Õigused"
"Personal Information","Isikuandmed"
"Please Select","Palun valige"
"Please confirm site switching. All data that hasn't been saved will be lost.","Kinnitage saidi vahetamine. Kustutatakse kõik andmed, mida pole veel salvestatud."
"Please enter a valid credit card number.","Sisesta korrektne krediitkaardi number."
"Please enter a valid date.","Sisesta kuupäev."
"Please enter a valid email.","Palun sisesta korrektne e-posti aadress."
"Please enter a valid number in this field.","Palun sisestage korrektne number."
"Please enter a valid zip code.","Sisesta korrektne postiindeks."
"Please make sure that all global admin search modules are installed and activated.","Veenduge, et kõik globaalsed admin Otsi-moodulid oleks installitud ja aktiveeritud."
"Please make sure your passwords match.","Kontrollige, et sisestatud salasõnad ühtiks."
"Please select customer(s).","Vali klient / kliendid."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Sellel väljal palun kasutage ainult tähti (a-z või A-Z), numbreid (0-9) või tühikuid."
"Please wait...","Palun oota..."
"Position","Asukoht"
"Preview","Eelvaade"
"Price","Hind"
"Price:","Hind:"
"Processing","Töötlemises"
"Product","Toode"
"Product Name","Toote nimi"
"Product Reviews","Toote arvustused"
"Products","Tooted"
"Products Most Viewed Report","Enimvaadatute toodete raport"
"Products Ordered","Tellitud tooted"
"Promotions","Turundus"
"Quantity","Kogus"
"Radio Buttons","Raadio nupud"
"Rebuild","Loo uuesti"
"Rebuild Catalog Index","Kataloogi indeksi uuesti koostamine"
"Rebuild Flat Catalog Category","Lame kataloogi kategooriate uuesti ehitamine"
"Rebuild Flat Catalog Product","Lame kataloogi toodete uuesti ehitamine"
"Recent Orders","Viimased tellimused"
"Refresh","Värskenda"
"Region/State","Piirkond/maakond"
"Reload captcha","Lae captcha uuesti"
"Remove","Eemalda"
"Required","Nõutud"
"Reset","Tühista"
"Reset Filter","Tühista piirangud"
"Reset Password","Taasta salasõna"
"Resource Access","Juurdepääs ressursile"
"Resources","Ressursid"
"Results","Tulemused"
"Revenue","Käive"
"Reviews","Arvustused"
"Role Info","Rolliteave"
"Role Information","Rolliteave"
"Role Name","Rolli nimi"
"Role Resources","Rolli ressursid"
"Role Users","Rolli kasutajad"
"Roles","Rollid"
"Root Category","Juurkategooria"
"SKU","Laokood"
"Sales","Müük"
"Save","Salvesta"
"Save & Generate","Salvesta ja genereeri"
"Save Account","Konto salvestamine"
"Save Cache Settings","Vahemälu sätete salvestus"
"Save Config","Salvesta seaded"
"Save Currency Rates","Salvesta valuutakursid"
"Save Role","Salvesta roll"
"Save User","Salvesta kasutaja"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Search","Otsi"
"Search Index","Otsingu indeks"
"Search Term","Otsisõna"
"Search Terms","Otsisõnad"
"Search entire store here...","Otsi kogu poest..."
"Select","Vali"
"Select All","Vali kõik"
"Select Category","Vali kategooria"
"Select Date","Vali kuupäev"
"Sender","Saatja"
"Separate Email","Eraldi e-post"
"Shipment Comments","Saadetise kommentaarid"
"Shipments","Saatedokumendid"
"Shipping","Tarne"
"Shipping Address","Tarneaadress"
"Shipping Origin","Saadetise päritolu"
"Shopping Cart","Ostukorv"
"Show By","Vali"
"Show Reviews","Näita arvustusi"
"Specified","Spetsiifiline"
"Start Date","Alguskuupäev"
"Static Blocks","Staatilised plokid"
"Status","Staatus"
"Status:","Staatus:"
"Store","Pood"
"Store View","Poevaade"
"Stores","Poed"
"Subject","Pealkiri"
"Submit","Saada"
"Subtotal","Vahesumma"
"Synchronize","Sünkroniseeri"
"Synchronizing...","Sünkroonimine..."
"System","Süsteem"
"Tags","Märksõnad"
"Tax","Maks"
"Template","Mall"
"Template Type","Malli tüüp"
"Temporary (302)","Ajutine (302)"
"Terms and Conditions","Nõuded ja tingimused"
"Text","Tekst"
"The JavaScript/CSS cache has been cleaned.","JavaScripti/CSS vahemälu on puhastatud."
"The OpenMage cache storage has been flushed.","OpenMage vahemälu hoida puhastatud."
"The attribute set has been removed.","Atribuutikogumik eemaldatud."
"The image cache was cleaned.","Pildi vahemälu puhastati."
"The invoice has been created.","Arve loodud."
"The order no longer exists.","Tellimust enam ei eksisteeri."
"This account is","See konto on"
"This action cannot be undone.","Seda toimingut ei saa tühistada."
"This block no longer exists.","Seda plokki ei eksisteeri enam."
"This is a required field.","See on kohustuslik väli."
"Time","Aeg"
"To","Kellele"
"Tools","Tööriistad"
"Total","Kokku"
"Transaction ID","Tehingu ID"
"Transaction Type","Tehingu tüüp"
"Transactions","Tehingud"
"Type","Tüüp"
"Unknown","Tundmatu"
"Unlimited","Piiramatu"
"Update","Uuenda"
"Upload File","Lae fail üles"
"Upload Files","Lae üles faile"
"Use All Available Attributes","Kasutada kõik saadaolevaid atribuute"
"Use Config Settings","Kasuta üldseadeid"
"Use Default","Kasuta vaikeväärtust"
"Use Default Value","Kasuta vaikeväärtust"
"Use FTP Connection","Kasuta FTP ühendust"
"Use Website","Kasuta veebisaiti"
"User Email","Kasutaja e-post"
"User ID","Kasutaja ID"
"User Info","Kasutaja andmed"
"User Information","Kasutaja info"
"User Name","Kasutajatunnus"
"User Password","Salasõna"
"User Role","Kasutaja roll"
"Users","Kasutajad"
"Value","Väärtus"
"View Full Size","Vaata täisekraanil"
"View Statistics For:","Saate vaadata statistikat:"
"Warning","Hoiatus"
"Website","Koduleht"
"What is this?","Mis see on?"
"YTD","Aasta algusest"
"Year","Aasta"
"Yes","Jah"
"Yes (302 Found)","Jah (302 leitud)"
"You have logged out.","Sa logisid välja."
"Your password reset link has expired.","Salasõna vahetamise viide on aegunud."
"Zip/Postal Code","Postiindeks"
"[GLOBAL]","[GLOBAALNE]"
"[STORE VIEW]","[POEVAADE]"
"close","sulge"
"critical","kriitiline"
"failed","nurjus"
"major","oluline"
"minor","tühine"
"notice","teavitus"
"successful","edukas"
