"* Required Fields","* Kohustuslikud väljad"
"Save Customer Group","Salvesta kliendigrupp"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Sending","Saatmine"
"Sent","Saadetud"
"Shopping Cart","Ostukorv"
"Show Date of Birth","Näita sünnikuupäeva"
"Show Gender","Näita sugu"
"Show Middle Name (initial)","Näita keskmist nime (initsiaali)"
"Show Prefix","Näita eesliidet"
"Show Suffix","Näita järelliidet"
"Show Tax/VAT Number","Näita KMKR numbrit"
"Sign Up for Newsletter","Liitu uudiskirjaga"
"State/Province","Maakond"
"Status","Staatus"
"Store","Pood"
"Store View","Poevaade"
"Street Address","Tänav, maja"
"Subject","Pealkiri"
"Submit","Saada"
"Subscribe to Newsletter","Telli uudiskiri"
"Tax Calculation Based On","Maksukalkulatsiooni baas"
"Tax Class","Maksuklass"
"Text","Tekst"
"The VAT ID is valid. The current Customer Group will be used.","KMKR number on õige. Kasutatakse praegust kliendigruppi."
"The customer does not have default billing address.","Kliendil puudub vaikimisi arveaadress."
"This email does not require confirmation.","See e-post ei vaja kinnitamist."
"Total","Kokku"
"Type","Tüüp"
"Unknown","Tundmatu"
"Unsubscribe from Newsletter","Tühista uudiskirja tellimus"
"Update","Uuenda"
"Use as my default billing address","Kasuta kui vaikimisi arveaadressina"
"Use as my default shipping address","Kasuta kui vaikimisi tarneaadressi"
"VAT Number","KMKR number"
"Validate VAT Number","Kontrolli KMKR numbrit"
"View","Kuva"
"View Order","Vaata tellimust"
"Website","Koduleht"
"Welcome Email","Tervituse e-post"
"Wishlist","Soovinimekiri"
"Wrong email.","Vale e-post."
"Year","Aasta"
"You have no default billing address in your address book.","Teil puudub vaikimisi arveaadress aadressiraamatus."
"You have no default shipping address in your address book.","Teil puudub vaikimisi saateaadress aadressiraamatus."
"You have not set a default billing address.","Vaikimisi arveldusaadressi pole valitud."
"You have not set a default shipping address.","Teil pole seatud vaike tarneaadressi."
"ZIP","Postiindeks"
"ZIP/Post Code","Postiindeks"
"Zip/Postal Code","Postiindeks"
"or","või"
