"-- Please Select --","-- Faites un choix --"
"Default","Par défaut"
"Default Country","Pays par défaut"
"Default No-route URL","URL par défaut de la page pour une ressource non trouvée"
"Default Pages","Pages par défaut"
"Default Robots","Robots par défaut"
"Default Store","Magasin par défaut"
"Default Store View","Vue magasin par défaut"
"Default Title","Titre par défaut"
"Default Web URL","URL web par défaut"
"Delete","Supprimer"
"Delete Store","Supprimer le magasin"
"Delete Store View","Effacer la vue magasin"
"Delete Website","Supprimer le site web"
"Design","Conception"
"Design Change","Changement de design"
"Developer","Développeur"
"Developer Client Restrictions","Restrictions client développeur"
"Disable Email Communications","Désactiver les envois d'email"
"Disable Modules Output","Désactiver la sortie des modules"
"Display Demo Store Notice","Afficher le message d'avertissement de boutique de démo"
"Duplicate Of Template Name","Duplication du nom de gabarit"
"Edit Design Change","Éditer le changement de design"
"Edit Store","Modifier le magasin"
"Edit Store View","Éditer la vue magasin"
"Edit Website","Modifier le site web"
"Empty identifier field name","Vider le nom du champ d'identifiant"
"Empty main table name","Nom de table principale vide"
"Enable Charts","Activer les graphiques"
"Enabled","Activé"
"Enabled for Admin","Activée pour l'admin"
"Enabled for Frontend","Activée pour la partie publique"
"Environment Update Time","Temps de mise à jour de l'environnement"
"Error in file: ""%s"" - %s","Erreur dans le fichier : ""%s"" - %s"
"European Union Countries","Pays de l'Union Européenne"
"Favicon Icon","Icône favicon"
"File not found","Fichier non trouvé"
"File system","Système de fichiers"
"File with an extension ""%value%"" is protected and cannot be uploaded","Le fichier avec l'extension ""%value%"" est protégé et ne peut pas être uploadé"
"First Day of Week","Premier jour de la semaine"
"Flush Cache Storage","Purger le stockage du cache"
"Flush OpenMage Cache","Purger le cache OpenMage"
"Footer","Bas de page"
"Forgot Password Email Sender","Expéditeur du courriel d'oubli de mot de passe"
"Forgot Password Email Template","Gabarit du mail d'oubli de mot de passe"
"General","Général"
"General Contact","Contact général"
"General Settings","Paramètres généraux"
"HTML Head","En-tête HTML"
"Header","Haut de page"
"Host","Serveur"
"How many links to display at once.","Nombre de liens à afficher à la fois."
"Incorrect credit card expiration date.","Date d’expiration de carte de crédit incorrect."
"Input type ""%value%"" not found in the input types list.","Le type d'entrée ""%value%"" n'a pas été trouvé dans la liste des types d'entrée."
"Invalid base url type","Type d'URL de base invalide"
"Invalid block type: %s","Type de bloc non valide: %s"
"Invalid block: %s","Bloc non valide: %s"
"Invalid date","Date invalide"
"Invalid layout update handle","Manipulation de mise à jour de gabarit non valide"
"Invalid messages storage ""%s"" for layout messages initialization","Stockage des messages ""%s"" invalide pour l'initialisation des messages de gabarit"
"JavaScript Settings","Paramètres JavaScript"
"Layout","Agencement"
"Leave empty for access from any location.","Laissez vide si vous souhaitez y accéder depuis n'importe où."
"Locale","Profil local"
"Locale Options","Options de localisation"
"Login is Case Sensitive","L'identifiant utilisateur est sensible à la casse"
"Logo Image","Image du logo"
"Logo Image Alt","Texte alternatif du logo"
"Mail Sending Settings","Paramètres d'envoi des emails"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Assurez-vous que l'URL se termine par un '/' (slash), par ex. http://votredomains/magento/"
"Media Storage","Stockage des medias"
"Merge CSS Files","Fusionner les fichiers CSS"
"Merge JavaScript Files","Fusionner les fichiers javascript"
"Miscellaneous HTML","Code HTML divers"
"Name","Nom"
"New Design Change","Nouveau changement de design"
"New Store","Nouveau magasin"
"New Store View","Nouvelle vue magasin"
"New Website","Nouveau site web"
"No","Non"
"Offloader header","En-tête de transcodeur"
"PHP SOAP extension is required.","L'extension SOAP de PHP est requise."
"Package","Colis"
"Pagination Frame","Trame de pagination"
"Pagination Frame Skip","Taille de la trame de pagination"
"Path ""%value%"" is not available and cannot be used.","Le chemin ""%value%"" n'est pas correct et ne peut pas être utilisé."
"Path ""%value%"" is protected and cannot be used.","Le chemin ""%value%"" est protégé et ne peut pas être utilisé."
"Please enter a number 0 or greater in this field.","Veuillez saisir un nombre supérieur ou égal à 0 dans ce champ."
"Please enter a number 1 or greater in this field.","Veuillez saisir un nombre supérieur ou égal à 1."
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par exemple 100.00 €."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Veuillez saisir une URL valide. Par exemple http://www.exemple.com or www.exemple.com"
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte bancaire valide."
"Please enter a valid credit card verification number.","Veuillez saisir un numéro de vérification de carte bancaire valide."
"Please enter a valid date.","Veuillez saisir une date valide."
"Please enter a valid email address. For example johndoe@domain.com.","Veuillez saisir une adresse courriel valide. Par ex. jeandupond@domaine.com"
"Please enter a valid month (1-12).","Veuillez saisir un mois valide (1-12)."
"Please enter a valid number in this field.","Veuillez saisir un nombre valide dans ce champ."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide."
"Please enter a valid social security number. For example 123-45-6789.","Veuillez saisir un numéro de sécurité sociale valide. Par exemple 123-456-789."
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple H1H 1H1 ou 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Veuillez saisir le numéro de problème ou une date de début pour le type de carte switch/solo."
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"Please select State/Province.","Veuillez choisir une région/un département."
"Please select an option.","Merci de choisir une option."
"Please select one of the above options.","Veuillez sélectionner une des options ci-dessus."
"Please select one of the options.","Merci de sélectionner l'une de ces options."
"Please set available and/or protected paths list(s) before validation.","Veuillez renseigner correctement la liste des chemins avant validation."
"Please use letters only (a-z or A-Z) in this field.","Veuillez utiliser uniquement des lettres (a-z ou A-Z) dans ce champ."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Veuillez ne saisir que des lettres (a-z), des chiffres (0-9) ou tirets bas (_) dans ce champ. Le premier caractère doit être une lettre."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser ce format de date : jj/mm/aaaa. Par exemple, 21/12/2012 pour le 21 Décembre 2012."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Profiler","Profileur"
"Recovery Link Expiration Period (hours)","Durée avant expiration (en heure) du lien de récupération"
"Request Path for Specified Store","Chemin de requête pour le magasin spécifié"
"Return-Path Email","Adresse email de réponse"
"Root Category","Catégorie racine"
"Sales Representative","Représentant des ventes"
"Save","Sauvegarder"
"Save Store","Sauvegarder le magasin"
"Save Store View","Sauvegarder la vue magasin"
"Save Website","Sauvegarder le site web"
"Search Engines Optimization","Optimisation pour les moteurs de recherche"
"Secure","Sécurisé"
"Security","Sécurité"
"Select Date","Sélectionner une date"
"Select Media Database","Sélectionner la base de données des medias"
"Sender Email","Email de l'expéditeur"
"Sender Name","Nom de l'expéditeur"
"Session Validation Settings","Paramètres de validation de session"
"Set Return-Path","Renseigner le chemin de retour"
"Set as Default","Définir par défaut"
"Skin (Images / CSS)","Habillage (Images / CSS)"
"Sort Order","Ordre de tri""Abandoned Carts"
"Startup Page","Page de démarrage"
"Status","Statut"
"Storage Configuration for Media","Configuration du stockage des medias"
"Store","Magasin"
"Store Email Addresses","Adresses email du magasin"
"Store Hours of Operation","Horaires du magasin"
"Store Information","Informations magasin"
"Store Name","Nom du magasin"
"Store View","Vue magasin"
"Store View Information","Information de vue magasin"
"Store View Name","Nom de vue magasin"
"Store view doesn't exist","La vue magasin n'existe pas"
"Store with the same code","Magasin avec le même code"
"System","Système"
"Template Path Hints","Astuce chemin des gabarits"
"Template Settings","Paramètres de gabarit"
"Template Variables","Variables de gabarit"
"Templates","Gabarits"
"The store does not exist","Le magasin n'existe pas."
"The value is not within the specified range.","La valeur n'est pas dans la plage spécifiée."
"The website does not exist.","Le site web n'existe pas."
"Themes","Thèmes"
"This category only","Cette catégorie seulement"
"This is a required field.","C'est un champ obligatoire."
"This store cannot be deleted.","Ce magasin ne peut pas être effacé."
"This store view cannot be deleted.","Cette vue magasin ne peut pas être effacée."
"This website cannot be deleted.","Ce site web ne peut pas être effacé."
"This will be included before head closing tag in page HTML.","Ceci sera inclus juste avant la balise de fermeture de body"
"Timezone","Fuseau horaire"
"Transactional Emails","Emails transactionnels"
"Translate Inline","Traduire en ligne"
"Translations","Traductions"
"Unsecure","Sécurisé"
"Url Options","Options d'URL"
"Use Custom Admin Path","Utiliser le chemin d'accès au back office personnalisé"
"Use Custom Admin URL","Utiliser une URL d'admin personnalisée"
"Use HTTP Only","Utiliser uniquement HTTP"
"None","Aucun"
"Use Secure URLs in Admin","Utiliser des URLs sécurisées dans l'administration"
"Use Secure URLs in Frontend","Utiliser des URLs sécurisées sur la partie publique"
"Use Web Server Rewrites","Utiliser les réécritures du serveur web"
"VAT Number","N° de taxe"
"Validate HTTP_USER_AGENT","Valider HTTP_USER_AGENT"
"Validate HTTP_VIA","Valider HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valider HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valider REMOTE_ADDR"
"Validation has failed.","La validation a échoué."
"Variable Code must be unique.","Le code de variable doit être unique"
"Website","Site web""%s and greater"
"Website Information","Informations site web"
"Website Name","Nom du site web"
"Website with the same code","Site web avec le même code"
"Weekend Days","Jours de weekend"
"Welcome Text","Texte de bienvenue"
"Wrong file info format","Mauvais format d'informations de fichier"
"Wrong number of arguments for %s","Nombre d'arguments erroné pour %s"
"Yes","Oui"
"Frontend","Partie publique"
