"* Required Fields","* Champs obligatoires"
"Continue Shopping","Continuez vos achats"
"Country","Pays"
"Create","Créer"
"Create New Account Options","Options de création de nouveaux comptes"
"Create New Customer Account","Créer un nouveau compte client"
"Create Order","Créer une commande"
"Create an Account","Créer un compte"
"Current Password","Mot de passe actuel"
"Customer","Client"
"Customer Addresses","Adresses client"
"Customer Configuration","Configuration client"
"Customer Group","Groupe de clients"
"Customer Groups","Groupes clients"
"Customer Information","Informations client"
"Customer Login","Identifiant client"
"Customer Since","Client depuis"
"Customer View","Vue client"
"Customer will stay on the current page if ""No"" is selected.","Le client restera sur la page en cours si ""Non"" est sélectionné."
"Customers","Clients"
"Customers Only","Clients seulement"
"Date Added","Date d'ajout"
"Date of Birth","Date de naissance"
"Day","Jour"
"Days in Wishlist","Jours dans la liste-cadeaux"
"Default Addresses","Adresses par défaut"
"Default Billing Address","Adresse de facturation par défaut"
"Default Email Domain","Domaine de mail par défaut"
"Default Group","Groupe par défaut"
"Default Shipping Address","Adresse de livraison par défaut"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valeur par défaut lorsque les changements automatiques de groupe basés sur le numéro de TVA sont désactivés"
"Default Welcome Email","Courriel d'accueil par défaut"
"Delete","Supprimer"
"Delete Address","Effacer l'adresse"
"Delete Customer","Supprimer le client"
"Delete Customer Group","Supprimer le groupe de clients"
"Deleted Stores","Magasins effacés"
"Details","Détails"
"Disabled","Désactivé"
"Edit","Éditer"
"Edit Account Information","Éditer les informations du compte"
"Edit Address","Éditer l'adresse"
"Edit Address Entry","Modifier la saisie d'adresse"
"Edit Customer Group ""%s""","Éditer le groupe clients ""%s"""
"Edit Customer Groups","Éditer les groupes de client"
"Edit Customer's Address","Éditer l'adresse du client"
"Edit Group","Éditer le groupe"
"Edit Newsletters","Éditer les infolettres"
"Email","Courriel"
"Email Address","Adresse mail"
"Email Sender","Expéditeur du mail"
"Email:","Courriel :"
"Enable Automatic Assignment to Customer Group","Activer l'assignation automatique à un groupe clients"
"Excel XML","XML d'Excel"
"First Name","Prénom"
"Forgot Email Template","Gabarit du mail d'oubli"
"Forgot Password","Mot de passe oublié"
"Forgot Your Password?","Mot de passe oublié ?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Dans votre tableau de bord 'Mon compte', vous pouvez avoir un aperçu de votre activité récente et mettre à jour vos informations de comptes. Sélectionnez un lien ci-dessous pour voir ou modifier les informations."
"Gender","Sexe"
"General Subscription","Abonnements"
"Generate Human-Friendly Customer ID","Générer un ID client facile à lire"
"Group","Groupe"
"Group Information","Informations du groupe"
"Group Name","Nom du groupe"
"Group for Invalid VAT ID","Groupe pour un numéro de TVA invalide"
"Group for Valid VAT ID - Domestic","Groupe pour un numéro de TVA valide - National"
"Group for Valid VAT ID - Intra-Union","Groupe pour un numéro de TVA valide - Intra-Union"
"Guest","Invité"
"Hello, %s!","Bonjour, %s !"
"ID","Identifiant"
"IP Address","Adresse IP"
"If you have an account with us, please log in.","Si vous avez un compte, veuillez vous identifier."
"Invalid current password","Mot de passe actuel non valide"
"Invalid customer data","Données client non valides"
"Invalid login or password.","Identifiant ou mot de passe non valide."
"Last Activity","Dernière activité"
"Last Date Subscribed","Date de dernière inscription"
"Last Date Unsubscribed","Date de dernière désinscription"
"Last Name","Nom"
"Leave empty for default (15 minutes).","Laisser vide pour utiliser la valeur par défaut (15 minutes)."
"Lifetime Sales","Ventes depuis le début"
"Log In","Connexion"
"Log Out","Déconnexion"
"Login","Connexion"
"Login Information","Informations de connexion"
"Login Options","Options de connexion"
"Login or Create an Account","Identifiez-vous ou créez un compte"
"Manage Addresses","Gérer les adresses"
"Manage Customers","Gérer les clients"
"Month","Mois"
"My Account","Mon compte"
"My Dashboard","Mon tableau de bord"
"My Orders","Mes commandes"
"Name","Nom"
"Name and Address Options","Options de nom et d'adresse"
"Never","Jamais"
"New Address","Nouvelle adresse"
"New Address Entry","Saisie d'une nouvelle adresse"
"New Customer","Nouveau client"
"New Customer Address","Nouvelle adresse client"
"New Customer Group","Nouveau groupe de clients"
"New Customer Groups","Nouveaux groupes de clients"
"New Customers","Nouveaux clients"
"New Group","Nouveau groupe"
"New Password","Nouveau mot de passe"
"New account","Nouveau compte"
"Newsletter","Infolettre"
"Newsletter Finish","Fin de l'infolettre"
"Newsletter Information","Informations newsletter"
"Newsletter Received","Infolettre reçue"
"Newsletter Start","Début de l'infolettre"
"Newsletter Subscription","Abonnement à la newsletter"
"Newsletters","Infolettres"
"No Items Found","Aucun article trouvé"
"No Newsletter Found","Pas de newsletter"
"No item specified.","Aucun article spécifié."
"Not Sent","Pas envoyé"
"Offline","Déconnecté"
"Online","En ligne"
"Online Customers","Clients en ligne"
"Online Customers Options","Options des clients en ligne"
"Online Minutes Interval","Intervalle en minutes"
"Order #","Commande n°"
"Order Total","Total de la commande"
"Orders","Commandes"
"Password","Mot de passe"
"Password Management","Gestion du mot de passe"
"Password Options","Options de mot de passe"
"Password forgotten","Mot de passe oublié"
"Password:","Mot de passe :"
"Paused","En pause"
"Pending","En attente"
"Per Website","Par site web"
"Personal Information","Informations personnelles"
"Please enter a number 1 or greater in this field.","Veuillez saisir un nombre supérieur ou égal à 1."
"Please enter the city.","Veuillez renseigner la ville."
"Please enter the country.","Veuillez renseigner le pays."
"Please enter the first name.","Veuillez renseigner le prénom."
"Please enter the last name.","Veuillez renseigner le nom de famille."
"Please enter the state/province.","Veuillez renseigner le département."
"Please enter the street.","Veuillez renseigner la rue."
"Please enter the zip/postal code.","Veuillez renseigner le code postal."
"Please enter your email.","Saisissez votre courriel."
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"Please select region, state or province","Sélectionnez un département / état"
"Prefix Dropdown Options","Options de la liste déroulante des préfixes"
"Price","Prix"
"Product","Produit"
"Product ID","ID de produit"
"Product Name","Nom de produit"
"Product Reviews","Commentaires"
"Product Tags","Libellés du produit"
"Purchase On","Commande passée le"
"Purchased On","Date d'achat"
"Qty","Qté"
"Recent Orders","Commandes récentes"
"Recovery Link Expiration Period (hours)","Durée avant expiration (en heure) du lien de récupération"
"Redirect Customer to Account Dashboard after Logging in","Rediriger les clients vers leur tableau de bord après connexion"
"Refunded","Remboursé"
"Register","S'enregistrer"
"Registered Customers","Clients enregistrés"
"Remind Email Template","Gabarit de courriel de rappel"
"Remove","Supprimer"
"Require Emails Confirmation","Nécessite la confirmation par courriel"
"Reset a Password","Réinitialiser un mot de passe"
"Retrieve your password here","Récupérez votre mot de passe ici"
"SKU","REF"
"Sales Statistics","Statistiques de ventes"
"Save","Sauvegarder"
"Save Address","Sauvegarder l'adresse"
"Save Customer","Sauvegarder le client"
"Save Customer Group","Sauvegarder le groupe clients"
"Save Password","Sauvegarder le mot de passe"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Send From","Envoyé de"
"Send confirmation link","Envoyer un lien de confirmation"
"Sending","Envoi en cours"
"Sent","Envoyé"
"Session Start Time","Début de session"
"Set as Default Billing Address","Définir comme adresse de facturation par défaut"
"Set as Default Shipping Address","Définir comme adresse de livraison par défaut"
"Share Customer Accounts","Partager les comptes clients"
"Shipped to First Name","Prénom (Livr.)"
"Shipped to Last Name","Nom de famille (Livr.)"
"Shipped to Name","Nom (Livr.)"
"Shopping Cart","Panier"
"Shopping Cart - %d item(s)","Panier - %d article(s)"
"Show Date of Birth","Afficher la date de naissance"
"Show Gender","Afficher le genre"
"Show Middle Name (initial)","Afficher les initiales"
"Show Prefix","Afficher le préfixe"
"Show Suffix","Afficher le suffixe"
"Show Tax/VAT Number","Afficher le numéro de TVA intracommunautaire"
"Sign Up for Newsletter","Abonnez-vous à la newsletter"
"State/Province","État/Région"
"Status","Statut"
"Store","Magasin"
"Store View","Vue magasin"
"Street Address","Adresse"
"Subject","Sujet"
"Submit","Valider"
"Subscribe to Newsletter","S'abonner à la newsletter"
"Subscribed to Newsletter?","Abonné à l'infolettre ?"
"Suffix Dropdown Options","Options de la liste déroulante des suffixes"
"Tag Name","Nom du libellé"
"Tax Calculation Based On","Calcul de taxe basé sur"
"Tax Class","Classe de TVA"
"Telephone","Téléphone"
"Text","Texte"
"Text One Line","Texte sur une ligne"
"The VAT ID entered (%s) is not a valid VAT ID.","Le numéro de TVA saisi (%s) n'est pas un numéro de TVA valide."
"The VAT ID is valid. The current Customer Group will be used.","Le numéro de TVA est valide. Le groupe client en cours sera utilisé."
"The customer does not have default billing address.","Le client n'a pas d'adresse de facturation par défaut."
"The suffix that goes after name (Jr., Sr., etc.)","Le suffixe vient après le nom (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Le préfixe vient avant le nom (M., Mme, etc.)"
"There are no items in customer's wishlist at the moment","Il n'y a aucun article dans la liste-cadeaux du client"
"There are no items in customer's shopping cart at the moment","Il n'y a aucun article dans le panier du client"
"This customer has no saved addresses.","Le client n'a pas d'adresse sauvegardée"
"This email does not require confirmation.","Cette adresse courriel ne nécessite pas de confirmation."
"To Cart","Vers le panier"
"Type","Type "
"Unknown","Inconnu"
"Unsubscribe from Newsletter","Se désinscrire de la newsletter"
"Update","Mettre à jour"
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de <strong>livraison</strong> par défaut"
"VAT Number","N° de taxe"
"VAT Request Date","Date de demande de taxes"
"VAT Request Identifier","Identifiant de demande de taxes"
"Validate VAT Number","Valider le numéro de TVA"
"Validate on Each Transaction","Valider à chaque transaction"
"Validation Error Group","Groupe d'erreur de validation"
"View","Voir"
"View Order","Visualiser"
"Visitor","Visiteur"
"Visitors Only","Visiteurs seulement"
"Website","Site web""%s and greater"
"Welcome Email","Courriel de bienvenue"
"Wishlist","Liste d'achats"
"Wishlist - %d item(s)","Liste-cadeaux - %d article(s)"
"Would you like to change the Customer Group for this order?","Souhaitez-vous changer de groupe client pour cette commande ?"
"Wrong email.","Courriel erroné."
"Year","Année"
"You are currently not subscribed to any newsletter.","Vous n'êtes abonné à aucune infolettre."
"You are currently subscribed to 'General Subscription'.","Vous êtes abonné à 'Abonnement général'"
"You are currently subscribed to our newsletter.","Vous êtes abonné(e) à notre infolettre"
"You have no additional address entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses."
"You have no additional entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses"
"You have no default billing address in your address book.","Vous n'avez pas d'adresse de facturation par défaut dans votre carnet d'adresses."
"You have no default shipping address in your address book.","Vous n'avez pas d'adresse de livraison par défaut dans votre carnet d'adresses."
"You have not set a default billing address.","Vous n'avez pas spécifié d'adresse de facturation par défaut."
"You have not set a default shipping address.","Vous n'avez pas spécifié d'adresse de livraison par défaut."
"You have placed no orders yet.","Vous n'avez pas encore passé de commande."
"You have placed no products yet.","Vous n'avez pas encore choisi de produit."
"You will be charged tax.","La TVA vous sera appliquée."
"You will not be charged tax.","La TVA ne vous sera pas appliquée."
"Your Tax ID cannot be validated.","Votre numéro de TVA ne peut pas être validé. Assurez-vous qu'il ne comporte pas de code pays."
"Your VAT ID was successfully validated.","Votre numéro de TVA a bien été validé."
"Your account balance is: %s","Le solde de votre compte est de: <strong>%s</strong>"
"ZIP","Code postal"
"ZIP/Post Code","Code postal"
"Zip/Postal Code","Code postal"
"n/a","n/d"
"or","ou"
