"* Required Fields","* आवश्यक फील्ड्स"
"Indexed category/products association","अनुक्रमित श्रेणी / उत्पाद संघ"
"Input Type","निवेष का प्रकार"
"Integer","पूर्णांक"
"Inventory","इन्वेंटरी"
"Is Default","डिफ़ॉल्ट है"
"Is Required","आवश्यक है"
"Label","लेबल"
"Last Name","अंतिम नाम"
"Learn More","और अधिक जानें"
"Link to a Specified Category","एक निर्दिष्ट श्रेणी से लिंक"
"Link to a Specified Product","एक निर्दिष्ट उत्पाद का लिंक"
"List","सूची"
"List Mode","सूची मोड"
"List of Products that are set as New","उत्पादों की सूची जो नई के रूप में सेट की गई है"
"Manage Attribute Sets","विशेषता सेट प्रबंधित करें"
"Manage Catalog Categories","कैटलॉग श्रेणियाँ प्रबंधित करें"
"Manage Categories","श्रेणी व्यवस्थित करें"
"Manage Product Attributes","उत्पाद विशेषताएँ प्रबंधित करें"
"Manage Product Sets","उत्पाद सेट प्रबंधित करें"
"Manage Stock","स्टॉक प्रबंधित करें"
"Manage Titles (Size, Color, etc.)","शीर्षक प्रबंधित करें (आकार, रंग, आदि)"
"Max Characters","अधिकतम वर्ण"
"Maximal Depth","अधिकतम गहराई"
"Maximum Image Size","अधिकतम छवि आकार"
"Maximum Qty Allowed in Shopping Cart","शॉपिंग कार्ट में अधिकतम अनुमति दी गई"
"Maximum image height","अधिकतम छवि ऊंचाई"
"Maximum image width","अधिकतम छवि चौड़ाई"
"Maximum number of characters:","अधिकतम वर्ण:"
"Media Image","मीडिया इमेज"
"Minimum Qty Allowed in Shopping Cart","खरीदारी की टोकरी में न्यूनतम मात्रा"
"My Account","मेरा खाता"
"N/A","एन / ए"
"Name","नाम"
"New Product","नया उत्पाद"
"New Product Attribute","नई उत्पाद विशेषता"
"New Products","नये उत्पाद"
"New Products Grid Template","नए उत्पाद ग्रिड टेम्पलेट"
"New Products List Template","नए उत्पादों की सूची टेम्पलेट"
"New Set Name","नया सेट नाम"
"New products","नये उत्पाद"
"Next","अगला"
"No","नहीं"
"No layout updates","कोई लेआउट अपडेट नहीं"
"None","कोई नहीं"
"Not Visible Individually","व्यक्तिगत रूप से दृश्यमान नहीं"
"Notify Low Stock RSS","कम स्टॉक आरएसएस को सूचित करें"
"Notify for Quantity Below","नीचे मात्रा के लिए सूचित करें"
"Number of Products per Page","प्रति पृष्ठ उत्पादों की संख्या"
"Number of Products to Display","प्रदर्शित करने के लिए उत्पादों की संख्या"
"OK","ठीक"
"On Gesture","इशारे पर"
"Out of Stock","स्टॉक ख़त्म"
"Out of stock","स्टॉक ख़त्म"
"Page Title Separator","पृष्ठ शीर्षक विभाजक"
"Parent Category","अभिभावक श्रेणी"
"Pending","अपूर्ण"
"Please add rows to option.","कृपया विकल्पों में पंक्तियाँ जोड़ें।"
"Please specify date required option(s).","कृपया दिनांक आवश्यक विकल्प निर्दिष्ट करें।"
"Please specify the quantity of product(s).","कृपया उत्पाद की मात्रा निर्दिष्ट करें।"
"Please specify time required option(s).","कृपया समय के लिए आवश्यक विकल्प निर्दिष्ट करें।"
"Please wait...","कृपया प्रतीक्षा करें"
"Position","पद"
"Prev","पिछला"
"Previous","पिछला"
"Price","मूल्य"
"Price Type","मूल्य प्रकार"
"Print This Page","इस पृष्ठ का मुद्रण कीजिए"
"Product","उत्पाद"
"Product Alerts","उत्पाद अलर्ट"
"Product Attributes","उत्पाद विशेषताएं"
"Product Categories","उत्पाद श्रेणियाँ"
"Product Flat Data","उत्पाद फ्लैट डेटा"
"Product ID","उत्पाद आइ डि"
"Product Image Placeholders","उत्पाद छवि प्लेसहोल्डर"
"Product Image Watermarks","उत्पाद छवि वॉटरमार्क"
"Product In Websites","वेबसाइट में उत्पाद"
"Product Info Column","उत्पाद जानकारी कॉलम"
"Product Link Block Template","उत्पाद लिंक ब्लॉक टेम्पलेट"
"Product Link Inline Template","उत्पाद लिंक इनलाइन टेम्पलेट"
"Product Listing Sort by","द्वारा सूचीबद्ध उत्पादों की सूची"
"Product Name","उत्पाद का नाम"
"Product URL Suffix","उत्पाद यूआरएल प्रत्यय"
"Product is not loaded","उत्पाद लोड नहीं है"
"Products","उत्पादों"
"Products Comparison List","उत्पाद तुलना सूची"
"Products Information","उत्पाद जानकारी"
"Products only","उत्पाद केवल"
"Products per Page on Grid Allowed Values","ग्रिड अनुमत मूल्यों पर प्रति पृष्ठ उत्पाद"
"Products per Page on Grid Default Value","ग्रिड डिफ़ॉल्ट मूल्य पर प्रति पृष्ठ उत्पाद"
"Products per Page on List Allowed Values","उत्पादों की प्रति पृष्ठ सूची अनुमत मूल्यों पर"
"Products per Page on List Default Value","सूची डिफ़ॉल्ट मूल्य पर प्रति पृष्ठ उत्पाद"
"Properties","गुण"
"Qty","मात्रा"
"Qty Increments","मात्रा वृद्धि"
"Qty Uses Decimals","मात्रा का उपयोग करता है दशमलव"
"Quantity","मात्रा"
"Related Products","संबंधित उत्पाद"
"Remove","निकालें"
"Remove Product From Websites","वेबसाइट से उत्पाद निकालें"
"Remove This Item","इस सामान को हटाओ"
"Reorganize EAV category structure to flat structure","समतल संरचना को EAV श्रेणी संरचना का पुनर्गठन करें"
"Reorganize EAV product structure to flat structure","समतल संरचना के लिए EAV उत्पाद संरचना का पुनर्गठन करें"
"Reset","रीसेट"
"Results","परिणाम"
"Root","जड़"
"SKU","एसकेयु"
"Save","सहेजें"
"Save Attribute","सेव सेव"
"Save and Continue Edit","सहेजें और संपादित करना जारी रखें"
"Scope","क्षेत्र"
"Search","खोज"
"Searchable","खोज सकने"
"Select Category...","श्रेणी का चयन करें..."
"Select Product...","उत्पाद का चयन करें ..."
"Select type options required values rows.","प्रकार के विकल्प आवश्यक मान पंक्तियों का चयन करें।"
"Send Count","गणना भेजें"
"Set Ascending Direction","आरोही दिशा निर्धारित करें"
"Set Descending Direction","अवरोही दिशा निर्धारित करें"
"Settings","समायोजन"
"Shop By","द्वारा खरीदारी"
"Shopping Options","खरीदारी के विकल्प"
"Show","प्रदर्शन"
"Some of the selected item options are not currently available.","चयनित आइटम विकल्पों में से कुछ वर्तमान में उपलब्ध नहीं हैं।"
"Sort By","इसके अनुसार क्रमबद्ध करें"
"Sort Order","सॉर्ट क्रम"
"Static","स्थिर"
"Static block and products","स्थैतिक ब्लॉक और उत्पादों"
"Static block only","केवल स्टेटिक ब्लॉक"
"Status","स्थिति"
"Stock Availability","स्टॉक की उपलब्धता"
"Store","स्टोर"
"Store View","स्टोर दृश्य"
"Stretch","खिंचाव"
"Subscribe to RSS Feed","आरएसएस फ़ीड की सदस्यता लें"
"System Properties","प्रणाली के गुण"
"Tax","कर"
"Template","खाका"
"Text","टेक्स्ट"
"The base directory to upload file is not specified.","फ़ाइल अपलोड करने के लिए आधार निर्देशिका निर्दिष्ट नहीं है।"
"There are no customers for this alert.","इस अलर्ट के लिए कोई ग्राहक नहीं हैं।"
"This attribute cannot be edited.","इस विशेषता को संपादित नहीं किया जा सकता है।"
"This attribute set no longer exists.","यह विशेषता सेट मौजूद नहीं है।"
"This group contains system attributes. Please move system attributes to another group and try again.","इस समूह में सिस्टम विशेषताएँ हैं। कृपया सिस्टम विशेषताओं को दूसरे समूह में ले जाएं और पुनः प्रयास करें।"
"Tier Pricing","टियर प्राइसिंग"
"Tile","टाइल"
"Time Format","समय प्रारूप"
"Title","शीर्षक"
"Top/Left","बाएं से बाएं"
"Top/Right","ठीक तरह से ऊपर"
"Type","प्रकार"
"Unassigned Attributes","निरुपित गुण"
"Up-sells","ऊपर बेचता है"
"Update","अपडेट करें"
"Update Attributes","अद्यतन विशेषताएँ"
"Update attributes","अद्यतन विशेषताएँ"
"Use Canonical Link Meta Tag For Categories","श्रेणियों के लिए कैननिकल लिंक मेटा टैग का उपयोग करें"
"Use Canonical Link Meta Tag For Products","उत्पादों के लिए कैननिकल लिंक मेटा टैग का उपयोग करें"
"Use Config Settings","कॉन्फ़िगरेशन सेटिंग्स का उपयोग करें"
"Use Default Value","डिफ़ॉल्ट मान का उपयोग करें"
"Use Flat Catalog Category","फ्लैट कैटलॉग श्रेणी का उपयोग करें"
"Use Flat Catalog Product","फ्लैट कैटलॉग उत्पाद का उपयोग करें"
"Use JavaScript Calendar","जावास्क्रिप्ट कैलेंडर का उपयोग करें"
"Use config","विन्यास का प्रयोग करें"
"Use for Promo Rule Conditions","प्रोमो नियम शर्तों के लिए उपयोग करें"
"Used for Sorting in Product Listing","उत्पाद सूचीकरण में छंटाई के लिए उपयोग किया जाता है"
"Used in Product Listing","उत्पाद सूचीकरण में प्रयुक्त"
"Varchar","varchar"
"View as","के रूप में देखें"
"Visibility","दृश्यता"
"Visible","दर्शनीय"
"WYSIWYG Editor","WYSIWYG संपादक"
"Website","वेबसाइट"
"Websites","वेबसाइटों"
"What's this?","यह क्या है?"
"Year Range","वर्ष श्रेणी"
"Yes","हाँ"
"You have no items to compare.","आपके पास तुलना करने के लिए कोई आइटम्स नहीं है।"
"and above","और ऊपर"
"per page","प्रति पृष्ठ"
"products","उत्पादों"
"px.","पिक्सल।"
"select all","सभी का चयन करें"
"unselect all","सभी का चयन रद्द"
