"* Required Fields","* आवश्यक फील्ड्स"
"New Customer","नए ग्राहक"
"New Customer Group","नया ग्राहक समूह"
"New Customer Groups","नए ग्राहक समूह"
"New Group","नया समूह"
"New Password","नया पासवर्ड"
"Newsletter","समाचार पत्रिका"
"Newsletter Information","समाचार पत्र सूचना"
"Newsletter Subscription","न्यूज़लैटर की सदस्यता"
"No Newsletter Found","कोई न्यूज़लैटर नहीं मिला"
"Not Sent","नहीं भेजा गया"
"Offline","ऑफलाइन"
"Online","ऑनलाइन"
"Online Customers","ऑनलाइन ग्राहक"
"Order #","ऑर्डर #"
"Order Total","कुल आदेश"
"Orders","ऑर्डर"
"Password","पासवर्ड"
"Password:","पारण शब्द:"
"Paused","रोके गए"
"Pending","अपूर्ण"
"Per Website","प्रति वेबसाइट"
"Please enter the city.","कृपया शहर में प्रवेश करें।"
"Please enter the country.","कृपया देश में प्रवेश करें।"
"Please enter the first name.","कृपया पहला नाम दर्ज करें।"
"Please enter the last name.","कृपया अंतिम नाम दर्ज करें।"
"Please enter the state/province.","कृपया राज्य / प्रांत में प्रवेश करें।"
"Please enter the street.","कृपया गली में प्रवेश करें।"
"Please enter the zip/postal code.","कृपया ज़िप / पोस्टल कोड दर्ज करें।"
"Please enter your email.","अपना ईमेल दर्ज करें।"
"Please make sure your passwords match.","अपने पासवर्ड का मिलान सुनिश्चित करें।"
"Prefix Dropdown Options","उपसर्ग ड्रॉपडाउन विकल्प"
"Price","मूल्य"
"Product","उत्पाद"
"Product ID","उत्पाद आइ डि"
"Product Name","उत्पाद का नाम"
"Qty","मात्रा"
"Recent Orders","हाल के आदेश"
"Refunded","वापस"
"Remove","निकालें"
"SKU","एसकेयु"
"Save","सहेजें"
"Save Customer","ग्राहक बचाओ"
"Save Customer Group","ग्राहक समूह सहेजें"
"Save and Continue Edit","सहेजें और संपादित करना जारी रखें"
"Send From","से भेजा"
"Sending","भेजना"
"Sent","भेज दिया"
"Shopping Cart","शॉपिंग कार्ट"
"State/Province","राज्य/प्रांत"
"Status","स्थिति"
"Store","स्टोर"
"Store View","स्टोर दृश्य"
"Street Address","सड़क का पता"
"Subject","विषय"
"Submit","जमा करें"
"Subscribe to Newsletter","सूचना पत्र के ग्राहक बनें"
"Tax Calculation Based On","के आधार पर कर की गणना"
"Tax Class","टैक्स कक्षा"
"Text","टेक्स्ट"
"The VAT ID entered (%s) is not a valid VAT ID.","दर्ज की गई वैट आईडी (%s) वैध वैट आईडी नहीं है।"
"The VAT ID is valid. The current Customer Group will be used.","वैट आईडी मान्य है। वर्तमान ग्राहक समूह का उपयोग किया जाएगा।"
"The customer does not have default billing address.","ग्राहक के पास डिफ़ॉल्ट बिलिंग पता नहीं है।"
"This email does not require confirmation.","इस ईमेल को पुष्टि की आवश्यकता नहीं है।"
"Total","कुल"
"Type","प्रकार"
"Unknown","अनजान"
"Update","अपडेट करें"
"VAT Request Date","वैट अनुरोध तिथि"
"VAT Request Identifier","वैट अनुरोध पहचानकर्ता"
"Validate VAT Number","वैट नंबर की पुष्टि करें"
"View","देखें"
"View Order","आदेश देखें"
"Website","वेबसाइट"
"Would you like to change the Customer Group for this order?","क्या आप इस आदेश के लिए ग्राहक समूह को बदलना चाहेंगे?"
"Wrong email.","गलत ई - मेल।"
"Year","साल"
"You have not set a default billing address.","आपने डिफ़ॉल्ट बिलिंग पता सेट नहीं किया है।"
"You have not set a default shipping address.","आपने डिफ़ॉल्ट शिपिंग पता सेट नहीं किया है।"
"ZIP/Post Code","ज़िप पोस्ट कोड"
"Zip/Postal Code","ज़िप/पोस्ट कोड"
