" [deleted]"," [حذف شده]"
"By IP and Email","توسط آی پی و ایمیل"
"CMS","سیستم مدیریت محتوا"
"Cache Control","کنترل حافظه نهان"
"Cache Management","مدیریت حافظه نهان"
"Cache Type","نوع حافظه نهان"
"Cancel","لغو"
"Cannot add new comment.","نمی‌توان توضیح جدید افزود."
"Cannot add tracking number.","نمی‌توان شماره‌ی پیگیری افزود."
"Cannot do shipment for the order separately from invoice.","نمی‌توان محموله را برای سفارش، جداگانه از فاکتور صادر کرد."
"Cannot do shipment for the order.","نمی‌توان محموله را برای سفارش صادر کرد."
"Cannot save shipment.","نمی‌توان محموله را ذخیره کرد."
"Cannot send shipment information.","نمی‌توان اطلاعات محموله را فرستاد."
"Cannot update item quantity.","نمی‌توان تعداد آیتم را به روز کرد."
"Card Verification Number","CVV2"
"Catalog","فهرست"
"Catalog Price Rules","قوانین قیمت کاتالوگ"
"Catalog Rewrites","بازنویسی‌ های کاتالوگ"
"Categories","دسته بندی‌ ها"
"Category","دسته بندی"
"Category:","دسته:"
"Checkbox","چک باکس"
"Child Transactions","تراکنش‌های ولد"
"Choose Store View:","انتخاب نمای فروشگاه:"
"Clear","پاک کردن"
"Close","بستن"
"Code","کد"
"Complete","کامل"
"Config form fieldset clone model required to be able to clone fields","پیکربندی ایجاد کننده مدل مشابه fieldset نیاز به کپی کردن فیلدها دارد"
"Configuration","پیکربندی"
"Confirm New Password","تأیید کلمه عبور جدید"
"Confirmed email:","ایمیل تأیید شده:"
"Continue","ادامه"
"Convert to Plain Text","تبدیل به متن ساده"
"Cookie (unsafe)","کوکی (ناامن)"
"Country","كشور"
"Country:","کشور:"
"Coupons","کوپن ها"
"Create","ایجاد"
"Create DB Backup","ایجاد پشتیبان از پایگاه‌ داده"
"Create New Attribute","ایجاد ویژگی جدید"
"Created At","ايجاد شده در"
"Credit Card Number","شماره کارت بانکی"
"Credit Card Type","نوع کارت بانکی"
"Credit Memo History","پیشینه‌ی یادداشت بستانکاری"
"Credit Memo Totals","جمع کل یادداشت بستانکاری"
"Credit Memos","یادداشت‌های بستانکاری"
"Currency","واحد پول"
"Current Configuration Scope:","محدوده پیکربندی فعلی:"
"Current Month","ماه جاری"
"Custom","سفارشی"
"Custom Variables","متغیرهای سفارشی"
"Customer","مشتری"
"Customer Group:","گروه مشتری:"
"Customer Groups","گروه‌های مشتری"
"Customer Name","نام مشتری"
"Customer Reviews","نظرات مشتری"
"Customer Shopping Carts","سبدهای خرید مشتری"
"Customer Tax Classes","کلاس‌ های مالیاتی مشتری"
"Customers","مشتریان"
"Customers by Number of Orders","مشتریان بر اساس تعداد سفارش‌ ها"
"Customers by Orders Total","مشتریان بر اساس مجموع سفارش‌ ها"
"Dashboard","داشبورد"
"Database","پایگاه داده"
"Date","تاریخ"
"Date & Time","تاریخ و زمان"
"Date Added","تاریخ اضافه شدن"
"Date selector","انتخاب تاریخ"
"Day","روز"
"Debug","اشکال زدايي کردن"
"Default Billing Address","آدرس صورتحساب پیش فرض"
"Default Config","پیکربندی پیش فرض"
"Default Values","مقادیر پیش فرض"
"Default scope","محدوده پیش فرض"
"Delete","حذف"
"Delete Block","حذف بلاک"
"Delete File","حذف فایل"
"Delete Image","حذف تصویر"
"Delete Role","حذف وظیفه"
"Delete Store","حذف فروشگاه"
"Delete Store View","حذف نمای فروشگاه"
"Delete Template","حذف قالب"
"Delete User","حذف کاربر"
"Description","توصیف"
"Design","طراحی"
"Details","جزئیات"
"Disable","غیرفعال کردن"
"Disabled","غير فعال"
"Display default currency","نمایش ارز پیش فرض"
"Download","دانلود"
"Downloads","دانلودها"
"Drop-down","کشویی"
"Edit","ويرايش"
"Edit Block","ویرایش بلوک"
"Edit Design Change","ویرایش تغییر طراحی"
"Edit Email Template","ویرایش قالب ایمیل"
"Edit Order","ویرایش سفارش"
"Edit Queue","ویرایش صف"
"Edit Review","ویرایش نظر"
"Edit Role","ویرایش نقش"
"Edit Store View","ویرایش نمای فروشگاه"
"Edit System Template","ویرایش قالب سیستم"
"Edit Template","ویرایش قالب"
"Edit URL Rewrite","ویرایش بازنویسی URL"
"Edit User","ویرایش کاربر"
"Email","ايميل"
"Email Address:","آدرس ایمیل:"
"Email to a Friend","ایمیل به یک دوست"
"Email:","ایمیل:"
"Enable","فعال"
"Enabled","فعال"
"Entity Attributes","خواص نهاد"
"Entity Type","نوع موجودیت"
"Entity type:","نوع موجودیت:"
"Error","خطا"
"Excel XML","اکسل XML"
"Excl. Tax","بدون مالیات"
"Exclude media folder from backup","پشتیبان گیری بدون پوشه media"
"Expiration Date","تاريخ انقضا"
"Export","خروجی گرفتن"
"Export CSV","خروجی گرفتن از CSV"
"Export to:","استخراج به:"
"FTP Host","هاست FTP"
"FTP Host[:Port]","هاست FTP [:پورت]"
"FTP Password","رمزعبور FTP"
"Failed","ناموفق"
"File","فایل"
"File System","سیستم فایل"
"First Invoice Created Date","تاریخ ایجاد اولین فاکتور"
"First Name","نام"
"First Name:","نام:"
"Fixed","ثابت"
"Flush Catalog Images Cache","پاک کردن حافظه نهان تصاویر کاتالوگ"
"Flush JavaScript/CSS Cache","پاک کردن حافظه نهان JavaScript/CSS"
"Forgot your password?","کلمه عبور خود را فراموش کرده اید؟"
"From","از"
"General Information","اطلاعات عمومی"
"Global Search","جستجوی سراسری"
"Go Today","برو به امروز"
"Go to Top","برو به بالا"
"Grand Total","جمع کل نهایی"
"Grid (default) / List","جدول (پیش فرض) / لیست"
"Grid Only","فقط جدول"
"Guest","مهمان"
"HTTP (unsecure)","HTTP (ناامن)"
"Home","خانه"
"ID","شناسه"
"IP Address","آدرس IP"
"IPN (Instant Payment Notification) Only","تنها IPN (اعلام پرداخت فوری)"
"Id","شناسه"
"Images (.gif, .jpg, .png)","تصاویر (.gif, .jpg, .png)"
"Images Cache","کش تصاویر"
"Import","وارد کردن"
"Import Service","سرویس وارد کردن"
"Import and Export Tax Rates","ورود و صدور نرخ‌های مالیات"
"Import/Export","وارد کردن/ خروجی گرفتن"
"Important: ","مهم: "
"Inactive","غیرفعال"
"Incl. Tax","با مالیات"
"Incoming Message","پیغام های دریافتی"
"Insert Variable...","افزودن متغیر..."
"Invalid Form Key. Please refresh the page.","کلید فرم نامعتبر است. لطفا صفحه را به روز رسانی کنید."
"Invalid data","داده نامعتبر"
"Invalid parent block for this block","بلاک منشا نامعتبر برای این بلاک"
"Invalidated","نامعتبر است"
"Inventory Stock Status","وضعیت موجودی انبار"
"Invoice History","پیشینه‌ی فاکتور"
"Invoice Totals","جمع کل فاکتور"
"Invoices","فاکتورها"
"Is Closed","بسته شده است"
"Is Default","پیش فرض است"
"Issue Number","شماره موضوع"
"Items","موارد"
"JavaScript seems to be disabled in your browser.","به نظر می رسد جاوا اسکریپت در مرورگر شما غیر فعال است."
"JavaScript/CSS Cache","حافظه نهان JavaScript/CSS"
"Last 24 Hours","24 ساعت گذشته"
"Last 7 Days","7 روز گذشته"
"Last Credit Memo Created Date","تاریخ ایجاد آخرین یادداشت بستانکاری"
"Last Invoice Created Date","تاریخ ایجاد آخرین فاکتور"
"Last Logged In:","آخرین ورود:"
"Last Name","نام خانوادگی"
"Last Name:","نام خانوادگی:"
"Lifetime Sales","تمام فروش‌ ها تاکنون"
"Links","لینک‌ ها"
"List (default) / Grid","لیست (پیش فرض) / جدول"
"List Only","فقط لیست"
"Load Template","بارگذاری قالب"
"Loading...","در حال بار گذاری..."
"Local Server","سرور محلی"
"Locale","بومی سازی"
"Login","ورود"
"Low Stock","موجودی کم"
"OpenMage Admin","مدیر مجنتو"
"Magento root directory","دایرکتوری اصلی مجنتو"
"Content","محتوا"
"Currency Rates","نرخ‌ های تبدیل ارز"
"Tax Rules","قوانین مالیات"
"Tax Zones and Rates","مالیات مناطق و نرخ"
"Manual","به صورت دستی"
"Maximum sender name length is 255. Please correct your settings.","حداکثر طول نام فرستنده 255 کاراکتر است. لطفا تنظیمات خود را تصحیح نمایید."
"Media (.avi, .flv, .swf)","رسانه (. avi. flv ، swf)"
"Messages Inbox","صندوق پیغام‌های دریافتی"
"Month","ماه"
"Most Viewed","پر بازدید"
"Most Viewed Products","محصولات پربازدید"
"Multiple Select","چند انتخابی"
"My Account","حساب کاربری من"
"N/A","هیچ"
"Name","نام"
"Never (production)","هرگز (تولید)"
"New ","جدید "
"New Accounts","حساب‌ های کاربری جدید"
"New Attribute","ویژگی جدید"
"New Block","بلوک جدید"
"New Category","دسته‌ بندی جدید"
"New Condition","شرط جدید"
"New Custom Variable","متغیر سفارشی جدید"
"New Customer","مشتری جدید"
"New Customers","مشتریان جدید"
"New Email Template","قالب ایمیل جدید"
"New Group","گروه جدید"
"New Invoice","فاکتور جدید"
"New Memo","یادداشت جدید"
"New Page","صفحه جدید"
"New Password","کلمه عبور جدید"
"New Rating","امتیاز جدید"
"New Review","نظر جدید"
"New Role","وظيفه جديد"
"New Rule","قانون جدید"
"New Search","جستجوی جدید"
"New Set","مجموعه‌ جدید"
"New Shipment","محموله‌ی جدید"
"New Sitemap","نقشه سایت جدید"
"New Store View","نمای فروشگاه جدید"
"New System Template","قالب سیستم جدید"
"New Template","قالب جدید"
"New User","کاربر جدید"
"Newsletter","خبرنامه"
"Newsletter Queue","صف خبرنامه"
"Newsletter Subscribers","مشترکین خبرنامه"
"Newsletter Templates","قالب‌ های خبرنامه"
"No","خیر"
"No (price without tax)","خیر (قیمت بدون مالیات)"
"No Data","هیچ داده ای"
"No Data Found","داده‌ای یافت نشد"
"No Templates Found","قالبی یافت نشد"
"No change","بدون تغییر"
"No records found.","رکوردی یافت نشد."
"No search modules were registered","ماژول جستجویی ثبت نشده است"
"None","هیچ یک"
"Note:","توجه:"
"Notifications","اطلاعیه‌ها"
"Number of Orders","تعداد سفارشات"
"Number of Uses","تعداد استفاده‌ها"
"OK","قبول"
"Old rate:","نرخ قدیم:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","پس از وارد شدن به حساب PayPal Advanced خود، به تنظیمات سرویس - صفحه پرداخت های میزبانی شده - تنظیمات منو بروید و گزینه های شرح داده شده در زیر را تنظیم کنید"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","هنگامی که وارد PayPal Payflow Link Account شوید، به تنظیمات سرویس - صفحات پرداخت شده میزبانی شده - منو را تنظیم کرده و گزینه های شرح داده شده در زیر را تنظیم کنید"
"Online Customers","مشتریان آنلاین"
"Only Once (version upgrade)","تنها یک بار (ارتقاء ورژن)"
"Optional","اختیاری"
"Options","گزينه ها"
"Order","سفارش"
"Order ID","شناسه سفارش"
"Order Totals","جمع کل سفارش"
"Orders","سفارشات"
"Out of stock","در انبار موجود نیست"
"Pages","صفحات"
"Parent Product Thumbnail","تصویر بند انگشتی محصول مادر"
"Parent Transaction ID","شناسه‌ی تراکنش منشا"
"Password","کلمه عبور"
"Password Confirmation","تأیید رمز عبور"
"Password:","کلمه عبور:"
"Pending Reviews","نظرات در انتظار"
"Per Item","در هر مورد"
"Per Order","بر سفارش"
"Percent","درصد"
"Period","دوره"
"Permanent (301)","همیشگی (301)"
"Permissions","دسترسي ها"
"Personal Information","اطلاعات شخصی"
"Please Select","لطفا انتخاب نمایید"
"Please confirm site switching. All data that hasn't been saved will be lost.","لطفا سوئیچینگ سایت را تایید کنید تمام داده هایی که ذخیره نشده اند از بین خواهند رفت."
"Please enter a number greater than 0 in this field.","لطفا در این فیلد عددی بزرگ‌تر از 0 وارد نمایید."
"Please enter a valid $ amount. For example $100.00.","لطفا مبلغ معتبر را وارد کنید به عنوان مثال 100 دلار."
"Please enter a valid credit card number.","لطفا یک شماره‌ی کارت اعتباری معتبر وارد نمایید."
"Please enter a valid date.","لطفا یک تاریخ معتبر وارد کنید."
"Please enter a valid email.","لطفا یک ایمیل معتبر وارد نمایید."
"Please enter a valid number in this field.","لطفا در این فیلد یک شماره‌ی معتبر وارد نمایید."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","لطفا یک شماره تلفن معتبر وارد نمایید. برای مثال 7890-456 (123) یا 7890-456-123."
"Please enter a valid value from list","لطفا یک مقدار معتبر از لیست را وارد کنید"
"Please enter a valid value, ex: 10,20,30","لطفا یک مقدار معتبر وارد نمایید، مثال: 10،20،30"
"Please enter a valid zip code.","لطفا یک کد پستی معتبر وارد نمایید."
"Please make sure that all global admin search modules are installed and activated.","لطفا اطمینان حاصل نمایید که همه‌ی ماژول‌های جستجوی مدیریت سراسری نصب و فعال شده اند."
"Please make sure your passwords match.","لطفا مطمئن شوید با کلمات عبور شما مطابقت دارد."
"Please select State/Province.","لطفا ایالت/استان را انتخاب نمایید."
"Please select an option.","لطفا یک گزینه را انتخاب کنید."
"Please select customer(s).","لطفا مشتری (ها) را انتخاب نمایید."
"Please select one of the options.","لطفا یکی از گزینه‌ها را انتخاب نمایید."
"Please select review(s).","لطفا نظر(ات) را انتخاب نمایید."
"Please specify the admin custom URL.","لطفا URL سفارشی مدیر را مشخص نمایید."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","لطفا فقط از حروف (a-z یا A-Z), اعداد (0-9) یا فاصله در این فیلد استفاده کنید."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","لطفا از این فرمت تاریخ استفاده کنید: dd / mm / yyyy. به عنوان مثال 17/03/2006 به 17 مارس 2006."
"Please wait...","لطفا صبر کنید..."
"Position","موقعيت"
"Preview","پيش نمايش"
"Preview Template","پیش نمایش قالب"
"Price","قيمت"
"Price:","قیمت:"
"Processing","پردازش"
"Product","محصول"
"Product Name","نام محصول"
"Product Reviews","نظرات محصول"
"Product Thumbnail Itself","تصویر بند انگشتی خود محصول"
"Product:","محصول:"
"Products","محصولات"
"Products Bestsellers Report","گزارش محصولات پرفروش"
"Products Most Viewed Report","گزارش محصولات پربازدید"
"Products Ordered","محصولات سفارش داده شده"
"Products in Carts","محصولات درون سبدها"
"Promo","تبلیغ"
"Promotions","تبلیغات"
"Quantity","تعداد"
"Radio Buttons","دکمه‌ های رادیویی"
"Rebuild","بازسازی"
"Rebuild Catalog Index","بازسازی فهرست کاتالوگ"
"Rebuild Flat Catalog Category","بازسازی گروه کاتالوگ یکنواخت"
"Rebuild Flat Catalog Product","بازسازی محصول کاتالوگ یکنواخت"
"Recent Orders","سفارش‌های اخیر"
"Recent statistics have been updated.","آمار اخیر به روز رسانی شد."
"Reference ID","شناسه‌ی ارجاع"
"Refresh","به روز رسانی"
"Refresh Statistics","به روز رسانی آمار"
"Region/State","منطقه/استان"
"Reload captcha","بارگذاری مجدد captcha"
"Remote FTP","FTP راه دور"
"Remove","برداشتن"
"Reports","گزارش‌ ها"
"Request Path","مسیر درخواست"
"Required","الزامی"
"Reset","بازنشانی"
"Reset Filter","تنظیم مجدد فیلتر"
"Reset Password","تنظیم مجدد کلمه عبور"
"Reset a Password","تنظیم مجدد رمز عبور"
"Resource Access","دسترسی منبع"
"Resources","منابع"
"Results","نتایج"
"Retrieve Password","بازیابی گذرواژه"
"Return Html Version","برگرداندن نسخه‌ Html"
"Revenue","درآمد"
"Reviews","نظرات"
"Role Info","اطلاعات وظیفه"
"Role Information","اطلاعات نقش"
"Role Name","نام نقش"
"Role Resources","منابع وظیفه"
"Role Users","کاربران وظیفه"
"Roles","وظايف"
"Roles Resources","منابع وظایف"
"Root Category","دسته ریشه"
"Run","اجرا"
"SKU","کد محصول"
"Sales","حراجی ها"
"Sales Report","گزارش فروش‌ ها"
"Samples","نمونه ها"
"Save","ذخيره"
"Save & Generate","ذخیره و تولید"
"Save Account","ذخیره‌ حساب کاربری"
"Save Cache Settings","ذخیره‌ تنظیمات حافظه نهان"
"Save Config","ذخیره‌ پیکربندی"
"Save Currency Rates","ذخیره‌ نرخ‌ های تبدیل ارز"
"Save Role","ذخیره نقش"
"Save Template","ذخیره‌ قالب"
"Save User","ذخیره‌ی کاربر"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Search","جستجو"
"Search Index","فهرست جستجو"
"Search Term","عبارت جستجو"
"Search Terms","عبارات جستجو"
"Search entire store here...","تمام فروشگاه را اینجا جستجو کنید..."
"Select","انتخاب"
"Select All","انتخاب همه"
"Select Category","انتخاب دسته بندی"
"Select Date","انتخاب تاریخ"
"Sender","فرستنده"
"Separate Email","ایمیل مجزا"
"Shipment Comments","توضیحات محموله"
"Shipment History","پیشینه‌ی محموله"
"Shipments","محموله‌ها"
"Shipping","ارسال"
"Shipping Address","آدرس ارسال"
"Shipping Address: ","آدرس ارسال: "
"Shipping Origin","مبدا ارسال"
"Shipping Price","هزینه ارسال"
"Shopping Cart","سبد خرید"
"Show By","نمایش با"
"Show Report For:","نمایش گزارش برای:"
"Show Reviews","نمایش نظرات"
"Sitemap Information","اطلاعات نقشه سایت"
"Skip Category Selection","پرش از انتخاب رده"
"Specific Countries","کشورهای خاص"
"Specified","مشخص شده"
"Start Date","تاریخ شروع"
"State/Province:","استان / شهرستان:"
"Static Blocks","بلوک های ایستا"
"Status","وضعيت"
"Status:","وضعیت:"
"Store","فروشگاه"
"Store View","نمای فروشگاه"
"Stores","فروشگاه‌ها"
"Subject","موضوع"
"Submit","ارسال"
"Subtotal","جمع جز"
"Switch/Solo/Maestro Only","تنها Switch/Solo/Maestro"
"Synchronize","همگام‌ سازی"
"Synchronizing...","در حال همگام سازی..."
"System","سيستم"
"Tags","برچسب ها"
"Target Path","مسیر هدف"
"Tax","مالیات"
"Template","قالب"
"Template Content","محتوای قالب"
"Template Information","اطلاعات قالب"
"Template Name","نام قالب"
"Template Styles","طرح‌ های قالب"
"Template Subject","موضوع قالب"
"Template Type","نوع قالب"
"Temporary (302)","موقت (302)"
"Terms and Conditions","شرایط و ضوابط"
"Text","متن"
"The JavaScript/CSS cache has been cleaned.","حافظه نهان JavaScript/CSS پاک شد."
"The URL Rewrite has been saved.","بازنویسی URL ذخیره شد."
"The attribute set has been removed.","مجموعه ویژگی حذف شده است."
"The credit memo has been canceled.","یادداشت بستانکاری لغو شد."
"The image cache was cleaned.","حافظه نهان تصویر پاک شد."
"The invoice has been captured.","فاکتور ضبط شد."
"The invoice has been created.","فاکتور ایجاد شد."
"The invoice has been voided.","فاکتور باطل شده است."
"The order no longer exists.","سفارش دیگر موجود نیست."
"The shipment has been created.","محموله ایجاد شد."
"The transaction details have been updated.","جزئیات تراکنش به روز شده است"
"There is an error in one of the option rows.","در یکی از خطوط گزینه یک خطا وجود دارد."
"This account is","این حساب هست"
"This action cannot be undone.","این دستور قابل بازگشت نیست."
"This block no longer exists.","این بلوک دیگر وجود ندارد."
"This is a required field.","این فیلد الزامی است."
"This user no longer exists.","این کاربر دیگر وجود ندارد."
"Time","زمان"
"To","به"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","برای استفاده از اینترنت Payflow لینک شما باید حساب پی پال Payflow لینک در وب سایت پی پال را پیکربندی کنید."
"Tools","ابزارها"
"Total","مجموع"
"Total Invoiced","مجموع فاکتور شده"
"Total Refunded","مجموع مسترد شده"
"Track Order","پیگیری سفارش"
"Track this shipment","پیگیری این محموله"
"Transaction Data","دیتای تراکنش"
"Transaction Details","جزییات تراکنش"
"Transaction ID","شناسه تراکنش"
"Transaction Type","نوع تراکنش"
"Transactional Emails","ایمیل های تراکنش"
"Transactions","تراکنش‌ها"
"Type","نوع"
"Type:","نوع:"
"URL Rewrite Information","اطلاعات بازنویسی URL"
"URL Rewrite Management","مدیریت بازنویسی URL"
"Unknown","ناشناس"
"Unlimited","نامحدود"
"Update","به روز رسانی"
"Updated At","به روز شده در"
"Upload File","بارگذاری فایل"
"Upload Files","بارگذاری فایل ها"
"Use All Available Attributes","استفاده از تمام ویژگی‌ های موجود"
"Use Config Settings","استفاده از تنظیمات پیکربندی"
"Use Default","استفاده از پيش فرض"
"Use Default Value","از مقدار پیش فرض استفاده کنید"
"Use Default Variable Values","استفاده از مقادیر متغیر پیش فرض"
"Use FTP Connection","استفاده از اتصال FTP"
"Use Website","استفاده از وب سايت"
"User Email","ایمیل کاربر"
"User ID","شناسه كاربر"
"User Info","اطلاعات کاربر"
"User Information","اطلاعات کاربر"
"User Name","نام كاربر"
"User Password","رمز عبور کاربر"
"User Role","نقش کاربر"
"User Roles","وظایف کاربر"
"User Roles Information","اطلاعات وظایف کاربر"
"Users","کاربران"
"Validation Results","نتایج اعتبارسنجی"
"Value","مقدار"
"Variable","متغیر"
"Variable Code","کد متغیر"
"Variable HTML Value","مقدار HTML متغیر"
"Variable ID","شناسه‌ی متغیر"
"Variable Name","نام متغیر"
"Variable Plain Value","مقدار ساده‌ی متغیر"
"View Full Size","مشاهده اندازه کامل"
"View Statistics For:","مشاهده آمار برای:"
"Warning","هشدار"
"Website","وب سایت"
"What is this?","اين چيست؟"
"YTD","آغاز سال تاکنون"
"Year","سال"
"Yes","بله"
"Yes (301 Moved Permanently)","بله (301 Moved Permanently)"
"Yes (302 Found)","بله (302 Found)"
"Yes (only price with tax)","بله (تنها قیمت با مالیات)"
"You cannot delete your own account.","شما نمی‌توانید حساب خودتان را حذف کنید."
"You have logged out.","شما خارج شدید."
"Your password reset link has expired.","لینک بازیابی پسورد منقضی شده است"
"Zip/Postal Code","کد پستی"
"[ deleted ]","[ حذف شده ]"
"[GLOBAL]","[سراسری]"
"[STORE VIEW]","[مشاهده فروشگاه]"
"[WEBSITE]","[وب‌سایت]"
"close","بستن"
"critical","بحرانی"
"example: sitemap.xml","مثال: sitemap.xml"
"failed","ناموفق"
"from","از"
"major","اصلي"
"minor","جزئی"
"notice","اطلاعیه"
"successful","موفق"
"to","تا"
