"-- Please Select --","-- لطفا انتخاب کنيد --"
"Enabled for Admin","فعال برای مدیر"
"Environment Update Time","زمان به روز رسانی محيط"
"European Union Countries","کشورهای اتحادیه اروپا"
"Favicon Icon","Favicon آیکون"
"File not found","فایل یافت نشد"
"File system","سیستم فایل"
"File with an extension ""%value%"" is protected and cannot be uploaded","فايل با فرمت ""%value%"" محافظت شده است و نمی تواند آپلود شود"
"First Day of Week","اولین روز هفته"
"Flush Cache Storage","تخلیه‌ی مخزن کش"
"Flush Magento Cache","پاک کردن حافظه نهان مجنتو"
"Footer","فوتر"
"Forgot Password Email Template","قالب ایمیل برای هنگامی که گذرواژه‌ فراموش شده است"
"General","عمومی"
"General Contact","تماس عمومی"
"General Settings","تنظیمات عمومی"
"Global","سراسری"
"HTML Head","ابتدای HTML"
"Header","سربرگ"
"Host","هاست"
"How many links to display at once.","تعداد لینک‌ ها برای نمایش در یک بار."
"Incorrect credit card expiration date.","تاریخ انقضا کارت اعتباری نادرست است."
"Input type ""%value%"" not found in the input types list.","نوع ورودی""%value%"" در فهرست انواع ورودی یافت نشد."
"Invalid date","تاریخ نامعتبر است"
"JavaScript Settings","تنظیمات JavaScript"
"Layout","چیدمان"
"Leave empty for access from any location.","برای دسترسی از هر مکانی این قسمت را خالی بگذارید."
"Locale","بومی سازی"
"Locale Options","گزینه‌ های بومی سازی"
"Login is Case Sensitive","ورود به کوچک و بزرگ بودن حروف حساس است"
"Logo Image","تصویر لوگو"
"Logo Image Alt","متن جایگزین تصویر لوگو"
"Mail Sending Settings","تنظیمات ارسال ایمیل"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","اطمینان حاصل کنید که URL مبنا با '/' (اسلش) پایان می یابد، مثال http://yourdomain/magento/"
"Manage Stores","مدیریت فروشگاه‌ ها"
"Media Storage","محل ذخیره سازی رسانه"
"Merge CSS Files","ادغام فایل های CSS"
"Merge JavaScript Files","ادغام فایل های JavaScript"
"Miscellaneous HTML","HTML گوناگون"
"Name","نام"
"New Store","فروشگاه جدید"
"New Store View","نمای فروشگاه جدید"
"No","خیر"
"Offloader header","سربرگ Offloader"
"PHP SOAP extension is required.","فرمت PHP SOAP مورد نیاز است."
"Package","بسته"
"Pagination","صفحه بندی"
"Pagination Frame","فریم صفحه بندی"
"Pagination Frame Skip","رد شدن از فریم صفحه بندی"
"Path ""%value%"" is not available and cannot be used.","مسير ""%value%"" در دسترس نیست و نمی تواند مورد استفاده قرار گیرد."
"Path ""%value%"" is protected and cannot be used.","مسير ""%value%"" محافظت شده است و نمی تواند مورد استفاده قرار گیرد."
"Please enter a number 0 or greater in this field.","لطفا در این فیلد عددی بزرگ‌تر از 0 وارد نمایید."
"Please enter a number 1 or greater in this field.","لطفا در این فیلد عدد 1 یا مقداری بزرگتر وارد نمایید."
"Please enter a number greater than 0 in this field.","لطفا در این فیلد عددی بزرگ‌تر از 0 وارد نمایید."
"Please enter a valid $ amount. For example $100.00.","لطفا مبلغ معتبر را وارد کنید به عنوان مثال 100 دلار."
"Please enter a valid credit card number.","لطفا یک شماره‌ی کارت اعتباری معتبر وارد نمایید."
"Please enter a valid credit card verification number.","لطفا یک شماره تایید معتبر کارت اعتباری وارد کنید."
"Please enter a valid date.","لطفا یک تاریخ معتبر وارد کنید."
"Please enter a valid month (1-12).","لطفا یک ماه معتبر (1-12) را وارد کنید."
"Please enter a valid number in this field.","لطفا در این فیلد یک شماره‌ی معتبر وارد نمایید."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","لطفا یک شماره تلفن معتبر وارد نمایید. برای مثال 7890-456 (123) یا 7890-456-123."
"Please enter a valid zip code.","لطفا یک کد پستی معتبر وارد نمایید."
"Please enter issue number or start date for switch/solo card type.","لطفا شماره و یا تاریخ شروع برای نوع کارت سوئیچ / انفرادی را وارد كنيد."
"Please make sure your passwords match.","لطفا مطمئن شوید با کلمات عبور شما مطابقت دارد."
"Please select State/Province.","لطفا ایالت/استان را انتخاب نمایید."
"Please select an option.","لطفا یک گزینه را انتخاب کنید."
"Please select one of the options.","لطفا یکی از گزینه‌ها را انتخاب نمایید."
"Please set available and/or protected paths list(s) before validation.","لطفا لیست مسیرهای موجود و یا محافظت شده را قبل از تأیید اعتبار تعیین کنید."
"Please use letters only (a-z or A-Z) in this field.","لطفا در این فیلد تنها از حروف (a-z یا A-Z) استفاده نمایید."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","لطفا از این فرمت تاریخ استفاده کنید: dd / mm / yyyy. به عنوان مثال 17/03/2006 به 17 مارس 2006."
"Port (25)","پورت (25)"
"Recovery Link Expiration Period (hours)","دوره انقضای لینک بازیابی (براساس ساعت)"
"Request Path for Specified Store","مسیر درخواست برای فروشگاه مشخص شده"
"Return-Path Email","ایمیل مسیر بازگشت"
"Root Category","دسته ریشه"
"Sales Representative","نماینده‌ فروش"
"Save","ذخيره"
"Save Store","ذخیره‌ فروشگاه"
"Save Store View","ذخیره‌ نمای فروشگاه"
"Security","امنیت"
"Select Date","انتخاب تاریخ"
"Select Media Database","انتخاب پایگاه داده رسانه"
"Sender Email","ایمیل فرستنده"
"Sender Name","نام فرستنده"
"Services","سرویس‌ ها"
"Session Validation Settings","تنظیمات اعتبارسنجی نشست"
"Set Return-Path","تنظیم مسیر بازگشت"
"Set as Default","تنظیم به عنوان پیش فرض"
"Sort Order","ترتيب سفارش"
"Startup Page","صفحه‌ی شروع"
"Status","وضعيت"
"Storage Configuration for Media","تنظیمات ذخیره سازی برای رسانه ها"
"Store","فروشگاه"
"Store Email Addresses","آدرس‌های ایمیل فروشگاه"
"Store Hours of Operation","ساعات کاری فروشگاه"
"Store Information","اطلاعات فروشگاه"
"Store Name","نام فروشگاه"
"Store View","نمای فروشگاه"
"Store View Information","اطلاعات نمای فروشگاه"
"Store view doesn't exist","نمای فروشگاه وجود ندارد"
"Store with the same code","فروشگاه با کد یکسان"
"System","سيستم"
"Template Settings","تنظيمات قالب"
"Template Variables","متغیرهای قالب"
"The store does not exist","فروشگاه وجود ندارد"
"The value is not within the specified range.","مقدار در محدوده مشخص نشده است."
"The website does not exist.","وب‌ سایت وجود ندارد."
"Themes","تم‌ها"
"This is a required field.","این فیلد الزامی است."
"This store cannot be deleted.","این فروشگاه نمی‌تواند حذف شود."
"This store view cannot be deleted.","این نمای فروشگاه نمی‌تواند حذف شود."
"This website cannot be deleted.","این وب‌ سایت نمی‌تواند حذف شود."
"This will be included before head closing tag in page HTML.","این پیش از بستن تگ head در صفحه‌ی HTML را شامل خواهد بود."
"Timezone","منطقه زمانی"
"Transactional Emails","ایمیل های تراکنش"
"Translate Inline","ترجمه کردن خط به خط"
"Translations","ترجمه‌ها"
"Url Options","گزینه‌ های Url"
"Use Custom Admin Path","استفاده از مسير دلخواه مدیریت"
"Use Custom Admin URL","استفاده از URL مدیریت سفارشی"
"Use HTTP Only","فقط از HTTP استفاده کن"
"None","هیچ یک"
"Use Secure URLs in Admin","استفاده از URL های امن در مدیریت"
"Use Web Server Rewrites","استفاده از بازنویسی‌ های وب سرور"
"VAT Number","شماره مالیات بر ارزش افزوده"
"Validate HTTP_USER_AGENT","تأیید اعتبار HTTP_USER_AGENT"
"Validate HTTP_VIA","تأیید اعتبار HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","تأیید اعتبار HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","تآیید اعتبار REMOTE_ADDR"
"Validation has failed.","تایید اعتبار ناموفق بود."
"Variable Code must be unique.","کد متغییر باید یکتا باشد."
"Web","وب"
"Website","وب سایت"
"Website with the same code","وب‌سایت با کد یکسان"
"Weekend Days","روزهای پایان هفته"
"Welcome Text","متن خوش‌آمدگویی"
"Wrong file info format","فرمت اشتباه اطلاعات فايل"
"Yes","بله"
