"(Excl. Tax)","(بدون مالیات)"
"Disabled","غير فعال"
"Display Cart Summary","نمایش خلاصه‌ سبد"
"Display item quantities","نمایش مقادیر آیتم"
"Display number of items in cart","نمایش تعداد محصولات در سبد"
"Edit","ويرايش"
"Edit Address","ویرایش آدرس"
"Edit Billing Address","ویرایش آدرس صورتحساب"
"Edit Condition","ویرایش شرط"
"Edit Items","ویرایش موارد"
"Edit Shipping Address","ویرایش آدرس ارسال"
"Edit Terms and Conditions","ویرایش شرایط و ضوابط"
"Edit Your Cart","ویرایش سبد خرید"
"Edit item","ويرايش آيتم"
"Edit item parameters","ویرایش پارامترهای محصول"
"Email Address","آدرس ايمميل"
"Enable Onepage Checkout","فعالسازی پرداخت تک صفحه ای"
"Enable Terms and Conditions","فعالسازی شرایط و ضوابط"
"Enabled","فعال"
"Enter a New Address","ثبت یک آدرس جدید"
"Estimate Shipping and Tax","برآورد ارسال و مالیات"
"Excl. Tax","بدون مالیات"
"Fax","فكس"
"Forgot an Item?","موردی را فراموش کرده اید؟"
"Forgot your password?","کلمه عبور خود را فراموش کرده اید؟"
"Gift Message","پيغام هديه"
"Grand Total:","جمع کل:"
"Grouped Product Image","تصویر محصول گروه بندی شده"
"ID","شناسه"
"Incl. Tax","با مالیات"
"Items","موارد"
"Load customer quote error","خطای بارگذاری برآورد هزینه‌ مشتری"
"Login","ورود"
"Terms and Conditions","شرایط و ضوابط"
"Move","انتقال"
"Move to Wishlist","انتقال به لیست دلخواه"
"My Cart","سبد خرید من"
"My Cart Link","لینک سبد خرید من"
"New Address","آدرس جدید"
"New Condition","شرط جدید"
"New Terms and Conditions","شرايط و ضوابط جديد"
"No Payment Methods","بدون روش پرداخت"
"Order #","سفارش #"
"Order Review","بازبینی سفارش"
"Order Success","موفقیت سفارش"
"Password","کلمه عبور"
"Payment Failed Email Sender","فرستنده‌ ایمیل پرداخت ناموفق"
"Payment Failed Emails","ایمیل‌ های پرداخت ناموفق"
"Payment Failed Template","قالب پرداخت ناموفق"
"Payment Information","اطلاعات پرداخت"
"Payment Method","روش پرداخت"
"Place Order","ایجاد سفارش"
"Please agree to all Terms and Conditions before placing the order.","لطفا پیش از ثبت سفارش با همه‌ شرایط و ضوابط موافقت نمایید."
"Please agree to all the terms and conditions before placing the order.","لطفا پیش از ثبت سفارش با شرایط و ضوابط موافقت نمایید."
"Please select region, state or province","لطفا منطقه، ایالت یا استان را انتخاب کنید"
"Price","قيمت"
"Proceed to Checkout","اقدام به پرداخت"
"Product","محصول"
"Product Name","نام محصول"
"Products","محصولات"
"Qty","تعداد"
"Qty:","تعداد:"
"Quantity","تعداد"
"Quote Lifetime (days)","طول عمر برآورد هزینه (برحسب روز)"
"Remove Item","برداشتن آیتم"
"Remove This Item","برداشتن این آیتم"
"Remove item","برداشتن آیتم"
"Review Order","بازبینی سفارش"
"SKU","کد محصول"
"Sales","حراجی ها"
"Save Condition","ذخیره‌ شرط"
"Save in address book","ذخیره در دفترچه آدرس"
"See price before order confirmation.","قبل از تأیید سفارش، قیمت را مشاهده کنید."
"Select Address","انتخاب آدرس"
"Select Addresses","انتخاب آدرس‌ ها"
"Select Shipping Method","انتخاب روش ارسال"
"Select a shipping address from your address book or enter a new address.","یک آدرس ارسال از دفترچه آدرستان انتخاب نمایید یا یک آدرس جدید وارد کنید."
"Send Payment Failed Email Copy Method","روش فرستادن کپی ایمیل پرداخت ناموفق"
"Send Payment Failed Email Copy To","کپی ایمیل پرداخت ناموفق را بفرست به"
"Send To","ارسال به"
"Separate by "","".","جدا کن با "",""."
"Ship to Multiple Addresses","ارسال به چندین آدرس"
"Shipping Address","آدرس ارسال"
"Shipping Information","اطلاعات ارسال"
"Shipping Method","روش ارسال"
"Shipping Methods","روش‌های ارسال"
"Shipping To","ارسال به"
"Shopping Cart","سبد خرید"
"Show Content as","نمایش محتوا به عنوان"
"State/Province","استان / شهرستان"
"Status","وضعيت"
"Store View","نمای فروشگاه"
"Street Address","خیابان"
"Submitting order information...","ارایه‌ی اطلاعات سفارش..."
"Subtotal","جمع جز"
"Terms and Conditions Information","اطلاعات شرایط و ضوابط"
"Text","متن"
"Thank you for your purchase!","از خرید شما سپاسگزاریم!"
"The product does not exist.","محصول وجود ندارد."
"This condition no longer exists.","این شرط دیگر وجود ندارد."
"Total","مجموع"
"Total for this address","مجموع برای این آدرس"
"Unit Price","قیمت واحد"
"Update","به روز رسانی"
"Update Cart","به روز رسانی سبد خرید"
"Update Qty &amp; Addresses","به روز رسانی تعداد و آدرس‌ ها"
"Update Shopping Cart","به روز رسانی سبد خرید"
"VAT Number","شماره مالیات بر ارزش افزوده"
"View Shopping Cart","مشاهده سبد خرید"
"What's this?","این چیست؟"
"You have no items in your shopping cart.","شما هیچ محصولی در سبد خریدتان ندارید."
"Zip/Postal Code","کد پستی"
"or","یا"
