"* Required Fields","* Campos obrigatorios"
"New Customer Address","Novo enderezo de cliente"
"New Customer Group","Grupo de cliente novo"
"New Customer Groups","Grupos de cliente novos"
"New Customers","Novos clientes"
"New Group","Novo grupo"
"New Password","Novo contrasinal"
"New account","Nova conta"
"New account confirmation key","Chave de confirmación da nova conta"
"New account confirmed","Nova conta confirmada"
"Newsletter","Boletín informativo"
"Newsletter Finish","Fin do boletín informativo"
"Newsletter Information","Información do boletín informativo"
"Newsletter Received","Boletín informativo recibido"
"Newsletter Start","Comezo do boletín informativo"
"Newsletter Subscription","Subscrición ao boletín informativo"
"Newsletters","Boletín informativo"
"No Items Found","Non se encontraron os elementos"
"No Newsletter Found","Non se encontrou o boletín informativo"
"No item specified.","Non se especificou o elemento."
"Not Sent","Non enviado"
"Not confirmed, can login","Non confirmado, pode iniciar sesión"
"Not confirmed, cannot login","Non confirmado, non pode iniciar sesión"
"Offline","Sen conexión"
"Online","Con conexión"
"Online Customers","Clientes en liña"
"Online Customers Options","Opcións de clientes en liña"
"Online Minutes Interval","Intervalo de minutos en liña"
"Order #","Pedido #"
"Order Total","Total do pedido"
"Orders","Pedidos"
"Password","Contrasinal"
"Password Management","Xestión de contrasinal"
"Password Options","Opcións de contrasinal"
"Password forgotten","Contrasinal esquecido"
"Password:","Contrasinal:"
"Paused","Detido"
"Pending","Pendente"
"Per Website","Por páxina web"
"Personal Information","Información persoal"
"Please enter your email below and we'll send you confirmation link for it.","Por favor, introduza o seu correo abaixo e enviarémoslle unha ligazón de confirmación."
"Please enter your email.","Por favor, introduza o seu correo."
"Please make sure your passwords match.","Asegúrese de que os seus contrasinais coinciden."
"Please select region, state or province","Escolla unha provincia, rexión ou estado"
"Price","Prezo"
"Product","Produto"
"Product ID","ID do produto"
"Product Name","Nome do produto"
"Product Reviews","Valoracións do produto"
"Product Tags","Etiquetas do produto"
"Purchase On","Comprar en"
"Purchased On","Comprado en"
"Qty","Ctde"
"Recent Orders","Pedidos recentes"
"Refunded","Reembolsado"
"Register","Rexistrarse"
"Registered Customers","Clientes rexistrados"
"Remove","Eliminar"
"Require Emails Confirmation","Requirir confirmación de correos"
"Retrieve address data","Obter datos do enderezo"
"Retrieve address info","Obter información do enderezo"
"Retrieve customer addresses","Obter enderezos do cliente"
"Retrieve customer data","Obter datos do cliente"
"Retrieve customers","Obter clientes"
"Retrieve your confirmation link here","Obter a súa ligazón de confirmación aquí"
"Retrieve your password here","Recuperar aquí o seu contrasinal"
"Sales Statistics","Estatísticas de vendas"
"Save","Gardar"
"Save Address","Gardar enderezo"
"Save Customer","Gardar cliente"
"Save Customer Group","Gardar grupo de cliente"
"Save Password","Gardar o contrasinal"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por punto e coma (;).<br/>Poña punto e coma no inicio para deixar baleira a primeira opción.<br/>Deixe baleiros para abrir campo de texto."
"Send Welcome Email after Confirmation","Enviar correo de benvida despois de confirmación"
"Send confirmation link","Enviar ligazón de confirmación"
"Sending","Enviando"
"Sent","Enviado"
"Session Start Time","Hora de inicio da sesión"
"Set as Default Billing Address","Configurar como enderezo de facturación predeterminado"
"Set as Default Shipping Address","Configurar como enderezo de envío predeterminado"
"Share Customer Accounts","Compartir contas de usuario"
"Shipped to First Name","Enviado a nome"
"Shipped to Last Name","Enviado ao apelido"
"Shipped to Name","Enviado a nome"
"Shopping Cart","Carriño da compra"
"Shopping Cart - %d item(s)","O carriño da compra - %d elemento(s)"
"Sign Up for Newsletter","Subscribirse ao boletín informativo"
"State/Province","Provincia/Estado"
"Status","Estado"
"Store","Tenda"
"Store View","Visualización da tenda"
"Street Address","Rúa"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe to Newsletter","Subscribirse ao boletín informativo"
"Subscribed to Newsletter?","Está subscrito ao boletín informativo?"
"Tag Name","Nome de etiqueta"
"Tax/VAT number","Número da taxa de IVE"
"Telephone","Teléfono"
"Text","Texto"
"Text One Line","Texto nunha liña"
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo que vai despois do nome (Sr., Sra. etc.)"
"The title that goes before name (Mr., Mrs., etc.)","O título que vai despois do nome (Dr., Dra., etc.)"
"There are no items in customer's wishlist at the moment","Non hai elementos na lista de desexos do cliente actualmente"
"There are no items in customer's shopping cart at the moment","Non hai elementos no carriño de compra do cliente actualmente"
"This account is not confirmed.","Esta conta non está confirmada."
"This customer has no saved addresses.","Este cliente non ten enderezos gardados."
"To Cart","Para o carriño"
"Type","Tipo"
"Unknown","Descoñecido"
"Update","Actualizar"
"Update customer address data","Actualizar os datos do enderezo do cliente"
"Update customer data","Actualizar os datos do usuario"
"Use as my default billing address","Utilizar como o meu enderezo predeterminado de facturación"
"Use as my default shipping address","Utilizar como o meu enderezo de envío predeterminado"
"View","Ver"
"View Order","Ver pedido"
"Visitor","Visitante"
"Visitors Only","Só visitantes"
"Website","Sitio web"
"Welcome Email","Correo de benvida"
"Wishlist","Lista de desexos"
"Wishlist - %d item(s)","Lista de desexos - %d elemento(s)"
"Wrong confirmation key.","Chave de confirmación errónea."
"Wrong customer account specified.","Conta de cliente especificada errónea."
"Wrong email.","Correo electrónico incorrecto."
"Year","Ano"
"You are currently not subscribed to any newsletter.","Na actualidade vostede non está subscrito a ningún boletín informativo."
"You are currently subscribed to 'General Subscription'.","Vostede está subscrito a 'Subscrición xeral'."
"You are currently subscribed to our newsletter.","Vostede está subscrito ao noso boletín informativo."
"You have no additional address entries in your address book.","Non ten entradas de enderezos adicionais na súa axenda de enderezos."
"You have no additional entries in your address book.","Non ten entradas adicionais na súa axenda de enderezos."
"You have no default billing address in your address book.","Non ten enderezos de facturación predeterminados na súa axenda de enderezos."
"You have no default shipping address in your address book.","Non ten enderezos de envío predeterminados na súa axenda de enderezos."
"You have not set a default billing address.","Non estableceu un enderezo predeterminado de facturación."
"You have not set a default shipping address.","Non estableceu un enderezo predeterminado de envío."
"You have placed no orders yet.","Non fixo aínda ningún pedido."
"You have placed no products yet.","Non solicitou aínda ningún produto."
"Your account balance is: %s","O seu balance de conta é: %s"
"ZIP","Código Postal"
"ZIP/Post Code","ZIP/Código Postal"
"Zip/Postal Code","Código postal"
"n/a","N/D"
