" and "," e "
"Customer Group:","Grupo do cliente:"
"Customer Groups","Grupos de clientes"
"Customer Name","Nome do cliente"
"Customer Reviews","Valoracións de cliente"
"Customer Since:","Cliente desde:"
"Customer Tax Classes","Clases de imposto do cliente"
"Customer with the same email already exists.","Xa existe un cliente co mesmo correo electrónico."
"Customers","Clientes"
"DHTML Date/Time Selector","Selector de Data/Tempo DHTML"
"Dashboard","Panel"
"Data Format","Formato de datos"
"Data transfer:","Transferencia de datos:"
"Database","Base de datos"
"Date","Data"
"Date & Time","Data e tempo"
"Date Added","Data en que se engadiu"
"Date Updated","Data en que se actualizou"
"Date selection:","Selección de data:"
"Date selector","Selector de data"
"Day","Día"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores (Admin) predeterminados"
"Default Billing Address","Enderezo de facturación predeterminado"
"Default Config","Configuración predeterminada"
"Default Template from Locale","Modelo predeterminado da configuración rexional"
"Default Values","Valores predeterminados"
"Default scope","Ámbito predeterminado"
"Delete","Eliminar"
"Delete %s","Eliminar %s"
"Delete %s '%s'","Eliminar %s '%s'"
"Delete Block","Borrar bloque"
"Delete Profile","Eliminar perfil"
"Delete Role","Eliminar rol"
"Delete Store","Borrar tenda"
"Delete Store View","Eliminar visualización da tenda"
"Delete Template","Eliminar modelo"
"Delete User","Eliminar usuario"
"Delete Website","Eliminar sitio web"
"Description","Descrición"
"Design","Deseño"
"Design Section","Sección de deseño"
"Details","Detalles"
"Developer Section","Sección de desenvolvedor"
"Direction:","Dirección:"
"Disable","Desactivar"
"Disabled","Desactivado"
"Display %s first","Mostrar primeiro %s"
"Display default currency","Mostrar moeda predeterminada"
"Distributed under GNU LGPL. See %s for details.","Distribuído baixo a licenza GNU LGPL. Vexa os detalles en %s."
"Do you really want to KILL parallel process and start new indexing process?","Quere realmente TERMINAR o proceso paralelo e comezar un novo proceso de indexación?"
"Download","Descargar"
"Downloads","Descargas"
"Drag to move","Arrastrar para mover"
"Drop-down","Arrastrar abaixo"
"Edit","Editar"
"Edit Block","Editar o bloque"
"Edit Block '%s'","Editar o bloque '%s'"
"Edit Design Change","Editar cambio do deseño"
"Edit Email Template","Editar modelo de correo"
"Edit Poll","Editar enquisa"
"Edit Queue","Editar fila"
"Edit Role","Editar rol"
"Edit Store View","Editar visualización da tenda"
"Edit System Template","Editar modelo de sistema"
"Edit Template","Editar modelo"
"Edit User","Editar usuario"
"Edit User '%s'","Editar usuario '%s'"
"Edit Website","Editar sitio web"
"Email","Correo electrónico"
"Email Address:","Enderezo de correo electrónico:"
"Email to a Friend","Correo para un amigo"
"Email:","Correo electrónico:"
"Enable","Activar"
"Enabled","Activado"
"Enclose Values In:","Incluír valores en:"
"Entity Type","Tipo de entidade"
"Entity type:","Tipo de entidade:"
"Excl. Tax","Excl. Imposto"
"Excl. Tax:","Excl. Imposto:"
"Expiration Date","Data de caducidade"
"Expiration Date: %s/%s","Data de caducidade: %s/%s"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export Filters","Exportar filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"FTP Host[:Port]","Servidor FTP[:Porto]"
"Failed","Fallou"
"Field","Campo"
"Field Mapping","Mapeamento de campo"
"File","Ficheiro"
"File Information","Información de ficheiro"
"File name:","Nome do ficheiro:"
"File size should be more than 0 bytes","O tamaño do ficheiro debe ser superior a 0 bytes"
"Finished profile execution.","Execución de perfil finalizada."
"First Name","Nome"
"First Name:","Nome:"
"Fixed","Fixo"
"For category","Para a categoría"
"For latest version visit: %s","Para a última versión visitada: %s"
"For product","Para o produto"
"Forgot your password?","Esqueceu o seu contrasinal?"
"Forgot your user name or password?","Esqueceu o seu nome de usuario ou contrasinal?"
"From","De"
"General Information","Información xeral"
"General Section","Sección Xeral"
"Get Image Base64","Obter imaxe Base64"
"Get help for this page","Obter axuda para esta páxina"
"Global Attribute","Atributo global"
"Global Record Search","Busca do rexistro global"
"Global Search","Busca global"
"Go Today","Ir para Hoxe"
"Grand Total","Total xeral"
"Grid (default) / List","Grade (predeterminada) / Lista"
"Group:","Grupo:"
"Guest","Convidado"
"HTTP (unsecure)","HTTP (inseguro)"
"Help Us Keep Magento Healthy - Report All Bugs","Axúdenos a manter a calidade do Magento - Envíe todos os erros"
"Home","Inicio"
"ID Path","Ruta do ID"
"IP Address","Enderezo IP"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se non especifica un valor da opción para unha visualización de tenda específica usarase o valor por defecto (Admin)."
"Images (.gif, .jpg, .png)","Imaxes (.gif, .jpg, .png)"
"Images Cache","Caché de imaxes"
"Import","Importar"
"Import Service","Importar servizo"
"Import/Export","Importar/Exportar"
"Import/Export Advanced","Importar/Exportar avanzado"
"Import/Export Profile","Importar/Exportar Perfil"
"Imported <strong>%s</strong> records","Rexistros <strong>%s</strong> importados"
"In","En"
"In Database:","En base de datos:"
"In File:","En ficheiro:"
"Inactive","Inactivo"
"Incl. Tax","Incl. Imposto"
"Incl. Tax:","Incl. Imposto:"
"Incoming Message","Mensaxe de entrada"
"Interactive","Interactivo"
"Interface Locale: %s","Configuración rexional da interface: %s"
"Invalid Form Key. Please refresh the page.","Chave de formulario incorrecta. Por favor, actualice a páxina."
"Invalid Import Service Specified","Servizo de importación especificado non válido"
"Invalid Secret Key. Please refresh the page.","Chave secreta incorrecta. Por favor, actualice a páxina."
"Invalid data","Dados inválidos"
"Invalid directory: %s","Directorio non válido: %s"
"Invalid file: %s","Ficheiro non válido: %s"
"Invalid input data for %s => %s rate","Datos de entrada non válidos para %s => taxa %s"
"Inventory Stock Status","Estado de stock de existencias"
"Invoice #%s comment added","Engadiuse comentario da factura #%s"
"Invoice #%s created","Factura #%s creada"
"Invoice History","Historial de factura"
"Invoice Totals","Totais de factura"
"Invoices","Facturas"
"Is Default","É predeterminado"
"Issue Number","Número de emisión"
"Items","Elementos"
"Last 5 Orders","Os últimos 5 pedidos"
"Last 5 Search Terms","Os últimos 5 termos de busca"
"Last Logged In (%s):","Último inicio de sesión (%s):"
"Last Logged In:","Último inicio de sesión en:"
"Last Name","Apelido"
"Last Name:","Apelido:"
"Latest Message:","Última mensaxe:"
"Layered Navigation Indices","Índices de navegación por capas"
"Leave empty to use tax identifier","Deixar baleiro para usar o identificador de impostos"
"Lifetime Sales","Vendas no tempo de vida"
"Links","Ligazóns"
"List (default) / Grid","Lista (predeterminada) / Grade"
"Load Template","Cargar modelo"
"Load default template","Cargar modelo predeterminado"
"Loading...","Cargando..."
"Local Server","Servidor local"
"Local/Remote Server","Servidor Local/Remoto"
"Locale","Localización"
"Log In","Iniciar a sesión"
"Log Out","Saír da sesión"
"Log in to Admin Panel","Entrar no panel de administración"
"Log into Magento Admin Page","Entrar na páxina de administración"
"Logged in as %s","Iniciada sesión como %s"
"Login","Iniciar sesión"
"MAJOR","IMPORTANTE"
"MINOR","SECUNDARIO"
"Magento Admin","Administración do Magento"
"Magento Commerce - Administrative Panel","Magento Commerce - Panel administrativo"
"Magento Logo","Logotipo do Magento"
"Manage Attribute Sets","Xestionar conxunto de atributos"
"Manage Attributes","Xestionar atributos"
"Manage Categories","Xestionar categorías"
"Manage Currency Rates","Xestionar taxas de moeda"
"Manage Customers","Xestionar clientes"
"Manage Options (values of your attribute)","Xestionar opcións (valores do seu atributo)"
"Manage Ratings","Xestionar clasificacións"
"Manage Stores","Xestionar tendas"
"Manage Tax Rules","Xestionar regras de imposto"
"Manage Titles (Size, Color, etc.)","Xestionar títulos (Tamaño, Cor etc.)"
"Media (.avi, .flv, .swf)","Multimedia (.avi, .flv, .swf)"
"Messages Inbox","Caixa de mensaxes"
"Month","Mes"
"Most Viewed","Máis visitados"
"Most Viewed Products","Os produtos máis vistos"
"Multiple Select","Selección múltiple"
"My Account","A miña conta"
"N/A","N/D"
"NOTICE","AVISO"
"Name","Nome"
"Name on Card","Nome na tarxeta"
"Name on the Card: %s","Nome na tarxeta: %s"
"Name:","Nome:"
"New Accounts","Novas contas"
"New Block","Novo bloque"
"New Category","Nova categoría"
"New Class","Nova clase"
"New Condition","Nova condición"
"New Customer","Novo cliente"
"New Customers","Novos clientes"
"New Design Change","Novo cambio de deseño"
"New Email Template","Novo modelo de correo"
"New Group","Novo grupo"
"New Invoice","Nova factura"
"New Item Type","Novo tipo de elemento"
"New Page","Nova páxina"
"New Password","Novo contrasinal"
"New Poll","Nova enquisa"
"New Profile","Novo perfil"
"New Rating","Nova clasificación"
"New Review","Nova valoración"
"New Rule","Nova regra"
"New Search","Nova busca"
"New Shipment","Novo envío"
"New Sitemap","Novo mapa do sitio"
"New Store View","Nova visualización da tenda"
"New System Template","Novo modelo do sistema"
"New Tag","Nova etiqueta"
"New Template","Novo modelo"
"New User","Novo usuario"
"New Website","Novo sitio web"
"Newsletter","Boletín informativo"
"Newsletter Queue","Lista do boletín informativo"
"Newsletter Subscribers","Subscritores do boletín informativo"
"Newsletter Templates","Modelos de boletín informativo"
"Next month (hold for menu)","Próximo mes (despregar menú)"
"Next year (hold for menu)","Próximo ano (despregar menú)"
"No","Non"
"No (price without tax)","Non (prezo sen imposto)"
"No Data Found","Non se atoparon datos"
"No Templates Found","Non se atoparon modelos"
"No change","Sen cambios"
"No profile loaded...","Sen perfil cargado..."
"No records found for this period.","Non se encontraron rexistros para este período."
"No records found.","Non se encontraron rexistros."
"No search keywords.","Sen palabras chave para buscar."
"None","Ningún"
"Note:","Nota:"
"Notes","Notas"
"Notifications","Notificacións"
"Number of Orders","Número de pedidos"
"Number of Uses","Número de usos"
"Number of Views","Número de visualizacións"
"Number of records:","Número de rexistros:"
"Old rate:","Taxa antiga:"
"Online Customers","Clientes en liña"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Só con atributos de ámbito ""Global"", tipo de entrada ""Despregable"" e Usar para crear produtos configurables ""Si"" están dispoñible."
"Only mapped fields","Só campos mapeados"
"Optional","Opcional"
"Options","Opcións"
"Options is required","Precísanse opcións"
"Order","Pedido"
"Order #%s","Pedido #%s"
"Order #%s (%s)","Pedido #%s (%s)"
"Order Totals","Totais do pedido"
"Orders","Pedidos"
"Original Magento attribute names in first row:","Nomes orixinais de atributo do Magento na primeira fila:"
"Out of stock","Esgotado"
"Parent Product Thumbnail","Miniatura do produto pai"
"Passive mode","Modo pasivo"
"Password","Contrasinal"
"Password Confirmation","Confirmación de contrasinal"
"Password:","Contrasinal:"
"Path:","Ruta:"
"Pending Reviews","Valoracións pendentes"
"Pending Tags","Etiquetas pendentes"
"Per Item","Por elemento"
"Per Order","Por pedido"
"Percent","Porcentaxe"
"Performed At","Realizado en"
"Period","Período"
"Permanent (301)","Permanente (301)"
"Permissions","Permisos"
"Personal Information","Información persoal"
"Phone:","Teléfono:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme as alteracións de sitio. Todos os datos que non se gardaran perderánse."
"Please enter 6 or more characters.","Por favor, introduza 6 ou máis caracteres."
"Please enter a number greater than 0 in this field.","Introduza un número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Introduza unha cantidade válida. Por exemplo 100.00€."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Introduza un URL válido. Por exemplo, http://www.exemplo.com ou www.exemplo.com"
"Please enter a valid URL. http:// is required","Introduza un URL válido. Requírese http://"
"Please enter a valid credit card number.","Introduza un número válido de tarxeta de crédito."
"Please enter a valid date.","Introduza unha data válida."
"Please enter a valid email address. For example johndoe@domain.com.","Introduza un enderezo válido de correo electrónico. Por exemplo, nome@dominio.com."
"Please enter a valid number in this field.","Introduza un número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Introduza un número de teléfono válido. Por exemplo, 999 999 999 ou 999-999-999."
"Please enter a valid social security number. For example 123-45-6789.","Introduza un número da seguridade social válido. Por exemplo, 12-3456789123."
"Please enter a valid value from list","Introduza un valor válido da lista"
"Please enter a valid value, ex: 10,20,30","Por favor, introduza un valor válido, ex: 10,20,30"
"Please enter a valid zip code.","Por favor, introduza un código postal válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Introduza un código postal válido. Por exemplo, 12345."
"Please enter valid password.","Introduza un contrasinal válido."
"Please make sure that all global admin search modules are installed and activated.","Por favor, asegúrese de que os módulos de busca de administración global están instalados e activados."
"Please make sure that your changes were saved before running the profile.","Por favor, asegúrese de que se gardaron todos os cambios antes de executar o perfil."
"Please make sure your passwords match.","Asegúrese de que os seus contrasinais coinciden."
"Please select State/Province.","Escolla a provincia/estado."
"Please select an option.","Seleccione unha opción."
"Please select one of the above options.","Escolla unha das opcións de arriba."
"Please select one of the options.","Seleccione unha das opcións."
"Please use in this field only ""a-z,0-9,_"".","Utilice neste campo só ""a-z,0-9,_"".1"
"Please use letters only (a-z) in this field.","Utilice só letras (a-z) neste campo."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Utilice só letras (a-z) ou números (0-9) neste campo. Os espazos ou outros caracteres non están permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Utilice só letras (a-z) ou números (0-9) ou espazos e # neste campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Use este formato de data: dd/mm/yyyy. Por exemplo, 17/05/1968 para o 17 de maio do ano 1968."
"Please wait, loading...","Por favor, espere, cargando..."
"Please wait...","Por favor, espere..."
"Poll Manager","Xestor da enquisa"
"Polls","Enquisas"
"Position","Posición"
"Position of Watermark for %s","Posición da marca de auga para %s"
"Prev. month (hold for menu)","Mes anterior (despregar menú)"
"Prev. year (hold for menu)","Ano anterior (despregar menú)"
"Preview","Previsualización"
"Preview Template","Previsualización de modelo"
"Price","Prezo"
"Price:","Prezo:"
"Processed <strong>%s%% %s/%d</strong> records","Rexistros procesados <strong>%s%% %s/%d</strong>"
"Processing","Procesando"
"Product","Produto"
"Product Name","Nome do produto"
"Product Reviews","Valoracións do produto"
"Product Tax Classes","Clases de imposto do produto"
"Product Thumbnail Itself","Miniatura do produto"
"Product:","Produto:"
"Products","Produtos"
"Profile Action","Acción do perfil"
"Profile Actions XML","Accións do perfil XML"
"Profile Direction","Dirección do perfil"
"Profile History","Historial do perfil"
"Profile Information","Información do perfil"
"Profile Name","Nome do perfil"
"Profile Wizard","Asistente do perfil"
"Profiles","Perfís"
"Promo","Promoción"
"Promotions","Promocións"
"Quantity","Cantidade"
"Queue Refresh","Actualizar a fila"
"Queued... Cancel","Fila... Cancelar"
"Radio Buttons","Botóns de opción"
"Rates","Taxas"
"Read details","Ler detalles"
"Rebuild","Reconstruír"
"Rebuild Flat Catalog Category","Reconstruír categoría de catálogo simple"
"Rebuild Flat Catalog Product","Reconstruír o produto do catálogo simple"
"Recent Orders","Pedidos recentes"
"Recursive Dir","Directorio recursivo"
"Redirect","Redireccionar"
"Refresh","Actualizar"
"Refresh Now*","Actualizar agora*"
"Region/State","Rexión/Estado"
"Regular Price:","Prezo fixo:"
"Release","Lanzamento"
"Release Stability","Estabilidade do lanzamento"
"Release Version","Versión do lanzamento"
"Remote FTP","FTP remoto"
"Remove","Eliminar"
"Reports","Informes"
"Request Path","Solicitar ruta"
"Required","Requirido"
"Reset","Restablecer"
"Reset Filter","Restablecer filtro"
"Resize","Redimensionar"
"Resource Access","Acceso a recurso"
"Resources","Recursos"
"Results","Resultados"
"Retrieve Password","Recuperar contrasinal"
"Return Html Version","Volver á versión HTML"
"Revenue","Ingresos"
"Reviews","Valoracións"
"Reviews and Ratings","Valoracións e clasificacións"
"Role ID","ID do rol"
"Role Info","Información do rol"
"Role Information","Información do rol"
"Role Name","Nome do rol"
"Role Resources","Recursos do rol"
"Role Users","Usuarios do rol"
"Roles","Níveis"
"Roles Resources","Recursos dos roles"
"Root Category","Categoría raíz"
"Rotate CCW","Rotar en sentido non horario"
"Rotate CW","Rotar sentido horario"
"Run","Executar"
"Run Profile","Executar perfil"
"Run Profile Inside This Window","Executar perfil dentro desta ventá"
"Running... Kill","Executando... Terminar"
"SSL Error: Invalid or self-signed certificate","Erro SSL: certificado autoasinado ou incorrecto"
"Sales","Vendas"
"Sales Report","Informe de vendas"
"Samples","Mostras"
"Save","Gardar"
"Save & Generate","Gardar e xerar"
"Save Account","Gardar conta"
"Save Block","Gardar bloque"
"Save Config","Gardar configuración"
"Save Currency Rates","Gardar taxas de moeda"
"Save Profile","Gardar perfil"
"Save Role","Gardar rol"
"Save Template","Gardar modelo"
"Save User","Gardar usuario"
"Search","Busca"
"Search Index","Índice de busca"
"Search Term","Termo de busca"
"Search Terms","Termos de busca"
"Search entire store here...","Buscar en toda a tenda aquí..."
"Select","Seleccionar"
"Select All","Seleccionar todo"
"Select Category","Seleccionar categoría"
"Select Date","Seleccionar data"
"Select Range","Seleccionar marxe"
"Select date","Seleccionar data"
"Sender","Remitente"
"Shipment #%s comment added","Comentario de envío #%s engadido"
"Shipment #%s created","Envío #%s creado"
"Shipment Comments","Comentarios de envío"
"Shipment History","Historial de envío"
"Shipments","Envios"
"Shipping","Envío"
"Shipping Address","Enderezo de envío"
"Shipping Price","Prezo de envío"
"Shipping address selection is not applicable","A selección de enderezo de envío non é aplicable"
"Shipping method selection is not applicable","A selección de método de envío non é aplicable"
"Shopping Cart","Carriño da compra"
"Shopping Cart Price Rules","Regras de prezos no carriño de compras"
"Shopping Cart from %s","O carriño da compra de %s"
"Sitemap Information","Información do mapa do sitio"
"Size for %s","Tamaño para %s"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Algúns elementos neste pedido teñen tipos de envío e facturación distintos. Pode crear un só envío despois de crear a factura."
"Sorry, this feature is coming soon...","Desculpas, esta característica estará dispoñible en pouco tempo..."
"Special Price:","Prezo especial:"
"Specific Countries","Países específicos"
"Spreadsheet Name:","Nome da folla de cálculo:"
"Start Date","Data de inicio"
"Starting at:","Comezando por:"
"Starting profile execution, please wait...","Comezando a execución do perfil, por favor, espere..."
"State/Province:","Estado/Provincia:"
"Static Blocks","Bloques estáticos"
"Status","Estado"
"Status:","Estado:"
"Stock Quantity:","Cantidade en stock:"
"Store","Tenda"
"Store Email Addresses Section","Sección de enderezos de correo da tenda"
"Store View","Visualización da tenda"
"Store:","Tenda:"
"Subject","Asunto"
"Submit","Enviar"
"Subtotal","Sub-total"
"Switch/Solo card issue number: %s","Número de emisión da tarxeta Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Data de inicio da tarxeta Switch/Solo: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) só"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Número de emisión de tarxeta Switch/Solo/Maestro(UK Domestic): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Data de inicio da tarxeta Switch/Solo/Maestro(UK Domestic) %s/%s"
"Synchronize","Sincronizar"
"System","Sistema"
"System Section","Sección de sistema"
"Tags","Etiquetas"
"Target Path","Ruta de destino"
"Tax","Impostos"
"Template","Modelo"
"Template Content","Contido do modelo"
"Template Information","Información do modelo"
"Template Name","Nome do modelo"
"Template Subject","Asunto do modelo"
"Template Type","Tipo de modelo"
"Temporary (302)","Temporal (302)"
"Terms and Conditions","Termos e condicións"
"Text","Texto"
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Pódese descomprimir o arquivo con <a href=""%s"">%s</a> nos sistemas Windows"
"This account is","Esta conta está"
"This account is inactive.","Esta conta está inactiva."
"This attribute shares the same value in all the stores","Este atributo comparte o mesmo valor en todas as tendas"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Isto é unha tenda de demostración. Calquera pedido feito nesta tenda non será procesado nin atendido."
"This is a required field.","Este é un campo obrigatorio."
"This section is not allowed.","Esta sección non está permitida."
"Time","Hora"
"Time selection:","Selección de hora:"
"Time:","Hora:"
"To","A"
"Toggle Editor","Alternar editor"
"Tools","Ferramentas"
"Top 5 Search Terms","Os 5 termos de busca máis utilizados"
"Total Invoiced","Total facturado"
"Total Order Amount","Cantidade total do pedido"
"Total Refunded","Total reembolsado"
"Track Order","Rastrexar o pedido"
"Track this shipment","Rastrexar este envío"
"Tracking number %s for %s assigned","Número de seguimento %s para %s asignado"
"Transaction Type","Tipo Transacção"
"Transactional Emails","Correos electrónicos transaccionais"
"Type","Tipo"
"Type:","Tipo:"
"Unable to initialize import model","Non foi posible incializar o modelo de importación"
"Unknown","Descoñecido"
"Unlimited","Ilimitado"
"Update","Actualizar"
"Updated At","Actualizado en"
"Upload File","Cargar ficheiro"
"Upload Files","Cargar ficheiros"
"Upload HTTP Error","Erro ao cargar HTTP "
"Upload I/O Error","Erro ao cargar I/O"
"Upload Security Error","Erro de seguridade ao cargar"
"Upload import file","Cargar ficheiro importado"
"Use Config Settings","Usar parámetros de configuración"
"Use Default","Usar predeterminado"
"Use Default Value","Usar valores predeterminados"
"User Email","Correo electrónico de usuario"
"User ID","ID de usuario"
"User Info","Información de usuario"
"User Information","Información de usuario"
"User Name","Nome de usuario"
"User Name:","Nome de usuario:"
"User Password","Contrasinal de usuario"
"User Role","Rol de usuario"
"User Roles","Roles de usuario"
"User Roles Information","Información dos roles de usuario"
"User name","Nome do usuario"
"Users","Usuarios"
"Value","Valor"
"Value Delimiter:","Delimitador de valor:"
"Variable","Variável"
"View Actions XML","Ver accións XML"
"Visibility:","Visibilidade:"
"Warning! Empty value can cause problems with CSV format.","Aviso! O valor baleiro pode crear problemas co formato CSV."
"Watermark File for %s","Ficheiro de marca de auga para %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Estamos traballando, programando máis recursos para o Magento. Grazas pola súa paciencia."
"Web Section","Sección web"
"Web Services","Servizos web"
"Web services","Servizos web"
"Website","Sitio web"
"What is this?","Que é isto?"
"Wishlist Report","Informe da lista de desexos"
"YTD","Ata hoxe"
"Year","Ano"
"Yes","Si"
"Yes (only price with tax)","Si (só prezos con imposto)"
"Your answers contain duplicates.","As súas respostas conteñen duplicados."
