"# of Use","# de Uso"
"%s Item(s)","%s elemento(s)"
"(Copy data from: %s)","(Copiar datos desde: %s)"
"Buy %1$s for %2$s (%3$s incl. tax) each","Mercar %1$s por %2$s cada un (%3$s impostos incluídos)"
"Buy %1$s for %2$s each","Mercar %1$s por %2$s cada un"
"Can be used only with catalog input type Dropdown","Só se pode usar co tipo de entrada do catálogo despregable"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Só se pode usar co tipo de entrada do catálogo despregable, selección múltiple e prezo"
"Cancel","Cancelar"
"Cart Item Attribute","Atributo do elemento do carriño"
"Catalog","Catálogo"
"Catalog Price Scope","Ámbito do prezo do catálogo"
"Catalog, Search","Catálogo, Busca"
"Categories","Categorías"
"Categories Sitemap","Mapa do sitio das categorías"
"Category","Categoria"
"Category API","API da categoría"
"Category Data","Datos da Categoría"
"Category Products","Produtos da categoría"
"Category Top Navigation","Categoría superior de navegación"
"Category URL Suffix","Sufixo do URL da categoría"
"Category attributes API","API de atributos da categoría"
"Category move error","Houbo un erro movendo a categoría"
"Change","Cambiar"
"Change or Retrieve attribute store view","Cambiar ou recuperar o atributo da visualización da tenda"
"Change status","Cambiar estado"
"Check items to add to the cart or","Verificar elementos para engadir ao carriño ou"
"Choose an Option...","Escolla unha opción..."
"Clear All","Limpar todo"
"Close Window","Pechar ventá"
"Collapse All","Contraer todo"
"Comparable","Comparável"
"Comparable on Front-end","Comparable no Front-end"
"Compare Products","Comparar produtos"
"Conditions Combination","Combinación de condicións"
"Configurable Product","Produto configurable"
"Configurable Product Settings","Parámetros configurables do produto"
"Continue","Continuar"
"Copy From Configurable","Copiar desde configurable"
"Country/State","País/Estado"
"Create","Crear"
"Create (Upload)","Crear (subir)"
"Create Empty","Crear baleiro"
"Create Product Settings","Crear configuracións de produto"
"Create Simple Associated Product","Crear un produto asociado simple"
"Create new category","Crear unha nova categoría"
"Create new product","Crear un novo produto"
"Cross-sells","Ventás cruzadas"
"Custom Design","Deseño personalizado"
"Custom Options","Opcións personalizadas"
"Customer Group","Grupo de cliente"
"Customers Reviews","Valoracións dos clientes"
"Customers Tagged Product","Produto etiquetado polos clientes"
"Data Type for Saving in Database","Tipo de datos para gardar na base de datos"
"Date & Time Custom Options","Opcións personalizadas de data e hora"
"Date Subscribed","Data de subscrición"
"Datetime","Data"
"Decimal","Décimla"
"Declare attribute value saving scope","Declarar o alcance do atributo de aforro"
"Default Qty","Cantidade predeterminada"
"Default Values","Valores predeterminados"
"Delete","Eliminar"
"Delete Attribute","Eliminar atributo"
"Delete Attribute Set","Borrar conxunto de atributos"
"Delete Category","Borrar categoría"
"Delete Option","Borrar opción"
"Delete Row","Borrar fila"
"Delete Search","Borrar busca"
"Delete Selected Group","Borrar o grupo seleccionado"
"Delete category","Borrar categoría"
"Delete product","Borrar produto"
"Depends on design theme","Depende do deseño do tema"
"Description","Descrición"
"Design","Deseño"
"Details","Detalles"
"Disabled","Desactivado"
"Display in Suggested Terms","Amosar nos termos suxeridos"
"Double click on a group to rename it","Faga dobre clic nun grupo para renomealo"
"Double click on above image to view full picture","Faga dobre clic na imaxe superior para vela completa"
"Downloadable Information","Información descargable"
"Duplicate","Duplicar"
"Duplicate website tier price customer group and quantity.","Sitio web duplicado no grupo e cantidade do prezo ao cliente."
"Duplicate website, country and state tax found.","Sitio web duplicado, atopouse un país e un imposto estatal."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar conxunto de atributos '%s'"
"Edit Product Attribute","Editar atributo do produto"
"Edit Product Attribute ""%s""","Editar atributo do produto ""%s"""
"Edit Search","Editar busca"
"Edit Search '%s'","Editar a busca '%s'"
"Email","Correo electrónico"
"Email to a Friend","Correo para un amigo"
"Empty","Baleiro"
"Enabled","Activado"
"Error during retrieval of option value: %s","Houbo un erro recuperando o valor da opción: %s"
"Exclude","Excluir"
"Expand All","Expandir todo"
"Failed","Fallou"
"Failed to move file: %s","Houbo un fallo movendo o ficheiro: %s"
"Feature Products","Carecterísticas dos produtos"
"File upload failed","Fallou a subida do ficheiro"
"Filterable (no results)","Filtrable (sen resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"First Name","Nome"
"Fixed","Fixo"
"Frontend Model","Modelo de frontend"
"Frontend Properties","Propiedades do frontend"
"Gallery","Galería"
"General Information","Información xeral"
"Get special price","Obter un prezo especial"
"Globally Editable","Editable globalmente"
"Go to Home Page","Ir á páxina de inicio"
"Grid","Grade"
"Grouped Product","Produto agrupado"
"Groups","Grupos"
"Home","Inicio"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se non especifica un valor da opción para unha visualización de tenda específica usarase o valor por defecto (Admin)."
"Image","Imaxe"
"Image type and information need to be specified for each store view.","Precísase especificar un tipo de imaxe e información para cada visualización da tenda."
"In Stock","En stock"
"In stock","En stock"
"Incl. Tax","Incl. Imposto"
"Input Type","Tipo de entrada"
"Integer","Enteiro"
"Invalid Tier Prices","Capa de prezos non válida"
"Invalid image type.","Tipo de imaxe non válido."
"Invalid store specified","Non é válida a tenda especificada"
"Inventory","Inventario"
"Is Default","É predeterminado"
"Is Required","Requírese"
"Items %s to %s of %s total","Elementos %s a %s dun total de %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Os elementos que non quere amosar no catálogo ou nos resultados das buscas deben ter o estado 'Desactivado' na tenda desexada."
"Keep your eyes open for our special Back to School items and save A LOT!","Manteña abertos os ollos aos nosos elementos especiais de Volta á Escola e aforre MOITO!"
"Label","Etiqueta"
"Last Name","Apelido"
"Last Notification","Última notificación"
"Learn More","Aprender máis"
"Line %d, Email: %s","Liña %d, Correo: %s"
"Line %d, SKU: %s","Liña %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Ligazón (Relacionado, Venda dirixida, Venda cruzada)"
"List","Lista"
"List Mode","Modo de lista"
"Manage Stock","Xestionar almacén"
"Max Characters","Caracteres máximos"
"Maximal Depth","Profundidade máxima"
"Maximum Image Size","Tamaño máximo de imaxe"
"Maximum Qty Allowed in Shopping Cart","Cantidade máxima permitida no carriño de compra"
"Maximum image height","Altura máxima da imaxe"
"Maximum image width","Largura máxima da imaxe"
"Media Image","Soportes de imaxe"
"Minimum Qty Allowed in Shopping Cart","Cantidade mínima permitida no carriño de compra"
"Minimum Qty for Item's Status to be Out of Stock","Cantidade mínima para que o estado dos elementos sexa esgotado"
"More Views","Máis visualizacións"
"Move","Mover"
"Move category in tree","Mover a categoría na árbore"
"My Account","A miña conta"
"N/A","N/D"
"Name","Nome"
"New Product","Novo produto"
"New Product Attribute","Novo atributo de produto"
"New Products","Novos produtos"
"New Search","Nova busca"
"New Set Name","Novo nome do conxunto"
"Next","Seguinte"
"No","Non"
"No image","Sen imaxe"
"No layout updates","Non hai actualizacións do deseño"
"No options of this product are available.","Non hai opcións dispoñibles deste produto."
"None","Ningún"
"Notify Low Stock RSS","Avisar da baixa dispoñibilidade en almacén por RSS"
"Notify for Quantity Below","Avisar de cantidades por debaixo de"
"Number of Uses","Número de usos"
"OR","OU"
"Old Price:","Prezo antigo:"
"Option:","Opción:"
"Options","Opcións"
"Options Control","Control de opcións"
"Options is required","Precísanse opcións"
"Our customer service is available 24/7. Call us at (555) 555-0123.","O noso servizo de atención ao cliente está dispoñible 24/7. Chámenos ao (555) 555-0123."
"Out of Stock","Esgotado"
"Out of stock","Esgotado"
"Page Title Separator","Separador do título da páxina"
"Parent Category","Categoría pai"
"Pending","Pendente"
"Pending Reviews RSS","RSS das valoracións pendentes"
"Percentage","Porcentaxe"
"Please add rows to option.","Engada filas á opción."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Teña coidado porque unha vez que prema na fila cargarase o paquete de datos do ficheiro seleccionado e todos os datos non gardados do formulario perderanse."
"Please enter a new group name","Introduza un novo nome de grupo"
"Please select one or more attributes.","Escolla un ou máis atributos."
"Please select products for attributes update","Escolla os produtos para actualizar os atributos"
"Please specify the product required option(s)","Especifique a(s) opción(s) de produto necesarias"
"Please wait...","Por favor, espere..."
"Position","Posición"
"Position of attribute in layered navigation block","Posición do atributo no bloque de navegación por capas"
"Prev","Anterior"
"Previous","Anterior"
"Price","Prezo"
"Price Type","Tipo de prezo"
"Price values for options should be specified in system base currency.","Os valores de prezos nas opcións deben especificarse na moeda base do sistema."
"Price:","Prezo:"
"Print This Page","Imprimir esta páxina"
"Product","Produto"
"Product API","API do produto"
"Product Alerts","Avisos de produto"
"Product Attribute","Atributo do produto"
"Product Attributes","Atributos do produto"
"Product Categories","Categorías do produto"
"Product Description","Descrición do produto"
"Product ID","ID do produto"
"Product Image Placeholders","Marcas de posición da imaxe do produto"
"Product Image Watermarks","Marcas de auga da imaxe do produto"
"Product Images","Imaxes do produto"
"Product Images API","API das imaxes do produto"
"Product In Websites","Produto nos sitios web"
"Product Info Column","Columna de información do produto"
"Product Information","Información do produto"
"Product Name","Nome do produto"
"Product Reviews","Valoracións do produto"
"Product Tags","Etiquetas do produto"
"Product Tier Price API","API do prezo diferenciado do produto"
"Product Type","Tipo de produto"
"Product URL Suffix","Sufixo do URL do produto"
"Product attribute sets API","API de conxuntos de atributo do produto"
"Product attributes API","API dos atributos do produto"
"Product links API (related, cross sells, up sells)","API de ligazóns de produto (relacionados, vendas cruzadas, vendas dirixidas)"
"Product types API","API de tipos de produto"
"Product with this combination of attributes already associated to configurable.","O produto con esta combinación de atributos xa se asociou a configurable."
"Products","Produtos"
"Products Information","Información do produtos"
"Products Reviews","Valoracións dos produtos"
"Products Sitemap","Mapa do sitio para os produtos"
"Products only","Só produtos"
"Properties","Propiedades"
"Qty","Ctde"
"Qty Uses Decimals","As cantidades usan decimais"
"Qty:","Cantidade:"
"Quantity","Cantidade"
"Quick Create","Crear rapidamente"
"Quick Overview","Visión xeral rápida"
"Quick simple product creation","Creación rápida de produto simple"
"Redirect","Redireccionar"
"Redirect URL","Redireccionar URL"
"Regular Price:","Prezo fixo:"
"Related Products","Produtos relacionados"
"Remove","Eliminar"
"Remove Product From Websites","Eliminar produto das webs"
"Remove This Item","Eliminar este elemento"
"Remove product assignment","Eliminar a asignación de produtos"
"Remove product image","Eliminar a imaxe do produto"
"Remove product link","Eliminar a ligazón do produto"
"Reset","Restablecer"
"Results","Resultados"
"Retrieve attribute data","Recuperar os datos do atributo"
"Retrieve attribute list","Recuperar a lista de atributos"
"Retrieve attribute options","Recuperar as opcións do atributo"
"Retrieve categories tree","Recuperar a árbore de categorías"
"Retrieve category attributes","Recuperar os atributos da categoría"
"Retrieve category data","Recuperar os datos da categoría"
"Retrieve hierarchical tree","Recuperar a árbore xerárquica"
"Retrieve linked products","Recuperar os produtos ligados"
"Retrieve list of assigned products","Recuperar a lista de produtos asignados"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categorías por sitio/tenda ou ver/categoría pai"
"Retrieve product","Recuperar produto"
"Retrieve product attribute sets","Recuperar os conxuntos de atributos do produto"
"Retrieve product image","Recuperar a imaxe do produto"
"Retrieve product image list","Recuperar a lista de imaxes do produto"
"Retrieve product image types","Recuperar os tipos de imaxe do produto"
"Retrieve product link type attributes","Recuperar os tipos de atributos de ligazón do produto"
"Retrieve product link types","Recuperar os tipos de ligazón de produto"
"Retrieve product tier prices","Recuperar prezos do nivel do produto"
"Retrieve product types","Recuperar os tipos de produto"
"Retrieve products data","Recuperar os datos do produto"
"Retrieve products list by filters","Recuperar listas de produtos por filtros"
"Reviews","Valoracións"
"Roll Over for preview","Darlle unha volta para previsualizar"
"Root","Raíz"
"Save","Gardar"
"Save Attribute","Gardar atributo"
"Save Attribute Set","Gardar o conxunto de atributos"
"Save Category","Gardar a categoría"
"Save Search","Gardar a busca"
"Scope","Ámbito"
"Scope must not be changed, because the attribute is used in configurable products.","O contorno non debe cambiarse xa que o atributo se utiliza nos produtos configurables."
"Search","Busca"
"Search Engine Optimizations","Optimizacións para motores de busca (SEO)"
"Search Information","Información da busca"
"Search Query","Consulta da busca"
"Searchable","Buscable"
"Select Configurable Attributes ","Escoller os atributos configurables "
"Select type of option","Escoller o tipo de opción"
"Select type options required values rows.","Escolla o tipo de opcións para os valores das filas solicitadas."
"Selected Product Types","Escoller os tipos de produtos"
"Send Count","Enviar conta"
"Set Ascending Direction","Establecer o sentido ascendente"
"Set Descending Direction","Establecer o sentido descendente"
"Set Name","Establecer o nome"
"Set root category for this store in the <a href=""%s"">configuration</a>","Establecer a categoría raíz para esta tenda na <a href=""%s"">configuración</a>"
"Set special price","Establecer un prezo especial"
"Set/Get current store view","Establecer/Obter a visualización actual da tenda"
"Settings","Opcións"
"Shopping Options","Opcións de compra"
"Show","Amosar"
"Show Details","Amosar detalles"
"Show Tags","Amosar etiquetas"
"Simple Product","Produto simple"
"Site Map","Mapa do sitio"
"Sitemap","Mapa do sitio"
"Skip import row, is not valid value ""%s"" for field ""%s""","Saltar a fila para importar, ""%s"" non é un valor válido para o campo ""%s"""
"Sort Order","Orde de clasificación"
"Source Model","Modelo de orixe"
"Special Price:","Prezo especial:"
"Starting at:","Comezando por:"
"Static","Estático"
"Static block and products","Bloque e produtos estáticos"
"Static block only","Só bloque estático"
"Status","Estado"
"Stock Availability","Dispoñibilidade en almacén"
"Store","Tenda"
"Store View","Visualización da tenda"
"Stretch","Estirar"
"Subscribe to RSS Feed","Subscribirse á fonte de novas"
"Super product attributes configuration","Configuración de atributos de súper produto"
"Synonym For","Sinónimo de"
"System Properties","Propiedades do sistema"
"Tag Name","Nome de etiqueta"
"Tax","Impostos"
"Template","Modelo"
"Text","Texto"
"There are no %s available.","Non hai %s dispoñible."
"There are no customers for this alert","Non hai clientes para esta alerta"
"There are no products matching the selection.","Non hai produtos que coincidan coa selección."
"This attribute no longer exists","Este atributo xa non existe"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contén atributos que se utilizan en produtos configurables. Mova estes atributos a outro grupo e ténteo de novo."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contén atributos do sistema. Mova os atributos do sistema a outro grupo e ténteo de novo."
"This is a required option","Esta é unha opción obrigatoria"
"Tier Pricing","Escalar o prezo"
"Tile","Ficha"
"Title","Título"
"Top/Left","Arriba/Esquerda"
"Top/Right","Arriba/Dereita"
"Total Qty Base Items","Cantidade total de elementos base"
"Total incl. Tax: %1$s","Total incl. imposto: %1$s"
"Type","Tipo"
"Unassigned Attributes","Atributos sen asignar"
"Up-sells","Aumento de vendas"
"Update","Actualizar"
"Update Attributes","Actualizar os atributos"
"Update Tier Price","Actualizar o nivel de prezos"
"Update assigned product","Actualizar o produto asignado"
"Update attributes","Actualizar atributos"
"Update category","Actualizar a categoría"
"Update product","Actualizar produto"
"Update product image","Actualizar a imaxe do produto"
"Update product link","Actualizar a ligazón do produto"
"Update product tier prices","Actualizar o nivel de prezos do produto"
"Upload new product image ","Subir unha nova imaxe do produto "
"Use Config Settings","Usar parámetros de configuración"
"Use Default Value","Usar valores predeterminados"
"Use Flat Catalog Category","Usar a categoría de catálogo simple"
"Use Flat Catalog Product","Usar o catálogo simple de produto"
"Use In Layered Navigation","Usar na navegación por capas"
"Use In Search Results Layered Navigation","Usar na navegación por capas no resultado de buscas"
"Use JavaScript Calendar","Usar o calendario JavaScript"
"Use To Create Configurable Product","Usar para crear un produto configurable"
"Use Tree Like Category Sitemap","Usar mapa do sitio de categorías como árbore"
"Use config","Utilizar configuración"
"Use default","Utilizar por omissão"
"View Details","Ver detalles"
"View as","Ver como"
"Virtual Product","Produto virtual"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visible nas páxinas de catálogo na portada"
"Visible on Product View Page on Front-end","Visible na páxina de visualización do produto na portada"
"Watermark","Marca de auga"
"Watermark Default Size","Tamaño predefinido da marca de auga"
"Watermark Position","Posición da marca de auga"
"We Also Recommend","Tamén recomendamos"
"Website","Sitio web"
"Wrong option type to get group instance.","Tipo de opción errónea para obter a instancia do grupo."
"Year Range","Rango de anos"
"Yes","Si"
"You cannot remove system attribute from this set.","Non pode eliminar o atributo do sistema deste conxunto."
"You have no items to compare.","Non ten elementos para comparar."
"You may also be interested in the following product(s)","Pode estar tamén interesado nos seguintes produtos"
"Zoom In","Achegar zoom"
"Zoom Out","Afastar zoom"
"and","e"
"and above","e superiores"
"categories","categorías"
"each","cada un"
"ex. http://domain.com","ex: http://omeusite.com"
"leave blank if its not an image","deixar baleiro se non é unha imaxe"
"per page","por páxina"
"products","produtos"
"save","gardar"
"select all","seleccionar todo"
"unselect all","anular a selección de todo"
