"* Required Fields","* Obavezna polja"
"Order Success","Narudžba uspješna"
"Password","Lozinka"
"Payment Information","Informacije o plaćanju"
"Payment Method","Način plaćanja"
"Payment method is not defined","Način plaćanja nije definiran"
"Place Order","Pošalji narudžbu"
"Please log in below:","Molim, prijavite se ispod:"
"Please select region, state or province","Molimo odaberite regiju ili županiju"
"Please select shipping methods for all addresses","Molim odaberite način dostave za sve adrese"
"Price","Cijena"
"Proceed to Checkout","Produžite na naplatu"
"Product","Proizvod"
"Product Name","Naziv proizvoda"
"Products","Proizvodi"
"Qty","Kol"
"Quantity","Količina"
"Quote Lifetime (days)","Rok važenja predračuna (dana)"
"Recently added item(s)","Nedavno dodani artikli"
"Register","Registrirajte se"
"Register and save time!","Registrirajte se u uštedite vrijeme!"
"Register to Create an Account","Registrirajte se da bi ste kreirali vaš korisnički račun"
"Register with us for future convenience:","Registrirajte se kod nas za buduće pogodnosti:"
"Remove Item","Uklonite artikl"
"Remove This Item","Ukloni ovu stavku"
"Review Order","Pregledajte narudžbu"
"Review Order - %s","Pregledajte narudžbu - %s"
"Save in address book","Spremite u imenik"
"Select Address","Odaberite adresu"
"Select Addresses","Odaberite adrese"
"Select Shipping Method","Ogaberite način dostave"
"Select State/Province...","Odaberite županiju/regiju"
"Select a billing address from your address book or enter a new address.","Odaberite adresu naplate iz vašeg imenika ili unesite novu adresu."
"Select a shipping address from your address book or enter a new address.","Odaberite adresu dostave iz vašeg imenika ili unesite novu adresu."
"Ship to Multiple Addresses","Dostaviti na više adresa"
"Ship to different address","Dostaviti na drugu adresu"
"Ship to this address","Dostaviti na ovu adresu"
"Shipping Address","Adresa dostave"
"Shipping Information","Informacije o dostavi"
"Shipping Method","Način dostave"
"Shipping Methods","Načini dostave"
"Shipping method has not been selected yet","Način dostave još nije odabran"
"Shopping Cart","Košarica"
"Shopping Cart is Empty","Košarica je prazna"
"Sorry, no quotes are available for this order at this time.","Žao nam je, za sada nema dostupnih procjena za ovu narudžbu."
"State/Province","Regija/pokrajina"
"Store View","Izlog"
"Street Address","Adresa"
"Submitting order information...","Šaljem informacije o narudžbi..."
"Subtotal","Ulupno"
"Telephone","Telefon"
"Thank you for your purchase!","Zahvaljujemo na narudžbi!"
"Total","Ukupno"
"Total for this address","Ukupno za tu adresu"
"Unit Price","Jedinična cijena"
"Update","Ažuriraj"
"Update Qty &amp; Addresses","Ažurirajte kol. &amp; Adrese"
"Update Shopping Cart","Ažurirajte košaricu"
"Update Total","Ažurirajte ukupno"
"Use Billing Address","Koristite adresu plaćanja"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Obrađujemo vašu narudžbu i vi ćete uskoro primiti email s detaljima narudžbe. Kada roba bude poslana vi ćete dobiti drugi email sa linkom za praćenje vaše narudžbe."
"What's this?","Što je ovo?"
"You have no items in your shopping cart.","Nemate artikala u vašoj košarici."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Primit ćete email s potvrdom narudžbe te detaljima i linkom za praćenje vaše narudžbe."
"Your Checkout Progress","Vaš status naplate"
"Zip/Postal Code","Poštanski broj"
