"(Excl. Tax)","(Zzgl. Steuern)"
"Order Success","Bestell-Erfolg"
"Password","Passwort"
"Payment Failed Email Sender","Absender der E-Mails über fehlgeschlagene Zahlung"
"Payment Failed Emails","E-Mails über fehlgeschlagene Zahlung"
"Payment Failed Template","E-Mail-Vorlage über fehlgeschlagene Zahlung"
"Payment Information","Zahlungsinformation"
"Payment Method","Zahlungsart"
"Place Order","Jetzt kaufen"
"Please agree to all Terms and Conditions before placing the order.","Bitte akzeptieren Sie alle Geschäftsbedingungen bevor Sie Ihre Bestellung aufgeben."
"Please agree to all the terms and conditions before placing the order.","Bitte lesen und akzeptieren Sie alle AGB, bevor Sie Ihre Bestellung aufgeben."
"Please select region, state or province","Wählen Sie bitte eine Region, ein Bundesland oder eine Provinz aus"
"Price","Preis"
"Proceed to Checkout","Zur Kasse"
"Product","Produkt"
"Product Name","Artikelname"
"Products","Artikel"
"Qty","Menge"
"Qty:","Menge:"
"Quantity","Menge"
"Quote Lifetime (days)","Gültigkeit der Preise im Warenkorb (in Tagen)"
"Remove Item","Artikel entfernen"
"Remove This Item","Diesen Artikel entfernen"
"Remove item","Artikel entfernen"
"Review Order","Bestellung überprüfen"
"SKU","Artikelnummer"
"Sales","Verkäufe"
"Save Condition","Speichere Bedingung"
"Save in address book","Im Adressbuch speichern"
"See price before order confirmation.","Siehe Preis vor Auftragsbestätigung."
"Select Address","Adresse auswählen"
"Select Addresses","Adressen wählen"
"Select Shipping Method","Versandart wählen"
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Versandadresse aus Ihrem Adressbuch oder geben Sie eine neue Adresse ein."
"Send Payment Failed Email Copy Method","Versandart der Kopie der E-Mails über fehlgeschlagene Zahlung"
"Send Payment Failed Email Copy To","Kopie der E-Mails über fehlgeschlagene Zahlung senden an"
"Send To","Senden an"
"Separate by "","".","Trennen durch "",""."
"Ship to Multiple Addresses","Ihre Bestellnummer lautet "
"Shipping Address","Lieferadresse"
"Shipping Information","Versandinformation"
"Shipping Method","Versandart"
"Shipping Methods","Versandarten"
"Shipping To","Versand an "
"Shopping Cart","Warenkorb"
"Show Content as","Zeige Inhalt als"
"State/Province","Bundesland"
"Street Address","Straße"
"Submitting order information...","Bestellung wird übermittelt …"
"Subtotal","Zwischensumme"
"Terms and Conditions Information","Informationen zu allgemeinen Geschäftsbedingungen"
"Thank you for your purchase!","Vielen Dank für Ihre Bestellung!"
"The product does not exist.","Der Artikel existiert nicht."
"This condition no longer exists.","Diese Konditionen sind nicht mehr vorhanden."
"Total","Gesamtsumme"
"Total for this address","Total für diese Adresse"
"Unit Price","Einzelpreis"
"Update","Aktualisieren"
"Update Cart","Warenkorb aktualisieren"
"Update Qty &amp; Addresses","Anzahl &amp; Adressen aktualisieren"
"Update Shopping Cart","Warenkorb aktualisieren"
"VAT Number","USt-IdNr."
"View Shopping Cart","Warenkorb anzeigen"
"What's this?","Was ist das?"
"You have no items in your shopping cart.","Sie haben keine Artikel in Ihrem Warenkorb."
"Zip/Postal Code","PLZ"
"or","oder"
