" [deleted]"," [gelöscht]"
"Billing Agreement","Abrechnungsvereinbarung"
"Billing Agreements","Paypal Zahlungsfreigaben"
"Block Information","Block-Information"
"Blocks","Blöcke"
"Both (without and with tax)","Beides (ohne und mit Steuern)"
"Browse Files...","Dateien durchsuchen..."
"By Email","Per E-Mail"
"By IP","Nach IP"
"By IP and Email","Nach IP und E-Mail"
"Cache Control","Cache-Steuerung"
"Cache Management","Cache Verwaltung"
"Cache Type","Cache-Typ"
"Cancel","Stornieren"
"Cannot add new comment.","Kann neuen Kommentar nicht hinzufügen."
"Cannot add tracking number.","Trackingnummer kann nicht hinzugefügt werden."
"Cannot do shipment for the order separately from invoice.","Versand kann nicht getrennt von der Rechnung angelegt werden."
"Cannot do shipment for the order.","Kann Versand für die Bestellung nicht durchführen."
"Cannot save shipment.","Sendung kann nicht gespeichert werden."
"Cannot send shipment information.","Versandinformationen können nicht versendet werden."
"Cannot update item quantity.","Artikelanzahl konnte nicht aktualisiert werden."
"Card Verification Number","Kartenprüfnummer"
"Catalog","Katalog"
"Catalog Price Rules","Katalog-Preisregeln"
"Catalog Rewrites","Katalog-Rewrites"
"Categories","Kategorien"
"Category","Kategorie"
"Category:","Kategorie:"
"Checkbox","Auswahlfeld (Checkbox)"
"Child Transactions","Untergeordnete Transaktionen"
"Choose Store View:","Store View wählen:"
"Clear","Alles abwählen"
"Close","Schließen"
"Complete","Vollständig"
"Config form fieldset clone model required to be able to clone fields","Um Felder zu klonen ist eine Konfiguration des ""fieldset clone model"" erforderlich."
"Configuration","Konfiguration"
"Confirm New Password","Neues Passwort bestätigen"
"Confirmed email:","Bestätigte E-Mail:"
"Continue","Fortsetzen"
"Convert to Plain Text","Zu Text konvertieren"
"Cookie (unsafe)","Cookie (unsicher)"
"Country","Land"
"Country:","Land:"
"Coupons","Gutscheine"
"Create","Anlegen"
"Create DB Backup","Datenbank-Backup erstellen"
"Create New Attribute","Neues Attribut erstellen"
"Created At","Erstellt am"
"Credit Card Number","Kreditkartennummer"
"Credit Card Type","Kreditkartentyp"
"Credit Memo History","Gutschrift Vorgeschichte"
"Credit Memo Totals","Gutschriftsumme"
"Credit Memos","Gutschriften"
"Currency","Währung"
"Current Configuration Scope:","Aktueller Konfigurationsbereich:"
"Current Month","Aktueller Monat"
"Custom","Benutzerdefiniert"
"Custom Variables","Benutzerdefinierte Variablen"
"Customer","Kunde"
"Customer Group:","Kundengruppe:"
"Customer Groups","Kundengruppen"
"Customer Name","Kundenname"
"Customer Reviews","Kundenbewertungen"
"Customer Shopping Carts","Kunden-Warenkörbe"
"Customer Tax Classes","Kundensteuerklassen"
"Customers","Kunden"
"Customers by Number of Orders","Kunden nach Anzahl der Bestellungen"
"Customers by Orders Total","Kunden nach Bestellbetrag"
"Dashboard","Übersicht"
"Database","Datenbank"
"Date","Datum"
"Date & Time","Datum & Zeit"
"Date Added","Hinzugefügt am"
"Date selector","Datum-Auswahl"
"Day","Tag"
"Debug","Debuggen"
"Default Billing Address","Standard-Rechnungsanschrift"
"Default Config","Standardkonfiguration"
"Default Values","Standardwerte"
"Default scope","Standardbereich"
"Delete","Löschen"
"Delete Block","Blöck löschen"
"Delete File","Datei löschen"
"Delete Image","Originalgröße"
"Delete Role","Rolle löschen"
"Delete Store","Store löschen"
"Delete Store View","Store View löschen"
"Delete Template","Vorlage löschen"
"Delete User","Benutzer löschen"
"Description","Beschreibung"
"Disable","Deaktivieren"
"Disabled","Deaktiviert"
"Display default currency","Standardwährung anzeigen"
"Download","Herunterladen"
"Drop-down","Dropdown-Liste"
"Edit","Bearbeiten"
"Edit Block","Block bearbeiten"
"Edit Design Change","Designänderung bearbeiten"
"Edit Email Template","EMail-Vorlage bearbeiten"
"Edit Order","Bestellungen bearbeiten"
"Edit Queue","Warteschlange bearbeiten"
"Edit Review","Bewertung bearbeiten"
"Edit Role","Rolle bearbeiten"
"Edit Store View","Store View bearbeiten"
"Edit System Template","Systemvorlage bearbeiten"
"Edit Template","Vorlage bearbeiten"
"Edit URL Rewrite","URL-Rewrite bearbeiten"
"Edit User","Benutzer bearbeiten"
"Email","E-Mail"
"Email Address:","E-Mail-Adresse:"
"Email to a Friend","E-Mail an einen Freund"
"Email:","E-Mail:"
"Enable","Aktivieren"
"Enabled","Aktiviert"
"Entity Attributes","Entitäts-Attribute"
"Entity Type","Entitätstyp"
"Entity type:","Entity-Typ:"
"Error","Fehler"
"Excl. Tax","Exkl. Steuern"
"Exclude media folder from backup","Medienordner von Sicherung ausschließen"
"Expiration Date","Ablaufdatum"
"Export CSV","CSV exportieren"
"Export to:","Exportieren nach:"
"FTP Host","FTP-Server"
"FTP Host[:Port]","FTP-Host [: Port]"
"FTP Login","FTP-Benutzername"
"FTP Password","FTP-Kennwort"
"FTP credentials","FTP-Anmeldeinformationen"
"Failed","Fehlgeschlagen"
"File","Datei"
"File System","Dateisystem"
"First Invoice Created Date","Erstes Rechnungserstellungsdatum"
"First Name","Vorname"
"First Name:","Vorname:"
"Fixed","Festkosten"
"Flush Catalog Images Cache","Leere Katalog-Bilder-Cache"
"Flush JavaScript/CSS Cache","Leere JavaScript/CSS Cache"
"Forgot your password?","Passwort vergessen?"
"From","Von"
"General Information","Allgemeine Information"
"Global Search","Globale Suche"
"Go Today","Heute"
"Go to Top","Nach Oben"
"Grand Total","Gesamtsumme"
"Grid (default) / List","Raster (Standard) / Liste"
"Grid Only","Nur Raster"
"Guest","Gast"
"HTTP (unsecure)","HTTP (unsicher)"
"Home","Startseite"
"ID","Id"
"IP Address","IP Adresse"
"IPN (Instant Payment Notification) Only","Nur IPN (Instant Payment Notification)"
"Id","ID"
"Images (.gif, .jpg, .png)","Sichtbare abwählen"
"Images Cache","Bilder-Cache"
"Import","Importieren"
"Import Service","Import-Service"
"Import and Export Tax Rates","Import und Export für Steuersätze"
"Import/Export","Importieren/Exportieren"
"Important: ","Wichtig: "
"Inactive","Inaktiv"
"Incl. Tax","Inkl. MwSt."
"Incoming Message","Eingehende Nachricht"
"Insert Variable...","Füge Variable ein …"
"Invalid Form Key. Please refresh the page.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite."
"Invalid data","Ungültige Daten"
"Invalid parent block for this block","Ungültiger Elternblock für diesen Block"
"Invalidated","Für ungültig erklärt"
"Inventory Stock Status","Inventar-Lagerstatus"
"Invoice History","Rechnungsverlauf"
"Invoice Totals","Rechnungssummen"
"Invoices","Rechnungen"
"Is Closed","Ist geschlossen"
"Is Default","Ist voreingestellt"
"Issue Number","Ausstellungsnummer"
"Items","Artikel"
"JavaScript seems to be disabled in your browser.","JavaScript scheint in Ihrem Browser deaktiviert zu sein."
"JavaScript/CSS","Javascript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS-Cache"
"Last 24 Hours","Letzte 24 Stunden"
"Last 7 Days","Letzte 7 Tage"
"Last Credit Memo Created Date","Letztes Gutschrifterstellungsdatum"
"Last Invoice Created Date","Letztes Rechnungserstellungsdatum"
"Last Logged In:","Zuletzt eingeloggt:"
"Last Name","Nachname"
"Last Name:","Nachname:"
"Lifetime Sales","Alle Verkäufe"
"List (default) / Grid","Liste (Standard) / Raster"
"List Only","Nur Liste"
"Load Template","Vorlage laden"
"Loading...","Wird geladen …"
"Local Server","Lokaler Server"
"Locale","Gebietsschema"
"Login","Anmelden"
"Low Stock","Geringer Lagerbestand"
"OpenMage Admin","OpenMage Administration"
"Magento root directory","OpenMage-Root-Verzeichnis"
"Content","Inhalt"
"Currency Rates","Währungskurse"
"Tax Rules","Steuerregeln"
"Tax Zones and Rates","Steuerzonen und -sätze"
"Manual","Manuell"
"Maximum sender name length is 255. Please correct your settings.","Die maximale Länge des Absendernamens beträgt 255 Zeichen. Bitte korrigieren Sie Ihre Einstellungen."
"Media (.avi, .flv, .swf)","Medien (.avi, .flv,. swf)"
"Messages Inbox","Posteingang"
"Month","Monat"
"Most Viewed","Am meisten angesehen"
"Most Viewed Products","Am meisten angesehene Produkte"
"Multiple Select","Mehrfach Auswahl"
"My Account","Mein Konto"
"N/A","Keine Angabe"
"Never (production)","Niemals (Produktion)"
"New ","Neu "
"New Accounts","nicht definiert"
"New Attribute","Neues Attribut"
"New Block","Neuer Block"
"New Category","Neue Kategorie"
"New Condition","Neue Bedingungen"
"New Custom Variable","Neue benutzerdefinierte Variable"
"New Customer","Neuer Kunde"
"New Customers","Neue Kunden"
"New Email Template","Neue EMail-Vorlage"
"New Group","Neue Gruppe"
"New Invoice","Neue Rechnung"
"New Memo","Neue Gutschrift"
"New Page","Neue Seite"
"New Password","Neues Passwort"
"New Rating","Neue Bewertung"
"New Review","Neue Rezension"
"New Role","Neue Rolle"
"New Rule","Neue Regel"
"New Search","Neue Suche"
"New Set","Neues Set"
"New Shipment","Neuer Versand"
"New Sitemap","Neue Sitemap"
"New Store View","Neuer Store View"
"New System Template","Neue Systemvorlage"
"New Template","Neue Vorlage"
"New User","Neuer Benutzer"
"Newsletter Queue","Newsletter-Warteschlange"
"Newsletter Subscribers","Newsletter-Abonnenten"
"Newsletter Templates","Newsletter Vorlagen"
"No","Nein"
"No (price without tax)","Nein (Preis ohne Steuern)"
"No Data","Keine Daten"
"No Data Found","Keine Daten gefunden"
"No Templates Found","Vorlagentyp"
"No change","Keine Änderung"
"No records found.","Keine Einträge gefunden."
"No search modules were registered","Keine Suchmodule wurden registriert"
"None","Keine"
"Note:","Hinweis:"
"Notifications","Benachrichtigungen"
"Number of Orders","Anzahl der Bestellungen"
"Number of Uses","Anzahl der Verwendungen"
"Old rate:","Alter Preis:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Sobald Sie sich in Ihrem erweiterten PayPal-Konto einloggen , navigieren Sie zu den Service-Einstellungen - Hosting-Checkout-Seiten - Set-Up-Menü und stellen Sie die unten beschriebenen Optionen ein."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Sobald Sie sich in Ihrem PayPal Payflow Link-Konto anmelden, navigieren Sie zu den Service-Einstellungen - Hosting-Checkout-Seiten - Set-Up-Menü und stellen Sie die unten beschriebenen Optionen ein."
"Online Customers","Online-Kunden"
"Only Once (version upgrade)","Nur einmal (Versions-Upgrade)"
"Options","Optionen"
"Order","Bestellung"
"Order ID","Bestellnummer"
"Order Totals","Bestellsummen"
"Orders","Bestellungen"
"Out of stock","Nicht lieferbar"
"Pages","Seiten"
"Parent Product Thumbnail","Übergeordnetes Produktbild"
"Parent Transaction ID","Übergeordnete Transaktions-ID"
"Password","Passwort"
"Password Confirmation","Kennwort bestätigen"
"Password:","Passwort:"
"Pending Reviews","Ausstehende Bewertungen"
"Per Item","Pro Stück"
"Per Order","Pro Bestellung"
"Percent","Prozent"
"Period","Zeitraum"
"Permissions","Berechtigungen"
"Personal Information","Persönliche Daten"
"Please Select","Bitte wählen"
"Please confirm site switching. All data that hasn't been saved will be lost.","Bitte Seitenwechsel bestätigen. Alle Daten, die noch nicht gespeichert wurden, gehen verloren."
"Please enter a number greater than 0 in this field.","Bitte geben Sie eine Zahl größer als 0 in dieses Feld ein."
"Please enter a valid $ amount. For example $100.00.","Bitte geben Sie einen gültigen Betrag ein. Zum Beispiel 100,00 €."
"Please enter a valid credit card number.","Bitte geben Sie eine gültige Kreditkartennummer an."
"Please enter a valid date.","Bitte geben Sie ein gültiges Datum an."
"Please enter a valid email.","Bitte geben Sie eine gültige E-Mail-Adresse ein."
"Please enter a valid number in this field.","Bitte geben Sie eine gültige Nummer in dieses Feld ein."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Bitte geben Sie eine gültige Telefonnummer ein. Zum Beispiel (123) 456-7890 oder 123-456-7890."
"Please enter a valid value from list","Bitte geben Sie einen gültigen Wert aus der Liste ein"
"Please enter a valid value, ex: 10,20,30","Bitte geben Sie einen gültigen Wert ein, z. B. 10,20,30"
"Please enter a valid zip code.","Bitte geben Sie eine gültige Postleitzahl ein."
"Please make sure that all global admin search modules are installed and activated.","Bitte stellen Sie sicher, dass alle globalen Admin Suchmmodule installiert und aktiviert sind."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Kennwörter übereinstimmen."
"Please select State/Province.","Bitte wählen Sie ein Bundesland/Kanton."
"Please select an option.","Bitte wählen Sie eine Option aus."
"Please select customer(s).","Bitte wählen Sie die Kunden."
"Please select one of the options.","Bitte wählen Sie eine der Optionen."
"Please select review(s).","Bitte wählen Sie eine Bewertung(en) aus."
"Please specify the admin custom URL.","Bitte gebe die benutzerdefiniert Admin URL an."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Bitte verwenden Sie nur Buchstaben (a-z und A-Z), Zahlen (0-9) oder Leerzeichen in diesem Feld."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bitte verwenden Sie dieses Datumsformat: TT/MM/JJJJ. Zum Beispiel: 17.03.2006 für den 17. März 2006."
"Please wait...","Bitte warten..."
"Position","Reihenfolge"
"Preview","Vorschau"
"Preview Template","Vorlagen-Vorschau"
"Price","Preis"
"Price:","Preis:"
"Processing","Verarbeitung"
"Product","Produkt"
"Product Name","Artikelname"
"Product Reviews","Produktrezensionen"
"Product Thumbnail Itself","Produkt Miniaturansicht selbst"
"Product:","Produkt:"
"Products","Artikel"
"Products Bestsellers Report","Produkte Bestseller Report"
"Products Most Viewed Report","Bericht über meist angesehene Produkte"
"Products Ordered","Produkte bestellt"
"Products in Carts","Produkte in Warenkörben"
"Promotions","Preisregeln"
"Quantity","Menge"
"Radio Buttons","Optionsfelder (Radio Buttons)"
"Rebuild","Neu erstellen"
"Rebuild Catalog Index","Katalogindex neu erstellen"
"Rebuild Flat Catalog Category","Flache Katalog-Kategorie neu erstellen"
"Rebuild Flat Catalog Product","Flaches Katalog-Produkt neu erstellen"
"Recent Orders","Letzte Bestellungen"
"Recent statistics have been updated.","Die letzten Statistiken wurden aktualisiert."
"Reference ID","Referenz ID"
"Refresh","Aktualisieren"
"Refresh Statistics","Statistiken aktualisieren"
"Region/State","Region/Bundesland"
"Reload captcha","Captcha neu laden"
"Remote FTP","Entfernter FTP"
"Remove","Entfernen"
"Reports","Berichte"
"Request Path","Anfragepfad"
"Required","Erforderlich"
"Reset","Zurücksetzen"
"Reset Filter","Filter zurücksetzen"
"Reset Password","Passwort zurücksetzen"
"Reset a Password","Zurücksetzen eines Passworts"
"Resource Access","Zugriffsrechte"
"Resources","Ressourcen"
"Results","Ergebnisse"
"Retrieve Password","Passwort anfordern"
"Return Html Version","HTML-Version ausgeben"
"Revenue","Umsatz"
"Reviews","Rezensionen"
"Role Info","Rolleninfo"
"Role Information","Rolleninformationen"
"Role Name","Rollenname"
"Role Resources","Rollenressourcen"
"Role Users","Rolle-Benutzer"
"Roles","Rollen"
"Roles Resources","Rollenressourcen"
"Root Category","Hauptkategorie"
"Run","Starten"
"SKU","Artikelnummer"
"Sales","Verkäufe"
"Sales Report","Verkaufsbericht"
"Samples","Beispiele"
"Save","Speichern"
"Save & Generate","Speichern & Anlegen"
"Save Account","Konto speichern"
"Save Cache Settings","Cache-Einstellungen speichern"
"Save Config","Konfiguration speichern"
"Save Currency Rates","Wechselkurs speichern"
"Save Role","Rolle speichern"
"Save Template","Vorlage speichern"
"Save User","Benutzer speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Search","Suche"
"Search Index","Suchindex"
"Search Term","Suchbegriff"
"Search Terms","Suchbegriffe"
"Search entire store here...","Gesamten Shop hier durchsuchen..."
"Select","Auswählen"
"Select All","Alles auswählen"
"Select Category","Kategorie auswählen"
"Select Date","Datum auswählen"
"Sender","Absender"
"Separate Email","Separate E-Mail"
"Shipment Comments","Kommentare zum Versand"
"Shipment History","Sendungshistorie"
"Shipments","Lieferscheine"
"Shipping","Versand"
"Shipping Address","Lieferadresse"
"Shipping Address: ","Lieferadresse: "
"Shipping Origin","Versandherkunft"
"Shipping Price","Gewicht gg. Ziel"
"Shopping Cart","Warenkorb"
"Show By","Anzeigen nach"
"Show Report For:","Zeige Bericht für:"
"Show Reviews","Bewertungen anzeigen"
"Sitemap Information","Sitemap-Informationen"
"Skip Category Selection","Auswahl der Kategorie überspringen"
"Specific Countries","Bestimmte Länder"
"Specified","festgelegt"
"Start Date","Start"
"State/Province:","Bundesland:"
"Static Blocks","Statische Blöcke"
"Store","Shop"
"Stores","Shops"
"Subject","Betreff"
"Submit","Absenden"
"Subtotal","Zwischensumme"
"Switch/Solo/Maestro Only","Nur Switch/Solo/Maestro"
"Synchronize","Falsches Datei Info Format"
"Synchronizing...","Synchronisiere..."
"Tags","Schlagwörter"
"Target Path","Zielpfad"
"Tax","Steuer"
"Template","Vorlage"
"Template Content","Vorlageninhalt"
"Template Information","Vorlageninformationen"
"Template Name","Vorlagenname"
"Template Styles","Vorlagen-Stile"
"Template Subject","Vorlage-Betreff"
"Template Type","Vorlagentyp"
"Temporary (302)","Temporär (302)"
"Terms and Conditions","Allgemeine Geschäftsbedingungen"
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS Caches wurde geleert."
"The OpenMage cache storage has been flushed.","Der OpenMage Cache Speicher wurde geleert."
"The URL Rewrite has been saved.","URL-Rewrite wurde gespeichert."
"The attribute set has been removed.","Das Attribut-Set wurde entfernt."
"The credit memo has been canceled.","Die Gutschrift wurde storniert."
"The image cache was cleaned.","Bildcache wurde geleert."
"The invoice has been captured.","Rechnung wurde erfasst."
"The invoice has been created.","Die Rechnung wurde erstellt."
"The invoice has been voided.","Die Rechnung wurde storniert."
"The order no longer exists.","Die Bestellung existiert nicht mehr."
"The shipment has been created.","Sendung wurde erstellt."
"The transaction details have been updated.","Die Details der Transaktion wurden aktualisiert."
"There is an error in one of the option rows.","Ein Fehler befindet sich in einer der Optionszeilen."
"This account is","Dieses Konto ist"
"This action cannot be undone.","Diese Aktion kann nicht rückgängig gemacht werden."
"This block no longer exists.","Dieser Block ist nicht mehr vorhanden."
"This is a required field.","Dies ist ein Pflichtfeld."
"This user no longer exists.","Dieser Benutzer existiert nicht mehr."
"Time","Zeit"
"To","Bis"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Um den PayPal Payflow Link nutzen zu können, müssen Sie Ihr PayPal Payflow Link-Konto auf der PayPal-Website konfigurieren."
"Tools","Werkzeuge"
"Total","Gesamtsumme"
"Total Invoiced","Insgesamt in Rechnung gestellt"
"Total Refunded","Gesamterstattung"
"Track Order","Bestellung verfolgen"
"Track this shipment","Diese Lieferung verfolgen"
"Transaction Data","Transaktionsdaten"
"Transaction Details","Transaktionsdetails"
"Transaction ID","Transaktions ID"
"Transaction Type","Transaktionstyp"
"Transactional Emails","Transaktions-E-Mails"
"Transactions","Transaktionen"
"Type","Typ"
"Type:","Typ:"
"URL Rewrite Information","Informationen zu URL-Rewrite"
"URL Rewrite Management","URL-Rewrite Management"
"Unknown","Unbekannt"
"Unlimited","Unbegrenzt"
"Update","Aktualisieren"
"Updated At","Aktualisiert am"
"Upload File","Datei hochladen"
"Upload Files","Dateien hochladen"
"Use All Available Attributes","Alle verfügbaren Attribute verwenden"
"Use Config Settings","Konfigurationseinstellungen verwenden"
"Use Default","Standard verwenden"
"Use Default Value","Standardwert verwenden"
"Use Default Variable Values","Verwende Standardwerte für Variablen"
"Use FTP Connection","FTP-Verbindung verwenden"
"Use Website","Website nutzen"
"User Email","Benutzer-E-Mail"
"User ID","Benutzer-ID"
"User Info","Benutzer-Informationen"
"User Information","Benutzerinformationen"
"User Name","Benutzername"
"User Password","Benutzerkennwort"
"User Role","Benutzerrolle"
"User Roles","Benutzerrollen"
"User Roles Information","Benutzerrolleninformation"
"Users","Benutzer"
"Validation Results","Ergebnis der Validierung"
"Value","Wert"
"Variable Code","Variablencode"
"Variable HTML Value","Variablen HTML Wert"
"Variable ID","Variablen ID"
"Variable Name","Variablenname"
"Variable Plain Value","Variablen Text Wert"
"View Full Size","Originalgröße anzeigen"
"View Statistics For:","Statistiken anzeigen für:"
"Warning","Warnhinweis"
"Website","Webseite"
"What is this?","Was ist das?"
"YTD","Jahresverlauf"
"Year","Jahr"
"Yes","Ja"
"Yes (301 Moved Permanently)","Ja (301 Moved Permanently)"
"Yes (302 Found)","Ja (302 Found)"
"Yes (only price with tax)","Ja (nur Preis inkl. Steuer)"
"You cannot delete your own account.","Sie können Ihr eigenes Konto nicht löschen."
"You have logged out.","Sie haben sich abgemeldet."
"Your password reset link has expired.","Ihr Link zum Zurücksetzen des Passworts ist abgelaufen."
"Zip/Postal Code","PLZ"
"[ deleted ]","[ gelöscht ]"
"close","schließen"
"critical","Kritisch"
"example: sitemap.xml","Beispiel: sitemap.xml"
"failed","fehlgeschlagen"
"from","von"
"major","sehr wichtige"
"minor","wichtige"
"notice","unwichtige"
"successful","erfolgreich"
"to","bis"
