"* Required Fields","* Pflichtfelder"
"Block after Info Column","Block nach der Info-Spalte"
"Bottom/Left","Unten/Links"
"Bottom/Right","Unten/Rechts"
"Bundle Items","Bündel-Artikel"
"Cache Lifetime (Seconds)","Cache-Lebensdauer (in Sekunden)"
"Cancel","Stornieren"
"Cart Item Attribute","Warenkorb-Artikelattribut"
"Catalog","Katalog"
"Catalog Category Link","Katalogkategorie Link"
"Catalog New Products List","Liste von neuen Katalogprodukten"
"Catalog Price Scope","Gültigkeitsbereich des Katalogpreises"
"Catalog Product Link","Katalogartikel Link"
"Catalog, Search","Katalog, Suche"
"Categories","Kategorien"
"Category","Kategorie"
"Category Flat Data","Kategorie-Flat-Daten"
"Category Link Block Template","Kategorielink - Blockvorlage"
"Category Link Inline Template","Kategorie Link - Inline-Vorlage"
"Category Products","Artikel der Kategorie"
"Category Top Navigation","Kategorie Top-Navigation"
"Category URL Suffix","Kategorie-URL-Suffix"
"Center","Mitte"
"Change","Ändern"
"Change status","Status ändern"
"Check items to add to the cart or","Wählen Sie die Artikel aus, die dem Warenkorb hinzugefügt werden sollen, oder"
"Choose an Option...","Wählen Sie eine Option..."
"Clear All","Alles löschen"
"Clear Price","Preis löschen"
"Click for price","Klicken für Preis"
"Close Window","Fenster schließen"
"Collapse All","Alle zuklappen"
"Comma-separated.","Durch Kommata getrennt."
"Comparable","Vergleichbar"
"Compare","Vergleichen"
"Compare Products","Produkte vergleichen"
"Conditions Combination","Bedingungs-Kombination"
"Configure Product","Konfiguriere Produkt"
"Continue","Fortsetzen"
"Country/State","Land/Bundesland"
"Create","Anlegen"
"Create Permanent Redirect for URLs if URL Key Changed","Permanente Weiterleitung für URLs erzeugen, wenn sich der URL-Schlüssel geändert hat"
"Create Permanent Redirect for old URL","Permanente Weiterleitung (301) für die alte URL anlegen"
"Cross-sells","Cross-Sells"
"Custom Design","Eigenes Design"
"Custom Options","Individualisierungsoptionen"
"Customer Group","Kundengruppe"
"Customers Reviews","Kunden-Bewertungen"
"Data Type for Saving in Database","Datentyp in der Datenbank"
"Date & Time Custom Options","Benutzerdefinierte Datums- und Uhrzeit-Optionen"
"Date Fields Order","Reihenfolge der Datum-Felder"
"Datetime","Datum und Zeit"
"Decimal","Dezimal"
"Default ""What's This"" Text Message","Standard ""Was ist das"" Nachricht"
"Default Popup Text Message","Standard Popup Meldungstext"
"Default Price","Standard-Preis"
"Default Price Navigation Step","Standard-Preisnavigationsschritt"
"Default Qty","Standardmenge"
"Default Values","Standardwerte"
"Delete","Löschen"
"Delete Attribute","Attribut löschen"
"Delete Option","Menge:"
"Delete Row","Zeile löschen"
"Delete Search","Suche löschen"
"Delete Selected Group","Ausgewählte Gruppe löschen"
"Delete Tier","Lösche Staffel"
"Description","Beschreibung"
"Disabled","Deaktiviert"
"Display Actual Price","Tatsächlichen Preis anzeigen"
"Display Page Control","Anzahl der Artikel die angezeigt werden sollen"
"Display Price Interval as One Price","Preisintervall als Einzelpreis darstellen"
"Display Product Count","Produkt-Anzahl anzeigen"
"Display Type","Darstellungsart"
"Display in Suggested Terms","Anzeigen in Vorgeschlagene Begriffe"
"Downloadable Information","Downloadinformation"
"Duplicate","Kopieren"
"Duplicate amount found.","Betrag wurde doppelt gefunden."
"Edit","Bearbeiten"
"Edit Product Attribute","Produkt-Attribut bearbeiten"
"Edit Search","Suche bearbeiten"
"Email","E-Mail"
"Email to a Friend","E-Mail an einen Freund"
"Empty","Zeige"
"Enable MAP","UVP aktivieren"
"Enable Qty Increments","Mengenerhöhungen aktivieren"
"Enabled","Aktiviert"
"Exclude","Ausschließen"
"Expand All","Alle aufklappen"
"Failed","Fehlgeschlagen"
"Filter","Filtern"
"Filterable (no results)","Filterbar (keine Ergebnisse)"
"Filterable (with results)","Filterbar (mit Ergebnissen)"
"First Name","Vorname"
"Fixed","Festkosten"
"For the last time placed.","Bei der letzten Abfrage."
"Frontend Model","Frontend-Model"
"Gallery","Gallerie"
"General Information","Allgemeine Information"
"Globally Editable","Global änderbar"
"Go to Home Page","Zur Startseite"
"Grid","Liste"
"Groups","Gruppen"
"Home","Startseite"
"ID","Id"
"Image","Bild"
"In Cart","Im Warenkorb"
"In Stock","Auf Lager"
"In stock","Auf Lager"
"Incl. Tax","Inkl. MwSt."
"Index product prices","Indizierung von Artikel-Preisen"
"Indexed category/products association","Indizierte Kategorie/Produkte-Zuordnung"
"Input Type","Eingabetyp"
"Integer","Ganzzahl"
"Interval Division Limit","Intervall-Teilungsbeschränkung"
"Inventory","Inventar"
"Is Default","Ist voreingestellt"
"Is Required","Ist erforderlich"
"Label","Bezeichnung"
"Last Name","Nachname"
"Layered Navigation","Filternavigation"
"Learn More","Mehr erfahren"
"Link to a Specified Category","Verlinkung auf eine bestimmte Kategorie"
"Link to a Specified Product","Verlinkung auf einen bestimmten Artikel"
"List","Liste"
"List Mode","Liste"
"List of Products that are set as New","Liste von Artikeln die als neu gekennzeichnet sind"
"Catalog Categories","Katalogkategorien"
"Manage Stock","Lagerbestand verwalten"
"Max Characters","Max Zeichen"
"Maximal Depth","Maximale Tiefe"
"Maximum Image Size","Maximale Bildgröße"
"Maximum Number of Price Intervals","Höchstmenge an Preisschritten"
"Maximum Qty Allowed in Shopping Cart","Maximal erlaubte Menge im Warenkorb"
"Maximum image height","Maximale Bildhöhe"
"Maximum image width","Maximale Bildbreite"
"Maximum number of characters:","Maximale Anzahl der Zeichen:"
"Maximum number of price intervals is 100","Höchstmenge an Preisschritten ist 100"
"Media Image","Bild"
"Minimum Advertised Price","Unverbindliche Preisempfehlung"
"Minimum Qty Allowed in Shopping Cart","Minimal erlaubte Menge im Warenkorb"
"Move","Verschieben"
"My Account","Mein Konto"
"N/A","Keine Angabe"
"New Product","Neuer Artikel"
"New Product Attribute","Neues Produkt-Attribut"
"New Products","Neue Produkte"
"New Products Grid Template","Neue-Artikel-Gittervorlage"
"New Products List Template","Neue-Artikel-Listenvorlage"
"New Search","Neue Suche"
"New Set Name","Neuer Set Name"
"New products","Neue Produkte"
"Next","Weiter"
"No","Nein"
"No image","Kein Bild"
"No layout updates","Keine Layout Aktualisierungen"
"No options of this product are available.","Für diesen Artikel sind keine Optionen verfügbar."
"None","Keine"
"Not Visible Individually","Einzeln nicht sichtbar"
"Notify Low Stock RSS","RSS-Benachrichtigung bei niedrigem Lagerbestand"
"Notify for Quantity Below","Benachrichtigung bei Menge unter"
"Number of Products per Page","Anzahl Produkte pro Seite"
"Number of Products to Display","Anzahl der Produkte zum Anzeigen"
"Number of Uses","Anzahl der Verwendungen"
"Number of results","Anzahl der Ergebnisse"
"Number of results (For the last time placed)","Anzahl der Ergebnisse (bei der letzten Abfrage)"
"On Gesture","Bei Mausaktion"
"Options","Optionen"
"Out of Stock","Nicht auf Lager"
"Out of stock","Nicht lieferbar"
"PM","Nachmittags (p.m.)"
"Page Title Separator","Seitentitel-Trenner"
"Parent Category","Übergeordnete Kategorie"
"Pending","Ausstehend"
"Pending Reviews RSS","Ausstehende Kundenmeinungen RSS"
"Please add rows to option.","Bitte fügen Sie Zeilen zur Option hinzu."
"Please specify date required option(s).","Bitte geben Sie die Datums Option(en) ein."
"Please specify the number of products, that will not be divided into subintervals.","Bitte geben Sie die Anzahl der Produkte an, die nicht in Teilintervalle unterteilt wird."
"Please specify the quantity of product(s).","Bitte geben Sie die Anzahl der Produkte ein."
"Please specify time required option(s).","Bitte geben Sie die Zeit Option(en) ein."
"Please wait...","Bitte warten..."
"Position","Reihenfolge"
"Position in Layered Navigation","Position in Filternavigation"
"Prev","Zurück"
"Previous","Zurück"
"Price","Preis"
"Price Navigation Step Calculation","Preisnavigationsschritt-Berechnung"
"Price Type","Preistyp"
"Price:","Preis:"
"Print This Page","Diese Seite drucken"
"Product","Produkt"
"Product Alerts","Artikelbenachrichtigungen"
"Product Attribute","Artikelattribut"
"Product Attributes","Artikelattribute"
"Product Categories","Produkt-Kategorien"
"Product Flat Data","Produkt-Flat-Daten"
"Product ID","Artikelnummer"
"Product Image Placeholders","Platzhalter für Artikelbilder"
"Product Image Watermarks","Produktbild-Wasserzeichen"
"Product In Websites","Produkt auf Webseiten"
"Product Info Column","Produktinfo-Spalte"
"Product Link Block Template","Produktlink - Blockvorlage"
"Product Link Inline Template","Produktlink - Inlinevorlage"
"Product Listing Sort by","Artikelliste sortiert nach"
"Product Name","Artikelname"
"Product Reviews","Produktrezensionen"
"Product URL Suffix","Produkt-URL-Suffix"
"Product is not loaded","Produkt nicht geladen"
"Products","Artikel"
"Products Comparison List","Produkt-Vergleichsliste"
"Products Information","Produkt-Informationen"
"Products Reviews","Produkt-Bewertungen"
"Products only","Nur Produkte"
"Products per Page on Grid Allowed Values","Artikel pro Seite (erlaubte Werte für Gitter)"
"Products per Page on Grid Default Value","Artikel pro Seite (Standardwerte Werte für Gitter)"
"Products per Page on List Allowed Values","Artikel pro Seite (erlaubte Werte für Liste)"
"Products per Page on List Default Value","Artikel pro Seite (Standardwerte Werte für Liste)"
"Properties","Eigenschaften"
"Qty","Menge"
"Qty Increments","Anzahl erhöhen"
"Qty Uses Decimals","Menge verwendet Dezimalzahlen"
"Qty:","Menge:"
"Quantity","Menge"
"Redirect URL","Umleitungs-URL"
"Related Products","Verwandte Produkte"
"Remove","Entfernen"
"Remove Product From Websites","Produkt von Webseiten entfernen"
"Remove This Item","Diesen Artikel entfernen"
"Reorganize EAV category structure to flat structure","Neuzuordnung der EAV-Kategorie-Struktur zur Flat-Struktur"
"Reorganize EAV product structure to flat structure","Neuzuordnung der EAV-Produkt-Struktur zur Flat-Struktur"
"Reset","Zurücksetzen"
"Results","Ergebnisse"
"Reviews","Rezensionen"
"Root","Wurzel"
"SKU","Artikelnummer"
"Save","Speichern"
"Save Attribute","Attribut speichern"
"Save Search","Suche speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Scope","Geltungsbereich"
"Search","Suche"
"Search Information","Suchinformationen"
"Search Query","Weiterleitungs-URL"
"Search Weight","Gewichtung in Suche"
"Searchable","Durchsuchbar"
"See price before order confirmation.","Siehe Preis vor Auftragsbestätigung."
"Select Category...","Wähle Kategorie..."
"Select Product...","Wähle Artikel..."
"Select type options required values rows.","Typenoptionen für benötigte Wertezeilen auswählen."
"Send Count","Anzahl abschicken"
"Set Ascending Direction","Aufsteigend sortieren"
"Set Descending Direction","Absteigend sortieren"
"Settings","Einstellungen"
"Shop By","Einkaufsoptionen"
"Shopping Options","Shopping-Möglichkeiten"
"Show","Anzeigen"
"Show Details","Details anzeigen"
"Site Map","Sitemap"
"Some of the selected item options are not currently available.","Einige der ausgewählten Elementoptionen sind nicht verfügbar."
"Sort By","Sortieren nach"
"Sort Order","Sortierreihenfolge"
"Source Model","Modelquelle"
"Static","Statisch"
"Static block and products","Statischer Block und Produkte"
"Static block only","Nur statischer Block"
"Stock Availability","Lagerverfügbarkeit"
"Store","Shop"
"Stretch","Strecken"
"Subscribe to RSS Feed","RSS Feed abonnieren"
"System Properties","Systemeigenschaften"
"Tax","Steuer"
"Template","Vorlage"
"The base directory to upload file is not specified.","Das Basis-Verzeichnis für Datei-Uploads ist nicht angegeben."
"The review was removed by another user or does not exist.","Die Bewertung wurde von einem anderen User gelöscht oder existiert nicht."
"There are no customers for this alert.","Es sind keine Kunden für diese Warnung vorhanden."
"This attribute cannot be edited.","Dieses Attribut kann nicht bearbeitet werden."
"This attribute is used in configurable products.","Dieses Attribut wird in konfigurierbaren Produkten verwendet."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Dieses Attribut wird derzeit in konfigurierbaren Produkten verwendet. Sie können es nicht vom Attribut-Set entfernen."
"This attribute set no longer exists.","Dieses Attribut-Set existiert nicht mehr."
"This group contains system attributes. Please move system attributes to another group and try again.","Diese Gruppe enthält Systemattribute. Bitte verschieben Sie die Systemattribute in eine andere Gruppe und versuchen es erneut."
"This search no longer exists.","Diese Suche existiert nicht mehr."
"This setting will be applied when all prices in the specific price interval are equal.","Diese Einstellung wird angewendet, wenn alle Preise im angegebenen Preisintervall gleich sind."
"Tier Pricing","Staffelpreise"
"Tile","Kachel"
"Time Format","Zeitformat"
"Title","Titel"
"To see product price, add this item to your cart. You can always remove it later.","Um den Preis dieses Artikels zu sehen, legen Sie ihn bitte in Ihren Warenkorb. Sie können ihn später jederzeit wieder aus dem Warenkorb entfernen."
"Top/Left","Oben/Links"
"Top/Right","Oben/Rechts"
"Type","Typ"
"URL Rewrite Management","URL-Rewrite Management"
"Unassigned Attributes","Nicht zugewiesene Attribute"
"Up-sells","Up-Sells"
"Update","Aktualisieren"
"Update Attributes","Attribute aktualisieren"
"Update attributes","Attribute aktualisieren"
"Use Canonical Link Meta Tag For Categories","Canonical-Metatag für Kategorien verwenden"
"Use Canonical Link Meta Tag For Products","Canonical-Metatag für Produkte verwenden"
"Use Categories Path for Product URLs","Kategorie-Pfad für Produkt-URLs nutzen"
"Use Config Settings","Konfigurationseinstellungen verwenden"
"Use Default Value","Standardwert verwenden"
"Use Flat Catalog Category","Flache Kategorien-Tabelle nutzen"
"Use Flat Catalog Product","Flache Produkt-Tabelle nutzen"
"Use JavaScript Calendar","Javascript-Kalender verwenden"
"Use config","Konfiguration verwenden"
"Use default","Standard verwenden"
"Use for Promo Rule Conditions","Für Preisregeln verwenden"
"Use in Layered Navigation","In Filternavigation verwenden"
"Used for Sorting in Product Listing","Für die Sortierung in der Artikelliste verfügbar"
"Used in Product Listing","In Artikelliste verwendet"
"Varchar","Varchar (Zeichenfolge variabler Länge)"
"View Details","Details anzeigen"
"View as","Anzeigen als"
"Visibility","Sichtbarkeit"
"Visible","Suchbar"
"WYSIWYG Editor","WYSIWYG-Editor"
"Website","Webseite"
"Websites","Webseiten"
"What's this?","Was ist das?"
"Year Range","Jahrebereich"
"Yes","Ja"
"You have no items to compare.","Sie haben keine Artikel zum vergleichen."
"You saved the search term.","Sie haben den Suchbegriff gespeichert."
"and above","und höher"
"ex. http://domain.com","z. B. http://domain.com"
"per page","pro Seite"
"products","Artikel"
"save","Speichern"
"select all","alle auswählen"
"unselect all","Auswahl aufheben"
