"(Excl. Tax)","(ತೆರಿಗೆ ರಹಿತ)"
"Billing Information","ಬಿಲ್ಲಿಂಗ್ ಮಾಹಿತಿ"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Cancel Coupon","ಕೂಪನ್ ರದ್ದುಪಡಿಸಿ"
"Change","ಬದಲಾಯಿಸಿ"
"Change Billing Address","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ ಬದಲಿಸಿ"
"Checkout","ಚೆಕೌಟ್"
"Checkout Conditions","ಚೆಕೌಟ್ ನಿಬಂಧನೆಗಳು"
"Checkout Options","ಚೆಕೌಟ್ ಆಯ್ಕೆಗಳು"
"Checkout Terms and Conditions","ಚೆಕೌಟ್ ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳು"
"City","ನಗರ"
"Clear Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ತೆರವುಗೊಳಿಸಿ"
"Close","ಮುಚ್ಚಿರಿ"
"Company","ಸಂಸ್ಠೆ"
"Condition Name","ನಿಬಂಧನೆಗಳ ಹೆಸರು"
"Confirm Password","ಗುಪ್ತಪದವನ್ನು ಖಚಿತಪಡಿಸಿ"
"Content","ವಿಷಯ"
"Continue","ಮುಂದುವರೆಯಿರಿ"
"Continue Shopping","ಶಾಪಿಂಗ್ ಮುಂದುವರೆಸಿ"
"Country","ದೇಶ"
"Create Billing Address","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ ರಚಿಸಿ"
"Create Shipping Address","ರವಾನೆ ವಿಳಾಸ ರಚಿಸಿ"
"Customer Information","ಗ್ರಾಹಕರ ಮಾಹಿತಿ"
"Delete Condition","ನಿಬಂಧನೆಯನ್ನು ಅಳಿಸಿ"
"Details","ವಿವರಗಳು"
"Disabled","ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ"
"Display Cart Summary","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಸಾರಾಂಶವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display item quantities","ವಸ್ತುವಿನ ಪರಿಮಾಣವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display number of items in cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿನ ವಸ್ತುಗಳ ಸಂಖ್ಯೆಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Edit","ಸಂಪಾದಿಸಿ"
"Edit Address","ವಿಳಾಸವನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Billing Address","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ ಸಂಪಾದಿಸಿ"
"Edit Condition","ನಿಬಂಧನೆಯನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Items","ವಸ್ತುಗಳನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Shipping Address","ರವಾನೆ ವಿಳಾಸ ಸಂಪಾದಿಸಿ"
"Edit Terms and Conditions","ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Your Cart","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ಸಂಪಾದಿಸಿ"
"Edit item","ವಸ್ತುವನ್ನು ಸಂಪಾದಿಸಿ"
"Email Address","ಮಿಂಚೆ ವಿಳಾಸ"
"Enable Onepage Checkout","ಏಕಪುಟ ಚೆಕೌಟ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Enable Terms and Conditions","ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Enter a New Address","ಹೊಸ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ"
"Estimate Shipping and Tax","ತೆರಿಗೆ ಮತ್ತು ಸಾಗಾಣಿಕೆ ವೆಚ್ಚವನ್ನು ಅಂದಾಜಿಸಿ"
"Excl. Tax","ತೆರಿಗೆ ರಹಿತ"
"Fax","ಫ್ಯಾಕ್ಸ್"
"Forgot an Item?","ವಸ್ತುವೊಂದನ್ನು ಮರೆತಿರಾ?"
"Forgot your password?","ಗುಪ್ತಪದ ಮರೆತಿರುವಿರಾ?"
"Gift Message","ಕೊಡುಗೆ ಸಂದೇಶ"
"Grand Total:","ಒಟ್ಟು ಮೊತ್ತ:"
"Incl. Tax","ತೆರಿಗೆ ಸಹಿತ"
"Items","ವಸ್ತುಗಳು"
"Login","ಲಾಗಿನ್"
"Terms and Conditions","ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳು"
"Move","ಸರಿಸಿ"
"Move to Wishlist","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸರಿಸಿ"
"My Cart","ನನ್ನ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"My Cart Link","ನನ್ನ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಕೊಂಡಿ"
"New Address","ಹೊಸ ವಿಳಾಸ"
"New Condition","ಹೊಸ ನಿಬಂಧನೆ"
"New Terms and Conditions","ಹೊಸ ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳು"
"No Payment Methods","ಪಾವತಿ ವಿಧಾನಗಳಿಲ್ಲ"
"Order #","ವ್ಯಾಪಾರಾದೇಶ #"
"Password","ಗುಪ್ತಪದ"
"Payment Failed Email Sender","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆ ರವಾನೆದಾರ"
"Payment Failed Emails","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆಗಳು"
"Payment Information","ಪಾವತಿ ಮಾಹಿತಿ"
"Payment Method","ಪಾವತಿ ವಿಧಾನ"
"Place Order","ಖರೀದಿಸಿ"
"Price","ದರ"
"Proceed to Checkout","ಚೆಕೌಟ್ ಗೆ ಮುಂದುವರೆಯಿರಿ"
"Product","ಉತ್ಪನ್ನ"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Products","ಉತ್ಪನ್ನಗಳು"
"Qty","ಪರಿಮಾಣ"
"Qty:","ಪರಿಮಾಣ:"
"Quantity","ಪರಿಮಾಣ"
"Recently added item(s)","ಇತ್ತೀಚೆಗೆ ಸೇರಿಸಿದ ವಸ್ತು(ಗಳು)"
"Remove Item","ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Remove This Item","ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Remove item","ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Sales","ವ್ಯಾಪಾರಗಳು"
"Save Condition","ನಿಬಂಧನೆಯನ್ನು ಉಳಿಸಿ"
"Save in address book","ವಿಳಾಸಪಟ್ಟಿಯಲ್ಲಿ ಉಳಿಸಿ"
"See price before order confirmation.","ವ್ಯಾಪಾರಾದೇಶ ಖಚಿತಪಡಿಸುವ ಮುನ್ನ ಬೆಲೆಯನ್ನು ವೀಕ್ಷಿಸಿ."
"Select Address","ವಿಳಾಸವನ್ನು ಆರಿಸಿ"
"Select Addresses","ವಿಳಾಸಗಳನ್ನು ಆರಿಸಿ"
"Select Shipping Method","ರವಾನೆ ವಿಧಾನವನ್ನು ಆರಿಸಿ"
"Send Payment Failed Email Copy Method","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆಯ ನಕಲು ವಿಧಾನವನ್ನು ಕಳುಹಿಸಿ"
"Send Payment Failed Email Copy To","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆಯ ನಕಲನ್ನು ಇವರಿಗೆ ಕಳುಹಿಸಿ"
"Send To","ಇಲ್ಲಿಗೆ ಕಳುಹಿಸು"
"Separate by "","".",""","" ದಿಂದ ವಿಭಾಗಿಸಿ."
"Shipping Address","ರವಾನೆ ವಿಳಾಸ"
"Shipping Information","ರವಾನೆ ಮಾಹಿತಿ"
"Shipping Method","ಸಾಗಾಣಿಕೆ ವಿಧಾನ"
"Shipping Methods","ಸಾಗಾಣಿಕೆ ವಿಧಾನಗಳು"
"Shipping To","ಇವರಿಗೆ ರವಾನಿಸಿ"
"Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"State/Province","ರಾಜ್ಯ"
"Status","ಸ್ಥಿತಿ"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Street Address","ಬೀದಿ ವಿಳಾಸ"
"Submitting order information...","ವ್ಯಾಪಾರಾದೇಶದ ಮಾಹಿತಿಯನ್ನು ಸಲ್ಲಿಸಲಾಗುತ್ತಿದೆ..."
"Subtotal","ಉಪಮೊತ್ತ"
"Terms and Conditions Information","ನಿಬಂಧನೆನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳ ಮಾಹಿತಿ"
"Text","ಪಠ್ಯ"
"Thank you for your purchase!","ನಿಮ್ಮ ಖರೀದಿಗಾಗಿ ಧನ್ಯವಾದಗಳು!"
"The product does not exist.","ಉತ್ಪನ್ನ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"This condition no longer exists.","ಈ ನಿಯಮವು ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"Total","ಒಟ್ಟು ಮೊತ್ತ"
"Total for this address","ಈ ವಿಳಾಸಕ್ಕೆ ಒಟ್ಟು ಮೊತ್ತ"
"Unit Price","ಘಟಕದ ದರ"
"Update","ಪರಿಷ್ಕರಿಸಿ"
"Update Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಪರಿಷ್ಕರಿಸಿ"
"Update Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಪರಿಷ್ಕರಿಸಿ"
"VAT Number","VAT ಸಂಖ್ಯೆ"
"View Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ವೀಕ್ಷಿಸಿ"
"What's this?","ಇದು ಏನು?"
"You have no items in your shopping cart.","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಯಾವುದೇ ವಸ್ತುಗಳಿಲ್ಲ."
"Zip/Postal Code","ಪಿನ್ ಕೋಡ್"
"or","ಅಥವಾ"
