"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Admin","ನಿರ್ವಾಹಕ"
"Forgot Password Email Template","ಮರೆತ ಗುಪ್ತಪದ ಮಿಂಚೆಯ ಮಾದರಿ"
"General","ಸಾಮಾನ್ಯ"
"General Contact","ಸಾಮಾನ್ಯ ಸಂಪರ್ಕ"
"General Settings","ಸಾಮಾನ್ಯ ಸಂಯೋಜನೆಗಳು"
"Global","ಜಾಗತಿಕ"
"Header","ತಲೆಬರಹ"
"How many links to display at once.","ಒಮ್ಮೆಲೆ ಪ್ರದರ್ಶಿಸಲು ಎಷ್ಟು ಕೊಂಡಿಗಳು."
"Incorrect credit card expiration date.","ತಪ್ಪಾದ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಮಾನ್ಯತಾ ದಿನಾಂಕ."
"Invalid date","ಅಸಿಂಧುವಾದ ದಿನಾಂಕ"
"JavaScript Settings","JavaScript ಸಂಯೋಜನೆಗಳು"
"Layout","ವಿನ್ಯಾಸ"
"Locale","‍ಸ್ಥಳೀಯ"
"Logo Image","ಲೋಗೋ ಚಿತ್ರ"
"Mail Sending Settings","ಮಿಂಚೆ ರವಾನೆ ಸಂಯೋಜನೆಗಳು"
"Manage Stores","ಮಳಿಗೆಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Media Storage","ಮಾಧ್ಯಮ ಸಂಗ್ರಹಣೆ"
"Name","ಹೆಸರು"
"New Store","ಹೊಸ ಮಳಿಗೆ"
"New Store View","ಹೊಸ ಮಳಿಗೆ ನೋಟ"
"No","ಇಲ್ಲ"
"Pagination","ಪುಟೀಕರಣ"
"Please enter a number 0 or greater in this field.","ದಯವಿಟ್ಟು 0 ಗಿಂತ ಹೆಚ್ಚಿನ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Please enter a number 1 or greater in this field.","ದಯವಿಟ್ಟು 1 ಗಿಂತ ಹೆಚ್ಚಿನ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Please enter a number greater than 0 in this field.","ದಯವಿಟ್ಟು 0 ಗಿಂತ ಹೆಚ್ಚಿನ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Please enter a valid $ amount. For example $100.00.","ದಯವಿಟ್ಟು ಸರಿಯಾದ $ ಮೊತ್ತವನ್ನು ನಮೂದಿಸಿ. ಉದಾಹರಣೆಗೆ $100.00."
"Please enter a valid credit card number.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid credit card verification number.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಪರಿಶೀಲನಾ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid date.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ದಿನಾಂಕವನ್ನು ನಮೂದಿಸಿ."
"Please enter a valid month (1-12).","ದಯವಿಟ್ಟು ಸರಿಯಾದ ತಿಂಗಳನ್ನು ನಮೂದಿಸಿ( 1-12)."
"Please enter a valid number in this field.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ದೂರವಾಣಿ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ. ಉದಾ (123) 456-7890 ಅಥವಾ 123-456-7890."
"Please enter a valid zip code.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಪಿನ್ ಕೋಡ್ ಅನ್ನು ನಮೂದಿಸಿ."
"Please enter issue number or start date for switch/solo card type.","Switch/solo ಕಾರ್ಡ್ ವಿಧಕ್ಕಾಗಿ ದಯವಿಟ್ಟು ವಿವಾದಾಂಶ ಸಂಖ್ಯೆ ಅಥವಾ ಪ್ರಾರಂಭದ ದಿನಾಂಕವನ್ನು ನಮೂದಿಸಿ."
"Please make sure your passwords match.","ದಯವಿಟ್ಟು ನಿಮ್ಮ ಗುಪ್ತಪದಗಳು ಹೊಂದುವಂತೆ ನೋಡಿಕೊಳ್ಳಿ."
"Please select State/Province.","ದಯವಿಟ್ಟು ರಾಜ್ಯ ವನ್ನು ಆರಿಸಿಕೊಳ್ಳಿ."
"Please select an option.","ದಯವಿಟ್ಟು ಒಂದು ಆಯ್ಕೆಯನ್ನು ಆರಿಸಿ."
"Please select one of the options.","ದಯವಿಟ್ಟು ಈ ಆಯ್ಕೆಗಳಲ್ಲಿ ಒಂದನ್ನು ಆಯ್ಕೆ ಮಾಡಿ."
"Please use letters only (a-z or A-Z) in this field.","ದಯವಿಟ್ಟು ಅಕ್ಷರ (a-z or A-Z) ಗಳನ್ನು ಮಾತ್ರ ಈ ವಲಯದೊಳಗೆ ಬಳಸಿ."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","ದಯವಿಟ್ಟು ಈ ದಿನಾಂಕದ ಮಾದರಿಯನ್ನು ಬಳಸಿ: dd/mm/yyyy. ಉದಾಹರಣೆಗೆ 17ನೇ ಮಾರ್ಚ್, 2006 ಗೆ 17/03/2006."
"Root Category","ಮೂಲ ವಿಭಾಗ"
"Sales Representative","ಮಾರಾಟ ಪ್ರತಿನಿಧಿ"
"Save","ಉಳಿಸಿ"
"Save Store","ಮಳಿಗೆ ಉಳಿಸಿ"
"Save Store View","ಮಳಿಗೆ ನೋಟ ಉಳಿಸಿ"
"Security","ಸುರಕ್ಷತೆ"
"Select Date","ದಿನಾಂಕ ಆರಿಸಿ"
"Sender Email","ರವಾನೆದಾರರ ಮಿಂಚೆ"
"Sender Name","ರವಾನೆದಾರರ ಹೆಸರು"
"Services","ಸೇವೆಗಳು"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Status","ಸ್ಥಿತಿ"
"Store","ಮಳಿಗೆ"
"Store Email Addresses","ಮಳಿಗೆ ಮಿಂಚೆ ವಿಳಾಸಗಳು"
"Store Hours of Operation","ಮಳಿಗೆ ಕಾರ್ಯಾಚರಣೆಯ ಸಮಯ"
"Store Information","ಮಳಿಗೆ ಮಾಹಿತಿ"
"Store Name","ಮಳಿಗೆ ಹೆಸರು"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Store View Information","ಮಳಿಗೆ ನೋಟದ ಮಾಹಿತಿ"
"Store view doesn't exist","ಮಳಿಗೆ ನೋಟ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ"
"System","ವ್ಯವಸ್ಥೆ"
"Template Settings","ಮಾದರಿಯ ಸಂಯೋಜನೆಗಳು"
"The store does not exist","ಮಳಿಗೆ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ"
"The value is not within the specified range.","ನಮೂದು ಸೂಚಿಸಿದ ವ್ಯಾಪ್ತಿಯೊಳಗಿಲ್ಲ."
"The website does not exist.","ಜಾಲತಾಣ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"Themes","ಥೀಮ್‌ಗಳು"
"This is a required field.","ಇದು ಅಗತ್ಯವಿರುವ ವಲಯ."
"This store cannot be deleted.","ಈ ಮಳಿಗೆಯನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"This website cannot be deleted.","ಈ ಜಾಲತಾಣವನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"Timezone","ಸಮಯದ ವಲಯ"
"Transactional Emails","ವ್ಯಾವಹಾರಿಕ ಮಿಂಚೆಗಳು"
"Translations","ಅನುವಾದಗಳು"
"Url Options","Url ಆಯ್ಕೆಗಳು"
"None","ಯಾವುದೂ ಇಲ್ಲ"
"Use Secure URLs in Admin","ಅಡ್ಮಿನ್ನಲ್ಲಿ ಸುರಕ್ಷಿತ URLಗಳನ್ನು ಬಳಸಿ"
"VAT Number","VAT ಸಂಖ್ಯೆ"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT ಪರಿಶೀಲಿಸಿ"
"Validate HTTP_VIA","HTTP_VIA ಪರಿಶೀಲಿಸಿ"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR ಪರಿಶೀಲಿಸಿ"
"Validate REMOTE_ADDR","REMOTE_ADDR ಪರಿಶೀಲಿಸಿ"
"Web","ಜಾಲತಾಣ"
"Website","ಜಾಲ ತಾಣ"
"Weekend Days","ವಾರಾಂತ್ಯದ ದಿನಗಳು"
"Welcome Text","ಸ್ವಾಗತ ಪಠ್ಯ"
"Yes","ಹೌದು"
