"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"Deleted Stores","ಅಳಿಸಿದ ಮಳಿಗೆಗಳು"
"Details","ವಿವರಗಳು"
"Disabled","ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ"
"Edit","ಸಂಪಾದಿಸಿ"
"Edit Account Information","ಖಾತೆಯ ಮಾಹಿತಿಯನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Address","ವಿಳಾಸವನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Customer Groups","ಗ್ರಾಹಕರ ಗುಂಪನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Group","ಗುಂಪನ್ನು ಸಂಪಾದಿಸಿ"
"Email","ಮಿಂಚೆ"
"Email Address","ಮಿಂಚೆ ವಿಳಾಸ"
"Email Sender","ಮಿಂಚೆ ರವಾನೆದಾರ"
"Email:","ಮಿಂಚೆ:"
"Fax","ಫ್ಯಾಕ್ಸ್"
"First Name","ಮೊದಲ ಹೆಸರು"
"Forgot Email Template","ಮರೆತ ಮಿಂಚೆಯ ಮಾದರಿ"
"Forgot Password","ಗುಪ್ತಪದ ಮರೆತಿರುವಿರಾ"
"Forgot Your Password?","ಗುಪ್ತಪದ ಮರೆತಿರುವಿರಾ?"
"Gender","ಲಿಂಗ"
"General Subscription","ಸಾಮಾನ್ಯ ಚಂದಾದಾರಿಕೆ"
"Global","ಜಾಗತಿಕ"
"Group","ಗುಂಪು"
"Group Information","ಗುಂಪಿನ ಮಾಹಿತಿ"
"Group Name","ಗುಂಪಿನ ಹೆಸರು"
"Guest","ಅತಿಥಿ"
"IP Address","IP ವಿಳಾಸ"
"Invalid login or password.","ಅಸಿಂಧುವಾದ ಲಾಗಿನ್ ಅಥವಾ ಗುಪ್ತಪದ."
"Last Activity","ಕೊನೆಯ ಚಟುವಟಿಕೆ"
"Last Date Subscribed","ಚಂದಾದಾರರಾದ ಕೊನೆಯ ದಿನಾಂಕ"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Lifetime Sales","ಆಜೀವ ಪರ್ಯಂತ ಮಾರಾಟ"
"Login","ಲಾಗಿನ್"
"Login Options","ಲಾಗಿನ ಆಯ್ಕೆಗಳು"
"Manage Addresses","ವಿಳಾಸಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Manage Customers","ಗ್ರಾಹಕರನ್ನು ನಿರ್ವಹಿಸಿ"
"Month","ತಿಂಗಳು"
"My Account","ನನ್ನ ಖಾತೆ"
"My Orders","ನನ್ನ ವ್ಯಾಪಾರಾದೇಶಗಳು"
"Name","ಹೆಸರು"
"Name and Address Options","ಹೆಸರು ಮತ್ತು ವಿಳಾಸದ ಆಯ್ಕೆಗಳು"
"Never","ಎಂದಿಗೂ ಇಲ್ಲ"
"New Address","ಹೊಸ ವಿಳಾಸ"
"New Customer","ಹೊಸ ಗ್ರಾಹಕರು"
"New Customer Group","ಹೊಸ ಗ್ರಾಹಕರ ಗುಂಪು"
"New Customer Groups","ಹೊಸ ಗ್ರಾಹಕರ ಗುಂಪುಗಳು"
"New Customers","ಹೊಸ ಗ್ರಾಹಕರು"
"New Group","ಹೊಸ ಗುಂಪು"
"New Password","ಹೊಸ ಗುಪ್ತಪದ"
"Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆ"
"Newsletter Information","ಸುದ್ದಿಪತ್ರಿಕೆ ಮಾಹಿತಿ"
"Newsletter Subscription","ಸುದ್ದಿಪತ್ರಿಕೆ ಚಂದಾದಾರಿಕೆ"
"Newsletters","ಸುದ್ದಿಪತ್ರಿಕೆಗಳು"
"No Items Found","ಯಾವುದೇ ವಸ್ತುಗಳು ಕಂಡುಬಂದಿಲ್ಲ"
"No Newsletter Found","ಯಾವುದೇ ಸುದ್ದಿಪತ್ರಿಕೆ ಕಂಡುಬಂದಿಲ್ಲ"
"No item specified.","ಯಾವುದೆ ವಸ್ತುಗಳನ್ನು ಸೂಚಿಸಲಾಗಿಲ್ಲ."
"Not Sent","ರವಾನೆಯಾಗದ"
"Offline","ಆಫ್‍ಲೈನ್"
"Online","ಆನ್ ಲೈನ್"
"Online Customers","ಆನ್‍‍‍‍‍‍ಲೈನ್ ಗ್ರಾಹಕರು"
"Online Customers Options","ಆನ್‍ಲೈನ್ ಗ್ರಾಹಕರ ಆಯ್ಕೆಗಳು"
"Order #","ವ್ಯಾಪಾರಾದೇಶ #"
"Order Total","ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Orders","ವ್ಯಾಪಾರಾದೇಶಗಳು"
"Password","ಗುಪ್ತಪದ"
"Password Options","ಗುಪ್ತಪದದ ಆಯ್ಕೆಗಳು"
"Password forgotten","ಮರೆತ ಗುಪ್ತಪದ"
"Password:","ಗುಪ್ತಪದ:"
"Paused","ವಿರಮಿಸಿದೆ"
"Pending","ಬಾಕಿ ಇರುವ"
"Per Website","ಪ್ರತಿ ಜಾಲತಾಣಕ್ಕೆ"
"Personal Information","ವೈಯಕ್ತಿಕ ಮಾಹಿತಿ"
"Please enter a number 1 or greater in this field.","ದಯವಿಟ್ಟು 1 ಗಿಂತ ಹೆಚ್ಚಿನ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Please enter the city.","ದಯವಿಟ್ಟು ನಗರವನ್ನು ನಮೂದಿಸಿ."
"Please enter the country.","ದಯವಿಟ್ಟು ದೇಶವನ್ನು ನಮೂದಿಸಿ."
"Please enter the first name.","ದಯವಿಟ್ಟು ಮೊದಲ ಹೆಸರನ್ನು ನಮೂದಿಸಿ."
"Please enter the last name.","ದಯವಿಟ್ಟು ಕೊನೆಯ ಹೆಸರನ್ನು ನಮೂದಿಸಿ."
"Please enter the state/province.","ದಯವಿಟ್ಟು ರಾಜ್ಯವನ್ನು ನಮೂದಿಸಿ."
"Please enter the street.","ದಯವಿಟ್ಟು ಬೀದಿಯನ್ನು ನಮೂದಿಸಿ."
"Please enter your email.","ದಯವಿಟ್ಟು ನಿಮ್ಮ ಮಿಂಚೆಯನ್ನು ನಮೂದಿಸಿ."
"Please make sure your passwords match.","ದಯವಿಟ್ಟು ನಿಮ್ಮ ಗುಪ್ತಪದಗಳು ಹೊಂದುವಂತೆ ನೋಡಿಕೊಳ್ಳಿ."
"Price","ದರ"
"Product","ಉತ್ಪನ್ನ"
"Product ID","ಉತ್ಪನ್ನ ID"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Product Reviews","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳು"
"Qty","ಪರಿಮಾಣ"
"Refunded","ಮರುಪಾವತಿಸಿದ"
"Registered Customers","ನೋಂದಾಯಿತ ಗ್ರಾಹಕರು"
"Remind Email Template","ನೆನಪೋಲೆ ಮಿಂಚೆಯ ಮಾದರಿ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Require Emails Confirmation","ಮಿಂಚೆಗಳ ದೃಢೀಕರಣ ಅಗತ್ಯವಿದೆ"
"Reset a Password","ಗುಪ್ತಪದವನ್ನು ಮರುಹೊಂದಿಸಿ"
"Sales Statistics","ಮಾರಾಟದ ಅಂಕಿಅಂಶಗಳು"
"Save","ಉಳಿಸಿ"
"Save Address","ವಿಳಾಸವನ್ನು ಉಳಿಸಿ"
"Save Customer","ಗ್ರಾಹಕರನ್ನು ಉಳಿಸಿ"
"Save Customer Group","ಗ್ರಾಹಕರ ಗುಂಪು ಉಳಿಸಿ"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Send confirmation link","ದೃಢೀಕರಣದ ಕೊಂಡಿಯನ್ನು ಕಳುಹಿಸಿ"
"Sending","ರವಾನಿಸುತ್ತಿದೆ"
"Sent","ಕಳುಹಿಸಲಾಗಿದೆ"
"Share Customer Accounts","ಗ್ರಾಹಕರ ಖಾತೆಗಳನ್ನು ಹಂಚಿಕೊಳ್ಳಿ"
"Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"Show Date of Birth","ಜನ್ಮ ದಿನಾಂಕ ಪ್ರದರ್ಶಿಸಿ"
"Show Gender","ಲಿಂಗ ಪ್ರದರ್ಶಿಸಿ"
"Show Middle Name (initial)","ಮಧ್ಯದ ಹೆಸರು (ಇನಿಷಿಯಲ್ಲು) ಅನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Show Prefix","ಪೂರ್ವಪ್ರತ್ಯಯ ಪ್ರದರ್ಶಿಸಿ"
"Show Suffix","ಅಂತ್ಯಪ್ರತ್ಯಯ ಪ್ರದರ್ಶಿಸಿ"
"Show Tax/VAT Number","Tax/VAT ಸಂಖ್ಯೆ ಪ್ರದರ್ಶಿಸಿ"
"Sign Up for Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆಗಾಗಿ ಚಂದಾದಾರಾಗಿ"
"State/Province","ರಾಜ್ಯ"
"Status","ಸ್ಥಿತಿ"
"Store","ಮಳಿಗೆ"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Street Address","ಬೀದಿ ವಿಳಾಸ"
"Subject","ವಿಷಯ"
"Submit","ಸಲ್ಲಿಸಿ"
"Subscribe to Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆಗೆ ಚಂದಾದಾರರಾಗಿ"
"Tax Class","ತೆರಿಗೆ ವರ್ಗ"
"Text","ಪಠ್ಯ"
"The customer does not have default billing address.","ಗ್ರಾಹಕರು ಪೂರ್ವನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸವನ್ನು ಹೊಂದಿಲ್ಲ."
"The title that goes before name (Mr., Mrs., etc.)","ಹೆಸರಿನ ಮುಂದೆ ಅಳವಡಿಸಲು ಶಿರೋನಾಮೆ (Mr., Mrs., etc.)"
"This email does not require confirmation.","ಈ ಮಿಂಚೆಗೆ ದೃಢೀಕರಣದ ಅಗತ್ಯವಿಲ್ಲ."
"Total","ಒಟ್ಟು ಮೊತ್ತ"
"Type","ವಿಧ"
"Unknown","ಅಜ್ಞಾತ"
"Unsubscribe from Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆಯ ಚಂದಾದಾರಿಕೆಯಿಂದ ಹೊರಬನ್ನಿ"
"Update","ಪರಿಷ್ಕರಿಸಿ"
"Use as my default billing address","ನನ್ನ ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸದಂತೆ ಬಳಸಿ"
"Use as my default shipping address","ನನ್ನ ನಿಯೋಜಿತ ರವಾನೆ ವಿಳಾಸದಂತೆ ಬಳಸಿ"
"VAT Number","VAT ಸಂಖ್ಯೆ"
"Validate VAT Number","VAT ಸಂಖ್ಯೆ ಪರಿಶೀಲಿಸಿ"
"Validate on Each Transaction","ಪ್ರತಿ ವ್ಯವಹಾರವನ್ನೂ ಸಮ್ಮತಿಸಿ"
"View","ನೋಟ"
"View Order","ವ್ಯಾಪಾರಾದೇಶ ವೀಕ್ಷಿಸಿ"
"Visitor","ಸಂದರ್ಶಕರು"
"Website","ಜಾಲ ತಾಣ"
"Welcome Email","ಸ್ವಾಗತ ಮಿಂಚೆ"
"Wishlist","ಇಚ್ಛಾಪಟ್ಟಿ"
"Wrong email.","ತಪ್ಪಾದ ಮಿಂಚೆ."
"Year","ವರ್ಷ"
"You have no default billing address in your address book.","ನಿಮ್ಮ ವಿಳಾಸಪಟ್ಟಿಯಲ್ಲಿ ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸವನ್ನು ಹೊಂದಿಲ್ಲ."
"You have no default shipping address in your address book.","ನಿಮ್ಮ ವಿಳಾಸಪಟ್ಟಿಯಲ್ಲಿ ನಿಯೋಜಿತ ರವಾನೆ ವಿಳಾಸವನ್ನು ಹೊಂದಿಲ್ಲ."
"You have not set a default billing address.","ನೀವು ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸವನ್ನು ಅಳವಡಿಸಿಲ್ಲ."
"You have not set a default shipping address.","ನೀವು ನಿಯೋಜಿತ ರವಾನೆ ವಿಳಾಸವನ್ನು ಅಳವಡಿಸಿಲ್ಲ."
"You will be charged tax.","ನೀವು ತೆರಿಗೆ ಪಾವತಿಸಬೇಕಾತ್ತದೆ."
"You will not be charged tax.","ನೀವು ತೆರಿಗೆ ಪಾವತಿಸಬೇಕಾಗಿಲ್ಲ."
"Your Tax ID cannot be validated.","ನಿಮ್ಮ Tax ID ಯನ್ನು ಪರಿಶೀಲಿಸಲಾಗುವುದಿಲ್ಲ."
"ZIP","ಪಿನ್ ಕೋಡ್"
"ZIP/Post Code","ಪಿನ್ ಕೋಡ್"
"Zip/Postal Code","ಪಿನ್ ಕೋಡ್"
"or","ಅಥವಾ"
