"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"Empty","ಖಾಲಿ"
"Enable Qty Increments","ಪರಿಮಾಣ ಏರಿಕೆಗಳನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Exclude","ಹೊರತುಪಡಿಸಿ"
"Expand All","ಎಲ್ಲವನ್ನು ವಿಸ್ತರಿಸಿ"
"Failed","ವಿಫಲಗೊಂಡಿದೆ"
"Filter","ಶೋಧಕ"
"First Name","ಮೊದಲ ಹೆಸರು"
"Fixed","ಸ್ಥಿರ"
"Gallery","ಚಿತ್ರಾಂಕಣ"
"General Information","ಸಾಮಾನ್ಯ ಮಾಹಿತಿ"
"Global","ಜಾಗತಿಕ"
"Go to Home Page","ಮುಖಪುಟಕ್ಕೆ ತೆರಳಿ"
"Grid","ಗ್ರಿಡ್"
"Groups","ಗುಂಪುಗಳು"
"Home","ಮುಖಪುಟ"
"Image","ಚಿತ್ರ"
"In Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ"
"In Stock","ದಾಸ್ತಾನಿನಲ್ಲಿದೆ"
"In stock","ದಾಸ್ತಾನಿನಲ್ಲಿದೆ"
"Incl. Tax","ತೆರಿಗೆ ಸಹಿತ"
"Input Type","ಇನ್ಪುಟ್ ವಿಧ"
"Inventory","ದಾಸ್ತಾನುಪಟ್ಟಿ"
"Is Default","ಪೂರ್ವನಿಯೋಜಿತ"
"Is Required","ಅಗತ್ಯವಿದೆ"
"Label","ಲೇಬಲ್"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Learn More","ಹೆಚ್ಚು ತಿಳಿಯಿರಿ"
"Link to a Specified Product","ಸೂಚಿಸಿದ ಉತ್ಪನ್ನಕ್ಕೆ ಕೊಂಡಿ"
"List","ಪಟ್ಟಿ"
"List Mode","ಪಟ್ಟಿ ಕ್ರಮ"
"List of Products that are set as New","ಹೊಸತೆಂದು ಪರಿಗಣಿಸಲಾದ ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ"
"Manage Stock","ದಾಸ್ತಾನು ನಿರ್ವಹಿಸಿ"
"Max Characters","ಗರಿಷ್ಟ ಅಕ್ಷರಗಳು"
"Maximal Depth","ಗರಿಷ್ಟ ಆಳ"
"Maximum Image Size","ಗರಿಷ್ಟ ಚಿತ್ರದ ಗಾತ್ರ"
"Maximum Qty Allowed in Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಅಂಗೀಕರಿಸಲಾಗುವ ಗರಿಷ್ಟ ಪರಿಮಾಣ"
"Maximum image height","ಗರಿಷ್ಟ ಚಿತ್ರದ ಎತ್ತರ"
"Maximum image width","ಗರಿಷ್ಟ ಚಿತ್ರದ ಅಗಲ"
"Maximum number of characters:","ಅಕ್ಷರಗಳ ಗರಿಷ್ಟ ಸಂಖ್ಯೆ:"
"Media Image","ಮಾಧ್ಯಮದ ಚಿತ್ರ"
"Minimum Qty Allowed in Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಅಂಗೀಕರಿಸಲಾಗುವ ಕನಿಷ್ಟ ಪರಿಮಾಣ"
"Move","ಸರಿಸಿ"
"Must be in the allowed values list.","ಅನುಮತಿಸಿದ ನಮೂದುಗಳ ಪಟ್ಟಿಯಲ್ಲಿರಲೇಬೇಕು."
"My Account","ನನ್ನ ಖಾತೆ"
"Name","ಹೆಸರು"
"New Product","ಹೊಸ ಉತ್ಪನ್ನ"
"New Product Attribute","ಹೊಸ ಉತ್ಪನ್ನದ ಗುಣವಿಶೇಷ"
"New Products","ಹೊಸ ಉತ್ಪನ್ನಗಳು"
"New Products Grid Template","ಹೊಸ ಉತ್ಪನ್ನಗಳ ಗ್ರಿಡ್ ಮಾದರಿ"
"New Products List Template","ಹೊಸ ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ ಮಾದರಿ"
"New Search","ಹೊಸ ಹುಡುಕಾಟ"
"New products","ಹೊಸ ಉತ್ಪನ್ನಗಳು"
"Next","ಮುಂದೆ"
"No","ಇಲ್ಲ"
"No image","ಚಿತ್ರವಿಲ್ಲ"
"None","ಯಾವುದೂ ಇಲ್ಲ"
"Number of Products per Page","ಪ್ರತಿ ಪುಟಕ್ಕೆ ಉತ್ಪನ್ನಗಳ ಸಂಖ್ಯೆ"
"Number of Products to Display","ಪ್ರದರ್ಶಿಸಲು ಉತ್ಪನ್ನಗಳ ಸಂಖ್ಯೆ"
"Number of Uses","ಬಳಸಿದ ಸಂಖ್ಯೆ"
"Number of results","ಫಲಿತಾಂಶಗಳ ಸಂಖ್ಯೆ"
"OK","ಓಕೆ"
"Options","ಆಯ್ಕೆಗಳು"
"Out of Stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Out of stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"PM","ಅಪರಾಹ್ನ"
"Page Title Separator","ಪುಟದ ಶೀರ್ಷಿಕೆ ವಿಭಜಕ"
"Parent Category","ಮಾತೃ ವಿಭಾಗ"
"Pending","ಬಾಕಿ ಇರುವ"
"Please add rows to option.","ದಯವಿಟ್ಟು ಆಯ್ಕೆಗೆ ಸಾಲುಗಳನ್ನು ಸೇರಿಸಿ."
"Please specify the quantity of product(s).","ದಯವಿಟ್ಟು ಉತ್ಪನ್ನದ(ಗಳ) ಪರಿಮಾಣವನ್ನು ಸೂಚಿಸಿ."
"Please wait...","ದಯವಿಟ್ಟು ಕಾಯಿರಿ..."
"Position","ಸ್ಥಾನ"
"Prev","ಹಿಂದಿನ"
"Previous","ಹಿಂದಿನ"
"Price","ದರ"
"Price Type","ದರದ ವಿಧ"
"Price:","ದರ:"
"Print This Page","ಈ ಪುಟವನ್ನು ಮುದ್ರಿಸಿ"
"Product","ಉತ್ಪನ್ನ"
"Product Alerts","ಉತ್ಪನ್ನದ ಎಚ್ಚರಿಕೆಗಳು"
"Product Attribute","ಉತ್ಪನ್ನದ ಗುಣವಿಶೇಷ"
"Product Attributes","ಉತ್ಪನ್ನದ ಗುಣವಿಶೇಷಗಳು"
"Product Categories","ಉತ್ಪನ್ನದ ವಿಭಾಗಗಳು"
"Product ID","ಉತ್ಪನ್ನ ID"
"Product Image Placeholders","ಉತ್ಪನ್ನದ ಚಿತ್ರದ ಸ್ಠಳತುಂಬಿಕೆಗಳು"
"Product Image Watermarks","ಉತ್ಪನ್ನದ ಚಿತ್ರದ ನೀರ್ಕಲೆಗಳು"
"Product In Websites","ಜಾಲತಾಣಗಳಲ್ಲಿನ ಉತ್ಪನ್ನ"
"Product Listing Sort by","ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿ ವಿಂಗಡಣಾ ಕ್ರಮ"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Product Reviews","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳು"
"Product URL Suffix","ಉತ್ಪನ್ನ URL ಪ್ರತ್ಯಯ"
"Products","ಉತ್ಪನ್ನಗಳು"
"Products Comparison List","ಉತ್ಪನ್ನಗಳ ಹೋಲಿಕೆ ಪಟ್ಟಿ"
"Products Information","ಉತ್ಪನ್ನಗಳ ಮಾಹಿತಿ"
"Products Reviews","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳು"
"Products only","ಉತ್ಪನ್ನಗಳು ಮಾತ್ರ"
"Properties","ಗುಣಲಕ್ಷಣಗಳು"
"Qty","ಪರಿಮಾಣ"
"Qty Increments","ಪರಿಮಾಣ ಏರಿಕೆಗಳು"
"Qty Uses Decimals","ಪರಿಮಾಣವು ದಶಮಾಂಶವನ್ನು ಬಳಸುತ್ತದೆ"
"Qty:","ಪರಿಮಾಣ:"
"Quantity","ಪರಿಮಾಣ"
"Redirect URL","URL ಮರುನಿರ್ದೇಶಿಸಿ"
"Related Products","ಸಂಬಂಧಿತ ಉತ್ಪನ್ನಗಳು"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Remove Product From Websites","ಜಾಲತಾಣದಿಂದ ಉತ್ಪನ್ನವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Remove This Item","ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Reset","ಮರುಹೊಂದಿಸಿ"
"Results","ಫಲಿತಾಂಶಗಳು"
"Reviews","ವಿಮರ್ಶೆಗಳು"
"Root","ಮೂಲ"
"Save","ಉಳಿಸಿ"
"Save Attribute","ಗುಣವಿಶೇಷವನ್ನು ಉಳಿಸಿ"
"Save Search","ಹುಡುಕಾಟ ಉಳಿಸಿ"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Scope","ವ್ಯಾಪ್ತಿ"
"Search","ಹುಡುಕಿ"
"Search Information","ಹುಡುಕಾಟದ ಮಾಹಿತಿ"
"Search Weight","ಹುಡುಕಾಟದ ತೂಕ"
"Searchable","ಹುಡುಕಬಹುದಾದ"
"See price before order confirmation.","ವ್ಯಾಪಾರಾದೇಶ ಖಚಿತಪಡಿಸುವ ಮುನ್ನ ಬೆಲೆಯನ್ನು ವೀಕ್ಷಿಸಿ."
"Select Category...","ವಿಭಾಗವನ್ನು ಆರಿಸಿ..."
"Select Product...","ಉತ್ಪನ್ನವನ್ನು ಆರಿಸಿ..."
"Settings","ಸಂಯೋಜನೆಗಳು"
"Shop By","ಇದರಂತೆ ಖರೀದಿಸಿ"
"Shopping Options","ಶಾಪಿಂಗ್ ಆಯ್ಕೆಗಳು"
"Show","ಪ್ರದರ್ಶಿಸಿ"
"Show Details","ವಿವರಗಳನ್ನು ತೋರಿಸಿ"
"Some of the selected item options are not currently available.","ಆರಿಸಿದ ವಸ್ತುವಿನ ಕೆಲವು ಆಯ್ಕೆಗಳು ಸಧ್ಯಕ್ಕೆ ಲಭ್ಯವಿಲ್ಲ."
"Sort By","ಇದರಂತೆ ವಿಂಗಡಿಸಿ"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Static","ಸ್ಥಿರ"
"Status","ಸ್ಥಿತಿ"
"Stock Availability","ಉತ್ಪನ್ನದ ಲಭ್ಯತೆ"
"Store","ಮಳಿಗೆ"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Stretch","ಎಳೆಯಿರಿ"
"Subscribe to RSS Feed","RSS Feed ಗಳಿಗೆ ಚಂದಾದಾರರಾಗಿ"
"Tax","ತೆರಿಗೆ"
"Template","ಮಾದರಿ"
"Text","ಪಠ್ಯ"
"This attribute cannot be edited.","ಈ ಗುಣವಿಶೇಷವನ್ನು ಸಂಪಾದಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"Time Format","ಸಮಯದ ಮಾದರಿ"
"Title","ಶೀರ್ಷಿಕೆ"
"Top/Left","ಮೇಲೆ/ಎಡ"
"Top/Right","ಮೇಲೆ/ಬಲ"
"Type","ವಿಧ"
"Update","ಪರಿಷ್ಕರಿಸಿ"
"Update Attributes","ಗುಣವಿಶೇಷವನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Update attributes","ಗುಣವಿಶೇಷಗಳನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Use Categories Path for Product URLs","ಉತ್ಪನ್ನ URL ಗಳಿಗೆ ವಿಭಾಗದ ಪಥವನ್ನು ಬಳಸಿ"
"Use Default Value","ನಿಯೋಜಿತ ನಮೂದನ್ನು ಬಳಸಿ"
"Use JavaScript Calendar","JavaScript ಕ್ಯಾಲೆಂಡರನ್ನು ಬಳಸಿ"
"Use default","ನಿಯೋಜಿತವಾದುದನ್ನು ಬಳಸಿ"
"View Details","ವಿವರಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"View as","ಇದರಂತೆ ವೀಕ್ಷಿಸಿ"
"Visibility","ಗೋಚರತೆ"
"Visible","ಗೋಚರಿಸುತ್ತಿರುವ"
"WYSIWYG Editor","WYSIWYG ಸಂಪಾದಕ"
"Website","ಜಾಲ ತಾಣ"
"Websites","ಜಾಲ ತಾಣಗಳು"
"What's this?","ಇದು ಏನು?"
"Year Range","ವರ್ಷದ ವ್ಯಾಪ್ತಿ"
"Yes","ಹೌದು"
"You have no items to compare.","ಹೋಲಿಸಲು ನಿಮ್ಮಲ್ಲಿ ಯಾವುದೇ ವಸ್ತುಗಳಿಲ್ಲ."
"and above","ಮತ್ತು ಮೇಲೆ"
"ex. http://domain.com","ಉದಾ: http://domain.com"
"per page","ಪ್ರತಿ ಪುಟಕ್ಕೆ"
"products","ಉತ್ಪನ್ನಗಳು"
"save","ಉಳಿಸಿ"
"select all","ಎಲ್ಲವನ್ನೂ ಆರಿಸು"
