"* Required Fields","* જરૂરી માહિતી"
"The VAT ID is valid. The current Customer Group will be used.","VAT ID માન્ય છે. વર્તમાન ગ્રાહક જૂથનો ઉપયોગ કરવામાં આવશે."
"The customer does not have default billing address.","ગ્રાહક પાસે ડિફોલ્ટ બિલિંગ સરનામું નથી."
"The suffix that goes after name (Jr., Sr., etc.)","ઉપસર્ગ જે નામ પછી જાય છે (જુનિયર, અધ્યક્ષ, વગેરે)"
"The title that goes before name (Mr., Mrs., etc.)","નામ જે પહેલાં જાય છે (શ્રી, શ્રીમતી, વગેરે)"
"This email does not require confirmation.","આ ઇમેઇલને પુષ્ટિની જરૂર નથી."
"Total","
                    કુલ
                "
"Type","લખો"
"Unknown","અજ્ઞાત"
"Unsubscribe from Newsletter","ન્યૂઝલેટરમાંથી અનસબ્સ્ક્રાઇબ કરો"
"Update","સુધારો"
"Use as my default billing address","મારા ડિફૉલ્ટ બિલિંગ સરનામાં તરીકે ઉપયોગ કરો"
"Use as my default shipping address","મારા ડિફૉલ્ટ શિપિંગ સરનામાં તરીકે ઉપયોગ કરો"
"VAT Number","વેટ નંબર"
"VAT Request Date","વેટ વિનંતી તારીખ"
"VAT Request Identifier","વેટ વિનંતી ઓળખકર્તા"
"Validate VAT Number","VAT નંબર માન્ય કરો"
"Validate on Each Transaction","દરેક ટ્રાંઝેક્શન પર માન્ય કરો"
"Validation Error Group","માન્યતા ભૂલ જૂથ"
"View","જુઓ"
"View Order","ઑર્ડર જુઓ"
"Visitor","મુલાકાતી"
"Website","વેબસાઇટ"
"Welcome Email","સ્વાગત ઇમેઇલ"
"Would you like to change the Customer Group for this order?","શું તમે આ ઑર્ડર માટે ગ્રાહક જૂથને બદલવાનું પસંદ કરશો?"
"Wrong email.","ખોટો ઇમેઇલ."
"Year","વર્ષ"
"You have no default billing address in your address book.","તમારી સરનામાં પુસ્તિકામાં તમારી પાસે કોઈ ડિફોલ્ટ બિલિંગ સરનામું નથી."
"You have no default shipping address in your address book.","તમારી સરનામાં પુસ્તિકામાં તમારી પાસે કોઈ ડિફોલ્ટ શિપિંગ સરનામું નથી."
"You have not set a default billing address.","તમે ડિફૉલ્ટ બિલિંગ સરનામું સેટ કર્યું નથી."
"You have not set a default shipping address.","તમે ડિફોલ્ટ શિપિંગ સરનામું સેટ કર્યું નથી."
"You will be charged tax.","તમને કર લેવામાં આવશે."
"You will not be charged tax.","તમને કર લેવામાં આવશે નહીં."
"Your Tax ID cannot be validated.","તમારી કર ID માન્ય કરી શકાતી નથી."
"Your VAT ID was successfully validated.","તમારી VAT ID સફળતાપૂર્વક માન્ય થઈ."
"ZIP","ઝીપ"
"ZIP/Post Code","ઝીપ / પોસ્ટ કોડ"
"Zip/Postal Code","ઝીપ / પોસ્ટલ કોડ"
"or","અથવા"
