"* Required Fields","* જરૂરી માહિતી"
"Reorganize EAV category structure to flat structure","EAV કેટેગરી સ્ટ્રક્ચરને ફ્લેટ સ્ટ્રક્ચરમાં ફરીથી ગોઠવો"
"Reorganize EAV product structure to flat structure","ઇએવી ઉત્પાદન સ્ટ્રક્ચરને ફ્લેટ સ્ટ્રક્ચરમાં ફરીથી ગોઠવો"
"Reset","ફરીથી સેટ કરો"
"Results","પરિણામો"
"Root","રુટ"
"SKU","એસકેયુ"
"Save","
                    સાચવો
                "
"Save Attribute","એટ્રિબ્યુટ સાચવો"
"Save and Continue Edit","સાચવો અને સંપાદિત કરવાનું ચાલુ રાખો"
"Scope","અવકાશ"
"Search","શોધો"
"Search Query","શોધ પૂછપરછ"
"Searchable","શોધી શકાય તેવું"
"See price before order confirmation.","ઓર્ડર પુષ્ટિ પહેલાં ભાવ જુઓ."
"Select Category...","કેટેગરી પસંદ કરો ..."
"Select Product...","ઉત્પાદન પસંદ કરો ..."
"Select type options required values rows.","આવશ્યક વિકલ્પો પંક્તિઓનાં પ્રકારનાં વિકલ્પો પસંદ કરો."
"Send Count","કાઉન્ટ મોકલો"
"Set Ascending Direction","ચડતા દિશા સેટ કરો"
"Set Descending Direction","ડિસેન્ડિંગ ડિરેક્શન સેટ કરો"
"Settings","સેટિંગ્સ"
"Shop By","દ્વારા ખરીદી"
"Shopping Options","ખરીદી વિકલ્પો"
"Show","બતાવો"
"Some of the selected item options are not currently available.","કેટલાક પસંદ કરેલા આઇટમ વિકલ્પો હાલમાં ઉપલબ્ધ નથી."
"Sort By","દ્વારા સortર્ટ કરો"
"Sort Order","
                    ક્રમબધ ઓર્ડર
                "
"Static","સ્થિર"
"Static block and products","સ્થિર બ્લોક અને ઉત્પાદનો"
"Static block only","ફક્ત સ્થિર અવરોધ"
"Status","સ્થિતિ"
"Stock Availability","સ્ટોક ઉપલબ્ધતા"
"Store","સંગ્રહ"
"Store View","દુકાન દૃશ્ય"
"Stretch","ખેંચાણ"
"Subscribe to RSS Feed","આરએસએસ ફીડ પર સબ્સ્ક્રાઇબ કરો"
"System Properties","સિસ્ટમ ગુણધર્મો"
"Tax","
                    ટેક્સ
                "
"Template","Templateાંચો"
"Text","ટેક્સ્ટ"
"The base directory to upload file is not specified.","ફાઇલ અપલોડ કરવા માટેની બેઝ ડિરેક્ટરી ઉલ્લેખિત નથી."
"There are no customers for this alert.","આ ચેતવણી માટે કોઈ ગ્રાહકો નથી."
"This attribute cannot be edited.","આ લક્ષણને સંપાદિત કરી શકાતા નથી."
"This attribute set no longer exists.","આ લક્ષણ સેટ હવે અસ્તિત્વમાં નથી."
"This group contains system attributes. Please move system attributes to another group and try again.","આ જૂથમાં સિસ્ટમ લક્ષણો છે. કૃપા કરીને સિસ્ટમ લક્ષણો બીજા જૂથમાં ખસેડો અને ફરીથી પ્રયાસ કરો."
"Tier Pricing","ટાયર પ્રાઇસીંગ"
"Tile","ટાઇલ"
"Time Format","સમય ફોર્મેટ"
"Title","શીર્ષક"
"Top/Left","ટોચ ડાબી"
"Top/Right","ઉપર / જમણે"
"Type","લખો"
"Unassigned Attributes","ન સોંપાયેલ લક્ષણો"
"Up-sells","ઉપર વેચે છે"
"Update","સુધારો"
"Update Attributes","લક્ષણો સુધારો"
"Update attributes","લક્ષણો સુધારો"
"Use Canonical Link Meta Tag For Categories","શ્રેણીઓ માટે કેનોનિકલ લિંક મેટા ટેગનો ઉપયોગ કરો"
"Use Canonical Link Meta Tag For Products","ઉત્પાદનો માટે કેનોનિકલ લિંક મેટા ટેગનો ઉપયોગ કરો"
"Use Config Settings","રૂપરેખા સેટિંગ્સનો ઉપયોગ કરો"
"Use Default Value","ડિફaultલ્ટ મૂલ્યનો ઉપયોગ કરો"
"Use Flat Catalog Category","ફ્લેટ કેટલોગ કેટેગરી વાપરો"
"Use Flat Catalog Product","ફ્લેટ કેટલોગ ઉત્પાદનનો ઉપયોગ કરો"
"Use JavaScript Calendar","જાવાસ્ક્રિપ્ટ ક Calendarલેન્ડરનો ઉપયોગ કરો"
"Use config","રૂપરેખા વાપરો"
"Use for Promo Rule Conditions","પ્રોમો નિયમની શરતો માટે ઉપયોગ કરો"
"Used for Sorting in Product Listing","ઉત્પાદન સૂચિમાં સ inર્ટ કરવા માટે વપરાય છે"
"Used in Product Listing","પ્રોડક્ટ લિસ્ટિંગમાં વપરાય છે"
"Varchar","વર્ચર"
"View Details","વિગતો જુઓ"
"View as","તરીકે જુઓ"
"Visibility","દૃશ્યતા"
"Visible","દૃશ્યમાન"
"WYSIWYG Editor","WYSIWYG સંપાદક"
"Website","વેબસાઇટ"
"Websites","વેબસાઇટ્સ"
"What's this?","આ શું છે?"
"Year Range","વર્ષ રેંજ"
"Yes","હા"
"You have no items to compare.","તમારી પાસે તુલના કરવા માટે કોઈ આઇટમ્સ નથી."
"and above","અને ઉપર"
"per page","પૃષ્ઠ દીઠ"
"px.","પીએક્સ."
"save","સાચવો"
"select all","બધા પસંદ કરો"
"unselect all","બધાને અનઇલેક્ટ કરો"
