" [deleted]"," [કાઢી નાખ્યું]"
"Email to a Friend","મિત્રને ઇમેઇલ કરો"
"Email:","ઇમેઇલ:"
"Enable","
                    સક્ષમ કરો
                "
"Enabled","સક્ષમ"
"Error","ભૂલ"
"Excl. Tax","કર બાકાત કરીને"
"Exclude media folder from backup","બેકઅપ માંથી મીડિયા ફોલ્ડર બાકાત"
"Export","
                    નિકાસ
                "
"FTP Host","FTP યજમાન"
"FTP Login","FTP પ્રવેશ"
"FTP Password","FTP પાસવર્ડ"
"FTP credentials","FTP પ્રમાણપત્રો"
"First Name","
                    પ્રથમ નામ (તમારું નામ)
                "
"Fixed","સ્થિર"
"Forgot your password?","તમારો પાસવર્ડ ભૂલી ગયા છો?"
"From","થી"
"General Information","સામાન્ય માહિતી"
"General Section","સામાન્ય વિભાગ"
"Go Today","આજે જાઓ"
"Grand Total","ગ્રાન્ડ કુલ"
"Grid (default) / List","ગ્રીડ (ડિફ defaultલ્ટ) / સૂચિ"
"Grid Only","ફક્ત ગ્રીડ"
"Guest","
                    મહેમાન
                "
"HTTP (unsecure)","HTTP (અસુરક્ષિત)"
"Home","
                    હોમ
                "
"ID","આઇડી"
"Id","આઇડી"
"Images (.gif, .jpg, .png)","
                    છબીઓ (.gif, .jpg, .png)
                "
"Images Cache","
                    છબીઓ કેશ
                "
"Import","આયાત કરો"
"Inactive","નિષ્ક્રિય"
"Incl. Tax","શામેલ કર"
"Incoming Message","આવનારી સંદેશ"
"Invalid Form Key. Please refresh the page.","
                    અમાન્ય ફોર્મ કી. કૃપા કરીને પૃષ્ઠ તાજું કરો.
                "
"Invalid data","અમાન્ય ડેટા"
"Invalid parent block for this block","આ બ્લોક માટે અમાન્ય પેરેંટ બ્લોક"
"Invalidated","
                    અમાન્ય
                "
"Inventory Stock Status","
                    ઇન્વેન્ટરી સ્ટોક સ્થિતિ
                "
"Invoice History","ભરતિયું ઇતિહાસ"
"Invoice Totals","ભરતિયું totals"
"Invoices","ઇન્વૉઇસેસ"
"Is Closed","બંધ છે"
"Is Default","ડિફોલ્ટ છે"
"Items","
                    વસ્તુઓ
                "
"JavaScript seems to be disabled in your browser.","જાવાસ્ક્રિપ્ટ તમારા બ્રાઉઝરમાં અક્ષમ હોવાનું જણાય છે."
"Last Logged In:","છેલ્લું લૉગ ઇન:"
"Last Name","
                    અટક
                "
"Lifetime Sales","
                    લાઇફટાઇમ સેલ્સ
                "
"List (default) / Grid","સૂચિ (ડિફ defaultલ્ટ) / ગ્રીડ"
"List Only","ફક્ત સૂચિ"
"Loading...","લોડ કરી રહ્યું છે ..."
"Login","પ્રવેશ કરો"
"Magento Admin","મેજેન્ટો એડમિન"
"Magento root directory","Magento રુટ ડિરેક્ટરી"
"Manage Attribute Sets","એટ્રિબ્યુટ સેટ મેનેજ કરો"
"Manage Categories","શ્રેણીઓ મેનેજ કરો"
"Manage Customers","ગ્રાહકો મેનેજ કરો"
"Manage Stores","સ્ટોર્સ મેનેજ કરો"
"Manage Tax Rules","કર નિયમોનું સંચાલન કરો"
"Manage Titles (Size, Color, etc.)","શીર્ષકો મેનેજ કરો (કદ, રંગ, વગેરે)"
"Manual","મેન્યુઅલ"
"Maximum sender name length is 255. Please correct your settings.","મહત્તમ પ્રેષકની નામ લંબાઈ 255 છે. કૃપા કરીને તમારી સેટિંગ્સને ઠીક કરો."
"Media (.avi, .flv, .swf)","
                    Media (.avi, .flv, .swf)
                "
"Messages Inbox","સંદેશાઓ ઇનબોક્સ"
"Month","માસ"
"Most Viewed Products","
                    સૌથી વધુ જોવાયેલી પ્રોડક્ટ્સ
                "
"Multiple Select","મલ્ટીપલ સિલેક્ટ"
"My Account","
                    મારુ ખાતુ
                "
"N/A","એન / એ"
"Name","
                    નામ
                "
"Never (production)","ક્યારેય નહીં (ઉત્પાદન)"
"New Attribute","નવું એટ્રિબ્યુટ"
"New Block","નવો અવરોધ"
"New Category","નવી કેટેગરી"
"New Customer","નવો ગ્રાહક"
"New Customers","નવા ગ્રાહકો"
"New Group","નવું જૂથ"
"New Invoice","નવી ભરતિયું"
"New Memo","નવો મેમો"
"New Page","નવું પૃષ્ઠ"
"New Password","
                    નવો પાસવર્ડ
                "
"New Role","નવી ભૂમિકા"
"New Rule","નવો નિયમ"
"New Set","નવો સેટ"
"New Store View","
                    નવું સ્ટોર દૃશ્ય
                "
"New User","નવા વપરાશકર્તા"
"Newsletter","ન્યૂઝલેટર"
"No","ના"
"No (price without tax)","ના (કર વગરનો ભાવ)"
"No change","
                    કોઈ ફેરફાર નહી
                "
"No records found.","કોઈ રેકોર્ડ મળ્યાં નથી."
"None","કંઈ નહીં"
"Note:","નૉૅધ:"
"Notifications","સૂચનાઓ"
"OK","બરાબર"
"Online Customers","ઑનલાઇન ગ્રાહકો"
"Only Once (version upgrade)","ફક્ત એકવાર (સંસ્કરણ અપગ્રેડ)"
"Optional","વૈકલ્પિક"
"Order","ઓર્ડર"
"Order ID","ઓર્ડર આઈડી"
"Order Totals","ઓર્ડર ટોટલ્સ"
"Orders","
                    ઓર્ડર
                "
"Out of stock","સ્ટોક સમાપ્ત"
"Pages","પાના"
"Parent Product Thumbnail","પેરેંટ પ્રોડક્ટ થંબનેલ"
"Parent Transaction ID","પિતૃ ટ્રાન્ઝેક્શન ID"
"Password","પાસવર્ડ"
"Password Confirmation","
                    પાસવર્ડ ખાતરી
                "
"Password:","પાસવર્ડ:"
"Percent","ટકા"
"Permissions","પરવાનગી"
"Personal Information","વ્યક્તિગત માહિતી"
"Please Select","કૃપા કરી પસંદ કરો"
"Please confirm site switching. All data that hasn't been saved will be lost.","કૃપા કરીને સાઇટ સ્વિચિંગની પુષ્ટિ કરો. સાચવેલ ન હોય તે તમામ ડેટા ખોવાઈ જશે."
"Please enter a number greater than 0 in this field.","કૃપા કરીને આ ક્ષેત્રમાં 0 કરતાં મોટી સંખ્યા દાખલ કરો."
"Please enter a valid $ amount. For example $100.00.","કૃપા કરી માન્ય $ રકમ દાખલ કરો. ઉદાહરણ તરીકે $ 100.00."
"Please enter a valid credit card number.","મહેરબાની કરીને માન્ય ક્રેડિટ કાર્ડ નંબર લખો."
"Please enter a valid date.","કૃપા કરી માન્ય તારીખ દાખલ કરો."
"Please enter a valid email.","કૃપા કરીને માન્ય ઇમેઇલ દાખલ કરો."
"Please enter a valid number in this field.","કૃપા કરીને આ ક્ષેત્રમાં માન્ય નંબર દાખલ કરો."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","કૃપા કરીને સાચો ફોન નંબર નાખો. ઉદાહરણ તરીકે (123) 456-7890 અથવા 123-456-7890."
"Please enter a valid value from list","કૃપા કરીને સૂચિમાંથી માન્ય મૂલ્ય દાખલ કરો"
"Please enter a valid value, ex: 10,20,30","કૃપા કરીને માન્ય મૂલ્ય દાખલ કરો, દા.ત. 10,20,30"
"Please enter a valid zip code.","કૃપા કરી કોઈ માન્ય પિન કોડ દાખલ કરો."
"Please make sure your passwords match.","કૃપા કરીને ખાતરી કરો કે તમારા પાસવર્ડ્સ મેચ કરે છે."
"Please select State/Province.","કૃપા કરીને રાજ્ય / પ્રાંત પસંદ કરો."
"Please select an option.","કૃપા કરીને એક વિકલ્પ પસંદ કરો."
"Please select customer(s).","મહેરબાની કરી ગ્રાહક પસંદ કરો."
"Please select one of the options.","કૃપા કરીને વિકલ્પોમાંથી એક પસંદ કરો."
"Please specify the admin custom URL.","કૃપા કરીને એડમિન કસ્ટમ URL નો ઉલ્લેખ કરો."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","કૃપા કરીને આ ક્ષેત્રમાં ફક્ત અક્ષરો (a-z અથવા A-Z), નંબર્સ (0-9) અથવા સ્થાનોનો ઉપયોગ કરો."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","કૃપા કરીને આ તારીખ ફોર્મેટનો ઉપયોગ કરો: ડીડી / એમએમ / વાયવાય. 17 માર્ચ, 2006 માટે 17/03/2006 ઉદાહરણ તરીકે."
"Please wait...","મહેરબાની કરી રાહ જુવો..."
"Position","સ્થિતિ"
"Preview","પૂર્વાવલોકન"
"Price","કિંમત"
"Processing","પ્રક્રિયા"
"Product","ઉત્પાદન"
"Product Name","ઉત્પાદન નામ"
"Product Thumbnail Itself","ઉત્પાદન થંબનેલ સ્વયંને"
"Products","ઉત્પાદનો"
"Quantity","જથ્થો"
"Rebuild","
                    ફરીથી બનાવો
                "
"Rebuild Flat Catalog Category","
                    ફ્લેટ કેટલોગ કેટેગરી ફરીથી બનાવો
                "
"Rebuild Flat Catalog Product","
                    ફ્લેટ કેટલોગ ઉત્પાદન ફરીથી બનાવો
                "
"Recent Orders","તાજેતરના આદેશો"
"Refresh","
                    પુનઃતાજું કરો
                "
"Remove","દૂર કરો"
"Required","જરૂરી"
"Reset","ફરીથી સેટ કરો"
"Reset Password","પાસવર્ડ ફરીથી સેટ કરો"
"Reset a Password","પાસવર્ડ ફરીથી સેટ કરો"
"Resource Access","રિસોર્સ એક્સેસ"
"Resources","સંસાધનો"
"Results","પરિણામો"
"Retrieve Password","પાસવર્ડ પુન .પ્રાપ્ત કરો"
"Revenue","
                    મહેસૂલ
                "
"Role Info","ભૂમિકાની માહિતી"
"Role Information","ભૂમિકાની માહિતી"
"Role Name","ભૂમિકા નામ"
"Role Resources","ભૂમિકા સંસાધનો"
"Role Users","ભૂમિકા વપરાશકર્તાઓ"
"Roles","ભૂમિકાઓ"
"Roles Resources","ભૂમિકા સંસાધનો"
"SKU","એસકેયુ"
"Sales","વેચાણ"
"Save","
                    સાચવો
                "
"Save Account","
                    એકાઉન્ટ સેવ કરો
                "
"Save Cache Settings","
                    કેશ સેટિંગ્સ સાચવો
                "
"Save Config","સેફ રૂપરેખા"
"Save Role","ભૂમિકા સાચવો"
"Save User","વપરાશકર્તા સાચવો"
"Save and Continue Edit","સાચવો અને સંપાદિત કરવાનું ચાલુ રાખો"
"Search","શોધો"
"Search Index","
                    શોધ ઈન્ડેક્સ
                "
"Select","પસંદ કરો"
"Select All","બધા પસંદ કરો"
"Separate Email","અલગ ઇમેઇલ"
"Shipment Comments","શિપમેન્ટ ટિપ્પણીઓ"
"Shipments","શિપમેન્ટ"
"Shipping","
                    શિપિંગ
                "
"Shipping Address","પહોંચાડવાનું સરનામું"
"Shipping Address: ","પહોંચાડવાનું સરનામું: "
"Shipping Origin","શીપીંગ મૂળ"
"Shopping Cart","શોપિંગ કાર્ટ"
"Specified","સ્પષ્ટ"
"Static Blocks","સ્થિર વિભાગો"
"Status","સ્થિતિ"
"Store","સંગ્રહ"
"Store Email Addresses Section","સ્ટોર ઇમેઇલ સરનામાંઓ વિભાગ"
"Store View","દુકાન દૃશ્ય"
"Stores","સ્ટોર્સ"
"Subject","વિષય"
"Submit","
                    સબમિટ કરો
                "
"Subtotal","પેટાસરવાળો"
"System","સિસ્ટમ"
"System Section","સિસ્ટમ વિભાગ"
"Tax","
                    ટેક્સ
                "
"Template","Templateાંચો"
"Text","ટેક્સ્ટ"
"The attribute set has been removed.","લક્ષણ સમૂહ દૂર કરવામાં આવ્યો છે."
"The credit memo has been canceled.","ક્રેડિટ મેમો રદ કરવામાં આવી છે."
"The invoice has been captured.","ભરતિયું કબજે કરવામાં આવ્યું છે."
"The invoice has been created.","ભરતિયું બનાવવામાં આવ્યું છે."
"The invoice has been voided.","ભરતિયું ખોવાઈ ગયું છે."
"The order no longer exists.","ઓર્ડર હવે અસ્તિત્વમાં નથી."
"The transaction details have been updated.","વ્યવહારોની વિગતો અપડેટ કરવામાં આવી છે."
"There is an error in one of the option rows.","વિકલ્પ પંક્તિઓમાંથી એકમાં એક ભૂલ છે."
"This account is","આ એકાઉન્ટ છે"
"This action cannot be undone.","આ ક્રિયા પૂર્વવત્ કરી શકાતી નથી."
"This block no longer exists.","આ બ્લોક હવે અસ્તિત્વમાં નથી."
"This is a required field.","આ જગ્યા ભરવી જરૂરી છે."
"This user no longer exists.","આ વપરાશકર્તા હવે અસ્તિત્વમાં નથી."
"Time","સમય"
"To","થી"
"Tools","સાધનો"
"Total","
                    કુલ
                "
"Total Refunded","કુલ રિફંડ"
"Transaction Data","ટ્રાંઝેક્શન ડેટા"
"Transaction Details","ટ્રાંઝેક્શન વિગતો"
"Transaction ID","ટ્રાન્ઝેક્શન આઈડી"
"Transaction Type","ટ્રાન્ઝેક્શન પ્રકાર"
"Transactions","વ્યવહારો"
"Type","લખો"
"Unknown","અજ્ઞાત"
"Update","સુધારો"
"Upload File","ફાઈલ અપલોડ કરો"
"Use All Available Attributes","બધા ઉપલબ્ધ લક્ષણોનો ઉપયોગ કરો"
"Use Config Settings","રૂપરેખા સેટિંગ્સનો ઉપયોગ કરો"
"Use Default","ડિફaultલ્ટનો ઉપયોગ કરો"
"Use Default Value","ડિફaultલ્ટ મૂલ્યનો ઉપયોગ કરો"
"Use FTP Connection","FTP કનેક્શનનો ઉપયોગ કરો"
"Use Website","વેબસાઇટનો ઉપયોગ કરો"
"User Email","વપરાશકર્તા ઇમેઇલ"
"User ID","વપરાશકર્તા ID"
"User Info","વપરાશકર્તા માહિતી"
"User Information","વપરાશકર્તા માહિતી"
"User Name","વપરાશકર્તા નામ"
"User Password","વપરાશકર્તા પાસવર્ડ"
"User Role","વપરાશકર્તાની ભૂમિકા"
"User Roles","વપરાશકર્તા ભૂમિકાઓ"
"User Roles Information","વપરાશકર્તાની ભૂમિકાની માહિતી"
"Users","વપરાશકર્તાઓ"
"Value","મૂલ્ય"
"View Full Size","પૂર્ણ કદ જુઓ"
"Warning","ચેતવણી"
"Web Section","વેબ વિભાગ"
"Website","વેબસાઇટ"
"Year","વર્ષ"
"Yes","હા"
"Yes (301 Moved Permanently)","હા (301 કાયમી ધોરણે ખસેડવામાં આવ્યો)"
"Yes (302 Found)","હા (302 મળી)"
"Yes (only price with tax)","હા (કર સાથેની માત્ર કિંમત)"
"You cannot delete your own account.","તમે તમારું પોતાનું એકાઉન્ટ કાઢી શકતા નથી."
"Your password reset link has expired.","તમારો પાસવર્ડ રીસેટ લિંક સમાપ્ત થઈ ગઈ છે."
"Zip/Postal Code","ઝીપ / પોસ્ટલ કોડ"
"[GLOBAL]","[વૈશ્વિક]"
"[STORE VIEW]","[સ્ટોર જુઓ]"
"[WEBSITE]","[વેબસાઈટ]"
"close","બંધ"
"critical","નિર્ણાયક"
"failed","નિષ્ફળ"
"from","માંથી"
"major","મુખ્ય"
"minor","નાનો"
"notice","સૂચના"
"successful","સફળ"
"to","માટે"
