"-- Please Select --","-- Iltimos tanlang --"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Base URL ning ""/"" (oldinga slash) bilan tugaganligiga ishonch hosil qiling, masalan: http://yourdomain/magento/"
"Merge CSS Files","CSS fayllarini birlashtirish"
"Merge JavaScript Files","JavaScript fayllarini birlashtirish"
"Name","Ism"
"New Store","Yangi do'kon"
"New Store View","Do'konning yangi ko'rinishi"
"No","Yo'q"
"Offloader header","Offloader sarlavhasi"
"Please enter a number 0 or greater in this field.","Iltimos, ushbu sohada 0 yoki undan katta sonni kiriting."
"Please enter a number 1 or greater in this field.","Iltimos, 1 yoki undan ortiq raqamni kiriting."
"Please enter a number greater than 0 in this field.","Iltimos, ushbu sohada 0dan katta raqamni kiriting."
"Please enter a valid $ amount. For example $100.00.","Yaroqli $ miqdorini kiriting. Masalan, $ 100.00."
"Please enter a valid credit card number.","Iltimos, kredit karta raqamini to'g'ri kiriting."
"Please enter a valid credit card verification number.","Iltimos joriy kredit karta tasdiqlash raqamini kiriting."
"Please enter a valid date.","Iltimos, joriy kunni kiriting."
"Please enter a valid month (1-12).","Iltimos, joriy oyni kiriting (1-12)."
"Please enter a valid number in this field.","Iltimos, ushbu sohada haqiqiy raqamni kiriting."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Telefon raqamini tog'ri kiriting. Masalan, +998 91 1234567 yoki 998971234567."
"Please enter a valid zip code.","Iltimos, pochta indeksi to'g'ri kiriting."
"Please enter issue number or start date for switch/solo card type.","Iltimos, kartichkani tasdiqlash uchun uning amal qilish muddatini kiriting."
"Please make sure your passwords match.","Iltimos parollaringiz bilan mos kelishiga ishonch hosil qiling."
"Please select State/Province.","Iltimos, Davlat/Viloyatingizni tanlang."
"Please select an option.","Iltimos, biron-bir variantni tanlang."
"Please select one of the options.","Iltimos, variantlardan birini tanlang."
"Please use letters only (a-z or A-Z) in this field.","Iltimos, ushbu sohada faqat harflardan foydalaning (a-z yoki A-Z)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Iltimos, sanani ushbu formatini kiriting: kun / oy / yil. Masalan, 17/03/2006 yil, 2006 yil 17 mart."
"Recovery Link Expiration Period (hours)","Qulaylik aloqasining amal qilish muddati (soat)"
"Return-Path Email","Orqaga qaytish yo'li"
"Root Category","Asosiy kategoriya"
"Sales Representative","Savdo bo'yicha menejer"
"Save","Saqlash"
"Save Store","Do'konni saqlash"
"Save Store View","Do'konni ko'rinishini saqlash"
"Security","Xavfsizlik"
"Sender Email","Yuboruvchi Email"
"Sender Name","Yuboruvchi nomi"
"Services","Xizmatlar"
"Session Validation Settings","Sessiya sozlamalarini sinab ko'ring"
"Set Return-Path","Qaytish yo'lini belgilash"
"Set as Default","Standart sifatida belgilash"
"Sort Order","Saralash tartibi"
"Startup Page","Bosh sahifa"
"Status","Holat"
"Store","Do'kon"
"Store Email Addresses","Do'kon Email manzili"
"Store Hours of Operation","Do'konning ish vaqti"
"Store Information","Do'kon haqida ma'lumot"
"Store Name","Do'kon nomi"
"Store View","Do'konning ko'rinishi"
"Store View Information","Savdo ma'lumotlarini ko'rish"
"Store view doesn't exist","Do'kon ko'rinishi mavjud emas"
"System","Tizim"
"Template Settings","Template sozlamalari"
"The store does not exist","Do'kon mavjud emas"
"The value is not within the specified range.","Qiymat belgilangan oraliqda emas."
"The website does not exist.","Veb-sayt mavjud emas."
"This is a required field.","Bu majburiy maydon."
"This store cannot be deleted.","Ushbu do'konni o'chirib bo'lmaydi."
"This store view cannot be deleted.","Ushbu do'kon ko'rinishi o'chirib bo'lmaydi."
"This website cannot be deleted.","Ushbu veb-saytni o'chirib bo'lmaydi."
"Timezone","Vaqt zonasi"
"Translate Inline","Inline tarjima qiling"
"Url Options","Url parametrlari"
"Use Custom Admin Path","Maxsus boshqaruv usuli yordamida"
"Use Custom Admin URL","Maxsus administrator URL-dan foydalaning"
"None","Yo'q"
"Use Secure URLs in Admin","Administratordagi xavfsiz URL-lardan foydalaning"
"Use Web Server Rewrites","Veb-serverni qayta tiklashni ishlatish"
"VAT Number","QQS raqami"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENTni tekshirib ko'ring"
"Validate HTTP_VIA","HTTP_VIA ni tekshirib ko'ring"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR ni tekshirib ko'ring"
"Validate REMOTE_ADDR","REMOTE_ADDR ni tekshirib ko'ring"
"Weekend Days","Hafta kunlari"
"Yes","Ha"
