" [deleted]"," [o'chirilgan]"
"Flush JavaScript/CSS Cache","JavaScript / CSS keshini tozalash"
"From","-dan"
"Global Search","Global qidiruv"
"Go Today","Bugungi kunga borish"
"Guest","Mehmon"
"Home","Bosh sahifa"
"Images (.gif, .jpg, .png)","Rasmlar (.gif, .jpg, .png)"
"Images Cache","Rasm keshi"
"Inactive","Faol emas"
"Incl. Tax","Soliqlar bilan"
"Incoming Message","Kiruvchi xabar"
"Invalid Form Key. Please refresh the page.","Kalit shakli yaroqsiz. Iltimos, sahifani yangilang."
"Invalidated","Noto'g'ri"
"Inventory Stock Status","Omborni inventarizatsiya qilish"
"Is Default","Standart"
"Items","Mahsulotlar"
"JavaScript/CSS Cache","JavaScript/CSS Keshi"
"Last 24 Hours","Oxirgi 24 soat"
"Last 7 Days","Oxirgi 7 kun"
"Last Name","Familiya"
"Lifetime Sales","Jami savdo"
"Loading...","Yuklanmoqda..."
"Locale","Mahalliy"
"OpenMage Admin","OpenMage administratori"
"Magento root directory","OpenMagening asosiy katalogi"
"Content","Kontent"
"Messages Inbox","Kirish xabarlari qutisi"
"Most Viewed Products","Eng ko'p ko'rilgan mahsulotlar"
"Multiple Select","Ko'p tanlov"
"My Account","Mening profilim"
"Name","Ism"
"New ","Yangi "
"New Customers","Yangi mijozlar"
"New Password","Yangi Parol"
"New Store View","Do'konning yangi ko'rinishi"
"No","Yo'q"
"No Data Found","Ma'lumot topilmadi"
"No change","O'zgarishsiz"
"No records found.","Hech qanday yozuv topilmadi."
"No search modules were registered","Qidiruv modullari ro'yxatga olinmagan"
"None","Yo'q"
"Notifications","Bildirishnomalar"
"Order","Buyurtma"
"Order ID","Buyurtma ID"
"Orders","Buyurtmalar"
"Out of stock","Sotib bo'lingan"
"Password","Parol"
"Password Confirmation","Parolni tasdiqlash"
"Password:","Parol:"
"Percent","Foiz"
"Please Select","Iltimos tanlang"
"Please enter a number greater than 0 in this field.","Iltimos, ushbu sohada 0dan katta raqamni kiriting."
"Please enter a valid $ amount. For example $100.00.","Yaroqli $ miqdorini kiriting. Masalan, $ 100.00."
"Please enter a valid credit card number.","Iltimos, kredit karta raqamini to'g'ri kiriting."
"Please enter a valid date.","Iltimos, joriy kunni kiriting."
"Please enter a valid number in this field.","Iltimos, ushbu sohada haqiqiy raqamni kiriting."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Telefon raqamini tog'ri kiriting. Masalan, +998 91 1234567 yoki 998971234567."
"Please enter a valid value from list","Iltimos, ro'yxatdagi tegishli qiymatni kiriting"
"Please enter a valid value, ex: 10,20,30","Iltimos tegishli qiymatni kiriting, masalan: 10,20,30"
"Please enter a valid zip code.","Iltimos, pochta indeksi to'g'ri kiriting."
"Please make sure that all global admin search modules are installed and activated.","Barcha global boshqaruv ma`lumotlari modullarining o`rnatilganligi va faollashtirilganligiga ishonch hosil qiling."
"Please make sure your passwords match.","Iltimos parollaringiz bilan mos kelishiga ishonch hosil qiling."
"Please select State/Province.","Iltimos, Davlat/Viloyatingizni tanlang."
"Please select an option.","Iltimos, biron-bir variantni tanlang."
"Please select one of the options.","Iltimos, variantlardan birini tanlang."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Iltimos, faqat ushbu harflardan foydalaning (a-z yoki A-Z), raqamlar (0-9) yoki probeldan."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Iltimos, sanani ushbu formatini kiriting: kun / oy / yil. Masalan, 17/03/2006 yil, 2006 yil 17 mart."
"Please wait...","Iltimos kuting..."
"Position","Obyekt"
"Price","Narx"
"Product","Mahsulot"
"Product Name","Mahsulot nomi"
"Products","Mahsulotlar"
"Quantity","Miqdor"
"Radio Buttons","Radio tugmalari"
"Rebuild","Qayta qurish"
"Rebuild Catalog Index","Katalog indeksini qayta yarating"
"Rebuild Flat Catalog Category","Katalogni qayta yaratish"
"Rebuild Flat Catalog Product","Mahsulot katalogni qayta yaratish"
"Refresh","Yangilash"
"Region/State","Viloyat/Davlat"
"Reload captcha","Captcha-ni yangilash"
"Remove","O'chirish"
"Required","Majburiy"
"Reset","Qayta o'rnatish"
"Reset Filter","Filtrni tiklash"
"Results","Natijalar"
"Revenue","Daromad"
"Root Category","Asosiy kategoriya"
"Save","Saqlash"
"Save Account","Profilni saqlash"
"Save Cache Settings","Keshni saqlash"
"Save and Continue Edit","Saqlang va tahrirlashni davom ettiring"
"Search","Qidiruv"
"Search Index","Qidiruv indeksi"
"Select All","Hammasini belgilash"
"Shipping","Yetkazib berish"
"Shipping Address","Yetkazish manzili"
"Shopping Cart","Savatcha"
"Start Date","Boshlanish vaqti"
"Status","Holat"
"Store","Do'kon"
"Store View","Do'konning ko'rinishi"
"Stores","Do'konlar"
"Submit","Yuborish"
"Subtotal","Jami summ"
"System","Tizim"
"Tags","Teglar"
"Tax","Soliq"
"The JavaScript/CSS cache has been cleaned.","JavaScript / CSS keshlari tozalangan."
"The OpenMage cache storage has been flushed.","OpenMage kesh xotirasi o'chirildi."
"The image cache was cleaned.","Rasm keshi tozalangan."
"This action cannot be undone.","Ushbu amalni bekor qilish mumkin emas."
"This is a required field.","Bu majburiy maydon."
"Time","Vaqt"
"To","-ga"
"Tools","Asboblar"
"Total","Jami"
"Transaction ID","Jurnal ID"
"Transaction Type","Jurnal turi"
"Type","Turi"
"Upload File","Faylni yuklash"
"Use Default","Standart qiymatdan foydalaning"
"Use Default Value","Standart qiymatdan foydalaning"
"Use FTP Connection","FTP ulanishidan foydalaning"
"User Email","Foydalanuvchi email"
"User Name","Foydalanuvchi nomi"
"User Password","Foydalanuvchi paroli"
"View Statistics For:","Statistikani ko'rish uchun:"
"Warning","Ogohlantirish"
"What is this?","Bu nima?"
"Yes","Ha"
"You have logged out.","Siz tizimdan chiqdingiz."
"Zip/Postal Code","Pochta indeksi"
"[ deleted ]","[ o'chirilgan ]"
"close","yopish"
"critical","juda muhim"
"failed","xatolik"
"major","katta"
"minor","kichik"
"notice","ogohlantirish"
"successful","muvaffaqiyatli"
