" [deleted]"," [verwijderd]"
"An error occurred while clearing the JavaScript/CSS cache.","Er is een fout opgetreden bij het vernieuwen van de JavaScript / CSS cache."
"An error occurred while clearing the image cache.","Er is een fout opgetreden bij het vernieuwen van de afbeeldingen cache."
"An error occurred while deleting this role.","Er is een fout opgetreden bij het verwijderen van deze rol"
"An error occurred while saving account.","Er is een fout opgetreden bij het opslaan van dit account"
"An error occurred while saving this role.","Er is een fout opgetreden bij het opslaan van deze rol."
"Any","Elke"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Assigned","Toegewezen"
"Attributes","Attributen"
"Authorize","Autoriseer"
"Automatic (equalize price ranges)","Automatisch (equalize price ranges)"
"Automatic (equalize product counts)","Automatisch (equalize product counts)"
"Back","Terug"
"Backup","Back-up"
"Backup Name","Naam backup"
"Backup options","Backup opties"
"Backups","Back-ups"
"Base currency","Basis-valuta"
"Bcc","Bcc (Blinde kopie)"
"Bestsellers","Meest verkochte producten"
"Billing Address","Factuuradres"
"Billing Address: ","Factuuradres: "
"Billing Agreement","Incasso-overeenkomt"
"Billing Agreements","Incasso-overeenkomsten"
"Block Information","Blok informatie"
"Blocks","Blokken"
"Both (without and with tax)","Beide (met en zonder BTW)"
"Browse Files...","Blader door bestanden..."
"By Email","Per E-mail"
"By IP","Via IP"
"By IP and Email","Via IP en Email"
"Cache Control","Beheer cache"
"Cache Management","Cache beheer"
"Cache Type","Soort cache"
"Cancel","Annuleer"
"Cannot add new comment.","Kan nieuwe opmerking niet toevoegen."
"Cannot add tracking number.","Kan geen traceernummer toevoegen"
"Cannot do shipment for the order separately from invoice.","Kan geen verzendopdracht aanmaken zonder factuur"
"Cannot do shipment for the order.","Kan geen verzendopdracht voor deze order aanmaken"
"Cannot save shipment.","Kan deze zending niet opslaan"
"Cannot send shipment information.","Kan de verzend details niet versturen"
"Cannot update item quantity.","Kan de aantallen niet wijzigen"
"Card Verification Number","Verificatienummer"
"Catalog","Catalogus"
"Catalog Price Rules","Catalogusprijs Regels"
"Catalog Rewrites","Catalogus Rewrites"
"Categories","Categorieën"
"Category","Categorie"
"Category:","Categorie:"
"Child Transactions","Bijbehorende transacties"
"Choose Store View:","Selecteer Winkelaanzicht:"
"Clear","Legen"
"Close","Sluiten"
"Code","Interne naam"
"Complete","Voltooid"
"Config form fieldset clone model required to be able to clone fields","Configuratie form fieldset clone model verplicht om velden te kunnen kopieren."
"Configuration","Configuratie"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Confirmed email:","Bevestigde email:"
"Continue","Doorgaan"
"Convert to Plain Text","Omzetten naar platte tekst"
"Cookie (unsafe)","Cookie (Onveilig)"
"Country","Land"
"Country:","Land:"
"Coupons","Kortingsbonnen"
"Create","Creëren"
"Create DB Backup","DB-back-up aanmaken"
"Create New Attribute","Nieuw attribuut aanmaken"
"Created At","Aangemaakt Op"
"Credit Card Number","Kredietkaartnummer"
"Credit Card Type","Kredietkaart type"
"Credit Memo History","Creditfactuur-geschiedenis"
"Credit Memo Totals","Creditfactuur-totalen"
"Credit Memos","Creditfacturen"
"Currency","Valuta"
"Current Configuration Scope:","Scope huidige configuratie"
"Current Month","Huidige maand"
"Custom","Aangepast"
"Custom Variables","Custom Variabelen"
"Customer","Klant"
"Customer Group:","Klantgroep:"
"Customer Groups","Klantengroepen"
"Customer Name","Naam klant"
"Customer Reviews","Klantenreviews"
"Customer Shopping Carts","Winkelwagens van klant"
"Customer Tax Classes","Klant BTW-tariefgroepen"
"Customers","Klanten"
"Customers by Number of Orders","Klanten o.b.v. bestellingen"
"Customers by Orders Total","Klanten o.b.v. orderwaarde"
"Date","Datum"
"Date & Time","Datum & Tijd"
"Date Added","Datum toegevoegd"
"Date selector","Datumkiezer"
"Day","Dag"
"Debug","Fouten opsporen"
"Default Billing Address","Standaard factuuradres"
"Default Config","Standaard configuratie"
"Default Values","standaardwaarden"
"Default scope","Standaard-scope"
"Delete","Verwijder"
"Delete Block","Blok verwijderen"
"Delete File","Bestand verwijderen"
"Delete Image","Verwijder afbeelding"
"Delete Role","Rol verwijderen"
"Delete Store","Winkel verwijderen"
"Delete Store View","Winkelaanzicht verwijderen"
"Delete Template","Sjabloon verwijderen"
"Delete User","Gebruiker verwijderen"
"Description","Beschrijving"
"Design","Ontwerp"
"Details","Gegevens"
"Disable","Deactiveer"
"Disabled","Uitgeschakeld"
"Display default currency","Standaardvaluta weergeven"
"Download","Downloads"
"Drop-down","Dropdown"
"Edit","Bewerken"
"Edit Block","Blok bewerken"
"Edit Design Change","Ontwerpverandering bewerken"
"Edit Email Template","E-mail-sjabloon bewerken"
"Edit Order","Bestelling bewerken"
"Edit Queue","Wachtrij bewerken"
"Edit Review","Bewerk review"
"Edit Role","Wijzig rol"
"Edit Store View","Winkelaanzicht bewerken"
"Edit System Template","Systeem-sjabloon bewerken"
"Edit Template","Template bewerken"
"Edit URL Rewrite","Bewerk URL Rewrite"
"Edit User","Gebruiker bewerken"
"Email","E-mail"
"Email Address:","Emailadres:"
"Email to a Friend","E-mail naar een vriend"
"Email:","E-mail:"
"Enable","Activeer"
"Enabled","Ingeschakeld"
"Entity Attributes","Eenheidattributen"
"Entity Type","Eenheid Type"
"Entity type:","Entiteittype:"
"Error","Foutmelding"
"Excl. Tax","Excl. BTW"
"Exclude media folder from backup","Sla media-map over bij maken backup"
"Expiration Date","Vervaldatum"
"Export CSV","CSV exporteren"
"Export to:","Exporteer naar:"
"FTP Host","FTP-host"
"FTP Login","FTP-login"
"FTP Password","FTP Wachtwoord"
"FTP credentials","FTP gegevens"
"Failed","Mislukt"
"File","Bestand"
"File System","Bestandsysteem"
"First Invoice Created Date","Eerste factuur aangemaakt op"
"First Name","Voornaam"
"First Name:","Voornaam:"
"Fixed","Vast"
"Flush Catalog Images Cache","Maak de cache van de afbeeldingencatalogus leeg"
"Flush JavaScript/CSS Cache","Maak de JavaScript/CSS Cache leeg"
"Forgot your password?","Wachtwoord vergeten?"
"From","Van"
"General Information","Algemene informatie"
"Global Search","Globale zoektocht"
"Go Today","Naar vandaag"
"Go to Top","Ga naar het begin"
"Grand Total","Eindtotaal"
"Grid (default) / List","Tabel (standaard) / lijst"
"Grid Only","Alleen tabel"
"Guest","Bezoeker"
"HTTP (unsecure)","HTTP (onveilig)"
"IP Address","IP Adres"
"IPN (Instant Payment Notification) Only","Alleen IPN (Instant Payment Notification)"
"Images (.gif, .jpg, .png)","Afbeeldingen (.gif, .jpg, .png)"
"Images Cache","Afbeeldingen-cache"
"Import Service","Service importeren"
"Import and Export Tax Rates","Import & Export BTW Percentages"
"Import/Export","Importeren/Exporteren"
"Important: ","Belangrijk: "
"Inactive","Inactief"
"Incl. Tax","Incl. BTW"
"Incoming Message","Inkomend bericht"
"Insert Variable...","Variabele waarde invoegen..."
"Invalid Form Key. Please refresh the page.","Ongeldige formuliersleutel. Ververs de pagina."
"Invalid data","Ongeldige data"
"Invalid parent block for this block","Ongeldig 'moederblok' voor dit 'blok'"
"Invalidated","Ongeldig verklaard"
"Inventory Stock Status","Voorraadstatus"
"Invoice History","Factuur-geschiedenis"
"Invoice Totals","Factuur-totalen"
"Invoices","Facturen"
"Is Closed","Afgerond"
"Is Default","Is standaard"
"Issue Number","Uitgiftenummer"
"Items","Producten"
"JavaScript seems to be disabled in your browser.","JavaScript lijkt te zijn uitgeschakeld in uw browser."
"Last 24 Hours","Laatste 24 uur"
"Last 7 Days","Laatste 7 dagen"
"Last Credit Memo Created Date","Laatste creditfactuur aangemaakt op"
"Last Invoice Created Date","Laatste factuur aangemaakt op"
"Last Logged In:","Laatst ingelogd"
"Last Name","Achternaam"
"Last Name:","Achternaam:"
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"List (default) / Grid","Lijst (standaard) / tabel"
"List Only","Alleen lijst"
"Load Template","Sjabloon Laden"
"Loading...","Bezig met laden..."
"Local Server","Lokale Server"
"Locale","Lokaal"
"Login","Log in"
"Low Stock","Lage voorraad"
"OpenMage Admin","OpenMage Site-beheer"
"Magento root directory","OpenMage root folder"
"Content","inhoud"
"Currency Rates","Wisselkoersen"
"Tax Rules","Fiscale regels"
"Tax Zones and Rates","BTW-zones en -tarieven"
"Manual","Handmatig"
"Maximum sender name length is 255. Please correct your settings.","Maximale afzender naam lengte is 255. Corrigeer uw instellingen."
"Messages Inbox","Berichteninbox"
"Month","Maand"
"Most Viewed","Meest bekeken"
"Most Viewed Products","Meest bekeken producten"
"Multiple Select","Multi-select"
"My Account","Account"
"N/A","n.v.t."
"Name","Naam"
"Never (production)","Nooit (productie)"
"New ","Nieuw "
"New Accounts","Nieuwe accounts:"
"New Attribute","Nieuw attribuut"
"New Block","Nieuw blok"
"New Category","Nieuwe Categorie"
"New Condition","Nieuwe Algemene Voorwaarden"
"New Custom Variable","Nieuwe aangepaste variabele"
"New Customer","Nieuwe klant"
"New Customers","Nieuwe klanten"
"New Email Template","Nieuwe e-mail-sjabloon"
"New Group","Nieuwe groep"
"New Invoice","Nieuwe factuur"
"New Memo","Nieuwe creditfactuur"
"New Page","Nieuwe pagina"
"New Password","Nieuw wachtwoord"
"New Rating","Nieuwe waardering"
"New Review","Nieuwe review"
"New Role","Nieuwe rol"
"New Rule","Nieuwe regel"
"New Search","Nieuwe zoekactie"
"New Set","Nieuwe set"
"New Shipment","Nieuwe verzending"
"New Sitemap","Nieuwe sitemap"
"New Store View","Nieuw winkelaanzicht"
"New System Template","Nieuw systeem-sjabloon"
"New Template","Nieuw sjabloon"
"New User","Nieuwe gebruiker"
"Newsletter","Nieuwsbrief"
"Newsletter Queue","Nieuwsbrief wachtrij"
"Newsletter Subscribers","Nieuwsbriefabonnees"
"Newsletter Templates","Nieuwsbrief Sjablonen"
"No","Nee"
"No (price without tax)","Nee (prijs excl. BTW)"
"No Data","Geen Data"
"No Data Found","Geen gegevens gevonden"
"No Templates Found","Geen sjablonen gevonden"
"No change","Geen wijziging"
"No records found.","Geen records gevonden."
"No search modules were registered","Er werden geen zoekmodules geregistreerd"
"None","Geen"
"Note:","Notitie:"
"Notifications","Meldingen"
"Number of Orders","Aantal Bestellingen"
"Number of Uses","Aantal keer gebruikt"
"OK","Oké"
"Old rate:","Oude koers:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Als u inlogt op uw PayPal Advanced account, navigeer naar Service Settings - Hosted Checkout Pages - Set Up menu en stel de opties in hieronder omschreven."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Als u inlogt op uw PayPal Payflow Link account, navigeer naar Service Settings - Hosted Checkout Pages - Set Up menu en stel de opties in hieronder omschreven."
"Online Customers","Online klanten"
"Only Once (version upgrade)","Eenmalig (versie upgrade)"
"Optional","Optioneel"
"Options","Opties"
"Order","Bestelling"
"Order ID","Bestelling ID"
"Order Totals","Bestelling-totalen"
"Orders","Bestellingen"
"Out of stock","Niet op voorraad"
"Pages","Pagina's"
"Parent Product Thumbnail","Miniatuur van het hoofdproduct"
"Parent Transaction ID","Bovenliggende transactie-ID"
"Password","Wachtwoord"
"Password Confirmation","Wachtwoordbevestiging"
"Password:","Wachtwoord:"
"Pending Reviews","Te beoordelen reviews"
"Per Item","Per artikel"
"Per Order","Per bestelling"
"Percent","Percentage"
"Period","Periode"
"Permissions","Bevoegdheden"
"Personal Information","Persoonlijke informatie"
"Please Select","Selecteer"
"Please confirm site switching. All data that hasn't been saved will be lost.","Bevestig sitewissel. Alle gegevens die nog niet opgeslagen zijn, zullen verloren gaan."
"Please enter a number greater than 0 in this field.","Voer in dit veld a.u.b. een getal groter dan 0 in."
"Please enter a valid $ amount. For example $100.00.","Voer een geldig € bedrag op. Bijvoorbeeld: €100,00."
"Please enter a valid credit card number.","Geef a. u. b. een geldig creditcard-nummer op."
"Please enter a valid date.","Geef a.u.b. een geldige datum op."
"Please enter a valid email.","Vul een geldig e-mailadres in"
"Please enter a valid number in this field.","Voer a.u.b. een geldig getal in dit veld in."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Geef a.u.b. een geldig telefoonnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890."
"Please enter a valid value from list","Voer een geldige waarde in van de lijst"
"Please enter a valid value, ex: 10,20,30","Geef een geldige waarde op, bijv.: 10,20,30"
"Please enter a valid zip code.","Geef een geldige postcode op."
"Please make sure that all global admin search modules are installed and activated.","Zorg ervoor dat alle globale adminzoekmodules zijn geïnstalleerd en geactiveerd."
"Please make sure your passwords match.","Zorg dat de wachtwoorden overeenkomen."
"Please select State/Province.","Selecteer een staat/provincie."
"Please select an option.","Selecteer a. u. b. een optie."
"Please select customer(s).","Selecteer klant(en)."
"Please select one of the options.","Selecteer alstublieft een van de opties."
"Please select review(s).","Selecteer review(en)."
"Please specify the admin custom URL.","Geef de custom Admin-URL op."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Gebruik alleen letters (a-z of A-Z), cijfers (0-9) of spaties in dit veld."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dd/mm/jjjj als datum-formaat. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Please wait...","Even geduld..."
"Position","Positie"
"Preview","Voorbeeld"
"Preview Template","Voorbeeld Sjabloon"
"Price","prijs"
"Price:","Prijs:"
"Processing","Bezig met verwerken"
"Product Name","Product Naam"
"Product Reviews","Productreviews"
"Product Thumbnail Itself","Miniatuur van het product zelf"
"Products","Producten"
"Products Bestsellers Report","Rapportage Bestsellers"
"Products Most Viewed Report","Rapportage meest bekeken producten"
"Products Ordered","Bestelde producten"
"Products in Carts","Producten in winkelwagen"
"Promo","Promotie"
"Promotions","Promoties"
"Quantity","Aantal"
"Radio Buttons","Radio buttons"
"Rebuild","Herindexeren"
"Rebuild Catalog Index","Herstel de catalogusindex"
"Rebuild Flat Catalog Category","Herstel de productcategorieën van de catalogus"
"Rebuild Flat Catalog Product","Herstel de productcatalogus"
"Recent Orders","Recente orders"
"Recent statistics have been updated.","Recente statistieken zijn vernieuwd"
"Reference ID","Referentie-ID"
"Refresh","Vernieuwen"
"Refresh Statistics","Vernieuw Statistieken"
"Region/State","Provincie"
"Reload captcha","CAPTCHA herladen"
"Remote FTP","Afgelegen FTP"
"Remove","Verwijder"
"Reports","Rapportages"
"Request Path","Gevraagd Pad"
"Required","Vereist"
"Reset","Resetten"
"Reset Filter","Reset filter"
"Reset Password","Wachtwoord herstellen"
"Reset a Password","Wachtwoord opnieuw instellen"
"Resource Access","Toegang tot bron"
"Resources","Bronnen"
"Results","Resultaten"
"Retrieve Password","Wachtwoord opvragen"
"Return Html Version","Geef HTML-versie terug"
"Revenue","Omzet"
"Role Info","Rol info"
"Role Information","Rol informatie"
"Role Name","Rolnaam"
"Role Resources","Rol bronnen"
"Role Users","Rol gebruikers"
"Roles","Rollen"
"Roles Resources","Rollen bronnen"
"Root Category","Basis-categorie (root)"
"Run","Uitvoeren"
"SKU","Art.nr."
"Sales","Verkopen"
"Sales Report","Verkooprapport"
"Samples","Demo's"
"Save","Opslaan"
"Save & Generate","Opslaan & genereren"
"Save Account","Account opslaan"
"Save Cache Settings","Cache-instellingen opslaan"
"Save Config","Configuratie opslaan"
"Save Currency Rates","Wisselkoersen opslaan"
"Save Role","Rol opslaan"
"Save Template","Sjabloon Opslaan"
"Save User","Gebruiker opslaan"
"Save and Continue Edit","Toepassen"
"Search","Zoek"
"Search Index","Zoekindex"
"Search Term","Zoekterm"
"Search Terms","Zoektermen"
"Search entire store here...","Doorzoek de hele winkel"
"Select","Selecteer"
"Select All","Alles selecteren"
"Select Category","selecteer categorie"
"Select Date","Datum selecteren"
"Sender","Afzender"
"Separate Email","Afzonderlijke e-mail"
"Shipment Comments","Opmerkingen verzending"
"Shipment History","Levering Geschiedenis"
"Shipments","Verzendingen"
"Shipping","Aflevering"
"Shipping Address","Bezorgadres"
"Shipping Address: ","Afleveradres: "
"Shipping Origin","Plaats van verzending"
"Shipping Price","Verzendkosten"
"Shopping Cart","Winkelwagen"
"Show By","Tonen op"
"Show Report For:","Toon rapport voor:"
"Show Reviews","Beoordelingen tonen"
"Sitemap Information","Sitemap-informatie"
"Skip Category Selection","Categorieselectie overslaan"
"Specific Countries","Bepaalde landen"
"Specified","Gespecificeerd"
"Start Date","begindatum"
"State/Province:","Provincie:"
"Static Blocks","Statische blokken"
"Status","status"
"Status:","Status"
"Store","Winkel"
"Store View","Winkelaanzicht"
"Store:","Winkel:"
"Stores","Winkels"
"Subject","Onderwerp"
"Submit","Bevestig"
"Subtotal","Subtotaal"
"Switch/Solo/Maestro Only","Uitsluitend Switch/Solo/Maestro"
"Synchronize","Synchroniseren"
"Synchronizing...","Synchroniseren..."
"System","Systeem"
"Tags","tags"
"Target Path","Doelpad"
"Tax","BTW"
"Template","Sjabloon"
"Template Content","Template inhoud"
"Template Information","Template informatie"
"Template Name","Template naam"
"Template Styles","Template Stijl"
"Template Subject","Template onderwerp"
"Template Type","Template soort"
"Temporary (302)","Tijdelijk (302)"
"Terms and Conditions","Algemene Voorwaarden"
"Text","Tekst"
"The JavaScript/CSS cache has been cleaned.","Het JavaScript/CSS cachegeheugen werd leeggemaakt."
"The OpenMage cache storage has been flushed.","De OpenMage-cacheopslag is leeg gemaakt."
"The URL Rewrite has been saved.","De URL Rewrite is opgeslagen."
"The attribute set has been removed.","De attribuutset is verwijderd"
"The credit memo has been canceled.","De creditfactuur is geannuleerd."
"The image cache was cleaned.","De afbeeldingscache werd leeggemaakt."
"The invoice has been captured.","De factuur is betaald"
"The invoice has been created.","De factuur is aangemaakt"
"The invoice has been voided.","De factuur is ongeldig"
"The order no longer exists.","De order bestaat niet langer."
"The shipment has been created.","De verzending werd aangemaakt."
"The transaction details have been updated.","De transactie-details zijn bijgewerkt."
"There is an error in one of the option rows.","Er is een fout opgetreden in één van de optierijen."
"This account is","Dit account is"
"This action cannot be undone.","Deze actie kan niet ongedaan gemaakt worden."
"This block no longer exists.","Dit blok bestaat niet langer meer"
"This is a required field.","Dit is een verplicht veld."
"This user no longer exists.","Deze gebruiker bestaat niet meer."
"Time","Tijd"
"To","Aan"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Om de PayPal Payflow Link te gebruiken moet u deze configureren op de PayPal website."
"Tools","Instellingen"
"Total","Totaal"
"Total Invoiced","Totaal gefactureerd"
"Total Refunded","Totaal terugbetaald"
"Track Order","Volg bestelling"
"Track this shipment","Traceer deze bestelling"
"Transaction Data","Transactiedatum"
"Transaction Details","Transactiedetails"
"Transaction ID","Transactie-ID"
"Transaction Type","Transactietype"
"Transactional Emails","Transactionele e-mails"
"Transactions","Transacties"
"Type","Soort"
"Type:","Soort:"
"URL Rewrite Information","URL-herschrijving informatie"
"URL Rewrite Management","URL-herschrijf beheer"
"Unknown","Onbekend"
"Unlimited","Onbeperkt"
"Update","Bijwerken"
"Updated At","Bijgewerkt op"
"Upload File","Bestand uploaden"
"Upload Files","Bestanden uploaden"
"Use All Available Attributes","Gebruik alle beschikbare attributen"
"Use Config Settings","Gebruik configuratiewaarden"
"Use Default","Gebruik standaard"
"Use Default Value","Gebruik standaard waarde"
"Use Default Variable Values","Standaard waarde van variabele gebruiken"
"Use FTP Connection","Gebruik FTP-verbinding"
"Use Website","Website gebruiken"
"User Email","E-mail van gebruiker"
"User ID","Gebruiker-ID"
"User Info","Gebruikerinfo"
"User Information","Gebruikergegevens"
"User Name","Gebruikersnaam"
"User Password","Gebruikerswachtwoord"
"User Role","Rol van gebruiker"
"User Roles","Gebruikersrollen"
"User Roles Information","Rolgegevens gebruiker"
"Users","Gebruikers"
"Validation Results","Validatieresultaten"
"Value","Waarde"
"Variable","Variabel"
"Variable Code","Variabele Code"
"Variable HTML Value","Variabele HTML-waarde"
"Variable ID","Variabele ID"
"Variable Name","Variabele Naam"
"Variable Plain Value","Variabele platte waarde"
"View Full Size","Bekijk op ware grootte"
"View Statistics For:","Bekijk statistieken voor:"
"Warning","Waarschuwing"
"What is this?","Wat is dit?"
"Year","Jaar"
"Yes","Ja"
"Yes (301 Moved Permanently)","Ja (301 Permanent verplaatst)"
"Yes (302 Found)","Ja (302 gevonden)"
"Yes (only price with tax)","Ja (alleen prijzen incl. BTW)"
"You cannot delete your own account.","U kan niet uw eigen account verwijderen"
"You have logged out.","U bent afgemeld."
"Your password reset link has expired.","Uw wachtwoord-reset-link is verlopen"
"Zip/Postal Code","Postcode"
"[ deleted ]","[ verwijderd ]"
"[GLOBAL]","[GLOBAAL]"
"[STORE VIEW]","[WINKELAANZICHT]"
"close","Sluiten"
"critical","kritiek"
"example: sitemap.xml","voorbeeld: sitemap.xml"
"failed","mislukt"
"from","van"
"major","belangrijk"
"minor","gering"
"notice","melding"
"successful","geslaagd"
"to","naar"
