"* Required Fields","* Verplichte velden"
"Group for Valid VAT ID - Domestic","Groep voor geldig BTW-nummer - Binnenland"
"Group for Valid VAT ID - Intra-Union","Groep voor geldig BTW-nummer - EU"
"Guest","Bezoeker"
"IP Address","IP Adres"
"Invalid login or password.","Ongeldige gebruikersnaam en/of wachtwoord."
"Last Activity","Laatste activiteit"
"Last Date Subscribed","Laatste datum geabonneerd"
"Last Date Unsubscribed","Laatste datum uitgeschreven"
"Last Name","Achternaam"
"Leave empty for default (15 minutes).","Laat leeg voor standaard (15 minuten)."
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"Login","Log in"
"Login Options","Aanmeldopties"
"MM","mm"
"Manage Addresses","Beheer adressen"
"Manage Customers","Klanten beheren"
"Month","Maand"
"My Account","Account"
"My Orders","Mijn bestellingen"
"Name","Naam"
"Name and Address Options","Naam- en adresopties"
"Never","Nooit"
"New Address","Nieuw Adres"
"New Customer","Nieuwe klant"
"New Customer Group","Nieuwe klantgroep"
"New Customer Groups","Nieuwe klantgroepen"
"New Customers","Nieuwe klanten"
"New Group","Nieuwe groep"
"New Password","Nieuw wachtwoord"
"Newsletter","Nieuwsbrief"
"Newsletter Information","Nieuwsbriefgegevens"
"Newsletter Subscription","Nieuwsbriefabonnement"
"Newsletters","Nieuwsbrieven"
"No Items Found","Geen artikelen gevonden"
"No Newsletter Found","Geen nieuwsbrief gevonden"
"No item specified.","Geen artikel gespecificeerd."
"Not Sent","Niet verstuurd"
"Online Customers","Online klanten"
"Online Customers Options","Opties Online klanten"
"Online Minutes Interval","Online minuteninterval"
"Order #","Ordernr."
"Order Total","Totaal"
"Orders","Bestellingen"
"Password","Wachtwoord"
"Password Options","Wachtwoordopties"
"Password forgotten","Wachtwoord vergeten"
"Password:","Wachtwoord:"
"Paused","Gepauzeerd"
"Pending","In afwachting"
"Per Website","Per website"
"Personal Information","Persoonlijke informatie"
"Please enter a number 1 or greater in this field.","Vul een nummer van 1 of groter in in dit veld."
"Please enter the city.","Voer de plaats in."
"Please enter the country.","Voer het land in."
"Please enter the first name.","Vul alstublieft de voornaam in."
"Please enter the last name.","Vul alstublieft de achternaam in."
"Please enter the state/province.","Vul de provincie in."
"Please enter the street.","Vul de straatnaam in."
"Please enter the zip/postal code.","Vul de postcode in."
"Please enter your email.","Voer uw e-mailadres in."
"Please make sure your passwords match.","Zorg dat de wachtwoorden overeenkomen."
"Please select region, state or province","Selecteer alstublieft regio, staat of provincie"
"Prefix Dropdown Options","Dropdown-opties voorvoegsel"
"Price","prijs"
"Product Name","Product Naam"
"Product Reviews","Productreviews"
"Qty","Aantal"
"Recent Orders","Recente orders"
"Recovery Link Expiration Period (hours)","Herstel Link verloopperiode (uur)"
"Redirect Customer to Account Dashboard after Logging in","Redirect klant naar Accountpagina na inloggen"
"Refunded","Teruggestort"
"Registered Customers","Geregistreerde klanten"
"Remind Email Template","Email Template herinnering-e-mail"
"Remove","Verwijder"
"Require Emails Confirmation","E-mailbevestiging verplichten"
"Reset a Password","Wachtwoord opnieuw instellen"
"SKU","Art.nr."
"Sales Statistics","Verkoopstatistiek"
"Save","Opslaan"
"Save Address","Adres opslaan"
"Save Customer","Klant opslaan"
"Save Customer Group","Klantgroep opslaan"
"Save and Continue Edit","Toepassen"
"Send From","Verzenden van"
"Send confirmation link","stuur bevestigingslink"
"Sending","Bezig met verzenden"
"Sent","Verstuurd"
"Share Customer Accounts","Klantaccounts delen"
"Shopping Cart","Winkelwagen"
"Show Date of Birth","Geboortedatum tonen"
"Show Gender","Geslacht tonen"
"Show Middle Name (initial)","Midden-initiaal tonen"
"Show Prefix","Voorvoegsel tonen"
"Show Suffix","Achtervoegsel tonen"
"Show Tax/VAT Number","BTW-nummer tonen"
"Sign Up for Newsletter","Aanmelden voor de nieuwsbrief"
"State/Province","Staat/Provincie"
"Status","status"
"Store","Winkel"
"Store View","Winkelaanzicht"
"Street Address","Adres"
"Subject","Onderwerp"
"Submit","Bevestig"
"Subscribe to Newsletter","Abonneren op de nieuwsbrief"
"Suffix Dropdown Options","Dropdown-opties achtervoegsel"
"Tax Calculation Based On","BTW berekening op basis van"
"Tax Class","BTW-tariefgroep"
"Text","Tekst"
"Text One Line","Tekst één regel"
"The VAT ID entered (%s) is not a valid VAT ID.","Het ingevulde BTW-nummer (%s) is geen geldig BTW-nummer."
"The VAT ID is valid. The current Customer Group will be used.","BTW-nummer is geldig, de huidige klantgroep zal worden gebruikt."
"The customer does not have default billing address.","De klant heeft geen standaard factuuradres"
"The suffix that goes after name (Jr., Sr., etc.)","De afkorting die achter de naam staat (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","De aanhef die voor de naam staat (heer, mevrouw, etc.)"
"This email does not require confirmation.","Deze e-mail hoeft niet bevestigt te worden"
"Total","Totaal"
"Type","Soort"
"Unknown","Onbekend"
"Unsubscribe from Newsletter","Afmelden voor nieuwsbrief"
"Update","Bijwerken"
"Use as my default billing address","Gebruik als standaard factuuradres"
"Use as my default shipping address","Gebruik als standaard verzendadres"
"VAT Number","BTW nummer"
"VAT Request Date","BTW-nummer validatie aanvraag-datum"
"VAT Request Identifier","BTW-nummer identifier"
"Validate VAT Number","Valideer BTW-nummer"
"Validate on Each Transaction","Valideer bij elke transactie"
"Validation Error Group","Valideer fout-groep"
"View","Bekijk"
"View Order","Bestelling bekijken"
"Visitor","Bezoeker"
"Welcome Email","Welkomstmail"
"Wishlist","Verlanglijst"
"Would you like to change the Customer Group for this order?","Wilt u de klantgroep veranderen voor deze bestelling?"
"Wrong email.","Onjuist e-mailadres."
"Year","Jaar"
"You have no default billing address in your address book.","U heeft geen standaard factuuradres in uw adresboek."
"You have no default shipping address in your address book.","U heeft geen standaard verzendadres in uw adresboek"
"You have not set a default billing address.","U heeft geen standaard factuuradres ingevoerd."
"You have not set a default shipping address.","U heeft geen standaard afleveradres ingevoerd."
"You will be charged tax.","Er zal BTW gerekend worden."
"You will not be charged tax.","Er zal geen BTW gerekend worden."
"Your Tax ID cannot be validated.","Uw BTW-nummer kan niet gevalideerd worden."
"Your VAT ID was successfully validated.","Uw BTW-nummer is met succes gevalideerd."
"ZIP","Postcode"
"ZIP/Post Code","Postcode"
"Zip/Postal Code","Postcode"
"or","of"
