" [deleted]"," [effacé]"
"All Allowed Countries","Tous les pays autorisés"
"All Cache","Tout le cache"
"All Files","Tous les fichiers"
"All Reviews","Tous les commentaires"
"All Store Views","Toutes les vues magasin"
"All Tags","Tous les tags"
"All Websites","Tous les sites web"
"All countries","Tous les pays"
"All fields","Tous les champs"
"All valid rates have been saved.","Tous les taux valides ont été sauvegardés."
"Always (during development)","Toujours (pendant le developpement)"
"Amounts","Montants"
"An error occurred while clearing the JavaScript/CSS cache.","Erreur lors de la purge du cache javascript/CSS."
"An error occurred while clearing the image cache.","Erreur lors de la purge du cache des images."
"An error occurred while deleting this role.","Erreur lors de la suppression de ce rôle."
"An error occurred while saving account.","Erreur lors de la sauvegarde du compte."
"An error occurred while saving this role.","Erreur lors de la sauvegarde de ce rôle."
"Any","Tous"
"Any Attribute Set","Tous les jeux d'attributs"
"Any Group","Tous les groupes"
"Any Status","Tous les statuts"
"Any Store","Tous les magasins"
"Any Type","Tous les types"
"Any Visibility","Toutes les visibilités"
"Archive file name:","Nom du fichier d'archive :"
"Are you sure that you want to delete this template?","Êtes-vous certain de vouloir supprimer ce gabarit ?"
"Are you sure that you want to strip tags?","Êtes-vous sûr de vouloir supprimer les tags ?"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Area","Zone"
"As low as:","Prix spécial :"
"Assigned","Affecté"
"Attribute Set Name:","Nom du jeu d'attributs"
"Attributes","Attributs"
"Authorize","Autoriser"
"Automatic (equalize price ranges)","Automatique (égalise les tranches de prix)"
"Automatic (equalize product counts)","Automatique (égalise le nombre de produits)"
"Average Order Amount","Montant moyen de commande"
"Average Orders","Moyenne des commandes"
"Back","Retour"
"Back to Login","Retour à la connexion"
"Backup","Sauvegarde"
"Backup Name","Nom de la sauvegarde"
"Backup options","Options de sauvegarde"
"Backups","Sauvegardes"
"Base currency","Devise de base"
"Bcc","CC"
"Bestsellers","Meilleures ventes"
"Billing Address","Adresse de facturation"
"Billing Address: ","Adresse de facturation : "
"Billing Agreement","Entente de facturation"
"Billing Agreements","Ententes de facturation"
"Block Information","Information"
"Blocks","Blocs"
"Both (without and with tax)","Les deux (avec et sans taxes)"
"Browse Files...","Parcourir les fichiers..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Un bundle avec un prix dynamique ne peut pas inclure d'options définies. Les options ne seront pas sauvegardées."
"By Email","Par email"
"By IP","Par IP"
"By IP and Email","Par IP et Email"
"CRITICAL","CRITIQUE"
"CSV / Tab separated","CSV / séparé par des tabulations"
"Cache Control","Contrôle du cache"
"Cache Control (beta)","Contrôle de cache (bêta)"
"Cache Management","Gestion du cache"
"Cache Type","Type de Cache"
"Cancel","Annuler"
"Cannot add new comment.","Impossible d'ajouter un commentaire."
"Cannot add tracking number.","Impossible d'ajouter un numéro de suivi."
"Cannot do shipment for the order separately from invoice.","Impossible de créer une expédition pour la commande séparément de la facture."
"Cannot do shipment for the order.","Impossible de créer une expédition pour la commande."
"Cannot save shipment.","Impossible de sauvegarder l'expédition."
"Cannot send shipment information.","Impossible d'envoyer les informations d'expédition."
"Cannot update item quantity.","Impossible de mettre à jour la quantité de l'article."
"Card Verification Number","Numéro de vérification"
"Catalog","Catalogue"
"Catalog Price Rules","Règles de prix catalogue"
"Catalog Rewrites","Réécriture du catalogue"
"Categories","Catégories"
"Category","Catégorie"
"Category:","Catégorie :"
"Checkbox","Case à cocher"
"Child Transactions","Transactions filles"
"Choose Store View:","Choisir la vue magasin :"
"Choose an attribute","Choisir un attribut"
"Clear","Vider"
"Close","Fermer"
"Complete","Terminée"
"Config form fieldset clone model required to be able to clone fields","Un modèle de clone de champs de formulaire de configuration est nécessaire pour pouvoir cloner les champs"
"Confirm New Password","Confirmer le nouveau mot de passe"
"Confirmed email:","Email confirmé :"
"Continue","Continuer"
"Convert to Plain Text","Convertir en texte simple"
"Cookie (unsafe)","Cookie (non sécurisé)"
"Country","Pays"
"Country:","Pays :"
"Coupons","Bons de réduction"
"Create","Créer"
"Create DB Backup","Créer une sauvegarde de la BDD"
"Create New Attribute","Créer un nouvel attribut"
"Created At","Créé le"
"Credit Card Number","Numéro de carte bancaire"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Credit Memo History","Historique de l'avoir"
"Credit Memo Totals","Totaux de l'avoir"
"Credit Memos","Avoirs"
"Currency","Monnaie"
"Currency Information","Information devise"
"Currency Setup Section","Section d'installation de devises"
"Current Configuration Scope:","Portée de la configuration courante :"
"Current Month","Mois en cours"
"Custom","Personnalisé"
"Custom Variables","Variables personnalisées"
"Customer","Client"
"Customer Group:","Groupe de clients :"
"Customer Groups","Groupes clients"
"Customer Name","Nom du client"
"Customer Reviews","Commentaires des clients"
"Customer Shopping Carts","Paniers du client"
"Customer Since:","Client depuis le :"
"Customer Tax Classes","Classes de taxe client"
"Customer with the same email already exists.","Un client avec la même adresse email existe déjà."
"Customers","Clients"
"Customers by Number of Orders","Clients par nombre de commandes"
"Customers by Orders Total","Clients par montant de commande"
"DHTML Date/Time Selector","Sélecteur de date/heure DHTML"
"Dashboard","Tableau de bord"
"Data Format","Format de données"
"Data transfer:","Transfert de données"
"Database","Base de données"
"Date & Time","Date & heure"
"Date Added","Date d'ajout"
"Date Updated","Date de mise à jour"
"Date selection:","Sélection de date :"
"Date selector","Sélecteur de date"
"Day","Jour"
"Decimal separator:","Séparateur de décimales :"
"Default (Admin) Values","Valeurs par défaut (admin)"
"Default Billing Address","Adresse de facturation par défaut"
"Default Config","Configuration par défaut"
"Default Template from Locale","Gabarit par défaut pour la locale"
"Default Values","Valeurs par défaut"
"Default scope","Portée par défaut"
"Delete","Supprimer"
"Delete %s","Effacer %s"
"Delete %s '%s'","Effacer %s '%s'"
"Delete Block","Supprimer le bloc"
"Delete File","Supprimer le fichier"
"Delete Image","Effacer l'image"
"Delete Profile","Effacer le profil"
"Delete Role","Supprimer le rôle"
"Delete Store","Supprimer le magasin"
"Delete Store View","Effacer la vue magasin"
"Delete Template","Supprimer le gabarit"
"Delete User","Supprimer l'utilisateur"
"Delete Website","Supprimer le site web"
"Design Section","Section design"
"Details","Détails"
"Developer Section","Section développeur"
"Direction:","Direction :"
"Disable","Désactiver"
"Disabled","Désactivé"
"Display %s first","Afficher d'abord %s"
"Display default currency","Afficher la devise par défaut"
"Distributed under GNU LGPL. See %s for details.","Distribué sous licence GNU LGPL. Voir %s pour plus de détails."
"Do you really want to KILL parallel process and start new indexing process?","Voulez-vous vraiment tuer le processus parallèle et démarrer un nouveau processus d'indextation ?"
"Download","Télécharger"
"Downloads","Téléchargements"
"Drag to move","Glisser pour déplacer"
"Drop-down","Liste déroulante"
"Edit","Éditer"
"Edit Block","Éditer le bloc"
"Edit Block '%s'","Éditer le bloc '%s'"
"Edit Design Change","Éditer le changement de design"
"Edit Email Template","Éditer le gabarit de l'email"
"Edit Order","Éditer la commande"
"Edit Poll","Éditer le sondage"
"Edit Queue","Éditer la file d'attente"
"Edit Review","Éditer le commentaire"
"Edit Role","Modifier le rôle"
"Edit Store View","Éditer la vue magasin"
"Edit System Template","Éditer le gabarit système"
"Edit Template","Éditer le gabarit"
"Edit URL Rewrite","Éditer la réécriture d'URL"
"Edit User","Modifier un utilisateur"
"Edit User '%s'","Éditer l'utilisateur '%s'"
"Edit Variable","Modifier la variable"
"Edit Website","Modifier le site web"
"Email Address:","Adresse mail :"
"Email to a Friend","Envoyer à un ami"
"Email:","Email :"
"Enable","Activer"
"Enabled","Activé"
"Enclose Values In:","Entourer les valeurs avec :"
"Entity Attributes","Attributs d'entité"
"Entity Type","Type d'entité"
"Entity type:","Type d'entité :"
"Error","Erreur"
"Excel XML","XML d'Excel"
"Excl. Tax","HT"
"Excl. Tax:","HT :"
"Exclude media folder from backup","Exclure le dossier media de la sauvegarde"
"Expiration Date","Date d'expiration"
"Expiration Date: %s/%s","Date d'expiration : %s/%s"
"Export","Exporter"
"Export CSV","Exporter en CSV"
"Export Filters","Filtres d'export"
"Export to:","Exporter vers :"
"Export:","Export :"
"FTP Host","Hôte FTP"
"FTP Host[:Port]","Hôte FTP [:Port]"
"FTP Login","Login FTP"
"FTP Password","Mot de passe FTP"
"FTP credentials","Identifiants FTP"
"Failed","Échec"
"Field","Champ"
"Field Mapping","Mapping de champs"
"File","Fichier"
"File Information","Informations du fichier"
"File System","Système de fichiers"
"File name:","Nom du fichier :"
"File size should be more than 0 bytes","Le fichier doit avoir une taille supérieure à 0 octets"
"Finished profile execution.","Exécution du profil terminée."
"First Invoice Created Date","Date de création de la première facture"
"First Name","Prénom"
"First Name:","Prénom :"
"Fixed","Fixe"
"Flush Catalog Images Cache","Purger le cache des images catalogue"
"Flush JavaScript/CSS Cache","Purger le cache JavaScript/CSS"
"For category","Pour la catégorie"
"For latest version visit: %s","Pour la visite de la dernière version : %s"
"For product","Pour le produit"
"Forgot your password?","Mot de passe oublié ?"
"Forgot your user name or password?","Nom d'utilisateur ou mot de passe oublié ?"
"From","Depuis"
"Gb","Go"
"General Information","Informations générales"
"General Section","Section générale"
"Get Image Base64","Récupérer l'image Base64"
"Get help for this page","Obtenir de l'aide pour cette page"
"Global Attribute","Attribut global"
"Global Record Search","Recherche globale"
"Global Search","Recherche globale"
"Go Today","Aller à aujourd'hui"
"Go to Top","Aller en haut"
"Grand Total","Montant global"
"Grid (default) / List","Grille (par défaut) / Liste"
"Grid Only","Grille uniquement"
"Group:","Groupe :"
"Guest","Invité"
"HTTP (unsecure)","HTTP (non sécurisé)"
"Home","Accueil"
"ID","Identifiant"
"ID Path","ID chemin"
"IP Address","Adresse IP"
"IPN (Instant Payment Notification) Only","Notification instantanée de paiement (IPN) seulement"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si vous ne souhaitez pas spécifier une valeur d'option pour pour une vue magasin spécifique, la valeur par défaut (admin) sera utilisée"
"Images Cache","Cache images"
"Import","Importer"
"Import Service","Service d'importation"
"Import and Export Tax Rates","Importer et exporter des taux de TVA"
"Import/Export","Importer/Exporter"
"Import/Export Advanced","Import/export avancé"
"Import/Export Profile","Profil d'import/export"
"Important: ","Important : "
"Imported <strong>%s</strong> records","<strong>%s</strong> enregistrements importés"
"In","En"
"In Database:","Dans la base de données :"
"In File:","Dans le fichier :"
"Inactive","Inactif"
"Incl. Tax","TTC"
"Incl. Tax:","TTC:"
"Incoming Message","Message entrant"
"Insert Variable...","Insérer une variable..."
"Interactive","Interactif"
"Interface Locale: %s","Langue de l'interface : %s"
"Invalid Form Key. Please refresh the page.","Clé de formulaire invalide. Veuillez actualiser la page."
"Invalid Import Service Specified","Service d'import spécifié non valide"
"Invalid Secret Key. Please refresh the page.","Clé secrète invalide. Rafraichissez la page."
"Invalid data","Données non valides"
"Invalid directory: %s","Répertoire invalide : %s"
"Invalid file: %s","Fichier invalide : %s"
"Invalid input data for %s => %s rate","Données d'entrée pour %s => taux %s : non valides"
"Invalid parent block for this block","Block parent invalide pour ce block"
"Invalid response","Réponse invalide"
"Invalidated","Non validé"
"Inventory Stock Status","Statut du stock de l'inventaire"
"Invoice #%s comment added","Commentaire ajouté à la facture n°%s"
"Invoice #%s created","Facture n°%s créée"
"Invoice History","Historique de la facture"
"Invoice Totals","Totaux de la facture"
"Invoices","Factures"
"Is Closed","Est fermé"
"Is Default","Est par défaut"
"Issue Number","Numéro de problème"
"Items","Articles"
"JavaScript seems to be disabled in your browser.","Javascript est désactivé dans votre navigateur."
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Kb","Ko"
"Last 24 Hours","Dernières 24 heures"
"Last 5 Orders","5 dernières commandes"
"Last 5 Search Terms","5 derniers termes recherchés"
"Last 7 Days","7 derniers jours"
"Last Credit Memo Created Date","Date de création du dernier avoir"
"Last Invoice Created Date","Date de création de la dernière facture"
"Last Logged In (%s):","Dernière connection (%s) le :"
"Last Logged In:","Dernière connexion le :"
"Last Name","Nom"
"Last Name:","Nom :"
"Latest Message:","Dernier message :"
"Layered Navigation Indices","Indexes de navigation par filtre"
"Leave empty to use tax identifier","Laissez vide pour utiliser l'identifiant de TVA"
"Lifetime Sales","Montant du total de toutes les ventes"
"Links","Liens"
"List (default) / Grid","Liste (par défaut) / grille"
"List Only","Liste uniquement"
"Load Template","Charger le gabarit"
"Load default template","Charger le gabarit par défaut"
"Loading...","En cours de chargement..."
"Local Server","Serveur local"
"Local/Remote Server","Serveur local/distant"
"Locale","Profil local"
"Log In","Connexion"
"Log Out","Déconnexion"
"Log in to Admin Panel","<em>Connexion</em> à l'administration"
"Logged in as %s","Connecté sous <strong>%s</strong>"
"Login","Connexion"
"Low Stock","Stock bas"
"MAJOR","MAJEUR"
"MINOR","MINEUR"
"MS Excel XML","XML MS Excel"
"Magento Logo","Logo Magento"
"Magento root directory","Répertoire racine de Magento"
"Manage Attribute Sets","Gérer les jeux d'attributs"
"Manage Attributes","Gérer les attributs"
"Manage Categories","Gérer les catégories"
"Manage Currency Rates","Gestion des taux des devises"
"Manage Customers","Gérer les clients"
"Manage Options (values of your attribute)","Gérer les options (valeurs de vos attributs)"
"Manage Ratings","Gérer les notations"
"Manage Stores","Gestion des magasins"
"Manage Tax Rules","Gérer les règles de taxes"
"Manage Titles (Size, Color, etc.)","Gérer les titres (taille, couleur, etc.)"
"Manual","Manuel"
"Maximum sender name length is 255. Please correct your settings.","La longueur maxi du nom d'expéditeur est 255. Merci de modifier vos paramètres."
"Mb","Mo"
"Media (.avi, .flv, .swf)","Média (.avi, .flv, .swf)"
"Messages Inbox","Messages reçus"
"Month","Mois"
"Most Viewed","Les plus consultés"
"Most Viewed Products","Produits les plus vus"
"Multiple Select","Sélection multiple"
"My Account","Mon compte"
"N/A","N/D"
"NOTICE","ANNONCE"
"Name","Nom"
"Name on Card","Propriétaire de la carte"
"Name on the Card: %s","<strong>Nom sur la carte :</strong> <span class=""nowrap"">%s</span>"
"Name:","Nom :"
"Never (production)","Jamais (en production)"
"New ","Nouveau "
"New Accounts","Nouveaux comptes"
"New Attribute","Nouvel attribut"
"New Block","Nouveau bloc"
"New Category","Nouvelle catégorie"
"New Class","Nouvelle classe"
"New Condition","Nouvelle condition"
"New Custom Variable","Nouvelle variable personnalisée"
"New Customer","Nouveau client"
"New Customers","Nouveaux clients"
"New Design Change","Nouveau changement de design"
"New Email Template","Nouveau gabarit de mail"
"New Group","Nouveau groupe"
"New Invoice","Nouvelle facture"
"New Item Type","Nouveau type d'article"
"New Memo","Nouvel avoir"
"New Page","Nouvelle page"
"New Password","Nouveau mot de passe"
"New Poll","Nouveau sondage"
"New Profile","Nouveau profil"
"New Rating","Nouvelle notation"
"New Review","Nouveau commentaire"
"New Role","Nouveau rôle"
"New Rule","Nouvelle règle"
"New Search","Nouvelle recherche"
"New Set","Nouveau groupe"
"New Shipment","Nouvelle livraison"
"New Sitemap","Nouveau plan de site"
"New Store View","Nouvelle vue magasin"
"New System Template","Nouveau gabarit système"
"New Tag","Nouveau tag"
"New Template","Nouveau gabarit"
"New User","Nouvel utilisateur"
"New Website","Nouveau site web"
"Newsletter Queue","File d'attente newsletter"
"Newsletter Subscribers","Abonnés à la newsletter"
"Newsletter Templates","Gabarits newsletter"
"Next month (hold for menu)","Mois suivant (maintenez pour le menu)"
"Next year (hold for menu)","Année prochaine (maintenez pour le menu)"
"No","Non"
"No (price without tax)","Non (prix sans taxes)"
"No Data","Aucune donnée"
"No Data Found","Aucune donnée trouvée"
"No Templates Found","Aucun gabarit trouvé"
"No change","Aucun changement"
"No profile loaded...","Aucun profil chargé..."
"No records found for this period.","Aucune donnée pour cette période."
"No records found.","Aucun élément trouvé."
"No search keywords.","Aucun mot clé de recherche."
"No search modules were registered","Aucun module de recherche n'a été enregistré"
"None","Aucun"
"Note:","Remarque :"
"Notes","Remarques"
"Number of Orders","Nombre de commandes"
"Number of Uses","Nombre d'utilisations"
"Number of Views","Nombre de consultations"
"Number of records:","Nombre d'enregistrements :"
"Old rate:","Ancien taux :"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Une fois connecté avec votre compte PayPal Advanced, allez dans les paramètres de service - Pages de paiement hébergées - Menu configuration et configurez les options décrites ci-dessous"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Une fois connecté avec votre compte PayPal Payflow Link, allez dans les paramètres de service - Pages de paiement hébergées - Menu configuration et configurez les options décrites ci-dessous"
"Online Customers","Clients en ligne"
"Only Once (version upgrade)","Une fois seulement (mise à jour de version)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Ne sont disponibles que les attributs ayant une portée ""Global"", un type de saisie ""Liste déroulante"" et ayant la valeur ""Oui"" à Utiliser pour créer un produit configurable."
"Only mapped fields","Champs mappés uniquement"
"Optional","Facultatif"
"Options is required","Au moins une option doit être créée"
"Order","Commande"
"Order #%s","Commande #%s"
"Order #%s (%s)","Commande #%s (%s)"
"Order ID","ID Commande"
"Order Totals","Total de la commande"
"Orders","Commandes"
"Original Magento attribute names in first row:","Noms d'attribut d'origine dans la première ligne :"
"Out of stock","Épuisé"
"Parent Product Thumbnail","Vignette du produit parent"
"Parent Transaction ID","ID de transaction principale"
"Passive mode","Mode passif"
"Password","Mot de passe"
"Password Confirmation","Confirmation mot de passe"
"Password:","Mot de passe :"
"Path:","Chemin :"
"Pending Reviews","Commentaires en attente"
"Pending Tags","Tags en attente"
"Per Item","Par article"
"Per Order","Par commande"
"Percent","Pourcent"
"Performed At","Effectué le"
"Period","Période"
"Permanent (301)","Permanente (301)"
"Personal Information","Informations personnelles"
"Phone:","Téléphone :"
"Please Select","Veuillez sélectionner"
"Please confirm site switching. All data that hasn't been saved will be lost.","Veuillez confirmer le changement de site. Toutes les données non sauvegardées seront perdues."
"Please enter 6 or more characters.","Saisissez 6 caractères ou plus"
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par exemple 100.00 €."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Saisissez une URL valide. Par exemple http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Saisissez une URL valide. Elle doit commencer par http://"
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte bancaire valide."
"Please enter a valid date.","Veuillez saisir une date valide."
"Please enter a valid email address. For example johndoe@domain.com.","Saisissez une adresse email valide. Par ex. johndoe@domain.com"
"Please enter a valid email.","Veuillez saisir une adresse email valide."
"Please enter a valid number in this field.","Veuillez saisir un nombre valide dans ce champ."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide."
"Please enter a valid social security number. For example 123-45-6789.","Saisissez un numéro de sécurité sociale valide. Par exemple 123-45-6789."
"Please enter a valid value from list","Entrez une valeur valide de la liste"
"Please enter a valid value, ex: 10,20,30","Saisissez une valeur valide, par ex : 10, 20, 30"
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Saisissez un code postal valide. Par exemple 90602 ou 90602-1234."
"Please enter valid password.","Saisissez un mot de passe valide."
"Please make sure that all global admin search modules are installed and activated.","Vérifiez que tous les modules admin de recherche sont installés et activés"
"Please make sure that your changes were saved before running the profile.","Vérifiez que vos modifications ont été sauvegardées avant de lancer le profil."
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"Please select State/Province.","Veuillez choisir une région/un département."
"Please select an option.","Sélectionnez une option."
"Please select customer(s).","Sélectionnez au moins un client"
"Please select one of the above options.","Sélectionnez une des options ci-dessus."
"Please select one of the options.","Merci de sélectionner l'une de ces options."
"Please select review(s).","Sélectionnez au moins un commentaire"
"Please specify the admin custom URL.","Spécifiez l'URL d'admin personnalisée"
"Please use in this field only ""a-z,0-9,_"".","Ce champ n'accepte que les caractères ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Veuillez ne saisir que des lettres (a-z) dans ce champ."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Veuillez utiliser uniquement des lettres (a-z ou A-Z), des chiffres (0-9) ou des espaces dans ce champ."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez ne saisir que des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Veuillez ne saisir que des lettres (a-z) ou des chiffres (0-9) ou des espaces ou des dièses (#) dans ce champ."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser ce format de date : jj/mm/aaaa. Par exemple, 21/12/2012 pour le 21 Décembre 2012."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Please wait...","Veuillez patienter..."
"Poll Manager","Gestion des sondages"
"Polls","Sondages"
"Popular","Populaire"
"Position of Watermark for %s","Position du filigrane pour %s"
"Prev. month (hold for menu)","Mois précédent (maintenez pour le menu)"
"Prev. year (hold for menu)","Année précédente (maintenez pour le menu)"
"Preview","Prévisualiser"
"Preview Template","Prévisualiser le gabarit"
"Price","Prix"
"Price:","Prix :"
"Processed <strong>%s%% %s/%d</strong> records","<strong>%s%% %s/%d</strong> enregistrements traités"
"Processing","En cours de traitement"
"Product","Produit"
"Product Name","Nom du produit"
"Product Reviews","Commentaires"
"Product Tax Classes","Classe de taxe produit"
"Product Thumbnail Itself","Vignette du produit lui-même"
"Product:","Produit :"
"Products","Produits"
"Products Bestsellers Report","Rapport des meilleures ventes"
"Products Most Viewed Report","Rapport des produits les plus vus"
"Products Ordered","Produits commandés"
"Products in Carts","Produits dans des paniers"
"Profile Action","Action de profil"
"Profile Actions XML","XML d'actions du profil"
"Profile Direction","Direction du profil"
"Profile History","Historique du profil"
"Profile Information","Informations du profil"
"Profile Name","Nom du profil"
"Profile Wizard","Assistant de profil"
"Profiles","Profils"
"Quantity","Quantité"
"Queue Refresh","Rafraîchir la file"
"Queued... Cancel","Mis en file d'attente... Annuler"
"Radio Buttons","Boutons radio"
"Rates","Taux"
"Read details","Détails"
"Rebuild","Reconstruire"
"Rebuild Catalog Index","Reconstruire l'index du catalogue"
"Rebuild Flat Catalog Category","Reconstruire le catalogue à plat des catégories"
"Rebuild Flat Catalog Product","Reconstruire le catalogue à plat des produits"
"Recent Orders","Commandes récentes"
"Recent statistics have been updated.","Les statistiques récentes ont été mise à jour."
"Recursive Dir","Répertoire récursif"
"Redirect","Rediriger"
"Reference ID","Réference ID"
"Refresh","Rafraîchir"
"Refresh Now*","Rafraîchir maintenant*"
"Refresh Statistics","Actualiser les statistiques"
"Region/State","Région/État"
"Regular Price:","Prix normal :"
"Reject","Rejeter"
"Release","Publication"
"Release Stability","Stabilité de la publication"
"Release Version","Version de la publication"
"Reload captcha","Recharger le captcha"
"Remote FTP","FTP distant"
"Remove","Supprimer"
"Reports","Rapports"
"Request Path","Chemin de requête"
"Required","Obligatoire"
"Reset","Réinitialiser"
"Reset Filter","Réinitialiser le filtre"
"Reset Password","Réinitialiser le mot de passe"
"Reset a Password","Réinitialiser un mot de passe"
"Resize","Redimensionner"
"Resource Access","Accès aux ressources"
"Resources","Ressources"
"Results","Résultats"
"Retrieve Password","Récupérer mot de passe"
"Return Html Version","Revenir à la version HTML"
"Revenue","Chiffre d'affaire"
"Reviews","Commentaires"
"Reviews and Ratings","Commentaires et notations"
"Role ID","ID rôle"
"Role Info","Infos du rôle"
"Role Information","Informations du rôle"
"Role Name","Nom du rôle"
"Role Resources","Ressources du rôle"
"Role Users","Utilisateurs ayant ce rôle"
"Roles","Rôles"
"Roles Resources","Ressources des rôles"
"Root Category","Catégorie racine"
"Rotate CCW","Tourner dans le sens inverse des aiguilles d'une montre"
"Rotate CW","Tourner dans le sens des aiguilles d'une montre"
"Run","Exécuter"
