"# of Use","Nb d'utilisations"
"%1$s incl tax.","%1$s TTC"
"%s Item(s)","%s article(s)"
"Double click on a group to rename it","Double-cliquez sur un groupe pour le renommer"
"Double click on above image to view full picture","Double-cliquez sur l'image ci-dessus pour la voir en entier"
"Downloadable Information","Informations téléchargements"
"Duplicate","Dupliquer"
"Duplicate amount found.","Montant en double."
"Duplicate website tier price customer group and quantity.","Le prix par palier pour ce site web, ce groupe client et cette quantité existe déjà."
"Duplicate website, country and state tax found.","Une taxe pour ce site web, ce pays et cet état existe déjà."
"Edit","Éditer"
"Edit Attribute Set '%s'","Éditer le jeu d'attributs '%s'"
"Edit Product Attribute","Éditer l'attribut produit"
"Edit Product Attribute ""%s""","Éditer l'attribut produit ""%s"""
"Edit Search","Modifier la recherche"
"Edit Search '%s'","Éditer la recherche '%s'"
"Email to a Friend","Envoyer à un ami"
"Empty","Vide"
"Enable MAP","Activer le prix minimum affiché"
"Enable Qty Increments","Activer les incréments de quantités"
"Enabled","Activé"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option : %s"
"Exclude","Exclure"
"Expand All","Tout développer"
"Failed","Échec"
"Failed to move file: %s","Erreur lors du déplacement du fichier : %s"
"Feature Products","Produits sélectionnés"
"File upload failed","L'envoi de fichier a échoué"
"Filter","Filtre"
"Filterable (no results)","Filtrable (pas de résultats)"
"Filterable (with results)","Filtrable (avec résultats)"
"First Name","Prénom"
"Fixed","Fixe"
"For the last time placed.","Lors de la dernière requête."
"Frontend Model","Modèle du front office"
"Frontend Properties","Propriétés du front-office"
"Gallery","Galerie"
"General Information","Informations générales"
"Get special price","Récupérer le prix spécial"
"Globally Editable","Éditable globalement"
"Go to Home Page","Aller à la page d'accueil"
"Grid","Grille"
"Grouped Product","Produit groupé"
"Groups","Groupes"
"Home","Accueil"
"ID","Identifiant"
"ID: %s","ID : %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si vous ne souhaitez pas spécifier une valeur d'option pour pour une vue magasin spécifique, la valeur par défaut (admin) sera utilisée"
"Image content is not valid base64 data.","L'image ne contient pas de données base64 valides."
"Image type and information need to be specified for each store view.","Le type et les informations d'image doivent être spécifiés pour chaque vue magasin."
"In Cart","Dans le panier"
"In Stock","En stock"
"In stock","En stock"
"Incl. Tax","TTC"
"Index product prices","Index des tarifs produit"
"Indexed category/products association","Index des associations catégorie/produits"
"Input Type","Type de saisie"
"Integer","Entier"
"Interval Division Limit","Limite de division d'intervalle"
"Invalid Tier Prices","Prix par palier invalides"
"Invalid attribute %s","Attribut %s invalide"
"Invalid image type.","Type d'image invalide."
"Invalid store specified","Magasin spécifié non valide"
"Inventory","Inventaire"
"Is Default","Est par défaut"
"Is Required","Obligatoire"
"Items %s to %s of %s total","Total des articles de <strong>%s</strong> à <strong>%s</strong> sur <strong>%s</strong>"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les articles que vous ne voulez pas afficher dans le catalogue ou dans les résultats de recherche doivent avoir le statut 'Désactivé' dans le magasin souhaité."
"Label","Libellé"
"Last Name","Nom"
"Last Notification","Dernière notification"
"Layered Navigation","Navigation par filtres"
"Learn More","En savoir plus"
"Line %d, Email: %s","Ligne %d, Email : %s"
"Line %d, SKU: %s","Ligne %d, Réf. : %s"
"Link (Related, Up sell, Cross sell)","Lien (produits apparentés, vente incitative, vente croisée)"
"Link to a Specified Category","Lien vers une catégorie spécifique"
"Link to a Specified Product","Lien vers un produit spécifique"
"List","Liste"
"List Mode","Mode d'affichage"
"List of Products that are set as New","Liste des produits configurés comme ""Nouveaux"""
"Manage Attribute Sets","Gérer les jeux d'attributs"
"Manage Attributes","Gérer les attributs"
"Manage Catalog Categories","Gérer les catégories du catalogue"
"Manage Categories","Gérer les catégories"
"Manage Label / Options","Gérer les labels/les options"
"Manage Options (values of your attribute)","Gérer les options (valeurs de vos attributs)"
"Manage Product Attributes","Gérer les attributs produit"
"Manage Product Sets","Gérer les groupes de produits"
"Manage Products","Gérer les produits"
"Manage Stock","Gérer les stocks"
"Manage Titles (Size, Color, etc.)","Gérer les titres (taille, couleur, etc.)"
"Max Characters","Nombre maxi de caractères"
"Maximal Depth","Profondeur maxi"
"Maximum Image Size","Taille d'image maximum"
"Maximum Number of Price Intervals","Nombre maxi d'intervalles de prix"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Maximum image height","Hauteur maximum d'image"
"Maximum image width","Largeur maximum d'image"
"Maximum number of characters:","Nombre maxi de caractères :"
"Maximum number of price intervals is 100","Le nombre maxi d'intervalles de prix est 100"
"Media Image","Image"
"Minimum Advertised Price","Prix ​​minimum affiché"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"Minimum Qty for Item's Status to be Out of Stock","Quantité mini pour que le produit soit considéré comme épuisé"
"More Views","Plus de vues"
"Move","Déplacer"
"Move category in tree","Déplacer la catégorie dans l'arbre"
"Must be in the allowed values list.","Doit être dans la liste des valeurs autorisées."
"My Account","Mon compte"
"N/A","N/D"
"Name","Nom"
"New Product","Nouveau produit"
"New Product Attribute","Nouvel attribut produit"
"New Products","Nouveaux produits"
"New Products Grid Template","Gabarit des nouveaux produits sous forme de grille"
"New Products List Template","Gabarit des nouveaux produits sous forme de liste"
"New Search","Nouvelle recherche"
"New Set Name","Nouveau nom de jeu"
"New products","Nouveaux produits"
"Next","Suivant"
"No","Non"
"No image","Pas d'image"
"No layout updates","Pas de modification de l'agencement"
"No options of this product are available.","Il n'y a pas d'options disponible pour ce produit."
"None","Aucun"
"Not Visible Individually","Non visible individuellement"
"Notify Low Stock RSS","Flux RSS de notification de stock bas"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Number of Products per Page","Nombre de produits par page"
"Number of Products to Display","Nombre de produits à afficher"
"Number of Uses","Nombre d'utilisations"
"Number of results","Nombre de résultats"
"Number of results (For the last time placed)","Nombre de résultats (retournés lors de la dernière recherche)"
"OR","OU"
"Old Price:","Ancien prix :"
"On Gesture","Au geste"
"Option:","Option :"
"Options Control","Contrôle des options"
"Options is required","Au moins une option doit être créée"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Notre service client et disponible 24h/24 et 7j/7. Appelez-nous au 01 02 03 04 05."
"Out of Stock","Épuisé"
"Out of stock","Épuisé"
"Page Title Separator","Séparateur de titre de page"
"Parent Category","Catégorie parente"
"Pending","En attente"
"Pending Reviews RSS","Flux RSS des commentaires en attente"
"Percentage","Pourcentage"
"Please add rows to option.","Veuillez ajouter des lignes à l'option"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Soyez vigilant, dès que vous cliquerez sur la ligne, les données du package seront chargées et toutes les données du formulaire non sauvegardées seront perdues."
"Please enter a new group name","Veuillez entrer un nouveau nom de groupe"
"Please select one or more attributes.","Sélectionnez un ou plusieurs attributs"
"Please select products for attributes update","Sélectionnez les produits pour la mise à jour des attributs"
"Please specify date required option(s).","Spécifiez la ou les option(s) de date obligatoire(s)."
"Please specify the number of products, that will not be divided into subintervals.","Spécifiez le nombre de produits qui ne seront pas divisés en sous-intervalles."
"Please specify the product required option(s)","Veuillez spécifier la (les) option(s) obligatoire(s) de produit"
"Please specify the quantity of product(s).","Spécifiez la quantité de produit(s)."
"Please specify time required option(s).","Spécifiez la ou les option(s) d'heure obligatoire(s)."
"Please wait...","Veuillez patienter..."
"Position in Layered Navigation","Position dans la navigation par filtres"
"Position of attribute in layered navigation block","Position de l'attribut dans le bloc de navigation par filtres"
"Prev","Précédent"
"Previous","Précédent"
"Price","Prix"
"Price Navigation Step Calculation","Type de calcul des tranches de prix"
"Price Type","Type de prix"
"Price values for options should be specified in system base currency.","Les valeurs de prix pour les options doivent être spécifié dans la devise de base."
"Price:","Prix :"
"Print This Page","Imprimer cette page"
"Product","Produit"
"Product API","API produit"
"Product Alerts","Alertes du produit"
"Product Attribute","Attribut du produit"
"Product Attributes","Attributs de produit"
"Product Categories","Catégories du produit"
"Product Description","Description du produit"
"Product Flat Data","Données fixes de produit"
"Product ID","ID de produit"
"Product Image Placeholders","Emplacements de l'image par défaut des produits"
"Product Image Watermarks","Filigranes d'images de produits"
"Product Images","Images de produit"
"Product Images API","API images de produit"
"Product In Websites","Publier dans les sites web"
"Product Info Column","Colonne d'information de produit"
"Product Information","Informations produit"
"Product Link Block Template","Gabarit de lien produit (bloc)"
"Product Link Inline Template","Gabarit de lien produit (en ligne)"
"Product Listing Sort by","Tri des listes de produits"
"Product Name","Nom du produit"
"Product Reviews","Commentaires"
"Product Tags","Tags du produit"
"Product Tier Price API","API des prix par paliers"
"Product Type","Type du produit"
"Product URL Suffix","Suffixe d'URL de produit"
"Product attribute sets API","API de jeux d'attributs de produit"
"Product attributes API","API d'attributs de produit"
"Product is not loaded","Le produit n'est pas chargé"
"Product links API (related, cross sells, up sells)","API des liens de produit (produits apparentés, ventes croisées, ventes incitatives)"
"Product types API","API de types de produit"
"Product with this combination of attributes already associated to configurable.","Un produit avec cette combinaison d'attributs est déjà associé à ce produit configurable."
"Products","Produits"
"Products Comparison List","Liste de comparaison de produits"
"Products Information","Informations produits"
"Products Reviews","Avis Produits"
"Products Sitemap","Plan de site des produits"
"Products only","Produits seulement"
"Products per Page on Grid Allowed Values","Valeurs autorisées pour le nombre de produits par page dans l'affichage en grille"
"Products per Page on Grid Default Value","Produits par page dans l'affichage en grille"
"Products per Page on List Allowed Values","Produits par page dans l'affichage en liste"
"Products per Page on List Default Value","Produits par page dans l'affichage en liste par défaut"
"Properties","Propriétés"
"Qty","Qté"
"Qty Increments","Incréments de quantités"
"Qty Uses Decimals","La quantité utilise des décimales"
"Qty:","Qté :"
"Quantity","Quantité"
"Quick Create","Création rapide"
"Quick Overview","Description rapide"
"Quick simple product creation","Création rapide de produit simple"
"Redirect","Rediriger"
"Redirect URL","URL de redirection"
"Regular Price:","Prix normal :"
"Related Products","Produits associés"
"Remove","Supprimer"
"Remove Product From Websites","Supprimer le produit des sites web"
"Remove This Item","Retirer cet élément"
"Remove product assignment","Supprimer l'assignation de produit"
"Remove product image","Supprimer l'image de produit"
"Remove product link","Supprimer le lien de produit"
"Reorganize EAV category structure to flat structure","Réorganise la structure de catégorie EAV en une structure fixe"
"Reorganize EAV product structure to flat structure","Réorganise la structure de produit EAV en une structure fixe"
"Reset","Réinitialiser"
"Results","Résultats"
"Retrieve attribute data","Récupérer les données de l'attribut"
"Retrieve attribute list","Récupérer la liste d'attributs"
"Retrieve attribute options","Récupérer les options d'attribut"
"Retrieve categories tree","Récupérer l'arbre des catégories"
"Retrieve category attributes","Récupérer les attributs de catégorie"
"Retrieve category data","Récupérer les données de catégorie"
"Retrieve hierarchical tree","Récupérer l'arbre hiérarchique"
"Retrieve linked products","Récupérer les produits liés"
"Retrieve list of assigned products","Récupérer la liste des produits assignés"
"Retrieve one level of categories by website/store view/parent category","Récupérer un niveau des catégories par site web/magasin/catégorie parente"
"Retrieve product","Récupérer le produit"
"Retrieve product attribute sets","Récupérer les jeux d'attributs de produit"
"Retrieve product image","Récupérer l'image de produit"
"Retrieve product image list","Récupérer la liste des images de produit"
"Retrieve product image types","Récupérer les types d'images de produit"
"Retrieve product link type attributes","Récupérer les attributs de type de lien de produit"
"Retrieve product link types","Récupérer les types de liens de produit"
"Retrieve product tier prices","Récupérer les prix par paliers du produit"
"Retrieve product types","Récupérer les types de produit"
"Retrieve products data","Récupérer les données de produits"
"Retrieve products list by filters","Récupérer une liste filtrée de produits"
"Reviews","Commentaires"
"Roll Over for preview","Survoler pour avoir un aperçu"
"Root","Racine"
"SKU","REF"
"Save","Sauvegarder"
"Save Attribute","Sauvegarder l'attribut"
"Save Attribute Set","Sauvegarder le groupe d'attributs"
"Save Category","Sauvegarder la catégorie"
"Save Search","Sauvegarder la recherche"
"Save and Continue Edit","Sauvegarder et continuer d'éditer"
"Scope","Portée"
"Scope must not be changed, because the attribute is used in configurable products.","La portée ne doit pas être modifiée car l'attribut est utilisé dans des produits configurables."
"Search","Chercher"
"Search Engine Optimizations","Optimisations pour les moteurs de recherche"
"Search Information","Informations de recherche"
"Search Query","Termes de recherche"
"Search Weight","Poids dans la recherche"
"Searchable","Utiliser dans la recherche"
"See price before order confirmation.","Voir le prix avant la confirmation de commande."
"Select Category...","Choisir une catégorie..."
"Select Configurable Attributes ","Sélectionner les attributs configurables"
"Select Product...","Choisir un produit..."
"Select type of option","Choisissez un type d'option"
"Select type options required values rows.","Sélectionner les lignes des valeurs obligatoires des options."
"Selected Product Types","Types de produit sélectionnés"
"Send Count","Nombre d'envois"
"Set Ascending Direction","Par ordre croissant"
"Set Descending Direction","Par ordre décroissant"
"Set Name","Nom du groupe"
"Set root category for this store in the <a href=""%s"">configuration</a>","Choisir la catégorie racine pour ce magasin dans la <a href=""%s"">configuration</a>"
"Set special price","Fixer un prix spécial"
"Set/Get current store view","Renseigner/récupérer la vue magasin en cours"
"Settings","Paramètres"
"Shop By","Filtrer par"
"Shopping Options","Affiner la recherche"
"Show","Afficher"
"Show Details","Afficher les détails"
"Show Tags","Afficher les tags"
"Simple Product","Produit simple"
"Site Map","Plan du site"
"Sitemap","Plan de site"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ligne ignorée, la valeur ""%s"" n'est pas valide pour le champ ""%s"""
"Some of the selected item options are not currently available.","Certaines options choisies ne sont pas disponibles pour le moment."
"Sort By","Trier par"
"Sort Order","Trie commande"
"Source Model","Modèle source"
"Special Price:","Prix promotionnel :"
"Starting at:","A partir de :"
"Static","Statique"
"Static block and products","Bloc statique et produits"
"Static block only","Bloc statique uniquement"
"Status","Statut"
"Stock Availability","Disponibilité"
"Store","Magasin"
"Store View","Vue magasin"
"Stretch","Étirer"
"Subscribe to RSS Feed","S'abonner au flux RSS"
"Super product attributes configuration","Configuration des attributs du super produit"
"Synonym For","Synonyme de"
"System Properties","Propriétés système"
"Tag Name","Nom du tag"
"Tax","TVA"
"Template","Gabarit"
"Text","Texte"
"The base directory to upload file is not specified.","Le répertoire de base pour uploader l'image n'est pas spécifié."
"The review was removed by another user or does not exist.","Le commentaire a été supprimé par un autre utilisateur ou n'existe pas."
"There are no %s available.","Aucun(e) %s disponible"
"There are no customers for this alert","Il n'y a aucun client pour cette alerte"
"There are no customers for this alert.","Aucun client pour cette alerte."
"There are no products matching the selection.","Aucun produit ne correspond à la sélection"
"This attribute cannot be edited.","Cet attribut ne peut pas être édité."
"This attribute is used in configurable products.","Cet attribut est utilisé dans les produits configurables."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Cet attribut est utilisé dans des produits configurables. Vous ne pouvez pas le retirer de ce jeu d'attributs."
"This attribute no longer exists","Cette attribut n'existe plus"
"This attribute set no longer exists.","Ce jeu d'attributs n'existe plus."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Ce groupe contient des attributs utilisés dans des produits configurables. Déplacez ces attributs dans un autre groupe et réessayez."
"This group contains system attributes. Please move system attributes to another group and try again.","Ce groupe contient des attributs système. Veuillez déplacer les attributs système vers un autre groupe et réessayer."
"This is a required option","Cette option est requise"
"This search no longer exists.","Cette recherche n'existe plus."
"This setting will be applied when all prices in the specific price interval are equal.","Ce paramétrage s'appliquera lorsque tous les prix seront égaux dans l'intervalle de prix spécifique."
"Tier Pricing","Tarification par palier"
"Tile","Mosaïque"
"Time Format","Format d'heure"
"Title","Titre"
"To see product price, add this item to your cart. You can always remove it later.","Pour voir le prix du produit, ajoutez cet article à votre panier. Vous pourrez toujours l'enlever plus tard."
"Top/Left","En haut à gauche"
"Top/Right","En haut à droite"
"Total Qty Base Items","Quantité totale d'articles de base"
"Total incl. Tax: %1$s","Total TTC : %1$s"
"Type","Type "
"URL Rewrite Management","Gestion de réécriture d'URL"
"Unassigned Attributes","Attributs non assignés"
"Up-sells","Ventes incitatives"
"Update","Mettre à jour"
"Update Attributes","Mettre à jour les attributs"
"Update Tier Price","Mettre à jour les prix par palier"
"Update assigned product","Mettre à jour le produit assigné"
"Update attributes","Modifier les attributs"
"Update category","Mettre à jour la catégorie"
"Update product","Mettre à jour le produit"
"Update product image","Mettre à jour l'image du produit"
"Update product link","Mettre à jour le lien du produit"
"Update product tier prices","Mettre à jour les prix par palier"
"Upload new product image ","Uploader une nouvelle image de produit"
"Use Canonical Link Meta Tag For Categories","Utiliser un lien canonique de meta tag pour les catégories"
"Use Canonical Link Meta Tag For Products","Utiliser un lien canonique de meta tag pour les produits"
"Use Categories Path for Product URLs","Utiliser le chemin des catégories pour l'URL des produits"
"Use Config Settings","Utilisez les paramètres de configuration"
"Use Default Value","Utiliser la valeur par défaut"
"Use Flat Catalog Category","Utiliser le catalogue à plat pour les catégories"
"Use Flat Catalog Product","Utiliser le catalogue à plat pour les produits"
"Use In Layered Navigation","Utiliser dans la navigation par filtres"
"Use In Search Results Layered Navigation","Utiliser dans la navigation par filtres des résultats de recherche"
"Use JavaScript Calendar","Utiliser le calendrier JavaScript"
"Use To Create Configurable Product","Utiliser pour créer un produit configurable"
"Use Tree Like Category Sitemap","Utiliser l'arborescence des catégories pour le plan de site"
"Use config","Utiliser la config"
"Use default","Utilisation par défaut"
"Use for Promo Rule Conditions","Utiliser pour les conditions de règles de promotions"
"Use in Layered Navigation","Utiliser dans la navigation par filtres"
"Used for Sorting in Product Listing","Utiliser pour le tri dans le listing produit"
"Used in Product Listing","Utiliser dans le listing produits"
"View Details","Voir les détails"
"View as","Afficher en"
"Virtual Product","Produit virtuel"
"Visibility","Visibilité"
"Visible on Catalog Pages on Front-end","Visible sur les pages du magasin"
"Visible on Product View Page on Front-end","Visible sur la page produit du magasin"
"WYSIWYG Editor","Éditeur WYSIWYG"
"Watermark","Filigrane"
"Watermark Default Size","Taille par défaut du filigrane"
"Watermark Position","Positionnement du filigrane"
"We Also Recommend","Nous vous recommandons également"
"Website","Site web"
"Websites","Sites web"
"What's this?","Qu'est-ce que c'est ?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Afficher/Masquer l'option ""Tous"" dans le menu déroulant ""Afficher X par page""."
"Wrong option type to get group instance.","Type d'option incorrect pour récupérer l'instance de groupe."
"Year Range","Période annuelle"
"Yes","Oui"
"You cannot remove system attribute from this set.","Vous ne pouvez pas retirer cet attribut système de ce groupe"
"You have no items to compare.","Vous n'avez pas d'articles à comparer."
"You may also be interested in the following product(s)","Vous pourriez également être intéressé par le(s) produit(s) suivant(s)"
"You saved the search term.","Vous avez enregistré le terme de recherche."
"Zoom In","Zoom avant"
"Zoom Out","Zoom arrière"
"and","et"
"and above","et plus"
"categories","catégories"
"each","pièce"
"ex. http://domain.com","Par ex : http://domaine.com"
"leave blank if its not an image","Laisser vide si ce n'est pas une image"
"per page","par page"
"products","produits"
"save","économisez"
"select all","tout sélectionner"
"unselect all","tout désélectionner"
