"* Required Fields","* Champs obligatoires"
"VAT Request Date","Date de demande de TVA"
"VAT Request Identifier","Identifiant de demande de TVA"
"Validate VAT Number","Valider le numéro de TVA"
"Validate on Each Transaction","Valider à chaque transaction"
"Validation Error Group","Groupe d'erreur de validation"
"View","Voir"
"View Order","Visualiser"
"Visitor","Visiteur"
"Visitors Only","Visiteurs seulement"
"Website","Site web"
"Welcome Email","Email de bienvenue"
"Wishlist","Liste d'achats"
"Wishlist - %d item(s)","Liste d'envies - %d article(s)"
"Would you like to change the Customer Group for this order?","Souhaitez-vous changer de groupe client pour cette commande ?"
"Wrong confirmation key.","Clé de confirmation erronée."
"Wrong customer account specified.","Le compte client spécifié est erroné."
"Wrong email.","Email erroné."
"YYYY","AAAA"
"Year","Année"
"You are currently not subscribed to any newsletter.","Vous n'êtes abonné à aucune newsletter."
"You are currently subscribed to 'General Subscription'.","Vous êtes abonné à 'Abonnement général'"
"You are currently subscribed to our newsletter.","Vous êtes abonné(e) à notre newsletter"
"You have no additional address entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses."
"You have no additional entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses"
"You have no default billing address in your address book.","Vous n'avez pas d'adresse de facturation par défaut dans votre carnet d'adresses."
"You have no default shipping address in your address book.","Vous n'avez pas d'adresse de livraison par défaut dans votre carnet d'adresses."
"You have not set a default billing address.","Vous n'avez pas spécifié d'adresse de facturation par défaut."
"You have not set a default shipping address.","Vous n'avez pas spécifié d'adresse de livraison par défaut."
"You have placed no orders yet.","Vous n'avez pas encore passé de commande."
"You have placed no products yet.","Vous n'avez pas encore choisi de produit."
"You will be charged tax.","La TVA vous sera appliquée."
"You will not be charged tax.","La TVA ne vous sera pas appliquée."
"Your Tax ID cannot be validated.","Votre numéro de TVA ne peut pas être validé. Assurez-vous qu'il ne comporte pas de code pays."
"Your VAT ID was successfully validated.","Votre numéro de TVA a bien été validé."
"Your account balance is: %s","Le solde de votre compte est de : <strong>%s</strong>"
"ZIP","Code postal"
"ZIP/Post Code","Code postal"
"Zip/Postal Code","Code postal"
"or","ou"
