"-- Please Select --","--Seleccione--"
"Please enter a valid credit card verification number.","Por favor, introduzca el número de verificación de tarjeta de crédito válido."
"Please enter a valid date.","Por favor introduce una fecha correcta."
"Please enter a valid month (1-12).","Introduce un mes válido (1-12)."
"Please enter a valid number in this field.","Por favor, introduzca un número válido en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, introduzca un número de teléfono válido. Por ejemplo (123) 456-7890 ó 123-456-7890."
"Please enter a valid zip code.","Por favor, introduzca un código postal (C. P.) válido."
"Please enter issue number or start date for switch/solo card type.","Ingrese el número de problema o la fecha de inicio para el tipo de tarjeta conmutador / solo."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select State/Province.","Selecciona un estado/provincia."
"Please select an option.","Por favor selecciona una opción."
"Please select one of the options.","Selecciona una de las opciones."
"Please set available and/or protected paths list(s) before validation.","Por favor, indique la(s) lista(s) de rutas disponibles y/o protegidas antes de la validación."
"Please use letters only (a-z or A-Z) in this field.","Por favor, use sólo letras (a-z o A-Z) en este campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato para fechas: dd/mm/aaaa. Por ejemplo, 17/03/2006 para el 17 de marzo de 2006."
"Port (25)","Puerto (25)"
"Recovery Link Expiration Period (hours)","Período de expiración del enlace de recuperación (horas)"
"Request Path for Specified Store","Solicitud de ruta para la tienda especificada"
"Return-Path Email","Correo electrónico de ruta de retorno"
"Root Category","Categoría raíz"
"Sales Representative","Representante de ventas"
"Save","Guardar"
"Save Store","Guardar la tienda"
"Save Store View","Guardar vista de tienda"
"Security","Seguridad"
"Select Date","Seleccionar fechas"
"Select Media Database","Seleccionar banco de datos para medios"
"Sender Email","Correo electrónico del remitente"
"Sender Name","Nombre del remitente"
"Services","Servicios"
"Session Validation Settings","Ajustes de validación de sesión"
"Set Return-Path","Establecer ruta de retorno"
"Set as Default","Establecer por defecto"
"Sort Order","Orden de aparición"
"Startup Page","Página de inicio"
"Status","Estatus"
"Storage Configuration for Media","Configuración del almacenamiento de medios"
"Store","Tienda"
"Store Email Addresses","Direcciones de correo electrónico de la tienda"
"Store Hours of Operation","Horario de la tienda"
"Store Information","Información de la tienda"
"Store Name","Nombre de la tienda"
"Store View","Vista de la tienda"
"Store View Information","Información de la Vista de Tienda"
"Store view doesn't exist","La vista de tienda no existe"
"Store with the same code","Tienda con el mismo código"
"System","Sistema"
"Template Settings","Configuración de la Plantilla"
"Template Variables","Plantillas Variables"
"The store does not exist","La tienda no existe"
"The value is not within the specified range.","El valor no está dentro del rango especificado."
"The website does not exist.","El sitio web no existe."
"Themes","Temas"
"This is a required field.","Campo obligatorio."
"This store cannot be deleted.","No se puede eliminar esta tienda."
"This store view cannot be deleted.","No se puede eliminar esta vista de tienda."
"This website cannot be deleted.","No se puede eliminar el sitio web."
"This will be included before head closing tag in page HTML.","Esto se incluirá antes de la etiqueta de cierre de cabecera en el HTML de la página."
"Timezone","Zona horaria"
"Transactional Emails","Correos electrónicos transaccionales"
"Translate Inline","Traducir en línea"
"Translations","Traducciones"
"Url Options","Opciones de dirección Url"
"Use Custom Admin Path","Utilizar ruta de acceso del administrador personalizada"
"Use Custom Admin URL","Utilizar URL de administración personalizada"
"Use HTTP Only","Utilizar sólo HTTP"
"None","Ninguno"
"Use Secure URLs in Admin","Utilizar URLs seguras en la parte de administración"
"Use Web Server Rewrites","Utilizar las reescrituras del servidor web"
"VAT Number","Número de IVA"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Validation has failed.","La validación ha fallado."
"Variable Code must be unique.","El código de variable debe ser único."
"Website","Página web"
"Website with the same code","Ya existe un sitio web con el mismo código"
"Weekend Days","Días fin de semana"
"Welcome Text","Texto de bienvenida"
"Wrong file info format","Formato de información del archivo incorrecto"
"Yes","Sí"
