"* Required Fields","* Campos obligatorios"
"Preview","Vista previa"
"Preview Template","Vista previa de la plantilla"
"Price","Precio"
"Price:","Precio:"
"Processing","Procesando"
"Product","Producto"
"Product Name","Nombre del producto"
"Product Reviews","Reseñas de artículo"
"Product Thumbnail Itself","Miniatura del Producto en sí"
"Product:","Producto:"
"Products","Productos"
"Products Bestsellers Report","Informe de artículos más vendidos"
"Products Most Viewed Report","Bericht meistgesehene Artikel"
"Products Ordered","Artículos pedidos"
"Products in Carts","Artikel in Warenkörben"
"Promo","Werbeaktion"
"Promotions","Promociones"
"Quantity","Cantidad"
"Radio Buttons","Botones de radio"
"Rebuild","Reconstruir"
"Rebuild Catalog Index","Reconstrucción del índice de catálogo"
"Rebuild Flat Catalog Category","Reconstruir Tabla Plana de Categoría"
"Rebuild Flat Catalog Product","Reconstruir Tabla Plana de Productos"
"Recent Orders","Pedidos recientes"
"Recent statistics have been updated.","Neueste Statistiken sind aktualisiert worden."
"Reference ID","ID de referencia"
"Refresh","Actualizar"
"Refresh Statistics","Actualizar estadísticas"
"Region/State","Región/Provincia"
"Reload captcha","Recargar captcha"
"Remote FTP","FTP remoto"
"Remove","Eliminar"
"Reports","Informes"
"Request Path","Solicitar ruta"
"Required","Requerido"
"Reset","Restablecer"
"Reset Filter","Restablecer filtro"
"Reset Password","Restablecer contraseña"
"Reset a Password","Reinicializar contraseña"
"Resource Access","Zugriff auf Ressource"
"Resources","Recursos"
"Results","Resultados"
"Retrieve Password","Recuperar contraseña"
"Return Html Version","Devolver versión Html"
"Revenue","Ingresos"
"Reviews","Reseñas"
"Role Info","Información de la función"
"Role Information","Información del rol"
"Role Name","Nombre del puesto"
"Role Resources","Recursos de la función"
"Role Users","Funciones del usuario"
"Roles","Funciones"
"Roles Resources","Funciones de recursos"
"Root Category","Categoría raíz"
"Run","Ausführen"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Sales","Ventas"
"Sales Report","Informe de ventas"
"Samples","Muestras"
"Save","Guardar"
"Save & Generate","Guardar y generar"
"Save Account","Guardar Cuenta"
"Save Cache Settings","Guardar la configuración de caché"
"Save Config","Guardar configuración"
"Save Currency Rates","Guardar los Tipos de Cambio"
"Save Role","Guardar Rol"
"Save Template","Guardar la plantilla"
"Save User","Guardar usuario"
"Save and Continue Edit","Guardar y continuar editando"
"Search","Buscar"
"Search Index","Índice de Búsqueda"
"Search Term","Término de búsqueda"
"Search Terms","Términos de búsqueda"
"Search entire store here...","Buscar en toda la tienda..."
"Select","Seleccionar"
"Select All","Seleccionar Todo"
"Select Category","Kategorie wählen"
"Select Date","Seleccionar fechas"
"Sender","Remitente"
"Separate Email","Separate eMail"
"Shipment Comments","Comentarios del pedido"
"Shipment History","Historial del envío"
"Shipments","Envíos"
"Shipping","Envío"
"Shipping Address","Dirección de envío"
"Shipping Address: ","Direccion de envio: "
"Shipping Origin","Origen del envío"
"Shipping Price","Precio de envío"
"Shopping Cart","Cesta"
"Show By","Mostrar por"
"Show Report For:","Bericht anzeigen für:"
"Show Reviews","Kundenrezensionen anzeigen"
"Sitemap Information","Información del mapa del sitio"
"Skip Category Selection","Saltar selección de categoría"
"Specific Countries","Especifique países."
"Specified","Especificado"
"Start Date","Fecha de inicio"
"State/Province:","Estado/Provincia:"
"Static Blocks","Bloques Estáticos"
"Status","Estatus"
"Status:","Estado:"
"Store","Tienda"
"Store Email Addresses Section","Sección de emails de tienda"
"Store View","Vista de la tienda"
"Store:","Tienda:"
"Stores","Tiendas"
"Subject","Asunto"
"Submit","Enviar"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro únicamente"
"Synchronize","Sincronizar"
"Synchronizing...","Synchronisierung läuft..."
"System","Sistema"
"System Section","Sección de sistema"
"Tags","Etiquetas"
"Target Path","Ruta de destino"
"Tax","Impuestos"
"Template","Plantilla"
"Template Content","Contenido de plantilla"
"Template Information","Información de la plantilla"
"Template Name","Nombre de plantilla"
"Template Styles","Estilos de plantilla"
"Template Subject","Asunto de la plantilla"
"Template Type","Tipo de plantilla"
"Temporary (302)","(302) Temporal"
"Terms and Conditions","Términos y condiciones"
"Text","Texto"
"The JavaScript/CSS cache has been cleaned.","Se ha limpiado la memoria caché de JavaScript/CSS."
"The Magento cache storage has been flushed.","La memoria cache de magento se vació."
"The URL Rewrite has been saved.","La reescritura de URL se ha guardado."
"The attribute set has been removed.","El conjunto de atributos ha sido eliminado."
"The credit memo has been canceled.","La factura rectificada ha sido cancelada."
"The image cache was cleaned.","Se ha limpiado el caché de la imagen."
"The invoice has been captured.","La factura ha sido capturada."
"The invoice has been created.","La factura ha sido creada."
"The invoice has been voided.","La factura ha sido anulada."
"The order no longer exists.","Este pedido ya no existe."
"The shipment has been created.","El envío ha sido creado."
"The transaction details have been updated.","Se han actualizado los detalles de la transacción."
"There is an error in one of the option rows.","Hay un error en una de las opciones de las filas."
"This account is","Esta cuenta es"
"This action cannot be undone.","Esta acción no se puede deshacer."
"This block no longer exists.","Este bloque ya no existe."
"This is a required field.","Campo obligatorio."
"This user no longer exists.","Este usuario ya no existe."
"Time","Zeit"
"To","Hasta"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Para utilizar PayPal Payflow Link, debe configurar su cuenta de PayPal Payflow Link en la Web de PayPal."
"Tools","Herramientas"
"Total","Totals"
"Total Invoiced","Total facturado"
"Total Refunded","Total reembolsado"
"Track Order","Seguimiento de pedidos"
"Track this shipment","Realizar un seguimiento de este envío"
"Transaction Data","Datos de la transacción"
"Transaction Details","Detalles de la transacción"
"Transaction ID","Id de la transacción"
"Transaction Type","Tipo de transacción"
"Transactional Emails","Correos electrónicos transaccionales"
"Transactions","Transacciones"
"Type","Tipo"
"Type:","Art:"
"URL Rewrite Information","Información de reescritura URL"
"URL Rewrite Management","Gestión de reescritura de URL"
"Unknown","Desconocido"
"Unlimited","Ilimitado"
"Update","Actualizar"
"Updated At","Actualicado el"
"Upload File","Subir archivo"
"Upload Files","Subir archivos"
"Use All Available Attributes","Utilizar todos los atributos disponibles"
"Use Config Settings","Usar opciones de configuración"
"Use Default","Usar predeterminado"
"Use Default Value","Usar Valor Predeterminado"
"Use Default Variable Values","Usar valores de variable predeterminados"
"Use FTP Connection","Usar conexión FTP"
"Use Website","Usar Website"
"User Email","Correo electrónico del usuario"
"User ID","ID de Usuario"
"User Info","Información de usuario"
"User Information","Información de usuario"
"User Name","Nombre de usuario"
"User Password","Contraseña de usuario"
"User Role","Cargo del usuario"
"User Roles","Rol del usuario"
"User Roles Information","Información de las funciones de usuario"
"Users","Usuarios"
"Validation Results","Prüfergebnisse"
"Value","Valor"
"Variable Code","Código de variable"
"Variable HTML Value","Valor de la variable HTML"
"Variable Name","Nombre de la variable"
"Variable Plain Value","Valor de variable simple"
"View Full Size","Ver tamaño completo"
"View Statistics For:","Ver estadísticas de:"
"Warning","Advertencia"
"Web Section","Sección de la web"
"Website","Página web"
"What is this?","¿Qué es esto?"
"Year","Año"
"Yes","Sí"
"Yes (301 Moved Permanently)","Sí (301 Movido Permanentamente)"
"Yes (302 Found)","Sí (302 Encontrado)"
"Yes (only price with tax)","Sí (sólo precio con IVA)"
"You cannot delete your own account.","No puedes eliminar tu propia cuenta."
"You have logged out.","Has cerrado la sesión."
"Your password reset link has expired.","Su enlace de restablecimiento de contraseña ha caducado."
"Zip/Postal Code","Código Postal"
"[ deleted ]","[ eliminado ]"
"[STORE VIEW]","[VISTA DE TIENDA]"
"[WEBSITE]","[PÁGINA WEB]"
"close","cerrar"
"critical","crítico"
"example: sitemap.xml","ejemplo: sitemap.xml"
"failed","fallado"
"from","a partir de"
"major","principal"
"minor","menor"
"notice","aviso"
"successful","correcto"
"to","hasta"
