"* Required Fields","* Campos obligatorios"
"Custom Design","Diseño Personalizado"
"Custom Options","Opciones personalizadas"
"Customer Group","Grupo del cliente"
"Customers Reviews","Reseñas de clientes"
"Data Type for Saving in Database","Tipo de datos para guardar en la base de datos"
"Date & Time Custom Options","Opciones personalizadas de fecha y hora"
"Date Fields Order","Ordenar por fecha"
"Datetime","Fecha/hora"
"Default ""What's This"" Text Message","Mensaje de texto ""What's This"" predeterminado"
"Default Popup Text Message","Mensaje popup (predeterminado)"
"Default Price","Precio predeterminado"
"Default Price Navigation Step","Paso de navegación de precio por defecto"
"Default Qty","Cantidad (predeterminado)"
"Default Values","Valores (predeterminado)"
"Delete","Borrar"
"Delete Attribute","Eliminar atributo"
"Delete Option","Eliminar opción"
"Delete Row","Eliminar fila"
"Delete Search","Borrar búsqueda"
"Delete Selected Group","Eliminar grupo seleccionado"
"Delete Tier","Eliminar escalones de precios"
"Description","Descripción"
"Design","Diseño"
"Details","Detalles"
"Disabled","Deshabilitada"
"Display Actual Price","Mostrar precio actual"
"Display Page Control","Mostrar control de página"
"Display Price Interval as One Price","Mostrar intervalo de precios como un único precio"
"Display Product Count","Mostrar el número de artículo"
"Display Type","Tipo de visualización"
"Display in Suggested Terms","Mostrar en términos sugeridos"
"Downloadable Information","Información Descargable"
"Duplicate","Duplicar"
"Duplicate amount found.","Monto se encontró dos veces."
"Edit","Editar"
"Edit Product Attribute","Editar atributo del artículo"
"Edit Search","Editar búsqueda"
"Email","Correo electrónico"
"Email to a Friend","Escribir correo electrónico a un amigo"
"Empty","Vacío"
"Enable MAP","Habilitar MAP"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Enabled","Habilitado"
"Exclude","Excluir"
"Expand All","Abrir todos"
"Failed","Falló"
"Filter","Filtro"
"Filterable (no results)","Filtrable (sin resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"First Name","Nombre"
"Fixed","Fijo"
"For the last time placed.","Para la última vez que se ha colocado."
"Frontend Model","Entrada Modelo"
"Gallery","Galería"
"General Information","Información general"
"Global","General"
"Globally Editable","Editable globalmente"
"Go to Home Page","Ir a la página de inicio"
"Grid","Parrilla"
"Groups","Grupos"
"Home","Inicio"
"ID","Número de Identificación (ID)"
"Image","Imagen"
"In Cart","Carrito"
"In Stock","En existencias"
"In stock","Disponible"
"Incl. Tax","Impuestos incl."
"Index product prices","Indexar los precios de artículos"
"Indexed category/products association","Asociación categoría/artículos indexada"
"Input Type","Introducir tipo"
"Integer","Entero"
"Interval Division Limit","Límite de división de intervalo"
"Inventory","Inventario"
"Is Default","Es por defecto"
"Is Required","Es requerido"
"Label","Etiqueta"
"Last Name","Apellidos"
"Layered Navigation","Navegación en capas"
"Learn More","Saber más"
"Link to a Specified Category","Enlace a una categoría específica"
"Link to a Specified Product","Enlace a un artículo específico"
"List","Lista"
"List Mode","Modo de lista"
"List of Products that are set as New","Lista de artículos marcados como nuevos"
"Manage Attribute Sets","Gestionar conjuntos de atributos"
"Manage Catalog Categories","Gestionar categorías del catálogo"
"Manage Categories","Gestionar categorías"
"Manage Label / Options","Gestionar etiquetas y opciones"
"Manage Product Attributes","Gestionar atributos del artículo"
"Manage Product Sets","Gestionar conjuntos de artículos"
"Manage Stock","Gestionar existencias"
"Manage Titles (Size, Color, etc.)","Gestionar títulos (tamaño, color, etc.)"
"Max Characters","Número máximos de caractéres"
"Maximal Depth","Profundidad máxima"
"Maximum Image Size","Tamaño máximo de la imagen"
"Maximum Number of Price Intervals","Número máximo de intervalos de precios"
"Maximum Qty Allowed in Shopping Cart","Cantidad Máxima Permitida en la Cesta del Carrito"
"Maximum image height","Altura máxima de la imagen"
"Maximum image width","Anchura máxima de la imagen"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum number of price intervals is 100","Número máximo de intervalos de precios es 100."
"Media Image","Imagen multimedia"
"Minimum Advertised Price","Precio mínimo anunciado"
"Minimum Qty Allowed in Shopping Cart","Cantidad Mínima Permitida en la Cesta de Compra"
"Move","Mover"
"My Account","Mi Cuenta"
"N/A","N/D"
"Name","Nombre"
"New Product","Nuevo producto"
"New Product Attribute","Nuevo atributo de producto"
"New Products","Nuevos artículos"
"New Products Grid Template","Plantilla de cuadrícula de nuevos artículos"
"New Products List Template","Plantilla de lista de nuevos artículos"
"New Search","Nueva búsqueda"
"New Set Name","Nuevo nombre de conjunto"
"New products","Nuevos artículos"
"Next","Siguiente"
"No","No 	"
"No image","Sin imagen"
"No layout updates","No hay actualizaciones de diseño"
"No options of this product are available.","No hay opciones disponibles de este artículo."
"None","Ninguno"
"Not Visible Individually","No es visible individualmente"
"Notify Low Stock RSS","RSS de notificación de bajas cantidades en inventario"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Number of Products per Page","Número de productos por página"
"Number of Products to Display","Número de artículos a mostrar"
"Number of Uses","Número de usos"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (colocado por última vez)"
"OK","Aceptar"
"On Gesture","Sobre el gesto"
"Options","Opciones"
"Out of Stock","Fuera de existencias"
"Out of stock","No está disponible"
"PM","a la tarde"
"Page Title Separator","Separador de título de página"
"Parent Category","Categoría principal"
"Pending","Pendiente"
"Pending Reviews RSS","RSS de reseñas pendientes"
"Please add rows to option.","Por favor, añadir filas a la opción."
"Please specify date required option(s).","Por favor, especifique las opciones obligatorias de la fecha."
"Please specify the number of products, that will not be divided into subintervals.","Por favor, especifica el número de artículos, que no será dividido en subintervalos."
"Please specify the quantity of product(s).","Especifica la cantidad de artículo(s)."
"Please specify time required option(s).","Por favor, especifique las opciones obligatorias de la hora."
"Please wait...","Por favor, espere..."
"Position","Posición"
"Position in Layered Navigation","Posición de navegación en capas"
"Prev","Anterior"
"Previous","Anterior"
"Price","Precio"
"Price Navigation Step Calculation","Cálculo de paso de navegación de precios"
"Price Type","Tipo de precio"
"Price:","Precio:"
"Print This Page","Imprimir esta página"
"Product","Producto"
"Product Alerts","Alertas de artículo"
"Product Attribute","Atributos del artículo"
"Product Attributes","Atributos del producto"
"Product Categories","Categorías de artículo"
"Product Flat Data","Datos fijos de artículo"
"Product ID","ID de artículo"
"Product Image Placeholders","Marcadores de posición de imagen de artículo"
"Product Image Watermarks","Marcas de agua de imagen de artículo"
"Product In Websites","Artículo en sitios web"
"Product Info Column","Columna de información del producto"
"Product Link Block Template","Plantilla de bloque de Vínculo de artículo"
"Product Link Inline Template","Plantilla en línea de Vínculo de artículo"
"Product Listing Sort by","Ordenar lista de productos por"
"Product Name","Nombre del producto"
"Product Reviews","Reseñas de artículo"
"Product URL Suffix","Sufijo de URL de artículo"
"Product is not loaded","El artículo no se ha cargado"
"Products","Productos"
"Products Comparison List","Lista de Comparación de artículos"
"Products Information","Información de productos"
"Products Reviews","Reseñas de artículos"
"Products only","Sólo artículos"
"Products per Page on Grid Allowed Values","Artículos por página (valores permitidos por la cuadrícula)"
"Products per Page on Grid Default Value","Artículos por página (predeterminado por la cuadrícula)"
"Products per Page on List Allowed Values","Artículos por página (valores permitidos por la lista)"
"Products per Page on List Default Value","Artículos por página (predeterminado por la lista)"
"Properties","Propiedades"
"Qty","Cantidad"
"Qty Increments","Incrementos de cantidad"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Qty:","Cant:"
"Quantity","Cantidad"
"Redirect URL","URL de redirección"
"Related Products","Artículos relacionados"
"Remove","Eliminar"
"Remove Product From Websites","Eliminar el artículo de los sitios de Internet"
"Remove This Item","Eliminar este artículo"
"Reorganize EAV category structure to flat structure","Reorganizar la esctructura de categoría EAV a una estructura plana"
"Reorganize EAV product structure to flat structure","Reorganizar la esctructura de artículo EAV a una estructura plana"
"Reset","Restablecer"
"Results","Resultados"
"Reviews","Reseñas"
"Root","Raíz"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Save","Guardar"
"Save Attribute","Guardar atributo"
"Save Search","Guardar búsqueda"
"Save and Continue Edit","Guardar y continuar editando"
"Scope","Alcance"
"Search","Buscar"
"Search Information","Información de búsqueda"
"Search Query","Término de búsqueda"
"Search Weight","Buscar peso"
"Searchable","Buscable"
"See price before order confirmation.","Consulte el precio antes de la confirmación del pedido."
"Select Category...","Seleccionar categoría..."
"Select Product...","Seleccionar artículo..."
"Select type options required values rows.","Determinados tipos de opciones requieren filas de valores."
"Send Count","Cantidad de envíos"
"Set Ascending Direction","Fijar Dirección Ascendente"
"Set Descending Direction","Fijar Dirección Descendente"
"Settings","Configuración"
"Shop By","Comprar por"
"Shopping Options","Opciones de compra"
"Show","Mostrar"
"Show Details","Mostrar detalles"
"Site Map","Mapa de sitio"
"Sitemap","Mapa de sitio"
"Some of the selected item options are not currently available.","Algunos de los artículos seleccionados no están disponibles en este momento."
"Sort By","Ordenar por"
"Sort Order","Orden de aparición"
"Source Model","Modelo de origen"
"Static","Estático"
"Static block and products","Bloque y artículos estáticos"
"Static block only","Solo bloque estático"
"Status","Estatus"
"Stock Availability","Disponibilidad de inventario"
"Store","Tienda"
"Store View","Vista de la tienda"
"Stretch","Flexibilidad"
"Subscribe to RSS Feed","Suscribirse a las noticias por RSS"
"System Properties","Propiedades de sistema"
"Tax","Impuestos"
"Template","Plantilla"
"Text","Texto"
"The base directory to upload file is not specified.","El directorio base para cargar el archivo no ha sido especificado."
"The review was removed by another user or does not exist.","La reseña no existe o fue eliminada por otro usuario."
"There are no customers for this alert.","No hay clientes para esta alerta."
"This attribute cannot be edited.","No se puede editar este atributo."
"This attribute is used in configurable products.","Este atributo se utiliza en artículos configurables."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo se utiliza en artículos configurables. No es posible eliminarlo del conjunto de atributos."
"This attribute set no longer exists.","Este conjunto de atributos ya no existe."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Pase los atributos del sistema a otro grupo y vuelva a intentarlo."
"This search no longer exists.","Esta búsqueda ya no existe."
"This setting will be applied when all prices in the specific price interval are equal.","Esta configuración se aplicará cuando todos los precios en el intervalo de precios específicos sean iguales."
"Tier Pricing","Nivel de precios"
"Tile","Mosaico"
"Time Format","Formato de hora"
"Title","Título"
"To see product price, add this item to your cart. You can always remove it later.","Para ver el precio del artículo añade este artículo al carrito. Siempre puedes eliminarlo posteriormente."
"Top/Left","Superior/izquierda"
"Top/Right","Arriba/Derecha"
"Type","Tipo"
"URL Rewrite Management","Gestión de reescritura de URL"
"Unassigned Attributes","Atributos sin asignar"
"Up-sells","Ventas ampliadas"
"Update","Actualizar"
"Update Attributes","Actualizar atributos"
"Update attributes","Actualizar atributos"
"Use Canonical Link Meta Tag For Categories","Utilizar metaetiqueta de enlace canónico para categorías"
"Use Canonical Link Meta Tag For Products","Utilizar meta-etiqueta de enlace canónico para los artículos"
"Use Categories Path for Product URLs","Utilizar ruta de categorías para direcciones URL de artículos"
"Use Config Settings","Usar opciones de configuración"
"Use Default Value","Usar Valor Predeterminado"
"Use Flat Catalog Category","Utilizar categoría de catálogo plano"
"Use Flat Catalog Product","Utilizar artículo de catálogo plano"
"Use JavaScript Calendar","Utilizar calendario de JavaScript"
"Use config","Usar config"
"Use default","Uso por defecto"
"Use for Promo Rule Conditions","Utilizar para condiciones de reglas de promoción"
"Use in Layered Navigation","Usar en navegación por capas"
"Used for Sorting in Product Listing","Se utiliza para ordenar las listas de artículos"
"Used in Product Listing","Se utiliza en las listas de artículos"
"View Details","Mostrar detalles"
"View as","Ver como"
"Visibility","Visibilidad"
"WYSIWYG Editor","Editor WYSIWYG"
"Website","Página web"
"Websites","Sitios web"
"What's this?","¿Qué es esto?"
"Year Range","Rango de años"
"Yes","Sí"
"You have no items to compare.","No tiene ningún artículo para comparar."
"You saved the search term.","Guardaste el término de búsqueda."
"and above","y por encima"
"ex. http://domain.com","por ejemplo, http://dominio.es"
"per page","por página"
"products","productos"
"save","guardar"
"select all","seleccionar todo"
"unselect all","deseleccionar todo"
