"* Required Fields","* Campos obligatorios"
"Name and Address Options","Opciones de nombre y dirección"
"Never","Nunca"
"New Address","Nueva dirección"
"New Customer","Nuevo cliente"
"New Customer Group","Nuevo grupo de clientes"
"New Customer Groups","Nuevos grupos de clientes"
"New Customers","Nuevos clientes"
"New Group","Nuevo grupo"
"New Password","Nueva Contraseña"
"Newsletter","Boletín de noticias"
"Newsletter Information","Boletín Información"
"Newsletter Subscription","Suscripción al boletín informativo"
"Newsletters","Boletines informativos"
"No Items Found","No se encontraron artículos"
"No Newsletter Found","Boletín informativo no encontrado"
"No item specified.","No se especificó artículo."
"Not Sent","No enviado"
"Offline","Fuera de línea"
"Online","En línea"
"Online Customers","Clientes en línea"
"Online Customers Options","Opciones para clientes conectados"
"Online Minutes Interval","Intervalo de minutos con conexión"
"Order #","Pedido nº "
"Order Total","Total del pedido"
"Orders","Pedidos"
"Password","Contraseña"
"Password Options","Opciones de contraseña"
"Password forgotten","Recordatorio de contraseña"
"Password:","Contraseña:"
"Paused","Pausado"
"Pending","Pendiente"
"Per Website","Por sitio web"
"Personal Information","Información Personal"
"Please enter a number 1 or greater in this field.","Por favor, introduzca número 1 o mayor en este campo."
"Please enter the city.","Por favor, introduzca la ciudad."
"Please enter the country.","Por favor, ingrese el país."
"Please enter the first name.","Introduzca el nombre."
"Please enter the last name.","Introduzca el apellido."
"Please enter the state/province.","Por favor, introduzca el estado/provincia."
"Please enter the street.","Por favor, introduzca la calle."
"Please enter the zip/postal code.","Por favor, introduzca el código postal."
"Please enter your email.","Por favor, introduzca su dirección de correo electrónico."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Prefix Dropdown Options","Opciones para listas desplegables con prefijo"
"Price","Precio"
"Product","Producto"
"Product ID","ID de artículo"
"Product Name","Nombre del producto"
"Product Reviews","Reseñas de artículo"
"Qty","Cantidad"
"Recent Orders","Pedidos recientes"
"Recovery Link Expiration Period (hours)","Período de expiración del enlace de recuperación (horas)"
"Redirect Customer to Account Dashboard after Logging in","Redirigir a los clientes al Panel de Control de la cuenta después de iniciar sesión"
"Refunded","Reembolsado."
"Registered Customers","Clientes registrados"
"Remind Email Template","Plantilla para el correo electrónico de recordatorio"
"Remove","Eliminar"
"Require Emails Confirmation","Solicitar confirmación por correo electrónico"
"Reset a Password","Reinicializar contraseña"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Sales Statistics","Estadísticas de Ventas"
"Save","Guardar"
"Save Address","Guardar dirección"
"Save Customer","Guardar cliente"
"Save Customer Group","Guardar grupo de clientes"
"Save and Continue Edit","Guardar y continuar editando"
"Send From","Enviar desde"
"Send confirmation link","Enviar enlace de confirmación"
"Sending","Enviando"
"Sent","Enviado"
"Share Customer Accounts","Compartir cuentas de cliente"
"Shopping Cart","Cesta"
"Show Date of Birth","Mostrar fecha de nacimiento"
"Show Gender","Mostrar Sexo"
"Show Middle Name (initial)","Mostrar segundo nombre (inicial)"
"Show Prefix","Mostrar prefijo"
"Show Suffix","Mostrar sufijo"
"Show Tax/VAT Number","Mostrar número de IVA/impuestos"
"Sign Up for Newsletter","Suscribirse al boletín"
"State/Province","Estado/provincia"
"Status","Estatus"
"Store","Tienda"
"Store View","Vista de la tienda"
"Street Address","Dirección"
"Subject","Asunto"
"Submit","Enviar"
"Subscribe to Newsletter","Suscribir al boletín informativo"
"Suffix Dropdown Options","Opciones para listas desplegables con sufijo"
"Tax Calculation Based On","Cálculo tributario basado en"
"Tax Class","Grupo de tributación"
"Text","Texto"
"The VAT ID entered (%s) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"The VAT ID is valid. The current Customer Group will be used.","El ID de IVA es válido. Se utilizará el grupo de cliente actual."
"The customer does not have default billing address.","El cliente no tiene una dirección de facturación predeterminada."
"The suffix that goes after name (Jr., Sr., etc.)","El sufijo que va después de nombre (padre, hijo, etc.)"
"The title that goes before name (Mr., Mrs., etc.)","El título que va antes del nombre (señor, señorita, etc.)"
"This email does not require confirmation.","Este mensaje de correo electrónico no requiere confirmación."
"Total","Totals"
"Type","Tipo"
"Unknown","Desconocido"
"Unsubscribe from Newsletter","Cancelar suscripción al boletín informativo"
"Update","Actualizar"
"Use as my default billing address","Utilice como mi dirección de facturación por defecto"
"Use as my default shipping address","Utilice como mi dirección de envío predeterminada"
"VAT Number","Número de IVA"
"VAT Request Date","Fecha de petición de IVA"
"VAT Request Identifier","Identificador de petición de IVA"
"Validate VAT Number","Validar número de IVA"
"Validate on Each Transaction","Validar en cada transacción"
"Validation Error Group","Error de validación al grupo"
"View","Ver"
"View Order","Ver pedido"
"Visitor","Visitante"
"Website","Página web"
"Welcome Email","Mensaje de correo electrónico de bienvenida"
"Wishlist","Lista de deseos"
"Would you like to change the Customer Group for this order?","¿Desea cambiar el grupo de clientes para este pedido?"
"Wrong email.","Se especificó una dirección de correo electrónico incorrecta."
"Year","Año"
"You have no default billing address in your address book.","No tiene ninguna dirección de facturación por defecto en su libreta de direcciones."
"You have no default shipping address in your address book.","No tiene ninguna dirección de envío por defecto en su libreta de direcciones."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You will be charged tax.","Se le cargarán los impuestos."
"You will not be charged tax.","No se le cargarán los impuestos."
"Your Tax ID cannot be validated.","Su ID de impuestos no se ha podido validar."
"Your VAT ID was successfully validated.","Su ID de IVA se ha validado correctamente."
"ZIP","Código postal"
"ZIP/Post Code","Código postal"
"Zip/Postal Code","Código Postal"
"or","o"
