"(Excl. Tax)","(Impuesto no incluido)"
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Please specify shipping methods for all addresses.","Por favor selecciona métodos de envío para todas las direcciones."
"Price","Precio"
"Proceed to Checkout","Tramitar pedido"
"Product","Producto"
"Product Name","Nombre del producto"
"Products","Productos"
"Qty","Cantidad"
"Qty:","Cant:"
"Quantity","Cantidad"
"Quote Lifetime (days)","Duración del presupuesto (días)"
"Remove Item","Eliminar elemento"
"Remove This Item","Eliminar este artículo"
"Remove item","Quitar artículo"
"Require Customer To Be Logged In To Checkout","Requerir que el cliente se conecte para pagar"
"Review Order","Revisar pedido"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Sales","Ventas"
"Save Condition","Guardar condición"
"Save in address book","Guardar en libreta de direcciones"
"See price before order confirmation.","Consulte el precio antes de la confirmación del pedido."
"Select Address","Seleccionar dirección"
"Select Addresses","Seleccione direcciones"
"Select Shipping Method","Versandart auswählen"
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Versandadresse aus Ihrem Adressbuch oder legen Sie eine neue Adresse ein."
"Send Payment Failed Email Copy Method","Sende Zahlungsfehler in Kopie (Methode)"
"Send Payment Failed Email Copy To","Sende Zahlungsfehler in Kopie an eMail"
"Send To","Senden an"
"Separate by "","".","Separados por "",""."
"Ship to Multiple Addresses","Envíos a múltiples direcciones"
"Shipping Address","Dirección de envío"
"Shipping Information","Información de envío"
"Shipping Method","Método de envío"
"Shipping Methods","Métodos de envío"
"Shipping To","Versenden an"
"Shopping Cart","Cesta"
"Shopping Cart Sidebar","Barra lateral del carrito de compra"
"Show Content as","Mostrar contenido como"
"State/Province","Estado/provincia"
"Status","Estatus"
"Store View","Vista de la tienda"
"Street Address","Dirección"
"Submitting order information...","Enviando la información del pedido..."
"Terms and Conditions Information","Términos y condiciones Información"
"Text","Texto"
"Thank you for your purchase!","Gracias por su compra!"
"The product does not exist.","El producto no existe."
"This condition no longer exists.","Esta condición ya no existe."
"Total","Totals"
"Total for this address","Gesamtbetrag für diese Adresse"
"Unit Price","Precio Unitario"
"Update","Actualizar"
"Update Cart","Actualizar carrito"
"Update Qty &amp; Addresses","Stückzahlen und Adressen aktualisieren"
"Update Shopping Cart","Actualizar carrito"
"VAT Number","Número de IVA"
"View Shopping Cart","Ver cesta de la compras"
"What's this?","¿Qué es esto?"
"You have no items in your shopping cart.","No tienes ningún artículo en tu carrito."
"Zip/Postal Code","Código postal"
"or","o"
