"(Excl. Tax)","(Tidak Termasuk Pajak)"
"Edit Shipping Address","Edit alamat pengiriman"
"Edit Terms and Conditions","Edit Syarat dan Ketentuan"
"Edit Your Cart","Edit Keranjang Anda"
"Edit item parameters","Menyunting parameter item"
"Email Address","Alamat email"
"Enable Onepage Checkout","Aktifkan Onsite Checkout"
"Enable Terms and Conditions","Aktifkan Persyaratan dan Ketentuan"
"Enabled","Diaktifkan"
"Enter a New Address","Masukkan Alamat Baru"
"Estimate Shipping and Tax","Perkiraan pengiriman dan pajak"
"Excl. Tax","Belum termasuk pajak"
"Fax","Faks"
"Forgot an Item?","Lupa Item?"
"Forgot your password?","Lupa kata sandi Anda?"
"Gift Message","Pesan hadiah"
"Grand Total:","Total keseluruhan:"
"Grouped Product Image","Gambar Produk yang Dikelompokkan"
"ID","Id"
"Incl. Tax","Incl. Pajak"
"Items","Item"
"Load customer quote error","Kesalahan saat memuat kuotasi pelanggan"
"Login","Masuk"
"Move","Pindah"
"Move to Wishlist","Pindah ke Wishlist"
"My Cart","Keranjang belanja"
"My Cart Link","Tautan Keranjang saya"
"New Address","Alamat baru"
"New Condition","Kondisi baru"
"New Terms and Conditions","Syarat dan Ketentuan Baru"
"No Payment Methods","Tidak ada metode pembayaran"
"Order #","Pesanan #"
"Order Review","Ulasan pesanan"
"Password","Kata sandi"
"Payment Failed Email Sender","Pembayaran Gagal Email Pengirim"
"Payment Failed Emails","Email Gagal Pembayaran"
"Payment Failed Template","Template Gagal Pembayaran"
"Payment Information","Informasi Pembayaran"
"Payment Method","Metode pembayaran"
"Place Order","Memesan"
"Please agree to all Terms and Conditions before placing the order.","Setujui semua Persyaratan dan Ketentuan sebelum melakukan pemesanan."
"Please agree to all the terms and conditions before placing the order.","Silakan setujui semua persyaratan dan ketentuan sebelum melakukan pemesanan."
"Please select region, state or province","Silakan pilih wilayah, negara bagian atau provinsi"
"Price","Harga"
"Proceed to Checkout","Lanjutkan untuk Checkout"
"Product","Produk"
"Product Name","Nama Produk"
"Products","Produk"
"Qty","Jml"
"Quantity","Kuantitas"
"Quote Lifetime (days)","(Selamat)"
"Remove Item","Hapus Item"
"Remove This Item","Hapus item ini"
"Remove item","Hapus item"
"Review Order","Ulas pesanan"
"Sales","Penjualan"
"Save Condition","Simpan Kondisi"
"Save in address book","Simpan di buku alamat"
"See price before order confirmation.","Lihat harga sebelum konfirmasi pesanan."
"Select Address","Pilih Alamat"
"Select Addresses","Pilih Alamat"
"Select Shipping Method","Pilih metode pengiriman"
"Select a shipping address from your address book or enter a new address.","Pilih alamat pengiriman dari buku alamat Anda atau masukkan alamat baru."
"Send Payment Failed Email Copy Method","Kirimkan Metode Salin Email Gagal Pembayaran"
"Send Payment Failed Email Copy To","Kirim Pembayaran Gagal Email Copy To"
"Send To","Kirim ke"
"Separate by "","".","Pisahkan dengan "",""."
"Ship to Multiple Addresses","Mengirimkan ke beberapa alamat"
"Shipping Address","Alamat Pengiriman"
"Shipping Information","Pengiriman Informasi"
"Shipping Method","Metode pengiriman"
"Shipping Methods","Metode pengiriman"
"Shipping To","Dikirim ke"
"Shopping Cart","Keranjang Belanja"
"Show Content as","Tampilkan Konten sebagai"
"State/Province","Negara Bagian/Provinsi"
"Status","Subjek"
"Store View","Tampilan toko"
"Street Address","Alamat jalan"
"Submitting order information...","Mengirimkan informasi pesanan..."
"Terms and Conditions","Syarat dan ketentuan"
"Terms and Conditions Information","Informasi Syarat dan Ketentuan"
"Text","Teks"
"Thank you for your purchase!","Terima kasih atas pembelian Anda!"
"The product does not exist.","Produknya tidak ada."
"This condition no longer exists.","Kondisi ini sudah tidak ada lagi."
"Total","Jumlah"
"Total for this address","Total untuk alamat ini"
"Unit Price","Patokan harga"
"Update","Memperbarui"
"Update Cart","Perbarui Keranjang"
"Update Shopping Cart","Memperbarui keranjang belanja"
"VAT Number","Nomor PPN"
"View Shopping Cart","Lihat Keranjang Belanja"
"What's this?","Apa ini?"
"You have no items in your shopping cart.","Anda tidak memiliki barang dalam keranjang belanja Anda."
"Zip/Postal Code","Kode pos"
"or","atau"
