" [deleted]"," [dihapus]"
"Code","Kode"
"Complete","Lengkap"
"Config form fieldset clone model required to be able to clone fields","Config form fieldset clone model yang dibutuhkan untuk bisa mengkloning field"
"Configuration","Konfigurasi"
"Confirm New Password","Konfirmasi password baru"
"Confirmed email:","Email yang dikonfirmasi:"
"Continue","Lanjut"
"Convert to Plain Text","Konversikan ke Teks Biasa"
"Cookie (unsafe)","Cookie (Tidak aman)"
"Country","Negara"
"Coupons","Kupon"
"Create","Membuat"
"Create DB Backup","Buat DB Backup"
"Create New Attribute","Buat Atribut Baru"
"Created At","Dibuat di"
"Credit Card Number","Nomor kartu kredit"
"Credit Card Type","Tipe kartu kredit"
"Credit Memo History","Riwayat Memo Kredit"
"Credit Memo Totals","Total Memo Kredit"
"Credit Memos","Memo kredit"
"Currency","Mata uang"
"Current Configuration Scope:","Lingkup Konfigurasi Saat Ini:"
"Current Month","Bulan berjalan"
"Custom","Ubah Suai"
"Custom Variables","Variabel Khusus"
"Customer","Pelanggan"
"Customer Groups","Kelompok pelanggan"
"Customer Name","Nama Pelanggan"
"Customer Reviews","Ulasan pelanggan"
"Customer Shopping Carts","Keranjang belanja pelanggan"
"Customer Tax Classes","Kelas Pajak Pelanggan"
"Customers","Pelanggan"
"Customers by Number of Orders","Pelanggan dengan Jumlah Pesanan"
"Customers by Orders Total","Pelanggan menurut Pesanan Total"
"Dashboard","Dasbor"
"Date","Tanggal"
"Date & Time","Tanggal & Waktu"
"Date Added","Tanggal Ditambahkan"
"Date selector","Seleksi tanggal"
"Day","Hari"
"Debug","Debugging"
"Default Billing Address","Alamat Penagihan Default"
"Default Config","Konfigurasi bawaan"
"Default Values","Nilai default"
"Default scope","Ruang lingkup default"
"Delete","Hapus"
"Delete Block","Hapus Blokir"
"Delete File","Hapus File"
"Delete Image","Hapus gambar"
"Delete Role","Hapus Wewenang"
"Delete Store","Hapus Simpan"
"Delete Store View","Hapus tampilan toko"
"Delete Template","Hapus Template"
"Delete User","Hapus pengguna"
"Description","Deskripsi"
"Design","Desain"
"Details","Rincian"
"Disable","Nonaktifkan"
"Disabled","Dinonaktifkan"
"Display default currency","Tampilkan mata uang default"
"Downloads","Unduh"
"Edit","Ubah"
"Edit Block","Edit Blokir"
"Edit Design Change","Edit Perubahan Desain"
"Edit Email Template","Edit Template Email"
"Edit Order","Edit Pesanan"
"Edit Queue","Edit Antrian"
"Edit Review","Mengedit Ulasan"
"Edit Role","Ubah Wewenang"
"Edit Store View","Edit tampilan toko"
"Edit System Template","Edit Template Sistem"
"Edit User","Ubah pengguna"
"Email","E-mail"
"Email Address:","Alamat Email:"
"Email to a Friend","Email ke teman"
"Email:","E-mail:"
"Enable","Memungkinkan"
"Enabled","Diaktifkan"
"Entity Attributes","Atribut Entitas"
"Entity Type","Jenis Entity"
"Entity type:","Jenis entitas:"
"Error","Kesalahan"
"Excl. Tax","Belum termasuk pajak"
"Exclude media folder from backup","Kecualikan folder media dari cadangan"
"Expiration Date","Tanggal kadaluarsa"
"Export","Ekspor"
"Export CSV","Ekspor CSV"
"Export to:","Ekspor ke:"
"FTP Host[:Port]","Host FTP [: Port]"
"FTP credentials","Mandat FTP"
"Failed","Gagal"
"File","Mengajukan"
"File System","Berkas sistem"
"First Invoice Created Date","Tanggal Pembuatan Faktur Pertama"
"First Name","Nama depan"
"First Name:","Nama depan:"
"Fixed","Tetap"
"Flush Catalog Images Cache","Bersihkan Tembolok Katalog Gambar"
"Flush JavaScript/CSS Cache","Flush JavaScript / CSS Cache"
"Forgot your password?","Lupa kata sandi Anda?"
"From","Dari"
"General Information","Informasi Umum"
"Global Search","Pencarian Global"
"Go Today","Pergi hari ini"
"Go to Top","Ke Atas"
"Grand Total","Total keseluruhan"
"Grid (default) / List","Kisi (bawaan) / daftar"
"Grid Only","Hanya kisi"
"Guest","Tamu"
"HTTP (unsecure)","HTTP (tidak aman)"
"Home","Rumah"
"ID","Id"
"IP Address","Alamat IP"
"IPN (Instant Payment Notification) Only","IPN (Pemberitahuan Pembayaran Instan) Saja"
"Images (.gif, .jpg, .png)","Gambar (.gif, .jpg, .png)"
"Images Cache","Gambar Cache"
"Import","Impor"
"Import Service","Layanan Impor"
"Import and Export Tax Rates","Tarif Pajak Impor dan Ekspor"
"Import/Export","Ekspor Impor"
"Important: ","Penting: "
"Inactive","Tidak aktif"
"Incl. Tax","Incl. Pajak"
"Incoming Message","Pesan masuk"
"Insert Variable...","Sisipkan Variabel..."
"Invalid Form Key. Please refresh the page.","Form Key tidak valid. Silakan segarkan halaman."
"Invalid data","Data tidak valid"
"Invalidated","TIdak Berlaku Lagi"
"Inventory Stock Status","Status Stok Persediaan"
"Invoice History","Riwayat faktur"
"Invoice Totals","Total faktur"
"Invoices","Faktur"
"Is Closed","Ditutup"
"Is Default","Bawaan"
"Issue Number","Nomor pembuatan"
"Items","Item"
"JavaScript seems to be disabled in your browser.","JavaScript tampaknya dinonaktifkan di browser Anda."
"JavaScript/CSS Cache","JavaScript /CSS Cache"
"Last 24 Hours","24 jam terakhir"
"Last 7 Days","7 hari terakhir"
"Last Credit Memo Created Date","Hasil Memo Kredit Terakhir"
"Last Invoice Created Date","Faktur Terakhir Dibuat Tanggal"
"Last Logged In:","Terakhir Masuk:"
"Last Name","Nama Belakang"
"Last Name:","Nama Belakang:"
"Lifetime Sales","Penjualan Seumur Hidup"
"Links","Tautan"
"List (default) / Grid","Daftar (bawaan) / kisi"
"List Only","Daftar saja"
"Load Template","Memuat Template"
"Loading...","Pemuatan..."
"Local Server","Server Lokal"
"Locale","Lokal"
"Login","Masuk"
"Low Stock","Stok sedikit"
"OpenMage Admin","Admin OpenMage"
"Magento root directory","Direktori root OpenMage"
"Manage Attribute Sets","Kelola Set Atribut"
"Manage Categories","Mengelola Kategori"
"Manage Currency Rates","Kelola Harga Mata Uang"
"Manage Customers","Kelola Pelanggan"
"Manage Ratings","Kelola Rating"
"Manage Stores","Kelola Toko"
"Manage Tax Rules","Mengelola aturan pajak"
"Manage Titles (Size, Color, etc.)","Mengelola Judul (Ukuran, Warna, dll.)"
"Maximum sender name length is 255. Please correct your settings.","Panjang nama pengirim maksimum adalah 255. Silakan perbaiki pengaturan Anda."
"Messages Inbox","Pesan Kotak masuk"
"Month","Bulan"
"Most Viewed","Terpopuler"
"Most Viewed Products","Produk yang Paling Banyak Dilihat"
"Multiple Select","Beberapa Pilih"
"My Account","Akun saya"
"N/A","N / A"
"Name","Nama"
"Never (production)","Tidak pernah (produksi)"
"New ","Baru "
"New Accounts","Akun baru"
"New Attribute","Atribut Baru"
"New Block","Blok baru"
"New Category","Kategori baru"
"New Condition","Kondisi baru"
"New Custom Variable","Variabel Kustom Baru"
"New Customer","Pelanggan baru"
"New Customers","Pelanggan baru"
"New Email Template","Template Email Baru"
"New Group","Grup baru"
"New Invoice","Faktur baru"
"New Memo","Memo baru"
"New Page","Halaman baru"
"New Password","Kata sandi baru"
"New Rating","Rating Baru"
"New Review","Ulasan Baru"
"New Role","Wewenang Baru"
"New Rule","Aturan baru"
"New Search","Penelusuran Baru"
"New Set","Set baru"
"New Shipment","Pengiriman baru"
"New Store View","Tampilan toko baru"
"New System Template","Template Sistem Baru"
"New Template","Template Baru"
"New User","Pengguna baru"
"Newsletter","Buletin"
"Newsletter Queue","Antrian Newsletter"
"Newsletter Subscribers","Pelanggan buletin"
"Newsletter Templates","Template Newsletter"
"No","Tidak"
"No (price without tax)","Tidak (harga tanpa pajak)"
"No Data","Tidak Ada Data"
"No Data Found","Tidak ada data yang ditemukan"
"No Templates Found","Tidak ada Template yang Ditemukan"
"No change","Tidak ada perubahan"
"No records found.","Tidak ditemukan catatan."
"No search modules were registered","Tidak ada modul pencarian yang terdaftar"
"None","Tidak ada"
"Note:","Catatan:"
"Notifications","Pemberitahuan"
"Number of Orders","Jumlah pesanan"
"Number of Uses","Jumlah Penggunaan"
"OK","Baik"
"Old rate:","Tingkat lama:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Setelah masuk ke akun PayPal Advanced, navigasikan ke menu Setelan Layanan - Halaman Checkout Host - Set Up dan setel opsi yang dijelaskan di bawah ini"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Setelah masuk ke akun Payflow Link PayPal, navigasikan ke menu Setelan Layanan - Halaman Checkout Host - Set Up dan setel opsi yang dijelaskan di bawah ini"
"Online Customers","Pelanggan Online"
"Only Once (version upgrade)","Hanya Sekali (versi upgrade)"
"Optional","Pilihan"
"Options","Pilihan"
"Order","Memesan"
"Order ID","ID Pemesanan"
"Order Totals","Total Pesanan"
"Orders","Pesanan"
"Out of stock","Habis terjual"
"Pages","halaman"
"Parent Product Thumbnail","Thumbnail Produk Orang Tua"
"Parent Transaction ID","Induk ID Transaksi"
"Password","Kata sandi"
"Password Confirmation","Konfirmasi kata kunci"
"Password:","Kata sandi:"
"Pending Reviews","Ulasan tertunda"
"Per Item","Per item"
"Per Order","Sesuai pesanan"
"Percent","Persen"
"Period","Periode"
"Permanent (301)","Permanen (301)"
"Permissions","Izin"
"Personal Information","Informasi pribadi"
"Please Select","Silahkan pilih"
"Please confirm site switching. All data that hasn't been saved will be lost.","Silakan konfirmasikan pengalihan situs. Semua data yang belum disimpan akan hilang."
"Please enter a number greater than 0 in this field.","Masukkan angka lebih besar dari 0 di bidang ini."
"Please enter a valid $ amount. For example $100.00.","Masukkan jumlah $ yang valid. Misalnya $100.00."
"Please enter a valid credit card number.","Silakan masukkan nomor kartu kredit yang benar."
"Please enter a valid date.","Silakan masukkan tanggal yang valid."
"Please enter a valid email.","Silakan masukkan email yang benar."
"Please enter a valid number in this field.","Masukkan nomor yang valid di bidang ini."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Silahkan masukkan nomor telepon yang benar. Misalnya (123) 456-7890 atau 123-456-7890."
"Please enter a valid value from list","Silakan masukkan nilai yang valid dari daftar"
"Please enter a valid value, ex: 10,20,30","Silakan masukkan nilai yang valid, misal: 10,20,30"
"Please enter a valid zip code.","Silakan masukkan kode pos yang valid."
"Please make sure that all global admin search modules are installed and activated.","Pastikan semua modul pencarian admin global terinstal dan diaktifkan."
"Please make sure your passwords match.","Pastikan kata sandi Anda cocok."
"Please select State/Province.","Silahkan pilih State/Province."
"Please select an option.","Silahkan pilih salah satu pilihan."
"Please select customer(s).","Silakan pilih pelanggan(s)."
"Please select one of the options.","Silahkan pilih salah satu pilihannya."
"Please select review(s).","Silakan pilih ulasan."
"Please specify the admin custom URL.","Silakan tentukan URL khusus admin."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Silakan gunakan hanya huruf (a-z atau A-Z), angka (0-9) atau spasi di bidang ini."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Silakan gunakan format tanggal ini: dd/mm/yyyy. Misalnya 17/03/2006 untuk tanggal 17 Maret 2006."
"Please wait...","Mohon tunggu..."
"Position","Posisi"
"Preview","Pratinjau"
"Preview Template","Pratinjau Template"
"Price","Harga"
"Price:","Harga:"
"Processing","Pengolahan"
"Product","Produk"
"Product Name","Nama Produk"
"Product Reviews","Ulasan produk"
"Product Thumbnail Itself","Produk Miniatur Sendiri"
"Product:","Produk:"
"Products","Produk"
"Products Bestsellers Report","Produk Laporan Penjual Terbaik"
"Products Most Viewed Report","Produk Terbanyak Dilihat Laporan"
"Products Ordered","Produk yang dipesan"
"Products in Carts","Produk di Gerobak"
"Promotions","Promosi"
"Quantity","Kuantitas"
"Radio Buttons","Tombol radio"
"Rebuild","Membangun kembali"
"Rebuild Catalog Index","Rebuild Indeks Katalog"
"Rebuild Flat Catalog Category","Membangun kembali datar katagori katalog"
"Rebuild Flat Catalog Product","Membangun kembali datar produk katalog"
"Recent Orders","Pesanan baru"
"Recent statistics have been updated.","Statistik terakhir telah diperbarui."
"Reference ID","ID referensi"
"Refresh","Menyegarkan"
"Refresh Statistics","Segarkan Statistik"
"Region/State","Wilayah/negara"
"Reload captcha","Muat ulang captcha"
"Remote FTP","FTP jarak jauh"
"Remove","Hapus"
"Reports","Laporan"
"Request Path","Jalur permintaan"
"Required","Wajib"
"Reset","Set ulang"
"Reset Filter","Setel ulang filter"
"Reset Password","Setel Ulang Kata Sandi"
"Reset a Password","Setel ulang kata sandi"
"Resource Access","Akses sumber"
"Resources","Sumber daya"
"Results","Hasil"
"Retrieve Password","Ambil kata sandi"
"Return Html Version","Kembalikan Versi Html"
"Revenue","Pendapatan"
"Reviews","Ulasan"
"Role Info","Info Wewenang"
"Role Information","Informasi Wewenang"
"Role Name","Nama Wewenang"
"Role Resources","Sumber daya Wewenang"
"Role Users","Pengguna Wewenang"
"Roles","Wewenang"
"Roles Resources","Sumber daya Wewenang"
"Root Category","Kategori akar"
"Run","Menjalankan"
"Sales","Penjualan"
"Sales Report","Laporan penjualan"
"Samples","Sampel"
"Save","Menyimpan"
"Save & Generate","Simpan & Hasilkan"
"Save Account","Simpan Akun"
"Save Cache Settings","Simpan Setelan Cache"
"Save Config","Simpan konfig"
"Save Currency Rates","Simpan Nilai Tukar Mata Uang"
"Save Role","Simpan Wewenang"
"Save Template","Simpan Template"
"Save User","Simpan pengguna"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Search","Pencarian"
"Search Index","Indeks Pencarian"
"Search Term","Penelusuran Istilah"
"Search Terms","Istilah Pencarian"
"Search entire store here...","Cari seluruh toko di sini..."
"Select","Memilih"
"Select All","Pilih Semua"
"Select Category","Pilih Kategori"
"Select Date","Memilih Tanggal"
"Sender","Pengirim"
"Separate Email","Email terpisah"
"Shipment Comments","Komentar pengiriman"
"Shipment History","Sejarah Pengiriman"
"Shipments","Pengiriman"
"Shipping","Pengiriman"
"Shipping Address","Alamat Pengiriman"
"Shipping Address: ","Alamat Pengiriman: "
"Shipping Origin","Asal pengiriman"
"Shipping Price","Harga Pengiriman"
"Shopping Cart","Keranjang Belanja"
"Show By","Tampilkan dengan"
"Show Report For:","Tampilkan Laporan untuk:"
"Show Reviews","Tampilkan Ulasan"
"Skip Category Selection","Lewati Pilihan Kategori"
"Specific Countries","Negara tertentu"
"Specified","Ditentukan"
"Start Date","Tanggal Mulai"
"Static Blocks","Blok Statisv"
"Status","Subjek"
"Store","Toko"
"Store View","Tampilan toko"
"Stores","Toko"
"Subject","Subyek"
"Submit","Menyerahkan"
"Switch/Solo/Maestro Only","Beralih /Solo/ Maestro Saja"
"Synchronize","Sinkronisasi"
"Synchronizing...","Menyinkronkan..."
"System","Sistem"
"Tags","Tag"
"Target Path","Jalur Sasaran"
"Tax","Pajak"
"Template Content","Konten Template"
"Template Information","Informasi Template"
"Template Name","Nama template"
"Template Styles","Gaya Template"
"Template Subject","Subjek Template"
"Template Type","Jenis template"
"Temporary (302)","Sementara (302)"
"Terms and Conditions","Syarat dan ketentuan"
"Text","Teks"
"The JavaScript/CSS cache has been cleaned.","Cache JavaScript / CSS telah dibersihkan."
"The OpenMage cache storage has been flushed.","Penyimpanan cache OpenMage telah memerah."
"The URL Rewrite has been saved.","Penulisan ulang URL telah disimpan."
"The attribute set has been removed.","Set atribut telah dihapus."
"The credit memo has been canceled.","Memo kredit telah dibatalkan."
"The image cache was cleaned.","Cache gambar sudah dibersihkan."
"The invoice has been captured.","Faktur telah diambil."
"The invoice has been created.","Faktur telah dibuat."
"The invoice has been voided.","Faktur telah dibatalkan."
"The order no longer exists.","Perintah sudah tidak ada lagi."
"The shipment has been created.","Pengiriman telah dibuat."
"The transaction details have been updated.","Rincian transaksi telah diperbarui."
"There is an error in one of the option rows.","Terjadi kesalahan pada salah satu pilihan baris."
"This account is","Akun ini"
"This action cannot be undone.","Tindakan ini tidak bisa dibatalkan."
"This block no longer exists.","Blok ini sudah tidak ada lagi."
"This is a required field.","Ini adalah kolom yang harus diisi."
"This user no longer exists.","Pengguna ini sudah tidak ada lagi."
"Time","Waktu"
"To","Ke"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Untuk menggunakan PayPal Payflow Link, Anda harus mengkonfigurasi akun Payflow PayPal di situs PayPal."
"Tools","Alat"
"Total","Jumlah"
"Total Invoiced","Total Faktur Ditagihkan"
"Total Refunded","Jumlah Total Dana Dikembalikan"
"Track Order","Lacak Pesanan"
"Track this shipment","Lacak kiriman ini"
"Transaction Data","Data transaksi"
"Transaction Details","Detil transaksi"
"Transaction ID","ID transaksi"
"Transaction Type","Tipe transaksi"
"Transactional Emails","Email Transaksional"
"Transactions","Transaksi"
"Type","Jenis"
"Type:","Jenis:"
"URL Rewrite Information","Informasi Rewrite URL"
"URL Rewrite Management","Pengelolaan penulisan ulang URL"
"Unknown","Tidak diketahui"
"Unlimited","Tak terbatas"
"Update","Memperbarui"
"Updated At","Diperbarui pada"
"Upload File","Unggah File"
"Upload Files","Unggah berkas"
"Use All Available Attributes","Gunakan Semua Atribut yang Tersedia"
"Use Config Settings","Gunakan Pengaturan Konfirmasi"
"Use Default","Gunakan bawaan"
"Use Default Value","Gunakan Nilai Default"
"Use Default Variable Values","Gunakan Nilai Variabel Default"
"Use FTP Connection","Gunakan Koneksi FTP"
"Use Website","Gunakan Website"
"User Email","Email pengguna"
"User ID","Identitas pengguna"
"User Info","Info Pengguna"
"User Information","Informasi pengguna"
"User Name","Nama Pengguna"
"User Password","Kata sandi pengguna"
"User Role","Wewenang Pengguna"
"User Roles","Wewenang Pengguna"
"User Roles Information","Informasi Wewenang Pengguna"
"Users","Pengguna"
"Validation Results","Hasil Validasi"
"Value","Nilai"
"Variable","Variabel"
"Variable Code","Kode variabel"
"Variable HTML Value","Nilai HTML Variabel"
"Variable ID","ID variabel"
"Variable Name","Nama variabel"
"Variable Plain Value","Variabel Nilai polos"
"View Full Size","Lihat dalam ukuran penuh"
"View Statistics For:","Lihat Statistik Untuk:"
"Warning","Peringatan"
"Website","Situs web"
"What is this?","Apa ini?"
"Year","Tahun"
"Yes","Ya"
"Yes (301 Moved Permanently)","Ya (301 Dipindahkan Secara Permanen)"
"Yes (302 Found)","Ya (302 Ditemukan)"
"Yes (only price with tax)","Ya (hanya harga dengan pajak)"
"You cannot delete your own account.","Anda tidak dapat menghapus akun Anda sendiri."
"You have logged out.","Kamu telah keluar."
"Your password reset link has expired.","Tautan setel ulang sandi Anda telah kedaluwarsa."
"Zip/Postal Code","Kode pos"
"[ deleted ]","[dihapus]"
"[STORE VIEW]","[LIHAT TOKO]"
"[WEBSITE]","[SITUS WEB]"
"close","tutup"
"critical","kritis"
"failed","gagal"
"from","dari"
"major","mayor"
"minor","kecil"
"notice","pemberitahuan"
"successful","sukses"
"to","untuk"
