"1 Day Freight","1 hari pengiriman"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Prioritas Surat Cepat Minggu / Libur pengiriman/ Amplop rata"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Prioritas Surat Cepat Hari Minggu/Libur Pengiriman Amplop tarif rata-rata"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Prioritas Surat Cepat Hari Minggu/Libur Pengiriman Amplop tarif rata-rata"
"Priority Mail Flat Rate Envelope","Amplop Lebar Email Prioritas"
"Priority Mail Flat Rate Envelope Hold For Pickup","Amplop Lebar surat Prioritas Tahan Untuk Pickup"
"Priority Mail Gift Card Flat Rate Envelope","Amplop Kartu Ucapan alamat Prioritas"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Prioritas Kartu ucapan Amplop Lebar Tahan Untuk Pickup"
"Priority Mail Hold For Pickup","Tahan Pesan Prioritas Untuk pickup"
"Priority Mail International","Prioritas Pesan Internasional"
"Priority Mail International DVD Flat Rate priced box","Kotak surat Prioritas DVD Internasional dengan harga diskon"
"Priority Mail International Flat Rate Envelope","Amplop Prioritas Pesan Internasional Rating Rendah"
"Priority Mail International Gift Card Flat Rate Envelope","Amplop Priority Mail International Small Flat Rate"
"Priority Mail International Large Flat Rate Box","Kotak Besar Prioritas Pesan Internasional Rating Rendah"
"Priority Mail International Large Video Flat Rate priced box","Kotak surat prioritas internasional dengan harga rata-rata"
"Priority Mail International Legal Flat Rate Envelope","Surat Utang Standar Prioritas Surat Utang Internasional"
"Priority Mail International Medium Flat Rate Box","Amplop Prioritas Pesan Internasional Rating Menengah"
"Priority Mail International Padded Flat Rate Envelope","Surat Utang Standar Prioritas Surat Utang Internasional"
"Priority Mail International Small Flat Rate Box","Kotak Kecil Prioritas Pesan Internasional Rating Rendah"
"Priority Mail International Small Flat Rate Envelope","Surat Utang Standar Prioritas Surat Utang Internasional"
"Priority Mail International Window Flat Rate Envelope","Amplop Priority Mail High Padded Line"
"Priority Mail Large Flat Rate Box","Kotak Prioritas Kotak Besar Rata-Rata"
"Priority Mail Large Flat Rate Box Hold For Pickup","Email Prioritas Kotak Flat Rate Besar Tahan Untuk Pickup"
"Priority Mail Legal Flat Rate Envelope","Amplop Lebar Data Prioritas Alamat"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Surat Utang Lebar Data Prioritas Prioritas Menahan Pickup"
"Priority Mail Medium Flat Rate Box","Kotak Medium Flat Rate Prioritas"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Kotak Medium Medium Flat Rate Tahan Menahan Pickup"
"Priority Mail Padded Flat Rate Envelope","Amplop Prioritas Pesan Empuk Menilai Datar"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Amplop Isi Prioritas Amplop Prioritas Tahan Untuk Pickup"
"Priority Mail Regional Rate Box A","Kotak Surat Regional Tingkat Prioritas A"
"Priority Mail Regional Rate Box A Hold For Pickup","Priorotas Alamat Regional Nila Kotak C Memegang Pickup"
"Priority Mail Regional Rate Box B","Kotak Surat Regional Tingkat Prioritas B"
"Priority Mail Regional Rate Box B Hold For Pickup","Prioritas Regional Nilai Kotak B Menahan Pickup"
"Priority Mail Regional Rate Box C","Kotak Surat Regional Tingkat Prioritas C"
"Priority Mail Regional Rate Box C Hold For Pickup","Priorotas Alamat Regional Nila Kotak C Memegang Pickup"
"Priority Mail Small Flat Rate Box","Kotak Prioritas Pesan Kecil Menilai datar"
"Priority Mail Small Flat Rate Box Hold For Pickup","Prioritas Kotak Kecil Datar menilai Tahan Untuk Pickup"
"Priority Mail Small Flat Rate Envelope","Amplop Alamat Prioritas Rata-rata"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Amplop Alamat Prioritas Kecil Tahan Untuk Pickup"
"Priority Mail Window Flat Rate Envelope","Prioritas Email Window Flat Rate Envelope"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Prioritas Window Flat Rate Envelope Tahan Untuk Pickup"
"Priority Overnight","Prioritas Semalam"
"Rectangular","Persegi panjang"
"Regular","Reguler"
"Regular Pickup","Penjemputan Reguler"
"Request Courier","Permintaan kurir"
"Required","Wajib"
"Residential","Perumahan"
"Residential Delivery","Pengiriman barang"
"Response is in the wrong format","Respon dalam format yang salah"
"Retail Ground","Tanah Ritel"
"Return","Pengembalian"
"Same day","Hari yang sama"
"Sample","Mencicipi"
"Sandbox Mode","Mode Sandbox"
"Secure Gateway URL","URL pintu masuk Aman"
"Sender","Pengirim"
"Service type does not match","Jenis layanan tidak cocok"
"Ship to Applicable Countries","Kirimkan ke Negara yang Berlaku"
"Ship to Specific Countries","Kirimkan ke Negara-negara Tertentu"
"Shipper Number","Nomor pengirim"
"Show Method if Not Applicable","Tampilkan Metode jika Tidak Berlaku"
"Signature Required","Tanda tangan yang disyaratkan"
"Size","Ukuran"
"Small Express Box","Kotak Ekspres Kecil"
"Smart Post","Pos cerdas"
"Sort Order","Pengurutan"
"Specific","Spesifik"
"Sprintline","Garis Sprint"
"Standard Overnight","Standar Bermalam"
"Station","Stasiun"
"The field is applicable if the Smart Post method is selected.","Lapangan berlaku jika metode Smart Post dipilih."
"The response is in wrong format.","Tanggapannya salah format."
"There is no items in this order","Tidak ada barang dalam urutan ini"
"Title","Judul"
"Tracking XML URL","URL XML Pelacakan"
"UPS Expedited","UPS dipercepat"
"UPS Express Box","Kotak Ekspres UPS"
"UPS Express Early A.M.","UPS Express awal A.M."
"UPS Ground","UPS Tanah"
"UPS Letter Envelope","Amplop Surat UPS"
"UPS Next Day Air","Keesokan harinya udara"
"UPS Next Day Air Early A.M.","UPS Next Day Air Awal A.M."
"UPS Next Day Air Saver","UPS Hari Berikutnya Air Saver"
"UPS Saver","UPS Penghemat"
"UPS Second Day Air","UPS Pengiriman Hari Kedua"
"UPS Second Day Air A.M.","UPS Pengiriman Awal Hari Kedua A.M."
"UPS Standard","UPS Standar"
"UPS Three-Day Select","UPS Pilihan Tiga Hari"
"UPS Today Dedicated Courrier","UPS Hari ini Didedikasikan Courrier"
"UPS Today Express","UPS Express hari ini"
"UPS Today Express Saver","UPS Express Saver hari ini"
"UPS Today Intercity","UPS Antar kota hari ini"
"UPS Today Standard","Standar UPS Hari Ini"
"UPS Tube","Tabung UPS"
"UPS Type","Tipe UPS"
"UPS Worldwide 10 kilo","UPS di seluruh dunia 10 kilo"
"UPS Worldwide 25 kilo","UPS di seluruh dunia 25 kilo"
"UPS Worldwide Expedited","UPS Dipercepat di seluruh dunia"
"UPS Worldwide Express","UPS Express Di seluruh dunia"
"UPS Worldwide Express Plus","UPS Express Plus Di seluruh dunia"
"UPS Worldwide Express PlusSM","UPS Express PlusSM di seluruh dunia"
"UPS Worldwide Saver","UPS Saver di seluruh dunia"
"USPS GXG Envelopes","Amplop USPS GXG"
"Unable to retrieve tracking","Tidak dapat mengambil pelacakan"
"United Parcel Service","Layanan United parsel"
"United Parcel Service XML","Layanan United Parsel XML"
"User ID","Identitas pengguna"
"Variable","Variabel"
"Weight Unit","Satuan berat"
"Width","Lebar"
"Worldwide Expedited","Dipercepat di seluruh dunia"
"Worldwide Express","Express Di seluruh dunia"
"Worldwide Express Letter","Express surat di seluruh dunia"
"Worldwide Express Plus","Express Plus di seluruh dunia"
"Worldwide Express Plus Letter","Express Plus Surat di seluruh dunia"
"Worldwide Express Saver","Express Saver di seluruh dunia"
"Yes","Ya"
"Your Packaging","Kemasan Anda"
"inch","inci"
