"* Required Fields","* Обязательные поля"
"If you have an account with us, please log in.","Если у вас есть учётная запись на нашем сайте, пожалуйста, авторизируйтесь."
"Invalid current password","Неправильный текущий пароль"
"Invalid customer data","Неправильные данные клиента"
"Invalid login or password.","Неверный логин или пароль."
"Last Activity","Последняя активность"
"Last Date Subscribed","Дата последней подписки"
"Last Date Unsubscribed","Дата последней отписки"
"Last Name","Фамилия"
"Leave empty for default (15 minutes).","Оставьте пустым для значения по умолчанию (15 минут)."
"Leave empty for default (2). Valid range: 1-4","Оставьте пустым для значения по умолчанию (2). Диапазон возможных значений : 1-4"
"Lifetime Sales","Всего продаж"
"Log In","Войти"
"Log Out","Выйти"
"Login","Логин"
"Login Information","Информация для авторизации"
"Login Options","Параметры входа"
"Login or Create an Account","Страница авторизации"
"MM","ММ"
"Month","Месяц"
"My Account","Моя учётная запись"
"My Dashboard","Моя панель управления"
"My Orders","Мои заказы"
"Name","Название"
"Name and Address Options","Параметры для имени и адреса"
"Never","Никогда"
"New Address","Новый адрес"
"New Address Entry","Запись нового адреса"
"New Customer","Новый клиент"
"New Customer Address","Новый адрес клиента"
"New Customer Group","Новая группа клиентов"
"New Customer Groups","Новые группы клиентов"
"New Customers","Новый клиент"
"New Group","Новая группа"
"New Password","Новый пароль"
"New account","Новая учётная запись"
"New account confirmation key","Код подтверждения новой учётной записи"
"New account confirmed","Новая учётная запись подтверждена"
"Newsletter","Новостная рассылка"
"Newsletter Finish","Конец письма"
"Newsletter Information","Информация о рассылке"
"Newsletter Received","Письмо получено"
"Newsletter Start","Начало письма"
"Newsletter Subscription","Подписка на рассылку"
"Newsletters","Информационные бюллетени"
"No Items Found","Нет найденых товаров"
"No Newsletter Found","Рассылка не найдена"
"No item specified.","Нет указанных элементов."
"Not Sent","Не отправлено"
"Not confirmed, can login","Не подтверждён, можно входить в систему"
"Not confirmed, cannot login","Не подтверждён, нельзя входить в систему"
"Offline","Не в сети"
"Online","Онлайн"
"Online Customers","Онлайн Посетители"
"Online Customers Options","Параметры клиентов на сайте (в сети)"
"Online Minutes Interval","Интервал в минутах"
"Order #","Заказ #"
"Order Total","Сумма заказа"
"Orders","Заказы"
"Password","Пароль"
"Password Management","Управление паролем"
"Password Options","Параметры пароля"
"Password forgotten","Пароль забыт"
"Password:","Пароль:"
"Paused","Приостановлено"
"Pending","В очереди"
"Per Website","Для сайта"
"Personal Information","Персональные данные"
"Please enter a number 1 or greater in this field.","Пожалуйста, введите число 1 и больше."
"Please enter the first name.","Пожалуйста, введите имя."
"Please enter the last name.","Пожалуйста, введите фамилию."
"Please enter the state/province.","Укажите штат/провинцию."
"Please enter your email below and we'll send you confirmation link for it.","Пожалуйста, введите ваш адрес электронной почты (email) для получения кода подтверждения."
"Please enter your email.","Введите свой адрес электронной почты."
"Please make sure your passwords match.","Убедитесь, что ваши пароли совпадают."
"Please select region, state or province","Пожалуйста, выберите область"
"Price","Цена"
"Product","Товар"
"Product ID","ID товара"
"Product Name","Название товара"
"Product Reviews","Обзор товара"
"Product Tags","Метки товара"
"Purchase On","Куплен"
"Purchased On","Дата покупки"
"Qty","Кол-во"
"Recent Orders","Последние заказы"
"Recovery Link Expiration Period (hours)","Восстановление срока действия ссылки (в часах)"
"Refunded","Возвращено"
"Register","Зарегистрируйтесь"
"Registered Customers","Зарегистрированные клиенты"
"Remove","Удалить"
"Require Emails Confirmation","Требуется подтверждение адреса электронной почты (email)"
"Retrieve address data","Получить данные адреса"
"Retrieve address info","Получить информацию об адресе"
"Retrieve customer addresses","Получить адреса клиента"
"Retrieve customer data","Получить данные клиента"
"Retrieve customers","Получить клиентов"
"Retrieve your confirmation link here","Получите ваш код подтверждения по электронной почте здесь"
"Retrieve your password here","Получите ваш пароль здесь"
"SKU","Артикул"
"Sales Statistics","Статистика продаж"
"Save","Сохранить"
"Save Address","Сохранить адрес"
"Save Customer","Сохранить клиента"
"Save Customer Group","Сохранить группу покупателей"
"Save Password","Сохранить пароль"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Значения, разделённые точкой с запятой (;).<br/>Поместите точку с запятой в начале строки для пустого первого параметра.<br/>Оставить пустым для открытого текстового поля."
"Send Welcome Email after Confirmation","Отправить письмо (email) с приветствием после подтверждения"
"Send confirmation link","Отправить ссылку для подтверждения"
"Sending","Отправка"
"Sent","Отправлено"
"Session Start Time","Время начала сеанса"
"Set as Default Billing Address","Установить адресом плательщика по умолчанию"
"Set as Default Shipping Address","Установить адресом доставки по умолчанию"
"Share Customer Accounts","Уровень разделения учётных записей"
"Shipped to First Name","Доставлено на имя"
"Shipped to Last Name","Доставлено на фамилию"
"Shipped to Name","Отгружено на имя"
"Shopping Cart","Корзина"
"Shopping Cart - %d item(s)","Корзина - %d шт."
"Show Gender","Показывать пол"
"Show Prefix","Отображать префиксы"
"Show Suffix","Показать суффикс"
"Sign Up for Newsletter","Подписаться на новости"
"State/Province","Область"
"Status","Статус"
"Store","Магазин"
"Store View","Представление магазина"
"Street Address","Адрес улицы"
"Subject","Тема"
"Submit","Отправить"
"Subscribe to Newsletter","Подписаться на рассылку"
"Subscribed to Newsletter?","Уже подписаны на новости?"
"Tag Name","Название метки"
"Tax Calculation Based On","Расчет налога основан на"
"Tax Class","Налоговый класс"
"Tax/VAT number","Номер плательщика НДС (ИНН)"
"Telephone","Телефон"
"Text","Текст"
"Text One Line","Текст в одну строку"
"The VAT ID entered (%s) is not a valid VAT ID.","Идентификатор НДС (%s) не является действительным идентификатором НДС."
"The VAT ID is valid. The current Customer Group will be used.","ID НДС является допустимым. Будет использоваться текущая группа клиентов."
"The customer does not have default billing address.","Клиент не имеет платежного адреса по умолчанию."
"The suffix that goes after name (Jr., Sr., etc.)","Суффикс используется после имени (Jr., Sr. и т.д.)"
"The title that goes before name (Mr., Mrs., etc.)","Обращение используемое до имени (Г-н, Г-жа и т.д.)"
"There are no items in customer's wishlist at the moment","В данный момент в листе пожеланий клиента нет товаров"
"There are no items in customer's shopping cart at the moment","В данный момент в корзине у клиента нет товаров"
"This account is not confirmed.","Эта учётная запись не подтверждена."
"This customer has no saved addresses.","У этого клиента нет сохранённых адресов."
"This email does not require confirmation.","Это письмо не требует подтверждения."
"To Cart","В корзину"
"Total","Всего"
"Type","Тип"
"Unknown","Неизвестно"
"Update","Обновить"
"Update customer address data","Обновить адресные данные клиента"
"Update customer data","Обновить данные клиента"
"Use as my default billing address","Использовать в качестве моего адреса плательщика по умолчанию"
"Use as my default shipping address","Использовать в качестве моего адреса доставки по умолчанию"
"VAT Number","Номер НДС"
"Validate VAT Number","Проверте номер НДС"
"View","Просмотр"
"View Order","Просмотреть заказ"
"Visitor","Посетитель"
"Visitors Only","Только для посетителей"
"Website","Веб-сайт"
"Welcome Email","Письмо Приветствия"
"Wishlist","Список желаний"
"Wishlist - %d item(s)","Лист пожеланий -%d шт."
"Would you like to change the Customer Group for this order?","Вы хотите изменить Клиент Группа для этого заказа?"
"Wrong confirmation key.","Неверный код подтверждения."
"Wrong customer account specified.","Указана неверная учётная запись клиента."
"Wrong email.","Неправильный адрес электронной почты."
"YYYY","Год (YYYY)"
"Year","Год"
"You are currently not subscribed to any newsletter.","В настоящее время вы не подписаны на получение каких-либо новостей."
"You are currently subscribed to 'General Subscription'.","В настоящее время вы подписаны на 'Общую подписку'."
"You are currently subscribed to our newsletter.","В настоящее время вы подписаны на рассылку новостей."
"You have no additional address entries in your address book.","В вашей адресной книге нет дополнительных адресов."
"You have no additional entries in your address book.","В вашей адресной книге нет дополнительных записей."
"You have no default billing address in your address book.","У вас нет настроек по умолчанию платежный адрес в адресной книге."
"You have no default shipping address in your address book.","У вас нет доставки по умолчанию адрес в адресной книге."
"You have not set a default billing address.","Вы не установили платежный адрес по умолчанию."
"You have not set a default shipping address.","Вы не установили адрес доставки по умолчанию."
"You have placed no orders yet.","Вы ещё не оформляли заказы на нашем сайте."
"You have placed no products yet.","Вы ещё не размещали товары на нашем сайте."
"You will be charged tax.","Вам будет взиматься налог."
"You will not be charged tax.","Вам не взимается налог."
"Your account balance is: %s","Баланс вашего счета: %s"
"ZIP","Индекс"
"ZIP/Post Code","Почтовый индекс"
"Zip/Postal Code","Почтовый индекс"
"n/a","н/д"
"or","или"
