"-- Please Select --","-- Выберите --"
"Please enter a valid $ amount. For example $100.00.","Пожалуйста, введите действительное $ кол-во. К примеру $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Пожалуйста, введите правильный адрес. Например, http://www.example.com или www.example.com"
"Please enter a valid credit card number.","Пожалуйста введите действительный номер кредитной карты."
"Please enter a valid credit card verification number.","Пожалуйста введите действительный номер проверки карты."
"Please enter a valid date.","Пожалуйста, введите правильную дату."
"Please enter a valid email address. For example johndoe@domain.com.","Пожалуйста, введите правильный адрес электронной почты (email). Например, ivanivanov@domain.com."
"Please enter a valid month (1-12).","Пожалуйста, введите правильный месяц (1-12)."
"Please enter a valid number in this field.","Пожалуйста введите правильный номер в это поле."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Пожалуйста, введите действительный номер телефона. Например (123) 456-7890 или 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Пожалуйста, введите правильный номер социального страхования. Например, 123-45-6789."
"Please enter a valid zip code.","Пожалуйста, введите правильный индекс."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Пожалуйста, введите правильный почтовый индекс. Например, 90602 или 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Пожалуйста, введите номер задачи или дату начала для карты типа switch/solo."
"Please make sure your passwords match.","Убедитесь, что ваши пароли совпадают."
"Please select State/Province.","Пожалуйста, выберите край/область."
"Please select an option.","Выбери один из вариантов."
"Please select one of the above options.","Пожалуйста, выберите один из вышеуказанных вариантов."
"Please select one of the options.","Пожалуйста, выберите один из параметров."
"Please use letters only (a-z or A-Z) in this field.","Пожалуйста, используйте только буквы (a-z или A-Z) в этой области."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Пожалуйста, используйте в этом поле только буквы (a-z), цифры (0-9) или подчёркивания(_). Первый символ должен быть буквой."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Пожалуйста, используйте этот формат даты: дд/мм/гггг. К примеру 17/03/2006 для 17 марта, 2006."
"Please wait, loading...","Пожалуйста, подождите. Идёт загрузка..."
"Polls","Опросы"
"Port (25)","Порт (25)"
"Profiler","Профайлер"
"Recovery Link Expiration Period (hours)","Восстановление срока действия ссылки (в часах)"
"Requested invalid store ""%s""","Запрошен неверный магазин ""%s"""
"Return-Path Email","Электронная почта пути возврата"
"Root Category","Корневая категория"
"Sales Representative","Торговый представитель"
"Save","Сохранить"
"Save Store","Сохранить магазин"
"Save Store View","Сохранить представление магазина"
"Save Website","Сохранить сайт"
"Search Engines Optimization","Поисковая оптимизация (SEO)"
"Secure","Безопасное соединение"
"Security","Безопасноть"
"Select Date","Выберите дату"
"Sender Email","Электронная почта отправителя"
"Sender Name","Имя отправителя"
"Services","Сервисы"
"Session Validation Settings","Параметры сеанса проверки"
"Set Return-Path","Задать путь возврата"
"Set as Default","Установить по умолчанию"
"Skin (Images / CSS)","Оболочка сайта (Изображения / CSS)"
"Sort Order","Порядок Сортировки"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Указанная дата/время ""%1$s"" не соответствует формату ""%2$s""."
"Startup Page","Стартовая страница"
"Status","Статус"
"Store","Магазин"
"Store Email Addresses","Email магазина"
"Store Hours of Operation","Часы работы магазина"
"Store Information","Информация о магазине"
"Store Name","Название магазина"
"Store View","Представление магазина"
"Store View Information","Информация о представлении магазина"
"Store View Name","Название представления магазина"
"Store view doesn't exist","Представление магазина не существует"
"Store with the same code","Магазин с таким же кодом"
"System","Система"
"System Log File Name","Имя файла системного лога"
"Template Path Hints","Подсказки пути шаблона"
"Template Settings","Параметры шаблона"
"Templates","Шаблоны"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Вы ввели что-то непонятное: %s. Убедитесь, что введённое Вами соответствует формату ""http://domain.com/""."
"The store does not exist","Магазин не существует"
"The value is not within the specified range.","Значение не находится в пределах указанного диапазона."
"The website does not exist.","Веб-сайт не существует."
"Themes","Темы"
"This category and all its child elements","Эта категория и все её дочерние элементы"
"This category and its child categories only","Эта категория и все её дочерние категории (без товаров)"
"This category and its products only","Эта категория и только её товары"
"This category only","Только эта категория"
"This is a required field.","Это поле обязательно для заполнения."
"This store cannot be deleted.","Невозможно удалить этот магазин."
"This store view cannot be deleted.","Невозможно удалить это представление магазина."
"This website cannot be deleted.","Невозможно удалить этот веб-сайт."
"Timezone","Часовой пояс"
"Title Prefix","Префикс заголовка"
"Title Suffix","Суффикс заголовка"
"Transactional Emails","Транзакционные письма"
"Translate Inline","Перевести: Inline"
"Translations","Переводы"
"Unable to delete store view. Please, try again later.","Невозможно удалить представление магазина. Пожалуйста, повторите попытку позже."
"Unable to delete store. Please, try again later.","Невозможно удалить магазин. Пожалуйста, повторите попытку позже."
"Unable to delete website. Please, try again later.","Невозможно удалить сайт. Пожалуйста, повторите попытку позже."
"Unable to proceed. Please, try again","Невозможно продолжить. Пожалуйста, попробуйте еще раз"
"Unsecure","Небезопасное соединение"
"Url Options","Параметры URL-адреса"
"Use Custom Admin Path","Использование пользовательского Admin Path"
"Use Custom Admin URL","Использование пользовательского администратора URL"
"Use HTTP Only","Использовать только HTTP"
"None","Нет"
"Use Secure URLs in Admin","Используйте Secure URLs в админке"
"Use Secure URLs in Frontend","Использовать защищённые URL в пользовательской части"
"Use Web Server Rewrites","Использование Web Server Rewrites"
"VAT Number","Номер НДС"
"Validate HTTP_USER_AGENT","Проверка HTTP_USER_AGENT"
"Validate HTTP_VIA","Проверка HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Проверка HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Проверка REMOTE_ADDR"
"Web","Веб"
"Website","Веб-сайт"
"Website Information","Информация о сайте"
"Website Name","Название сайта"
"Website with the same code","Сайт с таким же кодом"
"Weekend Days","Выходные дни"
"Welcome Text","Текст приветствия"
"Wrong number of arguments for %s","Неверное количество аргументов для %s"
"Yes","Да"
