"* Required Fields","* Обязательные поля"
"Enter your destination to get a shipping estimate.","Укажите Ваше местоположение для оценки стоимости доставки."
"Estimate Shipping and Tax","Расчет стоимости доставки и налога"
"Excl. Tax","Без налога"
"Fast and easy check out","Быстрое оформление заказа"
"Fax","Факс"
"Forgot an Item?","Забыли добавить товар?"
"Forgot your password?","Забыли Ваш пароль?"
"Get a Quote","Получить итоговую цену"
"Gift Message","Подарочное сообщение"
"Grand Total:","Итоговая сумма:"
"ID","Идентификатор"
"Incl. Tax","Включая налог"
"Invalid email address ""%s""","Неверный адрес электронной почты (email) ""%s"""
"Invalid shipping method.","Неверный метод доставки."
"Items","Позиции"
"Load customer quote error","Ошибка во время загрузки итоговой информации о заказе"
"Loading next step...","Идёт загрузка следующего шага..."
"Login","Логин"
"Terms and Conditions","Условия и соглашения"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимальное кол-во товара, разрешённое к доставке по нескольким адресам: %s"
"Move","Переместить"
"Move to Wishlist","Переместить в список желаний"
"My Cart","Моя корзина"
"My Cart (%s item)","Моя корзина (%s шт.)"
"My Cart (%s items)","Моя корзина (%s шт.)"
"My Cart Link","Ссылка на мою корзину"
"New Address","Новый адрес"
"New Condition","Новое состояние"
"New Terms and Conditions","Новые Условия и Соглашения"
"No Payment Methods","Нет методов оплаты"
"One Page Checkout","Одностраничный заказ"
"Order #","Заказ #"
"Order Review","Обзор заказа"
"Order Success","Заказ успешно оформлен"
"Password","Пароль"
"Payment Failed Email Reciever","Получатель сообщения о неудавшемся платеже"
"Payment Failed Email Sender","Отправитель сообщения о неудавшемся платеже"
"Payment Failed Emails","Получатели сообщения о неудавшемся платеже"
"Payment Failed Template","Шаблон сообщения о неудавшемся платеже"
"Payment Information","Платежная информация"
"Payment Method","Метод оплаты"
"Payment method is not defined","Не указан метод оплаты"
"Place Order","Оформить заказ"
"Please agree to all Terms and Conditions before placing the order.","Перед оформлением заказа Вы должны подтвердить Соглашение о заказе."
"Please agree to all Terms and Conditions before placing the orders.","Перед оформлением заказов Вы должны подтвердить Соглашение о заказе."
"Please agree to all the terms and conditions before placing the order.","Пожалуйста, согласитесь со всеми условиями до размещения заказа."
"Please choose to register or to checkout as a guest","Пожалуйста, сделайте выбор: зарегистрироваться или оформить заказ без регистрации на сайте"
"Please log in below:","Пожалуйста, введите информацию для входа:"
"Please select region, state or province","Пожалуйста, выберите область"
"Please select shipping address for applicable items","Пожалуйста, выберите адрес доставки для указанных товаров"
"Please select shipping methods for all addresses","Пожалуйста, выберите методы доставки для всех адресов"
"Please specify payment method.","Пожалуйста, укажите метод оплаты."
"Please specify shipping method.","Пожалуйста, укажите метод доставки."
"Price","Цена"
"Proceed to Checkout","Перейти к оформлению заказа"
"Product","Товар"
"Product Name","Название товара"
"Products","Товары"
"Qty","Кол-во"
"Qty:","Кол-во:"
"Quantity","Количество"
"Quote Lifetime (days)","Время жизни квоты (дней)"
"Recently added item(s)","Последние товары в заказе"
"Register","Зарегистрируйтесь"
"Register and save time!","Зарегистрируйтесь и экономьте время!"
"Register to Create an Account","Зарегистрируйтесь для создания учётной записи"
"Register with us for future convenience:","Зарегистрируйтесь на сайте для удобства у будущем:"
"Remove Item","Удалить элемент"
"Remove This Item","Удалить этот элемент"
"Remove item","Удалить позицию"
"Review Order","Просмотр заказа"
"Review Order - %s","Обзор заказа - %s"
"SKU","Артикул"
"Sales","Продажи"
"Save Condition","Сохранить условие"
"Save in address book","Сохранить в адресной книге"
"See price before order confirmation.","Посмотреть цену до подтверждения заказа."
"Select Address","Выберите адрес"
"Select Addresses","Выберите адреса"
"Select Shipping Method","Выберите метод доставки"
"Select State/Province...","Выберите Штат/провинцию..."
"Select a billing address from your address book or enter a new address.","Выберите адрес, который будет использоваться при создании счёта, из вашей адресной книги или введите новый адрес."
"Select a shipping address from your address book or enter a new address.","Выберите адрес доставки из адресной книги или введите новый ."
"Send Payment Failed Email Copy Method","Способ отправки копии сообщения о неудавшемся платеже для доп. получателя"
"Send Payment Failed Email Copy To","Доп. получатель сообщения о неудавшемся платеже"
"Send To","Отправить"
"Ship to Multiple Addresses","Доставить заказ на несколько адресов"
"Ship to different address","Доставить по другому адресу"
"Ship to this address","Доставить на этот адрес"
"Shipping Address","Адрес доставки"
"Shipping Information","Информация о доставке"
"Shipping Method","Способ доставки"
"Shipping Methods","Метод доставки"
"Shipping To","Доставка в"
"Shipping method has not been selected yet","Метод доставки еще не был выбран"
"Shopping Cart","Корзина"
"Shopping Cart Sidebar","Корзина  - боковая панель"
"Shopping Cart is Empty","Корзина пуста"
"Show Content as","Показать содержимое как"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Извините, заказ без регистрации невозможен."
"Sorry, no quotes are available for this order at this time.","К сожалению, в данный момент отсутствуют цены для этого заказа"
"State/Province","Область"
"Status","Статус"
"Store View","Представление магазина"
"Street Address","Адрес улицы"
"Submitting order information...","Отправление информации о заказе..."
"Subtotal","Промежуточный итог"
"Telephone","Телефон"
"Terms and Conditions Information","Информация о ""Соглашении о заказе"""
"Terms and conditions","Соглашение о заказе"
"Text","Текст"
"Thank you for your purchase!","Спасибо за покупку!"
"The product does not exist.","Продукт не существует."
"There was an error processing your order. Please contact us or try again later.","Во время обработки заказа произошла ошибка. Пожалуйста, попробуйте позже или свяжитесь с администрацией."
"Total","Всего"
"Total for this address","Итого для этого адреса"
"Unit Price","Цена за шт."
"Update","Обновить"
"Update Cart","Обновление корзину"
"Update Qty &amp; Addresses","Обновить количество и адреса"
"Update Shopping Cart","Обновить корзину"
"Update Total","Обновить итоговую сумму"
"Use Billing Address","Использовать адрес плательщика"
"VAT Number","Номер НДС"
"View Shopping Cart","Посмотреть корзину"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Мы обрабатываем ваш заказ. В ближайшее время вы получите электронное письмо с подробной информацией о заказе. После отправки заказа вы получите еще одно письмо со ссылкой для отслеживания пути посылки."
"What's this?","Что это?"
"You have no items in your shopping cart.","У вас нет товаров в вашей корзине."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Вы получите письмо на ваш адрес электронной почты (email) с подробной информацией о заказе и ссылкой на страницу, на которой можно проверить текущий статус заказа."
"Your Checkout Progress","Стадия оформления заказа"
"Your order number is ","Номер вашего заказа: "
"Zip/Postal Code","Почтовый индекс"
"or","или"
