"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налог."
"%s Item(s)","%s шт."
"(Copy data from: %s)","(Скопировать данные из: %s)"
"Input Type","Тип ввода"
"Integer","Целое число"
"Invalid Tier Prices","Неверные ценовые уровни"
"Invalid attribute %s","Неверный атрибут %s"
"Invalid image type.","Неправильный графический формат."
"Invalid store specified","Указан неправильный магазин"
"Inventory","Запасы"
"Is Default","По умолчанию"
"Is Required","Обязательный"
"Items %s to %s of %s total","Позиции с %s по %s из %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Позиции, которые вы не хотите отображать в каталоге или в результатах поиска должны иметь статус «Отключено» в нужном магазине."
"Label","Метка"
"Last Name","Фамилия"
"Last Notification","Последнее уведомление"
"Learn More","Подробнее"
"Line %d, Email: %s","Строка %d, почта: %s"
"Line %d, SKU: %s","Строка %d, артикул: %s"
"Link (Related, Up sell, Cross sell)","Ссылка (сопутствующие, похожие, импульсивные)"
"Link to a Specified Category","Ссылка на указанной категории"
"Link to a Specified Product","Ссылка на указанный продукт"
"List","Список"
"List Mode","Режим списка"
"List of Products that are set as New","Список продуктов, которые установлены как новые"
"Manage Stock","Управление наличием"
"Max Characters","Макс. количество символов"
"Maximal Depth","Максимальная глубина"
"Maximum Image Size","Максимальный размер изображения"
"Maximum Qty Allowed in Shopping Cart","Максимальное кол-во в корзину"
"Maximum image height","Максимальная высота изображения"
"Maximum image width","Максимальная ширина изображения"
"Maximum number of characters:","Максимальное количество символов:"
"Media Image","Медиа Изображение"
"Minimum Qty Allowed in Shopping Cart","Минимальное Кол-во в корзину"
"Minimum Qty for Item's Status to be Out of Stock","Минимальное кол-во товара на складе, необходимое для того, чтобы товар получил статус ""нет в наличии"""
"More Views","Больше изображений"
"Move","Переместить"
"Move category in tree","Переместить категорию в дереве"
"My Account","Моя учётная запись"
"N/A","Н/Д"
"Name","Название"
"New Product","Новый товар"
"New Product Attribute","Новый атрибут продукта"
"New Products","Новые товары"
"New Products Grid Template","Новый шаблон сетки продуктов"
"New Products List Template","Шаблон новых продуктов"
"New Search","Новый поиск"
"New Set Name","Новый набор атрибутов"
"New products","Новые товары"
"Next","Следующее"
"No","Нет"
"No image","Нет изображения"
"No layout updates","Нет обновлений расположения"
"No options of this product are available.","Нет доступных опций для этого продукта."
"None","Нет"
"Not Visible Individually","Не видим по отдельности"
"Notify Low Stock RSS","Уведомлять о низких запасах RSS"
"Notify for Quantity Below","Уведомления для количества ниже"
"Number of Products per Page","Количество продуктов на страницу"
"Number of Products to Display","Количество продуктов для отображения"
"Number of Uses","Количество использований"
"Number of results","Количество результатов"
"Number of results (For the last time placed)","Количество результатов (за последний раз)"
"OR","ИЛИ"
"Old Price:","Старая цена:"
"Option:","Вариант:"
"Options","Параметры"
"Options Control","Управление вариантами"
"Options is required","Необходимы варианты"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Наш сервис обслуживания клиентов доступен 24/7. Звоните нам на (123) DEMO-NUMBER."
"Out of Stock","Нет в наличии"
"Out of stock","Нет в наличии"
"PM","Вечер"
"Page Title Separator","Разделитель заголовка страницы"
"Parent Category","Родительская категория"
"Pending","В очереди"
"Pending Reviews RSS","RSS неподтвержденных отзывов"
"Percentage","Процент"
"Please add rows to option.","Пожалуйста, добавьте строки к варианту."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Будьте внимательны, при щелчке на строке будет загружена информация из выбранного файла и все не сохранённые данные будут потеряны."
"Please enter a new group name","Пожалуйста, укажите название новой группы"
"Please select one or more attributes.","Пожалуйста, выберите один или несколько атрибутов."
"Please select products for attributes update","Пожалуйста, выберите товары для обновления атрибутов"
"Please specify date required option(s).","Пожалуйста, укажите нужный вариант(ы) параметра."
"Please specify the product required option(s)","Пожалуйста, укажите обязательные параметры товара"
"Please specify the quantity of product(s).","Пожалуйста, укажите кол-во продукта(ов)."
"Please specify time required option(s).","Пожалуйста, укажите время варианта(ов)."
"Please wait...","Пожалуйста, подождите..."
"Position","Позиция"
"Position of attribute in layered navigation block","Позиция атрибута в блоке многоуровневой навигации"
"Prev","Назад"
"Previous","Предыдущее"
"Price","Цена"
"Price Type","Тип цены"
"Price values for options should be specified in system base currency.","Значения цен для вариантов должны быть указаны в основной валюте системы"
"Price:","Цена:"
"Print This Page","Распечатать эту страницу"
"Product","Товар"
"Product API","API товара"
"Product Alerts","Оповещения о продукте"
"Product Attribute","Атрибут товара"
"Product Attributes","Атрибуты товара"
"Product Categories","Категории продуктов"
"Product Description","Описание товара"
"Product Flat Data","Плоский данные продукта"
"Product ID","ID товара"
"Product Image Placeholders","Местозаполнители изображений продукта"
"Product Image Watermarks","Продукт изображений водяных знаков"
"Product Images","Изображения товара"
"Product Images API","API изображений товара"
"Product In Websites","Продукт на веб-сайтах"
"Product Info Column","Информация в столбце Product"
"Product Information","Информация о товаре"
"Product Link Block Template","Шаблон блок ссылок продукта"
"Product Link Inline Template","Ссылка продукта встроенного шаблона"
"Product Listing Sort by","Сортировать список продуктов"
"Product Name","Название товара"
"Product Reviews","Обзор товара"
"Product Tags","Метки товара"
"Product Tier Price API","API уровней цен"
"Product Type","Тип товара"
"Product URL Suffix","Суффикс для ссылки на товар"
"Product attribute sets API","API набора атрибутов товара"
"Product attributes API","API атрибутов товара"
"Product is not loaded","Товар не загружен"
"Product links API (related, cross sells, up sells)","API ссылок товара (сопутствующие, импульсивные, похожие)"
"Product types API","API типов товара"
"Product with this combination of attributes already associated to configurable.","Товар с этой комбинации атрибутов, уже связан с настраиваемым."
"Products","Товары"
"Products Comparison List","Список сравнения продуктов"
"Products Information","Информация о продуктах"
"Products Reviews","Отзывы о товарах"
"Products Sitemap","Карта товарного каталога"
"Products only","Только товары"
"Products per Page on Grid Allowed Values","Товаров на странице на сетке допустимые значения"
"Products per Page on Grid Default Value","Товаров на странице сетки значение по умолчанию"
"Products per Page on List Allowed Values","Товаров на странице в списке допустимых значений"
"Products per Page on List Default Value","Товаров на странице в списке значение по умолчанию"
"Properties","Свойства"
"Qty","Кол-во"
"Qty Increments","Qty с шагом"
"Qty Uses Decimals","Количество использует десятичные дроби"
"Qty:","Кол-во:"
"Quantity","Количество"
"Quick Create","Быстрое создание"
"Quick Overview","Краткая информация"
"Quick simple product creation","Быстрое создание простого товара"
"Redirect","Перенаправить"
"Redirect URL","Переадресация URL"
"Regular Price:","Обычная цена:"
"Related Products","Сопутствующие товары"
"Remove","Удалить"
"Remove Product From Websites","Удалить продукт из веб-сайтов"
"Remove This Item","Удалить этот элемент"
"Remove product assignment","Удалить назначение товара"
"Remove product image","Удалить изображение товара"
"Remove product link","Удалить ссылку товара"
"Reorganize EAV category structure to flat structure","Реорганизовать структуру категории EAV плоской структуры"
"Reorganize EAV product structure to flat structure","Реорганизовать структуру продукта EAV плоской структуры"
"Reset","Сбросить"
"Results","Результат"
"Retrieve attribute data","Получить данные атрибута"
"Retrieve attribute list","Получить список атрибута"
"Retrieve attribute options","Получить параметры атрибута"
"Retrieve categories tree","Получить дерево категорий"
"Retrieve category attributes","Получить атрибуты категории"
"Retrieve category data","Получить данные категории"
"Retrieve hierarchical tree","Получить дерево иерархии"
"Retrieve linked products","Получить связанные товары"
"Retrieve list of assigned products","Получить список назначенных товаров"
"Retrieve one level of categories by website/store view/parent category","Получить 1 уровень категорий сайта/представления магазина/родительской категории"
"Retrieve product","Получить товар"
"Retrieve product attribute sets","Получить набор атрибутов товара"
"Retrieve product image","Получить изображение товара"
"Retrieve product image list","Получить список изображений товара"
"Retrieve product image types","Получить типы изображений товара"
"Retrieve product link type attributes","Получить атрибуты типа ссылки товара"
"Retrieve product link types","Получить типы ссылки товара"
"Retrieve product tier prices","Получить уровни цен товара"
"Retrieve product types","Получить типы товара"
"Retrieve products data","Получить данные о товаре"
"Retrieve products list by filters","Получить отфильтрованный список товаров"
"Reviews","Отзывы"
"Roll Over for preview","Навести курсор для просмотра"
"Root","Корень"
"SKU","Артикул"
"Save","Сохранить"
"Save Attribute","Сохранить атрибут"
"Save Attribute Set","Сохранить набор атрибутов"
"Save Category","Сохранить категорию"
"Save Search","Сохранить поиск"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Scope","Область видимости"
"Scope must not be changed, because the attribute is used in configurable products.","Область действия не должна изменяться, потому что атрибут используется в настраиваемых товарах."
"Search","Поиск"
"Search Engine Optimizations","Оптимизация в поисковых системах (SEO)"
"Search Information","Поиск информации"
"Search Query","Поисковый запрос"
"Search Weight","Вес Поиска"
"Searchable","Включить в поиск по сайту"
"See price before order confirmation.","Посмотреть цену до подтверждения заказа."
"Select Category...","Выберите категорию..."
"Select Configurable Attributes ","Выберите настраиваемые атрибуты"
"Select Product...","Выберите продукт..."
"Select type of option","Выберите тип параметра"
"Select type options required values rows.","Выберите тип параметров требуемые значениями строк."
"Selected Product Types","Выбранные типы товара"
"Send Count","Отправить счет"
"Set Ascending Direction","Задать направление по возрастанию"
"Set Descending Direction","Задать направление по убыванию"
"Set Name","Установить название"
"Set root category for this store in the <a href=""%s"">configuration</a>","Установить корневую категорию для этого магазина в <a href=""%s"">конфигурации</a>"
"Set special price","Установить цену особого предложения"
"Set/Get current store view","Установить/получить текущее представление магазина"
"Settings","Настройки"
"Shop By","Магазин по"
"Shopping Options","Варианты покупок"
"Show","Показать"
"Show Details","Показать детали"
"Show Tags","Показать метки"
"Simple Product","Простой товар"
"Site Map","Карта сайта"
"Sitemap","Карта сайта"
"Skip import row, is not valid value ""%s"" for field ""%s""","Пропуск строки при импорте, неверное значение ""%s"" поля ""%s"""
"Some of the selected item options are not currently available.","Некоторые из выбранных опций в настоящее время недоступны."
"Sort By","Сортировать по"
"Sort Order","Порядок Сортировки"
"Source Model","Модель-источник"
"Special Price:","Особое предложение:"
"Starting at:","Начиная от:"
"Static","Статический"
"Static block and products","Статический блок и товары"
"Static block only","Только статический блок"
"Status","Статус"
"Stock Availability","Наличие на складе"
"Store","Магазин"
"Store View","Представление магазина"
"Stretch","Растянуть"
"Subscribe to RSS Feed","Подписаться на RSS канал"
"Super product attributes configuration","Конфигурация атрибутов супер товара"
"Synonym For","Синоним для"
"System Properties","Свойства системы"
"Tag Name","Название метки"
"Tax","Налог"
"Template","Шаблон"
"Text","Текст"
"There are no %s available.","%s нет в наличии"
"There are no customers for this alert","Нет клиентов для этого оповещения"
"There are no customers for this alert.","Нет клиентов для этого оповещения."
"There are no products matching the selection.","Нет товаров, соответствующих вашему выбору."
"This attribute cannot be edited.","Этот атрибут нельзя редактировать."
"This attribute is used in configurable products.","Эта атрибут используется в настраиваемые продукты."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Этот атрибут используется в настраиваемых Товар. Вы не можете удалить его из набора атрибутов."
"This attribute no longer exists","Этот атрибут больше не существует"
"This attribute set no longer exists.","Этот атрибут больше не существует."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Эта группа содержит атрибуты, используемые в настраиваемых товарах. Пожалуйста, переместите эти атрибуты в другую группу и попробуйте ещё раз."
"This group contains system attributes. Please move system attributes to another group and try again.","Эта группа содержит системные атрибуты. Переместите системные атрибуты в другую группу и повторите попытку."
"This is a required option","Это обязательный параметр"
"This search no longer exists.","Этот поиск больше не существует."
"Tier Pricing","Уровень цен"
"Tile","Плитка"
"Time Format","Формат времени"
"Title","Заголовок"
"Top/Left","Сверху/Слева"
"Top/Right","Сверху/Справа"
"Total Qty Base Items","Всего кол-во"
"Total incl. Tax: %1$s","Итого вкл. налог: %1$s"
"Type","Тип"
"Unassigned Attributes","Неназначенные атрибуты"
"Up-sells","Похожие товары"
"Update","Обновить"
"Update Attributes","Обновить атрибуты"
"Update Tier Price","Обновить ценовые уровни"
"Update assigned product","Обновить связанный товар"
"Update attributes","Обновить атрибуты"
"Update category","Обновить категорию"
"Update product","Обновить товар"
"Update product image","Обновить изображение товара"
"Update product link","Обновить ссылку товара"
"Update product tier prices","Обновить ценовые уровни товара"
"Upload new product image ","Закачать новое изображение товара"
"Use Canonical Link Meta Tag For Categories","Использование тега мета каноническую ссылку для категории"
"Use Canonical Link Meta Tag For Products","Использование тега мета каноническую ссылку для продуктов"
"Use Config Settings","Использовать Настройки Конфигурации"
"Use Default Value","Использовать значение по умолчанию"
"Use Flat Catalog Category","Использовать плоский каталог категории"
"Use Flat Catalog Product","Использовать плоский Каталог продукции"
"Use In Layered Navigation","Использовать в многоуровневой навигации"
"Use In Search Results Layered Navigation","Использовать в результатах поиска (в многоуровневой навигации)"
"Use JavaScript Calendar","Использование JavaScript календарь"
"Use To Create Configurable Product","Используется для создания настраиваемых товаров"
"Use Tree Like Category Sitemap","Использовать дерево наподобие карты сайта категорий"
"Use config","Использование конфигурации"
"Use default","Использовать значение по умолчанию"
"Use for Promo Rule Conditions","Использование условий правила Promo"
"Used for Sorting in Product Listing","Используется для Сортировки Товарного Списка"
"Used in Product Listing","Использовалось в Товарном Списке"
"Varchar","Строковая величина"
"View Details","Смотреть подробности"
"View as","Посмотреть, как"
"Virtual Product","Виртуальный товар"
"Visibility","Видимость"
"Visible","Видимый"
"Visible on Catalog Pages on Front-end","Видимый на странице каталога в пользовательской части"
"Visible on Product View Page on Front-end","Видимый на странице просмотра товара в пользовательской части"
"WYSIWYG Editor","WYSIWYG редактор"
"Watermark","Водяной знак"
"Watermark Default Size","Размер водяного знака по умолчанию"
"Watermark Position","Расположение водяного знака"
"We Also Recommend","Мы также рекомендуем"
"Website","Веб-сайт"
"Websites","Веб-сайты"
"What's this?","Что это?"
"Wrong option type to get group instance.","Неверный тип параметра для получения экземпляра группы."
"Year Range","Диапазон лет"
"Yes","Да"
"You cannot remove system attribute from this set.","Вы не можете удалить системный атрибут из этого набора."
"You have no items to compare.","У вас нет товаров для сравнения."
"You may also be interested in the following product(s)","Вы возможно также заинтересованы в следующих товарах"
"Zoom In","Увеличить"
"Zoom Out","Уменьшить"
"and","и"
"and above","и выше"
"categories","категории"
"each","каждый"
"ex. http://domain.com","например http://domain.com"
"leave blank if its not an image","Оставьте пустым, если это не изображение"
"per page","на странице"
"products","товаров"
"px.","пикс."
"save","сохранять"
"select all","выбрать все"
"unselect all","снять все выделения"
