" [deleted]"," [удален]"
"Custom","Выборочный"
"Customer","Клиент"
"Customer Group:","Группа клиента:"
"Customer Groups","Группы покупателей"
"Customer Name","Имя клиента"
"Customer Reviews","Отзывы покупателей"
"Customer Since:","Является клиентом с:"
"Customer Tax Classes","Классы налогов для клиента"
"Customer with the same email already exists.","Клиент с таким адресом электронной почты (email) уже существует."
"Customers","Покупатели"
"DHTML Date/Time Selector","DHTML выбор даты и времени"
"Dashboard","Панель управления"
"Data Format","Формат данных"
"Data transfer:","Передача данных:"
"Database","База данных"
"Date","Дата"
"Date & Time","Дата и время"
"Date Added","Добавлено"
"Date Updated","Дата изменения"
"Date selection:","Выбор даты:"
"Date selector","Выбор даты"
"Day","День"
"Debug","Отладка"
"Decimal separator:","Десятичный разделитель:"
"Default (Admin) Values","Значения по умолчанию для панели администрирования"
"Default Billing Address","Адрес выставления счета по умолчанию"
"Default Config","Конфигурации по умолчанию"
"Default Template from Locale","Шаблон по умолчанию из локализации"
"Default Values","Значения по умолчанию"
"Default scope","Область действия по умолчанию"
"Delete","Удалить"
"Delete %s","Удалить %s"
"Delete %s '%s'","Удалить %s '%s'"
"Delete Block","Удалить блок"
"Delete File","Удалить файл"
"Delete Image","Удалить изображение"
"Delete Profile","Удалить профиль"
"Delete Role","Удалить роль"
"Delete Store","Удалить магазин"
"Delete Store View","Удалить представление магазина"
"Delete Template","Удалить шаблон"
"Delete User","Удалить пользователя"
"Delete Website","Удалить сайт"
"Description","Описание"
"Design","Дизайн"
"Details","Подробнее"
"Direction:","Направление:"
"Disable","Отключить"
"Disabled","Отключено"
"Display %s first","Выводить %s первым"
"Display default currency","Отображать валюту по умолчанию"
"Distributed under GNU LGPL. See %s for details.","Распространяется под лицензией GNU LGPL. Посетите %s для подробной информации."
"Do you really want to KILL parallel process and start new indexing process?","Вы действительно хотите ОСТАНОВИТЬ параллельный процесс и начать индексирование заново?"
"Download","Скачать"
"Downloads","Загрузки"
"Drag to move","Тяните, чтобы переместить"
"Drop-down","Раскрывающийся список"
"Edit","Редактировать"
"Edit Block","Редактировать блок"
"Edit Block '%s'","Редактировать блок '%s'"
"Edit Design Change","Редактирование дизайна"
"Edit Email Template","Редактировать шаблон письма (email)"
"Edit Order","Редактировать заказ"
"Edit Poll","Редактировать опрос"
"Edit Queue","Редактировать очередь писем"
"Edit Review","Редактировать отзыв"
"Edit Role","Редактировать роль"
"Edit Store View","Изменить представление магазина"
"Edit System Template","Редактировать системный шаблон"
"Edit Template","Редактировать шаблон"
"Edit User","Редактировать пользователя"
"Edit User '%s'","Редактировать пользователя '%s'"
"Edit Website","Редактировать сайт"
"Email","Электронная почта"
"Email Address:","Email адрес:"
"Email to a Friend","Письмо другу"
"Email:","Электронная почта:"
"Enable","Включить"
"Enabled","Включено"
"Enclose Values In:","Заключить значения в:"
"Entity Type","Тип сущности"
"Entity type:","Тип сущности:"
"Error","Ошибка"
"Excl. Tax","Без налога"
"Excl. Tax:","Без налога:"
"Exclude media folder from backup","Исключить папку media из резервной копии"
"Expiration Date","Дата окончания срока действия"
"Expiration Date: %s/%s","Дата истечения срока действия: %s/%s"
"Export","Экспорт"
"Export CSV","Экспорт в CSV"
"Export Filters","Фильтры экспорта"
"Export to:","Экспортировать в:"
"Export:","Экспорт:"
"FTP Host","FTP сервер"
"FTP Host[:Port]","FTP хост[:порт]"
"FTP Login","Имя пользователя FTP"
"FTP Password","Пароль FTP"
"FTP credentials","Параметры FTP"
"Failed","Ошибка"
"Field","Поле"
"Field Mapping","Привязка полей (mapping)"
"File","Файл"
"File Information","Информация о файле"
"File System","Файловая система"
"File name:","Имя файла:"
"File size should be more than 0 bytes","Размер файла должен быть более 0 байт"
"Finished profile execution.","Выполнение профиля завершено."
"First Name","Имя"
"First Name:","Имя:"
"Fixed","Исправлено"
"Flush Catalog Images Cache","Очистка каталога кэша изображений"
"Flush JavaScript/CSS Cache","Очистка кеша JavaScript/CSS"
"For category","Для категории"
"For latest version visit: %s","Последняя версия доступна здесь: %s"
"For product","Для товара"
"Forgot your password?","Забыли Ваш пароль?"
"Forgot your user name or password?","Забыли имя пользователя или пароль?"
"From","от"
"Gb","Гб"
"General Information","Общая информация"
"Get Image Base64","Получить изображение в Base64"
"Get help for this page","Помощь по странице"
"Global Attribute","Глобальный атрибут"
"Global Record Search","Глобальный поиск записи"
"Global Search","Глобальный поиск"
"Go Today","Перейти сегодня"
"Grand Total","Общий итог"
"Grid (default) / List","Сетка (по умолчанию) / Список"
"Grid Only","Только сетка"
"Group:","Группа:"
"Guest","Гость"
"HTTP (unsecure)","HTTP (небезопасно)"
"Home","Главная"
"ID","Идентификатор"
"ID Path","Путь ИД"
"IP Address","IP-адрес"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Если вы не укажете значение варианта для представления магазина, тогда будет использовано значение по умолчанию."
"Images (.gif, .jpg, .png)","Изображения (.gif, .jpg, .png)"
"Images Cache","Кеш изображений"
"Import","Импорт"
"Import Service","Служба импорта"
"Import/Export","Импорт/Экспорт"
"Import/Export Advanced","Расширенный Импорт/Экспорт"
"Import/Export Profile","Импорт/Экспорт профиля"
"Imported <strong>%s</strong> records","Импортировано записей: <strong>%s</strong> "
"In","В"
"In Database:","В базе данных:"
"In File:","В файле:"
"Inactive","Неактивный"
"Incl. Tax","Включая налог"
"Incl. Tax:","Включая налог:"
"Incoming Message","Входящее сообщение"
"Insert Variable...","Вставить переменную..."
"Interactive","Интерактивно"
"Interface Locale: %s","Язык интерфейса: %s"
"Invalid Form Key. Please refresh the page.","Недопустимый ключ формы. Пожалуйста, обновите страницу."
"Invalid Import Service Specified","Указан неверный сервис импорта"
"Invalid Secret Key. Please refresh the page.","Неверный секретный ключ. Пожалуйста, обновите страницу."
"Invalid data","Неверная дата"
"Invalid directory: %s","Неверная папка: %s"
"Invalid file: %s","Неверный файл: %s"
"Invalid input data for %s => %s rate","Неверные данные для курса %s => %s"
"Invalid parent block for this block","Недопустимый родительский блок для этого блока"
"Invalidated","Недействительно"
"Inventory Stock Status","Инвентаризация склада"
"Invoice #%s comment added","Добавлен комментарий к счёту #%s"
"Invoice #%s created","Создан счёт #%s"
"Invoice History","История счетов"
"Invoice Totals","Сумма оплаты"
"Invoices","Счета"
"Is Closed","Закрыт"
"Is Default","По умолчанию"
"Issue Number","Номер проблемы"
"Items","Позиции"
"JavaScript/CSS Cache","Кэш JavaScript/CSS"
"Kb","Кб"
"Last 24 Hours","Последние 24 часа"
"Last 5 Orders","Последние 5 заказов"
"Last 5 Search Terms","Последние 5 поисковых запросов"
"Last 7 Days","Последние 7 дней"
"Last Logged In (%s):","Последняя авторизация (%s):"
"Last Logged In:","Последнее посещение:"
"Last Name","Фамилия"
"Last Name:","Фамилия:"
"Latest Message:","Последнее сообщение:"
"Layered Navigation Indices","Индексы многослойной навигации"
"Leave empty to use tax identifier","Если оставить пустым, то будет использован идентификатор налога"
"Lifetime Sales","Всего продаж"
"Links","Ссылки"
"List (default) / Grid","Список (по умолчанию) / Сетка"
"List Only","Только список"
"Load Template","Загрузить шаблон"
"Load default template","Загрузить шаблон по умолчанию"
"Loading...","Загрузка..."
"Local Server","Локальный сервер"
"Local/Remote Server","Локальный/удалённый сервер"
"Locale","Локализация"
"Log In","Войти"
"Log Out","Выйти"
"Log in to Admin Panel","Войти в панель администрирования"
"Logged in as %s","В системе как %s"
"Login","Логин"
"MAJOR","ВАЖНО(Е)"
"MINOR","ОБЫЧНО(Е)"
"OpenMage Admin","Администратор OpenMage"
"Magento Logo","Логотип OpenMage"
"Magento root directory","Корневой каталог OpenMage"
"Content","Контент"
"Currency Rates","Курсы валют"
"Tax Rules","Налоговые правила"
"Manual","Вручную"
"Mb","Мб"
"Media (.avi, .flv, .swf)","Медиа (.avi, .flv и .swf)"
"Messages Inbox","Входящие сообщения"
"Month","Месяц"
"Most Viewed","Наиболее просматриваемые"
"Most Viewed Products","Наиболее просматриваемые товары"
"Multiple Select","Множественный выбор"
"My Account","Моя учётная запись"
"N/A","Н/Д"
"NOTICE","УВЕДОМЛЕНИЕ"
"Name","Название"
"Name on Card","Имя на карте"
"Name on the Card: %s","Имя на карте: %s"
"Name:","Имя:"
"New ","Новый "
"New Accounts","Новые учетные записи"
"New Attribute","Новый атрибут"
"New Block","Новый блок"
"New Category","Новая категория"
"New Class","Новый класс"
"New Condition","Новое состояние"
"New Customer","Новый клиент"
"New Customers","Новый клиент"
"New Design Change","Новое изменение дизайна"
"New Email Template","Новый шаблон письма (email)"
"New Group","Новая группа"
"New Invoice","Новый счет"
"New Item Type","Новый тип предмета "
"New Page","Новая страница"
"New Password","Новый пароль"
"New Poll","Новый опрос"
"New Profile","Новый профиль"
"New Rating","Новый рейтинг"
"New Review","Новый отзыв"
"New Rule","Новое правило"
"New Search","Новый поиск"
"New Set","Новый набор"
"New Shipment","Новая доставка"
"New Sitemap","Новая карта сайта"
"New Store View","Новое представление магазина"
"New System Template","Новый системный шаблон"
"New Tag","Новая метка"
"New Template","Новый шаблон"
"New User","Новый пользователь"
"New Website","Новый сайт"
"Newsletter","Новостная рассылка"
"Newsletter Queue","Очередь рассылки"
"Newsletter Subscribers","Подписчики рассылки"
"Newsletter Templates","Шаблоны рассылок"
"Next month (hold for menu)","Следующий месяц (подержать для появления меню)"
"Next year (hold for menu)","Следующий год (подержать для появления меню)"
"No","Нет"
"No (price without tax)","Нет (цена без учёта налога)"
"No Data","Нет данных"
"No Data Found","Данные не найдены"
"No Templates Found","Шаблоны не найдены"
"No change","Без изменений"
"No profile loaded...","Профиль не загружен..."
"No records found for this period.","За указанный период записей не обнаружено."
"No records found.","Записей не найдено."
"No search keywords.","Нет ключевых слов для поиска."
"No search modules were registered","Нет зарегистрированных поисковых модулей"
"None","Нет"
"Note:","Примечание:"
"Notes","Примечания"
"Notifications","Уведомления"
"Number of Orders","Количество заказов"
"Number of Uses","Количество использований"
"Number of Views","Число просмотров"
"Number of records:","Количество записей:"
"Old rate:","Старая цена:"
"Online Customers","Онлайн Посетители"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Доступны только атрибуты с областью действия ""Глобально"", типом ввода ""Выпадающий список"" и значением ""Да"" в настройке ""Использовать для создания настраиваемого товара""."
"Only mapped fields","Только привязанные поля (mapped)"
"Optional","Опционально"
"Options","Параметры"
"Options is required","Необходимы варианты"
"Order","Заказ"
"Order #%s","Заказ #%s"
"Order #%s (%s)","Заказ #%s (%s)"
"Order ID","ID заказа"
"Order Totals","Итого"
"Orders","Заказы"
"Original Magento attribute names in first row:","Оригинальные имена атрибутов OpenMage в первой строке:"
"Out of stock","Нет в наличии"
"Pages","Страницы"
"Parent Product Thumbnail","Эскиз родительского продукта"
"Passive mode","Пассивный режим"
"Password","Пароль"
"Password Confirmation","Подтверждение пароля"
"Password:","Пароль:"
"Path:","Путь:"
"Pending Reviews","Ожидающие отзывы"
"Pending Tags","Метки, ожидающие проверки"
"Per Item","За единицу"
"Per Order","За заказ"
"Percent","Процент"
"Performed At","Подтверждено"
"Period","Период"
"Permanent (301)","Постоянно (301)"
"Permissions","Права доступа"
"Personal Information","Персональные данные"
"Phone:","Телефон:"
"Please Select","Выберите"
"Please confirm site switching. All data that hasn't been saved will be lost.","Подтвердите переключение сайта. Все данные, которые не были сохранены, будут потеряны."
"Please enter 6 or more characters.","Пожалуйста, введите 6 или более символов."
"Please enter a number greater than 0 in this field.","Пожалуйста, введите число больше 0 в это поле."
"Please enter a valid $ amount. For example $100.00.","Пожалуйста, введите действительное $ кол-во. К примеру $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Пожалуйста, введите правильный адрес. Например, http://www.example.com или www.example.com"
"Please enter a valid URL. http:// is required","Пожалуйста, введите правильный адрес. Не забудьте http://"
"Please enter a valid credit card number.","Пожалуйста введите действительный номер кредитной карты."
"Please enter a valid date.","Пожалуйста, введите правильную дату."
"Please enter a valid email address. For example johndoe@domain.com.","Пожалуйста, введите правильный адрес электронной почты (email). Например, ivanivanov@domain.com."
"Please enter a valid email.","Пожалуйста, введите корректный email."
"Please enter a valid number in this field.","Пожалуйста введите правильный номер в это поле."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Пожалуйста, введите действительный номер телефона. Например (123) 456-7890 или 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Пожалуйста, введите правильный номер социального страхования. Например, 123-45-6789."
"Please enter a valid value from list","Пожалуйста, введите допустимое значение из списка"
"Please enter a valid value, ex: 10,20,30","Введите допустимое значение, ex: 10,20,30"
"Please enter a valid zip code.","Пожалуйста, введите правильный индекс."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Пожалуйста, введите правильный почтовый индекс. Например, 90602 или 90602-1234."
"Please enter valid password.","Пожалуйста, введите правильный пароль"
"Please make sure that all global admin search modules are installed and activated.","Пожалуйста, убедитесь, что все поисковые модули глобального администратора установлены и активированы."
"Please make sure that your changes were saved before running the profile.","Пожалуйста, убедитесь, что ваши изменения были сохранены перед запуском профиля."
"Please make sure your passwords match.","Убедитесь, что ваши пароли совпадают."
"Please select State/Province.","Пожалуйста, выберите край/область."
"Please select an option.","Выбери один из вариантов."
"Please select customer(s).","Пожалуйста, выберите клиента."
"Please select one of the above options.","Пожалуйста, выберите один из вышеуказанных вариантов."
"Please select one of the options.","Пожалуйста, выберите один из параметров."
"Please select review(s).","Пожалуйста, выберите отзыв(ы)."
"Please specify the admin custom URL.","Пожалуйста, укажите URL-адрес панели управления."
"Please use in this field only ""a-z,0-9,_"".","Пожалуйста, используйте в этом поле только ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Пожалуйста, используйте в этом поле только буквы (a-z)."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Пожалуйста, используйте только буквы (a-z или A-Z), цифры (0-9) или пробелы в этой области."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Пожалуйста, используйте в этом поле только буквы (a-z) или цифры (0-9). Пробелы и другие символы запрещены."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Пожалуйста, используйте в этом поле только буквы (a-z), цифры (0-9), пробелы и #."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Пожалуйста, используйте этот формат даты: дд/мм/гггг. К примеру 17/03/2006 для 17 марта, 2006."
"Please wait, loading...","Пожалуйста, подождите. Идёт загрузка..."
"Please wait...","Пожалуйста, подождите..."
"Poll Manager","Управление опросами"
"Polls","Опросы"
"Popular","Популярный"
"Position","Позиция"
"Position of Watermark for %s","Позиция водяного знака для %s"
"Prev. month (hold for menu)","Пред. месяц (подержать для появления меню)"
"Prev. year (hold for menu)","Пред. год (подержать для появления меню)"
"Preview","Предварительный просмотр"
"Preview Template","Предварительный просмотр шаблона"
"Price","Цена"
"Price:","Цена:"
"Processed <strong>%s%% %s/%d</strong> records","Обработано <strong>%s%% %s/%d</strong> записей"
"Processing","Обработка"
"Product","Товар"
"Product Name","Название товара"
"Product Reviews","Обзор товара"
"Product Tax Classes","Классы налога для товара"
"Product Thumbnail Itself","Миниатюра продукта"
"Product:","Товар:"
"Products","Товары"
"Profile Action","Действие для профиля"
"Profile Actions XML","Профиль действий XML"
"Profile Direction","Направление профиля"
"Profile History","История профиля"
"Profile Information","Информация о профиле"
"Profile Name","Название профиля"
"Profile Wizard","Мастер профилей"
"Profiles","Профили"
"Promo","Промо"
"Promotions","Продвижение"
"Quantity","Количество"
"Queue Refresh","Обновить очередь"
"Queued... Cancel","Поставлено в очередь... Отменить"
"Radio Buttons","Радио-кнопки"
"Rates","Цены"
"Read details","Прочитать подробнее"
"Rebuild","Перестроить"
"Rebuild Catalog Index","Перестроить индекс каталога"
"Rebuild Flat Catalog Category","Перестроить каталог с горизонтальной (flat) структурой хранения"
"Rebuild Flat Catalog Product","Перестроить товары с горизонтальной (flat) структурой хранения"
"Recent Orders","Последние заказы"
"Recursive Dir","Рекурсивная папка"
"Redirect","Перенаправить"
"Refresh","Обновить"
"Refresh Now*","Обновить сейчас*"
"Refresh Statistics","Обновить статистику"
"Region/State","Область"
"Regular Price:","Обычная цена:"
"Release","Выпуск"
"Release Stability","Стабильный выпуск"
"Release Version","Версия выпуска"
"Reload captcha","Обновить captcha"
"Remote FTP","Удаленный FTP"
"Remove","Удалить"
"Reports","Отчеты"
"Request Path","Путь запроса"
"Required","Необходимо"
"Reset","Сбросить"
"Reset Filter","Сбросить фильтр"
"Reset Password","Восстановить пароль"
"Resize","Изменить размер"
"Resource Access","Доступ к ресурсу"
"Resources","Ресурсы"
"Results","Результат"
"Retrieve Password","Восстановить пароль"
"Return Html Version","Вернуть HTML версию"
"Revenue","Доход"
"Reviews","Отзывы"
"Reviews and Ratings","Отзывы и параметры оценки"
"Role ID","ИД роли"
"Role Info","Информация о роли"
"Role Information","Сведения о роли"
"Role Name","Название роли"
"Role Resources","Ресурсы роли"
"Role Users","Пользователи с этой ролью"
"Roles","Роли"
"Roles Resources","Ресурсы ролей"
"Root Category","Корневая категория"
"Rotate CCW","Повернуть против часовой"
"Rotate CW","Повернуть по часовой"
"Run","Запуск"
"Run Profile","Выполнить профиль"
"Run Profile Inside This Window","Выполнить профиль в этом окне"
"Running... Kill","Выполняется... Нажмите для прекращения"
"SKU","Артикул"
"SKU:","Артикул:"
"SSL Error: Invalid or self-signed certificate","Ошибка SSL: Неверный или самостоятельно подписанный сертификат"
"Sales","Продажи"
"Sales Report","Отчет по продажам"
"Samples","Образцы"
"Save","Сохранить"
"Save & Generate","Сохранить & генерировать"
"Save Account","Сохранить учетную запись"
"Save Block","Сохранить блок"
"Save Cache Settings","Сохранение параметров кэша"
"Save Config","Сохранить Настройки"
"Save Currency Rates","Сохранить валюту"
"Save Profile","Сохранить профиль"
"Save Role","Сохранить роль"
"Save Template","Сохранить шаблон"
"Save User","Сохранить пользователя"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Search","Поиск"
"Search Index","Поисковый индекс"
"Search Term","Поисковый запрос"
"Search Terms","Поисковые запросы"
"Search entire store here...","Ищите здесь..."
"Select","Выбрать"
"Select All","Выбрать всё"
"Select Category","Выбрать категорию"
"Select Date","Выберите дату"
"Select Range","Выбрать период"
"Select date","Выбрать дату"
"Sender","Отправитель"
"Shipment #%s comment added","Комментарий к доставке #%s успешно добавлен"
"Shipment #%s created","Доставка #%s создана"
"Shipment Comments","Комментарии к отправке"
"Shipment History","История доставки"
"Shipments","Поставки"
"Shipping","Доставка"
"Shipping Address","Адрес доставки"
"Shipping Price","Цена доставки"
"Shipping address selection is not applicable","Выбор адреса доставки невозможен"
"Shipping method selection is not applicable","Выбор метода доставки невозможен"
"Shopping Cart","Корзина"
"Shopping Cart Price Rules","Ценовые правила для корзины"
"Shopping Cart from %s","Корзина из %s"
"Show Reviews","Показать отзывы"
"Sitemap Information","Информация о карте сайта"
"Size for %s","Размер для %s"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Некоторые товары в этом заказе имеют разные типы счёта и доставки. Вы можете создать доставку только после создания счёта."
"Sorry, this feature is coming soon...","Извините, эта функциональность ещё не реализована..."
"Special Price:","Особое предложение:"
"Specific Countries","Конкретные страны"
"Spreadsheet Name:","Название таблицы:"
"Start Date","Дата начала"
"Starting at:","Начиная от:"
"Starting profile execution, please wait...","Начато выполнение профиля. Пожалуйста, подождите..."
"State/Province:","Область:"
"Static Blocks","Статические блоки"
"Status","Статус"
"Status:","Статус:"
"Stock Quantity:","Количество на складе:"
"Store","Магазин"
"Store View","Представление магазина"
"Store:","Магазин:"
"Stores","Магазины"
"Subject","Тема"
"Submit","Отправить"
"Subtotal","Промежуточный итог"
"Switch/Solo card issue number: %s","Номер карты Switch/Solo(Великобритания): %s"
"Switch/Solo card start Date: %s/%s","Начальная дата карты Switch/Solo(Великобритания): %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Только расчётные карты Switch/Solo/Maestro(Великобритания)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Номер карты Switch/Solo/Maestro(Великобритания): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Начальная дата карты Switch/Solo/Maestro(Великобритания): %s/%s"
"Synchronize","Синхронизация"
"Synchronizing...","Синхронизация..."
"System","Система"
"Tags","Метки"
"Target Path","Путь цели"
"Tax","Налог"
"Tb","Тб"
"Template","Шаблон"
"Template Content","Содержание шаблона"
"Template Information","Информация о шаблоне"
"Template Name","Название Шаблона"
"Template Styles","Стили шаблона"
"Template Subject","Тема шаблона"
"Template Type","Тип Шаблона"
"Temporary (302)","Временный (302)"
"Terms and Conditions","Условия и соглашения"
"Text","Текст"
"The JavaScript/CSS cache has been cleaned.","Кэш JavaScript / CSS был очищен."
"The OpenMage cache storage has been flushed.","Кэш-хранилище OpenMage было очищено."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Архив может быть распакован при помощи <a href=""%s"">%s</a> на системах с Windows"
"The attribute set has been removed.","Набор атрибутов удален."
"The image cache was cleaned.","Кэш изображений был очищен."
"This account is","Эта учётная запись"
"This account is inactive.","Эта учётная запись неактивна."
