"# of Use","# iš Esamų"
"%s Item(s)","%s prekė(s)"
"(Copy data from: %s)","(Kopijuoti duomenis iš: %s)"
"New Search","Nauja paieška"
"New Set Name","Naujas Komplekto Pavadinimas"
"Next","Toliau"
"No","Ne"
"No image","Nėra Foto"
"No layout updates","Nėra maketo atnaujinimų"
"No options of this product are available.","Nėra galimų finkcijų šiai prekei."
"None","Nė vienas"
"Notify Low Stock RSS","Informuoti per RSS prekių likutį"
"Notify for Quantity Below","Informuoti Pasibaigiant kiekiui"
"Number of Uses","Naudojami skaičiai"
"OK","Gerai"
"OR","AR"
"Old Price:","Sena kaina:"
"Option:","Pasirinkimas:"
"Options","Pasirinkimai"
"Options Control","Pasirinkimo Kontrolė"
"Options is required","Pasirinkimas yra Būtinas"
"Out of Stock","Nėra sandėlyje"
"Out of stock","Nėra sandėlyje"
"Page Title Separator","Puslapio Pavadinimo Separatorius"
"Parent Category","Pirminė Kategorija"
"Pending","Laukiama"
"Pending Reviews RSS","Laukia sprendimo Apžvalgų RSS"
"Percentage","Procentai"
"Please enter a new group name","Prašome įrašyti naują grupės pavadinimą"
"Please select one or more attributes.","Prašome pasirinkti vieną ar daugiau savybių."
"Please select products for attributes update","Prašome išrinkti produktus savybių atnaujinimui"
"Please wait...","Prašome palaukti..."
"Position","Rikiavimas"
"Position of attribute in layered navigation block","Padėtis savybės navigaciniame bloke"
"Prev","Atgal"
"Previous","Ankstesnis"
"Price","Kaina"
"Price Type","Kainos tipas"
"Price values for options should be specified in system base currency.","Kainos dydžio pasirinkimas turi būti nurodytas sistemos pagrindinėje valiutoje."
"Price:","Kaina:"
"Print This Page","Spausdinti šį puslapį"
"Product","Produktas"
"Product Alerts","Įspėjimai apie Produktą"
"Product Attribute","Prekės Savybės"
"Product Attributes","Prekės Savybės"
"Product Categories","Prekės Kategorijos"
"Product Description","Prekės Aprašymas"
"Product ID","Prekės ID"
"Product In Websites","Prekė Svetainėje"
"Product Information","Prekės Informacija"
"Product Name","Prekės pavadinimas"
"Product Reviews","Prekės Apžvalgos"
"Product Tags","Prekės Žymės"
"Product Type","Prekės Tipas"
"Product with this combination of attributes already associated to configurable.","Prekė su tokia savybių kombinacija, jau yra."
"Products","Prekės"
"Products Information","Prekės Informacija"
"Products Reviews","Prekių Apžvalgos"
"Products Sitemap"," Produktų struktūra"
"Products only","Tik prekės"
"Properties","Savybės"
"Qty","Kiekis"
"Qty Uses Decimals","Vnt. Dešimtainė trupmena"
"Qty:","Kiekis:"
"Quantity","Kiekis"
"Quick Create","Greitas Įrašymas"
"Quick Overview","Greita Peržiūra"
"Quick simple product creation","Greitas Paprasto produkto sukūrimas"
"Redirect","Nukreipimas"
"Redirect URL","Peradresavimo URL"
"Regular Price:","Sena kaina:"
"Related Products","Kitos prekės"
"Remove","Pašalinti"
"Remove This Item","Pašalinti šią prekę"
"Reset","Nustatyti iš naujo"
"Results","Rezultatai"
"Reviews","Atsiliepimai"
"Roll Over for preview","Norėdami pažiūrėti pasirinkite"
"Root","Šaknis"
"SKU","Prekės kodas"
"Save","Išsaugoti"
"Save Attribute","Išsaugoti Savybę"
"Save Attribute Set","Išsaugoti Savybių rinkinį"
"Save Category","Išsaugoti Kategoriją"
"Save Search","Išsaugoti paiešką"
"Save and Continue Edit","Išsaugoti ir tęsti redagavimą"
"Scope","Apimtis"
"Search","Ieškoti"
"Search Engine Optimizations","Paieškos sistemos Optimizavimas"
"Search Information","Paieškos Informacija"
"Search Query","Paieškos užklausa"
"Searchable","Ieškomas"
"Select Configurable Attributes ","Išrinkite Konfigūruojamas Savybes "
"Selected Product Types","Išrinkti Prekės Tipai"
"Send Count","Siuntimų Skaičius"
"Set Ascending Direction","Didėjantis"
"Set Descending Direction","Mažėjantis"
"Set Name","Rinkinio Pavadinimas"
"Set root category for this store in the <a href=""%s"">configuration</a>","Pagrindinė Parduotuvės kategorija nustatoma <href = "" %s""> NUSTATYMUOSE </a>"
"Settings","Nustatymai"
"Shopping Options","Filtracija"
"Show","Rodyti"
"Simple Product","Paprastas Produktas"
"Site Map","Svetainės struktūra"
"Skip import row, is not valid value ""%s"" for field ""%s""","Praleiskite importo eilę, nes neteisinga reikšmė ""%s"" laukui "" %s"""
"Sort By","Rūšiuoti pagal"
"Sort Order","Rūšiavimo tvarka"
"Source Model","Šaltinio modelis"
"Special Price:","Nauja kaina:"
"Starting at:","Pradėti Nuo:"
"Static","Statinis"
"Static block and products","Statinis blokas ir prekės"
"Static block only","Tik statinis blokas"
"Status","Būsena"
"Stock Availability","Prekių kiekis"
"Store","Parduotuvė"
"Store View","Parduotuvės aplinka"
"Stretch","Tarpas"
"Subscribe to RSS Feed","Užsisakykite RSS Naujienas"
"Super product attributes configuration","Geriausios kokybės prekių nustatymas"
"Synonym For","Sinonimai"
"System Properties","Sistemos Nustatymai"
"Tag Name","Žymės Pavadinimas"
"Tax","Mokesčiai"
"Template","Šablonas"
"Text","Tekstas"
"There are no %s available.","Yra %s nepasiekiama(s)."
"There are no customers for this alert","Nėra jokių klientų įspėjimui"
"There are no products matching the selection.","Nėra jokių prekių, atitinkančių pasirinkimą."
"This attribute no longer exists","Ši savybė nebeegzistuoja"
"This group contains system attributes. Please move system attributes to another group and try again.","Ši grupė turi sistemos savybių. Prašome perkelti sistemos savybę į kitą grupę ir pabandyti iš naujo."
"Tier Pricing","Kainų Pakopos"
"Tile","Antraštė"
"Title","Pavadinimas"
"Top/Left","Viršus/Kairė"
"Top/Right","Viršus/Dešinė"
"Type","Tipas"
"Unassigned Attributes","Nepriskirtos savybės"
"Up-sells","Panašios prekės"
"Update","Atnaujinti"
"Update attributes","Atnaujinti savybes"
"Use In Layered Navigation","Naudoti Navigacijoje"
"Use To Create Configurable Product","Naudokite, kad Sukurtumėte Konfigūruojamą Prekę"
"Use config","Kaip numatyta"
"Use default","Naudoti įprastus"
"View Details","Peržiūrėti detales"
"View as","Žiūrėti kaip"
"Visibility","Matomumas"
"Visible","Matomas"
"Visible on Catalog Pages on Front-end","Matomas Katalogo puslapiuose"
"Watermark","Vandens ženklas"
"Watermark Default Size","Vandens ženklo dydis"
"Watermark Position","Vandens ženklo Pozicija"
"Website","Tinklapis"
"Websites","Tinklapiai"
"What's this?","Kas tai?"
"Yes","Taip"
"You cannot remove system attribute from this set.","Negalite pašalinti sistemos savybių iš šio rinkinio."
"You have no items to compare.","Jūs nepasirinkote prekių palyginimui."
"You may also be interested in the following product(s)","Taip pat siūlome šias prekes"
"Zoom In","Padidinti"
"Zoom Out","Sumažinti"
"and","ir"
"and above","ir virš"
"ex. http://domain.com","pvz. http://ManoDomenas.lt"
"per page","per puslapį"
"save","išsaugoti"
"select all","Pasirinkti visus"
"unselect all","Atšaukti pasirinkimą"
