" [deleted]"," [ištrinta]"
"Date Added","Data įrašyta"
"Date Updated","Data atnaujinta"
"Date selector","Datos parinkiklis"
"Day","Diena"
"Debug","Derinti"
"Default (Admin) Values","Pagrindinės (Admin) Reikšmės"
"Default Billing Address","Numatytasis atsiskaitymo adresas"
"Default Config","Pagrindinis nustatymas"
"Default Values","Pagrindinės Reikšmės"
"Default scope","Numatytoji apimtis"
"Delete","Ištrinti"
"Delete Block","Pašalinti bloką"
"Delete Profile","Trinti Profilį"
"Delete Role","Šalinti rolę"
"Delete Store","Ištrinti parduotuvę"
"Delete Store View","Pašalinkite Parduotuvės Vaizdą"
"Delete Template","Šalinti šabloną"
"Delete User","Šalinti narį"
"Delete Website","Šalinti svetainę"
"Description","Aprašymas"
"Design","Dizainas"
"Details","Išsamiau"
"Direction:","Kryptis:"
"Disable","Išsjungti"
"Disabled","Išjungta"
"Display default currency","Rodyti Pagrindinę valiutą"
"Download","Atsisiųsti"
"Edit","Redaguoti"
"Edit Block","Redaguoti bloką"
"Edit Block '%s'","Redaguoti bloką '%s'"
"Edit Design Change","Keisti Dizainą"
"Edit Email Template","Redaguoti el.pašto šabloną"
"Edit Poll","Redaguoti apklausą"
"Edit Queue","Redaguoti eilę"
"Edit Role","Redaguoti rolę"
"Edit Store View","Redaguoti parduotuvės rodinį"
"Edit System Template","Redaguoti sistemos šabloną"
"Edit Template","Redaguoti šabloną"
"Edit User","Redaguoti narį"
"Edit User '%s'","Redaguoti narį '%s'"
"Edit Website","Redaguoti svetainę"
"Email","El. paštas"
"Email Address:","El. paštas:"
"Email:","El. paštas:"
"Enable","Įjungti"
"Enabled","Įjungta"
"Enclose Values In:","Uždarykite Reikšmes:"
"Entity Type","Vientisas Tipas"
"Entity type:","Vientisas Tipas:"
"Error","Klaida"
"Excl. Tax","Be PVM"
"Expiration Date","Galiojimo data"
"Expiration Date: %s/%s","Galiojimo pabaigos data: %s/%s"
"Export","Eksportuoti"
"Export CSV","Eksportuoti CSV"
"Export Filters","Eksporto Filtrai"
"Export to:","Eksportuoti į:"
"Export:","Eksportuoti:"
"FTP Host[:Port]","FTP Hostas[:Portas]"
"FTP Password","FTP slaptažodis"
"Failed","Nepavyko"
"Field Mapping","Laukelių Tvarkymas"
"File Information","Failo informacija"
"File name:","Failo pavadinimas:"
"File size should be more than 0 bytes","Rinkmenos dydis turi būti daugiau kaip 0 baitų"
"Finished profile execution.","Baigtas profilio vykdymas."
"First Name","Vardas"
"First Name:","Vardas:"
"Forgot your password?","Pamiršote slaptažodį?"
"Forgot your user name or password?","Užmiršote slapyvardį ir slaptažodį?"
"From","Nuo"
"General Information","Pagrindinė informacija"
"Get Image Base64","Gaukite Atvaizdą Base64"
"Get help for this page","Pagalba"
"Global Attribute","Globalios savybės"
"Global Record Search","Globali įrašų paieška"
"Grand Total","Iš Viso"
"Grid (default) / List","Tinklas (įprastai) / Sąrašas"
"Group:","Grupė:"
"Guest","Svečias"
"HTTP (unsecure)","HTTP (nesaugu)"
"Home","Pradžia"
"ID Path","ID kelias"
"IP Address","IP Adresas"
"Images (.gif, .jpg, .png)","Vaizdai (.jpg, .gif, .png)"
"Images Cache","Vaizdų podėlis"
"Import","Importas"
"Import Service","Importuoti Servisą"
"Import/Export","Importas/Eksportas"
"Import/Export Profile","Importuokite/Eksportuokite Profilį"
"Imported <strong>%s</strong> records","Importuotą <strong>%s</strong> įrašų"
"In","Su"
"In Database:","Duombazėje:"
"In File:","Faile:"
"Inactive","Neaktyvus"
"Incl. Tax","Su PVM"
"Incoming Message","Gautos žinutės"
"Interactive","Interaktyvus"
"Interface Locale: %s","Sąsajos lokalė: %s"
"Invalid Import Service Specified","Neteisngai pasirinkta Importo Paslauga"
"Invalid data","Klaidingi duomenys"
"Invalid directory: %s","Klaidinga Direktorija: %s"
"Invalid file: %s","Klaidingas failas: %s"
"Invalid input data for %s => %s rate","Negaliojantys įrašyties duomenys %s => %s reikšmei"
"Invoice #%s comment added","Faktūros #%s kometaras įrašytas"
"Invoice #%s created","Faktūra #%s sukurta"
"Invoice History","Sąskaitų Istaorija"
"Invoice Totals","Viso Sąskaitų"
"Invoices","Sąskaitos"
"Is Default","Pagrindinis"
"Issue Number","Leidimo numeris"
"Items","Prekės"
"Last 5 Orders","Nauji 5 užsakymai"
"Last 5 Search Terms","Nauji 5 Paieškos žodžiai"
"Last Logged In:","Naujai pasijungė:"
"Last Name","Pavardė"
"Last Name:","Pavardė:"
"Lifetime Sales","Visi Pardavimai"
"List (default) / Grid","Sąrašas (įprastai) / Tinklas"
"Load Template","Įkelti Šabloną"
"Load default template","Įkelti Pagrindinį Šabloną"
"Loading...","Kraunama..."
"Local Server","Vietinis Serveris"
"Local/Remote Server","Vietinis/Nutolęs Serveris"
"Locale","Lokalė"
"Log In","Prisijungti"
"Log Out","Atsijungti"
"Log in to Admin Panel","<em>Jungtis</em> prie adminstravimo"
"Logged in as %s","Prisijungęs kaip <strong>%s</strong>"
"Login","Prisijungti"
"MS Excel XML","MS Ekselio XML"
"Magento Logo","Logotipas"
"Content","Turinys"
"Tax Rules","Mokesčių taisyklė"
"Media (.avi, .flv, .swf)","Mediafailai (.avi, .flv, .swf)"
"Messages Inbox","Gautos žinutės"
"Month","Mėnuo"
"Most Viewed","Daugiausia Rodyta"
"Most Viewed Products","Labiausiai Žiūrimi Produktai"
"My Account","Mano paskyra"
"N/A","N/D"
"Name","Vardas"
"Name on Card","Kortelės pavadinimas"
"Name on the Card: %s","<strong>Vardas ant kortelės:</strong> <span class=""nowrap"">%s</span>"
"Name:","Vardas:"
"New Accounts","Nauja Sąskaita"
"New Block","Naujas blokas"
"New Category","Nauja kategorija"
"New Class","Nauja Klasė"
"New Customer","Naujas klientas"
"New Customers","Naujiems klientams"
"New Design Change","Naujas Dizaino Pakeitimas"
"New Email Template","Naujas el.pašto šablonas"
"New Group","Nauja grupė"
"New Invoice","Nauja Sąskaita"
"New Page","Naujas puslapis"
"New Password","Naujas slaptažodis"
"New Poll","Nauja apklausa"
"New Profile","Naujas Profilis"
"New Rating","Naujas vertinimas"
"New Review","Nauji aprašymai"
"New Rule","Nauja taisyklė"
"New Search","Nauja paieška"
"New Shipment","Naujas Pristatymas"
"New Sitemap","Nauja struktūra"
"New Store View","Naujas parduotuvės rodinys"
"New System Template","Naujas sistemos šablonas"
"New Tag","Nauja žymė"
"New Template","Naujas šablonas"
"New User","Naujas narys"
"New Website","Nauja svetainė"
"Newsletter","Naujienlaiškis"
"Newsletter Queue","Naujienlaiškių eilė"
"Newsletter Subscribers","Naujienlaiškių prenumeratoriai"
"Newsletter Templates","Naujienlaiškio šablonas"
"No","Ne"
"No (price without tax)","Ne (kaina be mokesčių)"
"No Data Found","Informacijos nėra"
"No Templates Found","Šablonų nerasta"
"No change","Jokių pokyčių"
"No profile loaded...","Profilių nerasta..."
"No records found for this period.","Šiam periodui nėra įrašų."
"No records found.","Įrašų nerasta."
"No search keywords.","Nėra paieškos reikšminių žodžių."
"None","Nė vienas"
"Notes","Pastabos"
"Notifications","Pranešimai"
"Number of Orders","Nurodymų skaičius"
"Number of Uses","Naudojami skaičiai"
"Number of Views","Rodyta kartų"
"OK","Gerai"
"Old rate:","Sena reikšmė:"
"Online Customers","Prisijungę klientai  "
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Tiktai požymiai su Globaline"" apimtimi"
"Only mapped fields","Tiktai pažymėti laukai"
"Optional","Neprivaloma"
"Options","Pasirinkimai"
"Options is required","Pasirinkimas yra Būtinas"
"Order #%s","Užsakymas #%s"
"Order #%s (%s)","Užsakymas #%s (%s)"
"Order ID","Užsakymo nr."
"Order Totals","Viso užsakymai"
"Orders","Užsakymai"
"Original Magento attribute names in first row:","Originalūs OpenMage atributo pavadinimai pirmoje eilėje:"
"Out of stock","Nėra sandėlyje"
"Parent Product Thumbnail","Kita Produkto Miniatiūra"
"Passive mode","Pasivi Būklė"
"Password","Slaptažodis"
"Password Confirmation","Slaptažodžio patvirtinimas"
"Password:","Slaptažodis:"
"Path:","Kelias:"
"Pending Reviews","Laukiančios apžvalgos"
"Pending Tags","Laukiančios žymės"
"Per Item","Per Elementą"
"Per Order","Per užsakymą"
"Performed At","Įvykdytas"
"Period","Periodas"
"Permissions","Leidimas"
"Personal Information","Asmeninė informacija"
"Phone:","Telefonas:"
"Please Select","Prašome pasirinkti"
"Please confirm site switching. All data that hasn't been saved will be lost.","Prašome patvirtinti perjungima. Visi neišsaugoti duomenys bus prarasti."
"Please enter 6 or more characters.","Prašome įrašyti 6 ar daugiau simbolių."
"Please enter a number greater than 0 in this field.","Šiam laukeliui įrašykite skaičių didesnį nei 0."
"Please enter a valid $ amount. For example $100.00.","Prašome įrašykite galiojančią $ sumą. Pvz 100.00 Lt."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Prašome įrašyti galiojantį url. Pvz http://www.manoDomenas.lt  ar www.manoDomenas.lt"
"Please enter a valid URL. http:// is required","Prašome įrašyti galiojantį URL. http:// privaloma"
"Please enter a valid credit card number.","Prašome įrašyti galiojantį kreditinės kortelės numerį."
"Please enter a valid date.","Prašome įrašyti galiojančią datą."
"Please enter a valid number in this field.","Prašome įrašyti galiojantį numerį šiam laukeliui."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Prašome įrašyti galiojanti telefono numerį. Pvz (123) 456-7890 ar 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Prašome įrašyti galiojantį socialinio draudimo numerį. Pvz 123-45-6789."
"Please enter a valid zip code.","Prašome įvesti galiojantį pašto kodą."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Įveskite galiojanti Pašto Indeksą. Pvz.: 90602 ar 90602-1234."
"Please enter valid password.","Prašome įrašyti galiojantį slaptažodį."
"Please make sure that all global admin search modules are installed and activated.","Įsitinkinkite, kad visi globalūs administratoriaus paieškos moduliai įjunti."
"Please make sure that your changes were saved before running the profile.","Prašom įsitikinti, kad jūsų pakeitimai buvo išsaugoti prieš leisdami profilio valdymą."
"Please make sure your passwords match.","Įsitikinkite ar jūsų slaptažodžiai sutampa."
"Please select State/Province.","Prašome pasirinkti Apskritį/Rajoną."
"Please select an option.","Prašome pažymėti pasirinkimą."
"Please select one of the above options.","Prašome pasirinkti vieną iš auksčiau esančių pasirinkimų."
"Please select one of the options.","Prašome pasirinkti vieną iš pasirinkimų."
"Please use in this field only ""a-z,0-9,_"".","Prašom rašyti šiame lauke tiktai ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Prašom rašyti šiame lauke tiktai raides (a-z)."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Prašom rašyti šiame lauke tiktai raides (a-z) ar skaičius (0-9). Tarpai ir kiti simboliai neleidžiami."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Prašom rašyti šiame lauke tiktai raides  (a-z) ar skaičius (0-9) ar tarpus ir # ."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Prašome rašyti šį datos formatą: dd/mm/yyyy. Pvz 17/03/2006 bus kovo 17-ta , 2006."
"Please wait, loading...","Prašome palaukti, kraunama..."
"Please wait...","Prašome palaukti..."
"Poll Manager","Apklausos valdymas"
"Popular","Populiarus"
"Position","Rikiavimas"
"Position of Watermark for %s","Vandens ženklo pozicija %s"
"Preview","Peržiūra"
"Preview Template","Peržiūrėti šabloną"
"Price","Kaina"
"Price:","Kaina:"
"Processed <strong>%s%% %s/%d</strong> records","Vykdoma <strong>%s%% %s/%d</strong> įrašų"
"Processing","Vykdoma"
"Product","Produktas"
"Product Name","Prekės pavadinimas"
"Product Reviews","Prekės Apžvalgos"
"Product Tax Classes","Prekių mokesčių klasės"
"Product Thumbnail Itself","Prekės Miniatiūra savarankiškai"
"Product:","Prekės:"
"Products","Prekės"
"Profile Action","Profilio veiksmai"
"Profile Actions XML","Profilio veiksmai XML"
"Profile Direction","Profilio nukreipimas"
"Profile History","Profilio istorija"
"Profile Information","Profilio informacija"
"Profile Name","Profilio pavadinimas"
"Profile Wizard","Profilio diegėjęs"
"Profiles","Profiliai"
"Promotions","Taisyklės"
"Quantity","Kiekis"
"Rates","Vertinimai"
"Rebuild","Sugenruoti"
"Recent Orders","Naujausi užsakymai"
"Redirect","Nukreipimas"
"Refresh","Atnaujinti"
"Refresh Now*","Atnaujinti*"
"Region/State","Rajonas/Apskrytis"
"Regular Price:","Sena kaina:"
"Reject","Atmesti"
"Release","Laida"
"Release Stability","Laidos stabilumas"
"Release Version","Laidos versija"
"Reload captcha","Atnaujinti"
"Remote FTP","Nutolęs FTP"
"Remove","Pašalinti"
"Reports","Pranešimai"
"Request Path","Būtinas kelias"
"Required","Būtina"
"Reset","Nustatyti iš naujo"
"Reset Filter","Atstatyti filtrą"
"Reset Password","Atstatyti slaptažodį"
"Reset a Password","Atstatyti slaptažodį"
"Resize","Pakeisti dydį"
"Resource Access","Resursų prieiga"
"Resources","Resursai"
"Results","Rezultatai"
"Retrieve Password","Atkurkite Slaptažodį"
"Return Html Version","Grįžti į` Html versija"
"Revenue","Pajamos"
"Reviews","Atsiliepimai"
"Role ID","Leidimo ID"
"Role Info","Leidimo informacija"
"Role Information","Leidimo informacija"
"Role Name","Leidimo pavadinimas"
"Role Resources","Leidimo šaltinis"
"Role Users","Leidmai skirti"
"Roles","Leidimai"
"Roles Resources","Leidmų šaltinis"
"Root Category","Šakninė Kategorija"
"Rotate CCW","Sukti CCW"
"Rotate CW","Sukti CW"
"Run","Vykdyti"
"Run Profile","Paleisti profilį"
"Run Profile Inside This Window","Profilis lango viduje"
"SKU","Prekės kodas"
"Sales Report","Pardavimų ataskaitos"
"Samples","Pavyzdiai"
"Save","Išsaugoti"
"Save & Generate","Saugoti ir generuoti"
"Save Account","Išsaugoti sąskaita"
"Save Block","Išsaugoti bloką"
"Save Config","Išsaugoti nustatymus"
"Save Currency Rates","Išsaugokite Valiutos Normas"
"Save Profile","Išsaugoti Profilį"
"Save Role","Išsaugoti rolę"
"Save Template","Išsaugoti šabloną"
"Save User","Išsaugoti narį"
"Save and Continue Edit","Išsaugoti ir tęsti redagavimą"
"Search","Ieškoti"
"Search Index","Paieškos indeksas"
"Search Term","Paieškos terminas"
"Search Terms","Paieškos terminai"
"Search entire store here...","Paieška..."
"Select","Pasirinkti"
"Select All","Rinktis viską"
"Select Category","Pasirinkite kategoriją"
"Select Date","Pažymėti datą"
"Select Range","Išrinkite diapazoną"
"Sender","Siuntėjas"
"Shipment #%s comment added","Siuntinio #%s komentarai įrašyti"
"Shipment #%s created","Siuntinys #%s sukurtas"
"Shipment Comments","Siuntinio komentarai"
"Shipment History","Siuntynių istorija"
"Shipments","Pristatymas"
"Shipping","Pristatymas"
"Shipping Address","Pristatymo Adresas"
"Shipping Address: ","Pristatymo Adresas: "
"Shipping Price","Pristatymo kainą"
"Shipping address selection is not applicable","Parinkimas pristatymo adresas neteingas"
"Shipping method selection is not applicable","Parinkimas pristatymo metodas netaikomas"
"Shopping Cart","Prekių krepšelis"
"Shopping Cart Price Rules","Apsipirkimo krepšelio kainų taisyklės"
"Shopping Cart from %s","Krepšelis nuo %s"
"Sitemap Information","Tinklapio struktūros informacija"
"Size for %s","Dydis %s"
"Sorry, this feature is coming soon...","Atsiprašome, ši galimybė numatoma ateityje..."
"Special Price:","Nauja kaina:"
"Specific Countries","Pasirinktos šalys"
"Spreadsheet Name:","Skaičiuoklės pavadinimas:"
"Start Date","Pradžios data"
"Starting at:","Pradėti Nuo:"
"Starting profile execution, please wait...","Profilis vykdomas, palaukite..."
"State/Province:","Apskritis/Rajonas:"
"Static Blocks","Statiniai blokai"
"Status","Būsena"
"Status:","Būsena:"
"Stock Quantity:","Prekių likutis:"
"Store","Parduotuvė"
"Store View","Parduotuvės aplinka"
"Store:","Parduotuvė:"
"Stores","Parduotuvės"
"Subject","Tema"
"Submit","Siųsti"
"Subtotal","Tarpinė suma"
"Switch/Solo card issue number: %s","Jungiklio/Solo kortelės leidimo numeris: %s"
"Switch/Solo card start Date: %s/%s","Jungiklio/Solo kortelė pradžios Data: %s/%s"
"System","Sistema"
"Tags","Žymės"
"Target Path","Numatomas kelias"
"Tax","Mokesčiai"
"Template","Šablonas"
"Template Content","Šablono turinys"
"Template Information","Šablono informacija"
"Template Name","Šablono pavadinimas"
"Template Subject","Šablono tema"
"Template Type","Šablono tipas"
"Temporary (302)","Laikinas (302)"
"Terms and Conditions","Taisyklės ir Sąlygos"
"Text","Tekstas"
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Archyvo <a href=""%s"">%s</a>  negalima išarchyvuoti Windows aplinkoje"
"This account is","Ši sąskaita -"
"This account is inactive.","Ši sąskaita neaktyvi."
"This attribute shares the same value in all the stores","Ši savybė naudoja tokias pačias reikšmes visose parduotuvėse"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Tinklapis atnaujinamas. Bet kokie užsakymai pateikti šiuo metu nebus atlikti. Atsiprašome už nepatogumus."
"This is a required field.","Tai yra privalomas laukas."
"This section is not allowed.","Šis skyrius neprieinamas."
"Time","Laikas"
"Time selection:","Laiko pasirinkimas:"
"Time:","Laikas:"
"To","Iki"
"Toggle Editor","Įjungiamas redaktorius"
"Tools","Įrankiai"
"Top 5 Search Terms","Top 5 ieškomi žodžiai"
"Total","Iš viso"
"Total Invoiced","Išrašyta sąskaitų"
"Total Order Amount","Visas užsakymo kiekis"
"Total Refunded","Viso grąžinta"
"Track Order","Sekti užsakymą"
"Track this shipment","Sekti šią siuntą"
"Tracking number %s for %s assigned","Sekimo Numeris %s skirtas %s priskirtas"
"Transactional Emails","Sandorių el.paštas"
"Type","Tipas"
"Type:","Tipas:"
"Unable to initialize import model","Negaliu inicijuoti importo modelio"
"Unable to save Cron expression","Neįmanoma išsaugoti Cron komandos"
"Unknown","Nežinomas"
"Update","Atnaujinti"
"Updated At","Atnaujinta"
"Upload File","Įkelti Failą"
"Upload Files","Įkelti failus"
"Upload HTTP Error","Įkeliant HTTP Klaida"
"Upload I/O Error","Įkeliant I/O Klaida"
"Upload Security Error","Įkeliant Apsaugos Klaida"
"Upload import file","Atsiųsti importuoti bylą"
"User Email","Nario el. paštas"
"User ID","Nario ID"
"User Info","Nario Info"
"User Information","Nario informacija"
"User Name","Nario vardas"
"User Name:","Nario vardas:"
"User Password","Vartotojo slaptažodis"
"User Role","Nario rolė"
"User Roles","Nario rolės"
"User Roles Information","Narių rolių informacija"
"User name","Nario vardas"
"Users","Nariai"
"Value Delimiter:","Vertės Riboklis:"
"Variable","Variantai"
"View Actions XML","Rodyti veiksmų XML"
"Visibility:","Rodymas:"
"Warning","Įspėjimas"
"Watermark File for %s","Vandens ženklo failas %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Mes kodavimo stadijoje. Dėkojame už jūsų kantrybę."
"Website","Tinklapis"
"What is this?","Kas tai?"
"Wishlist Report","Pažymėtų sąrašo pranešimai"
"Year","Metai"
"Yes","Taip"
"Yes (only price with tax)","Taip (tik kaina su mokesčiais)"
"Your answers contain duplicates.","Jūsų atsakymas dubliuojasi."
"Zip/Postal Code","Pašto kodas"
"Zip/Postal Code:","Pašto indeksas"
"[ deleted ]","[ ištrinta ]"
"[GLOBAL]","[KAIP NUMATYTA]"
"close","uždaryti"
"critical","svarbus"
"major","pagrindinis"
"minor","šalutinis"
"notice","pranešimas"
"store(%s) scope","parduotuvės (%s) apimtis"
"to","iki"
"website(%s) scope","tinklapio (%s) apimtis"
