"* Required Fields","* Privalomi laukai"
"Email:","El. paštas:"
"Fax","Faksas"
"First Name","Vardas"
"Forgot Email Template","Užmiršo el.pašto Siuntėjo Šabloną"
"Forgot Password","Pamiršau slaptažodį"
"Forgot Your Password?","Pamiršote slaptažodį?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","	
Instrumentų panelės skyriuje Mano sąskaita Jūs galite peržiūrėti ir atnaujinti informaciją apie atsiskaitymus, bei Jūsų asmeninę info. Pasirinkite apačioje esančią nuorodą, norėdami peržiūrėti arba redaguoti info."
"General Subscription","Bendra Prenumerata"
"Global","Globalus"
"Group","Grupė"
"Group Information","Grupės Informacija"
"Group Name","Grupės pavadinimas"
"Guest","Svečias"
"Hello, %s!","Sveiki, %s!"
"IP Address","IP Adresas"
"If you have an account with us, please log in.","Jei esate užsiregistravęs, prašome prisijungti."
"Invalid current password","Klaidingas dabartinis slaptažodis"
"Invalid customer data","Klaidinga Pirkėjo informacija"
"Invalid login or password.","Neteisingas el. pašto adresas arba slaptažodis."
"Last Activity","Paskutinis aktyvumas"
"Last Name","Pavardė"
"Lifetime Sales","Visi Pardavimai"
"Log In","Prisijungti"
"Log Out","Atsijungti"
"Login","Prisijungti"
"Login Information","Prisijungimo informacija"
"Login or Create an Account","Registracija - Prisijungimas"
"Manage Addresses","Redaguoti adresus"
"Manage Customers","Valdyti klientus"
"Month","Mėnuo"
"My Account","Mano paskyra"
"My Dashboard","Mano Darbastalis"
"My Orders","Mano užsakymai"
"Name","Vardas"
"Never","Niekada"
"New Address","Naujas adresas"
"New Address Entry","Naujas adreso įrašas"
"New Customer","Naujas klientas"
"New Customer Address","Naujo kliento adresas"
"New Customer Group","Nauja klientų grupė"
"New Customer Groups","Nauja klientų grupė"
"New Customers","Naujiems klientams"
"New Group","Nauja grupė"
"New Password","Naujas slaptažodis"
"New account","Nauja registracija"
"Newsletter","Naujienlaiškis"
"Newsletter Finish","Naujienlaiškio pabaiga"
"Newsletter Information","Naujienlaiškio informacija"
"Newsletter Received","Naujienlaiškis pristatytas"
"Newsletter Start","Naujienlaiškis pradėtas"
"Newsletter Subscription","Naujienlaiškio prenumerata"
"Newsletters","Naujienlaiškis"
"No Items Found","Nerasta"
"No Newsletter Found","Naujienlaiškių nerasta"
"Not Sent","Neišsiųsta"
"Offline","Neprisijungęs"
"Online","Tinkle"
"Online Customers","Prisijungę klientai  "
"Order #","Užsakymo nr."
"Order Total","Užsakymo suma"
"Orders","Užsakymai"
"Password","Slaptažodis"
"Password Management","Slaptažodžio valdymas"
"Password Options","Slaptažodžio Opcijos"
"Password forgotten","Pamirštas slaptažodis"
"Password:","Slaptažodis:"
"Paused","Pauzė"
"Pending","Laukiama"
"Per Website","Per Tinklapį"
"Personal Information","Asmeninė informacija"
"Please enter the first name.","Prašome įvesti vardą."
"Please enter the last name.","Įveskite pavardę."
"Please enter the zip/postal code.","Įveskite pašto indeksą/kodą."
"Please enter your email below and we'll send you confirmation link for it.","Prašome įrašyti savo el.pašto adresą, kuriuo bus išsiųsta patvirtinimo nuoroda."
"Please enter your email.","Įveskite savo el. pašto adresą."
"Please make sure your passwords match.","Įsitikinkite ar jūsų slaptažodžiai sutampa."
"Please select region, state or province","Prašome pasirinkti regioną, apskritį ar rajoną"
"Price","Kaina"
"Product","Produktas"
"Product ID","Prekės ID"
"Product Name","Prekės pavadinimas"
"Product Reviews","Prekės Apžvalgos"
"Product Tags","Prekės Žymės"
"Purchase On","Sumokėta"
"Purchased On","Nupirktas "
"Qty","Kiekis"
"Recent Orders","Naujausi užsakymai"
"Refunded","Grąžinta"
"Register","Registruotis"
"Registered Customers","Registruotiems klientams"
"Remove","Pašalinti"
"Reset a Password","Atstatyti slaptažodį"
"Retrieve your confirmation link here","Atkurkite savo patvirtinimo nuorodą čia"
"Retrieve your password here","Atkurkite savo slaptažodį čia"
"SKU","Prekės kodas"
"Sales Statistics","Pardavimų statistika"
"Save","Išsaugoti"
"Save Address","Išsaugoti adresą"
"Save Customer","Išsaugoti klientą"
"Save Customer Group","Išsaugoti kliento grupę"
"Save Password","Išsaugoti slaptažodį"
"Save and Continue Edit","Išsaugoti ir tęsti redagavimą"
"Send confirmation link","Siųsti patvirtinimo nuorodą"
"Sending","Siunčiama"
"Sent","Išsiųsta"
"Session Start Time","Sesijos pradžios laikas"
"Set as Default Billing Address","Nustatyti kaip įprastą Mokėtojo adresą"
"Set as Default Shipping Address","Nustatykite įprastą pristatymo adresą"
"Share Customer Accounts","Pažymėti Pirkėjo Sąskaitą"
"Shipped to First Name","Kam Nusiųstas Vardas "
"Shipped to Last Name","Kam Nusiųsta Pavardė"
"Shipped to Name","Kam Nusiųstas Vardas"
"Shopping Cart","Prekių krepšelis"
"Shopping Cart - %d item(s)","Krepšelis - %d prekės(-ių)"
"Sign Up for Newsletter","Užsisakykite naujienlaiškį"
"State/Province","Rajonas/apskritis"
"Status","Būsena"
"Store","Parduotuvė"
"Store View","Parduotuvės aplinka"
"Street Address","Adresas"
"Subject","Tema"
"Submit","Siųsti"
"Subscribe to Newsletter","Užsiprenumeruokite Naujienlaiškį"
"Subscribed to Newsletter?","Užsisakykite naujienlaiškį?"
"Tag Name","Žymės Pavadinimas"
"Telephone","Telefonas"
"Text","Tekstas"
"Text One Line","Tekstas Viena Linija"
"There are no items in customer's wishlist at the moment","Dar nėra Pirkėjo pažymėtų prekių"
"There are no items in customer's shopping cart at the moment","Pirkėjo Krepšelis dar tuščias"
"This customer has no saved addresses.","Pirkėjas neturį įrašytų adresų."
"To Cart","Į krepšelį"
"Total","Iš viso"
"Type","Tipas"
"Unknown","Nežinomas"
"Update","Atnaujinti"
"Use as my default billing address","Naudoti kaip pagrindinį atsiskaitymo adresą"
"Use as my default shipping address","Naudoti kaip pagrindinį pristatymo adresą"
"VAT Number","PVM mokėtojo kodas"
"View","Peržiūrėti"
"View Order","Peržiūrėti užsakymą"
"Visitor","Lankytojas"
"Visitors Only","Tik lankytojams"
"Website","Tinklapis"
"Wishlist","Pageidavimų sąrašas"
"Wishlist - %d item(s)","Pažymėta - %d prekių"
"Year","Metai"
"You are currently not subscribed to any newsletter.","Jūs neužsakėte naujienlaiškių."
"You are currently subscribed to 'General Subscription'.","Jūs esate užsiprenumeravęs 'Bendras Naujienas'."
"You are currently subscribed to our newsletter.","Jūs esate užsiprenumeravęs naujienlaiškius."
"You have no additional address entries in your address book.","Jūs neturite jokių papildomų adresų Jūsų adresų knygelėje."
"You have no additional entries in your address book.","Jūs neturite jokių papildomų adresų Jūsų adresų knygelėje."
"You have no default billing address in your address book.","Jūs neturi jokių priskirtų adresų."
"You have no default shipping address in your address book.","Jūs neturite įprasto pristatymo adreso adresų knygelėje."
"You have not set a default billing address.","Nenustatė pagrindinio atsiskaitymo adreso."
"You have not set a default shipping address.","Nenustatė pagrindinio pristatymo adreso."
"You have placed no orders yet.","Dar nepateikėte jokių užsakymų."
"You have placed no products yet.","Dar nepasirinkote prekių."
"Your account balance is: %s","Jūsų balansas: <strong>%s</strong>"
"ZIP","Indeksas"
"ZIP/Post Code","Pašto kodas"
"Zip/Postal Code","Pašto kodas"
"n/a","n/d"
"or","arba"
