" or "," oder "
"An error occurred while saving the collection, aborting. Error: %s","Fehler beim Speichern der Collection: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Eine ungültige Option-ID wurde für %s (%s) angegeben. Eintrag wird übersprungen."
"Approved","Freigegeben"
"Are you sure that you want to remove this item?","Sind Sie sicher, dass Sie diesen Artikel entfernen wollen?"
"Are you sure you want to cancel adding of this address?","Sind Sie sicher, dass Sie die Adresseingabe abbrechen wollen?"
"Are you sure you want to delete this address?","Sind Sie sicher, dass Sie diese Adresse löschen möchten?"
"Are you sure?","Sind Sie sicher?"
"Array of Entity collections is expected.","Array von Entitäten-Collections erwartet."
"Assign a Customer Group","Eine Kundengruppe zuweisen"
"Average Sale","Durchschnittlicher Umsatz"
"Back","Zurück"
"Back - link to the previously viewed page","Zurück - Link zur zuletzt angesehenen Seite"
"Back to Login","Zurück zur Anmeldung"
"Bad request.","Fehlerhafte Anfrage."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Basierend auf der USt-IdNr. wird der Kunde der Kundengruppe %s zugeordnet."
"Bill to Name","Rechnung an"
"Bought From","Gekauft von"
"By Email","Per E-Mail"
"By IP","Nach IP"
"By IP and Email","Nach IP und E-Mail"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Wenn Sie in unserem Shop ein Benutzerkonto einrichten, werden Sie schneller durch den Bestellvorgang geführt, können mehrere Versandadressen speichern, Ihren bisherigen Bestellablauf verfolgen und vieles mehr."
"Cancel","Stornieren"
"Cannot save a new password.","Neues Passwort konnte nicht gespeichert werden."
"Cannot save address.","Adresse kann nicht gespeichert werden."
"Cannot save the customer.","Kunde kann nicht gespeichert werden."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Kundenkonten können nicht global genutzt werden, da einige Account E-Mail-Adressen bereits mehrmals verwendet werden und nicht zusammengefasst werden können."
"Change Account Password","Passwort für Benutzerkonto ändern"
"Change Billing Address","Rechnungsanschrift ändern"
"Change Password","Passwort ändern"
"Change Shipping Address","Lieferadresse ändern"
"City","Stadt"
"Company","Firma"
"Config","Konfiguration"
"Configure","Konfigurieren"
"Confirm New Password","Neues Passwort bestätigen"
"Confirm Password","Passwort bestätigen"
"Confirmation Link Email","Bestätigungs-E-Mail"
"Confirmed","Bestätigt"
"Contact Information","Kontaktinformationen"
"Continue Shopping","Einkauf fortsetzen"
"Country","Land"
"Create","Anlegen"
"Create New Account Options","Optionen für neue Kundenkonten"
"Create New Customer Account","Benutzerkonto anlegen"
"Create Order","Neue Bestellung"
"Create an Account","Ein Konto erstellen"
"Create customer","Kunde anlegen"
"Create customer address","Kundenadresse anlegen"
"Current Admin Password","Aktuelles Admin-Passwort"
"Current Password","Aktuelles Passwort"
"Customer","Kunde"
"Customer API","Kunden API"
"Customer Account Edit Form","Benutzerkonto Bearbeitungs-Formular"
"Customer Account Login Form","Benutzerkonto Anmelde-Formular"
"Customer Account Logout Success","Benutzerkonto Abmeldung erfolgreich"
"Customer Account Registration Form","Benutzerkonto Registrierungs-Formular"
"Customer Addresses","Kundenanschrift"
"Customer Configuration","Kundenkonfiguration"
"Customer Forgot Password Form","Kunde - Passwort vergessen Formular"
"Customer Group","Kundengruppe"
"Customer Groups","Kundengruppen"
"Customer Information","Kundeninformation"
"Customer Login","Kundenlogin"
"Customer My Account (All Pages)","Kunde - Mein Benutzerkonto (Alle Seiten)"
"Customer My Account Address Book","Kunde - Mein Benutzerkonto - Adressbuch"
"Customer My Account Address Edit Form","Kunde - Mein Benutzerkonto - Adress Bearbeitungs-Formular"
"Customer My Account Dashboard","Kunde - Mein Benutzerkonto - Übersicht (Dashboard)"
"Customer Since","Kunde seit"
"Customer View","Kundenansicht"
"Customer collection expected.","Kunden-Collection erwartet"
"Customer email is required","Kunden E-Mail ist ein Pflichtfeld"
"Customer website ID must be specified when using the website scope","Kunden-Website-ID muss bei Verwendung des Website-Gültigkeitsbereichs verwendet werden."
"Customer will stay on the current page if ""No"" is selected.","Der Kunde wird auf der aktuellen Seite bleiben wenn »Nein« ausgewählt ist."
"Customers","Kunden"
"Customers Only","Ausschließlich Kunden"
"DD","TT"
"Date","Datum"
"Date Added","Hinzugefügt am"
"Date of Birth","Geburtsdatum"
"Day","Tag"
"Days in Wishlist","Tage auf dem Wunschzettel"
"Default Addresses","Standard-Adressen"
"Default Billing Address","Standard-Rechnungsanschrift"
"Default Email Domain","Standard E-Mail-Domain"
"Default Group","Standardgruppe"
"Default Shipping Address","Standard-Lieferadresse"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standardwert für das Deaktivieren der automatischen Gruppen-Änderungen auf Grundlage der MwSt.-ID"
"Default Welcome Email","Standard Willkommens-E-Mail"
"Delete","Löschen"
"Delete Address","Adresse löschen"
"Delete Customer","Kunden löschen"
"Delete Customer Group","Kundengruppe löschen"
"Delete customer","Kunden löschen"
"Delete customer address","Kundenadresse löschen"
"Deleted Stores","Gelöschten Stores"
"Disabled","Deaktiviert"
"Edit","Bearbeiten"
"Edit Account Info","Benutzerkonto-Informationen ändern"
"Edit Account Information","Kontoinformationen bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Address Entry","Adresseintrag bearbeiten"
"Edit Customer Group ""%s""","Bearbeite Kundengruppe ""%s"""
"Edit Customer Groups","Kundengruppen bearbeiten"
"Edit Customer's Address","Kundenanschrift bearbeiten"
"Edit Group","Gruppe bearbeiten"
"Edit Newsletters","Newsletter bearbeiten"
"Email","E-Mail"
"Email Address","E-Mailadresse"
"Email Sender","E-Mail-Absender"
"Email:","E-Mail:"
"Enable Automatic Assignment to Customer Group","Automatische Zuordnung zu Kundengruppe aktivieren"
"Entity collection is expected.","Entitäten Collection erwartet."
"Failed to confirm customer account.","Bestätigen des Benutzerkontos fehlgeschlagen."
"First Name","Vorname"
"Forgot Email Template","Vorlage Passwort-Vergessen-E-Mail"
"Forgot Password","Passwort vergessen"
"Forgot Your Password","Passwort vergessen"
"Forgot Your Password?","Passwort vergessen?"
"Forgot and Remind Email Sender","Absender Passwort-Vergessen-E-Mail"
"Form Fields Before","Formularfelder davor"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Von Ihrer Benutzerkonto-Übersicht aus haben Sie die Möglichkeit, Ihre letzten Vorgänge einzusehen und Ihre Benutzerkonto-Daten zu bearbeiten. Wählen Sie dazu einen der untenstehenden Links, um Informationen anzusehen oder zu bearbeiten."
"Gender","Geschlecht"
"Gender is required.","Geschlecht ist Pflichtangabe."
"General Subscription","Allgemeine Abo"
"Generate Human-Friendly Customer ID","Generiere Menschen-lesbare Kunden-Nummer"
"Group","Gruppe"
"Group Information","Informationen gruppieren"
"Group Name","Gruppenname"
"Group for Invalid VAT ID","Kundengruppe für ungültige USt-IdNr."
"Group for Valid VAT ID - Domestic","Kundengruppe für gültige USt-IdNr. - Inland"
"Group for Valid VAT ID - Intra-Union","Kundengruppe für gültige USt-IdNr. - EU"
"Guest","Gast"
"Hello, %s!","Hallo, %s!"
"ID","Id"
"IP Address","IP Adresse"
"If you believe this is an error, please contact us at %s","Wenn Sie dies für einen Fehler halten, nehmen Sie bitte Kontakt unter %s mit uns auf"
"If you have an account with us, please log in.","Wenn Sie bei uns ein Benutzerkonto besitzen, melden Sie sich bitte an."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ungültige Attributoption für Attribut %s (%s) angegeben, Zeile wird übersprungen"
"Invalid attribute set specified, skipping the record.","Ungültiges Attributset angegeben, Eintrag wird übersprungen."
"Invalid billing address for (%s)","Ungültige Rechnungsadresse für (%s)"
"Invalid current password","Aktuelles Passwort ungültig"
"Invalid customer data","Ungültige Kundendaten"
"Invalid email address ""%s"".","Ungültige E-Mail-Adresse ""%s""."
"Invalid email address.","Ungültige E-Mail-Adresse."
"Invalid login or password.","Ungültiger Benutzername oder Passwort."
"Invalid password reset token.","Ungültiges Passwort-Reset-Token"
"Invalid shipping address for (%s)","Ungültige Versandanschrift für (%s)"
"Invalid store specified, skipping the record.","Ungültiger Store angegeben, Eintrag wird übersprungen."
"Invalid website, skipping the record, line: %s","Ungültige Website, Eintrag in Zeile %s wird übersprungen."
"Last Activity","Letzte Aktivität"
"Last Date Subscribed","Letztes Abonnement am"
"Last Date Unsubscribed","Letztes Abonnement gekündigt am"
"Last Name","Nachname"
"Last URL","Letzte URL"
"Leave empty for default (15 minutes).","Für Standard (15 Minuten) leer lassen."
"Leave empty for default (2). Valid range: 1-4","Für Standard (2) leer lassen. Gültige Werte: 1-4"
"Lifetime Sales","Alle Verkäufe"
"Log In","Anmelden"
"Log Out","Abmelden"
"Login","Anmelden"
"Login Information","Anmeldedaten"
"Login Options","Login-Optionen"
"Login and password are required.","Benutzername und Passwort erforderlich."
"Login or Create an Account","Anmelden oder Benutzerkonto erstellen"
"Maximum length must be less then %s symbols","Maximale Länge darf nicht mehr als %s Zeichen betragen."
"Missing email, skipping the record, line: %s","E-Mail fehlt, Eintrag in Zeile %s wird übersprungen"
"Missing email, skipping the record.","E-Mail fehlt, Eintrag wird übersprungen."
"Missing first name, skipping the record, line: %s","Vorname fehlt, Eintrag in Zeile %s wird übersprungen"
"Missing firstname, skipping the record.","Vorname fehlt, Eintrag wird übersprungen."
"Missing last name, skipping the record, line: %s","Nachname fehlt, Eintrag in Zeile %s wird übersprungen"
"Missing lastname, skipping the record.","Nachname fehlt, Eintrag wird übersprungen."
"Missing website, skipping the record, line: %s","Website fehlt, Eintrag in Zeile %s wird übersprungen"
"Month","Monat"
"My Account","Mein Konto"
"My Account Wrapper","Mein Benutzerkonto Umschlag"
"My Dashboard","Meine Übersicht"
"My Orders","Meine Bestellungen"
"Name and Address Options","Namens- und Adressoptionen"
"Never","Niemals"
"New Address","Neue Adresse"
"New Address Entry","Neuer Adresseintrag"
"New Customer","Neuer Kunde"
"New Customer Address","Neue Kundenanschrift"
"New Customer Group","Neue Kundengruppe"
"New Customer Groups","Neue Kundengruppen"
"New Customers","Neue Kunden"
"New Group","Neue Gruppe"
"New Password","Neues Passwort"
"New account","Neues Benutzerkonto"
"New account confirmation key","Bestätigungsschlüssel für neues Benutzerkonto"
"New account confirmed","Neues Benutzerkonto bestätigt"
"New password field cannot be empty.","Das neue Passwort Feld darf nicht leer sein."
"Newsletter Finish","Newsletter Abschluss"
"Newsletter Information","Newsletter-Informationen"
"Newsletter Received","Newsletter erhalten"
"Newsletter Subscription","Newsletter Abonnement"
"Newsletters","Newsletter"
"No Items Found","Keine Einträge gefunden"
"No Newsletter Found","Kein Newsletter gefunden"
"No customer collections found","Keine Kunden-Zusammenstellung gefunden"
"No item specified.","Kein Artikel angegeben."
"Not Sent","Nicht gesendet"
"Not confirmed, can login","Nicht bestätigt, darf sich anmelden"
"Not confirmed, cannot login","Nicht bestätigt, darf sich nicht anmelden"
"Number of Lines in a Street Address ","Anzahl der Zeilen der Straßenbezeichnung "
"Online Customers","Online-Kunden"
"Online Customers Options","Online Kunden Optionen"
"Online Minutes Interval","Online Minuten Intervall"
"Order #","Bestellung #"
"Order Total","Bestellsumme"
"Orders","Bestellungen"
"Password","Passwort"
"Password Management","Passwortverwaltung"
"Password Options","Kennwortoptionen"
"Password forgotten","Passwort vergessen"
"Password:","Passwort:"
"Paused","Pausiert"
"Pending","Ausstehend"
"Per Website","Pro Website"
"Personal Information","Persönliche Daten"
"Please enter a number 1 or greater in this field.","Bitte tragen Sie eine Zahl größer oder gleich 1 in dieses Feld ein."
"Please enter a valid date between %s and %s at %s.","Bitte geben Sie ein gültiges Datum zwischen dem %s und %s bei %s an."
"Please enter a valid date equal to or greater than %s at %s.","Bitte geben Sie ein gültiges Datum am oder nach dem %s an."
"Please enter a valid date less than or equal to %s at %s.","Bitte geben Sie ein gültiges Datum am oder vor dem %s an."
"Please enter the city.","Bitte geben Sie die Stadt ein."
"Please enter the country.","Bitte geben Sie das Land ein."
"Please enter the first name.","Bitte geben Sie den Nachnamen an."
"Please enter the last name.","Bitte geben Sie den Nachnamen ein."
"Please enter the state/province.","Geben Sie ein Bundesland/Gebiet ein."
"Please enter the street.","Bitte geben Sie die PLZ an."
"Please enter the telephone number.","Bitte geben Sie die Telefonnummer an."
"Please enter the zip/postal code.","Bitte geben Sie die Postleitzahl ein."
"Please enter your email address below. You will receive a link to reset your password.","Bitte geben Sie Ihre E-Mail-Adresse an, um einen Link per E-Mail zu erhalten, mit dem Sie Ihr Passwort zurücksetzen können."
"Please enter your email below and we'll send you confirmation link for it.","Bitte geben Sie Ihre E-Mail-Adresse an, um einen Bestätigungslink zu erhalten."
"Please enter your email.","Bitte geben Sie Ihre E-Mail Adresse ein."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Kennwörter übereinstimmen."
"Please select a website which contains store view","Bitte wählen Sie eine Website, die einen StoreView enthält"
"Please select region, state or province","Wählen Sie bitte eine Region, ein Bundesland oder eine Provinz aus"
"Please, check your email for confirmation key.","Bitte überprüfen Sie Ihr E-Mail-Konto bezüglich des Bestätigungscodes."
"Prefix Dropdown Options","Optionen für Präfix-Auswahlfeld"
"Price","Preis"
"Product","Produkt"
"Product ID","Artikelnummer"
"Product Name","Artikelname"
"Product Reviews","Produktrezensionen"
"Product Tags","Schlagworte"
"Purchase On","Bestellt am"
"Purchased On","Bestellt am"
"Qty","Menge"
"Recent Orders","Letzte Bestellungen"
"Records for %s store found.","Einträge für Store %s gefunden."
"Recovery Link Expiration Period (days)","Gültigkeit des Wiederherstellungslinks (in Tagen)"
"Recovery Link Expiration Period (hours)","Recovery-Link Ablaufzeitraum (in Stunden)"
"Redirect Customer to Account Dashboard after Logging in","Nach Login den Kunden zur Konotübersicht umleiten"
"Refunded","Erstattet"
"Register","Registrieren"
"Registered Customers","Registrierte Kunden"
"Remind Email Template","Vorlage Erinnerungens-E-Mail"
"Remind Password","Passwort Erinnerung"
"Remove","Entfernen"
"Require Emails Confirmation","E-Mail-Bestätigung erforderlich"
"Require admin user to change user password","Admin-Benutzer zum Ändern von Benutzerpasswörtern erforderlich"
"Reset a Password","Zurücksetzen eines Passworts"
"Retrieve address data","Adressdaten abfragen"
"Retrieve address info","Adressinformationen abfragen"
"Retrieve customer addresses","Kundenadressen abfragen"
"Retrieve customer data","Kundendaten abfragen"
"Retrieve customer groups","Kundengruppen abfragen"
"Retrieve customer info","Kundeninformation abfragen"
"Retrieve customers","Kunden abfragen"
"Retrieve your confirmation link here","Fordern Sie Ihren Bestätigungslink hier an"
"Retrieve your password here","Ihr Passwort hier abrufen"
"SKU","Artikelnummer"
"Sales Statistics","Verkaufsstatistik"
"Save","Speichern"
"Save Address","Adresse speichern"
"Save Customer","Kunde speichern"
"Save Customer Group","Kundengruppe speichern"
"Save Password","Passwort speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Saved %d record(s)","%d gespeicherte Einträge"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semikolon (;) getrennte Werte.<br/>Fügen Sie ein Semikolon als erstes Zeichen ein, um einen leeren Startwert zu erzeugen.<br/>Leer lassen für Textfeld."
"Send Auto-Generated Password","Automatisch erstelltes Passwort senden"
"Send From","Gesendet von"
"Send Welcome Email","Willkommensnachricht zusenden"
"Send Welcome Email after Confirmation","Nach Bestätigung eine Willkommensnachricht senden"
"Send confirmation link","Bestätigungs-Link senden"
"Sending","Wird gesendet"
"Sent","Gesendet"
"Session Start Time","Sitzung Startzeit"
"Set as Default Billing Address","Als Standard Rechnungsadresse verwenden"
"Set as Default Shipping Address","Als Standard Versandadresse verwenden"
"Share Customer Accounts","Kundenkonten teilen"
"Shipped to First Name","Versandt - Vorname"
"Shipped to Last Name","Versandt - Nachname"
"Shipped to Name","Versandt - Name"
"Shopping Cart","Warenkorb"
"Shopping Cart - %d item(s)","Warenkorb - %d Artikel"
"Shopping Cart of %1$s - %2$d item(s)","Warenkorb auf der Website %1$s - %2$d Artikel"
"Show Date of Birth","Geburtstag anzeigen"
"Show Gender","Geschlecht anzeigen"
"Show Middle Name (initial)","Mittelname (Initiale) anzeigen"
"Show Prefix","Präfix anzeigen"
"Show Suffix","Suffix anzeigen"
"Show Tax/VAT Number","USt-IdNr. anzeigen"
"Show VAT Number on Frontend","USt-IdNr. im Frontend anzeigen"
"Sign Up for Newsletter","Abonnieren Sie den Newsletter"
"Skipping import row, required field ""%s"" is not defined.","Importzeile übersprungen, Pflichtfeld ""%s"" wurde nicht angegeben."
"Skipping import row, website ""%s"" field does not exist.","Importzeile übersprungen, Website ""%s"" feld gibt es nicht."
"State/Province","Bundesland"
"Store","Shop"
"Store View","StoreView"
"Street Address","Straße"
"Street Address %s","Straße %s"
"Subject","Betreff"
"Submit","Absenden"
"Subscribe to Newsletter","Newsletter abonnieren"
"Subscribed to Newsletter?","Für Newsletter angemeldet?"
"Suffix Dropdown Options","Optionen für Suffix-Auswahlfeld"
"Tag Name","Schlagwortname"
"Tax Calculation Based On","Steuerberechnung basiert auf"
"Tax Class","Steuerklasse"
"Tax/VAT number","USt.-ID"
"Telephone","Telefon"
"Text One Line","Text einzeilig"
"Thank you for registering with %s.","Vielen Dank für Ihre Registrierung bei %s."
"The Date of Birth is required.","Geburtstag ist Pflichtfeld."
"The TAX/VAT number is required.","USt-IdNr. ist Pflichtfeld."
"The VAT ID entered (%s) is not a valid VAT ID.","Die Umsatzsteuer-Identnummer (%s) ist ungültig."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Die eingegebene USt-IdNr. (%s) ist keine gültige USt-IdNr. Der Kunde wird der Kundengruppe %s zugeordnet."
"The VAT ID is valid. The current Customer Group will be used.","Die Umsatzsteuer-ID ist gültig. Die aktuelle Kundengruppe wird verwendet."
"The account information has been saved.","Die Benutzerkonto Information wurde gespeichert."
"The address does not belong to this customer.","Diese Adresse gehört nicht zu diesem Benutzerkonto."
"The address has been deleted.","Die Adresse wurde gelöscht."
"The address has been saved.","Die Adresse wurde gespeichert."
"The customer ID and email did not match, skipping the record, line: %s","Die Kundennummer und E-Mail-Adresse stimmten nicht überein. Der Eintrag in Zeile %s wird übersprungen"
"The customer does not have default billing address.","Der Kunde verfügt über keine Standard-Rechnungsanschrift."
"The customer email (%s) already exists, skipping the record, line: %s","Die Kunden-E-Mail-Adresse (%s) existiert bereits. Der Eintrag in Zeile %s wird übersprungen"
"The customer group has been deleted.","Die Kundengruppe wurde gelöscht."
"The customer group has been saved.","Die Kundengruppe wurde gespeichert."
"The customer is currently assigned to Customer Group %s.","Der Kunde ist aktuell der Kundengruppe %s zugeordnet."
"The first name cannot be empty.","Der Vorname darf nicht leer sein."
"The group ""%s"" cannot be deleted","Die Kundengruppe ""%s"" kann nicht gelöscht werden"
"The last name cannot be empty.","Der Nachname darf nicht leer sein."
"The minimum password length is %s","Die Mindestlänge des Passworts ist %s."
"The password cannot be empty.","Das Passwort darf nicht leer sein."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Das Passwort muss mindestens 6 Zeichen haben. Führende und folgende Leerzeichen werden ignoriert."
"The suffix that goes after name (Jr., Sr., etc.)","Der Suffix, der hinter dem Namen steht (Jun., Sen., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Der Titel, der vor dem Namen steht (Dr., Prof., etc.)"
"There are no items in customer's wishlist at the moment","Momentan gibt es keine Artikel auf dem Wunschzettel des Kunden."
"There are no items in customer's shopping cart at the moment","Im Warenkorb des Kunden befinden sich aktuell keine Artikel"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Es existiert bereits ein Benutzerkonto mit dieser E-Mail-Adresse. Wenn Sie sicher sind, dass es Ihre E-Mail-Adresse ist, dann <a href=""%s"">klicken Sie hier</a>, um ein neues Passwort anzufordern und wieder Zugriff zu bekommen."
"There was an error validating the VAT ID.","Bei der Prüfung der USt-IdNr. ist ein Fehler aufgetreten."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Bei der Prüfung der USt-IdNr. ist ein Fehler aufgetreten. Der Kunde wird der Kundengruppe %s zugeordnet."
"This account is not confirmed.","Dieses Benutzerkonto wurde nicht bestätigt."
"This customer email already exists","Diese Kunden-Mailadresse existiert bereits"
"This customer has no saved addresses.","Dieser Kunde besitzt keine gespeicherten Adressen."
"This email does not require confirmation.","Für diese E-Mail ist keine Bestätigung notwendig."
"This email will be sent instead of default welcome email, after account confirmation.","Diese E-Mail wird anstelle der normalen Willkommensnachricht nach der Benutzerkonten-Bestätigung versandt."
"This is My Default %s Address","Das ist meine Standardadresse %s"
"To Cart","Zum Warenkorb"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Um die USt-IdNr. im Frontend anzuzeigen, stellen Sie bitte die Einstellung ""USt-IdNr. im Frontend anzeigen"" auf ""Ja""."
"Total","Gesamtsumme"
"Type","Typ"
"Unable to save the customer.","Kunde konnte nicht gespeichert werden."
"Unknown","Unbekannt"
"Unsubscribe from Newsletter","Vom Newsletter abmelden"
"Update","Aktualisieren"
"Update customer address data","Kundenadressdaten aktualisieren"
"Update customer data","Kundendaten aktualisieren"
"Use as My Default %s Address","Als meine Standard %s Adresse verwenden"
"Use as My Default Billing Address","Als meine Standard-Rechnungsanschrift verwenden"
"Use as My Default Shipping Address","Als meine Standard-Versandanschrift verwenden"
"Use as my default billing address","Als meine Standard-Rechnungsanschrift verwenden"
"Use as my default shipping address","Als meine Standard-Lieferadresse verwenden"
"VAT Number","USt-IdNr."
"VAT Request Date","MwSt.-Anfragedatum"
"VAT Request Identifier","MwSt.-Anfrage-Identifizierer"
"Validate VAT Number","Umsatzsteuer-Identifikationsnummer überprüfen"
"Validate on Each Transaction","Bei jeder Transaktion prüfen"
"Validation Error Group","Kundengruppe bei fehlgeschlagener Prüfung"
"View","Anzeigen"
"View Order","Bestellung ansehen"
"Visitor","Besucher"
"Visitors Only","Nur Besucher"
"Website","Webseite"
"Welcome Email","Willkommens-E-Mail"
"Wishlist","Wunschzettel"
"Wishlist - %d item(s)","Wunschzettel - %d Artikel"
"Would you like to change the Customer Group for this order?","Möchten Sie die Kundengruppe für diese Bestellung ändern?"
"Wrong confirmation key.","Falscher Bestätigungsschlüssel."
"Wrong customer account specified.","Falsches Benutzerkonto angegeben."
"Wrong email.","E-Mail-Adresse falsch."
"Wrong transactional account email type","Falscher Transaktionskonto E-Mail Typ"
"YYYY","JJJJ"
"Year","Jahr"
"You are currently not subscribed to any newsletter.","Sie sind momentan zu keinem Newsletter angemeldet."
"You are currently not subscribed to our newsletter.","Sie sind aktuell nicht zu unserem Newsletter angemeldet."
"You are currently subscribed to 'General Subscription'.","Sie sind momentan für das Abo ""Allgemeines"" eingetragen."
"You are currently subscribed to our newsletter.","Sie sind momentan für unseren Newsletter eingetragen"
"You are now logged out","Sie sind jetzt abgemeldet"
"You have logged out and will be redirected to our homepage in 5 seconds.","Sie haben sich erfolgreich abgemeldet und werden in 5 Sekunden zur Startseite weitergeleitet."
"You have no additional address entries in your address book.","Sie haben keine zusätzlichen Adresseinträge in Ihrem Adressbuch."
"You have no additional entries in your address book.","Sie besitzen keine zusätzlichen Einträge in Ihrem Adressbuch."
"You have no default billing address in your address book.","Sie haben keine Standard-Rechnungsanschrift in Ihrem Adressbuch."
"You have no default entries in your address book.","Sie haben keine Standard-Einträge in Ihrem Adressbuch."
"You have no default shipping address in your address book.","Sie haben keine Standard Versand-Adresse in Ihrem Adressbuch."
"You have not set a default billing address.","Sie haben keine Standard-Rechnungsanschrift angegeben."
"You have not set a default shipping address.","Sie haben keine Standardlieferadresse festgelegt."
"You have placed no orders yet.","Sie haben noch keine Bestellungen aufgegeben."
"You have placed no products yet.","Sie haben noch keine Artikel ausgewählt."
"You will be charged tax.","Ihnen werden die Steuern berechnet."
"You will not be charged tax.","Sie werden nicht steuerlich belastet."
"Your Tax ID cannot be validated.","Ihre Steuer-ID kann nicht überprüft werden."
"Your VAT ID was successfully validated.","Ihre UST-ID wurde erfolgreich überprüft."
"Your account balance is: %s","Ihr Kontostand beträgt: %s"
"ZIP","PLZ"
"ZIP/Post Code","Postleitzahl"
"Zip/Postal Code","PLZ"
"n/a","Keine Angabe"
"or","oder"
"register","Registrieren"
