"* Select shipping method","* Versandart auswählen"
"Home Delivery","Hauszustellung"
"IP Address: %s","IP Adresse: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Wenn diese Option aktiviert ist, werden die Warekorbdaten nach dem Klick auf den GoogleCheckout Button versteckt und nur wiederhergestellt, wenn Sie auf Warenkorb bearbeiten"" klicken."""
"Inches","Zoll"
"Invoice Auto-Created: %s","automatisch erzeugte Rechnung: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Möchte der Käufer Werbenachrichten: %s"
"Key/URL delivery","Key/URL Auslieferung"
"Large - %s","Groß - %s"
"Latest Charge: %s","Letzter Ausgleich: %s"
"Latest Chargeback: %s","Letzte Ausgleichsbuchung: %s"
"Latest Refund: %s","Letzte Erstattung: %s"
"Location","Ort"
"Medium - %s","Mittel - %s"
"Merchant ID","Verkäufer ID"
"Merchant Key","Verkäufer Key"
"Method","Methode"
"New Order Status","Neuer Bestellstatus"
"Next Day Air","Nächster Tag Luftpost"
"Next Day Air Early AM","Nächster Tag Luftpost früher Vormittag"
"Next Day Air Saver","Nächster Tag Luftpost Saver"
"No","Nein"
"No Comment","Kein Kommentar"
"No Reason","Kein Grund"
"Optimistic","Optimistisch"
"Optional, leave empty for home page.","Optional, freilassen für Startseite."
"Order creation error","Fehler beim Erstellen der Bestellung"
"Pessimistic","Pessimistisch"
"Priority Overnight","Priorität über Nacht-Zustellung"
"Rate 1 Amount","Rate 1 Menge"
"Rate 1 Ship To Applicable Countries","Rate 1 Versand an erlaubte Länder"
"Rate 1 Ship to Specific Countries","Rate 1 Versand an bestimmte Länder"
"Rate 1 Title","Rate 1 Titel"
"Rate 2 Amount","Rate 2 Menge"
"Rate 2 Ship To Applicable Countries","Rate 2 Versand an erlaubte Länder"
"Rate 2 Ship to Specific Countries","Rate 2 Versand an bestimmte Länder"
"Rate 2 Title","Rate 2 Titel"
"Rate 3 Amount","Rate 3 Menge"
"Rate 3 Ship To Applicable Countries","Rate 3 Versand an erlaubte Länder"
"Rate 3 Ship to Specific Countries","Rate 3 Versand an bestimmte Länder"
"Rate 3 Title","Rate 3 Titel"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Erforderlich für Live Google Checkout Transaktionen. Stellen Sie bitte sicher, dass diese Einstellung zu ""Verwende sichere URL im Shop"" (""Web"" > ""Sicherheit"") passt."
"Residential","Auf den Wohnsitz bezogen"
"Secure Callback URL","Sichere Callback URL"
"Small - %s","Klein - %s"
"Standard Overnight","Standard Overnight Lieferung"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Steuern wurden basieren auf den Informationen im GoogleCheckout berechnet, da die übermittelte Steuer nicht mit der berechneten Steuer übereinstimmte"
"Title","Titel"
"Total Chargeback: %s","Gesamt Ausgleichsbuchung: %s"
"Total Charged: %s","Gesamtbelastung: %s"
"Total Refunded: %s","Gesamterstattung: %s"
"United Kingdom","Vereinigtes Königreich (UK)"
"United States","USA"
"Unknown Reason","Unbekannter Grund."
"White Background","Weißer Hintergrund"
"Yes","Ja"
"You will be redirected to GoogleCheckout in a few seconds.","Sie werden in wenigen Sekunden zu GoogleCheckout weitergeleitet."
