"-OR-","-ODER-"
"Advanced Settings","Erweiterte Einstellungen"
"Advertise Paypal Credit","PayPal-Käuferkredit bewerben"
"All the address information matched","Alle Adressinformationen übereinstimmend"
"Allow in Billing Agreement Wizard","Im Abrechnungsvereinbarungs-Wizard erlauben"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Erlaubte Werte: ""paypal"",""primär"" (Standard), eigener_wert (ein eigener Zahlungsseiten-Stil von Ihrem Händlerkonto-Profil)."
"Allowed Credit Card Types","Pflichtangabe der Rechnungsadresse des Kunden"
"Also affects mini-shopping cart.","Dies betrifft auch den Mini-Warenkorb."
"Ask Customer","Kunden fragen"
"Attempted Authentication, Bad Result","Versuchte Autorisierung mit negativen Ergebnis"
"Attempted Authentication, Good Result","Versuchte Autorisierung mit positiven Ergebnis"
"Auction Payment other than through eBay","Auktionszahlung außer eBay"
"Authenticated, Bad Result","Authentifiziert, negatives Ergebnis"
"Authenticated, Good Result","Authentifiziert, positives Ergebnis"
"Authorization","Autorisierung"
"Authorization Honor Period (days)","Autorisierungs-Honorierungs-Zeitraum (Tage)"
"Authorization expired.","Autorisierung ausgelaufen."
"Authorization transaction is required to void.","Autorisierte Transaktion ist erforderlich, um Aufhebung zu veranlassen."
"Authorization was voided by merchant.","Autorisierung wurde durch den Händler zurückgezogen."
"Authorized amount of %s.","Autorisierungsbetrag in Höhe von %s."
"Authorizing amount of %s is pending approval on gateway.","Autorisierung des Betrags %s ausstehend - warte auf Genehmigung vom Gateway."
"Auto","Automatisch"
"Available Balance","Verfügbares Guthaben"
"Balance Manager Account Bonus","Ausgleichsmanager-Kontobonus"
"Basic Settings - PayPal Express Checkout","Grundeinstellungen - PayPal Express Checkout"
"Basic Settings - PayPal Integral Evolution","Grundeinstellungen - PayPal Integral Evolution"
"Basic Settings - PayPal Pasarela integral","Grundeinstellungen - PayPal Pasarela Integral"
"Basic Settings - PayPal Payflow Link","Grundeinstellungen - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro","Grundeinstellungen- PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Grundeinstellungen - PayPal Payments Advanced"
"Basic Settings - PayPal Payments Pro","Grundeinstellungen- PayPal Payments Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Grundeinstellungen - PayPal Zahlungen Pro-Hosting-Lösung"
"Basic Settings - PayPal Payments Standard","Grundeinstellungen - PayPal Payments Standard"
"Basic Settings - PayPal Pro","Grundeinstellungen - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","Grundeinstellungen - PayPal Website Payments Plus"
"Basic Settings - PayPal Website Payments Pro","Grundeinstellungen - PayPal Website Payments Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Grundeinstellungen - PayPal-Websitezahlungen Pro-Hosting-Lösung"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Grundeinstellungen - PayPal Website Payments Pro Payflow Edition"
"Basic Settings - PayPal Website Payments Standard","Grundeinstellungen - PayPal Website Payments Standard"
"Billing Agreement Signup","Abrechnungsvereinbarungsregistrierung"
"Billing Information","Bestellübersicht"
"Bonus for first ACH Use","Bonus für die erste ACH-Nutzung"
"Both section above must be complete. ","Beide der obigen Einstellungen müssen vollständig sein."
"Buyer Credit Payment","Käuferkreditzahlung"
"Buyer claims that a possible duplicate payment was made to the merchant.","Käufer behauptet, dass eine mögliche doppelte Zahlung an den Händler vorgenommen wurde."
"Buyer claims that he did not receive goods or service.","Käufer behauptet, dass er die Ware oder Dienstleistung nicht erhalten habe."
"Buyer claims that he/she did not authorize transaction.","Käufer behauptet, dass er/sie die Transaktion nicht autorisiert hat."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Käufer behauptet, die Ware oder Dienstleistung weicht von der Artikelbezeichnung des Händlers ab."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Käufer behauptet, dass die erhaltene Ware nicht zufriedenstellend, defekt oder beschädigt ist."
"Buyer's Tax ID","Steuernummer des Käufers"
"Buyer's Tax ID Type","Umsatzsteuer-ID-Typ des Käufers"
"By default it is ""reports.paypal.com"".","Standardmäßig ist es ""reports.paypal.com""."
"CVV Entry is Editable","CVV-Eintrag ist editierbar"
"CVV2 Check Result by PayPal","CVV2-Prüfergebnis von PayPal"
"Can not send new order email.","Neue Bestellbestätigungsmail konnte nicht versendet werden."
"Cannot create target file for reading reports.","Zieldatei zum Lesen der Berichte konnte nicht erstellt werden."
"Catalog Category Page","Kategorieseite"
"Catalog Product Page","Produktseite"
"Charge-off","Abbuchung"
"Chargeback","Rückbuchung"
"Checkout Cart Page","Warenkorb-Seite"
"Checkout with PayPal","Mit PayPal bezahlen"
"Checkout with PayPal Paypal Credit","Mit PayPal-Käuferkredit bezahlen"
"Choose a secure bundled payment solution for your business.","Wählen Sie eine sichere gebündelte Zahlungslösung für Ihr Unternehmen."
"City","Stadt"
"Click here if you are not redirected within 10 seconds...","Klicken Sie bitte hier, wenn Sie nicht binnen 10 Sekunden weitergeleitet werden …"
"Close","Schließen"
"Company","Firma"
"Complaint","Beschwerde"
"Completion Date","Abschlussdatum"
"Configure","Konfigurieren"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Verbinden Sie Ihr Händlerkonto mit einem PCI-konformen Gateway, damit Kunden ihren Warenkorb bezahlen können ohne Ihre Seite zu verlassen."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Verbinden Sie Ihr Händlerkonto mit einem individuell gestalteten Gateway, damit Kunden ihren Warenkorb bezahlen können ohne Ihre Seite zu verlassen."
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Verbindung zum PayPal SFTP Server wird hergestellt, um neue Berichte abzuholen. Wirklich fortfahren?"
"Continue","Fortsetzen"
"Countries Payment Applicable From","Länderzahlung anwendbar von"
"Country","Land"
"Coupon Redemption","Gutscheinrücknahme"
"Credit","Guthaben"
"Credit Card Settings","Kreditkarteneinstellungen"
"Currency Conversion required to cover negative balance","Währungsumrechnung erforderlich, um negative Bilanz abzudecken"
"Custom","Benutzerdefiniert"
"Custom Endpoint Hostname or IP-Address","Benutzerdefinierter Endpoint-Hostname oder IP-Adresse"
"Custom Path","Benutzerdefinierter Pfad"
"Customer did not include a confirmed address.","Kunde hat keine bestätigte Anschrift angegeben."
"Customer failed to pay.","Kunde hat nicht gezahlt."
"Customer used non-confirmed address.","Kunde verwendete eine nicht bestätigte Adresse."
"Daily","Täglich"
"Debit","Lastschrift"
"Debit Card Cash Back","Kreditkartenrückzahlung"
"Debit Card Transaction","Kreditkartentransaktion"
"Debit or Credit","Lastschrift oder Kredit"
"Debug Mode","Debug-Modus"
"Direct Payment API","Direkt Bezahlungs-API"
"Discount","Rabatt"
"Display","Anzeigen"
"Display Express Checkout in the Payment Information step","Express Checkout im Zahlungsinformations-Schritt anzeigen"
"Display on Product Details Page","Auf Produktdetail-Seite anzeigen"
"Display on Shopping Cart","Im Warenkorb anzeigen"
"Displays on catalog pages and homepage.","Wird auf Katalogseiten und Homepage angezeigt"
"Dispute","Streit"
"Don't have a PayPal account? Simply enter your email address.","Sie haben noch kein PayPal-Konto? Geben Sie einfach Ihre E-Mail-Adresse ein."
"Dynamic","Dynamisch"
"EFT Funding (German banking)","EFT-Finanzierung (Deutsche Banken)"
"Edit","Bearbeiten"
"Edit Payment Information","Zahlungsinformationen bearbeiten"
"Edit Shopping Cart","Warenkorb bearbeiten"
"Email Address","E-Mailadresse"
"Email Associated with PayPal Merchant Account","E-Mail-Adresse Ihres PayPal Händlerkontos"
"Email Associated with PayPal Merchant Account (Optional)","Einem PayPal-Händler-Konto zugeordnete E-Mail (optional)"
"Enable Automatic Fetching","Automatisches Abrufen aktivieren"
"Enable Express Checkout","Express Checkout aktivieren"
"Enable PayPal Guest Checkout","PayPal-Checkout für Gäste aktivieren"
"Enable Payflow Link","Payflow Link aktivieren"
"Enable Paypal Credit","PayPal-Käuferkredit aktivieren"
"Enable SSL verification","SSL-Prüfung aktivieren"
"Enable this Solution","Diese Lösung aktivieren"
"Enabled","Aktiviert"
"Event","Vorgang"
"Event Code","Ereigniscode"
"Every 10 days","Alle 10 Tage"
"Every 14 days","Alle 14 Tage"
"Every 3 days","Alle 3 Tage"
"Every 30 days","Alle 30 Tage"
"Every 40 days","Alle 40 Tage"
"Every 7 days","Alle 7 Tage"
"Exact Match. Address and Postal Code. International","Genaue Übereinstimmung. Adresse und Postleitzahl. International"
"Exact Match. Address and Postal Code. UK-specific","Genaue Übereinstimmung. Adresse und Postleitzahl. UK-spezifisch"
"Exact Match. Address and nine-digit ZIP code","Exakte Zuordnung. Adresse und 9 stellige Postleitzahl"
"Explanation: %s.","Erklärung: %s"
"Express Checkout and Order have been canceled.","Express-Checkout und Bestellung wurde abgebrochen."
"Express Checkout has been canceled.","Express-Checkout wurde abgebrochen."
"Failed to fetch reports from '%s@%s'.","Fehler beim Abholen der Reporte von '%s@%s'."
"Fee Amount","Gebührenbetrag"
"Fee Debit or Credit","Gebühr-Lastschrift oder Kredit"
"Fee Reversal","Stornierungsgebühr"
"Fee: Foreign ACH Withdrawal","Gebühr: Ausländische ACH-Widerruf"
"Fee: Mass Pay Request","Gebühr: Sammelzahlung anfordern"
"Fee: Web Site Payments Pro Account Monthly","Gebühr: Webseitenzahlungen pro Account monatlich"
"Fee: WorldLink Check Withdrawal","Gebühr: Worldlink Check-Widerruf"
"Fetch","Abrufen"
"Fetch Updates","Aktualisierungen abrufen"
"Fetched %s report rows from '%s@%s'.","%s Zeilen des Reports von '%s@%s' abgeholt."
"For Virtual Quotes Only","Nur für virtuelle Angebote"
"Frontend Experience Settings","Frontenderfahrungs-Einstellungen"
"Funding","Finanzierung"
"General (Authorization)","Allgemein (Autorisierung)"
"General (Dividend)","Allgemein (Dividende)"
"General (Funds Transfer from PayPal Account to Another)","Allgemein (Kapitaltransfer von einem PayPal-Konto auf ein anderes)"
"General (Purchase with a credit card)","Allgemein (Kauf mit Kreditkarte)"
"General Adjustment without businessrelated event","Allgemeine Einstellung ohne unternehmensbezogenes Ereignis"
"General Currency Conversion","Allgemeine Währungsumrechnung"
"General Funding of PayPal Account ","Allgemeine Finanzierung des PayPal-Kontos"
"General Redemption","Allgemeine Rückzahlung"
"General Withdrawal from PayPal Account","Allgemeine Rücknahme des PayPal-Kontos"
"General. Product no longer supported","Allgemein: Produkt wird nicht mehr unterstützt"
"General: Use of PayPal account for purchasing as well as receiving payments","Allgemein: Verwendung des PayPal-Kontos sowohl für den Kauf als auch für den Empfang von Zahlungen"
"General: Withdrawal from PayPal Account","Allgemein: Rücknahme des PayPal-Kontos"
"General: Withdrawal to Non-Bank Entity","Allgemein: Widerruf an Nicht-Banken"
"General: adjustment of a type not belonging to the other T12xx categories","Allgemein: Einstellungen eines Typs, der nicht zu den anderen T12xx-Kategorien gehört."
"General: bonus of a type not belonging to the other T08xx categories","Allgemein: Bonus eines Typs, der nicht zu den anderen T08xxx-Kategorien gehört."
"General: event not yet categorized","Allgemein: Ereignis ist noch nicht kategorisiert"
"General: non-payment fee of a type not belonging to the other T01xx categories","Allgemein: Nichtzahlungsgebühr eines Typs, der nicht zu den anderen T01xx-Kategorien gehört."
"General: received payment of a type not belonging to the other T00xx categories","Allgemein: Zahlung eines Typs erhalten, der nicht zu den anderen T00xx-Kategorien gehört ."
"General: reversal of a type not belonging to the other T11xx categories","Allgemein: Stornierung eines Typs, der nicht zu den anderen T11xx-Kategorien gehört."
"General: temporary hold of a type not belonging to the other T15xx categories","Allgemein: vorübergehende Deaktivierung eines Typs, der nicht zu den anderen T15xx-Kategorien gehört."
"Get Credentials from PayPal","Anmeldeinformationen von PayPal bekommen"
"Get Publisher ID from PayPal","Publisher-ID von PayPal bekommen"
"Gift Certificate Payment: purchase of Gift Certificate","Geschenkgutscheinzahlung: Kauf eines Geschenkgutscheins"
"Gift Certificate Redemption","Geschenkgutschein-Rücknahme"
"Gross Amount","Bruttobetrag"
"Header (center)","Header (Mitte)"
"Header Background Color","Header-Hintergrundfarbe"
"Header Border Color","Farbe des Header-Rahmens"
"Header Image URL","Header-Bild-URL"
"Help","Hilfe"
"Hidden Virtual PayPal Debit Card Transaction","Versteckte virtuelle PayPal-Kreditkarten-Transaktion"
"Hold for Dispute Investigation","Halten für Streit-Untersuchungen"
"Home Page","Startseite"
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Es tut mir leid - aber wir sind nicht in der Lage, Ihre Transaktion abzuschließen. Bitte kontaktieren Sie uns, damit wir Ihnen weiterhelfen können."
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Es tut mir leid - aber wir waren nicht in der Lage, Ihre Zahlung zu verarbeiten. Bitte versuchen Sie eine andere Zahlungsart oder kontaktieren Sie uns, damit wir Ihnen weiterhelfen können."
"IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s""","IPN ""%s"". %s Transaktionsbetrag %s. Transaktion ID: ""%s"""
"IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s.","IPN ""%s"". Eine Beschwerde wurde bearbeitet und geschlossen. %s Transaktionsbetrag %s."
"IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s","IPN ""%s"". Falltyp ""%s"". Fall ID ""%s"" %s"
"IPN verification ""%s"".","IPN Überprüfung ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Wenn dieses Feld leer bleibt, wird ein Standardwert verwendet. Eine individuelle URL kann in Ihrem CardinalCommerce Vertrag enthalten sein."
"If not specified, Default Country from General Config will be used","Wenn nicht festgelegt, wird das Standardland der Konfiguration verwendet"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Wenn diese Option aktiviert ist, können Kunden die Lieferadresse und die Versandart auf der PayPal-Website ändern. Im Live-Modus funktioniert das nur über HTTPS-Protokoll."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Wenn Sie nicht mehrere Benutzer auf Ihrem Konto eingerichtet haben, bitte Ihren Lieferanten/Händler erneut eingeben. Hier anmelden."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Es kann keine Erstattung durchgeführt werden, da keine ""Erfassen""-Transaktion für diesen Betrag existiert."
"Incentive","Anreiz"
"Initiation Date","Start Datum"
"Invoice ID","Rechnungs-ID"
"Issuer Liability","Ausstellerhaftung"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Es wird empfohlen, diesen Wert auf ""Lastschrift oder Kreditkarte"" pro Store View zu setzen."
"It is recommended to set this value to ""PayPal"" per store views.","Es wird empfohlen, diesen Wert auf ""PayPal"" pro Store View zu setzen."
"Items in Your Shopping Cart","Artikel in Ihrem Warenkorb"
"Last Correlation ID","Letzte Korrelations-ID"
"Last Transaction ID","Letzte Transaktionsnummer"
"Learn More","Mehr erfahren"
"Login","Anmelden"
"Mass Pay Payment","Sammelzahlung"
"Matched (CVV2)","Übereinstimmend (CVV2)"
"Matched (CVV2CSC)","Übereinstimmend (CVV2CSC)"
"Matched Address only (no ZIP)","Nur übereinstimmende Adresse (keine Postleitzahl)"
"Matched Address only (no ZIP). International","Nur Adresse angeglichen (keine Postleitzahl). International"
"Matched Postal Code only (no Address)","Nur übereinstimmende Postleitzahl (keine Adresse)"
"Matched five-digit ZIP only (no Address)","Nur übereinstimmende fünfstellige Postleitzahl (keine Adresse)"
"Matched whole nine-didgit ZIP (no Address)","Ganze 9 stellige Postleitzahl angeglichen (keine Adresse)"
"Merchant Account","Händler-Konto"
"Merchant Country","Händlerland"
"Merchant Liability","Händler Belastung"
"Merchant Location","Händlerstandort"
"Merchant Protection Eligibility","Händler Schutz-Berechtigung"
"Merchant Referral Bonus","Empfehlungsbonus"
"Merchant account doesn't have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Händer-Konto unterstützt keine Überweisungen. Der Händler muss diese Zahlung manuell über die Kontoübersicht akzeptieren oder ablehnen."
"Merchant account is not verified.","Händler-Konto wurde nicht überprüft."
"Merchant denied this pending payment.","Der Händler hat diese ausstehende Zahlung abgelehnt."
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Der Händler verwendet einen Bankkonto außerhalb der Vereinigten Staaten und hat keine Überweisungsinformationen hinterlegt."
"Merchant must upgrade account to Business or Premier status.","Der Händler muss das Benutzerkonto auf Business- oder Premium-Status upgraden."
"Merchant reference ID format is not supported.","Referenz-ID-Format des Händlers wird nicht unterstützt."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Händler müssen Sie für die Verwendung der ""Zahlungsvereinbarung"" bei PayPal anmelden. Bitte aktivieren Sie diese Option erst, wenn PayPal die Zahlungsvereinbarungen für Ihr Händlerkonto freigeschaltet hat."
"Mobile Optimized","Optimiert für Mobilgeräte"
"Mobile Payment (made via a mobile phone)","Mobile Payment (über ein Mobiltelefon)"
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Problem bei der Verarbeitung mit mehreren Währungen. Der Händler muss diese Zahlung manuell über die PayPal-Kontoübersicht akzeptieren oder ablehnen."
"N/A","Keine Angabe"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Adresse nicht überprüft oder Erwerber hatte keine Antwort. Dienst nicht verfügbar"
"N/A. Global Unavailable","N/A. Global nicht verfügbar"
"N/A. International Unavailable","N/A. International nicht verfügbar"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Händler hat angegeben, dass CVV2 auf der Karte nicht vorhanden ist"
"N/A. No response","N/A. Keine Antwort"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Nicht für MOTO(Internet/Telefon)-Transaktionen erlaubt"
"N/A. Not processed","N/A. Nicht verarbeitet"
"N/A. Retry","Nicht verfügbar. Wiederholen"
"N/A. Service not Supported","Nicht verfügbar. Service nicht unterstützt"
"N/A. Service not available","N/A. Service nicht verfügbar"
"N/A. Service not supported","N/A. Service nicht unterstützt"
"N/A. The merchant did not provide AVS information","N/A. Der Händler hat keine AVS-Informationen angegeben."
"N/A. The merchant has not implemented CVV2 code handling","N/A. Der Händler hat CVV2-Code-Handling nicht implementiert"
"N/A. Unavailable","Nicht verfügber"
"Near Paypal Credit checkout button","In der Nähe des PayPal-Käuferkredit-Buttons"
"Negative Balance","Negative Bilanz"
"Never","Niemals"
"No","Nein"
"No Details matched","Keine Details übereinstimmend"
"No Details matched. International","Keine Details übereinstimmend. International"
"No Liability Shift","Keine Haftungsumkehr"
"No Logo","Kein Logo"
"No match","Keine Übereinstimmung"
"None of the address information matched","Keine der Adressinformationen übereinstimmend"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Sie wissen nicht, welche PayPal Zahlungsart Sie nutzen sollen? Klicken Sie <a href=""%s"" target=""_blank"">hier</a>, um mehr zu erfahren."
"Note: %s","Bemerkung: %s"
"Nothing to fetch because of an empty configuration.","Es konnten keine Daten abgeholten werden, da keine Konfiguration vorliegt."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Beachten Sie, dass PayPal bis zu 10 Versandoptionen verarbeiten kann. Deshalb wird Magento die ersten 10 günstigsten Versandoptionen übertragen, wenn es mehr als 10 sind."
"Notified customer about creditmemo #%s.","Kunde über Rechnungskorrektur Nr. %s informiert."
"Notified customer about invoice #%s.","Kunde über Rechnung #%s informiert."
"Now accepting PayPal (150 X 40)","Wir akzeptieren PayPal (150 x 40)"
"Now accepting PayPal (150 X 60)","Wir akzeptieren PayPal (150 x 60)"
"Number of Child Authorizations","Anzahl der Child-Genehmigungen"
"Open Authorization","Autorisierung öffnen"
"Order","Bestellung"
"Order ID","Bestellnummer"
"Order Valid Period (days)","Gültigskeitsdauer von Bestellungen (Tage)"
"Ordered amount of %s.","Bestellte Anzahl von %s."
"Ordering amount of %s is pending approval on gateway.","Bestellwert von %s steht noch zur Freigabe aus."
"Page Background Color","Seiten-Hintergrundfarbe"
"Page Style","Seitenstil"
"Part of the address information matched","Teile der Adressinformationen übereinstimmend"
"Pasarela integral","Pasarela Integral"
"Password","Passwort"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One-Zahlungslösungen&nbsp;&nbsp;<i>Kreditkarten und PayPal-Zahlungen akzeptieren und bearbeiten.</i>"
"PayPal Balance Manager function of PayPal account","PayPal Ausgleichs-Manager-Funktion des PayPal-Kontos"
"PayPal Billing Agreement Settings","PayPal-Abrechnungsvereinbarungeinstellungen"
"PayPal Buyer Warranty Bonus","PayPal-Käufergarantie-Bonus"
"PayPal Debit Card Cash Advance","PayPal Kreditkarten-Barkredit"
"PayPal Debit Card Withdrawal from ATM","PayPal-Kreditkarten-Rücknahme von ATM"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token existiert nicht."
"PayPal Express Checkout is not enabled.","PayPal Express Checkout ist nicht aktiviert."
"PayPal Express Order Review Form","PayPal Express Bestellübersicht"
"PayPal Fee Information","PayPal Gebühreninformation"
"PayPal Merchant Pages Style","PayPal Händler-Seiten-Stil"
"PayPal Product Logo","PayPal Produktlogo"
"PayPal Protection Bonus","PayPal-Schutz-Bonus"
"PayPal Reference ID","PayPal-Referenz-ID"
"PayPal Reference ID Type","PayPal-Referenz-ID-Typ"
"PayPal Settlement Reports","PayPal Abrechnungen"
"PayPal certificate does not exist.","PayPal Zertifikat existiert nicht."
"PayPal certificate file is empty.","PayPal Zertifikatsdatei ist leer."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal unterstützt die Bestellabwicklung nur für Beträge größer Null. Um Ihren Bestellvorgang abzuschließen, fahren Sie bitte mit dem Standard-Checkout fort."
"PayPal gateway has rejected request. %s","Das PayPal Gateway hat die Anfrage abgewiesen. %s"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal empfiehlt, dass Sie einen zusätzlichen Benutzer auf Ihrem Konto unter manager.paypal.com einrichten."
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal empfiehlt, dass Sie einen zusätzlichen Benutzer auf Ihrem Konto unter manager.paypal.com einrichten, anstatt Ihren Admin-Benutzernamen und -passwort einzugeben. Dies wird Ihre Sicherheit erhöhen und Service-Unterbrechungen verhindern, wenn Sie Ihr Passwort später ändern. Wenn Sie die Einrichtung eines zusätzlichen Benutzers nicht möchten, können Sie wieder mit Ihrem Händler-Login hier einloggen."
"PayPal response hasn't required fields.","Die PayPal Antwort enthält nicht die benötigten Felder."
"PayPal retains reports for 45 days.","PayPal behält Berichte für 45 Tage."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indikator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Zahler Authentifizierungs-Dienst Ergebnis"
"Payer Address ID","Bezahler Adress ID"
"Payer Address Status","Bezahler Adress-Status"
"Payer Email","Bezahler E-Mail"
"Payer ID","Bezahler ID"
"Payer Status","Bezahler Status"
"Payer is not identified.","Bezahler ist nicht identifiziert."
"Payflow Link (Includes Express Checkout)","Payflow Link (inkl. Express Checkout)"
