" Copy"," Kopieren"
"Invalid subscription confirmation code.","Ungültiger Abonnenten Bestätigungscode"
"Message","Nachricht"
"Need to Confirm","Bestätigung erforderlich"
"New Newsletter Template","Neue Newslettervorlage"
"New Template","Neue Vorlage"
"Newsletter Message Preview","Newsletter-Nachrichtenvorschau"
"Newsletter Problem Reports","Newsletter-Problemberichte"
"Newsletter Queue","Newsletter-Warteschlange"
"Newsletter Sign-up:","Newsletter Anmeldung:"
"Newsletter Styles","Newsletter Stile"
"Newsletter Subscribers","Newsletter-Abonnenten"
"Newsletter Subscription","Newsletter Abonnement"
"Newsletter Subscription Form Before","Newsletter Anmelde Formular vorher"
"Newsletter Subscriptions","Newsletter-Abonnements"
"Newsletter Templates","Newsletter Vorlagen"
"Newsletter subscription confirmation","Newsletter-Anmeldebestätigung"
"Newsletter subscription success","Newsletter Anmeldung erfolgreich"
"Newsletter unsubscription success","Newsletter Abmeldung erfolgreich"
"No Templates Found","Vorlagentyp"
"No problems found.","Keine Probleme gefunden."
"No subscribers selected.","Keine Abbonenten ausgewählt."
"Not Activated","Nicht aktiviert"
"Not Sent","Nicht gesendet"
"Pause","Pausieren"
"Paused","Pausiert"
"Please enter a valid email address.","Bitte geben Sie eine gültige E-Mail-Adresse an."
"Please enter new template name","Bitte neuen Vorlagenname eingeben"
"Please refer to exeption.log","Bitte sehen Sie in der Datei exeption.log nach."
"Please select subscriber(s)","Bitte Abonnenten auswählen"
"Preview","Vorschau"
"Preview Template","Vorlagen-Vorschau"
"Processed","Verarbeitet"
"Queue Date Start","Warteschlange Datum Start"
"Queue Finish","Warteschlange abgeschlossen"
"Queue Information","Warteschlangen-Informationen"
"Queue Newsletter...","Newsletter Warteschlange …"
"Queue Start","Warteschlange starten"
"Queue Subject","Betreff der Warteschlange"
"Recipients","Empfänger"
"Reset","Zurücksetzen"
"Resume","Wiederaufnehmen"
"Return HTML Version","HTML-Version ausgeben"
"Save As","Speichern als"
"Save Newsletter","Newsletter speichern"
"Save Template","Vorlage speichern"
"Save and Resume","Speichern und fortsetzen"
"Security","Sicherheit"
"Selected problem subscribers have been unsubscribed.","Ausgewählte Empfänger mit Problemen wurden vom Abonnement abgemeldet."
"Selected problems have been deleted.","Ausgewählte Probleme wurden gelöscht."
"Sender","Absender"
"Sender Email","Absender E-Mail"
"Sender Name","Absendername"
"Sending","Wird gesendet"
"Sent","Gesendet"
"Sign Up for Our Newsletter:","Melden Sie sich für unseren Newsletter an:"
"Sign up for our newsletter","Anmeldung für unseren Newsletter"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Leider gestattet der Administrator keine Gastanmeldung. Bitte <a href=""%s"">registrieren Sie sich</a>."
"Start","Starten"
"Store","Shop"
"Store View","StoreView"
"Subject","Betreff"
"Submit","Absenden"
"Subscribe","Abonnieren"
"Subscribed","Abonniert"
"Subscriber","Abonnent"
"Subscribers","Abonnenten"
"Subscribers From","Abonnenten von"
"Subscription Options","Abonnementoptionen"
"Success Email Sender","Absender für Erfolgs-E-Mail"
"Success Email Template","Vorlage für Erfolgs-E-Mail"
"Template Content","Vorlageninhalt"
"Template Information","Vorlageninformationen"
"Template Name","Vorlagenname"
"Template Styles","Vorlagen-Stile"
"Template Subject","Vorlage-Betreff"
"Template Type","Vorlagentyp"
"Thank you for your subscription.","Vielen Dank für Ihre Anmeldung."
"The subscription has been removed.","Die Anmeldung wurde gelöscht."
"The subscription has been saved.","Die Anmeldung wurde gespeichert."
"There was a problem with the subscription.","Es gab ein Problem bei der Anmeldung."
"There was a problem with the subscription: %s","Bei der Anmeldung trat folgender Fehler auf: ""%s"""
"There was a problem with the un-subscription.","Bei der Abmeldung trat ein Fehler auf."
"This email address is already assigned to another user.","Diese E-Mail-Adresse ist bereits einem anderen Nutzer zugewiesen."
"Type","Typ"
"Unconfirmed","Unbestätigte"
"Unsubscribe","Abbestellen"
"Unsubscribe Selected","Ausgewählte abmelden"
"Unsubscribed","Abbestellen"
"Unsubscription Email Sender","Absender Abmeldungs-E-Mail"
"Unsubscription Email Template","Vorlage Abmeldungs-E-Mail"
"View Newsletter","Newsletter anzeigen"
"Website","Webseite"
"You have been unsubscribed.","Sie haben sich erfolgreich abgemeldet."
"Your subscription has been confirmed.","Ihr Abonnement wurde bestätigt."
