"-- Please Select --","-Vennligst velg--"
"Please make sure your passwords match.","Kontroller at passordene er like."
"Please select State/Province.","Vennligst angi Stat/Province."
"Please select an option.","Velg et alternativ."
"Please select one of the above options.","Velg et av alternativene over."
"Please select one of the options.","Vennligst velg ett av alternativene."
"Please use letters only (a-z or A-Z) in this field.","Vennligst bruk bare bokstaver ( a-å eller A-Å) i dette feltet."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Bruk kun bokstaver (a-z), tall (0-9) eller understrek (_) i dette feltet. Første tegn må være en bokstav."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bruk dette formatet for dato: dd/mm/åååå. For eksempel 17/03/2006 for 17. Mars, 2006."
"Please wait, loading...","Vennligst vent, laster..."
"Polls","Avstemninger"
"Port (25)","Port 25"
"Profiler","Profil"
"Recovery Link Expiration Period (hours)","Gjenopprettingslink utløpsperiode (timer)"
"Request Path for Specified Store","Be om stien for angitt lager"
"Requested invalid store ""%s""","Ugyldig butikk ""%s"""
"Return-Path Email","Retur-adresse Email"
"Root Category","Rotkategori"
"Sales Representative","Salgsrepresentant"
"Save","Lagre"
"Save Store","Lagre butikk"
"Save Store View","Lagre butikkvisning"
"Save Website","Lagre nettsted"
"Search Engines Optimization","Søkemotoroptimalisering (SEO)"
"Secure","Sikker"
"Security","Sikkerhet"
"Select Date","Velg dato"
"Sender Email","Avsender e-post"
"Sender Name","Avsenderens navn"
"Services","Tjenester"
"Session Validation Settings","Økt valideringsinnstillinger"
"Set Return-Path","Angi returadresse"
"Set as Default","Angi som standard"
"Skin (Images / CSS)","Stil (bilder / CSS)"
"Sort Order","Sorteringsrekkefølge"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Angitt dato/tid ""%1$s"" er feil i forhold til ""%2$s""."
"Startup Page","Startsiden"
"Store","Butikk"
"Store Email Addresses","Butikk e-postadresser"
"Store Hours of Operation","Butikk Åpningstider"
"Store Information","Butikkinformasjon"
"Store Name","Butikknavn"
"Store View","Butikkvisning"
"Store View Information","Butikkvisningsinformasjon"
"Store View Name","Navn på butikkvisning (StoreView)"
"Store view doesn't exist","Butikkvisningen eksisterer ikke"
"Store with the same code","Butikk med den samme koden"
"System Log File Name","System logg-filnavn"
"Template Path Hints","Malsti hint"
"Template Settings","Mal alternativer"
"Templates","Maler"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid, please make sure that it follows ""http://domain.com/"" format."
"The store does not exist","Butikken finnes ikke"
"The value is not within the specified range.","Verdien er ikke innenfor det angitte området."
"The website does not exist.","Webområdet finnes ikke."
"Themes","Temaer"
"This category and all its child elements","Denne kategorien og alle underelementer"
"This category and its child categories only","Denne kategorien samt underkategorier"
"This category and its products only","Kun denne kategorien og produktene"
"This category only","Kun denne kategorien"
"This is a required field.","Dette er et obligatorisk felt."
"This store cannot be deleted.","Denne butikken kan ikke slettes."
"This store view cannot be deleted.","Denne butikkvisningen kan ikke slettes."
"This website cannot be deleted.","Dette nettstedet kan ikke slettes."
"This will be included before head closing tag in page HTML.","Dette vil bli inkludert før den avsluttende head-taggen i HTML-siden."
"Timezone","Tidssone"
"Title Prefix","Tittel"
"Title Suffix","Endelse"
"Transactional Emails","Transaksjonsbaserte E-poster"
"Translate Inline","Oversette Inline"
"Translations","Oversettelser"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later.."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later.."
"Unable to proceed. Please, try again","Kunne ikke fortsette. Pr�v igen"
"Unsecure","Usikker"
"Url Options","Url-alternativer"
"Use Custom Admin Path","Bruk egendefinert Admin Sti"
"Use Custom Admin URL","Bruk egendefinert Admin URL"
"Use HTTP Only","Bruk kun HTTP"
"None","Ingen"
"Use Secure URLs in Admin","Bruk sikre URLer i Admin"
"Use Secure URLs in Frontend","Bruk sikre URL-er i Frontend"
"Use Web Server Rewrites","Bruke Web Server omskrivinger"
"VAT Number","Mva-nummer"
"Validate HTTP_USER_AGENT","Validere HTTP_USER_AGENT"
"Validate HTTP_VIA","Validere HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validere HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validere REMOTE_ADDR"
"Validation has failed.","Valideringen mislyktes."
"Variable Code must be unique.","Variabel kode må være unik."
"Website","Nettsted"
"Website Information","Nettstedsinformasjon"
"Website Name","Nettstedsnavn"
"Website with the same code","Nettsider med den samme koden"
"Weekend Days","Helgedager"
"Welcome Text","Velkommen tekst"
"Wrong number of arguments for %s","Feil antall argumenter for %s"
"Yes","Ja"
