"# of Use","antall ganger brukt"
"%1$s incl tax.","%1$s inkl mva."
"%s - %s","%s -- %s"
"%s Item(s)","%s vare(r)"
"(Copy data from: %s)","(Kopier data fra: %s)"
"Catalog New Products List","Katalog Ny produkt liste"
"Catalog Price Scope","Katalog pris omfang"
"Catalog Product Link","Katalog produkt Link"
"Catalog, Search","Katalog, søk"
"Categories","Kategorier"
"Categories Sitemap","Sidekart over kategorier"
"Category","Kategori"
"Category API","Kategori API"
"Category Data","Kategoridata"
"Category Flat Data","Kategori flat data"
"Category Link Block Template","Kategorimalen Link blokk"
"Category Link Inline Template","Kategorimalen Link Inline"
"Category Products","Kategoriprodukter"
"Category Top Navigation","Kategori top navigering"
"Category URL Suffix","Kategori URL suffiks"
"Category attributes API","Kategori attributt API"
"Category move error","Feil ved flytting av kategori"
"Center","Midtstill"
"Change","Endre"
"Change or Retrieve attribute store view","Endre eller hent attributt butikkvisning"
"Change status","Endre status"
"Check items to add to the cart or","Sjekk produkter lagt til handlekurv eller"
"Choose an Option...","Velg et alternativ..."
"Clear All","Tøm alt"
"Clear Price","Fjern pris"
"Click for price","Klikk for pris"
"Close Window","Lukk vindu"
"Collapse All","Skjul alle"
"Comma-separated.","Kommadelt."
"Comparable","Sammenlignbare"
"Comparable on Front-end","Sammenlignbar i Frontend"
"Compare","Sammenlign"
"Compare Products","Sammenlign produkter"
"Conditions Combination","Betingelsekombinasjon"
"Configurable Product","Konfigurerbart produkt"
"Configurable Product Settings","Innstillinger for konfigurerbart produkt"
"Configure Product","Konfigurere produkt"
"Continue","Fortsett"
"Copy From Configurable","Kopier fra konfigurerbart"
"Country/State","Land/fylke"
"Create","Opprett"
"Create (Upload)","Opprett (Last opp)"
"Create Empty","Opprett tom"
"Create Permanent Redirect for URLs if URL Key Changed","Opprette permanent omadressering for URL'er hvis URL-nøkkel forandres"
"Create Permanent Redirect for old URL","Opprette fast omdirigering for gammel URL"
"Create Product Settings","Innstillinger for opprettelse av produkt"
"Create Simple Associated Product","Lag tilhørende enkeltprodukt"
"Create new category","Opprett ny kategori"
"Create new product","Opprett nytt produkt"
"Cross-sells","Salg av tilbehør"
"Custom Design","Tilpasset design"
"Custom Options","Egendefinerte alternativer"
"Customer Group","Kundegruppe"
"Customers Reviews","Kundeomtaler"
"Customers Tagged Product","Produkter tagget av kunder"
"Data Type for Saving in Database","Datatype for lagring i databasen"
"Date & Time Custom Options","Dato & tid egendefinerte alternativer"
"Date Fields Order","Datofelt rekkefølge"
"Date Subscribed","Abonneringsdato"
"Datetime","DateTime"
"Decimal","Desimaltall"
"Declare attribute value saving scope","Angi omfang for lagring av attributtverdi"
"Default Price","Standardpris"
"Default Qty","Standard antall"
"Default Values","Standardverdier"
"Delete","Slett"
"Delete Attribute","Slett attributt"
"Delete Attribute Set","Slett attributtsett"
"Delete Category","Slett kategori"
"Delete Option","Slett alternativet"
"Delete Row","Slett rad"
"Delete Search","Slette søk"
"Delete Selected Group","Slett valgt gruppe"
"Delete Tier","Slett nivå"
"Delete category","Slett kategori"
"Delete product","Slett produkt"
"Depends on design theme","Avhenger av template"
"Description","Beskrivelse"
"Design","Utforming"
"Details","Detaljer"
"Disabled","Deaktivert"
"Display Actual Price","Vis faktisk pris"
"Display Page Control","Vis sidekontroll"
"Display in Suggested Terms","Vis i foreslåtte fraser"
"Double click on a group to rename it","Dobbelklikk på en gruppe for å endre navn"
"Double click on above image to view full picture","Dobbelklikk på bildet for å se det i full størrelse"
"Downloadable Information","Nedlastbar informasjon"
"Duplicate","Dupliser"
"Duplicate amount found.","Duplikate beløp funnet."
"Duplicate website tier price customer group and quantity.","Dupliser kundegruppe og antall for nettstedets nivåpris."
"Duplicate website, country and state tax found.","Website, land eller mvasats finnes fra før."
"Edit","Redigere"
"Edit Attribute Set '%s'","Rediger attributtsett '%s'"
"Edit Product Attribute","Redigere produkt attributt"
"Edit Product Attribute ""%s""","Rediger produktattributt ""%s"""
"Edit Search","Rediger søk"
"Edit Search '%s'","Rediger søk '%s'"
"Email","E-post"
"Email to a Friend","Send e-post til en venn"
"Empty","Tom"
"Enable Qty Increments","Aktiver antall intervaller"
"Enabled","Aktivert"
"Error during retrieval of option value: %s","Feil under henting av valgalternativer: %s"
"Exclude","Ekskluder"
"Expand All","Utvid alle"
"Failed","Mislykket"
"Failed to move file: %s","Feil under flytting av fil: %s"
"Feature Products","Anbefalte produkter"
"File upload failed","Filopplasting feilet"
"Filterable (no results)","Filtrerbar (ingen resultater)"
"Filterable (with results)","Filtrerbare (med resultater)"
"First Name","Fornavn"
"Fixed","Fast"
"Frontend","Forside"
"Frontend Model","Modell for Frontend"
"Frontend Properties","Frontend-egenskaper"
"Gallery","Galleri"
"General Information","Generell Informasjon"
"Get special price","Spesialpris"
"Globally Editable","Globalt redigerbare"
"Go to Home Page","Gå til hjemmesiden"
"Grid","Rutenett"
"Grouped Product","Grupperte produkter"
"Groups","Grupper"
"Home","Hjem"
"ID","Id"
"ID: %s","ID %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used"
"Image","Bilde"
"Image content is not valid base64 data.","Image content is not valid base64 data"
"Image type and information need to be specified for each store view.","Bildetype og informasjon må være spesifisert for hver butikkvisning"
"In Cart","I handlevognen"
"In Stock","På lager"
"In stock","På lager"
"Incl. Tax","Inkl. MVA"
"Index product prices","Indeks produktpriser"
"Indexed category/products association","Indeksert kategori/produkter assoisiasjon"
"Input Type","Inndatatype"
"Integer","Heltall"
"Invalid Tier Prices","Ugyldig prissetting"
"Invalid attribute %s","ugyldig attributt %s"
"Invalid image type.","Ugyldig bildetype."
"Invalid store specified","Ugyldig butikk spesifisert"
"Inventory","Lager"
"Is Default","Er standard"
"Is Required","Påkrevd"
"Items %s to %s of %s total","Vare %s til %s av totalt %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Varer som ikke skal vises i katalogen eller i søkeresultater må ha status 'Deaktivert' i gjeldende butikk."
"Label","Etikett"
"Last Name","Etternavn"
"Last Notification","Siste varsling"
"Learn More","Lær mer"
"Line %d, Email: %s","Linje %d, Epost: %s"
"Line %d, SKU: %s","Linje %d, Varekode: %s"
"Link (Related, Up sell, Cross sell)","Link (Relatert, Bedre alternativer, Liknende)"
"Link to a Specified Category","Koble til en bestemt kategori"
"Link to a Specified Product","Koble til et bestemt produkt"
"List","Liste"
"List Mode","Listemodus"
"List of Products that are set as New","Listen med produkter er satt som Ny"
"Manage Attribute Sets","Administrer attributtsett"
"Manage Attributes","Behandle attributter"
"Manage Catalog Categories","Administrer katalog kategorier"
"Manage Categories","Administrere kategorier"
"Manage Product Attributes","Administrere produkt-attributter"
"Manage Product Sets","Administrere produktsett"
"Manage Stock","Administrer lager"
"Manage Titles (Size, Color, etc.)","Administrere titler (størrelse, farge, osv.)"
"Max Characters","Maks tegn"
"Maximal Depth","Maksimal dybde"
"Maximum Image Size","Maksimal bildestørrelse"
"Maximum Qty Allowed in Shopping Cart","Maksimum antall tillatt i handlekurv"
"Maximum image height","Maksimal bildehøyde"
"Maximum image width","Maksimal bildebredde"
"Maximum number of characters:","Maksimalt antall tegn:"
"Media Image","Mediebildet"
"Minimum Advertised Price","Minimum annonsert pris"
"Minimum Qty Allowed in Shopping Cart","Minimum antall tillatt i handlekurv"
"Minimum Qty for Item's Status to be Out of Stock","Minsteantall før status blir endret til Ikke på lager"
"More Views","Flere visninger"
"Move","Flytt"
"Move category in tree","Flytt kategori i treet"
"My Account","Min konto"
"N/A","I/T"
"Name","Navn"
"New Product","Nytt produkt"
"New Product Attribute","Nytt produktattributt"
"New Products","Nye produkter"
"New Products Grid Template","Nye produkter rutenettet mal"
"New Products List Template","Nye produkter listemal"
"New Search","Nytt søk"
"New Set Name","Nytt sett navn"
"New products","Nye produkter"
"Next","Neste"
"No","Nei"
"No image","Bilde eksisterer ikke"
"No layout updates","Ingen layout oppdateringer"
"No options of this product are available.","Ingen alternativer med dette produktet er tilgjengelig."
"None","Ingen"
"Not Visible Individually","Ikke sett individuelt"
"Notify Low Stock RSS","Varsle lav lager RSS"
"Notify for Quantity Below","Varsle om antall nedenfor"
"Number of Products per Page","Antall varer per side"
"Number of Products to Display","Antall produkter å vise"
"Number of Uses","Antall anvendelser"
"Number of results","Antall resultat"
"OR","ELLER"
"Old Price:","Vanlig pris:"
"On Gesture","På gest"
"Option:","Valg:"
"Options","Innstillinger"
"Options Control","Valgalternativer"
"Options is required","Valgalternativ kreves"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Vår kundeservice er tilgjengelig døgnet rundt."
"Out of Stock","Ikke på lager"
"Out of stock","Ikke på lager"
"PM","PM:"
"Page Title Separator","Sidetittel skilletegn"
"Parent Category","Overordnet kategori"
"Pending","Ventende"
"Pending Reviews RSS","Ventende Omtaler-RSS"
"Percentage","Prosentdel"
"Please add rows to option.","Vennligst legg rader til alternativ."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost"
"Please enter a new group name","Skriv inn et nytt gruppenavn"
"Please select one or more attributes.","Velg ett eller flere attributter."
"Please select products for attributes update","Velg produkter for oppdatering av attributt"
"Please specify date required option(s).","Angi alternativene for datoen som kreves."
"Please specify the product required option(s)","Spesifiser de påkrevde alternativene"
"Please specify the quantity of product(s).","Vennligst spesifiser antall produkt(er)."
"Please specify time required option(s).","Angi alternativene for tid."
"Please wait...","Vennligst vent..."
"Position","Posisjon"
"Position of attribute in layered navigation block","Plassering av attributt i lagdelt navigasjonsblokk"
"Prev","Forrige"
"Previous","Forrige"
"Price","Pris"
"Price Type","Pristype"
"Price values for options should be specified in system base currency.","Priser for valgalternativer må angis i standardvaluta."
"Price:","Pris:"
"Print This Page","Skriv ut denne siden"
"Product","Produkt"
"Product API","Produkt API"
"Product Alerts","Produktmeldinger"
"Product Attribute","Produkt-attributt"
"Product Attributes","Produkt-attributter"
"Product Categories","Produktkategorier"
"Product Description","Produktbeskrivelse"
"Product Flat Data","Produkt Flat Data"
"Product ID","Produkt ID"
"Product Image Placeholders","Produkt bilde plassholdere"
"Product Image Watermarks","Produktbilde vannmerker"
"Product Images","Produktbilder"
"Product Images API","Produktbilde API"
"Product In Websites","Produkt i nettsteder"
"Product Info Column","Produktinfokolonne"
"Product Information","Produktinformasjon"
"Product Link Block Template","Produktmal Link blokk"
"Product Link Inline Template","Produktmal Link Inline"
"Product Listing Sort by","Produktliste sortert etter"
"Product Name","Produktnavn"
"Product Reviews","Produktomtaler"
"Product Tags","Produkttagger"
"Product Tier Price API","Produkt flerpris API"
"Product Type","Produkttype"
"Product URL Suffix","Produkt URL suffiks"
"Product attribute sets API","Produkt attributtsett API"
"Product attributes API","Produktattributt API"
"Product is not loaded","Produktet er ikke lastet"
"Product links API (related, cross sells, up sells)","Produktlink API (related, cross sells, up sells)"
"Product types API","Produkttype API"
"Product with this combination of attributes already associated to configurable.","Et produkt med denne attributtkombinasjonen er allerede tilknyttet konfigurerbart produkt."
"Products","Produkter"
"Products Comparison List","Sammenligning produktlisten"
"Products Information","Produktinformasjon"
"Products Reviews","Produktomtaler"
"Products Sitemap","Sidekart over produkter"
"Products only","Kun produkter"
"Products per Page on Grid Allowed Values","Produkter per side på rutenettet tillatte verdier"
"Products per Page on Grid Default Value","Produkter per side på rutenettet standardverdi"
"Products per Page on List Allowed Values","Produkter per side på listen over tillatte verdier"
"Products per Page on List Default Value","Produkter per side på listen standardverdi"
"Properties","Egenskaper"
"Qty","Antall"
"Qty Increments","Antall intervaller"
"Qty Uses Decimals","Antall bruker desimaler"
"Qty:","Antall:"
"Quantity","Antall"
"Quick Create","Opprett direkte"
"Quick Overview","Oversikt"
"Quick simple product creation","Legg raskt til nytt produkt"
"Redirect","Videresending"
"Redirect URL","Omdirigere URL"
"Regular Price:","Vanlig pris:"
"Related Products","Beslektede produkter"
"Remove","Fjern"
"Remove Product From Websites","Fjerne produktet fra nettsteder"
"Remove This Item","Fjern denne varen"
"Remove product assignment","Fjern produkttilhørighet"
"Remove product image","Fjern produktbilde"
"Remove product link","Fjern produktlink"
"Reorganize EAV category structure to flat structure","Omorganisere EAV kategoristrukturen til flat struktur"
"Reorganize EAV product structure to flat structure","Omorganisere EAV produktstrukturen til flat struktur"
"Reset","Nullstill"
"Results","Resultater"
"Reviews","Produktomtaler"
"Roll Over for preview","Rull over for forhåndsvisning"
"Root","Rot"
"SKU","Varenummer"
"Save","Lagre"
"Save Attribute","Lagre attributt"
"Save Attribute Set","Lagre attributtsett"
"Save Category","Lagre kategori"
"Save Search","Lagre søk"
"Save and Continue Edit","Lagre og fortsett redigering"
"Scope","Omfang"
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed because the attribute is used in configurable products."
"Search","Søk"
"Search Engine Optimizations","Søkemotoroptimalisering"
"Search Information","Søkeinformasjon"
"Search Query","Søkeord"
"Search Weight","Søk Vekt"
"Searchable","Søkbar"
"See price before order confirmation.","Se priser før ordrebekreftelse."
"Select Category...","Velg kategori..."
"Select Configurable Attributes ","Velg konfigurerbare attributter "
"Select Product...","Velg produkt..."
"Select type of option","Velg alternativ"
"Select type options required values rows.","Velg typealternativer krever verdier rader."
"Selected Product Types","Valgte produkttyper"
"Send Count","Send telling"
"Set Ascending Direction","Angi stigende retning"
"Set Descending Direction","Angi synkende retning"
"Set Name","Angi navn"
"Set root category for this store in the <a href=""%s"">configuration</a>","Angi toppkategori for butikken i <a href=""%s"">konfigurasjonen</a>"
"Set special price","Sett spesialpris"
"Set/Get current store view","Se/vis nåværende butikkvisning"
"Settings","Innstillinger"
"Shop By","Handle etter"
"Shopping Options","Butikkalternativer"
"Show","Vis"
"Show Details","Vis detaljer"
"Show Tags","Vis tagger"
"Simple Product","Enkeltprodukt"
"Site Map","Sidekart"
"Sitemap","Sidekart"
"Skip import row, is not valid value ""%s"" for field ""%s""","Hopper over rad, ""%s"" er ikke en gyldig verdi for felt ""%s"""
"Some of the selected item options are not currently available.","Noen av de valgte alternativene er ikke tilgjengelige for øyeblikket."
"Sort By","Sorter etter"
"Sort Order","Sorteringsrekkefølge"
"Source Model","Kildemodell"
"Special Price:","Spesialpris:"
"Starting at:","Starter:"
"Static","Statisk"
"Static block and products","Statisk blokk og produkter"
"Static block only","Kun statisk blokk"
"Stock Availability","Lagertilgjengelighet"
"Store","Butikk"
"Store View","Butikkvisning"
"Stretch","Strekk"
"Subscribe to RSS Feed","Abonner på RSS Feed"
"Super product attributes configuration","Attributtkonfigurasjon for overordnet produkt"
"Synonym For","Synonym for"
"System Properties","Systemegenskaper"
"Tag Name","Taggnavn"
"Tax","Avgift"
"Template","Mal"
"Text","Tekst"
"The base directory to upload file is not specified.","Hovedmappen hvor du skal laste opp filen er ikke definert."
"There are no %s available.","Ingen %s tilgjengelig."
"There are no customers for this alert","Ingen kunder abonnerer på dette varselet"
"There are no customers for this alert.","Det finnes ingen kunder for dette varselet."
"There are no products matching the selection.","Det finnes ingen produkter som svarer til valgene."
"This attribute cannot be edited.","Attributtet kan ikke redigeres."
"This attribute is used in configurable products.","Dette attributtet er brukt i konfigurerbare produkter."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Attributtet brukes i konfigurerbare produkter. Du kan ikke fjerne det fra attributtsettet."
"This attribute no longer exists","Attributtet eksisterer ikke lengre"
"This attribute set no longer exists.","Dette attributtet finnes ikke lenger."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again"
"This group contains system attributes. Please move system attributes to another group and try again.","Denne gruppen inneholder systemattributter. Vennligst flytte systemattributter til en annen gruppe og prøv på nytt."
"This is a required option","Påkrevd alternativ"
"This search no longer exists.","Dette søket finnes ikke lenger."
"Tier Pricing","Nivå prising"
"Tile","Flis"
"Time Format","Tidsformat"
"Title","Tittel"
"To see product price, add this item to your cart. You can always remove it later.","For å se produktprisen, kan du legge til dette elementet til din handlekurv. Du kan alltids fjerne den senere."
"Top/Left","Øverst/venstre"
"Top/Right","Øverste/høyre"
"Total Qty Base Items","Totalt antall"
"Total incl. Tax: %1$s","Total inkl mva: %1$s"
"URL Rewrite Management","URL omskrive Management"
"Unassigned Attributes","Ikke tilordnede attributter"
"Up-sells","Bedre alternativer"
"Update","Oppdater"
"Update Attributes","Oppdatere attributter"
"Update Tier Price","Oppdater multipris"
"Update assigned product","Oppdater tilknyttet produkt"
"Update attributes","Oppdater attributter"
"Update category","Oppdater kategori"
"Update product","Oppdater produkt"
"Update product image","Oppdater produktbilde"
"Update product link","Oppdater produktlink"
"Update product tier prices","Oppdater multipriser"
"Upload new product image ","Last opp nytt produktbilde "
"Use Canonical Link Meta Tag For Categories","Bruke kanoniske Link metakoden for kategorier"
"Use Canonical Link Meta Tag For Products","Bruke kanoniske Link metakoden for produkter"
"Use Categories Path for Product URLs","Bruk kategoribane for produkt-URL'er"
"Use Config Settings","Bruk konfigurasjonsinnstillinger"
"Use Default Value","Bruk standardverdi"
"Use Flat Catalog Category","Bruk Flat katalogen kategori"
"Use Flat Catalog Product","Bruk Flat katalog produkt"
"Use In Layered Navigation","Bruk i lagdelt navigering"
"Use In Search Results Layered Navigation","Bruk i filtrerte søkeresultat"
"Use JavaScript Calendar","Bruk JavaScript kalender"
"Use To Create Configurable Product","Bruk i konfigurerbart produkt"
"Use Tree Like Category Sitemap","Bruk trevisning i sidekart for kategori"
"Use config","Bruk konfigurasjon"
"Use default","Bruk standard"
"Use for Promo Rule Conditions","Bruk i Promo-regelbetingelser"
"Use in Layered Navigation","Bruk i lagdelt navigasjon"
"Used for Sorting in Product Listing","Brukes til sortering i produktliste"
"Used in Product Listing","Brukes i produktliste"
"Varchar","VarChar"
"View Details","Vis detaljer"
"View as","Vise som"
"Virtual Product","Virtuelle produkter"
"Visibility","Synlighet"
"Visible","Synlig"
"Visible on Catalog Pages on Front-end","Synlig i varekatalog i Frontend"
"Visible on Product View Page on Front-end","Synlig på produktside i Frontend"
"Watermark","Vannmerke"
"Watermark Default Size","Standardstørrelse på vannmerke"
"Watermark Position","Vannmerke-posisjon"
"We Also Recommend","Vi anbefaler også"
"Website","Nettsted"
"Websites","Nettsider"
"What's this?","Hva er dette?"
"Wrong option type to get group instance.","Wrong option type to get group instance"
"Year Range","År rekkefølge"
"Yes","Ja"
"You cannot remove system attribute from this set.","Du kan ikke fjerne systemattributter fra dette settet."
"You have no items to compare.","Ingen produkter å sammenligne."
"You may also be interested in the following product(s)","Du er kanskje også interessert i følgende produkt(er)"
"Zoom In","Forstørre"
"Zoom Out","Zoom ut"
"and","og"
"and above","og over"
"categories","kategorier"
"each","hver"
"ex. http://domain.com","f.eks.: http://domain.com"
"leave blank if its not an image","la være dersom det ikke er et bilde"
"per page","per side"
"products","produkter"
"save","spar"
"select all","velg alle"
"unselect all","opphev merking"
"x","X"
