"* Required Fields","* NÃ¸dvendige felt"
"New Address Entry","Ny adresseoppføring"
"New Customer","Ny kunde"
"New Customer Address","Ny kundeadresse"
"New Customer Group","Ny kundegruppe"
"New Customer Groups","Ny kundegruppe"
"New Customers","Nye kunder"
"New Group","Ny gruppe"
"New Password","Nytt passord"
"New account","Ny konto"
"New account confirmation key","Bekreftelsesnøkkel for ny konto"
"New account confirmed","Ny konto bekreftet"
"Newsletter","Nyhetsbrev"
"Newsletter Finish","Nyhetsbrev slutt"
"Newsletter Information","Nyhetsbrev informasjon"
"Newsletter Received","Nyhetsbrev mottatt"
"Newsletter Start","Nyhetsbrev start"
"Newsletter Subscription","Nyhetsbrev-abonnement"
"Newsletters","Nyhetsbrev"
"No Items Found","Ingen varer funnet"
"No Newsletter Found","Ingen nyhetsbrev funnet"
"No item specified.","Ingen elementer er angitt."
"Not Sent","Ikke sendt"
"Not confirmed, can login","Kan logge inn, men ikke bekreftet"
"Not confirmed, cannot login","Kan ikke logge inn, og ikke bekreftet"
"Offline","Frakoblet"
"Online","PÃ¥logget"
"Online Customers","Kunder pÃ¥logget nÃ¥"
"Online Customers Options","Online kunde alternativer"
"Online Minutes Interval","Online minutter interval"
"Order #","Ordre #"
"Order Total","Ordretotal"
"Orders","Ordrer"
"PDF","PDF-format"
"Password","Passord"
"Password Management","Passordbehandling"
"Password Options","Passordalternativ"
"Password forgotten","Passord glemt"
"Password:","Passord:"
"Paused","Pauset"
"Pending","Ventende"
"Per Website","Per nettside"
"Personal Information","Personopplysninger"
"Please enter a number 1 or greater in this field.","Skriv inn et tall stÃ¸rre 0 i dette feltet."
"Please enter the city.","Angi byen."
"Please enter the country.","Angi land."
"Please enter the first name.","Skriv inn fornavnet."
"Please enter the last name.","Skriv inn etternavnet."
"Please enter the state/province.","Angi delstaten/omrÃ¥det."
"Please enter the street.","Angi gaten."
"Please enter the zip/postal code.","Angi postnummeret."
"Please enter your email below and we'll send you confirmation link for it.","Skriv inn din epost-adresse nedenfor og vi sender deg bekreftelseslink."
"Please enter your email.","Angi din e-post adresse."
"Please make sure your passwords match.","Kontroller at passordene er like."
"Please select region, state or province","Vennligst velg region, fylke eller sted"
"Prefix Dropdown Options","Prefix dropdown alternativer"
"Price","Pris"
"Product","Produkt"
"Product ID","Produkt ID"
"Product Name","Produktnavn"
"Product Reviews","Produktomtaler"
"Product Tags","Produkttagger"
"Purchase On","Kjøpt den"
"Purchased On","KjÃ¸pt"
"Qty","Antall"
"Recent Orders","Siste bestillinger"
"Recovery Link Expiration Period (hours)","Gjenopprettingslink utlÃ¸psperiode (timer)"
"Redirect Customer to Account Dashboard after Logging in","Omdiriger kunder til dashbord etter innlogging"
"Refunded","Refundert"
"Register","Registrer handlekonto"
"Registered Customers","Registrerte kunder"
"Remind Email Template","PÃ¥minn e-postmal"
"Remove","Fjern"
"Require Emails Confirmation","PÃ¥krev E-post bekreftelse"
"Reset a Password","Tilbakestille et passord"
"Retrieve address data","Hent adresse-data"
"Retrieve address info","hente adresse-info"
"Retrieve customer addresses","Hent kunde-adresser"
"Retrieve customer data","Hent kundedata"
"Retrieve customers","Hent kunder"
"Retrieve your confirmation link here","Hent din bekreftelseskode her"
"Retrieve your password here","Hent ditt passord"
"SKU","Varenummer"
"Sales Statistics","Salgsstatistikk"
"Save","Lagre"
"Save Address","Lagre adresse"
"Save Customer","Lagre kunde"
"Save Customer Group","Lagre kundegruppe"
"Save Password","Lagre passord"
"Save and Continue Edit","Lagre og fortsett redigering"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option."
"Send From","Sende fra"
"Send Welcome Email after Confirmation","Send velkomstmelding etter bekreftelse"
"Send confirmation link","Sende bekreftelseslenke"
"Sending","Sender"
"Sent","Sendt"
"Session Start Time","Starttidspunkt for økt"
"Set as Default Billing Address","Sett som standard fakturaadresse"
"Set as Default Shipping Address","Sett som standard leveringsadresse"
"Share Customer Accounts","Dele kundekontoer"
"Shipped to First Name","Sendt til fornavn"
"Shipped to Last Name","Sendt til etternavn"
"Shipped to Name","Sendt til navn"
"Shopping Cart","Handlekurv"
"Shopping Cart - %d item(s)","Handlekurv - %d vare(r)"
"Show Date of Birth","Vis fÃ¸dselsdato"
"Show Gender","Vis kjÃ¸nn"
"Show Middle Name (initial)","Vis mellomnavn (fÃ¸rste)"
"Show Prefix","Vis prefiks"
"Show Suffix","Vis suffiks"
"Show Tax/VAT Number","Vis mva-/ organisasjonsnummer"
"Sign Up for Newsletter","Motta nyhetsbrev"
"State/Province","Stat/provins"
"Store","Butikk"
"Store View","Butikkvisning"
"Street Address","Gateadresse"
"Subject","Emne"
"Submit","Lagre"
"Subscribe to Newsletter","Abonnerer pÃ¥ nyhetsbrev"
"Subscribed to Newsletter?","Abonnerer du på vårt nyhetsbrev?"
"Suffix Dropdown Options","Suffix dropwdown alternativer"
"Tag Name","Taggnavn"
"Tax Calculation Based On","Skatteberegning basert pÃ¥"
"Tax Class","Avgiftsklasse"
"Tax/VAT number","Organisasjonsnummer"
"Telephone","Telefon"
"Text","Tekst"
"Text One Line","En-linje tekst"
"The VAT ID entered (%s) is not a valid VAT ID.","Mva-ID angitt (%s) er ikke en gyldig MVA-ID."
"The VAT ID is valid. The current Customer Group will be used.","MVA-IDen er gyldig. Gjeldende kundegruppe vil bli brukt."
"The customer does not have default billing address.","Kunden har ikke standard adresse."
"The suffix that goes after name (Jr., Sr., etc.)","Suffikset som gÃ¥r etter navn (Jr., Sr., osv.)"
"The title that goes before name (Mr., Mrs., etc.)","Tittelen som gÃ¥r fÃ¸r navnet (Mr., fru, etc.)"
"There are no items in customer's wishlist at the moment","Ønskelisten er for øyeblikket tom"
"There are no items in customer's shopping cart at the moment","Det er ingen varer i handlekurven for øyeblikket"
"This account is not confirmed.","Denne kontoen er ikke bekreftet enda."
"This customer has no saved addresses.","Denne kunden har ingen lagrede adresser."
"This email does not require confirmation.","Denne e-posten krever ingen bekreftelse."
"To Cart","Til handlekurven"
"Total","Totalt"
"Unknown","Ukjent"
"Unsubscribe from Newsletter","Avslutte abonnementet til nyhetsbrev"
"Update","Oppdater"
"Update customer address data","Oppdater adresseinfo for kunde"
"Update customer data","Oppdater kundedata"
"Use as my default billing address","Bruk som standard faktureringsadresse"
"Use as my default shipping address","Bruk som standard leveringsadresse"
"VAT Number","Mva-nummer"
"Validate VAT Number","Validere mva-nummer"
"Validate on Each Transaction","Validere pÃ¥ hver transaksjon"
"Validation Error Group","Gruppe for valideringsfeil"
"View","Visning"
"View Order","Vis bestilling"
"Visitor","BesÃ¸kende"
"Visitors Only","Kun besøkende"
"Website","Nettsted"
"Welcome Email","Velkomst e-post"
"Wishlist","Ã˜nskeliste"
"Wishlist - %d item(s)","Ønskeliste - %d vare(r)"
"Would you like to change the Customer Group for this order?","Ã˜nsker du Ã¥ endre kundegruppe for denne ordren?"
"Wrong confirmation key.","Ugyldig bekreftelseskode."
"Wrong customer account specified.","Ugyldig kundekonto."
"Wrong email.","Feil e-post adresse."
"YYYY","År"
"Year","Ã…r"
"You are currently not subscribed to any newsletter.","Du abonnerer for tiden ikke på noen nyhetsbrev."
"You are currently subscribed to 'General Subscription'.","Du abonnerer på vårt nyhetsbrev."
"You are currently subscribed to our newsletter.","Du abonnerer på vårt nyhetsbrev."
"You have no additional address entries in your address book.","Du har ingen ekstra adresseoppføringer i adresseboken."
"You have no additional entries in your address book.","Du har ingen ekstra oppføringer i adresseboken."
"You have no default billing address in your address book.","Du har ingen standard faktureringsadresse i adresseboken."
"You have no default shipping address in your address book.","Du har ingen standard leveringsadresse i adresseboken."
"You have not set a default billing address.","Du har ikke angitt en standard faktureringsadresse."
"You have not set a default shipping address.","Du har ikke angitt en standard leveringsadresse."
"You have placed no orders yet.","Du har ingen registrerte bestillinger."
"You have placed no products yet.","Du har ikke lagt til noen produkter enda."
"You will be charged tax.","Du vil bli belastet for skatt."
"You will not be charged tax.","Du vil ikke bli belastet for skatt."
"Your Tax ID cannot be validated.","Din tax-ID kan ikke bli validert."
"Your VAT ID was successfully validated.","Din VAT ID ble validert."
"Your account balance is: %s","Din kontobalanse: %s"
"ZIP","Postnummer"
"ZIP/Post Code","Postnummer"
"Zip/Postal Code","Postnummer"
"n/a","NA"
"or","eller"
