" and ","og"
"Attribute Set Name:","Attributtsettnavn:"
"Attributes","Attributter"
"Authorize","Autoriser"
"Automatic (equalize price ranges)","Automatisk (utjevne prisklasser)"
"Automatic (equalize product counts)","Automatisk (utjevne produktantall)"
"Average Order Amount","Gjennomsnittlig ordresum"
"Average Orders","Gjennomsnittlig bestilling"
"Back","Tilbake"
"Back to Login","Tilbake til innlogging"
"Backup","Sikkerhetskopi"
"Backup Name","Sikkerhetskopinavn"
"Backup options","Alternativer for sikkerhetskopiering"
"Backups","Sikkerhetskopier"
"Base currency","Standardvalutaen"
"Bcc","Blindkopi"
"Bestsellers","Bestselgere"
"Billing Address","Faktureringsadresse"
"Billing Address: ","Faktureraadresse:"
"Billing Agreement","Faktureringsavtale"
"Billing Agreements","Faktureringsavtaler"
"Block Information","Blokkinformasjon"
"Blocks","Blokker"
"Both (without and with tax)","Begge (med og uten moms)"
"Browse Files...","Bla gjennom filer..."
"By Email","Via e-post"
"By IP","Ved IP"
"By IP and Email","Ved IP og epost"
"CMS","Tekstsider"
"CSV / Tab separated","Komma- eller tabulatorseparert"
"Cache Control","Cache Kontroll"
"Cache Management","Cache behandling"
"Cache Type","Hurtigbuffertype"
"Cancel","Avbryt"
"Cannot add new comment.","Kan ikke legge til ny kommentar."
"Cannot add tracking number.","Kan ikke legge til sporingsnummer."
"Cannot do shipment for the order separately from invoice.","Kan ikke gjøre forsendelsen for ordren separat fra fakturaen."
"Cannot do shipment for the order.","Kan ikke gjennomføre forsendelse for ordren."
"Cannot save shipment.","Kan ikke lagre forsendelsen."
"Cannot send shipment information.","Kan ikke sende forsendelsesinformasjon."
"Card Verification Number","Kort verifikasjonsnummer"
"Catalog","Katalog"
"Catalog Price Rules","Prisregler for varekatalog"
"Catalog Rewrites","Karalogomskriving"
"Categories","Kategorier"
"Category","Kategori"
"Category:","Kategori:"
"Checkbox","Avkryssingsboks"
"Choose Store View:","Velg lager-visning:"
"Choose an attribute","Velg et attributt"
"Clear","Tøm"
"Close","Lukk"
"Code","Kode"
"Complete","Ferdig"
"Config form fieldset clone model required to be able to clone fields","Konfigurasjonsskjema angitt klone modell kreves for å kunne klone felt"
"Configuration","Innstillinger"
"Confirm New Password","Bekreft nytt passord"
"Confirmed email:","Bekreftet epost:"
"Connect with the Magento Community","Engasjer deg i Magento"
"Continue","Fortsett"
"Convert to Plain Text","Konvertere til ren tekst"
"Cookie (unsafe)","Informasjonskapsel (usikker)"
"Country","Land"
"Country:","Land:"
"Coupons","Rabattkoder"
"Create","Opprett"
"Create DB Backup","Opprett sikkerhetskopi av database"
"Create New Attribute","Opprette ny attributt"
"Created At","Opprettet"
"Credit Card Number","Kredittkortnummer"
"Credit Card Number: xxxx-%s","Kredittkortnummer: xxxx-%s"
"Credit Card Type","Kredittkorttype"
"Credit Card Type: %s","Kredittkorttype: %s"
"Credit Memo History","Kredittnotahistorikk"
"Credit Memo Totals","Totalt kreditert"
"Credit Memos","Kreditnotaer"
"Currency","Valuta"
"Currency Information","Valutainformasjon"
"Currency Setup Section","Valutainnstillinger"
"Current Configuration Scope:","Nåværende konfigurasjonsområde:"
"Current Month","Gjeldende måned"
"Custom","Egendefinert"
"Custom Variables","Tilpassede variabler"
"Customer","Kunde"
"Customer Group:","Kundegruppe:"
"Customer Groups","Kundegrupper"
"Customer Name","Kundenavn"
"Customer Reviews","Omtaler fra kunder"
"Customer Shopping Carts","Kundens handlekurv"
"Customer Since:","Kunde siden:"
"Customer Tax Classes","Momsklasser for kunde"
"Customer with the same email already exists.","Kunde med samme e-postadresse finnes allerede"
"Customers","Kunder"
"Customers by Orders Total","Kunder etter ordretotal"
"Dashboard","Kontrollpanel"
"Data Format","Dataformat"
"Data transfer:","Dataoverføring:"
"Date","Dato"
"Date & Time","Dato & tid"
"Date Added","Dato lagt til"
"Date Updated","Dato oppdatert"
"Date selection:","Dato valg:"
"Date selector","Datovelger"
"Day","Dag"
"Decimal separator:","Desimal separator:"
"Default (Admin) Values","Standard (administrator) verdier"
"Default Billing Address","Standard faktureringsadresse"
"Default Config","Standard konfigurasjon"
"Default Template from Locale","Standardmal fra lokaltilpasning"
"Default Values","Standardverdier"
"Default scope","Standard virkeområde"
"Delete","Slett"
"Delete %s","Slett %s"
"Delete %s '%s'","Slett %s '%s'"
"Delete Block","Slett blokk"
"Delete File","Slett fil"
"Delete Image","Slett bilde"
"Delete Profile","Slett profil"
"Delete Role","Slett rolle"
"Delete Store","Slett butikk"
"Delete Store View","Slett butikkvisning"
"Delete Template","Slett malen"
"Delete User","Slett bruker"
"Delete Website","Slett nettsted"
"Description","Beskrivelse"
"Design","Utforming"
"Design Section","Design"
"Details","Detaljer"
"Developer Section","Utvikler seksjon"
"Direction:","Retning:"
"Disable","Deaktiver"
"Disabled","Deaktivert"
"Display %s first","Vis %s først"
"Display default currency","Vis standard valuta"
"Download","Last ned"
"Downloads","Nedlastinger"
"Drag to move","Dra for å flytte"
"Drop-down","Rullegardin"
"Edit","Redigere"
"Edit Block","Redigere blokk"
"Edit Block '%s'","Rediger blokk '%s'"
"Edit Design Change","Redigere designet"
"Edit Email Template","Endre e-postmal"
"Edit Poll","Endre avstemning"
"Edit Queue","Rediger kø"
"Edit Role","Endre rolle"
"Edit Store View","Rediger butikkvisning"
"Edit System Template","Endre systemmal"
"Edit Template","Endre mal"
"Edit URL Rewrite","Rediger URL Omskriving"
"Edit User","Rediger bruker"
"Edit User '%s'","Endre bruker '%s'"
"Edit Website","Endre nettsted"
"Email","E-post"
"Email Address:","E-postadresse:"
"Email to a Friend","Send e-post til en venn"
"Email:","E-Post:"
"Enable","Aktivere"
"Enabled","Aktivert"
"Enclose Values In:","Omgi verdier med:"
"Entity Type","Enhetstype"
"Entity type:","Enhetstype:"
"Error","Feil"
"Excl. Tax","ex. moms"
"Excl. Tax:","Eksl mva:"
"Exclude media folder from backup","Ekskluder media-mappen fra sikkerhetskopiering"
"Expiration Date","Utløpsdato"
"Expiration Date: %s/%s","Utløpsdato: %s/%s"
"Export","Eksport"
"Export CSV","Eksportere CSV"
"Export Filters","Eksportfiltre"
"Export to:","Eksporter til:"
"Export:","Eksporter:"
"FTP Host","FTP-vert"
"FTP Host[:Port]","FTP-vert [:Port]"
"FTP Login","FTP pålogging"
"FTP Password","FTP passord"
"FTP credentials","FTP påloggingsinformasjon"
"Failed","Mislykket"
"Field","Felt"
"Field Mapping","Feltkobling"
"File","Fil"
"File Information","Filinformasjon"
"File System","Filsystem"
"File name:","Filnavn:"
"File size should be more than 0 bytes","Filstørrelse skal vÃ¦re mer enn 0 bytes"
"Finished profile execution.","Profilkjøring fullført."
"First Name","Fornavn"
"First Name:","Fornavn:"
"Fixed","Fast"
"Flush Catalog Images Cache","Flush katalogen bilder Cache"
"For category","For kategori"
"For product","For produkt"
"Forgot your password?","Har du glemt passordet?"
"Forgot your user name or password?","Glemt brukernavn eller passord?"
"From","Fra"
"General Information","Generell Informasjon"
"General Section","Generelt-delen"
"Get Image Base64","Hent bildets Base64-representasjon"
"Get help for this page","Hjelp for denne siden"
"Global Attribute","Global attributt"
"Global Record Search","Søk gjennom alle butikker"
"Global Search","Globalt søk"
"Go Today","I Dag"
"Go to Top","Gå til toppen"
"Grand Total","Totalsum"
"Grid (default) / List","Rutenett (standard) / liste"
"Grid Only","Bare rutenett"
"Group:","Gruppe:"
"Guest","Gjest"
"HTTP (unsecure)","HTTP (usikker)"
"Help Us Keep Magento Healthy - Report All Bugs","Hjelp oss å holde Magento frisk - rapporter alle feil"
"Home","Hjem"
"ID","Id"
"ID Path","ID-sti"
"IP Address","IP-adresse"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used"
"Images (.gif, .jpg, .png)","Bilder (GIF, jpg, PNG)"
"Images Cache","Bildebuffer"
"Import","Importere"
"Import Service","Importtjeneste"
"Import and Export Tax Rates","Importer og eksporter skattesatser"
"Import/Export","Importering/eksportering"
"Import/Export Advanced","Avansert importering/eksportering"
"Import/Export Profile","Importer/eksporter profil"
"Imported <strong>%s</strong> records","<strong>%s</strong> oppføringer ble importert"
"In","I"
"In Database:","I database:"
"In File:","I fil:"
"Inactive","Inaktiv"
"Incl. Tax","Inkl. MVA"
"Incl. Tax:","Inkl mva"
"Incoming Message","Innkommende melding"
"Insert Variable...","Sett inn variabel..."
"Interactive","Interaktiv"
"Interface Locale: %s","Lokaltilpasning av grensesnitt: %s"
"Invalid Form Key. Please refresh the page.","Ugyldig skjemanøkkel. Vennligst oppdater siden."
"Invalid Import Service Specified","Ugyldig importeringstjeneste"
"Invalid data","Ugyldig data"
"Invalid directory: %s","Ugyldig katalog: %s"
"Invalid file: %s","Ugyldig fil: %s"
"Invalid input data for %s => %s rate","Ugyldig inndata for %s => %s rate"
"Invalidated","Ugyldiggjort"
"Inventory Stock Status","Lagerstatus"
"Invoice #%s comment added","Kommentar lagt til faktura #%s"
"Invoice #%s created","Faktura #%s opprettet"
"Invoice History","Fakturahistorikk"
"Invoice Totals","Totalt fakturert"
"Invoices","Fakturaer"
"Is Default","Er standard"
"Issue Number","Utgivelsesnummer"
"Items","Produkter"
"JavaScript seems to be disabled in your browser.","JavaScript kan være deaktivert i din nettleseren."
"Last 24 Hours","Siste 24 timer"
"Last 5 Orders","Siste fem bestillinger"
"Last 5 Search Terms","Siste fem søkefraser"
"Last 7 Days","Siste 7 dager"
"Last Logged In:","Siste pålogget:"
"Last Name","Etternavn"
"Last Name:","Etternavn:"
"Latest Message:","Siste beskjed:"
"Lifetime Sales","Total salg"
"Links","Linker"
"List (default) / Grid","Liste (standard) / rutenett"
"List Only","Kun liste"
"Load Template","Last mal"
"Load default template","Last standardmal"
"Loading...","Laster..."
"Local Server","Lokal Server"
"Local/Remote Server","Lokal/ekstern tjener"
"Locale","Lokal"
"Log In","Logg inn"
"Log Out","Logg ut"
"Log in to Admin Panel","Logg på administrasjonspanelet"
"Log into Magento Admin Page","Logg på administrasjonspanelet"
"Logged in as %s","Logget inn som %s"
"Login","Logg inn"
"MAJOR","STORE"
"MINOR","MINDRE"
"Magento Admin","Magento Administrasjon"
"Magento Commerce - Administrative Panel","Nettbutikk - Administrasjonspanel"
"Magento Logo","Magento-logo"
"Magento root directory","Magento root mappe"
"Manage Attribute Sets","Administrer attributtsett"
"Manage Attributes","Behandle attributter"
"Manage Categories","Administrere kategorier"
"Manage Currency Rates","Administrere valutakurser"
"Manage Customers","Administrer kunder"
"Manage Options (values of your attribute)","Behandle valg (verdier for attributtet)"
"Manage Ratings","Behandle vurderinger"
"Manage Stores","Administrer butikker"
"Manage Tax Rules","Administrer skatteregler"
"Manage Titles (Size, Color, etc.)","Administrere titler (størrelse, farge, osv.)"
"Manual","Manuell"
"Maximum sender name length is 255. Please correct your settings.","Maksimal avsenderens lengde er 255. Vennligst korriger innstillingene dine."
"Media (.avi, .flv, .swf)","Media (AVI, FLV, SWF)"
"Messages Inbox","Beskjeder Innboks"
"Month","Måned"
"Most Viewed","Mest Vist"
"Most Viewed Products","Produkter som er mest sett"
"Multiple Select","Merk flere"
"My Account","Min konto"
"N/A","I/T"
"Name","Navn"
"Name on Card","Navn på kort"
"Name on the Card: %s","Navn på kort: %s"
"Name:","Navn:"
"Never (production)","Aldri (produksjon)"
"New ","Ny "
"New Accounts","Nye kontoer"
"New Attribute","Nytt attributt"
"New Block","Ny blokk"
"New Category","Ny kategori"
"New Class","Ny klasse"
"New Condition","Ny betingelse"
"New Custom Variable","Ny tilpasset variabel"
"New Customer","Ny kunde"
"New Customers","Nye kunder"
"New Design Change","Ny designendring"
"New Email Template","Ny e-postmal"
"New Group","Ny gruppe"
"New Invoice","Ny Faktura"
"New Page","Ny side"
"New Password","Nytt passord"
"New Poll","Ny avstemning"
"New Profile","Ny profil"
"New Rating","Ny vurdering"
"New Review","Ny anmeldelse"
"New Role","Ny rolle"
"New Rule","Ny regel"
"New Search","Nytt søk"
"New Set","Nytt sett"
"New Shipment","Ny forsendelse"
"New Sitemap","Nytt sidekart"
"New Store View","Ny lagervisning"
"New System Template","Ny Systemmal"
"New Tag","Ny tagg"
"New Template","Ny mal"
"New User","Ny bruker"
"New Website","Nytt nettsted"
"Newsletter","Nyhetsbrev"
"Newsletter Queue","Nyhetsbrevkø"
"Newsletter Subscribers","Nyhetsbrevabonnenter"
"Newsletter Templates","Mal for nyhetsbrev"
"Next month (hold for menu)","Neste måned (hold for meny)"
"Next year (hold for menu)","Neste år (hold for meny)"
"No","Nei"
"No (price without tax)","Nei (pris uten moms)"
"No Data","Ingen Data"
"No Data Found","Ingen Data funnet"
"No Templates Found","Ingen mal funnet"
"No change","Ingen endringer"
"No profile loaded...","Ingen profil lastet..."
"No records found for this period.","Fant ingen resultater for denne perioden."
"No records found.","Ingen oppføringer funnet."
"No search keywords.","Ingen søkeord."
"No search modules were registered","Ingen søkemoduler ble registrert"
"None","Ingen"
"Note:","Merk:"
"Notes","Notater"
"Notifications","Varslinger"
"Number of Orders","Antall bestillinger"
"Number of Uses","Antall anvendelser"
"Number of Views","Antall visninger"
"Old rate:","Gammel kurs:"
"Online Customers","Kunder pålogget nå"
"Only Once (version upgrade)","Bare en gang (versjon)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Kun attributter med omfang ""Globalt"", inndatatype ""Nedtrekksliste"" og ""Bruk i konfigurerbare produkter"" avmerket er tilgjengelige."
"Only mapped fields","Kun koblede felter"
"Optional","Valgfritt"
"Options","Innstillinger"
"Options is required","Valgalternativ kreves"
"Order","Rekkefølge"
"Order #%s","Ordrenummer %s"
"Order #%s (%s)","Ordrenummer %s (%s)"
"Order ID","Ordre-ID"
"Order Totals","Ordretotal"
"Orders","Ordrer"
"Original Magento attribute names in first row:","Originale Magento attributtnavn i første rad:"
"Out of stock","Ikke på lager"
"Pages","Sider"
"Parent Product Thumbnail","Overordnet produkt miniatyrbilde"
"Passive mode","Passiv modus"
"Password","Passord"
"Password Confirmation","Passordbekreftelse"
"Password:","Passord:"
"Path:","Sti:"
"Pending Reviews","Ventende omtaler"
"Pending Tags","Ventende tagger"
"Per Item","Per produkt"
"Per Order","Per bestilling"
"Percent","Prosent"
"Performed At","Utført den"
"Period","Periode"
"Permissions","Rettigheter"
"Personal Information","Personopplysninger"
"Phone:","Telefon:"
"Please Select","Vennligst velg"
"Please confirm site switching. All data that hasn't been saved will be lost.","Vennligst bekreft webside bytte. All data som ikke er lagret vil bli borte."
"Please enter 6 or more characters.","Fyll inn minimum seks tegn."
"Please enter a number greater than 0 in this field.","Skriv inn et tall større enn 0 i dette feltet."
"Please enter a valid $ amount. For example $100.00.","Fyll inn et gyldig beløp. For eksempel 100."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Fyll inn en gyldig URL. For eksempel http://www.eksempel.no eller www.eksempel.no"
"Please enter a valid URL. http:// is required","Fyll inn en gyldig URL. http:// er obligatorisk"
"Please enter a valid credit card number.","Angi et gyldig kredittkortnummer."
"Please enter a valid date.","Vennligst angi en gyldig dato."
"Please enter a valid email address. For example johndoe@domain.com.","Fyll inn en gyldig e-postadresse. For eksempel ola@normann.no."
"Please enter a valid email.","Vennligst skriv inn en gyldig e-post-adresse."
"Please enter a valid number in this field.","Vennligst skriv inn et gyldig tall i dette feltet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Skriv inn et gyldig telefonnummer. For eksempel (123) 456-7890 eller 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Fyll inn et gyldig personnummer."
"Please enter a valid value from list","Fyll inn en gyldig verdi fra listen"
"Please enter a valid value, ex: 10,20,30","Fyll inn en gyldig verdi, ex: 10,20,30"
"Please enter a valid zip code.","Vennligst skriv inn en gyldig zip-kode."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Fyll inn et gyldig postnummer."
"Please enter valid password.","Fyll inn et gyldig passord."
"Please make sure that all global admin search modules are installed and activated.","Kontroller at alle globale admin søkemoduler er installert og aktivert."
"Please make sure that your changes were saved before running the profile.","Se til at alle endringene ble lagret før du kjører profilen."
"Please make sure your passwords match.","Kontroller at passordene er like."
"Please select State/Province.","Vennligst angi Stat/Province."
"Please select an option.","Velg et alternativ."
"Please select customer(s).","Velg kunde/kunder."
"Please select one of the above options.","Velg et av alternativene over."
"Please select one of the options.","Vennligst velg ett av alternativene."
"Please specify the admin custom URL.","Angi den egendefinerte administrative adressen."
"Please use in this field only ""a-z,0-9,_"".","Bruk kun tegnene ""a-z,0-9,_"" i dette feltet."
"Please use letters only (a-z) in this field.","I dette feltet kan bare bokstaver (a-z) benyttes."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Bruk bare bokstaver (a-z eller A-Z), tall (0-9) eller mellomrom i dette feltet."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Bruk kun bokstaver (a-z) eller tall (0-9) i dette feltet. Ingen mellomrom eller andre tegn er tillatt."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Bruk kun bokstaver (a-z), tall (0-9), mellomrom eller # i dette feltet."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bruk dette formatet for dato: dd/mm/åååå. For eksempel 17/03/2006 for 17. Mars, 2006."
"Please wait, loading...","Vennligst vent, laster..."
"Please wait...","Vennligst vent..."
"Poll Manager","Avstemningsbehandling"
"Polls","Avstemninger"
"Popular","Populære"
"Position","Posisjon"
"Position of Watermark for %s","Plassering av vannmerke for %s"
"Prev. month (hold for menu)","Forrige måned (hold for meny)"
"Prev. year (hold for menu)","Forrige år (hold for meny)"
"Preview","Forhåndsvis"
"Preview Template","Forhåndsvisning av mal"
"Price","Pris"
"Price:","Pris:"
"Processed <strong>%s%% %s/%d</strong> records","<strong>%s%% %s/%d</strong> oppføringer prosessert"
"Processing","Behandler"
"Product","Produkt"
"Product Name","Produktnavn"
"Product Reviews","Produktomtaler"
"Product Tax Classes","Momsklasse for produkt"
"Product Thumbnail Itself","Minityrbilde for produkt"
"Product:","Produkt:"
"Products","Produkter"
"Products Bestsellers Report","Produkt-bestselgerrapport"
"Profile Action","Profilhandling"
"Profile Actions XML","Profilhandlinger XML"
"Profile Direction","Profilretning"
"Profile History","Profilhistorikk"
"Profile Information","Profilinformasjon"
"Profile Name","Profilnavn"
"Profile Wizard","Profilveiviser"
"Profiles","Profiler"
"Promo","Kampanjer og rabatter"
"Promotions","Kampanjer"
"Quantity","Antall"
"Radio Buttons","Radioknapper"
"Rates","kurser"
"Rebuild","Gjenoppbygg"
"Rebuild Catalog Index","Gjenoppbygg katalogindeksen"
"Rebuild Flat Catalog Category","Gjenoppbygg flat katalogkategori"
"Rebuild Flat Catalog Product","Gjenoppbygg flat katalogprodukt"
"Recent Orders","Siste bestillinger"
"Redirect","Videresending"
"Reference ID","Referanse-ID"
"Refresh","Oppdater"
"Refresh Now*","Oppdater nå*"
"Region/State","Kommune"
"Regular Price:","Vanlig pris:"
"Reject","Avsl�"
"Release","Utgivelse"
"Release Stability","Utgivelsens stabilitet"
"Release Version","Utgivelsens versjon"
"Reload captcha","Laste inn captcha på nytt"
"Remote FTP","Ekstern FTP"
"Remove","Fjern"
"Reports","Rapporter"
"Request Path","Be om sti"
"Required","Kreves"
"Reset","Nullstill"
"Reset Filter","Tilbakestill filter"
"Reset Password","Tilbakestill passord"
"Reset a Password","Tilbakestille et passord"
"Resize","Endre størrelse"
"Resource Access","Ressurstilgang"
"Resources","Ressurser"
"Results","Resultater"
"Retrieve Password","Hente passord"
"Return Html Version","Returner HTML-versjon"
"Revenue","Inntekter"
"Reviews","Produktomtaler"
"Reviews and Ratings","Omtaler og rangeringer"
"Role ID","Rolle-ID"
"Role Info","Rolleinfo"
"Role Information","Rolleinformasjon"
"Role Name","Rollenavn"
"Role Resources","Rolle for ressurser"
"Role Users","Rollebrukere"
"Roles","Roller"
"Roles Resources","Ressurser for Roller"
"Root Category","Rotkategori"
"Rotate CCW","Roter mot klokken"
"Rotate CW","Roter med klokken"
"Run","Kjør"
"Run Profile","Kjør profil"
"Run Profile Inside This Window","Kjør profil i dette vinduet"
"SKU","Varenummer"
"SKU:","Varekode:"
"SSL Error: Invalid or self-signed certificate","SSL feilmelding: Ugyldig eller egetsignert sertifikat"
"Sales","Salg"
"Sales Report","Salgsrapport"
"Samples","Prøver"
"Save","Lagre"
"Save & Generate","Lagre & Generér"
"Save Account","Lagre konto"
"Save Block","Lagre blokk"
"Save Cache Settings","Lagre innstillinger for buffer"
"Save Config","Lagre konfig"
"Save Currency Rates","Lagre valutakurser"
"Save Profile","Lagre profil"
"Save Role","Lagre rolle"
"Save Template","Lagre mal"
"Save User","Lagre bruker"
"Save and Continue Edit","Lagre og fortsett redigering"
"Search","Søk"
"Search Index","Søkeindex"
"Search Term","Søkeord"
"Search Terms","Søkeord"
"Search entire store here...","Søk i hele butikken her..."
"Select","Velg"
"Select All","Velg alle"
"Select Category","Velg en kategori"
"Select Date","Velg dato"
"Select Range","Velg periode"
"Select date","Velg dato"
"Sender","Avsender"
"Separate Email","Separat e-post"
"Shipment #%s comment added","Kommentar til forsendelse #%s lagt til"
"Shipment #%s created","Forsendelse #%s opprettet"
"Shipment Comments","Forsendelsekommentarer"
"Shipment History","Forsendelses historikk"
"Shipments","Forsendelser"
"Shipping","Frakt"
"Shipping Address","Leveringsadresse"
"Shipping Address: ","Leveringsadresse:"
"Shipping Price","Fraktpris"
"Shopping Cart","Handlekurv"
"Shopping Cart Price Rules","Prisregler for handlekurv"
"Shopping Cart from %s","Handlekurv fra %s"
"Show By","Vis etter"
"Show Report For:","Vis rapport for:"
"Show Reviews","Vis omtaler"
"Sitemap Information","Sidekartinformasjon"
"Size for %s","Størrelse for %s"
"Sorry, this feature is coming soon...","Beklager, denne funksjonaliteten kommer snart..."
"Special Price:","Spesialpris:"
"Specific Countries","Bestemte land"
"Specified","Spesifisert"
"Spreadsheet Name:","Navn på regneark:"
"Start Date","Startdato"
"Starting at:","Starter:"
"Starting profile execution, please wait...","Starter profilkjøring, vennligst vent..."
"State/Province:","Stat/provins:"
"Static Blocks","Statiske blokker"
"Stock Quantity:","Lagerbeholdning:"
"Store","Butikk"
"Store Email Addresses Section","Butikk E-postadresser"
"Store View","Butikkvisning"
"Store:","Butikk:"
"Stores","Butikker"
"Subject","Emne"
"Submit","Lagre"
"Subtotal","Delsum"
"Switch/Solo card issue number: %s","Switch/Solo kortutstedelsesnummer: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo startdato: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Kun Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) kortutstedelsesnummer: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) startdato: %s/%s"
"Synchronize","Synkronisere"
"Synchronizing...","Synkroniserer..."
"System Section","System"
"Tags","Merkelapper"
"Target Path","Målsti"
"Tax","Avgift"
"Template","Mal"
"Template Content","Mal-innholdet"
"Template Information","Malinformasjon"
"Template Name","Malnavn"
"Template Styles","Stil for mal"
"Template Subject","Malemne"
"Template Type","Maltype"
"Temporary (302)","Midlertidig (302)"
"Terms and Conditions","Vilkår og betingelser"
